House of Representatives - 2001 Election: New South Wales																																
Distribution of Preferences																																
By Polling Place																																
																																
Newcastle																																
				WILLIAMS			WILLIAMS			CRITICOS			GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN				
	FOURTH			2	9.52		6	28.57			Excluded		1	4.76		6	28.57								2	9.52		4	19.05		21	
		TOTAL		44	5.22		272	32.27					357	42.35		51	6.05								43	5.10		76	9.02		843	
	FIFTH				Excluded		14	31.82					17	38.64		4	9.09								2	4.55		7	15.91		44	
		TOTAL					286	33.93					374	44.37		55	6.52								45	5.34		83	9.85		843	
	SIXTH						6	13.33					14	31.11		22	48.89									Excluded		3	6.67		45	
		TOTAL					292	34.64					388	46.03		77	9.13											86	10.20		843	
	SEVENTH						24	27.91					19	22.09		43	50.00												Excluded		86	
		TOTAL					316	37.49					407	48.28		120	14.23														843	
	EIGHTH						43	35.83					77	64.17			Excluded														120	
		TOTAL					359	42.59					484	57.41																	843	
													Elected																			
																																
Birmingham Gardens North                                       																																
	FIRST			32	3.44		249	26.80		16	1.72		441	47.47		39	4.20		6	0.65		9	0.97		10	1.08		127	13.67		929	
	SECOND			2	33.33		0	0.00		0	0.00		1	16.67		2	33.33			Excluded		0	0.00		1	16.67		0	0.00		6	
		TOTAL		34	3.66		249	26.80		16	1.72		442	47.58		41	4.41					9	0.97		11	1.18		127	13.67		929	
	THIRD			0	0.00		3	33.33		0	0.00		0	0.00		1	11.11						Excluded		1	11.11		4	44.44		9	
		TOTAL		34	3.66		252	27.13		16	1.72		442	47.58		42	4.52								12	1.29		131	14.10		929	
	FOURTH			1	6.25		1	6.25			Excluded		5	31.25		1	6.25								3	18.75		5	31.25		16	
		TOTAL		35	3.77		253	27.23					447	48.12		43	4.63								15	1.61		136	14.64		929	
	FIFTH				Excluded		13	37.14					16	45.71		1	2.86								3	8.57		2	5.71		35	
		TOTAL					266	28.63					463	49.84		44	4.74								18	1.94		138	14.85		929	
	SIXTH						2	11.11					6	33.33		4	22.22									Excluded		6	33.33		18	
		TOTAL					268	28.85					469	50.48		48	5.17											144	15.50		929	
	SEVENTH						36	25.00					33	22.92		75	52.08												Excluded		144	
		TOTAL					304	32.72					502	54.04		123	13.24														929	
	EIGHTH						28	22.76					95	77.24			Excluded														123	
		TOTAL					332	35.74					597	64.26																	929	
													Elected																			
																																
Carrington                                                     																																
	FIRST			51	5.62		131	14.43		15	1.65		540	59.47		71	7.82		3	0.33		14	1.54		39	4.30		44	4.85		908	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		51	5.62		131	14.43		16	1.76		540	59.47		73	8.04					14	1.54		39	4.30		44	4.85		908	
	THIRD			0	0.00		6	42.86		1	7.14		3	21.43		1	7.14						Excluded		2	14.29		1	7.14		14	
		TOTAL		51	5.62		137	15.09		17	1.87		543	59.80		74	8.15								41	4.52		45	4.96		908	
	FOURTH			0	0.00		5	29.41			Excluded		3	17.65		3	17.65								1	5.88		5	29.41		17	
		TOTAL		51	5.62		142	15.64					546	60.13		77	8.48								42	4.63		50	5.51		908	
	FIFTH				Excluded		17	33.33					22	43.14		7	13.73								0	0.00		5	9.80		51	
		TOTAL					159	17.51					568	62.56		84	9.25								42	4.63		55	6.06		908	
	SIXTH						4	9.52					12	28.57		21	50.00									Excluded		5	11.90		42	
		TOTAL					163	17.95					580	63.88		105	11.56											60	6.61		908	
	SEVENTH						12	20.00					13	21.67		35	58.33												Excluded		60	
		TOTAL					175	19.27					593	65.31		140	15.42														908	
	EIGHTH						51	36.43					89	63.57			Excluded														140	
		TOTAL					226	24.89					682	75.11																	908	
													Elected																			
																																
Cooks Hill                                                     																																
	FIRST			22	3.06		209	29.11		17	2.37		242	33.70		119	16.57		4	0.56		16	2.23		73	10.17		16	2.23		718	
	SECOND			0	0.00		1	25.00		1	25.00		0	0.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		22	3.06		210	29.25		18	2.51		242	33.70		121	16.85					16	2.23		73	10.17		16	2.23		718	
	THIRD			1	6.25		7	43.75		0	0.00		1	6.25		1	6.25						Excluded		3	18.75		3	18.75		16	
		TOTAL		23	3.20		217	30.22		18	2.51		243	33.84		122	16.99								76	10.58		19	2.65		718	
	FOURTH			1	5.56		5	27.78			Excluded		4	22.22		3	16.67								3	16.67		2	11.11		18	
		TOTAL		24	3.34		222	30.92					247	34.40		125	17.41								79	11.00		21	2.92		718	
	FIFTH				Excluded		7	29.17					8	33.33		6	25.00								1	4.17		2	8.33		24	
		TOTAL					229	31.89					255	35.52		131	18.25								80	11.14		23	3.20		718	
	SIXTH						13	16.25					18	22.50		46	57.50									Excluded		3	3.75		80	
		TOTAL					242	33.70					273	38.02		177	24.65											26	3.62		718	
	SEVENTH						10	38.46					1	3.85		15	57.69												Excluded		26	
		TOTAL					252	35.10					274	38.16		192	26.74														718	
	EIGHTH						39	20.31					153	79.69			Excluded														192	
		TOTAL					291	40.53					427	59.47																	718	
													Elected																			
																																
Cooks Hill South                                               																																
	FIRST			86	4.39		714	36.47		29	1.48		633	32.33		226	11.54		13	0.66		17	0.87		178	9.09		62	3.17		1958	
	SECOND			2	15.38		2	15.38		2	15.38		1	7.69		4	30.77			Excluded		0	0.00		2	15.38		0	0.00		13	
		TOTAL		88	4.49		716	36.57		31	1.58		634	32.38		230	11.75					17	0.87		180	9.19		62	3.17		1958	
	THIRD			1	5.88		8	47.06		1	5.88		1	5.88		4	23.53						Excluded		1	5.88		1	5.88		17	
		TOTAL		89	4.55		724	36.98		32	1.63		635	32.43		234	11.95								181	9.24		63	3.22		1958	
	FOURTH			1	3.13		11	34.38			Excluded		5	15.63		7	21.88								6	18.75		2	6.25		32	
		TOTAL		90	4.60		735	37.54					640	32.69		241	12.31								187	9.55		65	3.32		1958	
	FIFTH				Excluded		26	28.89					35	38.89		21	23.33								4	4.44		4	4.44		90	
		TOTAL					761	38.87					675	34.47		262	13.38								191	9.75		69	3.52		1958	
	SIXTH						27	14.14					43	22.51		115	60.21									Excluded		6	3.14		191	
		TOTAL					788	40.25					718	36.67		377	19.25											75	3.83		1958	
	SEVENTH						22	29.33					21	28.00		32	42.67												Excluded		75	
		TOTAL					810	41.37					739	37.74		409	20.89														1958	
	EIGHTH						129	31.54					280	68.46			Excluded														409	
		TOTAL					939	47.96					1019	52.04																	1958	
													Elected																			
																																
Garden Suburb (Newcastle)                                      																																
	FIRST			8	4.00		88	44.00		4	2.00		61	30.50		13	6.50		0	0.00		4	2.00		8	4.00		14	7.00		200	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	4.00		88	44.00		4	2.00		61	30.50		13	6.50					4	2.00		8	4.00		14	7.00		200	
	THIRD			0	0.00		4	100.00		0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		4	
		TOTAL		8	4.00		92	46.00		4	2.00		61	30.50		13	6.50								8	4.00		14	7.00		200	
	FOURTH			0	0.00		3	75.00			Excluded		1	25.00		0	0.00								0	0.00		0	0.00		4	
		TOTAL		8	4.00		95	47.50					62	31.00		13	6.50								8	4.00		14	7.00		200	
	FIFTH				Excluded		3	37.50					2	25.00		2	25.00								0	0.00		1	12.50		8	
		TOTAL					98	49.00					64	32.00		15	7.50								8	4.00		15	7.50		200	
	SIXTH						2	25.00					3	37.50		3	37.50									Excluded		0	0.00		8	
		TOTAL					100	50.00					67	33.50		18	9.00											15	7.50		200	
	SEVENTH						9	60.00					2	13.33		4	26.67												Excluded		15	
		TOTAL					109	54.50					69	34.50		22	11.00														200	
	EIGHTH						6	27.27					16	72.73			Excluded														22	
		TOTAL					115	57.50					85	42.50																	200	
													Elected																			
																																
Georgetown                                                     																																
	FIRST			26	4.80		125	23.06		5	0.92		292	53.87		40	7.38		1	0.18		11	2.03		19	3.51		23	4.24		542	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		26	4.80		125	23.06		5	0.92		292	53.87		41	7.56					11	2.03		19	3.51		23	4.24		542	
	THIRD			0	0.00		9	81.82		0	0.00		1	9.09		0	0.00						Excluded		1	9.09		0	0.00		11	
		TOTAL		26	4.80		134	24.72		5	0.92		293	54.06		41	7.56								20	3.69		23	4.24		542	
	FOURTH			1	20.00		1	20.00			Excluded		0	0.00		1	20.00								1	20.00		1	20.00		5	
		TOTAL		27	4.98		135	24.91					293	54.06		42	7.75								21	3.87		24	4.43		542	
	FIFTH				Excluded		14	51.85					6	22.22		2	7.41								2	7.41		3	11.11		27	
		TOTAL					149	27.49					299	55.17		44	8.12								23	4.24		27	4.98		542	
	SIXTH						1	4.35					8	34.78		10	43.48									Excluded		4	17.39		23	
		TOTAL					150	27.68					307	56.64		54	9.96											31	5.72		542	
	SEVENTH						8	25.81					11	35.48		12	38.71												Excluded		31	
		TOTAL					158	29.15					318	58.67		66	12.18														542	
	EIGHTH						19	28.79					47	71.21			Excluded														66	
		TOTAL					177	32.66					365	67.34																	542	
													Elected																			
																																
Hamilton                                                       																																
	FIRST			111	6.37		412	23.65		57	3.27		739	42.42		225	12.92		8	0.46		15	0.86		132	7.58		43	2.47		1742	
	SECOND			2	25.00		0	0.00		0	0.00		1	12.50		4	50.00			Excluded		0	0.00		1	12.50		0	0.00		8	
		TOTAL		113	6.49		412	23.65		57	3.27		740	42.48		229	13.15					15	0.86		133	7.63		43	2.47		1742	
	THIRD			0	0.00		9	60.00		0	0.00		0	0.00		1	6.67						Excluded		3	20.00		2	13.33		15	
		TOTAL		113	6.49		421	24.17		57	3.27		740	42.48		230	13.20								136	7.81		45	2.58		1742	
	FOURTH			8	14.04		11	19.30			Excluded		16	28.07		5	8.77								12	21.05		5	8.77		57	
		TOTAL		121	6.95		432	24.80					756	43.40		235	13.49								148	8.50		50	2.87		1742	
	FIFTH				Excluded		32	26.45					50	41.32		30	24.79								3	2.48		6	4.96		121	
		TOTAL					464	26.64					806	46.27		265	15.21								151	8.67		56	3.21		1742	
	SIXTH						16	10.60					42	27.81		83	54.97									Excluded		10	6.62		151	
		TOTAL					480	27.55					848	48.68		348	19.98											66	3.79		1742	
	SEVENTH						11	16.67					21	31.82		34	51.52												Excluded		66	
		TOTAL					491	28.19					869	49.89		382	21.93														1742	
	EIGHTH						82	21.47					300	78.53			Excluded														382	
		TOTAL					573	32.89					1169	67.11																	1742	
													Elected																			
																																
Hamilton Central                                               																																
	FIRST			64	5.55		294	25.50		37	3.21		478	41.46		115	9.97		4	0.35		12	1.04		96	8.33		53	4.60		1153	
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		66	5.72		294	25.50		37	3.21		479	41.54		116	10.06					12	1.04		96	8.33		53	4.60		1153	
	THIRD			0	0.00		7	58.33		0	0.00		4	33.33		0	0.00						Excluded		0	0.00		1	8.33		12	
		TOTAL		66	5.72		301	26.11		37	3.21		483	41.89		116	10.06								96	8.33		54	4.68		1153	
	FOURTH			0	0.00		10	27.03			Excluded		13	35.14		6	16.22								5	13.51		3	8.11		37	
		TOTAL		66	5.72		311	26.97					496	43.02		122	10.58								101	8.76		57	4.94		1153	
	FIFTH				Excluded		14	21.21					29	43.94		18	27.27								2	3.03		3	4.55		66	
		TOTAL					325	28.19					525	45.53		140	12.14								103	8.93		60	5.20		1153	
	SIXTH						17	16.50					26	25.24		56	54.37									Excluded		4	3.88		103	
		TOTAL					342	29.66					551	47.79		196	17.00											64	5.55		1153	
	SEVENTH						20	31.25					12	18.75		32	50.00												Excluded		64	
		TOTAL					362	31.40					563	48.83		228	19.77														1153	
	EIGHTH						59	25.88					169	74.12			Excluded														228	
		TOTAL					421	36.51					732	63.49																	1153	
													Elected																			
																																
Hamilton North                                                 																																
	FIRST			46	7.76		103	17.37		4	0.67		311	52.45		40	6.75		4	0.67		10	1.69		33	5.56		42	7.08		593	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	75.00			Excluded		1	25.00		0	0.00		0	0.00		4	
		TOTAL		46	7.76		103	17.37		4	0.67		311	52.45		43	7.25					11	1.85		33	5.56		42	7.08		593	
	THIRD			1	9.09		2	18.18		0	0.00		3	27.27		1	9.09						Excluded		4	36.36		0	0.00		11	
		TOTAL		47	7.93		105	17.71		4	0.67		314	52.95		44	7.42								37	6.24		42	7.08		593	
	FOURTH			2	50.00		0	0.00			Excluded		2	50.00		0	0.00								0	0.00		0	0.00		4	
		TOTAL		49	8.26		105	17.71					316	53.29		44	7.42								37	6.24		42	7.08		593	
	FIFTH				Excluded		19	38.78					18	36.73		7	14.29								4	8.16		1	2.04		49	
		TOTAL					124	20.91					334	56.32		51	8.60								41	6.91		43	7.25		593	
	SIXTH						8	19.51					12	29.27		19	46.34									Excluded		2	4.88		41	
		TOTAL					132	22.26					346	58.35		70	11.80											45	7.59		593	
	SEVENTH						9	20.00					8	17.78		28	62.22												Excluded		45	
		TOTAL					141	23.78					354	59.70		98	16.53														593	
	EIGHTH						37	37.76					61	62.24			Excluded														98	
		TOTAL					178	30.02					415	69.98																	593	
													Elected																			
																																
Hamilton South                                                 																																
	FIRST			68	3.14		877	40.55		75	3.47		690	31.90		171	7.91		16	0.74		25	1.16		185	8.55		56	2.59		2163	
	SECOND			5	31.25		0	0.00		2	12.50		0	0.00		6	37.50			Excluded		0	0.00		2	12.50		1	6.25		16	
		TOTAL		73	3.37		877	40.55		77	3.56		690	31.90		177	8.18					25	1.16		187	8.65		57	2.64		2163	
	THIRD			0	0.00		13	52.00		2	8.00		1	4.00		4	16.00						Excluded		4	16.00		1	4.00		25	
		TOTAL		73	3.37		890	41.15		79	3.65		691	31.95		181	8.37								191	8.83		58	2.68		2163	
	FOURTH			8	10.13		33	41.77			Excluded		8	10.13		8	10.13								16	20.25		6	7.59		79	
		TOTAL		81	3.74		923	42.67					699	32.32		189	8.74								207	9.57		64	2.96		2163	
	FIFTH				Excluded		27	33.33					29	35.80		16	19.75								8	9.88		1	1.23		81	
		TOTAL					950	43.92					728	33.66		205	9.48								215	9.94		65	3.01		2163	
	SIXTH						40	18.60					37	17.21		127	59.07									Excluded		11	5.12		215	
		TOTAL					990	45.77					765	35.37		332	15.35											76	3.51		2163	
	SEVENTH						25	32.89					6	7.89		45	59.21												Excluded		76	
		TOTAL					1015	46.93					771	35.64		377	17.43														2163	
	EIGHTH						129	34.22					248	65.78			Excluded														377	
		TOTAL					1144	52.89					1019	47.11																	2163	
													Elected																			
																																
Hexham                                                         																																
	FIRST			5	7.14		10	14.29		0	0.00		39	55.71		3	4.29		0	0.00		2	2.86		2	2.86		9	12.86		70	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	7.14		10	14.29		0	0.00		39	55.71		3	4.29					2	2.86		2	2.86		9	12.86		70	
	THIRD			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		2	
		TOTAL		5	7.14		11	15.71		1	1.43		39	55.71		3	4.29								2	2.86		9	12.86		70	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0	0.00		1	100.00		1	
		TOTAL		5	7.14		11	15.71					39	55.71		3	4.29								2	2.86		10	14.29		70	
	FIFTH				Excluded		4	80.00					1	20.00		0	0.00								0	0.00		0	0.00		5	
		TOTAL					15	21.43					40	57.14		3	4.29								2	2.86		10	14.29		70	
	SIXTH						0	0.00					1	50.00		1	50.00									Excluded		0	0.00		2	
		TOTAL					15	21.43					41	58.57		4	5.71											10	14.29		70	
	SEVENTH						7	70.00					1	10.00		2	20.00												Excluded		10	
		TOTAL					22	31.43					42	60.00		6	8.57														70	
	EIGHTH						2	33.33					4	66.67			Excluded														6	
		TOTAL					24	34.29					46	65.71																	70	
													Elected																			
																																
Islington                                                      																																
	FIRST			54	7.76		122	17.53		15	2.16		322	46.26		94	13.51		3	0.43		7	1.01		50	7.18		29	4.17		696	
	SECOND			0	0.00		0	0.00		2	66.67		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		54	7.76		122	17.53		17	2.44		322	46.26		95	13.65					7	1.01		50	7.18		29	4.17		696	
	THIRD			0	0.00		3	42.86		0	0.00		0	0.00		2	28.57						Excluded		2	28.57		0	0.00		7	
		TOTAL		54	7.76		125	17.96		17	2.44		322	46.26		97	13.94								52	7.47		29	4.17		696	
	FOURTH			0	0.00		7	41.18			Excluded		5	29.41		3	17.65								1	5.88		1	5.88		17	
		TOTAL		54	7.76		132	18.97					327	46.98		100	14.37								53	7.61		30	4.31		696	
	FIFTH				Excluded		17	31.48					23	42.59		11	20.37								2	3.70		1	1.85		54	
		TOTAL					149	21.41					350	50.29		111	15.95								55	7.90		31	4.45		696	
	SIXTH						7	12.73					16	29.09		29	52.73									Excluded		3	5.45		55	
		TOTAL					156	22.41					366	52.59		140	20.11											34	4.89		696	
	SEVENTH						10	29.41					10	29.41		14	41.18												Excluded		34	
		TOTAL					166	23.85					376	54.02		154	22.13														696	
	EIGHTH						44	28.57					110	71.43			Excluded														154	
		TOTAL					210	30.17					486	69.83																	696	
													Elected																			
																																
Jesmond                                                        																																
	FIRST			49	6.01		210	25.77		19	2.33		399	48.96		43	5.28		3	0.37		14	1.72		35	4.29		43	5.28		815	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		49	6.01		210	25.77		19	2.33		399	48.96		44	5.40					15	1.84		36	4.42		43	5.28		815	
	THIRD			0	0.00		5	33.33		3	20.00		3	20.00		0	0.00						Excluded		2	13.33		2	13.33		15	
		TOTAL		49	6.01		215	26.38		22	2.70		402	49.33		44	5.40								38	4.66		45	5.52		815	
	FOURTH			1	4.55		4	18.18			Excluded		4	18.18		5	22.73								4	18.18		4	18.18		22	
		TOTAL		50	6.13		219	26.87					406	49.82		49	6.01								42	5.15		49	6.01		815	
	FIFTH				Excluded		18	36.00					24	48.00		2	4.00								3	6.00		3	6.00		50	
		TOTAL					237	29.08					430	52.76		51	6.26								45	5.52		52	6.38		815	
	SIXTH						8	17.78					12	26.67		19	42.22									Excluded		6	13.33		45	
		TOTAL					245	30.06					442	54.23		70	8.59											58	7.12		815	
	SEVENTH						22	37.93					20	34.48		16	27.59												Excluded		58	
		TOTAL					267	32.76					462	56.69		86	10.55														815	
	EIGHTH						35	40.70					51	59.30			Excluded														86	
		TOTAL					302	37.06					513	62.94																	815	
													Elected																			
																																
Jesmond North                                                  																																
	FIRST			76	4.91		409	26.42		33	2.13		635	41.02		114	7.36		11	0.71		32	2.07		122	7.88		116	7.49		1548	
	SECOND			4	36.36		0	0.00		2	18.18		1	9.09		3	27.27			Excluded		0	0.00		1	9.09		0	0.00		11	
		TOTAL		80	5.17		409	26.42		35	2.26		636	41.09		117	7.56					32	2.07		123	7.95		116	7.49		1548	
	THIRD			2	6.25		19	59.38		0	0.00		2	6.25		3	9.38						Excluded		3	9.38		3	9.38		32	
		TOTAL		82	5.30		428	27.65		35	2.26		638	41.21		120	7.75								126	8.14		119	7.69		1548	
	FOURTH			2	5.71		9	25.71			Excluded		4	11.43		10	28.57								4	11.43		6	17.14		35	
		TOTAL		84	5.43		437	28.23					642	41.47		130	8.40								130	8.40		125	8.07		1548	
	FIFTH				Excluded		33	39.29					26	30.95		17	20.24								3	3.57		5	5.95		84	
		TOTAL					470	30.36					668	43.15		147	9.50								133	8.59		130	8.40		1548	
	SIXTH						22	16.54					46	34.59		60	45.11									Excluded		5	3.76		133	
		TOTAL					492	31.78					714	46.12		207	13.37											135	8.72		1548	
