Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hunter (84649)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Branxton		147	8.89		21	1.27		0	0.00		0	0.00		21	1.27		2	0.12		83	5.02		22	1.33		2	0.12		754	45.59		10	0.60		0	0.00		13	0.79		0	0.00		2	0.12		1	0.06		492	29.75		12	0.73		1	0.06		65	3.93		0	0.00		0	0.00		6	0.36		0	0.00		1654	97.75		38	2.25		1692	2.07
Broke		42	12.57		4	1.20		0	0.00		2	0.60		2	0.60		0	0.00		25	7.49		4	1.20		0	0.00		102	30.54		3	0.90		0	0.00		6	1.80		0	0.00		1	0.30		0	0.00		132	39.52		4	1.20		1	0.30		4	1.20		0	0.00		0	0.00		2	0.60		0	0.00		334	98.82		4	1.18		338	0.41
Camberwell		17	16.35		2	1.92		0	0.00		1	0.96		2	1.92		0	0.00		4	3.85		2	1.92		0	0.00		27	25.96		2	1.92		1	0.96		2	1.92		0	0.00		0	0.00		1	0.96		37	35.58		1	0.96		0	0.00		2	1.92		0	0.00		0	0.00		3	2.88		0	0.00		104	98.11		2	1.89		106	0.13
Cessnock		98	11.44		10	1.17		0	0.00		1	0.12		24	2.80		0	0.00		29	3.38		9	1.05		1	0.12		421	49.12		3	0.35		0	0.00		15	1.75		0	0.00		0	0.00		1	0.12		203	23.69		8	0.93		1	0.12		30	3.50		0	0.00		0	0.00		3	0.35		0	0.00		857	96.51		31	3.49		888	1.09
Cessnock East		114	11.38		12	1.20		0	0.00		0	0.00		19	1.90		1	0.10		46	4.59		11	1.10		4	0.40		603	60.18		4	0.40		0	0.00		8	0.80		0	0.00		1	0.10		2	0.20		146	14.57		5	0.50		1	0.10		19	1.90		0	0.00		0	0.00		6	0.60		0	0.00		1002	96.35		38	3.65		1040	1.27
Cessnock Hospital		68	8.66		13	1.66		0	0.00		0	0.00		22	2.80		0	0.00		44	5.61		4	0.51		5	0.64		408	51.97		4	0.51		2	0.25		3	0.38		0	0.00		1	0.13		0	0.00		177	22.55		10	1.27		0	0.00		17	2.17		0	0.00		1	0.13		6	0.76		0	0.00		785	98.13		15	1.88		800	0.98
Cessnock North		67	9.49		13	1.84		1	0.14		3	0.42		14	1.98		0	0.00		29	4.11		12	1.70		1	0.14		375	53.12		8	1.13		0	0.00		10	1.42		0	0.00		1	0.14		1	0.14		147	20.82		6	0.85		1	0.14		14	1.98		0	0.00		0	0.00		3	0.42		0	0.00		706	97.78		16	2.22		722	0.89
Cessnock West		147	7.41		13	0.65		0	0.00		4	0.20		65	3.27		2	0.10		90	4.53		27	1.36		3	0.15		1108	55.82		7	0.35		0	0.00		0	0.00		24	1.21		1	0.05		0	0.00		400	20.15		17	0.86		3	0.15		62	3.12		0	0.00		1	0.05		10	0.50		1	0.05		1985	97.11		59	2.89		2044	2.51
Denman		115	10.49		5	0.46		0	0.00		4	0.36		22	2.01		1	0.09		36	3.28		17	1.55		7	0.64		355	32.39		14	1.28		2	0.18		19	1.73		1	0.09		0	0.00		1	0.09		462	42.15		13	1.19		0	0.00		13	1.19		1	0.09		1	0.09		7	0.64		0	0.00		1096	98.74		14	1.26		1110	1.36
East Maitland		81	7.74		17	1.63		0	0.00		8	0.76		13	1.24		1	0.10		84	8.03		10	0.96		3	0.29		414	39.58		3	0.29		1	0.10		14	1.34		0	0.00		1	0.10		1	0.10		355	33.94		3	0.29		0	0.00		33	3.15		1	0.10		0	0.00		3	0.29		0	0.00		1046	96.76		35	3.24		1081	1.33
East Maitland Heights		129	8.59		33	2.20		1	0.07		6	0.40		24	1.60		2	0.13		84	5.59		18	1.20		7	0.47		545	36.28		8	0.53		2	0.13		17	1.13		0	0.00		0	0.00		2	0.13		549	36.55		9	0.60		2	0.13		54	3.60		0	0.00		2	0.13		8	0.53		0	0.00		1502	96.84		49	3.16		1551	1.90
East Maitland South		109	6.28		30	1.73		3	0.17		4	0.23		24	1.38		2	0.12		136	7.83		16	0.92		4	0.23		608	35.02		11	0.63		0	0.00		9	0.52		0	0.00		2	0.12		1	0.06		705	40.61		8	0.46		0	0.00		59	3.40		0	0.00		0	0.00		4	0.23		1	0.06		1736	97.09		52	2.91		1788	2.19
Eastville		33	7.37		7	1.56		0	0.00		2	0.45		16	3.57		0	0.00		15	3.35		3	0.67		1	0.22		247	55.13		3	0.67		1	0.22		3	0.67		1	0.22		1	0.22		0	0.00		106	23.66		1	0.22		0	0.00		8	1.79		0	0.00		0	0.00		0	0.00		0	0.00		448	95.73		20	4.27		468	0.57
Elderslie		26	14.13		1	0.54		0	0.00		2	1.09		3	1.63		0	0.00		12	6.52		3	1.63		0	0.00		57	30.98		1	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		72	39.13		0	0.00		0	0.00		7	3.80		0	0.00		0	0.00		0	0.00		0	0.00		184	97.35		5	2.65		189	0.23
Ellalong		49	10.65		5	1.09		1	0.22		0	0.00		10	2.17		0	0.00		28	6.09		3	0.65		2	0.43		210	45.65		0	0.00		0	0.00		4	0.87		0	0.00		0	0.00		1	0.22		117	25.43		4	0.87		0	0.00		24	5.22		0	0.00		0	0.00		2	0.43		0	0.00		460	98.08		9	1.92		469	0.57
Francis Street		71	10.03		14	1.98		0	0.00		0	0.00		23	3.25		0	0.00		25	3.53		12	1.69		2	0.28		385	54.38		5	0.71		0	0.00		10	1.41		0	0.00		1	0.14		0	0.00		129	18.22		6	0.85		1	0.14		19	2.68		0	0.00		1	0.14		4	0.56		0	0.00		708	97.25		20	2.75		728	0.89
Gillieston Heights		45	10.77		4	0.96		0	0.00		4	0.96		9	2.15		1	0.24		10	2.39		6	1.44		3	0.72		184	44.02		3	0.72		2	0.48		7	1.67		0	0.00		0	0.00		0	0.00		125	29.90		1	0.24		0	0.00		11	2.63		0	0.00		0	0.00		1	0.24		2	0.48		418	98.82		5	1.18		423	0.52
Glendon		21	13.38		7	4.46		0	0.00		0	0.00		5	3.18		1	0.64		8	5.10		0	0.00		0	0.00		25	15.92		1	0.64		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		81	51.59		1	0.64		0	0.00		6	3.82		0	0.00		0	0.00		0	0.00		0	0.00		157	99.37		1	0.63		158	0.19
Glendon Brook		20	14.08		2	1.41		0	0.00		0	0.00		0	0.00		0	0.00		8	5.63		0	0.00		0	0.00		24	16.90		2	1.41		0	0.00		1	0.70		0	0.00		0	0.00		0	0.00		81	57.04		1	0.70		0	0.00		3	2.11		0	0.00		0	0.00		0	0.00		0	0.00		142	98.61		2	1.39		144	0.18
Greenlands		12	6.98		6	3.49		0	0.00		0	0.00		0	0.00		0	0.00		3	1.74		3	1.74		0	0.00		40	23.26		0	0.00		0	0.00		3	1.74		0	0.00		0	0.00		0	0.00		101	58.72		0	0.00		1	0.58		2	1.16		0	0.00		0	0.00		1	0.58		0	0.00		172	98.29		3	1.71		175	0.21
Greta		136	11.40		12	1.01		0	0.00		2	0.17		24	2.01		1	0.08		31	2.60		8	0.67		3	0.25		627	52.56		10	0.84		2	0.17		22	1.84		1	0.08		0	0.00		2	0.17		281	23.55		2	0.17		0	0.00		25	2.10		0	0.00		0	0.00		4	0.34		0	0.00		1193	96.44		44	3.56		1237	1.52
Heddon Greta		70	9.33		5	0.67		0	0.00		5	0.67		17	2.27		2	0.27		24	3.20		7	0.93		0	0.00		383	51.07		9	1.20		1	0.13		10	1.33		0	0.00		1	0.13		0	0.00		186	24.80		9	1.20		0	0.00		20	2.67		1	0.13		0	0.00		0	0.00		0	0.00		750	97.15		22	2.85		772	0.95
Jerrys Plains		40	17.09		1	0.43		0	0.00		0	0.00		5	2.14		1	0.43		7	2.99		2	0.85		1	0.43		59	25.21		1	0.43		0	0.00		3	1.28		0	0.00		0	0.00		0	0.00		108	46.15		0	0.00		0	0.00		5	2.14		0	0.00		0	0.00		1	0.43		0	0.00		234	97.50		6	2.50		240	0.29
Kearsley		76	12.48		9	1.48		0	0.00		0	0.00		18	2.96		1	0.16		23	3.78		10	1.64		1	0.16		304	49.92		10	1.64		0	0.00		6	0.99		0	0.00		0	0.00		0	0.00		131	21.51		1	0.16		0	0.00		17	2.79		0	0.00		0	0.00		2	0.33		0	0.00		609	97.60		15	2.40		624	0.76
Kitchener		38	11.14		1	0.29		0	0.00		1	0.29		12	3.52		0	0.00		26	7.62		5	1.47		1	0.29		165	48.39		1	0.29		1	0.29		0	0.00		0	0.00		1	0.29		0	0.00		75	21.99		1	0.29		0	0.00		10	2.93		0	0.00		0	0.00		3	0.88		0	0.00		341	94.46		20	5.54		361	0.44
Kurri Kurri		171	9.94		20	1.16		0	0.00		6	0.35		60	3.49		3	0.17		40	2.33		19	1.10		5	0.29		964	56.05		17	0.99		0	0.00		26	1.51		0	0.00		3	0.17		0	0.00		290	16.86		10	0.58		2	0.12		76	4.42		0	0.00		2	0.12		5	0.29		1	0.06		1720	96.30		66	3.70		1786	2.19
Kurri Kurri East		171	10.71		19	1.19		0	0.00		0	0.00		43	2.69		2	0.13		53	3.32		12	0.75		7	0.44		917	57.42		9	0.56		2	0.13		16	1.00		0	0.00		0	0.00		0	0.00		273	17.09		6	0.38		2	0.13		58	3.63		0	0.00		0	0.00		6	0.38		1	0.06		1597	97.26		45	2.74		1642	2.01
Largs		65	8.34		9	1.16		0	0.00		7	0.90		11	1.41		0	0.00		54	6.93		5	0.64		4	0.51		221	28.37		5	0.64		1	0.13		15	1.93		0	0.00		0	0.00		0	0.00		347	44.54		5	0.64		1	0.13		26	3.34		0	0.00		0	0.00		3	0.39		0	0.00		779	98.23		14	1.77		793	0.97
Lochinvar		83	7.80		7	0.66		0	0.00		14	1.32		13	1.22		1	0.09		44	4.14		13	1.22		3	0.28		334	31.39		12	1.13		0	0.00		11	1.03		0	0.00		0	0.00		1	0.09		481	45.21		7	0.66		1	0.09		37	3.48		0	0.00		0	0.00		2	0.19		0	0.00		1064	97.88		23	2.12		1087	1.33
Lorn		62	5.28		15	1.28		0	0.00		1	0.09		19	1.62		0	0.00		87	7.40		12	1.02		1	0.09		346	29.45		10	0.85		1	0.09		4	0.34		0	0.00		0	0.00		0	0.00		528	44.94		8	0.68		1	0.09		79	6.72		0	0.00		0	0.00		1	0.09		0	0.00		1175	96.39		44	3.61		1219	1.49
Lower Belford		31	12.55		1	0.40		0	0.00		3	1.21		2	0.81		1	0.40		12	4.86		4	1.62		1	0.40		60	24.29		1	0.40		0	0.00		3	1.21		0	0.00		0	0.00		0	0.00		114	46.15		3	1.21		0	0.00		7	2.83		0	0.00		1	0.40		3	1.21		0	0.00		247	96.11		10	3.89		257	0.32
Maitland		51	9.68		5	0.95		1	0.19		3	0.57		13	2.47		1	0.19		24	4.55		9	1.71		1	0.19		277	52.56		4	0.76		0	0.00		8	1.52		0	0.00		1	0.19		3	0.57		105	19.92		5	0.95		0	0.00		13	2.47		0	0.00		0	0.00		3	0.57		0	0.00		527	95.64		24	4.36		551	0.68
Maitland Grossmann High		31	7.42		12	2.87		0	0.00		0	0.00		8	1.91		0	0.00		37	8.85		9	2.15		0	0.00		140	33.49		2	0.48		0	0.00		1	0.24		0	0.00		0	0.00		0	0.00		153	36.60		4	0.96		0	0.00		16	3.83		0	0.00		0	0.00		4	0.96		1	0.24		418	98.82		5	1.18		423	0.52
Maitland High		96	8.38		17	1.48		0	0.00		3	0.26		23	2.01		2	0.17		78	6.81		11	0.96		1	0.09		414	36.13		6	0.52		1	0.09		13	1.13		0	0.00		1	0.09		0	0.00		417	36.39		7	0.61		1	0.09		51	4.45		0	0.00		0	0.00		4	0.35		0	0.00		1146	96.95		36	3.05		1182	1.45
Maitland Hospital		48	7.87		6	0.98		1	0.16		4	0.66		12	1.97		1	0.16		48	7.87		6	0.98		0	0.00		215	35.25		7	1.15		0	0.00		8	1.31		0	0.00		0	0.00		3	0.49		217	35.57		4	0.66		1	0.16		28	4.59		0	0.00		0	0.00		1	0.16		0	0.00		610	97.44		16	2.56		626	0.77
Maitland West		101	10.15		6	0.60		2	0.20		9	0.90		25	2.51		0	0.00		45	4.52		10	1.01		4	0.40		412	41.41		10	1.01		2	0.20		13	1.31		0	0.00		1	0.10		2	0.20		296	29.75		3	0.30		0	0.00		49	4.92		0	0.00		0	0.00		4	0.40		1	0.10		995	96.14		40	3.86		1035	1.27
Martindale		13	10.16		0	0.00		0	0.00		0	0.00		1	0.78		0	0.00		5	3.91		0	0.00		0	0.00		24	18.75		2	1.56		0	0.00		1	0.78		0	0.00		0	0.00		0	0.00		76	59.38		2	1.56		0	0.00		3	2.34		0	0.00		0	0.00		1	0.78		0	0.00		128	97.71		3	2.29		131	0.16
Metford		171	8.22		49	2.35		2	0.10		8	0.38		49	2.35		1	0.05		97	4.66		35	1.68		2	0.10		922	44.31		22	1.06		0	0.00		22	1.06		0	0.00		4	0.19		0	0.00		617	29.65		15	0.72		2	0.10		50	2.40		0	0.00		0	0.00		12	0.58		1	0.05		2081	98.02		42	1.98		2123	2.60
Milbrodale		42	17.36		4	1.65		0	0.00		2	0.83		3	1.24		0	0.00		10	4.13		0	0.00		0	0.00		64	26.45		3	1.24		0	0.00		3	1.24		0	0.00		1	0.41		0	0.00		97	40.08		1	0.41		0	0.00		7	2.89		0	0.00		0	0.00		5	2.07		0	0.00		242	96.03		10	3.97		252	0.31
Millfield		49	13.73		3	0.84		0	0.00		1	0.28		7	1.96		0	0.00		18	5.04		7	1.96		0	0.00		138	38.66		3	0.84		0	0.00		2	0.56		0	0.00		0	0.00		0	0.00		103	28.85		2	0.56		0	0.00		20	5.60		0	0.00		0	0.00		4	1.12		0	0.00		357	96.75		12	3.25		369	0.45
Mulbring		83	14.12		9	1.53		1	0.17		0	0.00		11	1.87		0	0.00		29	4.93		3	0.51		2	0.34		176	29.93		3	0.51		0	0.00		4	0.68		0	0.00		0	0.00		0	0.00		194	32.99		5	0.85		0	0.00		65	11.05		0	0.00		0	0.00		3	0.51		0	0.00		588	98.16		11	1.84		599	0.73
Muswellbrook		89	7.86		23	2.03		1	0.09		6	0.53		25	2.21		0	0.00		53	4.68		13	1.15		1	0.09		436	38.48		12	1.06		1	0.09		23	2.03		1	0.09		4	0.35		1	0.09		395	34.86		11	0.97		4	0.35		25	2.21		0	0.00		0	0.00		9	0.79		0	0.00		1133	96.34		43	3.66		1176	1.44
Muswellbrook East		93	7.61		10	0.82		0	0.00		8	0.65		27	2.21		2	0.16		47	3.85		20	1.64		1	0.08		511	41.82		12	0.98		0	0.00		22	1.80		0	0.00		0	0.00		1	0.08		423	34.62		16	1.31		0	0.00		20	1.64		1	0.08		0	0.00		6	0.49		2	0.16		1222	98.07		24	1.93		1246	1.53
Muswellbrook North		131	6.68		12	0.61		0	0.00		2	0.10		34	1.73		1	0.05		42	2.14		23	1.17		5	0.25		882	44.98		16	0.82		2	0.10		25	1.27		0	0.00		3	0.15		2	0.10		704	35.90		14	0.71		2	0.10		47	2.40		0	0.00		1	0.05		10	0.51		3	0.15		1961	97.42		52	2.58		2013	2.47
Muswellbrook South		125	9.90		12	0.95		3	0.24		1	0.08		36	2.85		1	0.08		32	2.54		22	1.74		7	0.55		610	48.34		11	0.87		2	0.16		27	2.14		0	0.00		1	0.08		1	0.08		328	25.99		20	1.58		0	0.00		13	1.03		0	0.00		2	0.16		8	0.63		0	0.00		1262	96.48		46	3.52		1308	1.60
Neath		24	11.11		2	0.93		0	0.00		1	0.46		12	5.56		0	0.00		5	2.31		4	1.85		0	0.00		111	51.39		0	0.00		0	0.00		3	1.39		0	0.00		0	0.00		0	0.00		37	17.13		2	0.93		1	0.46		12	5.56		0	0.00		2	0.93		0	0.00		0	0.00		216	96.86		7	3.14		223	0.27
North Rothbury		25	9.58		2	0.77		0	0.00		0	0.00		3	1.15		0	0.00		12	4.60		1	0.38		1	0.38		139	53.26		1	0.38		1	0.38		5	1.92		0	0.00		0	0.00		2	0.77		62	23.75		1	0.38		0	0.00		5	1.92		0	0.00		0	0.00		1	0.38		0	0.00		261	98.12		5	1.88		266	0.33
Nulkaba		59	11.55		7	1.37		2	0.39		3	0.59		3	0.59		0	0.00		54	10.57		4	0.78		3	0.59		150	29.35		4	0.78		0	0.00		9	1.76		0	0.00		0	0.00		1	0.20		194	37.96		2	0.39		1	0.20		13	2.54		0	0.00		1	0.20		1	0.20		0	0.00		511	97.52		13	2.48		524	0.64
Paxton		40	9.83		6	1.47		0	0.00		2	0.49		12	2.95		0	0.00		12	2.95		8	1.97		1	0.25		219	53.81		3	0.74		0	0.00		4	0.98		1	0.25		0	0.00		0	0.00		81	19.90		4	0.98		1	0.25		11	2.70		0	0.00		0	0.00		2	0.49		0	0.00		407	97.37		11	2.63		418	0.51
Pelaw Main		52	10.22		4	0.79		0	0.00		0	0.00		9	1.77		1	0.20		17	3.34		6	1.18		3	0.59		293	57.56		5	0.98		1	0.20		7	1.38		0	0.00		0	0.00		0	0.00		70	13.75		4	0.79		0	0.00		34	6.68		0	0.00		1	0.20		2	0.39		0	0.00		509	98.83		6	1.17		515	0.63
Pokolbin		4	1.84		0	0.00		0	0.00		1	0.46		3	1.38		0	0.00		22	10.14		2	0.92		0	0.00		43	19.82		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		123	56.68		0	0.00		0	0.00		18	8.29		0	0.00		0	0.00		0	0.00		0	0.00		217	99.09		2	0.91		219	0.27
Rutherford		95	7.05		18	1.34		2	0.15		7	0.52		34	2.52		1	0.07		49	3.64		10	0.74		4	0.30		637	47.29		13	0.97		1	0.07		23	1.71		0	0.00		3	0.22		3	0.22		392	29.10		8	0.59		3	0.22		36	2.67		0	0.00		0	0.00		7	0.52		1	0.07		1347	97.26		38	2.74		1385	1.70
Rutherford North		191	7.26		29	1.10		0	0.00		12	0.46		64	2.43		1	0.04		95	3.61		32	1.22		2	0.08		1210	45.97		29	1.10		1	0.04		30	1.14		0	0.00		1	0.04		3	0.11		838	31.84		17	0.65		1	0.04		68	2.58		0	0.00		0	0.00		8	0.30		0	0.00		2632	97.27		74	2.73		2706	3.32
Rutherford West		65	10.24		8	1.26		0	0.00		2	0.31		20	3.15		0	0.00		26	4.09		11	1.73		1	0.16		275	43.31		2	0.31		0	0.00		24	3.78		1	0.16		0	0.00		1	0.16		176	27.72		8	1.26		0	0.00		10	1.57		0	0.00		0	0.00		4	0.63		1	0.16		635	98.91		7	1.09		642	0.79
Sandy Hollow		21	8.79		0	0.00		0	0.00		2	0.84		5	2.09		1	0.42		9	3.77		2	0.84		0	0.00		84	35.15		5	2.09		0	0.00		4	1.67		0	0.00		1	0.42		0	0.00		98	41.00		3	1.26		0	0.00		3	1.26		0	0.00		0	0.00		1	0.42		0	0.00		239	96.76		8	3.24		247	0.30
Singleton		117	8.19		15	1.05		0	0.00		4	0.28		19	1.33		1	0.07		69	4.83		21	1.47		0	0.00		507	35.50		15	1.05		1	0.07		20	1.40		0	0.00		0	0.00		1	0.07		572	40.06		7	0.49		1	0.07		51	3.57		0	0.00		0	0.00		7	0.49		0	0.00		1428	97.34		39	2.66		1467	1.80
Singleton East		50	5.92		8	0.95		0	0.00		2	0.24		10	1.18		1	0.12		42	4.98		3	0.36		1	0.12		283	33.53		7	0.83		1	0.12		12	1.42		0	0.00		2	0.24		0	0.00		399	47.27		1	0.12		1	0.12		20	2.37		0	0.00		0	0.00		1	0.12		0	0.00		844	96.90		27	3.10		871	1.07
Singleton Heights		246	8.11		41	1.35		2	0.07		7	0.23		59	1.95		3	0.10		150	4.95		38	1.25		4	0.13		1253	41.31		26	0.86		0	0.00		59	1.95		0	0.00		2	0.07		3	0.10		1058	34.88		17	0.56		0	0.00		47	1.55		0	0.00		0	0.00		18	0.59		0	0.00		3033	97.78		69	2.22		3102	3.80
Singleton South		217	9.24		30	1.28		0	0.00		2	0.09		74	3.15		1	0.04		127	5.41		20	0.85		2	0.09		978	41.65		27	1.15		1	0.04		56	2.39		1	0.04		2	0.09		4	0.17		717	30.54		28	1.19		2	0.09		41	1.75		1	0.04		0	0.00		16	0.68		1	0.04		2348	97.47		61	2.53		2409	2.95
Stanford Merthyr		46	9.94		9	1.94		0	0.00		0	0.00		4	0.86		0	0.00		8	1.73		7	1.51		3	0.65		271	58.53		1	0.22		0	0.00		6	1.30		0	0.00		0	0.00		0	0.00		82	17.71		9	1.94		1	0.22		15	3.24		0	0.00		0	0.00		1	0.22		0	0.00		463	95.86		20	4.14		483	0.59
Sydney (Hunter)		1	3.23		1	3.23		0	0.00		0	0.00		1	3.23		0	0.00		1	3.23		0	0.00		0	0.00		10	32.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	41.94		0	0.00		0	0.00		4	12.90		0	0.00		0	0.00		0	0.00		0	0.00		31	93.94		2	6.06		33	0.04
Telarah		163	10.10		19	1.18		1	0.06		10	0.62		43	2.66		3	0.19		49	3.04		21	1.30		1	0.06		805	49.88		8	0.50		0	0.00		23	1.43		0	0.00		4	0.25		0	0.00		394	24.41		20	1.24		2	0.12		42	2.60		0	0.00		1	0.06		3	0.19		2	0.12		1614	96.82		53	3.18		1667	2.04
Tenambit		139	6.38		33	1.52		0	0.00		8	0.37		32	1.47		0	0.00		127	5.83		36	1.65		5	0.23		943	43.32		16	0.73		1	0.05		23	1.06		0	0.00		1	0.05		3	0.14		732	33.62		11	0.51		2	0.09		57	2.62		0	0.00		0	0.00		8	0.37		0	0.00		2177	97.36		59	2.64		2236	2.74
Weston		217	11.25		27	1.40		0	0.00		4	0.21		60	3.11		0	0.00		60	3.11		25	1.30		3	0.16		1083	56.14		14	0.73		2	0.10		28	1.45		0	0.00		0	0.00		1	0.05		316	16.38		9	0.47		1	0.05		67	3.47		1	0.05		2	0.10		9	0.47		0	0.00		1929	96.16		77	3.84		2006	2.46
Wollombi		23	5.91		3	0.77		0	0.00		0	0.00		1	0.26		1	0.26		42	10.80		6	1.54		2	0.51		83	21.34		1	0.26		0	0.00		2	0.51		0	0.00		0	0.00		2	0.51		138	35.48		2	0.51		0	0.00		81	20.82		0	0.00		0	0.00		2	0.51		0	0.00		389	98.48		6	1.52		395	0.48
Wybong		14	12.50		1	0.89		0	0.00		0	0.00		4	3.57		1	0.89		6	5.36		1	0.89		0	0.00		28	25.00		3	2.68		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		51	45.54		0	0.00		0	0.00		2	1.79		0	0.00		0	0.00		0	0.00		0	0.00		112	94.92		6	5.08		118	0.14
Special Hospitals		13	2.74		3	0.63		1	0.21		5	1.05		4	0.84		2	0.42		6	1.26		0	0.00		1	0.21		262	55.16		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		0	0.00		173	36.42		1	0.21		0	0.00		1	0.21		0	0.00		0	0.00		2	0.42		0	0.00		475	98.14		9	1.86		484	0.59
Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		0	0.00		3	0.00
Total Ordinary		5913	8.82		883	1.32		31	0.05		209	0.31		1449	2.16		54	0.08		3122	4.65		776	1.16		147	0.22		29656	44.22		525	0.78		37	0.06		853	1.27		32	0.05		57	0.08		60	0.09		20327	30.31		462	0.69		50	0.07		2077	3.10		9	0.01		21	0.03		303	0.45		19	0.03		67072	97.26		1886	2.73		68958	84.54
