House of Representatives - 2001 Election: New South Wales																	
Distribution of Preferences																	
By Polling Place																	
																	
Sydney																	
				PLIBERSEK			HICKMAN			PETTETT			PARKER				
		TOTAL		854	57.98					285	19.35		334	22.67		1473	
	THIRD			282	84.43					52	15.57			Excluded		334	
		TOTAL		1136	77.12					337	22.88					1473	
				Elected													
																	
Glebe North                                                    																	
	FIRST			406	44.03		115	12.47		244	26.46		157	17.03		922	
	SECOND			34	29.57			Excluded		18	15.65		63	54.78		115	
		TOTAL		440	47.72					262	28.42		220	23.86		922	
	THIRD			180	81.82					40	18.18			Excluded		220	
		TOTAL		620	67.25					302	32.75					922	
				Elected													
																	
Hyde Park                                                      																	
	FIRST			189	41.45		40	8.77		154	33.77		73	16.01		456	
	SECOND			18	45.00			Excluded		3	7.50		19	47.50		40	
		TOTAL		207	45.39					157	34.43		92	20.18		456	
	THIRD			82	89.13					10	10.87			Excluded		92	
		TOTAL		289	63.38					167	36.62					456	
				Elected													
																	
Kings Cross                                                    																	
	FIRST			895	44.68		243	12.13		531	26.51		334	16.67		2003	
	SECOND			68	27.98			Excluded		24	9.88		151	62.14		243	
		TOTAL		963	48.08					555	27.71		485	24.21		2003	
	THIRD			432	89.07					53	10.93			Excluded		485	
		TOTAL		1395	69.65					608	30.35					2003	
				Elected													
																	
Lord Howe Island                                               																	
	FIRST			72	34.12		21	9.95		99	46.92		19	9.00		211	
	SECOND			5	23.81			Excluded		5	23.81		11	52.38		21	
		TOTAL		77	36.49					104	49.29		30	14.22		211	
	THIRD			25	83.33					5	16.67			Excluded		30	
		TOTAL		102	48.34					109	51.66					211	
				Elected													
																	
Millers Point                                                  																	
	FIRST			428	49.42		57	6.58		309	35.68		72	8.31		866	
	SECOND			20	35.09			Excluded		2	3.51		35	61.40		57	
		TOTAL		448	51.73					311	35.91		107	12.36		866	
	THIRD			90	84.11					17	15.89			Excluded		107	
		TOTAL		538	62.12					328	37.88					866	
				Elected													
																	
Newtown East                                                   																	
	FIRST			204	43.87		63	13.55		75	16.13		123	26.45		465	
	SECOND			17	26.98			Excluded		5	7.94		41	65.08		63	
		TOTAL		221	47.53					80	17.20		164	35.27		465	
	THIRD			153	93.29					11	6.71			Excluded		164	
		TOTAL		374	80.43					91	19.57					465	
				Elected													
																	
Newtown North (Sydney)                                         																	
	FIRST			668	42.47		225	14.30		264	16.78		416	26.45		1573	
	SECOND			68	30.22			Excluded		14	6.22		143	63.56		225	
		TOTAL		736	46.79					278	17.67		559	35.54		1573	
	THIRD			499	89.27					60	10.73			Excluded		559	
		TOTAL		1235	78.51					338	21.49					1573	
				Elected													
																	
Paddington South (Sydney)                                      																	
	FIRST			579	34.48		163	9.71		699	41.63		238	14.18		1679	
	SECOND			62	38.04			Excluded		25	15.34		76	46.63		163	
		TOTAL		641	38.18					724	43.12		314	18.70		1679	
	THIRD			254	80.89					60	19.11			Excluded		314	
		TOTAL		895	53.31					784	46.69					1679	
				Elected													
																	
Potts Point                                                    																	
	FIRST			1065	38.24		286	10.27		1050	37.70		384	13.79		2785	
	SECOND			81	28.32			Excluded		35	12.24		170	59.44		286	
		TOTAL		1146	41.15					1085	38.96		554	19.89		2785	
	THIRD			482	87.00					72	13.00			Excluded		554	
		TOTAL		1628	58.46					1157	41.54					2785	
				Elected													
																	
Prince Alfred Hospital                                         																	
	FIRST			225	42.61		71	13.45		165	31.25		67	12.69		528	
	SECOND			22	30.99			Excluded		14	19.72		35	49.30		71	
		TOTAL		247	46.78					179	33.90		102	19.32		528	
	THIRD			78	76.47					24	23.53			Excluded		102	
		TOTAL		325	61.55					203	38.45					528	
				Elected													
																	
Pyrmont                                                        																	
	FIRST			633	37.10		185	10.84		734	43.02		154	9.03		1706	
	SECOND			56	30.27			Excluded		45	24.32		84	45.41		185	
		TOTAL		689	40.39					779	45.66		238	13.95		1706	
	THIRD			185	77.73					53	22.27			Excluded		238	
		TOTAL		874	51.23					832	48.77					1706	
				Elected													
																	
Rachel Forster Hospital                                        																	
	FIRST			770	53.81		142	9.92		361	25.23		158	11.04		1431	
	SECOND			47	33.10			Excluded		19	13.38		76	53.52		142	
		TOTAL		817	57.09					380	26.55		234	16.35		1431	
	THIRD			197	84.19					37	15.81			Excluded		234	
		TOTAL		1014	70.86					417	29.14					1431	
				Elected													
																	
Redfern                                                        																	
	FIRST			966	58.94		162	9.88		373	22.76		138	8.42		1639	
	SECOND			60	37.04			Excluded		24	14.81		78	48.15		162	
		TOTAL		1026	62.60					397	24.22		216	13.18		1639	
	THIRD			177	81.94					39	18.06			Excluded		216	
		TOTAL		1203	73.40					436	26.60					1639	
				Elected													
																	
Redfern East                                                   																	
	FIRST			1160	62.70		138	7.46		393	21.24		159	8.59		1850	
	SECOND			51	36.96			Excluded		25	18.12		62	44.93		138	
		TOTAL		1211	65.46					418	22.59		221	11.95		1850	
	THIRD			178	80.54					43	19.46			Excluded		221	
		TOTAL		1389	75.08					461	24.92					1850	
				Elected													
																	
Rosebery                                                       																	
	FIRST			730	53.36		74	5.41		508	37.13		56	4.09		1368	
	SECOND			30	40.54			Excluded		12	16.22		32	43.24		74	
		TOTAL		760	55.56					520	38.01		88	6.43		1368	
	THIRD			64	72.73					24	27.27			Excluded		88	
		TOTAL		824	60.23					544	39.77					1368	
				Elected													
																	
Roslyn Gardens                                                 																	
	FIRST			439	39.30		110	9.85		422	37.78		146	13.07		1117	
	SECOND			29	26.36			Excluded		15	13.64		66	60.00		110	
		TOTAL		468	41.90					437	39.12		212	18.98		1117	
	THIRD			177	83.49					35	16.51			Excluded		212	
		TOTAL		645	57.74					472	42.26					1117	
				Elected													
																	
Rozelle                                                        																	
	FIRST			1190	41.93		270	9.51		900	31.71		478	16.84		2838	
	SECOND			80	29.63			Excluded		25	9.26		165	61.11		270	
		TOTAL		1270	44.75					925	32.59		643	22.66		2838	
	THIRD			533	82.89					110	17.11			Excluded		643	
		TOTAL		1803	63.53					1035	36.47					2838	
				Elected													
																	
South Sydney Hospital                                          																	
	FIRST			58	53.21		9	8.26		28	25.69		14	12.84		109	
	SECOND			4	44.44			Excluded		3	33.33		2	22.22		9	
		TOTAL		62	56.88					31	28.44		16	14.68		109	
	THIRD			11	68.75					5	31.25			Excluded		16	
		TOTAL		73	66.97					36	33.03					109	
				Elected													
																	
St Vincents Hospital                                           																	
	FIRST			123	44.24		37	13.31		78	28.06		40	14.39		278	
	SECOND			8	21.62			Excluded		7	18.92		22	59.46		37	
		TOTAL		131	47.12					85	30.58		62	22.30		278	
	THIRD			46	74.19					16	25.81			Excluded		62	
		TOTAL		177	63.67					101	36.33					278	
				Elected													
																	
Surry Hills                                                    																	
	FIRST			220	48.03		61	13.32		98	21.40		79	17.25		458	
	SECOND			24	39.34			Excluded		8	13.11		29	47.54		61	
		TOTAL		244	53.28					106	23.14		108	23.58		458	
	THIRD			93	86.11					15	13.89			Excluded		108	
		TOTAL		337	73.58					121	26.42					458	
				Elected													
																	
Surry Hills North                                              																	
	FIRST			682	41.92		268	16.47		423	26.00		254	15.61		1627	
	SECOND			76	28.36			Excluded		28	10.45		164	61.19		268	
		TOTAL		758	46.59					451	27.72		418	25.69		1627	
	THIRD			350	83.73					68	16.27			Excluded		418	
		TOTAL		1108	68.10					519	31.90					1627	
				Elected													
																	
Surry Hills South                                              																	
	FIRST			706	43.77		255	15.81		377	23.37		275	17.05		1613	
	SECOND			69	27.06			Excluded		22	8.63		164	64.31		255	
		TOTAL		775	48.05					399	24.74		439	27.22		1613	
	THIRD			366	83.37					73	16.63			Excluded		439	
		TOTAL		1141	70.74					472	29.26					1613	
				Elected													
																	
Sydney (Sydney)                                                																	
	FIRST			1144	39.56		273	9.44		1152	39.83		323	11.17		2892	
	SECOND			102	37.36			Excluded		47	17.22		124	45.42		273	
		TOTAL		1246	43.08					1199	41.46		447	15.46		2892	
	THIRD			350	78.30					97	21.70			Excluded		447	
		TOTAL		1596	55.19					1296	44.81					2892	
				Elected													
																	
Toxteth                                                        																	
	FIRST			496	47.28		84	8.01		244	23.26		225	21.45		1049	
	SECOND			33	39.29			Excluded		12	14.29		39	46.43		84	
		TOTAL		529	50.43					256	24.40		264	25.17		1049	
	THIRD			234	88.64					30	11.36			Excluded		264	
		TOTAL		763	72.74					286	27.26					1049	
				Elected													
																	
Ultimo                                                         																	
	FIRST			575	55.02		85	8.13		279	26.70		106	10.14		1045	
	SECOND			35	41.18			Excluded		11	12.94		39	45.88		85	
		TOTAL		610	58.37					290	27.75		145	13.88		1045	
	THIRD			113	77.93					32	22.07			Excluded		145	
		TOTAL		723	69.19					322	30.81					1045	
				Elected													
																	
Waterloo                                                       																	
	FIRST			602	69.20		31	3.56		177	20.34		60	6.90		870	
	SECOND			12	38.71			Excluded		9	29.03		10	32.26		31	
		TOTAL		614	70.57					186	21.38		70	8.05		870	
	THIRD			51	72.86					19	27.14			Excluded		70	
		TOTAL		665	76.44					205	23.56					870	
				Elected													
																	
Woolloomooloo                                                  																	
	FIRST			517	50.05		83	8.03		323	31.27		110	10.65		1033	
	SECOND			21	25.30			Excluded		17	20.48		45	54.22		83	
		TOTAL		538	52.08					340	32.91		155	15.00		1033	
	THIRD			115	74.19					40	25.81			Excluded		155	
		TOTAL		653	63.21					380	36.79					1033	
				Elected													
																	
Zetland                                                        																	
	FIRST			113	43.97		16	6.23		107	41.63		21	8.17		257	
	SECOND			8	50.00			Excluded		3	18.75		5	31.25		16	
		TOTAL		121	47.08					110	42.80		26	10.12		257	
	THIRD			17	65.38					9	34.62			Excluded		26	
		TOTAL		138	53.70					119	46.30					257	
				Elected													
																	
Special Hospital Team 1                                        																	
	FIRST			21	28.38		2	2.70		49	66.22		2	2.70		74	
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		2	
		TOTAL		21	28.38					50	67.57		3	4.05		74	
	THIRD			3	100.00					0	0.00			Excluded		3	
		TOTAL		24	32.43					50	67.57					74	
				Elected													
																	
Special Hospital Team 2                                        																	
	FIRST			58	75.32		0	0.00		17	22.08		2	2.60		77	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		58	75.32					17	22.08		2	2.60		77	
	THIRD			0	0.00					2	100.00			Excluded		2	
		TOTAL		58	75.32					19	24.68					77	
				Elected													
																	
Special Hospital Team 3                                        																	
	FIRST			44	60.27		2	2.74		25	34.25		2	2.74		73	
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		2	
		TOTAL		44	60.27					26	35.62		3	4.11		73	
	THIRD			1	33.33					2	66.67			Excluded		3	
		TOTAL		45	61.64					28	38.36					73	
				Elected													
																	
ABSENT																	
	FIRST			2948	38.29		906	11.77		2624	34.08		1222	15.87		7700	
	SECOND			320	35.32			Excluded		172	18.98		414	45.70		906	
		TOTAL		3268	42.44					2796	36.31		1636	21.25		7700	
	THIRD			1313	80.26					323	19.74			Excluded		1636	
		TOTAL		4581	59.49					3119	40.51					7700	
				Elected													
																	
POSTAL																	
	FIRST			1012	45.50		172	7.73		817	36.74		223	10.03		2224	
	SECOND			85	49.42			Excluded		24	13.95		63	36.63		172	
		TOTAL		1097	49.33					841	37.81		286	12.86		2224	
	THIRD			229	80.07					57	19.93			Excluded		286	
		TOTAL		1326	59.62					898	40.38					2224	
				Elected													
																	
PRE POLL																	
	FIRST			2079	41.53		625	12.49		1675	33.46		627	12.52		5006	
	SECOND			231	36.96			Excluded		108	17.28		286	45.76		625	
		TOTAL		2310	46.14					1783	35.62		913	18.24		5006	
	THIRD			731	80.07					182	19.93			Excluded		913	
		TOTAL		3041	60.75					1965	39.25					5006	
				Elected													
																	
PROVISIONAL																	
	FIRST			392	43.90		116	12.99		218	24.41		167	18.70		893	
	SECOND			41	35.34			Excluded		12	10.34		63	54.31		116	
		TOTAL		433	48.49					230	25.76		230	25.76		893	
	THIRD			199	86.52					31	13.48			Excluded		230	
		TOTAL		632	70.77					261	29.23					893	
				Elected													
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
