House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Parramatta																													
				BORGER			TONGSUMRITH			CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL				
		TOTAL		264	39.00					341	50.37					40	5.91					20	2.95		12	1.77		677	
	FIFTH			3	25.00					7	58.33					0	0.00					2	16.67			Excluded		12	
		TOTAL		267	39.44					348	51.40					40	5.91					22	3.25					677	
	SIXTH			8	20.00					6	15.00						Excluded					26	65.00					40	
		TOTAL		275	40.62					354	52.29											48	7.09					677	
	SEVENTH			37	77.08					11	22.92												Excluded					48	
		TOTAL		312	46.09					365	53.91																	677	
										Elected																			
																													
Carlingford North                                              																													
	FIRST			554	28.56		68	3.51		1135	58.51		39	2.01		57	2.94		1	0.05		50	2.58		36	1.86		1940	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		554	28.56		68	3.51		1136	58.56		39	2.01		57	2.94					50	2.58		36	1.86		1940	
	THIRD			28	41.18			Excluded		7	10.29		4	5.88		27	39.71					2	2.94		0	0.00		68	
		TOTAL		582	30.00					1143	58.92		43	2.22		84	4.33					52	2.68		36	1.86		1940	
	FOURTH			9	20.93					25	58.14			Excluded		6	13.95					3	6.98		0	0.00		43	
		TOTAL		591	30.46					1168	60.21					90	4.64					55	2.84		36	1.86		1940	
	FIFTH			13	36.11					16	44.44					1	2.78					6	16.67			Excluded		36	
		TOTAL		604	31.13					1184	61.03					91	4.69					61	3.14					1940	
	SIXTH			22	24.18					17	18.68						Excluded					52	57.14					91	
		TOTAL		626	32.27					1201	61.91											113	5.82					1940	
	SEVENTH			91	80.53					22	19.47												Excluded					113	
		TOTAL		717	36.96					1223	63.04																	1940	
										Elected																			
																													
Cumberland High                                                																													
	FIRST			907	33.36		72	2.65		1464	53.84		31	1.14		98	3.60		5	0.18		74	2.72		68	2.50		2719	
	SECOND			0	0.00		1	20.00		3	60.00		0	0.00		0	0.00			Excluded		1	20.00		0	0.00		5	
		TOTAL		907	33.36		73	2.68		1467	53.95		31	1.14		98	3.60					75	2.76		68	2.50		2719	
	THIRD			36	49.32			Excluded		10	13.70		0	0.00		23	31.51					4	5.48		0	0.00		73	
		TOTAL		943	34.68					1477	54.32		31	1.14		121	4.45					79	2.91		68	2.50		2719	
	FOURTH			3	9.68					19	61.29			Excluded		4	12.90					3	9.68		2	6.45		31	
		TOTAL		946	34.79					1496	55.02					125	4.60					82	3.02		70	2.57		2719	
	FIFTH			17	24.29					21	30.00					1	1.43					31	44.29			Excluded		70	
		TOTAL		963	35.42					1517	55.79					126	4.63					113	4.16					2719	
	SIXTH			35	27.78					18	14.29						Excluded					73	57.94					126	
		TOTAL		998	36.70					1535	56.45											186	6.84					2719	
	SEVENTH			135	72.58					51	27.42												Excluded					186	
		TOTAL		1133	41.67					1586	58.33																	2719	
										Elected																			
																													
Darcy Road                                                     																													
	FIRST			786	46.84		27	1.61		689	41.06		24	1.43		52	3.10		3	0.18		45	2.68		52	3.10		1678	
	SECOND			1	33.33		0	0.00		1	33.33		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		3	
		TOTAL		787	46.90		27	1.61		690	41.12		25	1.49		52	3.10					45	2.68		52	3.10		1678	
	THIRD			16	59.26			Excluded		3	11.11		0	0.00		5	18.52					3	11.11		0	0.00		27	
		TOTAL		803	47.85					693	41.30		25	1.49		57	3.40					48	2.86		52	3.10		1678	
	FOURTH			6	24.00					11	44.00			Excluded		6	24.00					0	0.00		2	8.00		25	
		TOTAL		809	48.21					704	41.95					63	3.75					48	2.86		54	3.22		1678	
	FIFTH			12	22.22					17	31.48					4	7.41					21	38.89			Excluded		54	
		TOTAL		821	48.93					721	42.97					67	3.99					69	4.11					1678	
	SIXTH			20	29.85					9	13.43						Excluded					38	56.72					67	
		TOTAL		841	50.12					730	43.50											107	6.38					1678	
	SEVENTH			79	73.83					28	26.17												Excluded					107	
		TOTAL		920	54.83					758	45.17																	1678	
										Elected																			
																													
Dundas                                                         																													
	FIRST			1013	39.11		69	2.66		1158	44.71		61	2.36		142	5.48		4	0.15		74	2.86		69	2.66		2590	
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		1014	39.15		69	2.66		1158	44.71		63	2.43		143	5.52					74	2.86		69	2.66		2590	
	THIRD			28	40.58			Excluded		7	10.14		1	1.45		25	36.23					7	10.14		1	1.45		69	
		TOTAL		1042	40.23					1165	44.98		64	2.47		168	6.49					81	3.13		70	2.70		2590	
	FOURTH			14	21.88					37	57.81			Excluded		5	7.81					5	7.81		3	4.69		64	
		TOTAL		1056	40.77					1202	46.41					173	6.68					86	3.32		73	2.82		2590	
	FIFTH			16	21.92					27	36.99					1	1.37					29	39.73			Excluded		73	
		TOTAL		1072	41.39					1229	47.45					174	6.72					115	4.44					2590	
	SIXTH			50	28.74					33	18.97						Excluded					91	52.30					174	
		TOTAL		1122	43.32					1262	48.73											206	7.95					2590	
	SEVENTH			142	68.93					64	31.07												Excluded					206	
		TOTAL		1264	48.80					1326	51.20																	2590	
										Elected																			
																													
Dundas Valley                                                  																													
	FIRST			316	41.52		3	0.39		345	45.34		16	2.10		33	4.34		0	0.00		24	3.15		24	3.15		761	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		316	41.52		3	0.39		345	45.34		16	2.10		33	4.34					24	3.15		24	3.15		761	
	THIRD			0	0.00			Excluded		0	0.00		1	33.33		2	66.67					0	0.00		0	0.00		3	
		TOTAL		316	41.52					345	45.34		17	2.23		35	4.60					24	3.15		24	3.15		761	
	FOURTH			3	17.65					7	41.18			Excluded		5	29.41					2	11.76		0	0.00		17	
		TOTAL		319	41.92					352	46.25					40	5.26					26	3.42		24	3.15		761	
	FIFTH			5	20.83					7	29.17					5	20.83					7	29.17			Excluded		24	
		TOTAL		324	42.58					359	47.17					45	5.91					33	4.34					761	
	SIXTH			14	31.11					10	22.22						Excluded					21	46.67					45	
		TOTAL		338	44.42					369	48.49											54	7.10					761	
	SEVENTH			40	74.07					14	25.93												Excluded					54	
		TOTAL		378	49.67					383	50.33																	761	
										Elected																			
																													
Ermington                                                      																													
	FIRST			260	40.63		2	0.31		304	47.50		4	0.63		17	2.66		2	0.31		17	2.66		34	5.31		640	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		260	40.63		2	0.31		304	47.50		4	0.63		19	2.97					17	2.66		34	5.31		640	
	THIRD			2	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL		262	40.94					304	47.50		4	0.63		19	2.97					17	2.66		34	5.31		640	
	FOURTH			2	50.00					1	25.00			Excluded		0	0.00					0	0.00		1	25.00		4	
		TOTAL		264	41.25					305	47.66					19	2.97					17	2.66		35	5.47		640	
	FIFTH			3	8.57					14	40.00					3	8.57					15	42.86			Excluded		35	
		TOTAL		267	41.72					319	49.84					22	3.44					32	5.00					640	
	SIXTH			4	18.18					3	13.64						Excluded					15	68.18					22	
		TOTAL		271	42.34					322	50.31											47	7.34					640	
	SEVENTH			26	55.32					21	44.68												Excluded					47	
		TOTAL		297	46.41					343	53.59																	640	
										Elected																			
																													
Ermington Central                                              																													
	FIRST			578	46.09		15	1.20		543	43.30		11	0.88		19	1.52		5	0.40		37	2.95		46	3.67		1254	
	SECOND			3	60.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		581	46.33		15	1.20		543	43.30		11	0.88		20	1.59					37	2.95		47	3.75		1254	
	THIRD			10	66.67			Excluded		0	0.00		0	0.00		5	33.33					0	0.00		0	0.00		15	
		TOTAL		591	47.13					543	43.30		11	0.88		25	1.99					37	2.95		47	3.75		1254	
	FOURTH			4	36.36					6	54.55			Excluded		1	9.09					0	0.00		0	0.00		11	
		TOTAL		595	47.45					549	43.78					26	2.07					37	2.95		47	3.75		1254	
	FIFTH			13	27.66					13	27.66					2	4.26					19	40.43			Excluded		47	
		TOTAL		608	48.48					562	44.82					28	2.23					56	4.47					1254	
	SIXTH			7	25.00					5	17.86						Excluded					16	57.14					28	
		TOTAL		615	49.04					567	45.22											72	5.74					1254	
	SEVENTH			45	62.50					27	37.50												Excluded					72	
		TOTAL		660	52.63					594	47.37																	1254	
										Elected																			
																													
Ermington West                                                 																													
	FIRST			1051	45.38		10	0.43		1022	44.13		38	1.64		67	2.89		6	0.26		41	1.77		81	3.50		2316	
	SECOND			0	0.00		1	16.67		0	0.00		4	66.67		0	0.00			Excluded		1	16.67		0	0.00		6	
		TOTAL		1051	45.38		11	0.47		1022	44.13		42	1.81		67	2.89					42	1.81		81	3.50		2316	
	THIRD			3	27.27			Excluded		0	0.00		0	0.00		7	63.64					1	9.09		0	0.00		11	
		TOTAL		1054	45.51					1022	44.13		42	1.81		74	3.20					43	1.86		81	3.50		2316	
	FOURTH			12	28.57					19	45.24			Excluded		3	7.14					7	16.67		1	2.38		42	
		TOTAL		1066	46.03					1041	44.95					77	3.32					50	2.16		82	3.54		2316	
	FIFTH			11	13.41					24	29.27					7	8.54					40	48.78			Excluded		82	
		TOTAL		1077	46.50					1065	45.98					84	3.63					90	3.89					2316	
	SIXTH			27	32.14					16	19.05						Excluded					41	48.81					84	
		TOTAL		1104	47.67					1081	46.68											131	5.66					2316	
	SEVENTH			49	37.40					82	62.60												Excluded					131	
		TOTAL		1153	49.78					1163	50.22																	2316	
										Elected																			
																													
Girraween                                                      																													
	FIRST			990	48.32		20	0.98		824	40.21		40	1.95		49	2.39		0	0.00		71	3.47		55	2.68		2049	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		990	48.32		20	0.98		824	40.21		40	1.95		49	2.39					71	3.47		55	2.68		2049	
	THIRD			11	55.00			Excluded		4	20.00		1	5.00		0	0.00					4	20.00		0	0.00		20	
		TOTAL		1001	48.85					828	40.41		41	2.00		49	2.39					75	3.66		55	2.68		2049	
	FOURTH			4	9.76					23	56.10			Excluded		6	14.63					3	7.32		5	12.20		41	
		TOTAL		1005	49.05					851	41.53					55	2.68					78	3.81		60	2.93		2049	
	FIFTH			15	25.00					19	31.67					4	6.67					22	36.67			Excluded		60	
		TOTAL		1020	49.78					870	42.46					59	2.88					100	4.88					2049	
	SIXTH			21	35.59					13	22.03						Excluded					25	42.37					59	
		TOTAL		1041	50.81					883	43.09											125	6.10					2049	
	SEVENTH			87	69.60					38	30.40												Excluded					125	
		TOTAL		1128	55.05					921	44.95																	2049	
										Elected																			
																													
Granville North (Parramatta)                                   																													
	FIRST			184	63.01		7	2.40		76	26.03		4	1.37		7	2.40		0	0.00		6	2.05		8	2.74		292	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		184	63.01		7	2.40		76	26.03		4	1.37		7	2.40					6	2.05		8	2.74		292	
	THIRD			5	71.43			Excluded		0	0.00		0	0.00		2	28.57					0	0.00		0	0.00		7	
		TOTAL		189	64.73					76	26.03		4	1.37		9	3.08					6	2.05		8	2.74		292	
	FOURTH			0	0.00					2	50.00			Excluded		0	0.00					1	25.00		1	25.00		4	
		TOTAL		189	64.73					78	26.71					9	3.08					7	2.40		9	3.08		292	
	FIFTH			4	44.44					2	22.22					1	11.11					2	22.22			Excluded		9	
		TOTAL		193	66.10					80	27.40					10	3.42					9	3.08					292	
	SIXTH			5	50.00					0	0.00						Excluded					5	50.00					10	
		TOTAL		198	67.81					80	27.40											14	4.79					292	
	SEVENTH			6	42.86					8	57.14												Excluded					14	
		TOTAL		204	69.86					88	30.14																	292	
										Elected																			
																													
Lake Parramatta                                                																													
	FIRST			506	39.50		12	0.94		626	48.87		20	1.56		39	3.04		3	0.23		53	4.14		22	1.72		1281	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		3	
		TOTAL		506	39.50		12	0.94		627	48.95		20	1.56		40	3.12					54	4.22		22	1.72		1281	
	THIRD			6	50.00			Excluded		1	8.33		2	16.67		1	8.33					2	16.67		0	0.00		12	
		TOTAL		512	39.97					628	49.02		22	1.72		41	3.20					56	4.37		22	1.72		1281	
	FOURTH			6	27.27					14	63.64			Excluded		1	4.55					0	0.00		1	4.55		22	
		TOTAL		518	40.44					642	50.12					42	3.28					56	4.37		23	1.80		1281	
	FIFTH			3	13.04					12	52.17					4	17.39					4	17.39			Excluded		23	
		TOTAL		521	40.67					654	51.05					46	3.59					60	4.68					1281	
	SIXTH			16	34.78					7	15.22						Excluded					23	50.00					46	
		TOTAL		537	41.92					661	51.60											83	6.48					1281	
	SEVENTH			66	79.52					17	20.48												Excluded					83	
		TOTAL		603	47.07					678	52.93																	1281	
										Elected																			
																													
Macarthur High                                                 																													
	FIRST			806	47.41		43	2.53		687	40.41		21	1.24		57	3.35		2	0.12		48	2.82		36	2.12		1700	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		807	47.47		43	2.53		687	40.41		21	1.24		58	3.41					48	2.82		36	2.12		1700	
	THIRD			14	32.56			Excluded		4	9.30		0	0.00		24	55.81					1	2.33		0	0.00		43	
		TOTAL		821	48.29					691	40.65		21	1.24		82	4.82					49	2.88		36	2.12		1700	
	FOURTH			4	19.05					9	42.86			Excluded		3	14.29					5	23.81		0	0.00		21	
		TOTAL		825	48.53					700	41.18					85	5.00					54	3.18		36	2.12		1700	
	FIFTH			1	2.78					9	25.00					3	8.33					23	63.89			Excluded		36	
		TOTAL		826	48.59					709	41.71					88	5.18					77	4.53					1700	
	SIXTH			16	18.18					18	20.45						Excluded					54	61.36					88	
		TOTAL		842	49.53					727	42.76											131	7.71					1700	
	SEVENTH			87	66.41					44	33.59												Excluded					131	
		TOTAL		929	54.65					771	45.35																	1700	
										Elected																			
																													
Noller Park                                                    																													
	FIRST			222	48.05		7	1.52		202	43.72		4	0.87		17	3.68		0	0.00		5	1.08		5	1.08		462	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		222	48.05		7	1.52		202	43.72		4	0.87		17	3.68					5	1.08		5	1.08		462	
	THIRD			3	42.86			Excluded		1	14.29		0	0.00		2	28.57					1	14.29		0	0.00		7	
		TOTAL		225	48.70					203	43.94		4	0.87		19	4.11					6	1.30		5	1.08		462	
	FOURTH			0	0.00					1	25.00			Excluded		1	25.00					1	25.00		1	25.00		4	
		TOTAL		225	48.70					204	44.16					20	4.33					7	1.52		6	1.30		462	
	FIFTH			2	33.33					1	16.67					0	0.00					3	50.00			Excluded		6	
		TOTAL		227	49.13					205	44.37					20	4.33					10	2.16					462	
	SIXTH			11	55.00					1	5.00						Excluded					8	40.00					20	
		TOTAL		238	51.52					206	44.59											18	3.90					462	
	SEVENTH			13	72.22					5	27.78												Excluded					18	
		TOTAL		251	54.33					211	45.67																	462	
										Elected																			
																													
North Rocks (Parramatta)                                       																													
	FIRST			254	27.43		25	2.70		544	58.75		19	2.05		26	2.81		1	0.11		37	4.00		20	2.16		926	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		254	27.43		25	2.70		545	58.86		19	2.05		26	2.81					37	4.00		20	2.16		926	
	THIRD			8	32.00			Excluded		6	24.00		0	0.00		10	40.00					1	4.00		0	0.00		25	
		TOTAL		262	28.29					551	59.50		19	2.05		36	3.89					38	4.10		20	2.16		926	
	FOURTH			4	21.05					12	63.16			Excluded		1	5.26					2	10.53		0	0.00		19	
		TOTAL		266	28.73					563	60.80					37	4.00					40	4.32		20	2.16		926	
	FIFTH			3	15.00					10	50.00					1	5.00					6	30.00			Excluded		20	
		TOTAL		269	29.05					573	61.88					38	4.10					46	4.97					926	
	SIXTH			6	15.79					11	28.95						Excluded					21	55.26					38	
		TOTAL		275	29.70					584	63.07											67	7.24					926	
	SEVENTH			45	67.16					22	32.84												Excluded					67	
		TOTAL		320	34.56					606	65.44																	926	
										Elected																			
																													
Northmead                                                      																													
	FIRST			1078	34.46		12	0.38		1651	52.78		74	2.37		97	3.10		3	0.10		100	3.20		113	3.61		3128	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		3	
		TOTAL		1078	34.46		12	0.38		1651	52.78		74	2.37		98	3.13					101	3.23		114	3.64		3128	
	THIRD			5	41.67			Excluded		1	8.33		1	8.33		4	33.33					1	8.33		0	0.00		12	
		TOTAL		1083	34.62					1652	52.81		75	2.40		102	3.26					102	3.26		114	3.64		3128	
	FOURTH			10	13.33					51	68.00			Excluded		7	9.33					5	6.67		2	2.67		75	
		TOTAL		1093	34.94					1703	54.44					109	3.48					107	3.42		116	3.71		3128	
	FIFTH			23	19.83					39	33.62					7	6.03					47	40.52			Excluded		116	
		TOTAL		1116	35.68					1742	55.69					116	3.71					154	4.92					3128	
	SIXTH			34	29.31					24	20.69						Excluded					58	50.00					116	
		TOTAL		1150	36.76					1766	56.46											212	6.78					3128	
	SEVENTH			134	63.21					78	36.79												Excluded					212	
		TOTAL		1284	41.05					1844	58.95																	3128	
										Elected																			
																													
Oatlands                                                       																													
	FIRST			598	23.61		44	1.74		1614	63.72		24	0.95		99	3.91		1	0.04		80	3.16		73	2.88		2533	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		598	23.61		44	1.74		1614	63.72		24	0.95		99	3.91					80	3.16		74	2.92		2533	
	THIRD			10	22.73			Excluded		2	4.55		2	4.55		27	61.36					3	6.82		0	0.00		44	
		TOTAL		608	24.00					1616	63.80		26	1.03		126	4.97					83	3.28		74	2.92		2533	
	FOURTH			5	19.23					16	61.54			Excluded		2	7.69					2	7.69		1	3.85		26	
		TOTAL		613	24.20					1632	64.43					128	5.05					85	3.36		75	2.96		2533	
	FIFTH			11	14.67					26	34.67					3	4.00					35	46.67			Excluded		75	
		TOTAL		624	24.63					1658	65.46					131	5.17					120	4.74					2533	
	SIXTH			23	17.56					20	15.27						Excluded					88	67.18					131	
		TOTAL		647	25.54					1678	66.25											208	8.21					2533	
	SEVENTH			145	69.71					63	30.29												Excluded					208	
		TOTAL		792	31.27					1741	68.73																	2533	
										Elected																			
																													
Old Toongabbie                                                 																													
	FIRST			1834	42.96		52	1.22		1911	44.76		77	1.80		134	3.14		5	0.12		118	2.76		138	3.23		4269	
	SECOND			2	40.00		0	0.00		1	20.00		0	0.00		1	20.00			Excluded		1	20.00		0	0.00		5	
		TOTAL		1836	43.01		52	1.22		1912	44.79		77	1.80		135	3.16					119	2.79		138	3.23		4269	
	THIRD			26	50.00			Excluded		12	23.08		3	5.77		7	13.46					4	7.69		0	0.00		52	
		TOTAL		1862	43.62					1924	45.07		80	1.87		142	3.33					123	2.88		138	3.23		4269	
	FOURTH			12	15.00					56	70.00			Excluded		7	8.75					4	5.00		1	1.25		80	
		TOTAL		1874	43.90					1980	46.38					149	3.49					127	2.97		139	3.26		4269	
	FIFTH			19	13.67					42	30.22					13	9.35					65	46.76			Excluded		139	
		TOTAL		1893	44.34					2022	47.36					162	3.79					192	4.50					4269	
	SIXTH			41	25.31					32	19.75						Excluded					89	54.94					162	
		TOTAL		1934	45.30					2054	48.11											281	6.58					4269	
	SEVENTH			173	61.57					108	38.43												Excluded					281	
		TOTAL		2107	49.36					2162	50.64																	4269	
										Elected																			
																													
Parramatta                                                     																													
	FIRST			1097	54.90		92	4.60		590	29.53		14	0.70		79	3.95		3	0.15		88	4.40		35	1.75		1998	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		0	0.00		3	
		TOTAL		1098	54.95		92	4.60		590	29.53		14	0.70		79	3.95					90	4.50		35	1.75		1998	
	THIRD			38	41.30			Excluded		5	5.43		2	2.17		36	39.13					10	10.87		1	1.09		92	
		TOTAL		1136	56.86					595	29.78		16	0.80		115	5.76					100	5.01		36	1.80		1998	
	FOURTH			5	31.25					7	43.75			Excluded		1	6.25					3	18.75		0	0.00		16	
		TOTAL		1141	57.11					602	30.13					116	5.81					103	5.16		36	1.80		1998	
	FIFTH			8	22.22					14	38.89					2	5.56					12	33.33			Excluded		36	
		TOTAL		1149	57.51					616	30.83					118	5.91					115	5.76					1998	
	SIXTH			26	22.03					9	7.63						Excluded					83	70.34					118	
		TOTAL		1175	58.81					625	31.28											198	9.91					1998	
	SEVENTH			169	85.35					29	14.65												Excluded					198	
		TOTAL		1344	67.27					654	32.73																	1998	
										Elected																			
																													
Parramatta East                                                																													
	FIRST			471	43.85		9	0.84		494	46.00		15	1.40		28	2.61		1	0.09		38	3.54		18	1.68		1074	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		471	43.85		9	0.84		494	46.00		15	1.40		28	2.61					39	3.63		18	1.68		1074	
	THIRD			4	44.44			Excluded		3	33.33		0	0.00		1	11.11					1	11.11		0	0.00		9	
		TOTAL		475	44.23					497	46.28		15	1.40		29	2.70					40	3.72		18	1.68		1074	
	FOURTH			4	26.67					11	73.33			Excluded		0	0.00					0	0.00		0	0.00		15	
		TOTAL		479	44.60					508	47.30					29	2.70					40	3.72		18	1.68		1074	
	FIFTH			8	44.44					4	22.22					2	11.11					4	22.22			Excluded		18	
		TOTAL		487	45.34					512	47.67					31	2.89					44	4.10					1074	
	SIXTH			13	41.94					4	12.90						Excluded					14	45.16					31	
		TOTAL		500	46.55					516	48.04											58	5.40					1074	
	SEVENTH			40	68.97					18	31.03												Excluded					58	
		TOTAL		540	50.28					534	49.72																	1074	
										Elected																			
																													
Parramatta High                                                																													
	FIRST			267	44.80		12	2.01		253	42.45		3	0.50		25	4.19		2	0.34		21	3.52		13	2.18		596	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		267	44.80		12	2.01		253	42.45		3	0.50		26	4.36					21	3.52		14	2.35		596	
	THIRD			7	58.33			Excluded		2	16.67		0	0.00		0	0.00					2	16.67		1	8.33		12	
		TOTAL		274	45.97					255	42.79		3	0.50		26	4.36					23	3.86		15	2.52		596	
	FOURTH			0	0.00					3	100.00			Excluded		0	0.00					0	0.00		0	0.00		3	
		TOTAL		274	45.97					258	43.29					26	4.36					23	3.86		15	2.52		596	
	FIFTH			3	20.00					6	40.00					3	20.00					3	20.00			Excluded		15	
		TOTAL		277	46.48					264	44.30					29	4.87					26	4.36					596	
	SIXTH			8	27.59					3	10.34						Excluded					18	62.07					29	
		TOTAL		285	47.82					267	44.80											44	7.38					596	
	SEVENTH			23	52.27					21	47.73												Excluded					44	
		TOTAL		308	51.68					288	48.32																	596	
										Elected																			
																													
Parramatta North                                               																													
	FIRST			764	45.58		11	0.66		708	42.24		16	0.95		65	3.88		8	0.48		70	4.18		34	2.03		1676	
	SECOND			3	37.50		0	0.00		1	12.50		0	0.00		1	12.50			Excluded		2	25.00		1	12.50		8	
		TOTAL		767	45.76		11	0.66		709	42.30		16	0.95		66	3.94					72	4.30		35	2.09		1676	
	THIRD			2	18.18			Excluded		0	0.00		1	9.09		6	54.55					2	18.18		0	0.00		11	
		TOTAL		769	45.88					709	42.30		17	1.01		72	4.30					74	4.42		35	2.09		1676	
	FOURTH			3	17.65					9	52.94			Excluded		4	23.53					0	0.00		1	5.88		17	
		TOTAL		772	46.06					718	42.84					76	4.53					74	4.42		36	2.15		1676	
	FIFTH			14	38.89					16	44.44					3	8.33					3	8.33			Excluded		36	
		TOTAL		786	46.90					734	43.79					79	4.71					77	4.59					1676	
	SIXTH			29	36.71					11	13.92						Excluded					39	49.37					79	
		TOTAL		815	48.63					745	44.45											116	6.92					1676	
	SEVENTH			82	70.69					34	29.31												Excluded					116	
		TOTAL		897	53.52					779	46.48																	1676	
										Elected																			
																													
Pendle Hill                                                    																													
	FIRST			1136	48.36		15	0.64		906	38.57		42	1.79		79	3.36		11	0.47		71	3.02		89	3.79		2349	
	SECOND			2	18.18		0	0.00		2	18.18		3	27.27		0	0.00			Excluded		4	36.36		0	0.00		11	
		TOTAL		1138	48.45		15	0.64		908	38.65		45	1.92		79	3.36					75	3.19		89	3.79		2349	
	THIRD			6	40.00			Excluded		0	0.00		3	20.00		6	40.00					0	0.00		0	0.00		15	
		TOTAL		1144	48.70					908	38.65		48	2.04		85	3.62					75	3.19		89	3.79		2349	
	FOURTH			9	18.75					24	50.00			Excluded		5	10.42					5	10.42		5	10.42		48	
		TOTAL		1153	49.08					932	39.68					90	3.83					80	3.41		94	4.00		2349	
	FIFTH			14	14.89					22	23.40					8	8.51					50	53.19			Excluded		94	
		TOTAL		1167	49.68					954	40.61					98	4.17					130	5.53					2349	
	SIXTH			40	40.82					20	20.41						Excluded					38	38.78					98	
		TOTAL		1207	51.38					974	41.46											168	7.15					2349	
	SEVENTH			96	57.14					72	42.86												Excluded					168	
		TOTAL		1303	55.47					1046	44.53																	2349	
										Elected																			
																													
Pendle Hill Central                                            																													
	FIRST			161	50.00		2	0.62		131	40.68		3	0.93		9	2.80		3	0.93		4	1.24		9	2.80		322	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		3	
