House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Shortland																										
				PERREM			CANDLISH			HALL			CRAIG			ADAMS			LAMBERT			GARDNIR				
		TOTAL		416	34.96		60	5.04		559	46.97		68	5.71		37	3.11		50	4.20					1190	
	THIRD			43	63.24		1	1.47		10	14.71			Excluded		2	2.94		12	17.65					68	
		TOTAL		459	38.57		61	5.13		569	47.82					39	3.28		62	5.21					1190	
	FOURTH			10	25.64		2	5.13		13	33.33						Excluded		14	35.90					39	
		TOTAL		469	39.41		63	5.29		582	48.91								76	6.39					1190	
	FIFTH			31	49.21			Excluded		19	30.16								13	20.63					63	
		TOTAL		500	42.02					601	50.50								89	7.48					1190	
	SIXTH			30	33.71					59	66.29									Excluded					89	
		TOTAL		530	44.54					660	55.46														1190	
										Elected																
																										
Blacksmiths                                                    																										
	FIRST			215	21.67		73	7.36		630	63.51		19	1.92		27	2.72		24	2.42		4	0.40		992	
	SECOND			0	0.00		1	25.00		1	25.00		1	25.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		215	21.67		74	7.46		631	63.61		20	2.02		27	2.72		25	2.52					992	
	THIRD			5	25.00		2	10.00		7	35.00			Excluded		3	15.00		3	15.00					20	
		TOTAL		220	22.18		76	7.66		638	64.31					30	3.02		28	2.82					992	
	FOURTH			3	10.00		3	10.00		11	36.67						Excluded		13	43.33					30	
		TOTAL		223	22.48		79	7.96		649	65.42								41	4.13					992	
	FIFTH			50	63.29			Excluded		19	24.05								10	12.66					79	
		TOTAL		273	27.52					668	67.34								51	5.14					992	
	SIXTH			14	27.45					37	72.55									Excluded					51	
		TOTAL		287	28.93					705	71.07														992	
										Elected																
																										
Budgewoi                                                       																										
	FIRST			608	32.29		91	4.83		1012	53.74		30	1.59		42	2.23		81	4.30		19	1.01		1883	
	SECOND			2	10.53		5	26.32		2	10.53		4	21.05		2	10.53		4	21.05			Excluded		19	
		TOTAL		610	32.40		96	5.10		1014	53.85		34	1.81		44	2.34		85	4.51					1883	
	THIRD			9	26.47		3	8.82		6	17.65			Excluded		6	17.65		10	29.41					34	
		TOTAL		619	32.87		99	5.26		1020	54.17					50	2.66		95	5.05					1883	
	FOURTH			8	16.00		6	12.00		12	24.00						Excluded		24	48.00					50	
		TOTAL		627	33.30		105	5.58		1032	54.81								119	6.32					1883	
	FIFTH			51	48.57			Excluded		36	34.29								18	17.14					105	
		TOTAL		678	36.01					1068	56.72								137	7.28					1883	
	SIXTH			43	31.39					94	68.61									Excluded					137	
		TOTAL		721	38.29					1162	61.71														1883	
										Elected																
																										
Budgewoi Central                                               																										
	FIRST			529	37.10		64	4.49		730	51.19		25	1.75		24	1.68		44	3.09		10	0.70		1426	
	SECOND			2	20.00		0	0.00		1	10.00		4	40.00		1	10.00		2	20.00			Excluded		10	
		TOTAL		531	37.24		64	4.49		731	51.26		29	2.03		25	1.75		46	3.23					1426	
	THIRD			12	41.38		2	6.90		7	24.14			Excluded		6	20.69		2	6.90					29	
		TOTAL		543	38.08		66	4.63		738	51.75					31	2.17		48	3.37					1426	
	FOURTH			5	16.13		2	6.45		8	25.81						Excluded		16	51.61					31	
		TOTAL		548	38.43		68	4.77		746	52.31								64	4.49					1426	
	FIFTH			27	39.71			Excluded		22	32.35								19	27.94					68	
		TOTAL		575	40.32					768	53.86								83	5.82					1426	
	SIXTH			20	24.10					63	75.90									Excluded					83	
		TOTAL		595	41.73					831	58.27														1426	
										Elected																
																										
Buff Point                                                     																										
	FIRST			599	37.77		66	4.16		796	50.19		28	1.77		38	2.40		43	2.71		16	1.01		1586	
	SECOND			4	25.00		0	0.00		2	12.50		4	25.00		0	0.00		6	37.50			Excluded		16	
		TOTAL		603	38.02		66	4.16		798	50.32		32	2.02		38	2.40		49	3.09					1586	
	THIRD			15	46.88		1	3.13		6	18.75			Excluded		2	6.25		8	25.00					32	
		TOTAL		618	38.97		67	4.22		804	50.69					40	2.52		57	3.59					1586	
	FOURTH			8	20.00		3	7.50		14	35.00						Excluded		15	37.50					40	
		TOTAL		626	39.47		70	4.41		818	51.58								72	4.54					1586	
	FIFTH			24	34.29			Excluded		31	44.29								15	21.43					70	
		TOTAL		650	40.98					849	53.53								87	5.49					1586	
	SIXTH			21	24.14					66	75.86									Excluded					87	
		TOTAL		671	42.31					915	57.69														1586	
										Elected																
																										
Catherine Hill Bay                                             																										
	FIRST			25	17.86		6	4.29		94	67.14		0	0.00		5	3.57		7	5.00		3	2.14		140	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3	
		TOTAL		25	17.86		7	5.00		94	67.14		0	0.00		6	4.29		8	5.71					140	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	
		TOTAL		25	17.86		7	5.00		94	67.14					6	4.29		8	5.71					140	
	FOURTH			1	16.67		0	0.00		4	66.67						Excluded		1	16.67					6	
		TOTAL		26	18.57		7	5.00		98	70.00								9	6.43					140	
	FIFTH			4	57.14			Excluded		3	42.86								0	0.00					7	
		TOTAL		30	21.43					101	72.14								9	6.43					140	
	SIXTH			4	44.44					5	55.56									Excluded					9	
		TOTAL		34	24.29					106	75.71														140	
										Elected																
																										
Caves Beach                                                    																										
	FIRST			1007	33.40		130	4.31		1506	49.95		106	3.52		96	3.18		148	4.91		22	0.73		3015	
	SECOND			2	9.09		4	18.18		6	27.27		6	27.27		2	9.09		2	9.09			Excluded		22	
		TOTAL		1009	33.47		134	4.44		1512	50.15		112	3.71		98	3.25		150	4.98					3015	
	THIRD			61	54.46		11	9.82		18	16.07			Excluded		11	9.82		11	9.82					112	
		TOTAL		1070	35.49		145	4.81		1530	50.75					109	3.62		161	5.34					3015	
	FOURTH			14	12.84		5	4.59		38	34.86						Excluded		52	47.71					109	
		TOTAL		1084	35.95		150	4.98		1568	52.01								213	7.06					3015	
	FIFTH			52	34.67			Excluded		51	34.00								47	31.33					150	
		TOTAL		1136	37.68					1619	53.70								260	8.62					3015	
	SIXTH			69	26.54					191	73.46									Excluded					260	
		TOTAL		1205	39.97					1810	60.03														3015	
										Elected																
																										
Chain Valley Bay                                               																										
	FIRST			329	36.56		51	5.67		454	50.44		11	1.22		20	2.22		30	3.33		5	0.56		900	
	SECOND			0	0.00		0	0.00		1	20.00		2	40.00		0	0.00		2	40.00			Excluded		5	
		TOTAL		329	36.56		51	5.67		455	50.56		13	1.44		20	2.22		32	3.56					900	
	THIRD			2	15.38		2	15.38		2	15.38			Excluded		3	23.08		4	30.77					13	
		TOTAL		331	36.78		53	5.89		457	50.78					23	2.56		36	4.00					900	
	FOURTH			5	21.74		1	4.35		5	21.74						Excluded		12	52.17					23	
		TOTAL		336	37.33		54	6.00		462	51.33								48	5.33					900	
	FIFTH			24	44.44			Excluded		19	35.19								11	20.37					54	
		TOTAL		360	40.00					481	53.44								59	6.56					900	
	SIXTH			22	37.29					37	62.71									Excluded					59	
		TOTAL		382	42.44					518	57.56														900	
										Elected																
																										
Charlestown                                                    																										
	FIRST			692	33.89		84	4.11		953	46.67		79	3.87		103	5.04		118	5.78		13	0.64		2042	
	SECOND			4	30.77		0	0.00		1	7.69		5	38.46		0	0.00		3	23.08			Excluded		13	
		TOTAL		696	34.08		84	4.11		954	46.72		84	4.11		103	5.04		121	5.93					2042	
	THIRD			44	52.38		7	8.33		9	10.71			Excluded		10	11.90		14	16.67					84	
		TOTAL		740	36.24		91	4.46		963	47.16					113	5.53		135	6.61					2042	
	FOURTH			18	15.93		8	7.08		27	23.89						Excluded		60	53.10					113	
		TOTAL		758	37.12		99	4.85		990	48.48								195	9.55					2042	
	FIFTH			38	38.38			Excluded		39	39.39								22	22.22					99	
		TOTAL		796	38.98					1029	50.39								217	10.63					2042	
	SIXTH			68	31.34					149	68.66									Excluded					217	
		TOTAL		864	42.31					1178	57.69														2042	
										Elected																
																										
Charlestown East                                               																										
	FIRST			438	35.61		48	3.90		611	49.67		39	3.17		37	3.01		52	4.23		5	0.41		1230	
	SECOND			1	20.00		0	0.00		0	0.00		3	60.00		1	20.00		0	0.00			Excluded		5	
		TOTAL		439	35.69		48	3.90		611	49.67		42	3.41		38	3.09		52	4.23					1230	
	THIRD			23	54.76		2	4.76		10	23.81			Excluded		2	4.76		5	11.90					42	
		TOTAL		462	37.56		50	4.07		621	50.49					40	3.25		57	4.63					1230	
	FOURTH			3	7.50		3	7.50		14	35.00						Excluded		20	50.00					40	
		TOTAL		465	37.80		53	4.31		635	51.63								77	6.26					1230	
	FIFTH			21	39.62			Excluded		10	18.87								22	41.51					53	
		TOTAL		486	39.51					645	52.44								99	8.05					1230	
	SIXTH			26	26.26					73	73.74									Excluded					99	
		TOTAL		512	41.63					718	58.37														1230	
										Elected																
																										
Charmhaven                                                     																										
	FIRST			421	38.66		64	5.88		499	45.82		37	3.40		30	2.75		34	3.12		4	0.37		1089	
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		423	38.84		64	5.88		499	45.82		38	3.49		30	2.75		35	3.21					1089	
	THIRD			17	44.74		3	7.89		7	18.42			Excluded		7	18.42		4	10.53					38	
		TOTAL		440	40.40		67	6.15		506	46.46					37	3.40		39	3.58					1089	
	FOURTH			2	5.41		3	8.11		10	27.03						Excluded		22	59.46					37	
		TOTAL		442	40.59		70	6.43		516	47.38								61	5.60					1089	
	FIFTH			32	45.71			Excluded		28	40.00								10	14.29					70	
		TOTAL		474	43.53					544	49.95								71	6.52					1089	
	SIXTH			17	23.94					54	76.06									Excluded					71	
		TOTAL		491	45.09					598	54.91														1089	
										Elected																
																										
Dudley                                                         																										
	FIRST			543	35.77		53	3.49		625	41.17		37	2.44		99	6.52		148	9.75		13	0.86		1518	
	SECOND			1	7.69		0	0.00		0	0.00		7	53.85		3	23.08		2	15.38			Excluded		13	
		TOTAL		544	35.84		53	3.49		625	41.17		44	2.90		102	6.72		150	9.88					1518	
	THIRD			27	61.36		6	13.64		2	4.55			Excluded		5	11.36		4	9.09					44	
		TOTAL		571	37.62		59	3.89		627	41.30					107	7.05		154	10.14					1518	
	FOURTH			9	8.41		2	1.87		19	17.76						Excluded		77	71.96					107	
		TOTAL		580	38.21		61	4.02		646	42.56								231	15.22					1518	
	FIFTH			25	40.98			Excluded		18	29.51								18	29.51					61	
		TOTAL		605	39.86					664	43.74								249	16.40					1518	
	SIXTH			60	24.10					189	75.90									Excluded					249	
		TOTAL		665	43.81					853	56.19														1518	
										Elected																
																										
Eleebana                                                       																										
	FIRST			1695	48.36		127	3.62		1148	32.75		144	4.11		209	5.96		162	4.62		20	0.57		3505	
	SECOND			4	20.00		1	5.00		1	5.00		4	20.00		5	25.00		5	25.00			Excluded		20	
		TOTAL		1699	48.47		128	3.65		1149	32.78		148	4.22		214	6.11		167	4.76					3505	
	THIRD			87	58.78		7	4.73		25	16.89			Excluded		12	8.11		17	11.49					148	
		TOTAL		1786	50.96		135	3.85		1174	33.50					226	6.45		184	5.25					3505	
	FOURTH			34	15.04		5	2.21		53	23.45						Excluded		134	59.29					226	
		TOTAL		1820	51.93		140	3.99		1227	35.01								318	9.07					3505	
	FIFTH			60	42.86			Excluded		42	30.00								38	27.14					140	
		TOTAL		1880	53.64					1269	36.21								356	10.16					3505	
	SIXTH			106	29.78					250	70.22									Excluded					356	
		TOTAL		1986	56.66					1519	43.34														3505	
										Elected																
																										
Floraville                                                     																										
	FIRST			485	33.89		57	3.98		731	51.08		62	4.33		50	3.49		30	2.10		16	1.12		1431	
	SECOND			2	12.50		2	12.50		5	31.25		4	25.00		0	0.00		3	18.75			Excluded		16	
		TOTAL		487	34.03		59	4.12		736	51.43		66	4.61		50	3.49		33	2.31					1431	
	THIRD			40	60.61		3	4.55		11	16.67			Excluded		7	10.61		5	7.58					66	
		TOTAL		527	36.83		62	4.33		747	52.20					57	3.98		38	2.66					1431	
	FOURTH			11	19.30		3	5.26		18	31.58						Excluded		25	43.86					57	
		TOTAL		538	37.60		65	4.54		765	53.46								63	4.40					1431	
	FIFTH			24	36.92			Excluded		19	29.23								22	33.85					65	
		TOTAL		562	39.27					784	54.79								85	5.94					1431	
	SIXTH			24	28.24					61	71.76									Excluded					85	
		TOTAL		586	40.95					845	59.05														1431	
										Elected																
																										
Gateshead                                                      																										
	FIRST			370	27.27		55	4.05		782	57.63		48	3.54		49	3.61		45	3.32		8	0.59		1357	
	SECOND			0	0.00		3	37.50		2	25.00		2	25.00		0	0.00		1	12.50			Excluded		8	
		TOTAL		370	27.27		58	4.27		784	57.77		50	3.68		49	3.61		46	3.39					1357	
	THIRD			19	38.00		5	10.00		12	24.00			Excluded		2	4.00		12	24.00					50	
		TOTAL		389	28.67		63	4.64		796	58.66					51	3.76		58	4.27					1357	
	FOURTH			6	11.76		2	3.92		9	17.65						Excluded		34	66.67					51	
		TOTAL		395	29.11		65	4.79		805	59.32								92	6.78					1357	
	FIFTH			13	20.00			Excluded		34	52.31								18	27.69					65	
		TOTAL		408	30.07					839	61.83								110	8.11					1357	
	SIXTH			19	17.27					91	82.73									Excluded					110	
		TOTAL		427	31.47					930	68.53														1357	
										Elected																
																										
Gateshead West                                                 																										
	FIRST			234	19.48		68	5.66		803	66.86		38	3.16		21	1.75		29	2.41		8	0.67		1201	
	SECOND			1	12.50		2	25.00		0	0.00		2	25.00		3	37.50		0	0.00			Excluded		8	
		TOTAL		235	19.57		70	5.83		803	66.86		40	3.33		24	2.00		29	2.41					1201	
	THIRD			15	37.50		5	12.50		11	27.50			Excluded		3	7.50		6	15.00					40	
		TOTAL		250	20.82		75	6.24		814	67.78					27	2.25		35	2.91					1201	
	FOURTH			3	11.11		4	14.81		10	37.04						Excluded		10	37.04					27	
		TOTAL		253	21.07		79	6.58		824	68.61								45	3.75					1201	
	FIFTH			18	22.78			Excluded		35	44.30								26	32.91					79	
		TOTAL		271	22.56					859	71.52								71	5.91					1201	
	SIXTH			17	23.94					54	76.06									Excluded					71	
		TOTAL		288	23.98					913	76.02														1201	
										Elected																
																										
Gorokan                                                        																										
	FIRST			916	37.56		112	4.59		1205	49.41		49	2.01		56	2.30		86	3.53		15	0.62		2439	
	SECOND			4	26.67		1	6.67		3	20.00		3	20.00		1	6.67		3	20.00			Excluded		15	
		TOTAL		920	37.72		113	4.63		1208	49.53		52	2.13		57	2.34		89	3.65					2439	
	THIRD			21	40.38		4	7.69		11	21.15			Excluded		7	13.46		9	17.31					52	
		TOTAL		941	38.58		117	4.80		1219	49.98					64	2.62		98	4.02					2439	
	FOURTH			10	15.63		4	6.25		26	40.63						Excluded		24	37.50					64	
		TOTAL		951	38.99		121	4.96		1245	51.05								122	5.00					2439	
	FIFTH			57	47.11			Excluded		31	25.62								33	27.27					121	
		TOTAL		1008	41.33					1276	52.32								155	6.36					2439	
	SIXTH			46	29.68					109	70.32									Excluded					155	
		TOTAL		1054	43.21					1385	56.79														2439	
										Elected																
																										
Gwandalan                                                      																										
	FIRST			587	39.58		52	3.51		733	49.43		34	2.29		31	2.09		40	2.70		6	0.40		1483	
	SECOND			0	0.00		0	0.00		0	0.00		2	33.33		1	16.67		3	50.00			Excluded		6	
		TOTAL		587	39.58		52	3.51		733	49.43		36	2.43		32	2.16		43	2.90					1483	
	THIRD			23	63.89		2	5.56		5	13.89			Excluded		4	11.11		2	5.56					36	
		TOTAL		610	41.13		54	3.64		738	49.76					36	2.43		45	3.03					1483	
	FOURTH			7	19.44		0	0.00		10	27.78						Excluded		19	52.78					36	
		TOTAL		617	41.60		54	3.64		748	50.44								64	4.32					1483	
	FIFTH			20	37.04			Excluded		20	37.04								14	25.93					54	
		TOTAL		637	42.95					768	51.79								78	5.26					1483	
	SIXTH			21	26.92					57	73.08									Excluded					78	
		TOTAL		658	44.37					825	55.63														1483	
										Elected																
																										
Jewells                                                        																										
	FIRST			693	34.44		75	3.73		974	48.41		108	5.37		73	3.63		75	3.73		14	0.70		2012	
	SECOND			3	21.43		1	7.14		1	7.14		7	50.00		1	7.14		1	7.14			Excluded		14	
		TOTAL		696	34.59		76	3.78		975	48.46		115	5.72		74	3.68		76	3.78					2012	
	THIRD			65	56.52		6	5.22		16	13.91			Excluded		16	13.91		12	10.43					115	
		TOTAL		761	37.82		82	4.08		991	49.25					90	4.47		88	4.37					2012	
	FOURTH			20	22.22		7	7.78		31	34.44						Excluded		32	35.56					90	
		TOTAL		781	38.82		89	4.42		1022	50.80								120	5.96					2012	
	FIFTH			39	43.82			Excluded		28	31.46								22	24.72					89	
		TOTAL		820	40.76					1050	52.19								142	7.06					2012	
	SIXTH			37	26.06					105	73.94									Excluded					142	
		TOTAL		857	42.59					1155	57.41														2012	
										Elected																
																										
Kahibah                                                        																										
	FIRST			681	35.12		93	4.80		903	46.57		56	2.89		66	3.40		126	6.50		14	0.72		1939	
	SECOND			3	21.43		1	7.14		4	28.57		4	28.57		0	0.00		2	14.29			Excluded		14	
		TOTAL		684	35.28		94	4.85		907	46.78		60	3.09		66	3.40		128	6.60					1939	
	THIRD			30	50.00		4	6.67		9	15.00			Excluded		8	13.33		9	15.00					60	
		TOTAL		714	36.82		98	5.05		916	47.24					74	3.82		137	7.07					1939	
	FOURTH			12	16.22		2	2.70		27	36.49						Excluded		33	44.59					74	
		TOTAL		726	37.44		100	5.16		943	48.63								170	8.77					1939	
	FIFTH			41	41.00			Excluded		33	33.00								26	26.00					100	
		TOTAL		767	39.56					976	50.34								196	10.11					1939	
	SIXTH			40	20.41					156	79.59									Excluded					196	
		TOTAL		807	41.62					1132	58.38														1939	
										Elected																
																										
Lake Haven                                                     																										
	FIRST			656	40.52		80	4.94		758	46.82		31	1.91		32	1.98		51	3.15		11	0.68		1619	
	SECOND			0	0.00		2	18.18		3	27.27		2	18.18		1	9.09		3	27.27			Excluded		11	
		TOTAL		656	40.52		82	5.06		761	47.00		33	2.04		33	2.04		54	3.34					1619	
	THIRD			19	57.58		1	3.03		5	15.15			Excluded		2	6.06		6	18.18					33	
		TOTAL		675	41.69		83	5.13		766	47.31					35	2.16		60	3.71					1619	
	FOURTH			8	22.86		2	5.71		8	22.86						Excluded		17	48.57					35	
		TOTAL		683	42.19		85	5.25		774	47.81								77	4.76					1619	
	FIFTH			38	44.71			Excluded		32	37.65								15	17.65					85	
		TOTAL		721	44.53					806	49.78								92	5.68					1619	
	SIXTH			31	33.70					61	66.30									Excluded					92	
		TOTAL		752	46.45					867	53.55														1619	
										Elected																
																										
Lake Munmorah                                                  																										
	FIRST			866	35.19		164	6.66		1183	48.07		54	2.19		64	2.60		119	4.84		11	0.45		2461	
	SECOND			1	9.09		1	9.09		4	36.36		1	9.09		0	0.00		4	36.36			Excluded		11	
		TOTAL		867	35.23		165	6.70		1187	48.23		55	2.23		64	2.60		123	5.00					2461	
	THIRD			31	56.36		10	18.18		8	14.55			Excluded		4	7.27		2	3.64					55	
		TOTAL		898	36.49		175	7.11		1195	48.56					68	2.76		125	5.08					2461	
	FOURTH			9	13.24		7	10.29		17	25.00						Excluded		35	51.47					68	
		TOTAL		907	36.85		182	7.40		1212	49.25								160	6.50					2461	
	FIFTH			105	57.69			Excluded		36	19.78								41	22.53					182	
		TOTAL		1012	41.12					1248	50.71								201	8.17					2461	
	SIXTH			54	26.87					147	73.13									Excluded					201	
		TOTAL		1066	43.32					1395	56.68														2461	
										Elected																
																										
Mannering Park                                                 																										
	FIRST			407	31.80		69	5.39		698	54.53		35	2.73		26	2.03		33	2.58		12	0.94		1280	
	SECOND			0	0.00		0	0.00		2	16.67		6	50.00		1	8.33		3	25.00			Excluded		12	
		TOTAL		407	31.80		69	5.39		700	54.69		41	3.20		27	2.11		36	2.81					1280	
	THIRD			25	60.98		1	2.44		6	14.63			Excluded		4	9.76		5	12.20					41	
		TOTAL		432	33.75		70	5.47		706	55.16					31	2.42		41	3.20					1280	
	FOURTH			5	16.13		1	3.23		8	25.81						Excluded		17	54.84					31	
		TOTAL		437	34.14		71	5.55		714	55.78								58	4.53					1280	
	FIFTH			29	40.85			Excluded		17	23.94								25	35.21					71	
		TOTAL		466	36.41					731	57.11								83	6.48					1280	
	SIXTH			31	37.35					52	62.65									Excluded					83	
		TOTAL		497	38.83					783	61.17														1280	
										Elected																
																										
Marks Point                                                    																										
	FIRST			340	25.32		60	4.47		809	60.24		36	2.68		34	2.53		50	3.72		14	1.04		1343	
	SECOND			2	14.29		2	14.29		5	35.71		1	7.14		0	0.00		4	28.57			Excluded		14	
		TOTAL		342	25.47		62	4.62		814	60.61		37	2.76		34	2.53		54	4.02					1343	
	THIRD			13	35.14		3	8.11		10	27.03			Excluded		2	5.41		9	24.32					37	
		TOTAL		355	26.43		65	4.84		824	61.36					36	2.68		63	4.69					1343	
	FOURTH			5	13.89		1	2.78		9	25.00						Excluded		21	58.33					36	
		TOTAL		360	26.81		66	4.91		833	62.03								84	6.25					1343	
	FIFTH			27	40.91			Excluded		27	40.91								12	18.18					66	
		TOTAL		387	28.82					860	64.04								96	7.15					1343	
	SIXTH			16	16.67					80	83.33									Excluded					96	
		TOTAL		403	30.01					940	69.99														1343	
										Elected																
																										
Mount Hutton (Shortland)                                       																										
	FIRST			452	33.09		53	3.88		660	48.32		72	5.27		41	3.00		77	5.64		11	0.81		1366	
	SECOND			1	9.09		2	18.18		2	18.18		0	0.00		3	27.27		3	27.27			Excluded		11	
		TOTAL		453	33.16		55	4.03		662	48.46		72	5.27		44	3.22		80	5.86					1366	
	THIRD			26	36.11		12	16.67		21	29.17			Excluded		3	4.17		10	13.89					72	
		TOTAL		479	35.07		67	4.90		683	50.00					47	3.44		90	6.59					1366	
	FOURTH			12	25.53		5	10.64		9	19.15						Excluded		21	44.68					47	
		TOTAL		491	35.94		72	5.27		692	50.66								111	8.13					1366	
	FIFTH			26	36.11			Excluded		25	34.72								21	29.17					72	
		TOTAL		517	37.85					717	52.49								132	9.66					1366	
	SIXTH			37	28.03					95	71.97									Excluded					132	
		TOTAL		554	40.56					812	59.44														1366	
										Elected																
																										
Norah Head                                                     																										
	FIRST			366	42.91		34	3.99		370	43.38		7	0.82		30	3.52		42	4.92		4	0.47		853	
	SECOND			0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		366	42.91		34	3.99		370	43.38		9	1.06		30	3.52		44	5.16					853	
	THIRD			1	11.11		2	22.22		2	22.22			Excluded		0	0.00		4	44.44					9	
		TOTAL		367	43.02		36	4.22		372	43.61					30	3.52		48	5.63					853	
	FOURTH			7	23.33		1	3.33		9	30.00						Excluded		13	43.33					30	
		TOTAL		374	43.85		37	4.34		381	44.67								61	7.15					853	
	FIFTH			19	51.35			Excluded		5	13.51								13	35.14					37	
		TOTAL		393	46.07					386	45.25								74	8.68					853	
	SIXTH			21	28.38					53	71.62									Excluded					74	
		TOTAL		414	48.53					439	51.47														853	
										Elected																
																										
Nords Wharf                                                    																										
	FIRST			210	39.77		15	2.84		231	43.75		17	3.22		24	4.55		29	5.49		2	0.38		528	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		210	39.77		15	2.84		232	43.94		18	3.41		24	4.55		29	5.49					528	
	THIRD			13	72.22		2	11.11		2	11.11			Excluded		1	5.56		0	0.00					18	
		TOTAL		223	42.23		17	3.22		234	44.32					25	4.73		29	5.49					528	
	FOURTH			1	4.00		4	16.00		12	48.00						Excluded		8	32.00					25	
		TOTAL		224	42.42		21	3.98		246	46.59								37	7.01					528	
	FIFTH			12	57.14			Excluded		3	14.29								6	28.57					21	
		TOTAL		236	44.70					249	47.16								43	8.14					528	
	SIXTH			5	11.63					38	88.37									Excluded					43	
		TOTAL		241	45.64					287	54.36														528	
										Elected																
																										
Pelican                                                        																										
	FIRST			171	23.36		61	8.33		450	61.48		9	1.23		14	1.91		20	2.73		7	0.96		732	
	SECOND			0	0.00		0	0.00		0	0.00		3	42.86		1	14.29		3	42.86			Excluded		7	
		TOTAL		171	23.36		61	8.33		450	61.48		12	1.64		15	2.05		23	3.14					732	
	THIRD			4	33.33		3	25.00		3	25.00			Excluded		1	8.33		1	8.33					12	
		TOTAL		175	23.91		64	8.74		453	61.89					16	2.19		24	3.28					732	
	FOURTH			3	18.75		0	0.00		4	25.00						Excluded		9	56.25					16	
		TOTAL		178	24.32		64	8.74		457	62.43								33	4.51					732	
	FIFTH			32	50.00			Excluded		23	35.94								9	14.06					64	
		TOTAL		210	28.69					480	65.57								42	5.74					732	
	SIXTH			6	14.29					36	85.71									Excluded					42	
