House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Calare (85310)											
		Candidate		"ANDREN, Peter"		              	"SHEARING, Dave"		             	Total	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	4	3	75.00		1	25.00		4	
		"KNOWLES, Kath (CLR)"	10	10	100.00		0	0.00		10	
		Total	15	60	86.96		9	13.04		69	

	Calare School										
			1st Prefs	923	68.02		434	31.98		1357	
		"MARSHALL, Don (DEM)"	23	17	73.91		6	26.09		23	
		"WATTS, Ian (GRN)"	24	13	54.17		11	45.83		24	
		"SIMPSON, David (CEC)"	5	3	60.00		2	40.00		5	
		"NIXON, Terry (HAN)"	42	28	66.67		14	33.33		42	
		"KNOWLES, Kath (CLR)"	245	219	89.39		26	10.61		245	
		Total	339	1203	70.93		493	29.07		1696	

	Canobolas										
			1st Prefs	103	68.21		48	31.79		151	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	4	2	50.00		2	50.00		4	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	3	1	33.33		2	66.67		3	
		"KNOWLES, Kath (CLR)"	4	3	75.00		1	25.00		4	
		Total	12	110	67.48		53	32.52		163	

	Canowindra										
			1st Prefs	732	68.16		342	31.84		1074	
		"MARSHALL, Don (DEM)"	21	17	80.95		4	19.05		21	
		"WATTS, Ian (GRN)"	15	11	73.33		4	26.67		15	
		"SIMPSON, David (CEC)"	4	2	50.00		2	50.00		4	
		"NIXON, Terry (HAN)"	100	75	75.00		25	25.00		100	
		"KNOWLES, Kath (CLR)"	186	170	91.40		16	8.60		186	
		Total	326	1007	71.93		393	28.07		1400	

	Capertee										
			1st Prefs	66	81.48		15	18.52		81	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	3	3	100.00		0	0.00		3	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	16	14	87.50		2	12.50		16	
		"KNOWLES, Kath (CLR)"	29	23	79.31		6	20.69		29	
		Total	51	108	81.82		24	18.18		132	

	Carcoar										
			1st Prefs	107	73.29		39	26.71		146	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	13	10	76.92		3	23.08		13	
		"KNOWLES, Kath (CLR)"	45	45	100.00		0	0.00		45	
		Total	60	164	79.61		42	20.39		206	

	Cargo										
			1st Prefs	124	62.00		76	38.00		200	
		"MARSHALL, Don (DEM)"	3	2	66.67		1	33.33		3	
		"WATTS, Ian (GRN)"	5	4	80.00		1	20.00		5	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	12	10	83.33		2	16.67		12	
		"KNOWLES, Kath (CLR)"	60	54	90.00		6	10.00		60	
		Total	80	194	69.29		86	30.71		280	

	Cooerwull										
			1st Prefs	1067	85.70		178	14.30		1245	
		"MARSHALL, Don (DEM)"	21	18	85.71		3	14.29		21	
		"WATTS, Ian (GRN)"	19	18	94.74		1	5.26		19	
		"SIMPSON, David (CEC)"	9	6	66.67		3	33.33		9	
		"NIXON, Terry (HAN)"	48	27	56.25		21	43.75		48	
		"KNOWLES, Kath (CLR)"	592	550	92.91		42	7.09		592	
		Total	689	1686	87.18		248	12.82		1934	

	Cowra										
			1st Prefs	1027	65.96		530	34.04		1557	
		"MARSHALL, Don (DEM)"	33	25	75.76		8	24.24		33	
		"WATTS, Ian (GRN)"	33	22	66.67		11	33.33		33	
		"SIMPSON, David (CEC)"	11	6	54.55		5	45.45		11	
		"NIXON, Terry (HAN)"	117	80	68.38		37	31.62		117	
		"KNOWLES, Kath (CLR)"	511	439	85.91		72	14.09		511	
		Total	705	1599	70.69		663	29.31		2262	

	Cowra North										
			1st Prefs	957	65.24		510	34.76		1467	
		"MARSHALL, Don (DEM)"	36	31	86.11		5	13.89		36	
		"WATTS, Ian (GRN)"	14	13	92.86		1	7.14		14	
		"SIMPSON, David (CEC)"	8	7	87.50		1	12.50		8	
		"NIXON, Terry (HAN)"	158	123	77.85		35	22.15		158	
		"KNOWLES, Kath (CLR)"	453	375	82.78		78	17.22		453	
		Total	669	1506	70.51		630	29.49		2136	

	Cowra West										
			1st Prefs	575	61.89		354	38.11		929	
		"MARSHALL, Don (DEM)"	16	11	68.75		5	31.25		16	
		"WATTS, Ian (GRN)"	9	7	77.78		2	22.22		9	
		"SIMPSON, David (CEC)"	6	5	83.33		1	16.67		6	
		"NIXON, Terry (HAN)"	64	39	60.94		25	39.06		64	
		"KNOWLES, Kath (CLR)"	182	160	87.91		22	12.09		182	
		Total	277	797	66.09		409	33.91		1206	

	Cudal										
			1st Prefs	229	61.23		145	38.77		374	
		"MARSHALL, Don (DEM)"	7	6	85.71		1	14.29		7	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	22	17	77.27		5	22.73		22	
		"KNOWLES, Kath (CLR)"	37	30	81.08		7	18.92		37	
		Total	68	284	64.25		158	35.75		442	

	Cullen Bullen										
			1st Prefs	69	84.15		13	15.85		82	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	2	2	100.00		0	0.00		2	
		"NIXON, Terry (HAN)"	5	4	80.00		1	20.00		5	
		"KNOWLES, Kath (CLR)"	77	70	90.91		7	9.09		77	
		Total	86	147	87.50		21	12.50		168	

	Cumnock										
			1st Prefs	190	73.64		68	26.36		258	
		"MARSHALL, Don (DEM)"	5	4	80.00		1	20.00		5	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	11	8	72.73		3	27.27		11	
		"KNOWLES, Kath (CLR)"	32	27	84.38		5	15.63		32	
		Total	50	231	75.00		77	25.00		308	

	Eglinton										
			1st Prefs	824	71.10		335	28.90		1159	
		"MARSHALL, Don (DEM)"	18	15	83.33		3	16.67		18	
		"WATTS, Ian (GRN)"	17	11	64.71		6	35.29		17	
		"SIMPSON, David (CEC)"	6	3	50.00		3	50.00		6	
		"NIXON, Terry (HAN)"	68	41	60.29		27	39.71		68	
		"KNOWLES, Kath (CLR)"	266	235	88.35		31	11.65		266	
		Total	375	1129	73.60		405	26.40		1534	

	Eugowra										
			1st Prefs	253	68.56		116	31.44		369	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	9	7	77.78		2	22.22		9	
		"SIMPSON, David (CEC)"	3	1	33.33		2	66.67		3	
		"NIXON, Terry (HAN)"	24	15	62.50		9	37.50		24	
		"KNOWLES, Kath (CLR)"	65	55	84.62		10	15.38		65	
		Total	102	332	70.49		139	29.51		471	

	Glenroi										
			1st Prefs	869	80.54		210	19.46		1079	
		"MARSHALL, Don (DEM)"	24	21	87.50		3	12.50		24	
		"WATTS, Ian (GRN)"	27	23	85.19		4	14.81		27	
		"SIMPSON, David (CEC)"	12	4	33.33		8	66.67		12	
		"NIXON, Terry (HAN)"	82	50	60.98		32	39.02		82	
		"KNOWLES, Kath (CLR)"	518	452	87.26		66	12.74		518	
		Total	663	1419	81.46		323	18.54		1742	

	Gooloogong										
			1st Prefs	98	54.75		81	45.25		179	
		"MARSHALL, Don (DEM)"	3	3	100.00		0	0.00		3	
		"WATTS, Ian (GRN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	20	16	80.00		4	20.00		20	
		"KNOWLES, Kath (CLR)"	25	23	92.00		2	8.00		25	
		Total	50	141	61.57		88	38.43		229	

	Hampton										
			1st Prefs	73	68.22		34	31.78		107	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	8	3	37.50		5	62.50		8	
		"KNOWLES, Kath (CLR)"	22	18	81.82		4	18.18		22	
		Total	35	99	69.72		43	30.28		142	

	Hartley										
			1st Prefs	147	57.87		107	42.13		254	
		"MARSHALL, Don (DEM)"	9	7	77.78		2	22.22		9	
		"WATTS, Ian (GRN)"	5	4	80.00		1	20.00		5	
		"SIMPSON, David (CEC)"	3	3	100.00		0	0.00		3	
		"NIXON, Terry (HAN)"	26	15	57.69		11	42.31		26	
		"KNOWLES, Kath (CLR)"	66	60	90.91		6	9.09		66	
		Total	109	236	65.01		127	34.99		363	

	Hermitage										
			1st Prefs	374	91.89		33	8.11		407	
		"MARSHALL, Don (DEM)"	11	11	100.00		0	0.00		11	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	4	2	50.00		2	50.00		4	
		"NIXON, Terry (HAN)"	18	11	61.11		7	38.89		18	
		"KNOWLES, Kath (CLR)"	205	186	90.73		19	9.27		205	
		Total	240	586	90.57		61	9.43		647	

	Hill End										
			1st Prefs	59	90.77		6	9.23		65	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	5	5	100.00		0	0.00		5	
		"KNOWLES, Kath (CLR)"	17	17	100.00		0	0.00		17	
		Total	22	81	93.10		6	6.90		87	

	Jenolan Caves										
			1st Prefs	19	70.37		8	29.63		27	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	1	0	0.00		1	100.00		1	
		"KNOWLES, Kath (CLR)"	6	4	66.67		2	33.33		6	
		Total	8	24	68.57		11	31.43		35	

	Kelso										
			1st Prefs	1324	71.34		532	28.66		1856	
		"MARSHALL, Don (DEM)"	27	21	77.78		6	22.22		27	
		"WATTS, Ian (GRN)"	29	24	82.76		5	17.24		29	
		"SIMPSON, David (CEC)"	14	7	50.00		7	50.00		14	
		"NIXON, Terry (HAN)"	91	73	80.22		18	19.78		91	
		"KNOWLES, Kath (CLR)"	635	576	90.71		59	9.29		635	
		Total	796	2025	76.36		627	23.64		2652	

	Kirkconnell										
			1st Prefs	61	71.76		24	28.24		85	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	3	1	33.33		2	66.67		3	
		"KNOWLES, Kath (CLR)"	16	14	87.50		2	12.50		16	
		Total	24	80	73.39		29	26.61		109	

	Lithgow										
			1st Prefs	883	84.90		157	15.10		1040	
		"MARSHALL, Don (DEM)"	37	33	89.19		4	10.81		37	
		"WATTS, Ian (GRN)"	19	17	89.47		2	10.53		19	
		"SIMPSON, David (CEC)"	4	3	75.00		1	25.00		4	
		"NIXON, Terry (HAN)"	64	47	73.44		17	26.56		64	
		"KNOWLES, Kath (CLR)"	608	551	90.63		57	9.38		608	
		Total	732	1534	86.57		238	13.43		1772	

	Lithgow Hospital										
			1st Prefs	66	91.67		6	8.33		72	
		"MARSHALL, Don (DEM)"	2	1	50.00		1	50.00		2	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	4	1	25.00		3	75.00		4	
		"KNOWLES, Kath (CLR)"	39	36	92.31		3	7.69		39	
		Total	46	105	88.98		13	11.02		118	

	Littleton										
			1st Prefs	308	85.32		53	14.68		361	
		"MARSHALL, Don (DEM)"	5	5	100.00		0	0.00		5	
		"WATTS, Ian (GRN)"	5	3	60.00		2	40.00		5	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	12	9	75.00		3	25.00		12	
		"KNOWLES, Kath (CLR)"	186	177	95.16		9	4.84		186	
		Total	209	503	88.25		67	11.75		570	

	Lucknow										
			1st Prefs	150	69.77		65	30.23		215	
		"MARSHALL, Don (DEM)"	3	3	100.00		0	0.00		3	
		"WATTS, Ian (GRN)"	6	6	100.00		0	0.00		6	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	14	8	57.14		6	42.86		14	
		"KNOWLES, Kath (CLR)"	24	24	100.00		0	0.00		24	
		Total	47	191	72.90		71	27.10		262	

	Lyndhurst										
			1st Prefs	116	70.73		48	29.27		164	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	22	16	72.73		6	27.27		22	
		"KNOWLES, Kath (CLR)"	37	30	81.08		7	18.92		37	
		Total	64	167	73.25		61	26.75		228	

	Mandurama										
			1st Prefs	91	58.71		64	41.29		155	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	5	4	80.00		1	20.00		5	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	15	10	66.67		5	33.33		15	
		"KNOWLES, Kath (CLR)"	34	30	88.24		4	11.76		34	
		Total	57	138	65.09		74	34.91		212	

	Manildra										
			1st Prefs	256	69.00		115	31.00		371	
		"MARSHALL, Don (DEM)"	3	2	66.67		1	33.33		3	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	2	1	50.00		1	50.00		2	
		"NIXON, Terry (HAN)"	28	18	64.29		10	35.71		28	
		"KNOWLES, Kath (CLR)"	100	89	89.00		11	11.00		100	
		Total	134	367	72.67		138	27.33		505	

	Meadow Flat										
			1st Prefs	109	77.30		32	22.70		141	
		"MARSHALL, Don (DEM)"	7	7	100.00		0	0.00		7	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	4	1	25.00		3	75.00		4	
		"KNOWLES, Kath (CLR)"	32	29	90.63		3	9.38		32	
		Total	44	147	79.46		38	20.54		185	

	Millthorpe										
			1st Prefs	377	68.42		174	31.58		551	
		"MARSHALL, Don (DEM)"	8	6	75.00		2	25.00		8	
		"WATTS, Ian (GRN)"	9	9	100.00		0	0.00		9	
		"SIMPSON, David (CEC)"	4	4	100.00		0	0.00		4	
		"NIXON, Terry (HAN)"	41	29	70.73		12	29.27		41	
		"KNOWLES, Kath (CLR)"	87	79	90.80		8	9.20		87	
		Total	149	504	72.00		196	28.00		700	

	Mitchell Campus										
			1st Prefs	67	81.71		15	18.29		82	
		"MARSHALL, Don (DEM)"	7	5	71.43		2	28.57		7	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	2	2	100.00		0	0.00		2	
		"KNOWLES, Kath (CLR)"	24	23	95.83		1	4.17		24	
		Total	38	101	84.17		19	15.83		120	

	Molong										
			1st Prefs	709	68.97		319	31.03		1028	
		"MARSHALL, Don (DEM)"	18	15	83.33		3	16.67		18	
		"WATTS, Ian (GRN)"	11	8	72.73		3	27.27		11	
		"SIMPSON, David (CEC)"	3	1	33.33		2	66.67		3	
		"NIXON, Terry (HAN)"	66	43	65.15		23	34.85		66	
		"KNOWLES, Kath (CLR)"	162	143	88.27		19	11.73		162	
		Total	260	919	71.35		369	28.65		1288	

	Morongla Creek										
			1st Prefs	78	42.62		105	57.38		183	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	10	4	40.00		6	60.00		10	
		"KNOWLES, Kath (CLR)"	12	12	100.00		0	0.00		12	
		Total	24	95	45.89		112	54.11		207	

	Mullion Creek										
			1st Prefs	159	67.66		76	32.34		235	
		"MARSHALL, Don (DEM)"	3	3	100.00		0	0.00		3	
		"WATTS, Ian (GRN)"	4	3	75.00		1	25.00		4	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	26	14	53.85		12	46.15		26	
		"KNOWLES, Kath (CLR)"	23	22	95.65		1	4.35		23	
		Total	57	201	68.84		91	31.16		292	

	Nashdale										
			1st Prefs	176	61.32		111	38.68		287	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	10	7	70.00		3	30.00		10	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	14	11	78.57		3	21.43		14	
		"KNOWLES, Kath (CLR)"	23	23	100.00		0	0.00		23	
		Total	48	218	65.07		117	34.93		335	

	Neville										
			1st Prefs	68	60.18		45	39.82		113	
		"MARSHALL, Don (DEM)"	4	2	50.00		2	50.00		4	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	10	5	50.00		5	50.00		10	
		"KNOWLES, Kath (CLR)"	8	6	75.00		2	25.00		8	
		Total	22	81	60.00		54	40.00		135	

	Newbridge										
			1st Prefs	72	63.72		41	36.28		113	
		"MARSHALL, Don (DEM)"	2	1	50.00		1	50.00		2	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	6	2	33.33		4	66.67		6	
		"KNOWLES, Kath (CLR)"	28	23	82.14		5	17.86		28	
		Total	39	101	66.45		51	33.55		152	

	O'Connell										
			1st Prefs	176	75.21		58	24.79		234	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	13	7	53.85		6	46.15		13	
		"KNOWLES, Kath (CLR)"	43	38	88.37		5	11.63		43	
		Total	63	228	76.77		69	23.23		297	

	Oakey Park										
			1st Prefs	222	94.07		14	5.93		236	
		"MARSHALL, Don (DEM)"	2	1	50.00		1	50.00		2	
		"WATTS, Ian (GRN)"	3	2	66.67		1	33.33		3	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	15	11	73.33		4	26.67		15	
		"KNOWLES, Kath (CLR)"	105	99	94.29		6	5.71		105	
		Total	125	335	92.80		26	7.20		361	

	Oberon										
			1st Prefs	865	64.99		466	35.01		1331	
		"MARSHALL, Don (DEM)"	41	30	73.17		11	26.83		41	
		"WATTS, Ian (GRN)"	26	23	88.46		3	11.54		26	
