House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Calare																									
				MARSHALL			WATTS			ANDREN			SIMPSON			SHEARING			NIXON			KNOWLES			
	FIRST			3	1.07		5	1.79		124	44.29		0	0.00		76	27.14		12	4.29		60	21.43		280
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.07		5	1.79		124	44.29					76	27.14		12	4.29		60	21.43		280
	THIRD				Excluded		1	33.33		1	33.33					0	0.00		0	0.00		1	33.33		3
		TOTAL					6	2.14		125	44.64					76	27.14		12	4.29		61	21.79		280
	FOURTH							Excluded		3	50.00					2	33.33		0	0.00		1	16.67		6
		TOTAL								128	45.71					78	27.86		12	4.29		62	22.14		280
	FIFTH									9	75.00					2	16.67			Excluded		1	8.33		12
		TOTAL								137	48.93					80	28.57					63	22.50		280
	SIXTH									57	90.48					6	9.52						Excluded		63
		TOTAL								194	69.29					86	30.71								280
										Elected															
																									
Cooerwull                                                      																									
	FIRST			21	1.09		19	0.98		1067	55.17		9	0.47		178	9.20		48	2.48		592	30.61		1934
	SECOND			3	33.33		3	33.33		1	11.11			Excluded		1	11.11		1	11.11		0	0.00		9
		TOTAL		24	1.24		22	1.14		1068	55.22					179	9.26		49	2.53		592	30.61		1934
	THIRD				Excluded		7	29.17		13	54.17					1	4.17		1	4.17		2	8.33		24
		TOTAL					29	1.50		1081	55.89					180	9.31		50	2.59		594	30.71		1934
	FOURTH							Excluded		22	75.86					2	6.90		2	6.90		3	10.34		29
		TOTAL								1103	57.03					182	9.41		52	2.69		597	30.87		1934
	FIFTH									24	46.15					14	26.92			Excluded		14	26.92		52
		TOTAL								1127	58.27					196	10.13					611	31.59		1934
	SIXTH									559	91.49					52	8.51						Excluded		611
		TOTAL								1686	87.18					248	12.82								1934
										Elected															
																									
Cowra                                                          																									
	FIRST			33	1.46		33	1.46		1027	45.40		11	0.49		530	23.43		117	5.17		511	22.59		2262
	SECOND			2	18.18		2	18.18		4	36.36			Excluded		2	18.18		1	9.09		0	0.00		11
		TOTAL		35	1.55		35	1.55		1031	45.58					532	23.52		118	5.22		511	22.59		2262
	THIRD				Excluded		13	37.14		6	17.14					2	5.71		7	20.00		7	20.00		35
		TOTAL					48	2.12		1037	45.84					534	23.61		125	5.53		518	22.90		2262
	FOURTH							Excluded		28	58.33					7	14.58		6	12.50		7	14.58		48
		TOTAL								1065	47.08					541	23.92		131	5.79		525	23.21		2262
	FIFTH									74	56.49					26	19.85			Excluded		31	23.66		131
		TOTAL								1139	50.35					567	25.07					556	24.58		2262
	SIXTH									460	82.73					96	17.27						Excluded		556
		TOTAL								1599	70.69					663	29.31								2262
										Elected															
																									
Cowra North                                                    																									
	FIRST			36	1.69		14	0.66		957	44.80		8	0.37		510	23.88		158	7.40		453	21.21		2136
	SECOND			2	25.00		3	37.50		2	25.00			Excluded		0	0.00		1	12.50		0	0.00		8
		TOTAL		38	1.78		17	0.80		959	44.90					510	23.88		159	7.44		453	21.21		2136
	THIRD				Excluded		19	50.00		14	36.84					3	7.89		1	2.63		1	2.63		38
		TOTAL					36	1.69		973	45.55					513	24.02		160	7.49		454	21.25		2136
	FOURTH							Excluded		24	66.67					2	5.56		4	11.11		6	16.67		36
		TOTAL								997	46.68					515	24.11		164	7.68		460	21.54		2136
	FIFTH									113	68.90					28	17.07			Excluded		23	14.02		164
		TOTAL								1110	51.97					543	25.42					483	22.61		2136
	SIXTH									396	81.99					87	18.01						Excluded		483
		TOTAL								1506	70.51					630	29.49								2136
										Elected															
																									
Cowra West                                                     																									
	FIRST			16	1.33		9	0.75		575	47.68		6	0.50		354	29.35		64	5.31		182	15.09		1206
	SECOND			0	0.00		1	16.67		3	50.00			Excluded		1	16.67		0	0.00		1	16.67		6
		TOTAL		16	1.33		10	0.83		578	47.93					355	29.44		64	5.31		183	15.17		1206
	THIRD				Excluded		8	50.00		3	18.75					3	18.75		0	0.00		2	12.50		16
		TOTAL					18	1.49		581	48.18					358	29.68		64	5.31		185	15.34		1206
	FOURTH							Excluded		12	66.67					1	5.56		1	5.56		4	22.22		18
		TOTAL								593	49.17					359	29.77		65	5.39		189	15.67		1206
	FIFTH									35	53.85					17	26.15			Excluded		13	20.00		65
		TOTAL								628	52.07					376	31.18					202	16.75		1206
	SIXTH									169	83.66					33	16.34						Excluded		202
		TOTAL								797	66.09					409	33.91								1206
										Elected															
																									
Cudal                                                          																									
	FIRST			7	1.58		1	0.23		229	51.81		1	0.23		145	32.81		22	4.98		37	8.37		442
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	1.58		1	0.23		230	52.04					145	32.81		22	4.98		37	8.37		442
	THIRD				Excluded		4	57.14		3	42.86					0	0.00		0	0.00		0	0.00		7
		TOTAL					5	1.13		233	52.71					145	32.81		22	4.98		37	8.37		442
	FOURTH							Excluded		4	80.00					1	20.00		0	0.00		0	0.00		5
		TOTAL								237	53.62					146	33.03		22	4.98		37	8.37		442
	FIFTH									11	50.00					4	18.18			Excluded		7	31.82		22
		TOTAL								248	56.11					150	33.94					44	9.95		442
	SIXTH									36	81.82					8	18.18						Excluded		44
		TOTAL								284	64.25					158	35.75								442
										Elected															
																									
Cullen Bullen                                                  																									
	FIRST			2	1.19		0	0.00		69	41.07		2	1.19		13	7.74		5	2.98		77	45.83		168
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		2	1.19		0	0.00		70	41.67					13	7.74		5	2.98		78	46.43		168
	THIRD				Excluded		2	100.00		0	0.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					2	1.19		70	41.67					13	7.74		5	2.98		78	46.43		168
	FOURTH							Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL								72	42.86					13	7.74		5	2.98		78	46.43		168
	FIFTH									1	20.00					1	20.00			Excluded		3	60.00		5
		TOTAL								73	43.45					14	8.33					81	48.21		168
	SIXTH									74	91.36					7	8.64						Excluded		81
		TOTAL								147	87.50					21	12.50								168
										Elected															
																									
Cumnock                                                        																									
	FIRST			5	1.62		1	0.32		190	61.69		1	0.32		68	22.08		11	3.57		32	10.39		308
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		5	1.62		1	0.32		190	61.69					68	22.08		12	3.90		32	10.39		308
	THIRD				Excluded		2	40.00		1	20.00					1	20.00		0	0.00		1	20.00		5
		TOTAL					3	0.97		191	62.01					69	22.40		12	3.90		33	10.71		308
	FOURTH							Excluded		3	100.00					0	0.00		0	0.00		0	0.00		3
		TOTAL								194	62.99					69	22.40		12	3.90		33	10.71		308
	FIFTH									9	75.00					1	8.33			Excluded		2	16.67		12
		TOTAL								203	65.91					70	22.73					35	11.36		308
	SIXTH									28	80.00					7	20.00						Excluded		35
		TOTAL								231	75.00					77	25.00								308
										Elected															
																									
Eglinton                                                       																									
	FIRST			18	1.17		17	1.11		824	53.72		6	0.39		335	21.84		68	4.43		266	17.34		1534
	SECOND			0	0.00		0	0.00		2	33.33			Excluded		1	16.67		1	16.67		2	33.33		6
		TOTAL		18	1.17		17	1.11		826	53.85					336	21.90		69	4.50		268	17.47		1534
	THIRD				Excluded		8	44.44		6	33.33					0	0.00		1	5.56		3	16.67		18
		TOTAL					25	1.63		832	54.24					336	21.90		70	4.56		271	17.67		1534
	FOURTH							Excluded		11	44.00					4	16.00		3	12.00		7	28.00		25
		TOTAL								843	54.95					340	22.16		73	4.76		278	18.12		1534
	FIFTH									36	49.32					25	34.25			Excluded		12	16.44		73
		TOTAL								879	57.30					365	23.79					290	18.90		1534
	SIXTH									250	86.21					40	13.79						Excluded		290
