House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Throsby																							
				ROBERTS			PRSA			PERROTT			AKHURST			STORY			GEORGE				
		TOTAL		132	9.64		83	6.06					255	18.63		72	5.26		827	60.41		1369	
	THIRD			22	30.56		7	9.72					9	12.50			Excluded		34	47.22		72	
		TOTAL		154	11.25		90	6.57					264	19.28					861	62.89		1369	
	FOURTH			17	18.89			Excluded					48	53.33					25	27.78		90	
		TOTAL		171	12.49								312	22.79					886	64.72		1369	
	FIFTH				Excluded								80	46.78					91	53.22		171	
		TOTAL											392	28.63					977	71.37		1369	
																			Elected				
																							
Berkeley                                                       																							
	FIRST			106	5.31		98	4.91		21	1.05		352	17.63		85	4.26		1335	66.85		1997	
	SECOND			2	9.52		6	28.57			Excluded		5	23.81		6	28.57		2	9.52		21	
		TOTAL		108	5.41		104	5.21					357	17.88		91	4.56		1337	66.95		1997	
	THIRD			41	45.05		9	9.89					5	5.49			Excluded		36	39.56		91	
		TOTAL		149	7.46		113	5.66					362	18.13					1373	68.75		1997	
	FOURTH			40	35.40			Excluded					40	35.40					33	29.20		113	
		TOTAL		189	9.46								402	20.13					1406	70.41		1997	
	FIFTH				Excluded								75	39.68					114	60.32		189	
		TOTAL											477	23.89					1520	76.11		1997	
																			Elected				
																							
Berkeley South                                                 																							
	FIRST			44	6.65		26	3.93		9	1.36		111	16.77		20	3.02		452	68.28		662	
	SECOND			2	22.22		0	0.00			Excluded		2	22.22		5	55.56		0	0.00		9	
		TOTAL		46	6.95		26	3.93					113	17.07		25	3.78		452	68.28		662	
	THIRD			9	36.00		1	4.00					3	12.00			Excluded		12	48.00		25	
		TOTAL		55	8.31		27	4.08					116	17.52					464	70.09		662	
	FOURTH			9	33.33			Excluded					13	48.15					5	18.52		27	
		TOTAL		64	9.67								129	19.49					469	70.85		662	
	FIFTH				Excluded								36	56.25					28	43.75		64	
		TOTAL											165	24.92					497	75.08		662	
																			Elected				
																							
Berkeley West                                                  																							
	FIRST			90	5.14		97	5.54		24	1.37		285	16.28		61	3.48		1194	68.19		1751	
	SECOND			9	37.50		5	20.83			Excluded		4	16.67		5	20.83		1	4.17		24	
		TOTAL		99	5.65		102	5.83					289	16.50		66	3.77		1195	68.25		1751	
	THIRD			28	42.42		3	4.55					7	10.61			Excluded		28	42.42		66	
		TOTAL		127	7.25		105	6.00					296	16.90					1223	69.85		1751	
	FOURTH			31	29.52			Excluded					36	34.29					38	36.19		105	
		TOTAL		158	9.02								332	18.96					1261	72.02		1751	
	FIFTH				Excluded								70	44.30					88	55.70		158	
		TOTAL											402	22.96					1349	77.04		1751	
																			Elected				
																							
Blackbutt                                                      																							
	FIRST			150	8.21		78	4.27		18	0.99		543	29.74		68	3.72		969	53.07		1826	
	SECOND			3	16.67		4	22.22			Excluded		6	33.33		4	22.22		1	5.56		18	
		TOTAL		153	8.38		82	4.49					549	30.07		72	3.94		970	53.12		1826	
	THIRD			31	43.06		7	9.72					6	8.33			Excluded		28	38.89		72	
		TOTAL		184	10.08		89	4.87					555	30.39					998	54.65		1826	
	FOURTH			35	39.33			Excluded					36	40.45					18	20.22		89	
		TOTAL		219	11.99								591	32.37					1016	55.64		1826	
	FIFTH				Excluded								113	51.60					106	48.40		219	
		TOTAL											704	38.55					1122	61.45		1826	
																			Elected				
																							
Brownsville                                                    																							
	FIRST			111	8.09		65	4.74		17	1.24		450	32.80		52	3.79		677	49.34		1372	
	SECOND			4	23.53		3	17.65			Excluded		2	11.76		6	35.29		2	11.76		17	
		TOTAL		115	8.38		68	4.96					452	32.94		58	4.23		679	49.49		1372	
	THIRD			18	31.03		5	8.62					6	10.34			Excluded		29	50.00		58	
		TOTAL		133	9.69		73	5.32					458	33.38					708	51.60		1372	
	FOURTH			36	49.32			Excluded					20	27.40					17	23.29		73	
		TOTAL		169	12.32								478	34.84					725	52.84		1372	
	FIFTH				Excluded								92	54.44					77	45.56		169	
		TOTAL											570	41.55					802	58.45		1372	
																			Elected				
																							
Cringila                                                       																							
	FIRST			94	7.57		21	1.69		34	2.74		92	7.41		50	4.03		951	76.57		1242	
	SECOND			7	20.59		3	8.82			Excluded		4	11.76		16	47.06		4	11.76		34	
		TOTAL		101	8.13		24	1.93					96	7.73		66	5.31		955	76.89		1242	
	THIRD			27	40.91		2	3.03					1	1.52			Excluded		36	54.55		66	
		TOTAL		128	10.31		26	2.09					97	7.81					991	79.79		1242	
	FOURTH			14	53.85			Excluded					8	30.77					4	15.38		26	
		TOTAL		142	11.43								105	8.45					995	80.11		1242	
	FIFTH				Excluded								81	57.04					61	42.96		142	
		TOTAL											186	14.98					1056	85.02		1242	
																			Elected				
																							
Dapto                                                          																							
	FIRST			177	7.17		167	6.77		32	1.30		642	26.02		98	3.97		1351	54.76		2467	
	SECOND			3	9.38		8	25.00			Excluded		6	18.75		13	40.63		2	6.25		32	
		TOTAL		180	7.30		175	7.09					648	26.27		111	4.50		1353	54.84		2467	
	THIRD			52	46.85		7	6.31					18	16.22			Excluded		34	30.63		111	
		TOTAL		232	9.40		182	7.38					666	27.00					1387	56.22		2467	
	FOURTH			38	20.88			Excluded					115	63.19					29	15.93		182	
		TOTAL		270	10.94								781	31.66					1416	57.40		2467	
	FIFTH				Excluded								128	47.41					142	52.59		270	
		TOTAL											909	36.85					1558	63.15		2467	
																			Elected				
																							
Farmborough Road                                               																							
	FIRST			330	10.66		142	4.59		52	1.68		876	28.29		219	7.07		1477	47.71		3096	
	SECOND			11	21.15		11	21.15			Excluded		8	15.38		15	28.85		7	13.46		52	
		TOTAL		341	11.01		153	4.94					884	28.55		234	7.56		1484	47.93		3096	
	THIRD			124	52.99		25	10.68					35	14.96			Excluded		50	21.37		234	
		TOTAL		465	15.02		178	5.75					919	29.68					1534	49.55		3096	
	FOURTH			62	34.83			Excluded					66	37.08					50	28.09		178	
		TOTAL		527	17.02								985	31.82					1584	51.16		3096	
	FIFTH				Excluded								213	40.42					314	59.58		527	
		TOTAL											1198	38.70					1898	61.30		3096	
																			Elected				
																							
Hayes Park                                                     																							
	FIRST			182	7.05		151	5.85		24	0.93		858	33.26		86	3.33		1279	49.57		2580	
	SECOND			4	16.67		4	16.67			Excluded		6	25.00		6	25.00		4	16.67		24	
		TOTAL		186	7.21		155	6.01					864	33.49		92	3.57		1283	49.73		2580	
	THIRD			38	41.30		10	10.87					16	17.39			Excluded		28	30.43		92	
		TOTAL		224	8.68		165	6.40					880	34.11					1311	50.81		2580	
	FOURTH			48	29.09			Excluded					73	44.24					44	26.67		165	
		TOTAL		272	10.54								953	36.94					1355	52.52		2580	
	FIFTH				Excluded								139	51.10					133	48.90		272	
		TOTAL											1092	42.33					1488	57.67		2580	
																			Elected				
																							
Kemblawarra                                                    																							
	FIRST			72	6.73		55	5.14		18	1.68		160	14.95		41	3.83		724	67.66		1070	
	SECOND			5	27.78		3	16.67			Excluded		7	38.89		3	16.67		0	0.00		18	
		TOTAL		77	7.20		58	5.42					167	15.61		44	4.11		724	67.66		1070	
	THIRD			14	31.82		3	6.82					6	13.64			Excluded		21	47.73		44	
		TOTAL		91	8.50		61	5.70					173	16.17					745	69.63		1070	
	FOURTH			22	36.07			Excluded					23	37.70					16	26.23		61	
		TOTAL		113	10.56								196	18.32					761	71.12		1070	
	FIFTH				Excluded								55	48.67					58	51.33		113	
		TOTAL											251	23.46					819	76.54		1070	
																			Elected				
																							
Koonawarra                                                     																							
	FIRST			117	5.38		166	7.63		31	1.42		379	17.42		82	3.77		1401	64.38		2176	
	SECOND			3	9.68		3	9.68			Excluded		2	6.45		14	45.16		9	29.03		31	
		TOTAL		120	5.51		169	7.77					381	17.51		96	4.41		1410	64.80		2176	
	THIRD			32	33.33		11	11.46					13	13.54			Excluded		40	41.67		96	
		TOTAL		152	6.99		180	8.27					394	18.11					1450	66.64		2176	
	FOURTH			52	28.89			Excluded					80	44.44					48	26.67		180	
		TOTAL		204	9.38								474	21.78					1498	68.84		2176	
	FIFTH				Excluded								101	49.51					103	50.49		204	
		TOTAL											575	26.42					1601	73.58		2176	
																			Elected				
																							
Lake Heights                                                   																							
	FIRST			83	6.42		79	6.11		14	1.08		263	20.36		65	5.03		788	60.99		1292	
	SECOND			4	28.57		5	35.71			Excluded		1	7.14		0	0.00		4	28.57		14	
		TOTAL		87	6.73		84	6.50					264	20.43		65	5.03		792	61.30		1292	
	THIRD			24	36.92		6	9.23					9	13.85			Excluded		26	40.00		65	
		TOTAL		111	8.59		90	6.97					273	21.13					818	63.31		1292	
	FOURTH			40	44.44			Excluded					31	34.44					19	21.11		90	
		TOTAL		151	11.69								304	23.53					837	64.78		1292	
	FIFTH				Excluded								78	51.66					73	48.34		151	
		TOTAL											382	29.57					910	70.43		1292	
																			Elected				
																							
Lake Illawarra                                                 																							
	FIRST			88	5.79		114	7.50		17	1.12		382	25.12		78	5.13		842	55.36		1521	
	SECOND			4	23.53		4	23.53			Excluded		2	11.76		3	17.65		4	23.53		17	
		TOTAL		92	6.05		118	7.76					384	25.25		81	5.33		846	55.62		1521	
	THIRD			39	48.15		5	6.17					9	11.11			Excluded		28	34.57		81	
		TOTAL		131	8.61		123	8.09					393	25.84					874	57.46		1521	
	FOURTH			37	30.08			Excluded					63	51.22					23	18.70		123	
		TOTAL		168	11.05								456	29.98					897	58.97		1521	
	FIFTH				Excluded								83	49.40					85	50.60		168	
		TOTAL											539	35.44					982	64.56		1521	
																			Elected				
																							
Lakelands                                                      																							
	FIRST			132	7.53		113	6.44		15	0.86		423	24.12		113	6.44		958	54.62		1754	
	SECOND			2	13.33		7	46.67			Excluded		2	13.33		4	26.67		0	0.00		15	
		TOTAL		134	7.64		120	6.84					425	24.23		117	6.67		958	54.62		1754	
	THIRD			62	52.99		12	10.26					14	11.97			Excluded		29	24.79		117	
		TOTAL		196	11.17		132	7.53					439	25.03					987	56.27		1754	
	FOURTH			49	37.12			Excluded					46	34.85					37	28.03		132	
		TOTAL		245	13.97								485	27.65					1024	58.38		1754	
	FIFTH				Excluded								103	42.04					142	57.96		245	
		TOTAL											588	33.52					1166	66.48		1754	
																			Elected				
																							
Marshall Mount                                                 																							
	FIRST			8	6.06		6	4.55		2	1.52		81	61.36		5	3.79		30	22.73		132	
	SECOND			0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		8	6.06		6	4.55					82	62.12		6	4.55		30	22.73		132	
	THIRD			3	50.00		0	0.00					2	33.33			Excluded		1	16.67		6	
		TOTAL		11	8.33		6	4.55					84	63.64					31	23.48		132	
	FOURTH			2	33.33			Excluded					2	33.33					2	33.33		6	
		TOTAL		13	9.85								86	65.15					33	25.00		132	
	FIFTH				Excluded								7	53.85					6	46.15		13	
		TOTAL											93	70.45					39	29.55		132	
																			Elected				
																							
Mount Brown                                                    																							
	FIRST			128	6.72		118	6.19		17	0.89		569	29.85		62	3.25		1012	53.10		1906	
	SECOND			4	23.53		3	17.65			Excluded		2	11.76		5	29.41		3	17.65		17	
		TOTAL		132	6.93		121	6.35					571	29.96		67	3.52		1015	53.25		1906	
	THIRD			21	31.34		7	10.45					12	17.91			Excluded		27	40.30		67	
		TOTAL		153	8.03		128	6.72					583	30.59					1042	54.67		1906	
	FOURTH			48	37.50			Excluded					51	39.84					29	22.66		128	
		TOTAL		201	10.55								634	33.26					1071	56.19		1906	
	FIFTH				Excluded								107	53.23					94	46.77		201	
		TOTAL											741	38.88					1165	61.12		1906	
																			Elected				
																							
Mount Terry                                                    																							
	FIRST			104	6.79		90	5.88		30	1.96		496	32.40		43	2.81		768	50.16		1531	
	SECOND			9	30.00		4	13.33			Excluded		5	16.67		9	30.00		3	10.00		30	
		TOTAL		113	7.38		94	6.14					501	32.72		52	3.40		771	50.36		1531	
	THIRD			20	38.46		4	7.69					5	9.62			Excluded		23	44.23		52	
		TOTAL		133	8.69		98	6.40					506	33.05					794	51.86		1531	
	FOURTH			34	34.69			Excluded					39	39.80					25	25.51		98	
		TOTAL		167	10.91								545	35.60					819	53.49		1531	
	FIFTH				Excluded								84	50.30					83	49.70		167	
		TOTAL											629	41.08					902	58.92		1531	
																			Elected				
																							
Mount Warrigal                                                 																							
	FIRST			167	7.23		146	6.32		55	2.38		524	22.69		110	4.76		1307	56.60		2309	
	SECOND			11	20.00		9	16.36			Excluded		5	9.09		19	34.55		11	20.00		55	
		TOTAL		178	7.71		155	6.71					529	22.91		129	5.59		1318	57.08		2309	
	THIRD			46	35.66		13	10.08					19	14.73			Excluded		51	39.53		129	
		TOTAL		224	9.70		168	7.28					548	23.73					1369	59.29		2309	
	FOURTH			64	38.10			Excluded					56	33.33					48	28.57		168	
		TOTAL		288	12.47								604	26.16					1417	61.37		2309	
	FIFTH				Excluded								144	50.00					144	50.00		288	
		TOTAL											748	32.39					1561	67.61		2309	
																			Elected				
																							
Oak Flats                                                      																							
	FIRST			243	7.60		282	8.82		43	1.35		861	26.94		169	5.29		1598	50.00		3196	
	SECOND			12	27.91		10	23.26			Excluded		6	13.95		10	23.26		5	11.63		43	
		TOTAL		255	7.98		292	9.14					867	27.13		179	5.60		1603	50.16		3196	
	THIRD			81	45.25		22	12.29					26	14.53			Excluded		50	27.93		179	
		TOTAL		336	10.51		314	9.82					893	27.94					1653	51.72		3196	
	FOURTH			96	30.57			Excluded					156	49.68					62	19.75		314	
		TOTAL		432	13.52								1049	32.82					1715	53.66		3196	
	FIFTH				Excluded								199	46.06					233	53.94		432	
		TOTAL											1248	39.05					1948	60.95		3196	
																			Elected				
																							
Oak Flats East                                                 																							
	FIRST			83	7.59		60	5.48		20	1.83		280	25.59		50	4.57		601	54.94		1094	
	SECOND			4	20.00		2	10.00			Excluded		6	30.00		2	10.00		6	30.00		20	
		TOTAL		87	7.95		62	5.67					286	26.14		52	4.75		607	55.48		1094	
	THIRD			21	40.38		2	3.85					6	11.54			Excluded		23	44.23		52	
		TOTAL		108	9.87		64	5.85					292	26.69					630	57.59		1094	
	FOURTH			24	37.50			Excluded					21	32.81					19	29.69		64	
		TOTAL		132	12.07								313	28.61					649	59.32		1094	
	FIFTH				Excluded								58	43.94					74	56.06		132	
		TOTAL											371	33.91					723	66.09		1094	
																			Elected				
																							
Port Kembla                                                    																							
	FIRST			35	5.11		41	5.99		10	1.46		115	16.79		57	8.32		427	62.34		685	
	SECOND			3	30.00		2	20.00			Excluded		1	10.00		4	40.00		0	0.00		10	
		TOTAL		38	5.55		43	6.28					116	16.93		61	8.91		427	62.34		685	
	THIRD			36	59.02		2	3.28					7	11.48			Excluded		16	26.23		61	
		TOTAL		74	10.80		45	6.57					123	17.96					443	64.67		685	
	FOURTH			12	26.67			Excluded					18	40.00					15	33.33		45	
		TOTAL		86	12.55								141	20.58					458	66.86		685	
	FIFTH				Excluded								30	34.88					56	65.12		86	
		TOTAL											171	24.96					514	75.04		685	
																			Elected				
																							
Port Kembla Central                                            																							
	FIRST			84	6.40		95	7.24		12	0.91		169	12.88		39	2.97		913	69.59		1312	
	SECOND			3	25.00		4	33.33			Excluded		2	16.67		1	8.33		2	16.67		12	
		TOTAL		87	6.63		99	7.55					171	13.03		40	3.05		915	69.74		1312	
	THIRD			15	37.50		5	12.50					4	10.00			Excluded		16	40.00		40	
		TOTAL		102	7.77		104	7.93					175	13.34					931	70.96		1312	
	FOURTH			25	24.04			Excluded					46	44.23					33	31.73		104	
		TOTAL		127	9.68								221	16.84					964	73.48		1312	
	FIFTH				Excluded								68	53.54					59	46.46		127	
		TOTAL											289	22.03					1023	77.97		1312	
																			Elected				
																							
Primbee                                                        																							
	FIRST			77	7.95		56	5.78		13	1.34		251	25.90		51	5.26		521	53.77		969	
	SECOND			3	23.08		0	0.00			Excluded		3	23.08		5	38.46		2	15.38		13	
		TOTAL		80	8.26		56	5.78					254	26.21		56	5.78		523	53.97		969	
	THIRD			14	25.00		10	17.86					10	17.86			Excluded		22	39.29		56	
		TOTAL		94	9.70		66	6.81					264	27.24					545	56.24		969	
	FOURTH			23	34.85			Excluded					18	27.27					25	37.88		66	
		TOTAL		117	12.07								282	29.10					570	58.82		969	
	FIFTH				Excluded								43	36.75					74	63.25		117	
		TOTAL											325	33.54					644	66.46		969	
																			Elected				
																							
Shellharbour                                                   																							
	FIRST			248	7.58		174	5.32		27	0.82		1086	33.18		161	4.92		1577	48.18		3273	
	SECOND			6	22.22		3	11.11			Excluded		6	22.22		9	33.33		3	11.11		27	
		TOTAL		254	7.76		177	5.41					1092	33.36		170	5.19		1580	48.27		3273	
	THIRD			72	42.35		13	7.65					28	16.47			Excluded		57	33.53		170	
		TOTAL		326	9.96		190	5.81					1120	34.22					1637	50.02		3273	
	FOURTH			53	27.89			Excluded					92	48.42					45	23.68		190	
		TOTAL		379	11.58								1212	37.03					1682	51.39		3273	
	FIFTH				Excluded								170	44.85					209	55.15		379	
		TOTAL											1382	42.22					1891	57.78		3273	
																			Elected				
																							
Sydney (Throsby)                                               																							
	FIRST			4	8.89		2	4.44		0	0.00		12	26.67		2	4.44		25	55.56		45	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	8.89		2	4.44					12	26.67		2	4.44		25	55.56		45	
	THIRD			1	50.00		0	0.00					0	0.00			Excluded		1	50.00		2	
		TOTAL		5	11.11		2	4.44					12	26.67					26	57.78		45	
	FOURTH			0	0.00			Excluded					0	0.00					2	100.00		2	
		TOTAL		5	11.11								12	26.67					28	62.22		45	
	FIFTH				Excluded								1	20.00					4	80.00		5	
		TOTAL											13	28.89					32	71.11		45	
																			Elected				
																							
Unanderra (Throsby)                                            																							
	FIRST			263	11.30		162	6.96		36	1.55		563	24.19		102	4.38		1201	51.61		2327	
	SECOND			6	16.67		8	22.22			Excluded		7	19.44		9	25.00		6	16.67		36	
		TOTAL		269	11.56		170	7.31					570	24.50		111	4.77		1207	51.87		2327	
	THIRD			38	34.23		11	9.91					19	17.12			Excluded		43	38.74		111	
		TOTAL		307	13.19		181	7.78					589	25.31					1250	53.72		2327	
	FOURTH			71	39.23			Excluded					51	28.18					59	32.60		181	
		TOTAL		378	16.24								640	27.50					1309	56.25		2327	
	FIFTH				Excluded								185	48.94					193	51.06		378	
		TOTAL											825	35.45					1502	64.55		2327	
																			Elected				
																							
Warilla                                                        																							
	FIRST			82	6.90		82	6.90		36	3.03		205	17.26		56	4.71		727	61.20		1188	
	SECOND			5	13.89		6	16.67			Excluded		3	8.33		19	52.78		3	8.33		36	
		TOTAL		87	7.32		88	7.41					208	17.51		75	6.31		730	61.45		1188	
	THIRD			30	40.00		14	18.67					9	12.00			Excluded		22	29.33		75	
		TOTAL		117	9.85		102	8.59					217	18.27					752	63.30		1188	
	FOURTH			30	29.41			Excluded					43	42.16					29	28.43		102	
		TOTAL		147	12.37								260	21.89					781	65.74		1188	
	FIFTH				Excluded								80	54.42					67	45.58		147	
		TOTAL											340	28.62					848	71.38		1188	
																			Elected				
																							
Warilla East                                                   																							
	FIRST			102	6.30		127	7.84		21	1.30		428	26.44		62	3.83		879	54.29		1619	
	SECOND			4	19.05		0	0.00			Excluded		5	23.81		7	33.33		5	23.81		21	
		TOTAL		106	6.55		127	7.84					433	26.74		69	4.26		884	54.60		1619	
	THIRD			30	43.48		4	5.80					5	7.25			Excluded		30	43.48		69	
		TOTAL		136	8.40		131	8.09					438	27.05					914	56.45		1619	
	FOURTH			28	21.37			Excluded					67	51.15					36	27.48		131	
		TOTAL		164	10.13								505	31.19					950	58.68		1619	
	FIFTH				Excluded								76	46.34					88	53.66		164	
		TOTAL											581	35.89					1038	64.11		1619	
																			Elected				
																							
Warilla North                                                  																							
	FIRST			94	5.04		159	8.53		37	1.98		257	13.79		70	3.76		1247	66.90		1864	
	SECOND			1	2.70		10	27.03			Excluded		5	13.51		12	32.43		9	24.32		37	
		TOTAL		95	5.10		169	9.07					262	14.06		82	4.40		1256	67.38		1864	
	THIRD			30	36.59		10	12.20					6	7.32			Excluded		36	43.90		82	
		TOTAL		125	6.71		179	9.60					268	14.38					1292	69.31		1864	
	FOURTH			53	29.61			Excluded					79	44.13					47	26.26		179	
		TOTAL		178	9.55								347	18.62					1339	71.83		1864	
	FIFTH				Excluded								94	52.81					84	47.19		178	
		TOTAL											441	23.66					1423	76.34		1864	
																			Elected				
																							
Warilla South                                                  																							
	FIRST			176	7.75		142	6.25		29	1.28		596	26.23		92	4.05		1237	54.45		2272	
	SECOND			9	31.03		8	27.59			Excluded		4	13.79		2	6.90		6	20.69		29	
		TOTAL		185	8.14		150	6.60					600	26.41		94	4.14		1243	54.71		2272	
	THIRD			25	26.60		13	13.83					16	17.02			Excluded		40	42.55		94	
		TOTAL		210	9.24		163	7.17					616	27.11					1283	56.47		2272	
	FOURTH			58	35.58			Excluded					66	40.49					39	23.93		163	
		TOTAL		268	11.80								682	30.02					1322	58.19		2272	
	FIFTH				Excluded								116	43.28					152	56.72		268	
		TOTAL											798	35.12					1474	64.88		2272	
																			Elected				
																							
Warrawong                                                      																							
	FIRST			133	7.86		52	3.07		20	1.18		222	13.11		72	4.25		1194	70.53		1693	
	SECOND			5	25.00		6	30.00			Excluded		2	10.00		3	15.00		4	20.00		20	
		TOTAL		138	8.15		58	3.43					224	13.23		75	4.43		1198	70.76		1693	
	THIRD			30	40.00		4	5.33					8	10.67			Excluded		33	44.00		75	
		TOTAL		168	9.92		62	3.66					232	13.70					1231	72.71		1693	
	FOURTH			32	51.61			Excluded					17	27.42					13	20.97		62	
		TOTAL		200	11.81								249	14.71					1244	73.48		1693	
	FIFTH				Excluded								122	61.00					78	39.00		200	
		TOTAL											371	21.91					1322	78.09		1693	
																			Elected				
																							
Warrawong Central                                              																							
	FIRST			81	6.93		61	5.22		11	0.94		151	12.92		83	7.10		782	66.89		1169	
	SECOND			0	0.00		5	45.45			Excluded		2	18.18		4	36.36		0	0.00		11	
		TOTAL		81	6.93		66	5.65					153	13.09		87	7.44		782	66.89		1169	
	THIRD			50	57.47		6	6.90					9	10.34			Excluded		22	25.29		87	
		TOTAL		131	11.21		72	6.16					162	13.86					804	68.78		1169	
	FOURTH			25	34.72			Excluded					32	44.44					15	20.83		72	
		TOTAL		156	13.34								194	16.60					819	70.06		1169	
	FIFTH				Excluded								76	48.72					80	51.28		156	
		TOTAL											270	23.10					899	76.90		1169	
																			Elected				
																							
West Dapto                                                     																							
	FIRST			227	8.70		136	5.21		26	1.00		784	30.06		108	4.14		1327	50.88		2608	
	SECOND			6	23.08		5	19.23			Excluded		2	7.69		11	42.31		2	7.69		26	
		TOTAL		233	8.93		141	5.41					786	30.14		119	4.56		1329	50.96		2608	
	THIRD			48	40.34		10	8.40					19	15.97			Excluded		42	35.29		119	
		TOTAL		281	10.77		151	5.79					805	30.87					1371	52.57		2608	
	FOURTH			57	37.75			Excluded					52	34.44					42	27.81		151	
		TOTAL		338	12.96								857	32.86					1413	54.18		2608	
	FIFTH				Excluded								126	37.28					212	62.72		338	
		TOTAL											983	37.69					1625	62.31		2608	
																			Elected				
																							
Windang                                                        																							
	FIRST			94	6.09		119	7.71		12	0.78		404	26.17		52	3.37		863	55.89		1544	
	SECOND			1	8.33		5	41.67			Excluded		3	25.00		1	8.33		2	16.67		12	
		TOTAL		95	6.15		124	8.03					407	26.36		53	3.43		865	56.02		1544	
	THIRD			14	26.42		7	13.21					9	16.98			Excluded		23	43.40		53	
		TOTAL		109	7.06		131	8.48					416	26.94					888	57.51		1544	
	FOURTH			39	29.77			Excluded					48	36.64					44	33.59		131	
		TOTAL		148	9.59								464	30.05					932	60.36		1544	
	FIFTH				Excluded								77	52.03					71	47.97		148	
		TOTAL											541	35.04					1003	64.96		1544	
																			Elected				
																							
Special Hospital Team 1                                        																							
	FIRST			6	8.82		3	4.41		0	0.00		16	23.53		4	5.88		39	57.35		68	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	8.82		3	4.41					16	23.53		4	5.88		39	57.35		68	
	THIRD			1	25.00		0	0.00					1	25.00			Excluded		2	50.00		4	
		TOTAL		7	10.29		3	4.41					17	25.00					41	60.29		68	
	FOURTH			1	33.33			Excluded					1	33.33					1	33.33		3	
		TOTAL		8	11.76								18	26.47					42	61.76		68	
	FIFTH				Excluded								4	50.00					4	50.00		8	
		TOTAL											22	32.35					46	67.65		68	
																			Elected				
																							
ABSENT																							
	FIRST			406	10.22		285	7.18		68	1.71		1151	28.99		263	6.62		1798	45.28		3971	
	SECOND			17	25.00		14	20.59			Excluded		18	26.47		11	16.18		8	11.76		68	
		TOTAL		423	10.65		299	7.53					1169	29.44		274	6.90		1806	45.48		3971	
	THIRD			110	40.15		28	10.22					38	13.87			Excluded		98	35.77		274	
		TOTAL		533	13.42		327	8.23					1207	30.40					1904	47.95		3971	
	FOURTH			116	35.47			Excluded					100	30.58					111	33.94		327	
		TOTAL		649	16.34								1307	32.91					2015	50.74		3971	
	FIFTH				Excluded								320	49.31					329	50.69		649	
		TOTAL											1627	40.97					2344	59.03		3971	
																			Elected				
																							
POSTAL																							
	FIRST			149	6.00		157	6.33		25	1.01		837	33.72		67	2.70		1247	50.24		2482	
