House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
	EIGHTH			91	79.13									Excluded											20	17.39		4	3.48					115
		TOTAL		775	40.83																				222	11.70		901	47.47					1898
	NINTH			62	27.93																					Excluded		160	72.07					222
		TOTAL		837	44.10																							1061	55.90					1898
																												Elected						
																																		
Bega Central                                                   																																		
	FIRST			413	35.03		37	3.14		8	0.68		44	3.73		2	0.17		1	0.08		1	0.08		97	8.23		533	45.21		43	3.65		1179
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		414	35.11		37	3.14		8	0.68		44	3.73		2	0.17					1	0.08		97	8.23		533	45.21		43	3.65		1179
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		414	35.11		38	3.22		8	0.68		44	3.73								2	0.17		97	8.23		533	45.21		43	3.65		1179
	FOURTH			0	0.00		1	50.00		0	0.00		0	0.00									Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		414	35.11		39	3.31		8	0.68		44	3.73											98	8.31		533	45.21		43	3.65		1179
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											1	12.50		5	62.50		2	25.00		8
		TOTAL		414	35.11		39	3.31					44	3.73											99	8.40		538	45.63		45	3.82		1179
	SIXTH			12	30.77			Excluded					23	58.97											2	5.13		2	5.13		0	0.00		39
		TOTAL		426	36.13								67	5.68											101	8.57		540	45.80		45	3.82		1179
	SEVENTH			9	20.00								6	13.33											20	44.44		10	22.22			Excluded		45
		TOTAL		435	36.90								73	6.19											121	10.26		550	46.65					1179
	EIGHTH			58	79.45									Excluded											12	16.44		3	4.11					73
		TOTAL		493	41.82																				133	11.28		553	46.90					1179
	NINTH			38	28.57																					Excluded		95	71.43					133
		TOTAL		531	45.04																							648	54.96					1179
																												Elected						
																																		
Bemboka                                                        																																		
	FIRST			107	27.02		11	2.78		5	1.26		28	7.07		0	0.00		1	0.25		0	0.00		62	15.66		172	43.43		10	2.53		396
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		107	27.02		11	2.78		5	1.26		29	7.32		0	0.00					0	0.00		62	15.66		172	43.43		10	2.53		396
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		107	27.02		11	2.78		5	1.26		29	7.32								0	0.00		62	15.66		172	43.43		10	2.53		396
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		107	27.02		11	2.78		5	1.26		29	7.32											62	15.66		172	43.43		10	2.53		396
	FIFTH			1	20.00		0	0.00			Excluded		2	40.00											0	0.00		2	40.00		0	0.00		5
		TOTAL		108	27.27		11	2.78					31	7.83											62	15.66		174	43.94		10	2.53		396
	SIXTH			1	9.09			Excluded					7	63.64											1	9.09		1	9.09		1	9.09		11
		TOTAL		109	27.53								38	9.60											63	15.91		175	44.19		11	2.78		396
	SEVENTH			2	18.18								1	9.09											8	72.73		0	0.00			Excluded		11
		TOTAL		111	28.03								39	9.85											71	17.93		175	44.19					396
	EIGHTH			33	84.62									Excluded											3	7.69		3	7.69					39
		TOTAL		144	36.36																				74	18.69		178	44.95					396
	NINTH			16	21.62																					Excluded		58	78.38					74
		TOTAL		160	40.40																							236	59.60					396
																												Elected						
																																		
Bermagui                                                       																																		
	FIRST			560	40.88		23	1.68		21	1.53		104	7.59		0	0.00		2	0.15		36	2.63		29	2.12		519	37.88		76	5.55		1370
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		561	40.95		24	1.75		21	1.53		104	7.59		0	0.00					36	2.63		29	2.12		519	37.88		76	5.55		1370
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		561	40.95		24	1.75		21	1.53		104	7.59								36	2.63		29	2.12		519	37.88		76	5.55		1370
	FOURTH			1	2.78		0	0.00		25	69.44		0	0.00									Excluded		4	11.11		5	13.89		1	2.78		36
		TOTAL		562	41.02		24	1.75		46	3.36		104	7.59											33	2.41		524	38.25		77	5.62		1370
	FIFTH			23	50.00		1	2.17			Excluded		2	4.35											1	2.17		13	28.26		6	13.04		46
		TOTAL		585	42.70		25	1.82					106	7.74											34	2.48		537	39.20		83	6.06		1370
	SIXTH			12	48.00			Excluded					8	32.00											2	8.00		2	8.00		1	4.00		25
		TOTAL		597	43.58								114	8.32											36	2.63		539	39.34		84	6.13		1370
	SEVENTH			28	33.33								5	5.95											28	33.33		23	27.38			Excluded		84
		TOTAL		625	45.62								119	8.69											64	4.67		562	41.02					1370
	EIGHTH			107	89.92									Excluded											10	8.40		2	1.68					119
		TOTAL		732	53.43																				74	5.40		564	41.17					1370
	NINTH			22	29.73																					Excluded		52	70.27					74
		TOTAL		754	55.04																							616	44.96					1370
																												Elected						
																																		
Berridale                                                      																																		
	FIRST			185	29.60		12	1.92		7	1.12		22	3.52		5	0.80		0	0.00		0	0.00		75	12.00		291	46.56		28	4.48		625
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		185	29.60		12	1.92		7	1.12		22	3.52		5	0.80					0	0.00		75	12.00		291	46.56		28	4.48		625
	THIRD			0	0.00		0	0.00		0	0.00		1	20.00			Excluded					0	0.00		2	40.00		1	20.00		1	20.00		5
		TOTAL		185	29.60		12	1.92		7	1.12		23	3.68								0	0.00		77	12.32		292	46.72		29	4.64		625
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		185	29.60		12	1.92		7	1.12		23	3.68											77	12.32		292	46.72		29	4.64		625
	FIFTH			0	0.00		0	0.00			Excluded		2	28.57											1	14.29		3	42.86		1	14.29		7
		TOTAL		185	29.60		12	1.92					25	4.00											78	12.48		295	47.20		30	4.80		625
	SIXTH			4	33.33			Excluded					5	41.67											0	0.00		3	25.00		0	0.00		12
		TOTAL		189	30.24								30	4.80											78	12.48		298	47.68		30	4.80		625
	SEVENTH			4	13.33								2	6.67											17	56.67		7	23.33			Excluded		30
		TOTAL		193	30.88								32	5.12											95	15.20		305	48.80					625
	EIGHTH			21	65.63									Excluded											8	25.00		3	9.38					32
		TOTAL		214	34.24																				103	16.48		308	49.28					625
	NINTH			24	23.30																					Excluded		79	76.70					103
		TOTAL		238	38.08																							387	61.92					625
																												Elected						
																																		
Bibbenluke                                                     																																		
	FIRST			32	25.40		0	0.00		0	0.00		5	3.97		0	0.00		0	0.00		0	0.00		18	14.29		70	55.56		1	0.79		126
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		32	25.40		0	0.00		0	0.00		5	3.97		0	0.00					0	0.00		18	14.29		70	55.56		1	0.79		126
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		32	25.40		0	0.00		0	0.00		5	3.97								0	0.00		18	14.29		70	55.56		1	0.79		126
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		32	25.40		0	0.00		0	0.00		5	3.97											18	14.29		70	55.56		1	0.79		126
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		32	25.40		0	0.00					5	3.97											18	14.29		70	55.56		1	0.79		126
	SIXTH			0	0.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		32	25.40								5	3.97											18	14.29		70	55.56		1	0.79		126
	SEVENTH			1	100.00								0	0.00											0	0.00		0	0.00			Excluded		1
		TOTAL		33	26.19								5	3.97											18	14.29		70	55.56					126
	EIGHTH			3	60.00									Excluded											1	20.00		1	20.00					5
		TOTAL		36	28.57																				19	15.08		71	56.35					126
	NINTH			4	21.05																					Excluded		15	78.95					19
		TOTAL		40	31.75																							86	68.25					126
																												Elected						
																																		
Bimbimbie                                                      																																		
	FIRST			116	32.95		4	1.14		4	1.14		6	1.70		0	0.00		0	0.00		0	0.00		12	3.41		202	57.39		8	2.27		352
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		116	32.95		4	1.14		4	1.14		6	1.70		0	0.00					0	0.00		12	3.41		202	57.39		8	2.27		352
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		116	32.95		4	1.14		4	1.14		6	1.70								0	0.00		12	3.41		202	57.39		8	2.27		352
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		116	32.95		4	1.14		4	1.14		6	1.70											12	3.41		202	57.39		8	2.27		352
	FIFTH			0	0.00		0	0.00			Excluded		1	25.00											1	25.00		1	25.00		1	25.00		4
		TOTAL		116	32.95		4	1.14					7	1.99											13	3.69		203	57.67		9	2.56		352
	SIXTH			2	50.00			Excluded					1	25.00											1	25.00		0	0.00		0	0.00		4
		TOTAL		118	33.52								8	2.27											14	3.98		203	57.67		9	2.56		352
	SEVENTH			1	11.11								1	11.11											5	55.56		2	22.22			Excluded		9
		TOTAL		119	33.81								9	2.56											19	5.40		205	58.24					352
	EIGHTH			8	88.89									Excluded											1	11.11		0	0.00					9
		TOTAL		127	36.08																				20	5.68		205	58.24					352
	NINTH			3	15.00																					Excluded		17	85.00					20
		TOTAL		130	36.93																							222	63.07					352
																												Elected						
																																		
Bodalla                                                        																																		
	FIRST			162	33.75		11	2.29		8	1.67		36	7.50		2	0.42		1	0.21		1	0.21		31	6.46		208	43.33		20	4.17		480
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		162	33.75		11	2.29		8	1.67		36	7.50		2	0.42					1	0.21		31	6.46		209	43.54		20	4.17		480
	THIRD			0	0.00		2	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		162	33.75		13	2.71		8	1.67		36	7.50								1	0.21		31	6.46		209	43.54		20	4.17		480
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		163	33.96		13	2.71		8	1.67		36	7.50											31	6.46		209	43.54		20	4.17		480
	FIFTH			2	25.00		0	0.00			Excluded		0	0.00											2	25.00		4	50.00		0	0.00		8
		TOTAL		165	34.38		13	2.71					36	7.50											33	6.88		213	44.38		20	4.17		480
	SIXTH			3	23.08			Excluded					6	46.15											3	23.08		1	7.69		0	0.00		13
		TOTAL		168	35.00								42	8.75											36	7.50		214	44.58		20	4.17		480
	SEVENTH			4	20.00								2	10.00											10	50.00		4	20.00			Excluded		20
		TOTAL		172	35.83								44	9.17											46	9.58		218	45.42					480
	EIGHTH			29	65.91									Excluded											9	20.45		6	13.64					44
		TOTAL		201	41.88																				55	11.46		224	46.67					480
	NINTH			17	30.91																					Excluded		38	69.09					55
		TOTAL		218	45.42																							262	54.58					480
																												Elected						
																																		
Bombala                                                        																																		
	FIRST			341	33.01		11	1.06		5	0.48		13	1.26		3	0.29		0	0.00		4	0.39		153	14.81		443	42.88		60	5.81		1033
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		341	33.01		11	1.06		5	0.48		13	1.26		3	0.29					4	0.39		153	14.81		443	42.88		60	5.81		1033
	THIRD			0	0.00		1	33.33		0	0.00		1	33.33			Excluded					0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		341	33.01		12	1.16		5	0.48		14	1.36								4	0.39		154	14.91		443	42.88		60	5.81		1033
	FOURTH			0	0.00		0	0.00		0	0.00		1	25.00									Excluded		1	25.00		1	25.00		1	25.00		4
		TOTAL		341	33.01		12	1.16		5	0.48		15	1.45											155	15.00		444	42.98		61	5.91		1033
	FIFTH			2	40.00		0	0.00			Excluded		0	0.00											1	20.00		1	20.00		1	20.00		5
		TOTAL		343	33.20		12	1.16					15	1.45											156	15.10		445	43.08		62	6.00		1033
	SIXTH			4	33.33			Excluded					5	41.67											2	16.67		1	8.33		0	0.00		12
		TOTAL		347	33.59								20	1.94											158	15.30		446	43.18		62	6.00		1033
	SEVENTH			11	17.74								11	17.74											28	45.16		12	19.35			Excluded		62
		TOTAL		358	34.66								31	3.00											186	18.01		458	44.34					1033
	EIGHTH			12	38.71									Excluded											13	41.94		6	19.35					31
		TOTAL		370	35.82																				199	19.26		464	44.92					1033
	NINTH			31	15.58																					Excluded		168	84.42					199
		TOTAL		401	38.82																							632	61.18					1033
																												Elected						
																																		
Braidwood                                                      																																		
	FIRST			347	30.74		44	3.90		5	0.44		96	8.50		1	0.09		2	0.18		2	0.18		135	11.96		447	39.59		50	4.43		1129
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		2
		TOTAL		347	30.74		44	3.90		5	0.44		96	8.50		1	0.09					2	0.18		136	12.05		448	39.68		50	4.43		1129
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		347	30.74		44	3.90		5	0.44		97	8.59								2	0.18		136	12.05		448	39.68		50	4.43		1129
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00									Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		348	30.82		44	3.90		5	0.44		97	8.59											137	12.13		448	39.68		50	4.43		1129
	FIFTH			2	40.00		0	0.00			Excluded		0	0.00											1	20.00		2	40.00		0	0.00		5
		TOTAL		350	31.00		44	3.90					97	8.59											138	12.22		450	39.86		50	4.43		1129
	SIXTH			13	29.55			Excluded					25	56.82											1	2.27		2	4.55		3	6.82		44
		TOTAL		363	32.15								122	10.81											139	12.31		452	40.04		53	4.69		1129
	SEVENTH			14	26.42								3	5.66											21	39.62		15	28.30			Excluded		53
		TOTAL		377	33.39								125	11.07											160	14.17		467	41.36					1129
	EIGHTH			107	85.60									Excluded											16	12.80		2	1.60					125
		TOTAL		484	42.87																				176	15.59		469	41.54					1129
	NINTH			47	26.70																					Excluded		129	73.30					176
		TOTAL		531	47.03																							598	52.97					1129
																												Elected						
																																		
Bredbo                                                         																																		
	FIRST			76	31.67		6	2.50		0	0.00		6	2.50		1	0.42		0	0.00		1	0.42		42	17.50		92	38.33		16	6.67		240
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		76	31.67		6	2.50		0	0.00		6	2.50		1	0.42					1	0.42		42	17.50		92	38.33		16	6.67		240
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		76	31.67		7	2.92		0	0.00		6	2.50								1	0.42		42	17.50		92	38.33		16	6.67		240
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		76	31.67		8	3.33		0	0.00		6	2.50											42	17.50		92	38.33		16	6.67		240
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		76	31.67		8	3.33					6	2.50											42	17.50		92	38.33		16	6.67		240
	SIXTH			4	50.00			Excluded					1	12.50											0	0.00		3	37.50		0	0.00		8
		TOTAL		80	33.33								7	2.92											42	17.50		95	39.58		16	6.67		240
	SEVENTH			6	37.50								1	6.25											8	50.00		1	6.25			Excluded		16
		TOTAL		86	35.83								8	3.33											50	20.83		96	40.00					240
	EIGHTH			7	87.50									Excluded											1	12.50		0	0.00					8
		TOTAL		93	38.75																				51	21.25		96	40.00					240
	NINTH			12	23.53																					Excluded		39	76.47					51
		TOTAL		105	43.75																							135	56.25					240
																												Elected						
																																		
Brogo                                                          																																		
	FIRST			58	29.29		10	5.05		0	0.00		32	16.16		1	0.51		0	0.00		1	0.51		11	5.56		75	37.88		10	5.05		198
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		58	29.29		10	5.05		0	0.00		32	16.16		1	0.51					1	0.51		11	5.56		75	37.88		10	5.05		198
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		58	29.29		10	5.05		0	0.00		32	16.16								1	0.51		12	6.06		75	37.88		10	5.05		198
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		58	29.29		11	5.56		0	0.00		32	16.16											12	6.06		75	37.88		10	5.05		198
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		58	29.29		11	5.56					32	16.16											12	6.06		75	37.88		10	5.05		198
	SIXTH			4	36.36			Excluded					3	27.27											0	0.00		3	27.27		1	9.09		11
		TOTAL		62	31.31								35	17.68											12	6.06		78	39.39		11	5.56		198
	SEVENTH			4	36.36								3	27.27											3	27.27		1	9.09			Excluded		11
		TOTAL		66	33.33								38	19.19											15	7.58		79	39.90					198
	EIGHTH			33	86.84									Excluded											4	10.53		1	2.63					38
		TOTAL		99	50.00																				19	9.60		80	40.40					198
	NINTH			7	36.84																					Excluded		12	63.16					19
		TOTAL		106	53.54																							92	46.46					198
																												Elected						
																																		
Broulee                                                        																																		
	FIRST			321	40.74		26	3.30		8	1.02		112	14.21		3	0.38		1	0.13		0	0.00		25	3.17		265	33.63		27	3.43		788
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		321	40.74		26	3.30		8	1.02		113	14.34		3	0.38					0	0.00		25	3.17		265	33.63		27	3.43		788
	THIRD			0	0.00		1	33.33		0	0.00		2	66.67			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		321	40.74		27	3.43		8	1.02		115	14.59								0	0.00		25	3.17		265	33.63		27	3.43		788
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		321	40.74		27	3.43		8	1.02		115	14.59											25	3.17		265	33.63		27	3.43		788
	FIFTH			0	0.00		0	0.00			Excluded		3	37.50											2	25.00		3	37.50		0	0.00		8
		TOTAL		321	40.74		27	3.43					118	14.97											27	3.43		268	34.01		27	3.43		788
	SIXTH			9	33.33			Excluded					14	51.85											2	7.41		2	7.41		0	0.00		27
		TOTAL		330	41.88								132	16.75											29	3.68		270	34.26		27	3.43		788
