House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences																						
By Polling Place																						
																						
Wentworth																						
				GOLDEN			LYSSA			COLLINGS			KING			JACOBS			NEILSON			
		TOTAL		35	1.93		160	8.84		93	5.14		904	49.94					618	34.14		1810
	THIRD				Excluded		10	28.57		6	17.14		10	28.57					9	25.71		35
		TOTAL					170	9.39		99	5.47		914	50.50					627	34.64		1810
	FOURTH						62	62.63			Excluded		15	15.15					22	22.22		99
		TOTAL					232	12.82					929	51.33					649	35.86		1810
	FIFTH							Excluded					58	25.00					174	75.00		232
		TOTAL											987	54.53					823	45.47		1810
													Elected									
																						
Bondi Surf                                                     																						
	FIRST			10	0.87		189	16.46		79	6.88		490	42.68		7	0.61		373	32.49		1148
	SECOND			0	0.00		1	14.29		4	57.14		0	0.00			Excluded		2	28.57		7
		TOTAL		10	0.87		190	16.55		83	7.23		490	42.68					375	32.67		1148
	THIRD				Excluded		4	40.00		2	20.00		3	30.00					1	10.00		10
		TOTAL					194	16.90		85	7.40		493	42.94					376	32.75		1148
	FOURTH						45	52.94			Excluded		13	15.29					27	31.76		85
		TOTAL					239	20.82					506	44.08					403	35.10		1148
	FIFTH							Excluded					56	23.43					183	76.57		239
		TOTAL											562	48.95					586	51.05		1148
													Elected									
																						
Bronte                                                         																						
	FIRST			39	1.96		302	15.20		147	7.40		817	41.12		8	0.40		674	33.92		1987
	SECOND			1	12.50		3	37.50		2	25.00		1	12.50			Excluded		1	12.50		8
		TOTAL		40	2.01		305	15.35		149	7.50		818	41.17					675	33.97		1987
	THIRD				Excluded		10	25.00		2	5.00		19	47.50					9	22.50		40
		TOTAL					315	15.85		151	7.60		837	42.12					684	34.42		1987
	FOURTH						90	59.60			Excluded		22	14.57					39	25.83		151
		TOTAL					405	20.38					859	43.23					723	36.39		1987
	FIFTH							Excluded					50	12.35					355	87.65		405
		TOTAL											909	45.75					1078	54.25		1987
													Elected									
																						
Castlefield                                                    																						
	FIRST			15	1.99		103	13.66		37	4.91		305	40.45		3	0.40		291	38.59		754
	SECOND			0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33		3
		TOTAL		15	1.99		105	13.93		37	4.91		305	40.45					292	38.73		754
	THIRD				Excluded		4	26.67		3	20.00		5	33.33					3	20.00		15
		TOTAL					109	14.46		40	5.31		310	41.11					295	39.12		754
	FOURTH						19	47.50			Excluded		7	17.50					14	35.00		40
		TOTAL					128	16.98					317	42.04					309	40.98		754
	FIFTH							Excluded					23	17.97					105	82.03		128
		TOTAL											340	45.09					414	54.91		754
													Elected									
																						
Charing Cross                                                  																						
	FIRST			11	1.87		48	8.16		28	4.76		255	43.37		2	0.34		244	41.50		588
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		11	1.87		49	8.33		28	4.76		255	43.37					245	41.67		588
	THIRD				Excluded		4	36.36		1	9.09		4	36.36					2	18.18		11
		TOTAL					53	9.01		29	4.93		259	44.05					247	42.01		588
	FOURTH						16	55.17			Excluded		2	6.90					11	37.93		29
		TOTAL					69	11.73					261	44.39					258	43.88		588
	FIFTH							Excluded					18	26.09					51	73.91		69
		TOTAL											279	47.45					309	52.55		588
													Elected									
																						
Clovelly                                                       																						
	FIRST			43	2.61		203	12.31		94	5.70		672	40.75		0	0.00		637	38.63		1649
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		43	2.61		203	12.31		94	5.70		672	40.75					637	38.63		1649
	THIRD				Excluded		12	27.91		1	2.33		22	51.16					8	18.60		43
		TOTAL					215	13.04		95	5.76		694	42.09					645	39.11		1649
	FOURTH						57	60.00			Excluded		14	14.74					24	25.26		95
		TOTAL					272	16.49					708	42.94					669	40.57		1649
	FIFTH							Excluded					51	18.75					221	81.25		272
		TOTAL											759	46.03					890	53.97		1649
													Elected									
																						
Clovelly Beach (Wentworth)                                     																						
	FIRST			14	2.00		87	12.41		53	7.56		254	36.23		4	0.57		289	41.23		701
	SECOND			0	0.00		3	75.00		0	0.00		0	0.00			Excluded		1	25.00		4
		TOTAL		14	2.00		90	12.84		53	7.56		254	36.23					290	41.37		701
	THIRD				Excluded		4	28.57		1	7.14		7	50.00					2	14.29		14
		TOTAL					94	13.41		54	7.70		261	37.23					292	41.65		701
	FOURTH						28	51.85			Excluded		7	12.96					19	35.19		54
		TOTAL					122	17.40					268	38.23					311	44.37		701
	FIFTH							Excluded					29	23.77					93	76.23		122
		TOTAL											297	42.37					404	57.63		701
													Elected									
																						
Clovelly North (Wentworth)                                     																						
	FIRST			31	2.02		151	9.84		106	6.91		636	41.46		8	0.52		602	39.24		1534
	SECOND			0	0.00		3	37.50		1	12.50		2	25.00			Excluded		2	25.00		8
		TOTAL		31	2.02		154	10.04		107	6.98		638	41.59					604	39.37		1534
	THIRD				Excluded		11	35.48		5	16.13		7	22.58					8	25.81		31
		TOTAL					165	10.76		112	7.30		645	42.05					612	39.90		1534
	FOURTH						67	59.82			Excluded		17	15.18					28	25.00		112
		TOTAL					232	15.12					662	43.16					640	41.72		1534
	FIFTH							Excluded					72	31.03					160	68.97		232
		TOTAL											734	47.85					800	52.15		1534
													Elected									
																						
Cooper Park                                                    																						
	FIRST			4	0.49		45	5.50		41	5.01		532	65.04		19	2.32		177	21.64		818
	SECOND			0	0.00		5	26.32		5	26.32		2	10.53			Excluded		7	36.84		19
		TOTAL		4	0.49		50	6.11		46	5.62		534	65.28					184	22.49		818
	THIRD				Excluded		1	25.00		0	0.00		3	75.00					0	0.00		4
		TOTAL					51	6.23		46	5.62		537	65.65					184	22.49		818
	FOURTH						19	41.30			Excluded		14	30.43					13	28.26		46
		TOTAL					70	8.56					551	67.36					197	24.08		818
	FIFTH							Excluded					26	37.14					44	62.86		70
		TOTAL											577	70.54					241	29.46		818
													Elected									
																						
Darling Point                                                  																						
	FIRST			15	0.76		93	4.72		100	5.08		1398	70.96		16	0.81		348	17.66		1970
	SECOND			0	0.00		5	31.25		1	6.25		7	43.75			Excluded		3	18.75		16
		TOTAL		15	0.76		98	4.97		101	5.13		1405	71.32					351	17.82		1970
	THIRD				Excluded		7	46.67		1	6.67		6	40.00					1	6.67		15
		TOTAL					105	5.33		102	5.18		1411	71.62					352	17.87		1970
	FOURTH						62	60.78			Excluded		18	17.65					22	21.57		102
		TOTAL					167	8.48					1429	72.54					374	18.98		1970
	FIFTH							Excluded					65	38.92					102	61.08		167
		TOTAL											1494	75.84					476	24.16		1970
													Elected									
																						
Diamond Bay                                                    																						
	FIRST			24	1.00		184	7.64		108	4.49		1535	63.75		26	1.08		531	22.05		2408
	SECOND			0	0.00		7	26.92		3	11.54		12	46.15			Excluded		4	15.38		26
		TOTAL		24	1.00		191	7.93		111	4.61		1547	64.24					535	22.22		2408
	THIRD				Excluded		5	20.83		2	8.33		11	45.83					6	25.00		24
		TOTAL					196	8.14		113	4.69		1558	64.70					541	22.47		2408
	FOURTH						66	58.41			Excluded		16	14.16					31	27.43		113
		TOTAL					262	10.88					1574	65.37					572	23.75		2408
	FIFTH							Excluded					88	33.59					174	66.41		262
		TOTAL											1662	69.02					746	30.98		2408
													Elected									
																						
Double Bay                                                     																						
	FIRST			34	1.03		203	6.12		169	5.09		2255	67.98		19	0.57		637	19.20		3317
	SECOND			1	5.26		3	15.79		1	5.26		7	36.84			Excluded		7	36.84		19
		TOTAL		35	1.06		206	6.21		170	5.13		2262	68.19					644	19.42		3317
	THIRD				Excluded		9	25.71		2	5.71		18	51.43					6	17.14		35
		TOTAL					215	6.48		172	5.19		2280	68.74					650	19.60		3317
	FOURTH						107	62.21			Excluded		23	13.37					42	24.42		172
		TOTAL					322	9.71					2303	69.43					692	20.86		3317
	FIFTH							Excluded					100	31.06					222	68.94		322
		TOTAL											2403	72.44					914	27.56		3317
													Elected									
																						
Dover Heights                                                  																						
	FIRST			29	1.24		118	5.03		92	3.92		1667	71.12		32	1.37		406	17.32		2344
	SECOND			0	0.00		12	37.50		8	25.00		6	18.75			Excluded		6	18.75		32
		TOTAL		29	1.24		130	5.55		100	4.27		1673	71.37					412	17.58		2344
	THIRD				Excluded		12	41.38		1	3.45		13	44.83					3	10.34		29
		TOTAL					142	6.06		101	4.31		1686	71.93					415	17.70		2344
	FOURTH						61	60.40			Excluded		24	23.76					16	15.84		101
		TOTAL					203	8.66					1710	72.95					431	18.39		2344
	FIFTH							Excluded					67	33.00					136	67.00		203
		TOTAL											1777	75.81					567	24.19		2344
													Elected									
																						
Edgecliff                                                      																						
	FIRST			8	0.98		46	5.61		43	5.24		531	64.76		3	0.37		189	23.05		820
	SECOND			0	0.00		1	33.33		2	66.67		0	0.00			Excluded		0	0.00		3
		TOTAL		8	0.98		47	5.73		45	5.49		531	64.76					189	23.05		820
	THIRD				Excluded		2	25.00		0	0.00		5	62.50					1	12.50		8
		TOTAL					49	5.98		45	5.49		536	65.37					190	23.17		820
	FOURTH						25	55.56			Excluded		12	26.67					8	17.78		45
		TOTAL					74	9.02					548	66.83					198	24.15		820
	FIFTH							Excluded					24	32.43					50	67.57		74
		TOTAL											572	69.76					248	30.24		820
													Elected									
																						
Glenmore                                                       																						
	FIRST			35	1.46		295	12.29		158	6.58		1046	43.58		11	0.46		855	35.63		2400
	SECOND			2	18.18		5	45.45		2	18.18		1	9.09			Excluded		1	9.09		11
		TOTAL		37	1.54		300	12.50		160	6.67		1047	43.63					856	35.67		2400
	THIRD				Excluded		12	32.43		1	2.70		16	43.24					8	21.62		37
		TOTAL					312	13.00		161	6.71		1063	44.29					864	36.00		2400
	FOURTH						93	57.76			Excluded		27	16.77					41	25.47		161
		TOTAL					405	16.88					1090	45.42					905	37.71		2400
	FIFTH							Excluded					87	21.48					318	78.52		405
		TOTAL											1177	49.04					1223	50.96		2400
													Elected									
																						
Holdsworth                                                     																						
	FIRST			8	0.91		90	10.19		52	5.89		469	53.11		4	0.45		260	29.45		883
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00			Excluded		3	75.00		4
		TOTAL		8	0.91		91	10.31		52	5.89		469	53.11					263	29.78		883
	THIRD				Excluded		1	12.50		0	0.00		6	75.00					1	12.50		8
		TOTAL					92	10.42		52	5.89		475	53.79					264	29.90		883
	FOURTH						24	46.15			Excluded		12	23.08					16	30.77		52
		TOTAL					116	13.14					487	55.15					280	31.71		883
	FIFTH							Excluded					28	24.14					88	75.86		116
		TOTAL											515	58.32					368	41.68		883
													Elected									
																						
Paddington                                                     																						
	FIRST			10	0.92		107	9.83		80	7.35		508	46.65		5	0.46		379	34.80		1089
	SECOND			0	0.00		3	60.00		1	20.00		0	0.00			Excluded		1	20.00		5
		TOTAL		10	0.92		110	10.10		81	7.44		508	46.65					380	34.89		1089
	THIRD				Excluded		3	30.00		1	10.00		5	50.00					1	10.00		10
		TOTAL					113	10.38		82	7.53		513	47.11					381	34.99		1089
	FOURTH						52	63.41			Excluded		12	14.63					18	21.95		82
		TOTAL					165	15.15					525	48.21					399	36.64		1089
	FIFTH							Excluded					29	17.58					136	82.42		165
		TOTAL											554	50.87					535	49.13		1089
													Elected									
																						
Paddington South (Wentworth)                                   																						
	FIRST			12	1.44		119	14.23		89	10.65		322	38.52		5	0.60		289	34.57		836
	SECOND			0	0.00		4	80.00		0	0.00		1	20.00			Excluded		0	0.00		5
		TOTAL		12	1.44		123	14.71		89	10.65		323	38.64					289	34.57		836
	THIRD				Excluded		4	33.33		1	8.33		5	41.67					2	16.67		12
		TOTAL					127	15.19		90	10.77		328	39.23					291	34.81		836
	FOURTH						49	54.44			Excluded		13	14.44					28	31.11		90
		TOTAL					176	21.05					341	40.79					319	38.16		836
	FIFTH							Excluded					48	27.27					128	72.73		176
		TOTAL											389	46.53					447	53.47		836
													Elected									
																						
Parsley Bay                                                    																						
	FIRST			4	0.80		20	3.99		12	2.40		402	80.24		5	1.00		58	11.58		501
	SECOND			0	0.00		0	0.00		2	40.00		2	40.00			Excluded		1	20.00		5
		TOTAL		4	0.80		20	3.99		14	2.79		404	80.64					59	11.78		501
	THIRD				Excluded		1	25.00		0	0.00		1	25.00					2	50.00		4
		TOTAL					21	4.19		14	2.79		405	80.84					61	12.18		501
	FOURTH						12	85.71			Excluded		2	14.29					0	0.00		14
		TOTAL					33	6.59					407	81.24					61	12.18		501
	FIFTH							Excluded					18	54.55					15	45.45		33
		TOTAL											425	84.83					76	15.17		501
													Elected									
																						
Peters Corner (Wentworth)                                      																						
	FIRST			29	2.41		122	10.12		81	6.72		459	38.09		12	1.00		502	41.66		1205
	SECOND			0	0.00		0	0.00		2	16.67		0	0.00			Excluded		10	83.33		12
		TOTAL		29	2.41		122	10.12		83	6.89		459	38.09					512	42.49		1205
	THIRD				Excluded		8	27.59		4	13.79		12	41.38					5	17.24		29
		TOTAL					130	10.79		87	7.22		471	39.09					517	42.90		1205
	FOURTH						46	52.87			Excluded		20	22.99					21	24.14		87
		TOTAL					176	14.61					491	40.75					538	44.65		1205
	FIFTH							Excluded					48	27.27					128	72.73		176
		TOTAL											539	44.73					666	55.27		1205
													Elected									
																						
Randwick                                                       																						
	FIRST			19	1.37		141	10.17		95	6.85		602	43.43		15	1.08		514	37.09		1386
	SECOND			0	0.00		1	6.67		4	26.67		1	6.67			Excluded		9	60.00		15
		TOTAL		19	1.37		142	10.25		99	7.14		603	43.51					523	37.73		1386
	THIRD				Excluded		5	26.32		1	5.26		10	52.63					3	15.79		19
		TOTAL					147	10.61		100	7.22		613	44.23					526	37.95		1386
	FOURTH						60	60.00			Excluded		19	19.00					21	21.00		100
		TOTAL					207	14.94					632	45.60					547	39.47		1386
	FIFTH							Excluded					52	25.12					155	74.88		207
		TOTAL											684	49.35					702	50.65		1386
													Elected									
																						
Randwick East                                                  																						
	FIRST			19	1.82		84	8.05		67	6.42		502	48.13		7	0.67		364	34.90		1043
	SECOND			0	0.00		1	14.29		1	14.29		2	28.57			Excluded		3	42.86		7
		TOTAL		19	1.82		85	8.15		68	6.52		504	48.32					367	35.19		1043
	THIRD				Excluded		10	52.63		0	0.00		8	42.11					1	5.26		19
		TOTAL					95	9.11		68	6.52		512	49.09					368	35.28		1043
	FOURTH						40	58.82			Excluded		12	17.65					16	23.53		68
		TOTAL					135	12.94					524	50.24					384	36.82		1043
	FIFTH							Excluded					44	32.59					91	67.41		135
		TOTAL											568	54.46					475	45.54		1043
													Elected									
																						
Randwick North                                                 																						
	FIRST			55	2.28		216	8.96		151	6.27		1074	44.56		6	0.25		908	37.68		2410
	SECOND			0	0.00		0	0.00		1	16.67		3	50.00			Excluded		2	33.33		6
		TOTAL		55	2.28		216	8.96		152	6.31		1077	44.69					910	37.76		2410
	THIRD				Excluded		21	38.18		4	7.27		19	34.55					11	20.00		55
		TOTAL					237	9.83		156	6.47		1096	45.48					921	38.22		2410
	FOURTH						85	54.49			Excluded		25	16.03					46	29.49		156
		TOTAL					322	13.36					1121	46.51					967	40.12		2410
	FIFTH							Excluded					136	42.24					186	57.76		322
		TOTAL											1257	52.16					1153	47.84		2410
													Elected									
																						
Rose Bay                                                       																						
	FIRST			39	1.78		152	6.93		107	4.88		1393	63.49		36	1.64		467	21.29		2194
	SECOND			0	0.00		5	13.89		10	27.78		9	25.00			Excluded		12	33.33		36
		TOTAL		39	1.78		157	7.16		117	5.33		1402	63.90					479	21.83		2194
	THIRD				Excluded		8	20.51		0	0.00		23	58.97					8	20.51		39
		TOTAL					165	7.52		117	5.33		1425	64.95					487	22.20		2194
	FOURTH						68	58.12			Excluded		23	19.66					26	22.22		117
		TOTAL					233	10.62					1448	66.00					513	23.38		2194
	FIFTH							Excluded					73	31.33					160	68.67		233
		TOTAL											1521	69.33					673	30.67		2194
													Elected									
																						
Rose Bay Central                                               																						
	FIRST			19	1.79		56	5.28		48	4.53		721	68.02		13	1.23		203	19.15		1060
	SECOND			1	7.69		1	7.69		3	23.08		6	46.15			Excluded		2	15.38		13
		TOTAL		20	1.89		57	5.38		51	4.81		727	68.58					205	19.34		1060
	THIRD				Excluded		5	25.00		1	5.00		13	65.00					1	5.00		20
		TOTAL					62	5.85		52	4.91		740	69.81					206	19.43		1060
	FOURTH						29	55.77			Excluded		7	13.46					16	30.77		52
		TOTAL					91	8.58					747	70.47					222	20.94		1060
	FIFTH							Excluded					30	32.97					61	67.03		91
		TOTAL											777	73.30					283	26.70		1060
													Elected									
																						
Sydney (Wentworth)                                             																						
	FIRST			3	1.45		24	11.59		18	8.70		91	43.96		3	1.45		68	32.85		207
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3
		TOTAL		3	1.45		25	12.08		18	8.70		92	44.44					69	33.33		207
	THIRD				Excluded		1	33.33		1	33.33		1	33.33					0	0.00		3
		TOTAL					26	12.56		19	9.18		93	44.93					69	33.33		207
	FOURTH						10	52.63			Excluded		5	26.32					4	21.05		19
		TOTAL					36	17.39					98	47.34					73	35.27		207
	FIFTH							Excluded					10	27.78					26	72.22		36
		TOTAL											108	52.17					99	47.83		207
													Elected									
																						
Vaucluse                                                       																						
	FIRST			4	0.41		72	7.35		29	2.96		734	74.97		4	0.41		136	13.89		979
	SECOND			0	0.00		2	50.00		0	0.00		2	50.00			Excluded		0	0.00		4
		TOTAL		4	0.41		74	7.56		29	2.96		736	75.18					136	13.89		979
	THIRD				Excluded		2	50.00		0	0.00		2	50.00					0	0.00		4
		TOTAL					76	7.76		29	2.96		738	75.38					136	13.89		979
	FOURTH						14	48.28			Excluded		7	24.14					8	27.59		29
		TOTAL					90	9.19					745	76.10					144	14.71		979
	FIFTH							Excluded					28	31.11					62	68.89		90
		TOTAL											773	78.96					206	21.04		979
													Elected									
																						
Watsons Bay                                                    																						
	FIRST			21	2.28		70	7.59		27	2.93		591	64.10		8	0.87		205	22.23		922
	SECOND			0	0.00		2	25.00		5	62.50		0	0.00			Excluded		1	12.50		8
		TOTAL		21	2.28		72	7.81		32	3.47		591	64.10					206	22.34		922
	THIRD				Excluded		6	28.57		3	14.29		10	47.62					2	9.52		21
		TOTAL					78	8.46		35	3.80		601	65.18					208	22.56		922
	FOURTH						22	62.86			Excluded		3	8.57					10	28.57		35
		TOTAL					100	10.85					604	65.51					218	23.64		922
	FIFTH							Excluded					25	25.00					75	75.00		100
		TOTAL											629	68.22					293	31.78		922
													Elected									
																						
Waverley                                                       																						
	FIRST			32	1.92		219	13.15		116	6.96		691	41.48		8	0.48		600	36.01		1666
	SECOND			1	12.50		1	12.50		1	12.50		3	37.50			Excluded		2	25.00		8
		TOTAL		33	1.98		220	13.21		117	7.02		694	41.66					602	36.13		1666
	THIRD				Excluded		14	42.42		5	15.15		10	30.30					4	12.12		33
		TOTAL					234	14.05		122	7.32		704	42.26					606	36.37		1666
	FOURTH						68	55.74			Excluded		18	14.75					36	29.51		122
		TOTAL					302	18.13					722	43.34					642	38.54		1666
	FIFTH							Excluded					80	26.49					222	73.51		302
		TOTAL											802	48.14					864	51.86		1666
													Elected									
																						
Waverley College                                               																						
	FIRST			24	2.12		145	12.81		78	6.89		524	46.29		3	0.27		358	31.63		1132
	SECOND			0	0.00		2	66.67		1	33.33		0	0.00			Excluded		0	0.00		3
		TOTAL		24	2.12		147	12.99		79	6.98		524	46.29					358	31.63		1132
	THIRD				Excluded		10	41.67		1	4.17		9	37.50					4	16.67		24
		TOTAL					157	13.87		80	7.07		533	47.08					362	31.98		1132
	FOURTH						37	46.25			Excluded		14	17.50					29	36.25		80
		TOTAL					194	17.14					547	48.32					391	34.54		1132
	FIFTH							Excluded					59	30.41					135	69.59		194
		TOTAL											606	53.53					526	46.47		1132
													Elected									
																						
Woollahra                                                      																						
	FIRST			17	0.97		175	10.02		106	6.07		986	56.47		18	1.03		444	25.43		1746
	SECOND			2	11.11		1	5.56		2	11.11		6	33.33			Excluded		7	38.89		18
		TOTAL		19	1.09		176	10.08		108	6.19		992	56.82					451	25.83		1746
	THIRD				Excluded		4	21.05		3	15.79		6	31.58					6	31.58		19
		TOTAL					180	10.31		111	6.36		998	57.16					457	26.17		1746
	FOURTH						61	54.95			Excluded		24	21.62					26	23.42		111
		TOTAL					241	13.80					1022	58.53					483	27.66		1746
	FIFTH							Excluded					62	25.73					179	74.27		241
		TOTAL											1084	62.08					662	37.92		1746
													Elected									
																						
Woollahra East                                                 																						
	FIRST			13	1.16		100	8.94		73	6.52		626	55.94		5	0.45		302	26.99		1119
	SECOND			0	0.00		1	20.00		1	20.00		1	20.00			Excluded		2	40.00		5
		TOTAL		13	1.16		101	9.03		74	6.61		627	56.03					304	27.17		1119
	THIRD				Excluded		3	23.08		3	23.08		3	23.08					4	30.77		13
		TOTAL					104	9.29		77	6.88		630	56.30					308	27.52		1119
	FOURTH						43	55.84			Excluded		14	18.18					20	25.97		77
		TOTAL					147	13.14					644	57.55					328	29.31		1119
	FIFTH							Excluded					39	26.53					108	73.47		147
		TOTAL											683	61.04					436	38.96		1119
													Elected									
																						
Special Hospital Team 1                                        																						
	FIRST			3	8.33		0	0.00		2	5.56		21	58.33		0	0.00		10	27.78		36
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	8.33		0	0.00		2	5.56		21	58.33					10	27.78		36
	THIRD				Excluded		2	66.67		1	33.33		0	0.00					0	0.00		3
		TOTAL					2	5.56		3	8.33		21	58.33					10	27.78		36
	FOURTH						1	33.33			Excluded		2	66.67					0	0.00		3
		TOTAL					3	8.33					23	63.89					10	27.78		36
	FIFTH							Excluded					3	100.00					0	0.00		3
		TOTAL											26	72.22					10	27.78		36
													Elected									
																						
Special Hospital Team 2                                        																						
	FIRST			1	0.81		1	0.81		3	2.42		75	60.48		0	0.00		44	35.48		124
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	0.81		1	0.81		3	2.42		75	60.48					44	35.48		124
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					1	100.00		1
		TOTAL					1	0.81		3	2.42		75	60.48					45	36.29		124
	FOURTH						1	33.33			Excluded		1	33.33					1	33.33		3
		TOTAL					2	1.61					76	61.29					46	37.10		124
	FIFTH							Excluded					1	50.00					1	50.00		2
		TOTAL											77	62.10					47	37.90		124
													Elected									
																						
Special Hospital Team 3                                        																						
	FIRST			4	5.63		1	1.41		1	1.41		32	45.07		0	0.00		33	46.48		71
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		4	5.63		1	1.41		1	1.41		32	45.07					33	46.48		71
	THIRD				Excluded		3	75.00		1	25.00		0	0.00					0	0.00		4
		TOTAL					4	5.63		2	2.82		32	45.07					33	46.48		71
	FOURTH						1	50.00			Excluded		1	50.00					0	0.00		2
		TOTAL					5	7.04					33	46.48					33	46.48		71
	FIFTH							Excluded					4	80.00					1	20.00		5
		TOTAL											37	52.11					34	47.89		71
													Elected									
																						
ABSENT																						
	FIRST			117	2.04		845	14.73		472	8.23		2511	43.77		46	0.80		1746	30.43		5737
	SECOND			4	8.70		7	15.22		6	13.04		10	21.74			Excluded		19	41.30		46
		TOTAL		121	2.11		852	14.85		478	8.33		2521	43.94					1765	30.77		5737
	THIRD				Excluded		44	36.36		10	8.26		45	37.19					22	18.18		121
		TOTAL					896	15.62		488	8.51		2566	44.73					1787	31.15		5737
	FOURTH						248	50.82			Excluded		82	16.80					158	32.38		488
		TOTAL					1144	19.94					2648	46.16					1945	33.90		5737
	FIFTH							Excluded					334	29.20					810	70.80		1144
		TOTAL											2982	51.98					2755	48.02		5737
													Elected									
																						
POSTAL																						
	FIRST			67	1.64		166	4.07		189	4.63		2659	65.17		53	1.30		946	23.19		4080
	SECOND			0	0.00		14	26.42		17	32.08		10	18.87			Excluded		12	22.64		53
		TOTAL		67	1.64		180	4.41		206	5.05		2669	65.42					958	23.48		4080
	THIRD				Excluded		10	14.93		6	8.96		37	55.22					14	20.90		67
		TOTAL					190	4.66		212	5.20		2706	66.32					972	23.82		4080
	FOURTH						73	34.43			Excluded		47	22.17					92	43.40		212
		TOTAL					263	6.45					2753	67.48					1064	26.08		4080
	FIFTH							Excluded					72	27.38					191	72.62		263
		TOTAL											2825	69.24					1255	30.76		4080
													Elected									
																						
PRE POLL																						
	FIRST			99	1.50		569	8.65		439	6.67		3408	51.79		64	0.97		2001	30.41		6580
	SECOND			2	3.13		10	15.63		9	14.06		17	26.56			Excluded		26	40.63		64
		TOTAL		101	1.53		579	8.80		448	6.81		3425	52.05					2027	30.81		6580
	THIRD				Excluded		30	29.70		12	11.88		38	37.62					21	20.79		101
