Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Blaxland (82779)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Birrong		203	7.07		80	2.79		73	2.54		3	0.10		67	2.33		2	0.07		115	4.00		26	0.91		6	0.21		1394	48.54		11	0.38		2	0.07		17	0.59		0	0.00		1	0.03		1	0.03		794	27.65		10	0.35		0	0.00		46	1.60		0	0.00		0	0.00		20	0.70		1	0.03		2872	93.40		203	6.60		3075	3.93
Chester Hill		214	7.42		71	2.46		35	1.21		3	0.10		80	2.77		4	0.14		86	2.98		20	0.69		11	0.38		1486	51.54		7	0.24		4	0.14		13	0.45		5	0.17		4	0.14		2	0.07		737	25.56		25	0.87		3	0.10		51	1.77		0	0.00		1	0.03		20	0.69		1	0.03		2883	93.06		215	6.94		3098	3.96
Chester Hill North		203	8.94		44	1.94		29	1.28		0	0.00		68	3.00		1	0.04		67	2.95		14	0.62		3	0.13		1052	46.34		8	0.35		1	0.04		7	0.31		3	0.13		0	0.00		2	0.09		698	30.75		18	0.79		1	0.04		35	1.54		2	0.09		0	0.00		14	0.62		0	0.00		2270	94.78		125	5.22		2395	3.06
Chullora		159	7.13		71	3.19		24	1.08		1	0.04		51	2.29		1	0.04		61	2.74		12	0.54		16	0.72		1062	47.64		10	0.45		4	0.18		8	0.36		3	0.13		1	0.04		3	0.13		650	29.16		14	0.63		2	0.09		60	2.69		0	0.00		1	0.04		15	0.67		0	0.00		2229	93.22		162	6.78		2391	3.06
Condell Park		272	7.10		86	2.24		29	0.76		6	0.16		112	2.92		3	0.08		123	3.21		20	0.52		19	0.50		1805	47.10		10	0.26		9	0.23		25	0.65		3	0.08		7	0.18		3	0.08		1157	30.19		32	0.84		1	0.03		81	2.11		3	0.08		2	0.05		24	0.63		0	0.00		3832	91.87		339	8.13		4171	5.33
Condell Park North		44	5.99		29	3.95		13	1.77		0	0.00		17	2.32		0	0.00		26	3.54		4	0.54		2	0.27		302	41.14		1	0.14		1	0.14		3	0.41		0	0.00		0	0.00		3	0.41		263	35.83		8	1.09		1	0.14		13	1.77		0	0.00		0	0.00		3	0.41		1	0.14		734	93.27		53	6.73		787	1.01
Condell Park South		75	3.93		29	1.52		17	0.89		0	0.00		51	2.67		1	0.05		49	2.57		5	0.26		4	0.21		1183	62.00		9	0.47		1	0.05		9	0.47		2	0.10		1	0.05		1	0.05		403	21.12		18	0.94		4	0.21		38	1.99		2	0.10		1	0.05		5	0.26		0	0.00		1908	93.58		131	6.42		2039	2.61
Enfield West		63	3.25		31	1.60		24	1.24		1	0.05		36	1.86		2	0.10		103	5.32		6	0.31		7	0.36		896	46.28		6	0.31		1	0.05		8	0.41		0	0.00		0	0.00		0	0.00		701	36.21		11	0.57		2	0.10		35	1.81		0	0.00		0	0.00		2	0.10		1	0.05		1936	92.63		154	7.37		2090	2.67
Georges Hall		293	8.87		102	3.09		9	0.27		0	0.00		65	1.97		1	0.03		173	5.23		31	0.94		3	0.09		1222	36.97		15	0.45		1	0.03		17	0.51		2	0.06		0	0.00		5	0.15		1206	36.49		26	0.79		4	0.12		95	2.87		0	0.00		5	0.15		29	0.88		1	0.03		3305	94.92		177	5.08		3482	4.45
Gosling Park		93	6.78		21	1.53		11	0.80		0	0.00		25	1.82		0	0.00		67	4.88		10	0.73		5	0.36		667	48.62		6	0.44		1	0.07		6	0.44		0	0.00		0	0.00		1	0.07		401	29.23		19	1.38		1	0.07		23	1.68		2	0.15		0	0.00		13	0.95		0	0.00		1372	91.53		127	8.47		1499	1.92
Greenacre		176	4.05		67	1.54		48	1.10		0	0.00		111	2.55		1	0.02		156	3.59		12	0.28		19	0.44		2472	56.84		12	0.28		2	0.05		18	0.41		2	0.05		3	0.07		6	0.14		1077	24.76		28	0.64		3	0.07		120	2.76		0	0.00		1	0.02		15	0.34		0	0.00		4349	89.87		490	10.13		4839	6.19
Greenacre West		68	7.29		35	3.75		6	0.64		2	0.21		36	3.86		0	0.00		39	4.18		6	0.64		0	0.00		435	46.62		4	0.43		0	0.00		1	0.11		0	0.00		0	0.00		2	0.21		262	28.08		11	1.18		0	0.00		14	1.50		0	0.00		0	0.00		12	1.29		0	0.00		933	90.85		94	9.15		1027	1.31
Mount Lewis		73	4.91		31	2.08		8	0.54		0	0.00		40	2.69		0	0.00		45	3.02		6	0.40		7	0.47		750	50.40		2	0.13		3	0.20		9	0.60		0	0.00		2	0.13		3	0.20		447	30.04		18	1.21		0	0.00		31	2.08		0	0.00		0	0.00		12	0.81		1	0.07		1488	90.73		152	9.27		1640	2.10
Punchbowl (Blaxland)		73	3.07		65	2.73		114	4.79		1	0.04		86	3.61		4	0.17		81	3.40		8	0.34		14	0.59		1323	55.61		4	0.17		3	0.13		9	0.38		0	0.00		3	0.13		2	0.08		510	21.44		24	1.01		0	0.00		45	1.89		2	0.08		0	0.00		8	0.34		0	0.00		2379	92.32		198	7.68		2577	3.29
Punchbowl Central		46	2.59		48	2.70		40	2.25		0	0.00		68	3.83		0	0.00		51	2.87		4	0.23		11	0.62		957	53.92		1	0.06		5	0.28		9	0.51		0	0.00		1	0.06		4	0.23		461	25.97		25	1.41		3	0.17		35	1.97		1	0.06		1	0.06		4	0.23		0	0.00		1775	90.52		186	9.48		1961	2.51
St Pauls		53	3.23		15	0.91		36	2.20		0	0.00		46	2.80		1	0.06		51	3.11		4	0.24		6	0.37		1001	61.04		5	0.30		3	0.18		6	0.37		0	0.00		1	0.06		1	0.06		364	22.20		13	0.79		1	0.06		32	1.95		1	0.06		0	0.00		0	0.00		0	0.00		1640	93.82		108	6.18		1748	2.23
Sefton		206	8.02		36	1.40		50	1.95		2	0.08		78	3.04		2	0.08		134	5.22		21	0.82		12	0.47		1190	46.34		7	0.27		1	0.04		8	0.31		2	0.08		1	0.04		2	0.08		765	29.79		10	0.39		3	0.12		28	1.09		0	0.00		3	0.12		7	0.27		0	0.00		2568	93.52		178	6.48		2746	3.51
Sydney (Blaxland)		1	1.04		4	4.17		0	0.00		0	0.00		3	3.13		0	0.00		8	8.33		1	1.04		0	0.00		51	53.13		3	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	17.71		2	2.08		0	0.00		6	6.25		0	0.00		0	0.00		0	0.00		0	0.00		96	96.00		4	4.00		100	0.13
Villawood Central		17	3.83		5	1.13		9	2.03		0	0.00		25	5.63		1	0.23		7	1.58		2	0.45		2	0.45		313	70.50		0	0.00		0	0.00		3	0.68		0	0.00		0	0.00		1	0.23		43	9.68		4	0.90		1	0.23		7	1.58		1	0.23		0	0.00		3	0.68		0	0.00		444	94.07		28	5.93		472	0.60
Villawood East		98	8.31		17	1.44		8	0.68		1	0.08		49	4.16		2	0.17		28	2.37		12	1.02		9	0.76		728	61.75		6	0.51		2	0.17		2	0.17		0	0.00		0	0.00		4	0.34		178	15.10		14	1.19		0	0.00		14	1.19		0	0.00		1	0.08		6	0.51		0	0.00		1179	92.25		99	7.75		1278	1.63
Wiley Park West (Blaxland)		72	3.55		31	1.53		79	3.89		2	0.10		70	3.45		3	0.15		43	2.12		6	0.30		6	0.30		1285	63.33		3	0.15		6	0.30		5	0.25		2	0.10		2	0.10		1	0.05		342	16.86		18	0.89		3	0.15		38	1.87		1	0.05		2	0.10		9	0.44		0	0.00		2029	91.40		191	8.60		2220	2.84
Yagoona		165	6.21		47	1.77		63	2.37		0	0.00		80	3.01		2	0.08		87	3.27		16	0.60		9	0.34		1488	55.96		8	0.30		3	0.11		10	0.38		1	0.04		2	0.08		2	0.08		584	21.96		25	0.94		4	0.15		48	1.81		0	0.00		2	0.08		13	0.49		0	0.00		2659	91.91		234	8.09		2893	3.70
Yagoona West		89	6.35		25	1.78		22	1.57		0	0.00		37	2.64		0	0.00		42	3.00		9	0.64		2	0.14		763	54.42		4	0.29		0	0.00		4	0.29		0	0.00		0	0.00		2	0.14		349	24.89		15	1.07		0	0.00		27	1.93		0	0.00		1	0.07		11	0.78		0	0.00		1402	94.09		88	5.91		1490	1.90
Special Hospitals		6	4.20		1	0.70		0	0.00		0	0.00		2	1.40		0	0.00		1	0.70		1	0.70		2	1.40		68	47.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	43.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		143	99.31		1	0.69		144	0.18
Total Ordinary		3690	5.91		1256	2.01		1089	1.74		30	0.05		1856	2.97		43	0.07		2231	3.57		341	0.55		230	0.37		32191	51.58		196	0.31		66	0.11		280	0.45		39	0.06		37	0.06		64	0.10		16608	26.61		515	0.83		47	0.08		1228	1.97		16	0.03		26	0.04		327	0.52		8	0.01		62414	92.55		5027	7.45		67441	86.22
ABSENT		210	4.40		117	2.45		37	0.78		3	0.06		228	4.78		7	0.15		210	4.40		66	1.38		8	0.17		2084	43.67		24	0.50		3	0.06		57	1.19		1	0.02		1	0.02		4	0.08		1425	29.86		79	1.66		4	0.08		160	3.35		2	0.04		3	0.06		39	0.82		0	0.00		4772	96.29		184	3.71		4956	6.34
POSTAL		181	8.15		50	2.25		10	0.45		1	0.05		38	1.71		2	0.09		77	3.47		6	0.27		2	0.09		906	40.77		1	0.05		2	0.09		8	0.36		0	0.00		3	0.14		0	0.00		859	38.66		11	0.50		2	0.09		34	1.53		1	0.05		1	0.05		27	1.22		0	0.00		2222	97.67		53	2.33		2275	2.91
PRE_POLL		179	7.32		48	1.96		29	1.19		5	0.20		100	4.09		1	0.04		93	3.81		14	0.57		8	0.33		1083	44.31		16	0.65		1	0.04		16	0.65		3	0.12		2	0.08		5	0.20		742	30.36		26	1.06		3	0.12		55	2.25		0	0.00		0	0.00		15	0.61		0	0.00		2444	97.33		67	2.67		2511	3.21
PROVISIONAL		29	3.04		13	1.36		21	2.20		0	0.00		49	5.13		1	0.10		21	2.20		5	0.52		4	0.42		607	63.56		4	0.42		4	0.42		8	0.84		0	0.00		0	0.00		2	0.21		156	16.34		14	1.47		0	0.00		12	1.26		0	0.00		1	0.10		4	0.42		0	0.00		955	92.27		80	7.73		1035	1.32
Division Summary		4289	5.89		1484	2.04		1186	1.63		39	0.05		2271	3.12		54	0.07		2632	3.62		432	0.59		252	0.35		36871	50.64		241	0.33		76	0.1		369	0.51		43	0.06		43	0.06		75	0.1		19790	27.18		645	0.89		56	0.08		1489	2.05		19	0.03		31	0.04		412	0.57		8	0.01		72807	93.08		5411	6.92		78218	94.49
