House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Prospect																													
				FILIPCZYK			HUTCHINSON			OATES			HAROON			PERKINS			PEACOCK			TAI			CROSIO				
	FOURTH			23	27.71		4	4.82					4	4.82		24	28.92			Excluded					28	33.73		83	
		TOTAL		99	4.52		145	6.63					70	3.20		850	38.85								1024	46.80		2188	
	FIFTH			5	7.14		11	15.71						Excluded		35	50.00								19	27.14		70	
		TOTAL		104	4.75		156	7.13								885	40.45								1043	47.67		2188	
	SIXTH			65	41.67			Excluded								61	39.10								30	19.23		156	
		TOTAL		169	7.72											946	43.24								1073	49.04		2188	
	SEVENTH				Excluded											99	58.58								70	41.42		169	
		TOTAL														1045	47.76								1143	52.24		2188	
																									Elected				
																													
Erskine Park                                                   																													
	FIRST			128	3.93		248	7.61		68	2.09		73	2.24		1151	35.33		80	2.46		13	0.40		1497	45.95		3258	
	SECOND			1	7.69		0	0.00		0	0.00		1	7.69		6	46.15		1	7.69			Excluded		4	30.77		13	
		TOTAL		129	3.96		248	7.61		68	2.09		74	2.27		1157	35.51		81	2.49					1501	46.07		3258	
	THIRD			18	26.47		11	16.18			Excluded		1	1.47		16	23.53		5	7.35					17	25.00		68	
		TOTAL		147	4.51		259	7.95					75	2.30		1173	36.00		86	2.64					1518	46.59		3258	
	FOURTH			27	31.40		6	6.98					6	6.98		19	22.09			Excluded					28	32.56		86	
		TOTAL		174	5.34		265	8.13					81	2.49		1192	36.59								1546	47.45		3258	
	FIFTH			13	16.05		9	11.11						Excluded		37	45.68								22	27.16		81	
		TOTAL		187	5.74		274	8.41								1229	37.72								1568	48.13		3258	
	SIXTH			59	21.53			Excluded								175	63.87								40	14.60		274	
		TOTAL		246	7.55											1404	43.09								1608	49.36		3258	
	SEVENTH				Excluded											145	58.94								101	41.06		246	
		TOTAL														1549	47.54								1709	52.46		3258	
																									Elected				
																													
Fairfield                                                      																													
	FIRST			84	5.63		28	1.88		23	1.54		127	8.51		153	10.25		20	1.34		13	0.87		1044	69.97		1492	
	SECOND			0	0.00		0	0.00		1	7.69		0	0.00		0	0.00		1	7.69			Excluded		11	84.62		13	
		TOTAL		84	5.63		28	1.88		24	1.61		127	8.51		153	10.25		21	1.41					1055	70.71		1492	
	THIRD			2	8.33		6	25.00			Excluded		3	12.50		8	33.33		0	0.00					5	20.83		24	
		TOTAL		86	5.76		34	2.28					130	8.71		161	10.79		21	1.41					1060	71.05		1492	
	FOURTH			8	38.10		2	9.52					0	0.00		3	14.29			Excluded					8	38.10		21	
		TOTAL		94	6.30		36	2.41					130	8.71		164	10.99								1068	71.58		1492	
	FIFTH			5	3.85		10	7.69						Excluded		84	64.62								31	23.85		130	
		TOTAL		99	6.64		46	3.08								248	16.62								1099	73.66		1492	
	SIXTH			18	39.13			Excluded								14	30.43								14	30.43		46	
		TOTAL		117	7.84											262	17.56								1113	74.60		1492	
	SEVENTH				Excluded											79	67.52								38	32.48		117	
		TOTAL														341	22.86								1151	77.14		1492	
																									Elected				
																													
Fairfield Central                                              																													
	FIRST			45	4.15		17	1.57		5	0.46		39	3.60		136	12.55		12	1.11		13	1.20		817	75.37		1084	
	SECOND			0	0.00		1	7.69		1	7.69		0	0.00		1	7.69		2	15.38			Excluded		8	61.54		13	
		TOTAL		45	4.15		18	1.66		6	0.55		39	3.60		137	12.64		14	1.29					825	76.11		1084	
	THIRD			0	0.00		1	16.67			Excluded		1	16.67		2	33.33		0	0.00					2	33.33		6	
		TOTAL		45	4.15		19	1.75					40	3.69		139	12.82		14	1.29					827	76.29		1084	
	FOURTH			4	28.57		1	7.14					2	14.29		1	7.14			Excluded					6	42.86		14	
		TOTAL		49	4.52		20	1.85					42	3.87		140	12.92								833	76.85		1084	
	FIFTH			4	9.52		4	9.52						Excluded		15	35.71								19	45.24		42	
		TOTAL		53	4.89		24	2.21								155	14.30								852	78.60		1084	
	SIXTH			10	41.67			Excluded								10	41.67								4	16.67		24	
		TOTAL		63	5.81											165	15.22								856	78.97		1084	
	SEVENTH				Excluded											41	65.08								22	34.92		63	
		TOTAL														206	19.00								878	81.00		1084	
																									Elected				
																													
Fairfield East (Prospect)                                      																													
	FIRST			32	4.19		17	2.23		15	1.96		15	1.96		139	18.19		13	1.70		21	2.75		512	67.02		764	
	SECOND			1	4.76		0	0.00		0	0.00		2	9.52		1	4.76		1	4.76			Excluded		16	76.19		21	
		TOTAL		33	4.32		17	2.23		15	1.96		17	2.23		140	18.32		14	1.83					528	69.11		764	
	THIRD			1	6.67		5	33.33			Excluded		4	26.67		3	20.00		1	6.67					1	6.67		15	
		TOTAL		34	4.45		22	2.88					21	2.75		143	18.72		15	1.96					529	69.24		764	
	FOURTH			5	33.33		0	0.00					0	0.00		3	20.00			Excluded					7	46.67		15	
		TOTAL		39	5.10		22	2.88					21	2.75		146	19.11								536	70.16		764	
	FIFTH			1	4.76		2	9.52						Excluded		8	38.10								10	47.62		21	
		TOTAL		40	5.24		24	3.14								154	20.16								546	71.47		764	
	SIXTH			7	29.17			Excluded								13	54.17								4	16.67		24	
		TOTAL		47	6.15											167	21.86								550	71.99		764	
	SEVENTH				Excluded											20	42.55								27	57.45		47	
		TOTAL														187	24.48								577	75.52		764	
																									Elected				
																													
Fairfield Heights                                              																													
	FIRST			152	4.42		114	3.31		44	1.28		75	2.18		751	21.83		58	1.69		80	2.32		2167	62.98		3441	
	SECOND			10	12.50		0	0.00		0	0.00		0	0.00		7	8.75		16	20.00			Excluded		47	58.75		80	
		TOTAL		162	4.71		114	3.31		44	1.28		75	2.18		758	22.03		74	2.15					2214	64.34		3441	
	THIRD			6	13.64		17	38.64			Excluded		3	6.82		8	18.18		2	4.55					8	18.18		44	
		TOTAL		168	4.88		131	3.81					78	2.27		766	22.26		76	2.21					2222	64.57		3441	
	FOURTH			22	28.95		4	5.26					5	6.58		15	19.74			Excluded					30	39.47		76	
		TOTAL		190	5.52		135	3.92					83	2.41		781	22.70								2252	65.45		3441	
	FIFTH			13	15.66		10	12.05						Excluded		42	50.60								18	21.69		83	
		TOTAL		203	5.90		145	4.21								823	23.92								2270	65.97		3441	
	SIXTH			48	33.10			Excluded								64	44.14								33	22.76		145	
		TOTAL		251	7.29											887	25.78								2303	66.93		3441	
	SEVENTH				Excluded											140	55.78								111	44.22		251	
		TOTAL														1027	29.85								2414	70.15		3441	
																									Elected				
																													
Fairfield North                                                																													
	FIRST			75	4.80		25	1.60		10	0.64		37	2.37		228	14.61		25	1.60		56	3.59		1105	70.79		1561	
	SECOND			2	3.57		0	0.00		0	0.00		0	0.00		2	3.57		16	28.57			Excluded		36	64.29		56	
		TOTAL		77	4.93		25	1.60		10	0.64		37	2.37		230	14.73		41	2.63					1141	73.09		1561	
	THIRD			3	30.00		2	20.00			Excluded		0	0.00		2	20.00		2	20.00					1	10.00		10	
		TOTAL		80	5.12		27	1.73					37	2.37		232	14.86		43	2.75					1142	73.16		1561	
	FOURTH			18	41.86		1	2.33					4	9.30		6	13.95			Excluded					14	32.56		43	
		TOTAL		98	6.28		28	1.79					41	2.63		238	15.25								1156	74.06		1561	
	FIFTH			7	17.07		2	4.88						Excluded		18	43.90								14	34.15		41	
		TOTAL		105	6.73		30	1.92								256	16.40								1170	74.95		1561	
	SIXTH			13	43.33			Excluded								8	26.67								9	30.00		30	
		TOTAL		118	7.56											264	16.91								1179	75.53		1561	
	SEVENTH				Excluded											65	55.08								53	44.92		118	
		TOTAL														329	21.08								1232	78.92		1561	
																									Elected				
																													
Fairfield South                                                																													
	FIRST			89	4.20		68	3.21		24	1.13		28	1.32		402	18.95		43	2.03		96	4.53		1371	64.64		2121	
	SECOND			8	8.33		5	5.21		0	0.00		3	3.13		6	6.25		26	27.08			Excluded		48	50.00		96	
		TOTAL		97	4.57		73	3.44		24	1.13		31	1.46		408	19.24		69	3.25					1419	66.90		2121	
	THIRD			4	16.67		8	33.33			Excluded		1	4.17		6	25.00		1	4.17					4	16.67		24	
		TOTAL		101	4.76		81	3.82					32	1.51		414	19.52		70	3.30					1423	67.09		2121	
	FOURTH			37	52.86		3	4.29					4	5.71		6	8.57			Excluded					20	28.57		70	
		TOTAL		138	6.51		84	3.96					36	1.70		420	19.80								1443	68.03		2121	
	FIFTH			6	16.67		4	11.11						Excluded		15	41.67								11	30.56		36	
		TOTAL		144	6.79		88	4.15								435	20.51								1454	68.55		2121	
	SIXTH			36	40.91			Excluded								29	32.95								23	26.14		88	
		TOTAL		180	8.49											464	21.88								1477	69.64		2121	
	SEVENTH				Excluded											83	46.11								97	53.89		180	
		TOTAL														547	25.79								1574	74.21		2121	
																									Elected				
																													
Fairfield West                                                 																													
	FIRST			168	5.47		109	3.55		40	1.30		111	3.61		523	17.02		54	1.76		57	1.85		2011	65.44		3073	
	SECOND			1	1.75		2	3.51		0	0.00		2	3.51		5	8.77		4	7.02			Excluded		43	75.44		57	
		TOTAL		169	5.50		111	3.61		40	1.30		113	3.68		528	17.18		58	1.89					2054	66.84		3073	
	THIRD			5	12.50		14	35.00			Excluded		2	5.00		9	22.50		0	0.00					10	25.00		40	
		TOTAL		174	5.66		125	4.07					115	3.74		537	17.47		58	1.89					2064	67.17		3073	
	FOURTH			15	25.86		4	6.90					6	10.34		10	17.24			Excluded					23	39.66		58	
		TOTAL		189	6.15		129	4.20					121	3.94		547	17.80								2087	67.91		3073	
	FIFTH			11	9.09		16	13.22						Excluded		58	47.93								36	29.75		121	
		TOTAL		200	6.51		145	4.72								605	19.69								2123	69.09		3073	
	SIXTH			48	33.10			Excluded								63	43.45								34	23.45		145	
		TOTAL		248	8.07											668	21.74								2157	70.19		3073	
	SEVENTH				Excluded											149	60.08								99	39.92		248	
		TOTAL														817	26.59								2256	73.41		3073	
																									Elected				
																													
Fairvale High                                                  																													
	FIRST			86	5.57		69	4.47		14	0.91		38	2.46		286	18.54		20	1.30		42	2.72		988	64.03		1543	
	SECOND			3	7.14		0	0.00		1	2.38		0	0.00		1	2.38		9	21.43			Excluded		28	66.67		42	
		TOTAL		89	5.77		69	4.47		15	0.97		38	2.46		287	18.60		29	1.88					1016	65.85		1543	
	THIRD			0	0.00		5	33.33			Excluded		1	6.67		4	26.67		3	20.00					2	13.33		15	
		TOTAL		89	5.77		74	4.80					39	2.53		291	18.86		32	2.07					1018	65.98		1543	
	FOURTH			10	31.25		2	6.25					2	6.25		5	15.63			Excluded					13	40.63		32	
		TOTAL		99	6.42		76	4.93					41	2.66		296	19.18								1031	66.82		1543	
	FIFTH			8	19.51		2	4.88						Excluded		21	51.22								10	24.39		41	
		TOTAL		107	6.93		78	5.06								317	20.54								1041	67.47		1543	
	SIXTH			28	35.90			Excluded								32	41.03								18	23.08		78	
		TOTAL		135	8.75											349	22.62								1059	68.63		1543	
	SEVENTH				Excluded											77	57.04								58	42.96		135	
		TOTAL														426	27.61								1117	72.39		1543	
																									Elected				
																													
Governor Philip King                                           																													
	FIRST			93	5.08		57	3.11		22	1.20		46	2.51		370	20.22		38	2.08		43	2.35		1161	63.44		1830	
	SECOND			4	9.30		0	0.00		1	2.33		0	0.00		5	11.63		6	13.95			Excluded		27	62.79		43	
		TOTAL		97	5.30		57	3.11		23	1.26		46	2.51		375	20.49		44	2.40					1188	64.92		1830	
	THIRD			3	13.04		11	47.83			Excluded		0	0.00		1	4.35		4	17.39					4	17.39		23	
		TOTAL		100	5.46		68	3.72					46	2.51		376	20.55		48	2.62					1192	65.14		1830	
	FOURTH			14	29.17		3	6.25					6	12.50		9	18.75			Excluded					16	33.33		48	
		TOTAL		114	6.23		71	3.88					52	2.84		385	21.04								1208	66.01		1830	
	FIFTH			12	23.08		6	11.54						Excluded		20	38.46								14	26.92		52	
		TOTAL		126	6.89		77	4.21								405	22.13								1222	66.78		1830	
	SIXTH			36	46.75			Excluded								26	33.77								15	19.48		77	
		TOTAL		162	8.85											431	23.55								1237	67.60		1830	
	SEVENTH				Excluded											103	63.58								59	36.42		162	
		TOTAL														534	29.18								1296	70.82		1830	
																									Elected				
																													
Greystanes                                                     																													
	FIRST			143	4.36		158	4.82		51	1.56		86	2.62		1223	37.30		100	3.05		10	0.30		1508	45.99		3279	
	SECOND			1	10.00		0	0.00		1	10.00		1	10.00		1	10.00		3	30.00			Excluded		3	30.00		10	
		TOTAL		144	4.39		158	4.82		52	1.59		87	2.65		1224	37.33		103	3.14					1511	46.08		3279	
	THIRD			8	15.38		16	30.77			Excluded		2	3.85		16	30.77		3	5.77					7	13.46		52	
		TOTAL		152	4.64		174	5.31					89	2.71		1240	37.82		106	3.23					1518	46.29		3279	
	FOURTH			28	26.42		7	6.60					9	8.49		17	16.04			Excluded					45	42.45		106	
		TOTAL		180	5.49		181	5.52					98	2.99		1257	38.33								1563	47.67		3279	
	FIFTH			8	8.16		8	8.16						Excluded		69	70.41								13	13.27		98	
		TOTAL		188	5.73		189	5.76								1326	40.44								1576	48.06		3279	
	SIXTH			49	25.93			Excluded								111	58.73								29	15.34		189	
		TOTAL		237	7.23											1437	43.82								1605	48.95		3279	
	SEVENTH				Excluded											122	51.48								115	48.52		237	
		TOTAL														1559	47.54								1720	52.46		3279	
																									Elected				
																													
Greystanes North                                               																													
	FIRST			94	4.91		103	5.38		31	1.62		32	1.67		573	29.91		50	2.61		10	0.52		1023	53.39		1916	
	SECOND			0	0.00		0	0.00		2	20.00		0	0.00		0	0.00		3	30.00			Excluded		5	50.00		10	
		TOTAL		94	4.91		103	5.38		33	1.72		32	1.67		573	29.91		53	2.77					1028	53.65		1916	
	THIRD			4	12.12		12	36.36			Excluded		2	6.06		7	21.21		3	9.09					5	15.15		33	
		TOTAL		98	5.11		115	6.00					34	1.77		580	30.27		56	2.92					1033	53.91		1916	
	FOURTH			17	30.36		0	0.00					2	3.57		17	30.36			Excluded					20	35.71		56	
		TOTAL		115	6.00		115	6.00					36	1.88		597	31.16								1053	54.96		1916	
	FIFTH			6	16.67		5	13.89						Excluded		17	47.22								8	22.22		36	
		TOTAL		121	6.32		120	6.26								614	32.05								1061	55.38		1916	
	SIXTH			39	32.50			Excluded								60	50.00								21	17.50		120	
		TOTAL		160	8.35											674	35.18								1082	56.47		1916	
	SEVENTH				Excluded											103	64.38								57	35.63		160	
		TOTAL														777	40.55								1139	59.45		1916	
																									Elected				
																													
Holroyd                                                        																													
	FIRST			42	3.77		71	6.37		22	1.97		11	0.99		395	35.43		37	3.32		2	0.18		535	47.98		1115	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		42	3.77		71	6.37		22	1.97		12	1.08		396	35.52		37	3.32					535	47.98		1115	
	THIRD			3	13.64		8	36.36			Excluded		4	18.18		5	22.73		1	4.55					1	4.55		22	
		TOTAL		45	4.04		79	7.09					16	1.43		401	35.96		38	3.41					536	48.07		1115	
	FOURTH			12	31.58		1	2.63					1	2.63		11	28.95			Excluded					13	34.21		38	
		TOTAL		57	5.11		80	7.17					17	1.52		412	36.95								549	49.24		1115	
	FIFTH			3	17.65		3	17.65						Excluded		5	29.41								6	35.29		17	
		TOTAL		60	5.38		83	7.44								417	37.40								555	49.78		1115	
	SIXTH			22	26.51			Excluded								41	49.40								20	24.10		83	
		TOTAL		82	7.35											458	41.08								575	51.57		1115	
	SEVENTH				Excluded											45	54.88								37	45.12		82	
		TOTAL														503	45.11								612	54.89		1115	
																									Elected				
																													
Horsley Park                                                   																													
	FIRST			80	6.30		81	6.38		24	1.89		14	1.10		616	48.50		23	1.81		4	0.31		428	33.70		1270	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		81	6.38		81	6.38		24	1.89		14	1.10		617	48.58		24	1.89					429	33.78		1270	
	THIRD			2	8.33		11	45.83			Excluded		2	8.33		5	20.83		0	0.00					4	16.67		24	
		TOTAL		83	6.54		92	7.24					16	1.26		622	48.98		24	1.89					433	34.09		1270	
	FOURTH			5	20.83		2	8.33					1	4.17		6	25.00			Excluded					10	41.67		24	
		TOTAL		88	6.93		94	7.40					17	1.34		628	49.45								443	34.88		1270	
	FIFTH			5	29.41		5	29.41						Excluded		6	35.29								1	5.88		17	
		TOTAL		93	7.32		99	7.80								634	49.92								444	34.96		1270	
	SIXTH			43	43.43			Excluded								48	48.48								8	8.08		99	
		TOTAL		136	10.71											682	53.70								452	35.59		1270	
	SEVENTH				Excluded											95	69.85								41	30.15		136	
		TOTAL														777	61.18								493	38.82		1270	
																									Elected				
																													
Kemps Creek (Prospect)                                         																													
	FIRST			24	4.75		52	10.30		11	2.18		6	1.19		266	52.67		9	1.78		8	1.58		129	25.54		505	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		7	87.50			Excluded		0	0.00		8	
		TOTAL		24	4.75		53	10.50		11	2.18		6	1.19		266	52.67		16	3.17					129	25.54		505	
	THIRD			1	9.09		3	27.27			Excluded		0	0.00		3	27.27		1	9.09					3	27.27		11	
		TOTAL		25	4.95		56	11.09					6	1.19		269	53.27		17	3.37					132	26.14		505	
	FOURTH			3	17.65		0	0.00					1	5.88		12	70.59			Excluded					1	5.88		17	
		TOTAL		28	5.54		56	11.09					7	1.39		281	55.64								133	26.34		505	
	FIFTH			0	0.00		0	0.00						Excluded		7	100.00								0	0.00		7	
		TOTAL		28	5.54		56	11.09								288	57.03								133	26.34		505	
	SIXTH			25	44.64			Excluded								25	44.64								6	10.71		56	
		TOTAL		53	10.50											313	61.98								139	27.52		505	
	SEVENTH				Excluded											44	83.02								9	16.98		53	
		TOTAL														357	70.69								148	29.31		505	
																									Elected				
																													
Pendle Hill South                                              																													
	FIRST			70	4.31		72	4.43		33	2.03		36	2.22		594	36.55		44	2.71		11	0.68		765	47.08		1625	
	SECOND			2	18.18		0	0.00		0	0.00		0	0.00		4	36.36		0	0.00			Excluded		5	45.45		11	
		TOTAL		72	4.43		72	4.43		33	2.03		36	2.22		598	36.80		44	2.71					770	47.38		1625	
	THIRD			6	18.18		14	42.42			Excluded		3	9.09		5	15.15		1	3.03					4	12.12		33	
		TOTAL		78	4.80		86	5.29					39	2.40		603	37.11		45	2.77					774	47.63		1625	
	FOURTH			15	33.33		2	4.44					4	8.89		11	24.44			Excluded					13	28.89		45	
		TOTAL		93	5.72		88	5.42					43	2.65		614	37.78								787	48.43		1625	
	FIFTH			4	9.30		10	23.26						Excluded		24	55.81								5	11.63		43	
		TOTAL		97	5.97		98	6.03								638	39.26								792	48.74		1625	
	SIXTH			35	35.71			Excluded								40	40.82								23	23.47		98	
		TOTAL		132	8.12											678	41.72								815	50.15		1625	
	SEVENTH				Excluded											70	53.03								62	46.97		132	
		TOTAL														748	46.03								877	53.97		1625	
																									Elected				
																													
Prairievale                                                    																													
	FIRST			124	4.94		51	2.03		20	0.80		69	2.75		524	20.87		38	1.51		64	2.55		1621	64.56		2511	
	SECOND			7	10.94		1	1.56		1	1.56		0	0.00		4	6.25		10	15.63			Excluded		41	64.06		64	
		TOTAL		131	5.22		52	2.07		21	0.84		69	2.75		528	21.03		48	1.91					1662	66.19		2511	
	THIRD			2	9.52		6	28.57			Excluded		3	14.29		5	23.81		1	4.76					4	19.05		21	
		TOTAL		133	5.30		58	2.31					72	2.87		533	21.23		49	1.95					1666	66.35		2511	
	FOURTH			15	30.61		0	0.00					8	16.33		6	12.24			Excluded					20	40.82		49	
		TOTAL		148	5.89		58	2.31					80	3.19		539	21.47								1686	67.14		2511	
	FIFTH			10	12.50		8	10.00						Excluded		29	36.25								33	41.25		80	
		TOTAL		158	6.29		66	2.63								568	22.62								1719	68.46		2511	
	SIXTH			29	43.94			Excluded								20	30.30								17	25.76		66	
		TOTAL		187	7.45											588	23.42								1736	69.14		2511	
	SEVENTH				Excluded											100	53.48								87	46.52		187	
		TOTAL														688	27.40								1823	72.60		2511	
																									Elected				
																													
Ringrose                                                       																													
	FIRST			95	4.31		106	4.81		42	1.91		43	1.95		781	35.47		45	2.04		14	0.64		1076	48.86		2202	
	SECOND			3	21.43		0	0.00		1	7.14		0	0.00		2	14.29		6	42.86			Excluded		2	14.29		14	
		TOTAL		98	4.45		106	4.81		43	1.95		43	1.95		783	35.56		51	2.32					1078	48.96		2202	
	THIRD			6	13.95		14	32.56			Excluded		4	9.30		10	23.26		5	11.63					4	9.30		43	
		TOTAL		104	4.72		120	5.45					47	2.13		793	36.01		56	2.54					1082	49.14		2202	
	FOURTH			16	28.57		2	3.57					3	5.36		12	21.43			Excluded					23	41.07		56	
		TOTAL		120	5.45		122	5.54					50	2.27		805	36.56								1105	50.18		2202	
	FIFTH			6	12.00		6	12.00						Excluded		29	58.00								9	18.00		50	
		TOTAL		126	5.72		128	5.81								834	37.87								1114	50.59		2202	
	SIXTH			48	37.50			Excluded								43	33.59								37	28.91		128	
		TOTAL		174	7.90											877	39.83								1151	52.27		2202	
	SEVENTH				Excluded											93	53.45								81	46.55		174	
		TOTAL														970	44.05								1232	55.95		2202	
																									Elected				
																													
Smithfield                                                     																													
	FIRST			86	4.33		79	3.98		28	1.41		41	2.07		448	22.57		35	1.76		21	1.06		1247	62.82		1985	
