House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Macarthur																													
				WATKINS			OATES			SANDERS			FARMER			LANTRY			KNOWLES			SHEPPARD			HUNT				
		TOTAL		223	5.73		1388	35.68					1949	50.10		128	3.29					82	2.11		120	3.08		3890	
	FOURTH			18	21.95		3	3.66					47	57.32		4	4.88						Excluded		10	12.20		82	
		TOTAL		241	6.20		1391	35.76					1996	51.31		132	3.39								130	3.34		3890	
	FIFTH			2	1.52		42	31.82					24	18.18			Excluded								64	48.48		132	
		TOTAL		243	6.25		1433	36.84					2020	51.93											194	4.99		3890	
	SIXTH			29	14.95		100	51.55					65	33.51												Excluded		194	
		TOTAL		272	6.99		1533	39.41					2085	53.60														3890	
	SEVENTH				Excluded		106	38.97					166	61.03														272	
		TOTAL					1639	42.13					2251	57.87														3890	
													Elected																
																													
Bradbury South                                                 																													
	FIRST			94	5.55		758	44.72		4	0.24		723	42.65		33	1.95		17	1.00		18	1.06		48	2.83		1695	
	SECOND			0	0.00		0	0.00			Excluded		1	25.00		0	0.00		2	50.00		0	0.00		1	25.00		4	
		TOTAL		94	5.55		758	44.72					724	42.71		33	1.95		19	1.12		18	1.06		49	2.89		1695	
	THIRD			3	15.79		4	21.05					5	26.32		2	10.53			Excluded		1	5.26		4	21.05		19	
		TOTAL		97	5.72		762	44.96					729	43.01		35	2.06					19	1.12		53	3.13		1695	
	FOURTH			0	0.00		3	15.79					14	73.68		0	0.00						Excluded		2	10.53		19	
		TOTAL		97	5.72		765	45.13					743	43.83		35	2.06								55	3.24		1695	
	FIFTH			1	2.86		12	34.29					9	25.71			Excluded								13	37.14		35	
		TOTAL		98	5.78		777	45.84					752	44.37											68	4.01		1695	
	SIXTH			12	17.65		44	64.71					12	17.65												Excluded		68	
		TOTAL		110	6.49		821	48.44					764	45.07														1695	
	SEVENTH				Excluded		61	55.45					49	44.55														110	
		TOTAL					882	52.04					813	47.96														1695	
													Elected																
																													
Bringelly                                                      																													
	FIRST			84	7.14		281	23.89		0	0.00		738	62.76		22	1.87		14	1.19		8	0.68		29	2.47		1176	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		84	7.14		281	23.89					738	62.76		22	1.87		14	1.19		8	0.68		29	2.47		1176	
	THIRD			2	14.29		4	28.57					1	7.14		1	7.14			Excluded		2	14.29		4	28.57		14	
		TOTAL		86	7.31		285	24.23					739	62.84		23	1.96					10	0.85		33	2.81		1176	
	FOURTH			1	10.00		1	10.00					3	30.00		3	30.00						Excluded		2	20.00		10	
		TOTAL		87	7.40		286	24.32					742	63.10		26	2.21								35	2.98		1176	
	FIFTH			1	3.85		6	23.08					8	30.77			Excluded								11	42.31		26	
		TOTAL		88	7.48		292	24.83					750	63.78											46	3.91		1176	
	SIXTH			6	13.04		26	56.52					14	30.43												Excluded		46	
		TOTAL		94	7.99		318	27.04					764	64.97														1176	
	SEVENTH				Excluded		45	47.87					49	52.13														94	
		TOTAL					363	30.87					813	69.13														1176	
													Elected																
																													
Camden                                                         																													
	FIRST			51	3.20		337	21.12		1	0.06		1088	68.17		41	2.57		10	0.63		20	1.25		48	3.01		1596	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		52	3.26		337	21.12					1088	68.17		41	2.57		10	0.63		20	1.25		48	3.01		1596	
	THIRD			1	10.00		5	50.00					2	20.00		0	0.00			Excluded		0	0.00		2	20.00		10	
		TOTAL		53	3.32		342	21.43					1090	68.30		41	2.57					20	1.25		50	3.13		1596	
	FOURTH			1	5.00		0	0.00					16	80.00		2	10.00						Excluded		1	5.00		20	
		TOTAL		54	3.38		342	21.43					1106	69.30		43	2.69								51	3.20		1596	
	FIFTH			2	4.65		10	23.26					10	23.26			Excluded								21	48.84		43	
		TOTAL		56	3.51		352	22.06					1116	69.92											72	4.51		1596	
	SIXTH			4	5.56		49	68.06					19	26.39												Excluded		72	
		TOTAL		60	3.76		401	25.13					1135	71.12														1596	
	SEVENTH				Excluded		24	40.00					36	60.00														60	
		TOTAL					425	26.63					1171	73.37														1596	
													Elected																
																													
Camden Downs                                                   																													
	FIRST			38	3.71		277	27.02		0	0.00		618	60.29		26	2.54		3	0.29		20	1.95		43	4.20		1025	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		38	3.71		277	27.02					618	60.29		26	2.54		3	0.29		20	1.95		43	4.20		1025	
	THIRD			0	0.00		0	0.00					2	66.67		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		38	3.71		277	27.02					620	60.49		26	2.54					21	2.05		43	4.20		1025	
	FOURTH			1	4.76		3	14.29					15	71.43		1	4.76						Excluded		1	4.76		21	
		TOTAL		39	3.80		280	27.32					635	61.95		27	2.63								44	4.29		1025	
	FIFTH			4	14.81		7	25.93					7	25.93			Excluded								9	33.33		27	
		TOTAL		43	4.20		287	28.00					642	62.63											53	5.17		1025	
	SIXTH			4	7.55		33	62.26					16	30.19												Excluded		53	
		TOTAL		47	4.59		320	31.22					658	64.20														1025	
	SEVENTH				Excluded		27	57.45					20	42.55														47	
		TOTAL					347	33.85					678	66.15														1025	
													Elected																
																													
Camden East                                                    																													
	FIRST			61	3.93		415	26.72		5	0.32		915	58.92		44	2.83		5	0.32		41	2.64		67	4.31		1553	
	SECOND			1	20.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		62	3.99		417	26.85					915	58.92		45	2.90		5	0.32		41	2.64		68	4.38		1553	
	THIRD			1	20.00		0	0.00					3	60.00		0	0.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		63	4.06		417	26.85					918	59.11		45	2.90					41	2.64		69	4.44		1553	
	FOURTH			2	4.88		1	2.44					32	78.05		3	7.32						Excluded		3	7.32		41	
		TOTAL		65	4.19		418	26.92					950	61.17		48	3.09								72	4.64		1553	
	FIFTH			3	6.25		17	35.42					9	18.75			Excluded								19	39.58		48	
		TOTAL		68	4.38		435	28.01					959	61.75											91	5.86		1553	
	SIXTH			4	4.40		68	74.73					19	20.88												Excluded		91	
		TOTAL		72	4.64		503	32.39					978	62.97														1553	
	SEVENTH				Excluded		44	61.11					28	38.89														72	
		TOTAL					547	35.22					1006	64.78														1553	
													Elected																
																													
Camden Hospital                                                																													
	FIRST			11	6.01		51	27.87		0	0.00		109	59.56		5	2.73		0	0.00		0	0.00		7	3.83		183	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	6.01		51	27.87					109	59.56		5	2.73		0	0.00		0	0.00		7	3.83		183	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		11	6.01		51	27.87					109	59.56		5	2.73					0	0.00		7	3.83		183	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	0.00		0	
		TOTAL		11	6.01		51	27.87					109	59.56		5	2.73								7	3.83		183	
	FIFTH			0	0.00		1	20.00					2	40.00			Excluded								2	40.00		5	
		TOTAL		11	6.01		52	28.42					111	60.66											9	4.92		183	
	SIXTH			1	11.11		5	55.56					3	33.33												Excluded		9	
		TOTAL		12	6.56		57	31.15					114	62.30														183	
	SEVENTH				Excluded		6	50.00					6	50.00														12	
		TOTAL					63	34.43					120	65.57														183	
													Elected																
																													
Camden South                                                   																													
	FIRST			98	3.99		623	25.34		4	0.16		1510	61.41		73	2.97		23	0.94		49	1.99		79	3.21		2459	
	SECOND			1	25.00		0	0.00			Excluded		1	25.00		0	0.00		2	50.00		0	0.00		0	0.00		4	
		TOTAL		99	4.03		623	25.34					1511	61.45		73	2.97		25	1.02		49	1.99		79	3.21		2459	
	THIRD			2	8.00		5	20.00					4	16.00		2	8.00			Excluded		5	20.00		7	28.00		25	
		TOTAL		101	4.11		628	25.54					1515	61.61		75	3.05					54	2.20		86	3.50		2459	
	FOURTH			5	9.26		5	9.26					33	61.11		7	12.96						Excluded		4	7.41		54	
		TOTAL		106	4.31		633	25.74					1548	62.95		82	3.33								90	3.66		2459	
	FIFTH			2	2.44		15	18.29					26	31.71			Excluded								39	47.56		82	
		TOTAL		108	4.39		648	26.35					1574	64.01											129	5.25		2459	
	SIXTH			13	10.08		77	59.69					39	30.23												Excluded		129	
		TOTAL		121	4.92		725	29.48					1613	65.60														2459	
	SEVENTH				Excluded		54	44.63					67	55.37														121	
		TOTAL					779	31.68					1680	68.32														2459	
													Elected																
																													
Campbelltown                                                   																													
	FIRST			91	4.48		900	44.29		5	0.25		854	42.03		44	2.17		20	0.98		38	1.87		80	3.94		2032	
	SECOND			0	0.00		0	0.00			Excluded		2	40.00		1	20.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL		91	4.48		900	44.29					856	42.13		45	2.21		21	1.03		38	1.87		81	3.99		2032	
	THIRD			5	23.81		5	23.81					2	9.52		2	9.52			Excluded		2	9.52		5	23.81		21	
		TOTAL		96	4.72		905	44.54					858	42.22		47	2.31					40	1.97		86	4.23		2032	
	FOURTH			3	7.50		4	10.00					29	72.50		1	2.50						Excluded		3	7.50		40	
		TOTAL		99	4.87		909	44.73					887	43.65		48	2.36								89	4.38		2032	
	FIFTH			2	4.17		14	29.17					5	10.42			Excluded								27	56.25		48	
		TOTAL		101	4.97		923	45.42					892	43.90											116	5.71		2032	
	SIXTH			10	8.62		76	65.52					30	25.86												Excluded		116	
		TOTAL		111	5.46		999	49.16					922	45.37														2032	
	SEVENTH				Excluded		59	53.15					52	46.85														111	
		TOTAL					1058	52.07					974	47.93														2032	
													Elected																
																													
Campbelltown East                                              																													
	FIRST			177	7.67		917	39.75		6	0.26		1025	44.43		48	2.08		15	0.65		20	0.87		99	4.29		2307	
	SECOND			1	16.67		0	0.00			Excluded		4	66.67		1	16.67		0	0.00		0	0.00		0	0.00		6	
		TOTAL		178	7.72		917	39.75					1029	44.60		49	2.12		15	0.65		20	0.87		99	4.29		2307	
	THIRD			2	13.33		3	20.00					2	13.33		3	20.00			Excluded		3	20.00		2	13.33		15	
		TOTAL		180	7.80		920	39.88					1031	44.69		52	2.25					23	1.00		101	4.38		2307	
	FOURTH			3	13.04		2	8.70					9	39.13		3	13.04						Excluded		6	26.09		23	
		TOTAL		183	7.93		922	39.97					1040	45.08		55	2.38								107	4.64		2307	
	FIFTH			4	7.27		11	20.00					17	30.91			Excluded								23	41.82		55	
		TOTAL		187	8.11		933	40.44					1057	45.82											130	5.64		2307	
	SIXTH			17	13.08		89	68.46					24	18.46												Excluded		130	
		TOTAL		204	8.84		1022	44.30					1081	46.86														2307	
	SEVENTH				Excluded		81	39.71					123	60.29														204	
		TOTAL					1103	47.81					1204	52.19														2307	
													Elected																
																													
Campbelltown North                                             																													
	FIRST			49	5.98		329	40.17		3	0.37		385	47.01		12	1.47		4	0.49		8	0.98		29	3.54		819	
	SECOND			0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL		49	5.98		331	40.42					385	47.01		12	1.47		4	0.49		8	0.98		30	3.66		819	
	THIRD			2	50.00		0	0.00					0	0.00		1	25.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		51	6.23		331	40.42					385	47.01		13	1.59					8	0.98		31	3.79		819	
	FOURTH			0	0.00		0	0.00					5	62.50		1	12.50						Excluded		2	25.00		8	
		TOTAL		51	6.23		331	40.42					390	47.62		14	1.71								33	4.03		819	
	FIFTH			0	0.00		4	28.57					3	21.43			Excluded								7	50.00		14	
		TOTAL		51	6.23		335	40.90					393	47.99											40	4.88		819	
	SIXTH			4	10.00		25	62.50					11	27.50												Excluded		40	
		TOTAL		55	6.72		360	43.96					404	49.33														819	
	SEVENTH				Excluded		33	60.00					22	40.00														55	
		TOTAL					393	47.99					426	52.01														819	
													Elected																
																													
Carrington Hospital                                            																													
	FIRST			12	2.39		103	20.48		0	0.00		370	73.56		4	0.80		1	0.20		3	0.60		10	1.99		503	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	2.39		103	20.48					370	73.56		4	0.80		1	0.20		3	0.60		10	1.99		503	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		12	2.39		103	20.48					370	73.56		4	0.80					4	0.80		10	1.99		503	
	FOURTH			0	0.00		0	0.00					3	75.00		0	0.00						Excluded		1	25.00		4	
		TOTAL		12	2.39		103	20.48					373	74.16		4	0.80								11	2.19		503	
	FIFTH			1	25.00		0	0.00					2	50.00			Excluded								1	25.00		4	
		TOTAL		13	2.58		103	20.48					375	74.55											12	2.39		503	
	SIXTH			1	8.33		9	75.00					2	16.67												Excluded		12	
		TOTAL		14	2.78		112	22.27					377	74.95														503	
	SEVENTH				Excluded		4	28.57					10	71.43														14	
		TOTAL					116	23.06					387	76.94														503	
													Elected																
																													
Catherine Field                                                																													
	FIRST			40	5.10		195	24.84		1	0.13		509	64.84		10	1.27		4	0.51		6	0.76		20	2.55		785	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		40	5.10		195	24.84					510	64.97		10	1.27		4	0.51		6	0.76		20	2.55		785	
	THIRD			0	0.00		1	25.00					0	0.00		2	50.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		40	5.10		196	24.97					510	64.97		12	1.53					6	0.76		21	2.68		785	
	FOURTH			0	0.00		0	0.00					2	33.33		1	16.67						Excluded		3	50.00		6	
		TOTAL		40	5.10		196	24.97					512	65.22		13	1.66								24	3.06		785	
	FIFTH			2	15.38		2	15.38					4	30.77			Excluded								5	38.46		13	
		TOTAL		42	5.35		198	25.22					516	65.73											29	3.69		785	
	SIXTH			4	13.79		18	62.07					7	24.14												Excluded		29	
		TOTAL		46	5.86		216	27.52					523	66.62														785	
	SEVENTH				Excluded		24	52.17					22	47.83														46	
		TOTAL					240	30.57					545	69.43														785	
													Elected																
																													
Cawdor (Macarthur)                                             																													
	FIRST			1	0.88		26	22.81		0	0.00		78	68.42		2	1.75		1	0.88		2	1.75		4	3.51		114	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.88		26	22.81					78	68.42		2	1.75		1	0.88		2	1.75		4	3.51		114	
	THIRD			1	100.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		2	1.75		26	22.81					78	68.42		2	1.75					2	1.75		4	3.51		114	
	FOURTH			0	0.00		0	0.00					2	100.00		0	0.00						Excluded		0	0.00		2	
		TOTAL		2	1.75		26	22.81					80	70.18		2	1.75								4	3.51		114	
	FIFTH			0	0.00		2	100.00					0	0.00			Excluded								0	0.00		2	
		TOTAL		2	1.75		28	24.56					80	70.18											4	3.51		114	
	SIXTH			0	0.00		1	25.00					3	75.00												Excluded		4	
		TOTAL		2	1.75		29	25.44					83	72.81														114	
	SEVENTH				Excluded		0	0.00					2	100.00														2	
		TOTAL					29	25.44					85	74.56														114	
													Elected																
																													
Claymore                                                       																													
	FIRST			40	4.10		631	64.65		5	0.51		258	26.43		17	1.74		3	0.31		5	0.51		17	1.74		976	
	SECOND			1	20.00		2	40.00			Excluded		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		41	4.20		633	64.86					259	26.54		17	1.74		3	0.31		5	0.51		18	1.84		976	
	THIRD			0	0.00		0	0.00					1	33.33		0	0.00			Excluded		0	0.00		2	66.67		3	
		TOTAL		41	4.20		633	64.86					260	26.64		17	1.74					5	0.51		20	2.05		976	
	FOURTH			0	0.00		1	20.00					3	60.00		0	0.00						Excluded		1	20.00		5	
		TOTAL		41	4.20		634	64.96					263	26.95		17	1.74								21	2.15		976	
	FIFTH			1	5.88		6	35.29					5	29.41			Excluded								5	29.41		17	
		TOTAL		42	4.30		640	65.57					268	27.46											26	2.66		976	
	SIXTH			8	30.77		15	57.69					3	11.54												Excluded		26	
		TOTAL		50	5.12		655	67.11					271	27.77														976	
	SEVENTH				Excluded		33	66.00					17	34.00														50	
		TOTAL					688	70.49					288	29.51														976	
													Elected																
																													
Cobbitty (Macarthur)                                           																													
	FIRST			22	3.59		94	15.36		2	0.33		451	73.69		11	1.80		1	0.16		13	2.12		18	2.94		612	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		22	3.59		96	15.69					451	73.69		11	1.80		1	0.16		13	2.12		18	2.94		612	
	THIRD			0	0.00		1	100.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		22	3.59		97	15.85					451	73.69		11	1.80					13	2.12		18	2.94		612	
	FOURTH			1	7.69		1	7.69					8	61.54		0	0.00						Excluded		3	23.08		13	
		TOTAL		23	3.76		98	16.01					459	75.00		11	1.80								21	3.43		612	
	FIFTH			0	0.00		2	18.18					7	63.64			Excluded								2	18.18		11	
		TOTAL		23	3.76		100	16.34					466	76.14											23	3.76		612	
	SIXTH			1	4.35		18	78.26					4	17.39												Excluded		23	
		TOTAL		24	3.92		118	19.28					470	76.80														612	
	SEVENTH				Excluded		9	37.50					15	62.50														24	
		TOTAL					127	20.75					485	79.25														612	
													Elected																
																													
Currans Hill                                                   																													
	FIRST			90	4.84		668	35.95		7	0.38		963	51.83		37	1.99		23	1.24		20	1.08		50	2.69		1858	
	SECOND			1	14.29		1	14.29			Excluded		2	28.57		2	28.57		0	0.00		0	0.00		1	14.29		7	
		TOTAL		91	4.90		669	36.01					965	51.94		39	2.10		23	1.24		20	1.08		51	2.74		1858	
	THIRD			1	4.35		10	43.48					2	8.70		6	26.09			Excluded		2	8.70		2	8.70		23	
		TOTAL		92	4.95		679	36.54					967	52.05		45	2.42					22	1.18		53	2.85		1858	
	FOURTH			4	18.18		5	22.73					11	50.00		0	0.00						Excluded		2	9.09		22	
		TOTAL		96	5.17		684	36.81					978	52.64		45	2.42								55	2.96		1858	
	FIFTH			4	8.89		9	20.00					16	35.56			Excluded								16	35.56		45	
		TOTAL		100	5.38		693	37.30					994	53.50											71	3.82		1858	
	SIXTH			14	19.72		37	52.11					20	28.17												Excluded		71	
		TOTAL		114	6.14		730	39.29					1014	54.57														1858	
	SEVENTH				Excluded		59	51.75					55	48.25														114	
		TOTAL					789	42.47					1069	57.53														1858	
													Elected																
																													
Eagle Vale                                                     																													
	FIRST			69	3.80		865	47.66		9	0.50		768	42.31		24	1.32		19	1.05		30	1.65		31	1.71		1815	
	SECOND			1	11.11		2	22.22			Excluded		2	22.22		0	0.00		0	0.00		2	22.22		2	22.22		9	
		TOTAL		70	3.86		867	47.77					770	42.42		24	1.32		19	1.05		32	1.76		33	1.82		1815	
	THIRD			2	10.53		12	63.16					3	15.79		0	0.00			Excluded		0	0.00		2	10.53		19	
