House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
North Sydney																							
				WARD			HOCKEY			MCGUIRE			STEEL			LAM			TEIRNEY				
		TOTAL					1777	68.40											821	31.60		2598	
							Elected																
																							
Cremorne South (North Sydney)                                  																							
	FIRST			27	1.37		1191	60.24		152	7.69		149	7.54		12	0.61		446	22.56		1977	
	SECOND			3	25.00		1	8.33		2	16.67		5	41.67			Excluded		1	8.33		12	
		TOTAL		30	1.52		1192	60.29		154	7.79		154	7.79					447	22.61		1977	
	THIRD				Excluded		20	66.67		7	23.33		1	3.33					2	6.67		30	
		TOTAL					1212	61.31		161	8.14		155	7.84					449	22.71		1977	
	FOURTH						18	11.61		96	61.94			Excluded					41	26.45		155	
		TOTAL					1230	62.22		257	13.00								490	24.79		1977	
	FIFTH						76	29.57			Excluded								181	70.43		257	
		TOTAL					1306	66.06											671	33.94		1977	
							Elected																
																							
Crows Nest                                                     																							
	FIRST			18	1.26		773	54.28		138	9.69		84	5.90		22	1.54		389	27.32		1424	
	SECOND			2	9.09		4	18.18		3	13.64		6	27.27			Excluded		7	31.82		22	
		TOTAL		20	1.40		777	54.56		141	9.90		90	6.32					396	27.81		1424	
	THIRD				Excluded		15	75.00		1	5.00		2	10.00					2	10.00		20	
		TOTAL					792	55.62		142	9.97		92	6.46					398	27.95		1424	
	FOURTH						15	16.30		54	58.70			Excluded					23	25.00		92	
		TOTAL					807	56.67		196	13.76								421	29.56		1424	
	FIFTH						59	30.10			Excluded								137	69.90		196	
		TOTAL					866	60.81											558	39.19		1424	
							Elected																
																							
Crows Nest East                                                																							
	FIRST			13	1.04		641	51.49		109	8.76		107	8.59		16	1.29		359	28.84		1245	
	SECOND			0	0.00		6	37.50		3	18.75		2	12.50			Excluded		5	31.25		16	
		TOTAL		13	1.04		647	51.97		112	9.00		109	8.76					364	29.24		1245	
	THIRD				Excluded		9	69.23		2	15.38		2	15.38					0	0.00		13	
		TOTAL					656	52.69		114	9.16		111	8.92					364	29.24		1245	
	FOURTH						10	9.01		72	64.86			Excluded					29	26.13		111	
		TOTAL					666	53.49		186	14.94								393	31.57		1245	
	FIFTH						57	30.65			Excluded								129	69.35		186	
		TOTAL					723	58.07											522	41.93		1245	
							Elected																
																							
Cullen                                                         																							
	FIRST			21	1.47		844	58.94		128	8.94		72	5.03		17	1.19		350	24.44		1432	
	SECOND			1	5.88		4	23.53		3	17.65		6	35.29			Excluded		3	17.65		17	
		TOTAL		22	1.54		848	59.22		131	9.15		78	5.45					353	24.65		1432	
	THIRD				Excluded		18	81.82		1	4.55		2	9.09					1	4.55		22	
		TOTAL					866	60.47		132	9.22		80	5.59					354	24.72		1432	
	FOURTH						11	13.75		54	67.50			Excluded					15	18.75		80	
		TOTAL					877	61.24		186	12.99								369	25.77		1432	
	FIFTH						57	30.65			Excluded								129	69.35		186	
		TOTAL					934	65.22											498	34.78		1432	
							Elected																
																							
Gladesville (North Sydney)                                     																							
	FIRST			26	2.75		493	52.11		46	4.86		44	4.65		6	0.63		331	34.99		946	
	SECOND			2	33.33		0	0.00		2	33.33		2	33.33			Excluded		0	0.00		6	
		TOTAL		28	2.96		493	52.11		48	5.07		46	4.86					331	34.99		946	
	THIRD				Excluded		16	57.14		6	21.43		5	17.86					1	3.57		28	
		TOTAL					509	53.81		54	5.71		51	5.39					332	35.10		946	
	FOURTH						7	13.73		26	50.98			Excluded					18	35.29		51	
		TOTAL					516	54.55		80	8.46								350	37.00		946	
	FIFTH						21	26.25			Excluded								59	73.75		80	
		TOTAL					537	56.77											409	43.23		946	
							Elected																
																							
Greenwich                                                      																							
	FIRST			16	0.90		941	53.13		168	9.49		186	10.50		17	0.96		443	25.01		1771	
	SECOND			1	5.88		2	11.76		3	17.65		5	29.41			Excluded		6	35.29		17	
		TOTAL		17	0.96		943	53.25		171	9.66		191	10.78					449	25.35		1771	
	THIRD				Excluded		13	76.47		0	0.00		4	23.53					0	0.00		17	
		TOTAL					956	53.98		171	9.66		195	11.01					449	25.35		1771	
	FOURTH						23	11.79		132	67.69			Excluded					40	20.51		195	
		TOTAL					979	55.28		303	17.11								489	27.61		1771	
	FIFTH						82	27.06			Excluded								221	72.94		303	
		TOTAL					1061	59.91											710	40.09		1771	
							Elected																
																							
Greenwich North                                                																							
	FIRST			15	2.08		388	53.81		55	7.63		73	10.12		4	0.55		186	25.80		721	
	SECOND			0	0.00		1	25.00		1	25.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		15	2.08		389	53.95		56	7.77		74	10.26					187	25.94		721	
	THIRD				Excluded		9	60.00		3	20.00		2	13.33					1	6.67		15	
		TOTAL					398	55.20		59	8.18		76	10.54					188	26.07		721	
	FOURTH						3	3.95		48	63.16			Excluded					25	32.89		76	
		TOTAL					401	55.62		107	14.84								213	29.54		721	
	FIFTH						30	28.04			Excluded								77	71.96		107	
		TOTAL					431	59.78											290	40.22		721	
							Elected																
																							
Henley                                                         																							
	FIRST			5	1.34		233	62.63		17	4.57		28	7.53		5	1.34		84	22.58		372	
	SECOND			2	40.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		5	
		TOTAL		7	1.88		233	62.63		18	4.84		28	7.53					86	23.12		372	
	THIRD				Excluded		3	42.86		2	28.57		1	14.29					1	14.29		7	
		TOTAL					236	63.44		20	5.38		29	7.80					87	23.39		372	
	FOURTH						4	13.79		14	48.28			Excluded					11	37.93		29	
		TOTAL					240	64.52		34	9.14								98	26.34		372	
	FIFTH						8	23.53			Excluded								26	76.47		34	
		TOTAL					248	66.67											124	33.33		372	
							Elected																
																							
Hunters Hill                                                   																							
	FIRST			21	1.24		1164	68.55		98	5.77		121	7.13		14	0.82		280	16.49		1698	
	SECOND			2	14.29		4	28.57		2	14.29		2	14.29			Excluded		4	28.57		14	
		TOTAL		23	1.35		1168	68.79		100	5.89		123	7.24					284	16.73		1698	
	THIRD				Excluded		17	73.91		4	17.39		0	0.00					2	8.70		23	
		TOTAL					1185	69.79		104	6.12		123	7.24					286	16.84		1698	
	FOURTH						16	13.01		75	60.98			Excluded					32	26.02		123	
		TOTAL					1201	70.73		179	10.54								318	18.73		1698	
	FIFTH						54	30.17			Excluded								125	69.83		179	
		TOTAL					1255	73.91											443	26.09		1698	
							Elected																
																							
Hunters Hill West                                              																							
	FIRST			13	1.17		634	57.27		89	8.04		84	7.59		6	0.54		281	25.38		1107	
	SECOND			1	16.67		1	16.67		1	16.67		2	33.33			Excluded		1	16.67		6	
		TOTAL		14	1.26		635	57.36		90	8.13		86	7.77					282	25.47		1107	
	THIRD				Excluded		7	50.00		0	0.00		3	21.43					4	28.57		14	
		TOTAL					642	57.99		90	8.13		89	8.04					286	25.84		1107	
	FOURTH						9	10.11		55	61.80			Excluded					25	28.09		89	
		TOTAL					651	58.81		145	13.10								311	28.09		1107	
	FIFTH						45	31.03			Excluded								100	68.97		145	
		TOTAL					696	62.87											411	37.13		1107	
							Elected																
																							
Kirribilli                                                     																							
	FIRST			17	1.08		844	53.76		134	8.54		126	8.03		12	0.76		437	27.83		1570	
	SECOND			2	16.67		3	25.00		2	16.67		3	25.00			Excluded		2	16.67		12	
		TOTAL		19	1.21		847	53.95		136	8.66		129	8.22					439	27.96		1570	
	THIRD				Excluded		7	36.84		6	31.58		3	15.79					3	15.79		19	
		TOTAL					854	54.39		142	9.04		132	8.41					442	28.15		1570	
	FOURTH						10	7.58		91	68.94			Excluded					31	23.48		132	
		TOTAL					864	55.03		233	14.84								473	30.13		1570	
	FIFTH						46	19.74			Excluded								187	80.26		233	
		TOTAL					910	57.96											660	42.04		1570	
							Elected																
																							
Lane Cove                                                      																							
	FIRST			57	1.63		1898	54.18		295	8.42		303	8.65		43	1.23		907	25.89		3503	
	SECOND			1	2.33		8	18.60		8	18.60		12	27.91			Excluded		14	32.56		43	
		TOTAL		58	1.66		1906	54.41		303	8.65		315	8.99					921	26.29		3503	
	THIRD				Excluded		42	72.41		2	3.45		7	12.07					7	12.07		58	
		TOTAL					1948	55.61		305	8.71		322	9.19					928	26.49		3503	
	FOURTH						39	12.11		201	62.42			Excluded					82	25.47		322	
		TOTAL					1987	56.72		506	14.44								1010	28.83		3503	
	FIFTH						135	26.68			Excluded								371	73.32		506	
		TOTAL					2122	60.58											1381	39.42		3503	
							Elected																
																							
Lane Cove South                                                																							
	FIRST			17	1.47		700	60.66		93	8.06		77	6.67		13	1.13		254	22.01		1154	
	SECOND			0	0.00		3	23.08		3	23.08		2	15.38			Excluded		5	38.46		13	
		TOTAL		17	1.47		703	60.92		96	8.32		79	6.85					259	22.44		1154	
	THIRD				Excluded		9	52.94		1	5.88		4	23.53					3	17.65		17	
		TOTAL					712	61.70		97	8.41		83	7.19					262	22.70		1154	
	FOURTH						7	8.43		50	60.24			Excluded					26	31.33		83	
		TOTAL					719	62.31		147	12.74								288	24.96		1154	
	FIFTH						40	27.21			Excluded								107	72.79		147	
		TOTAL					759	65.77											395	34.23		1154	
							Elected																
																							
Lane Cove West                                                 																							
	FIRST			20	1.16		1008	58.47		133	7.71		132	7.66		15	0.87		416	24.13		1724	
	SECOND			1	6.67		2	13.33		1	6.67		5	33.33			Excluded		6	40.00		15	
		TOTAL		21	1.22		1010	58.58		134	7.77		137	7.95					422	24.48		1724	
	THIRD				Excluded		12	57.14		5	23.81		0	0.00					4	19.05		21	
		TOTAL					1022	59.28		139	8.06		137	7.95					426	24.71		1724	
	FOURTH						19	13.87		97	70.80			Excluded					21	15.33		137	
		TOTAL					1041	60.38		236	13.69								447	25.93		1724	
	FIFTH						66	27.97			Excluded								170	72.03		236	
		TOTAL					1107	64.21											617	35.79		1724	
							Elected																
																							
Longueville                                                    																							
	FIRST			25	1.44		1121	64.61		131	7.55		120	6.92		9	0.52		329	18.96		1735	
	SECOND			1	11.11		4	44.44		1	11.11		1	11.11			Excluded		2	22.22		9	
		TOTAL		26	1.50		1125	64.84		132	7.61		121	6.97					331	19.08		1735	
	THIRD				Excluded		12	46.15		5	19.23		7	26.92					2	7.69		26	
		TOTAL					1137	65.53		137	7.90		128	7.38					333	19.19		1735	
	FOURTH						19	14.84		84	65.63			Excluded					25	19.53		128	
		TOTAL					1156	66.63		221	12.74								358	20.63		1735	
	FIFTH						57	25.79			Excluded								164	74.21		221	
		TOTAL					1213	69.91											522	30.09		1735	
							Elected																
																							
Mcmahons Point                                                 																							
	FIRST			19	1.05		926	51.42		164	9.11		198	10.99		17	0.94		477	26.49		1801	
	SECOND			2	11.76		3	17.65		4	23.53		1	5.88			Excluded		7	41.18		17	
		TOTAL		21	1.17		929	51.58		168	9.33		199	11.05					484	26.87		1801	
	THIRD				Excluded		12	57.14		4	19.05		3	14.29					2	9.52		21	
		TOTAL					941	52.25		172	9.55		202	11.22					486	26.99		1801	
	FOURTH						29	14.36		122	60.40			Excluded					51	25.25		202	
		TOTAL					970	53.86		294	16.32								537	29.82		1801	
	FIFTH						67	22.79			Excluded								227	77.21		294	
		TOTAL					1037	57.58											764	42.42		1801	
							Elected																
																							
Middle Harbour (North Sydney)                                  																							
	FIRST			5	1.64		188	61.64		31	10.16		29	9.51		4	1.31		48	15.74		305	
	SECOND			0	0.00		0	0.00		0	0.00		3	75.00			Excluded		1	25.00		4	
		TOTAL		5	1.64		188	61.64		31	10.16		32	10.49					49	16.07		305	
	THIRD				Excluded		3	60.00		0	0.00		1	20.00					1	20.00		5	
		TOTAL					191	62.62		31	10.16		33	10.82					50	16.39		305	
	FOURTH						4	12.12		25	75.76			Excluded					4	12.12		33	
		TOTAL					195	63.93		56	18.36								54	17.70		305	
	FIFTH						15	26.79			Excluded								41	73.21		56	
		TOTAL					210	68.85											95	31.15		305	
							Elected																
																							
Milsons Point                                                  																							
	FIRST			3	0.38		454	56.89		63	7.89		63	7.89		17	2.13		198	24.81		798	
	SECOND			1	5.88		2	11.76		3	17.65		5	29.41			Excluded		6	35.29		17	
		TOTAL		4	0.50		456	57.14		66	8.27		68	8.52					204	25.56		798	
	THIRD				Excluded		1	25.00		2	50.00		1	25.00					0	0.00		4	
		TOTAL					457	57.27		68	8.52		69	8.65					204	25.56		798	
	FOURTH						10	14.49		36	52.17			Excluded					23	33.33		69	
		TOTAL					467	58.52		104	13.03								227	28.45		798	
	FIFTH						34	32.69			Excluded								70	67.31		104	
		TOTAL					501	62.78											297	37.22		798	
							Elected																
																							
Mowbray (North Sydney)                                         																							
	FIRST			15	1.73		433	50.06		67	7.75		41	4.74		15	1.73		294	33.99		865	
	SECOND			0	0.00		2	13.33		2	13.33		5	33.33			Excluded		6	40.00		15	
		TOTAL		15	1.73		435	50.29		69	7.98		46	5.32					300	34.68		865	
	THIRD				Excluded		10	66.67		2	13.33		1	6.67					2	13.33		15	
		TOTAL					445	51.45		71	8.21		47	5.43					302	34.91		865	
	FOURTH						7	14.89		19	40.43			Excluded					21	44.68		47	
		TOTAL					452	52.25		90	10.40								323	37.34		865	
	FIFTH						28	31.11			Excluded								62	68.89		90	
		TOTAL					480	55.49											385	44.51		865	
							Elected																
																							
Naremburn                                                      																							
	FIRST			51	1.72		1629	54.89		232	7.82		235	7.92		16	0.54		805	27.12		2968	
	SECOND			1	6.25		0	0.00		3	18.75		2	12.50			Excluded		10	62.50		16	
		TOTAL		52	1.75		1629	54.89		235	7.92		237	7.99					815	27.46		2968	
	THIRD				Excluded		33	63.46		9	17.31		6	11.54					4	7.69		52	
		TOTAL					1662	56.00		244	8.22		243	8.19					819	27.59		2968	
	FOURTH						23	9.47		155	63.79			Excluded					65	26.75		243	
		TOTAL					1685	56.77		399	13.44								884	29.78		2968	
	FIFTH						117	29.32			Excluded								282	70.68		399	
		TOTAL					1802	60.71											1166	39.29		2968	
							Elected																
																							
Neutral Bay                                                    																							
	FIRST			53	1.34		2312	58.55		329	8.33		320	8.10		43	1.09		892	22.59		3949	
	SECOND			3	6.98		10	23.26		6	13.95		13	30.23			Excluded		11	25.58		43	
		TOTAL		56	1.42		2322	58.80		335	8.48		333	8.43					903	22.87		3949	
	THIRD				Excluded		29	51.79		15	26.79		7	12.50					5	8.93		56	
		TOTAL					2351	59.53		350	8.86		340	8.61					908	22.99		3949	
	FOURTH						38	11.18		227	66.76			Excluded					75	22.06		340	
		TOTAL					2389	60.50		577	14.61								983	24.89		3949	
	FIFTH						154	26.69			Excluded								423	73.31		577	
		TOTAL					2543	64.40											1406	35.60		3949	
							Elected																
																							
Neutral Bay West                                               																							
	FIRST			17	1.71		567	56.98		95	9.55		75	7.54		3	0.30		238	23.92		995	
	SECOND			0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		3	
		TOTAL		17	1.71		567	56.98		95	9.55		78	7.84					238	23.92		995	
	THIRD				Excluded		11	64.71		1	5.88		3	17.65					2	11.76		17	
		TOTAL					578	58.09		96	9.65		81	8.14					240	24.12		995	
	FOURTH						13	16.05		44	54.32			Excluded					24	29.63		81	
		TOTAL					591	59.40		140	14.07								264	26.53		995	
	FIFTH						46	32.86			Excluded								94	67.14		140	
		TOTAL					637	64.02											358	35.98		995	
							Elected																
																							
North Sydney                                                   																							
	FIRST			23	1.16		1063	53.74		178	9.00		204	10.31		21	1.06		489	24.72		1978	
	SECOND			1	4.76		4	19.05		2	9.52		5	23.81			Excluded		9	42.86		21	
		TOTAL		24	1.21		1067	53.94		180	9.10		209	10.57					498	25.18		1978	
	THIRD				Excluded		13	54.17		5	20.83		3	12.50					3	12.50		24	
		TOTAL					1080	54.60		185	9.35		212	10.72					501	25.33		1978	
	FOURTH						24	11.32		131	61.79			Excluded					57	26.89		212	
		TOTAL					1104	55.81		316	15.98								558	28.21		1978	
	FIFTH						98	31.01			Excluded								218	68.99		316	
		TOTAL					1202	60.77											776	39.23		1978	
							Elected																
																							
Northbridge                                                    																							
	FIRST			19	1.74		651	59.67		88	8.07		59	5.41		21	1.92		253	23.19		1091	
	SECOND			1	4.76		4	19.05		2	9.52		6	28.57			Excluded		8	38.10		21	
		TOTAL		20	1.83		655	60.04		90	8.25		65	5.96					261	23.92		1091	
	THIRD				Excluded		12	60.00		2	10.00		4	20.00					2	10.00		20	
		TOTAL					667	61.14		92	8.43		69	6.32					263	24.11		1091	
	FOURTH						5	7.25		46	66.67			Excluded					18	26.09		69	
		TOTAL					672	61.59		138	12.65								281	25.76		1091	
	FIFTH						43	31.16			Excluded								95	68.84		138	
		TOTAL					715	65.54											376	34.46		1091	
							Elected																
																							
Northbridge East                                               																							
	FIRST			22	1.04		1380	65.03		153	7.21		149	7.02		25	1.18		393	18.52		2122	
	SECOND			0	0.00		5	20.00		8	32.00		6	24.00			Excluded		6	24.00		25	
		TOTAL		22	1.04		1385	65.27		161	7.59		155	7.30					399	18.80		2122	
	THIRD				Excluded		13	59.09		2	9.09		3	13.64					4	18.18		22	
		TOTAL					1398	65.88		163	7.68		158	7.45					403	18.99		2122	
	FOURTH						22	13.92		105	66.46			Excluded					31	19.62		158	
		TOTAL					1420	66.92		268	12.63								434	20.45		2122	
	FIFTH						83	30.97			Excluded								185	69.03		268	
		TOTAL					1503	70.83											619	29.17		2122	
							Elected																
																							
Parklands                                                      																							
	FIRST			31	2.04		798	52.60		137	9.03		148	9.76		9	0.59		394	25.97		1517	
	SECOND			0	0.00		1	11.11		1	11.11		3	33.33			Excluded		4	44.44		9	
		TOTAL		31	2.04		799	52.67		138	9.10		151	9.95					398	26.24		1517	
	THIRD				Excluded		20	64.52		4	12.90		3	9.68					4	12.90		31	
		TOTAL					819	53.99		142	9.36		154	10.15					402	26.50		1517	
	FOURTH						18	11.69		98	63.64			Excluded					38	24.68		154	
		TOTAL					837	55.17		240	15.82								440	29.00		1517	
	FIFTH						79	32.92			Excluded								161	67.08		240	
		TOTAL					916	60.38											601	39.62		1517	
							Elected																
																							
Royal North Shore Hospital                                     																							
	FIRST			9	2.12		219	51.53		26	6.12		23	5.41		13	3.06		135	31.76		425	
	SECOND			0	0.00		3	23.08		1	7.69		0	0.00			Excluded		9	69.23		13	
		TOTAL		9	2.12		222	52.24		27	6.35		23	5.41					144	33.88		425	
	THIRD				Excluded		5	55.56		2	22.22		0	0.00					2	22.22		9	
		TOTAL					227	53.41		29	6.82		23	5.41					146	34.35		425	
	FOURTH						2	8.70		16	69.57			Excluded					5	21.74		23	
		TOTAL					229	53.88		45	10.59								151	35.53		425	
	FIFTH						14	31.11			Excluded								31	68.89		45	
		TOTAL					243	57.18											182	42.82		425	
							Elected																
																							
Sydney (North Sydney)                                          																							
	FIRST			2	0.98		96	46.83		21	10.24		26	12.68		1	0.49		59	28.78		205	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	0.98		96	46.83		22	10.73		26	12.68					59	28.78		205	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					98	47.80		22	10.73		26	12.68					59	28.78		205	
	FOURTH						4	15.38		16	61.54			Excluded					6	23.08		26	
		TOTAL					102	49.76		38	18.54								65	31.71		205	
	FIFTH						17	44.74			Excluded								21	55.26		38	
		TOTAL					119	58.05											86	41.95		205	
							Elected																
																							
Waverton                                                       																							
	FIRST			11	0.93		623	52.49		93	7.83		102	8.59		15	1.26		343	28.90		1187	
	SECOND			0	0.00		4	26.67		1	6.67		5	33.33			Excluded		5	33.33		15	
		TOTAL		11	0.93		627	52.82		94	7.92		107	9.01					348	29.32		1187	
	THIRD				Excluded		9	81.82		1	9.09		1	9.09					0	0.00		11	
		TOTAL					636	53.58		95	8.00		108	9.10					348	29.32		1187	
	FOURTH						9	8.33		67	62.04			Excluded					32	29.63		108	
		TOTAL					645	54.34		162	13.65								380	32.01		1187	
	FIFTH						41	25.31			Excluded								121	74.69		162	
		TOTAL					686	57.79											501	42.21		1187	
							Elected																
																							
Willoughby (North Sydney)                                      																							
	FIRST			56	2.06		1426	52.35		233	8.55		189	6.94		20	0.73		800	29.37		2724	
	SECOND			1	5.00		5	25.00		2	10.00		5	25.00			Excluded		7	35.00		20	
		TOTAL		57	2.09		1431	52.53		235	8.63		194	7.12					807	29.63		2724	
	THIRD				Excluded		34	59.65		9	15.79		8	14.04					6	10.53		57	
		TOTAL					1465	53.78		244	8.96		202	7.42					813	29.85		2724	
	FOURTH						27	13.37		124	61.39			Excluded					51	25.25		202	
		TOTAL					1492	54.77		368	13.51								864	31.72		2724	
	FIFTH						98	26.63			Excluded								270	73.37		368	
		TOTAL					1590	58.37											1134	41.63		2724	
							Elected																
																							
Willoughby North (North Sydney)                                																							
	FIRST			30	1.99		878	58.11		121	8.01		88	5.82		14	0.93		380	25.15		1511	
	SECOND			0	0.00		2	14.29		2	14.29		4	28.57			Excluded		6	42.86		14	
		TOTAL		30	1.99		880	58.24		123	8.14		92	6.09					386	25.55		1511	
	THIRD				Excluded		21	70.00		3	10.00		1	3.33					5	16.67		30	
		TOTAL					901	59.63		126	8.34		93	6.15					391	25.88		1511	
	FOURTH						6	6.45		66	70.97			Excluded					21	22.58		93	
		TOTAL					907	60.03		192	12.71								412	27.27		1511	
	FIFTH						52	27.08			Excluded								140	72.92		192	
		TOTAL					959	63.47											552	36.53		1511	
							Elected																
																							
Wollstonecraft                                                 																							
	FIRST			39	1.51		1406	54.54		276	10.71		181	7.02		30	1.16		646	25.06		2578	
	SECOND			3	10.00		8	26.67		6	20.00		7	23.33			Excluded		6	20.00		30	
