House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Banks																															
				O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			MELHAM			BAISSARI			
	THIRD			1	5.88		1	5.88		0	0.00					3	17.65			Excluded		0	0.00		12	70.59		0	0.00		17
		TOTAL		36	5.15		12	1.72		11	1.57					220	31.47					25	3.58		373	53.36		22	3.15		699
	FOURTH			1	4.55		2	9.09		1	4.55					14	63.64					0	0.00		4	18.18			Excluded		22
		TOTAL		37	5.29		14	2.00		12	1.72					234	33.48					25	3.58		377	53.93					699
	FIFTH			5	35.71			Excluded		1	7.14					3	21.43					4	28.57		1	7.14					14
		TOTAL		42	6.01					13	1.86					237	33.91					29	4.15		378	54.08					699
	SIXTH				Excluded					23	54.76					8	19.05					3	7.14		8	19.05					42
		TOTAL								36	5.15					245	35.05					32	4.58		386	55.22					699
	SEVENTH									0	0.00					4	12.50						Excluded		28	87.50					32
		TOTAL								36	5.15					249	35.62								414	59.23					699
	EIGHTH										Excluded					26	72.22								10	27.78					36
		TOTAL														275	39.34								424	60.66					699
																									Elected						
																															
East Hills                                                     																															
	FIRST			51	4.86		36	3.43		103	9.81		7	0.67		359	34.19		6	0.57		24	2.29		426	40.57		38	3.62		1050
	SECOND			1	14.29		2	28.57		0	0.00			Excluded		2	28.57		0	0.00		1	14.29		0	0.00		1	14.29		7
		TOTAL		52	4.95		38	3.62		103	9.81					361	34.38		6	0.57		25	2.38		426	40.57		39	3.71		1050
	THIRD			0	0.00		0	0.00		1	16.67					0	0.00			Excluded		1	16.67		4	66.67		0	0.00		6
		TOTAL		52	4.95		38	3.62		104	9.90					361	34.38					26	2.48		430	40.95		39	3.71		1050
	FOURTH			1	2.56		3	7.69		2	5.13					21	53.85					2	5.13		10	25.64			Excluded		39
		TOTAL		53	5.05		41	3.90		106	10.10					382	36.38					28	2.67		440	41.90					1050
	FIFTH			6	14.63			Excluded		1	2.44					4	9.76					13	31.71		17	41.46					41
		TOTAL		59	5.62					107	10.19					386	36.76					41	3.90		457	43.52					1050
	SIXTH				Excluded					41	69.49					11	18.64					2	3.39		5	8.47					59
		TOTAL								148	14.10					397	37.81					43	4.10		462	44.00					1050
	SEVENTH									4	9.30					10	23.26						Excluded		29	67.44					43
		TOTAL								152	14.48					407	38.76								491	46.76					1050
	EIGHTH										Excluded					110	72.37								42	27.63					152
		TOTAL														517	49.24								533	50.76					1050
																									Elected						
																															
Hannans Road                                                   																															
	FIRST			57	2.36		55	2.28		143	5.93		15	0.62		554	22.98		43	1.78		58	2.41		1450	60.14		36	1.49		2411
	SECOND			0	0.00		2	13.33		3	20.00			Excluded		1	6.67		0	0.00		0	0.00		9	60.00		0	0.00		15
		TOTAL		57	2.36		57	2.36		146	6.06					555	23.02		43	1.78		58	2.41		1459	60.51		36	1.49		2411
	THIRD			0	0.00		4	9.30		1	2.33					3	6.98			Excluded		11	25.58		24	55.81		0	0.00		43
		TOTAL		57	2.36		61	2.53		147	6.10					558	23.14					69	2.86		1483	61.51		36	1.49		2411
	FOURTH			0	0.00		3	8.33		3	8.33					19	52.78					4	11.11		7	19.44			Excluded		36
		TOTAL		57	2.36		64	2.65		150	6.22					577	23.93					73	3.03		1490	61.80					2411
	FIFTH			12	18.75			Excluded		4	6.25					8	12.50					21	32.81		19	29.69					64
		TOTAL		69	2.86					154	6.39					585	24.26					94	3.90		1509	62.59					2411
	SIXTH				Excluded					47	68.12					7	10.14					9	13.04		6	8.70					69
		TOTAL								201	8.34					592	24.55					103	4.27		1515	62.84					2411
	SEVENTH									7	6.80					22	21.36						Excluded		74	71.84					103
		TOTAL								208	8.63					614	25.47								1589	65.91					2411
	EIGHTH										Excluded					173	83.17								35	16.83					208
		TOTAL														787	32.64								1624	67.36					2411
																									Elected						
																															
Lugarno                                                        																															
	FIRST			57	1.91		90	3.01		169	5.66		11	0.37		1669	55.88		9	0.30		106	3.55		790	26.45		86	2.88		2987
	SECOND			3	27.27		0	0.00		3	27.27			Excluded		4	36.36		0	0.00		1	9.09		0	0.00		0	0.00		11
		TOTAL		60	2.01		90	3.01		172	5.76					1673	56.01		9	0.30		107	3.58		790	26.45		86	2.88		2987
	THIRD			0	0.00		3	33.33		1	11.11					1	11.11			Excluded		1	11.11		3	33.33		0	0.00		9
		TOTAL		60	2.01		93	3.11		173	5.79					1674	56.04					108	3.62		793	26.55		86	2.88		2987
	FOURTH			3	3.49		1	1.16		2	2.33					65	75.58					6	6.98		9	10.47			Excluded		86
		TOTAL		63	2.11		94	3.15		175	5.86					1739	58.22					114	3.82		802	26.85					2987
	FIFTH			14	14.89			Excluded		5	5.32					11	11.70					30	31.91		34	36.17					94
		TOTAL		77	2.58					180	6.03					1750	58.59					144	4.82		836	27.99					2987
	SIXTH				Excluded					36	46.75					25	32.47					6	7.79		10	12.99					77
		TOTAL								216	7.23					1775	59.42					150	5.02		846	28.32					2987
	SEVENTH									6	4.00					35	23.33						Excluded		109	72.67					150
		TOTAL								222	7.43					1810	60.60								955	31.97					2987
	EIGHTH										Excluded					191	86.04								31	13.96					222
		TOTAL														2001	66.99								986	33.01					2987
																									Elected						
																															
Milperra                                                       																															
	FIRST			159	6.56		64	2.64		232	9.57		12	0.50		956	39.44		11	0.45		70	2.89		861	35.52		59	2.43		2424
	SECOND			3	25.00		0	0.00		0	0.00			Excluded		6	50.00		0	0.00		2	16.67		1	8.33		0	0.00		12
		TOTAL		162	6.68		64	2.64		232	9.57					962	39.69		11	0.45		72	2.97		862	35.56		59	2.43		2424
	THIRD			1	9.09		0	0.00		0	0.00					2	18.18			Excluded		2	18.18		6	54.55		0	0.00		11
		TOTAL		163	6.72		64	2.64		232	9.57					964	39.77					74	3.05		868	35.81		59	2.43		2424
	FOURTH			3	5.08		4	6.78		4	6.78					35	59.32					1	1.69		12	20.34			Excluded		59
		TOTAL		166	6.85		68	2.81		236	9.74					999	41.21					75	3.09		880	36.30					2424
	FIFTH			11	16.18			Excluded		4	5.88					10	14.71					14	20.59		29	42.65					68
		TOTAL		177	7.30					240	9.90					1009	41.63					89	3.67		909	37.50					2424
	SIXTH				Excluded					128	72.32					18	10.17					9	5.08		22	12.43					177
		TOTAL								368	15.18					1027	42.37					98	4.04		931	38.41					2424
	SEVENTH									17	17.35					19	19.39						Excluded		62	63.27					98
		TOTAL								385	15.88					1046	43.15								993	40.97					2424
	EIGHTH										Excluded					286	74.29								99	25.71					385
		TOTAL														1332	54.95								1092	45.05					2424
																									Elected						
																															
Mortdale Central                                               																															
	FIRST			51	2.65		65	3.38		100	5.19		10	0.52		669	34.75		18	0.94		59	3.06		921	47.84		32	1.66		1925
	SECOND			1	10.00		1	10.00		2	20.00			Excluded		4	40.00		0	0.00		1	10.00		0	0.00		1	10.00		10
		TOTAL		52	2.70		66	3.43		102	5.30					673	34.96		18	0.94		60	3.12		921	47.84		33	1.71		1925
	THIRD			3	16.67		2	11.11		1	5.56					3	16.67			Excluded		3	16.67		6	33.33		0	0.00		18
		TOTAL		55	2.86		68	3.53		103	5.35					676	35.12					63	3.27		927	48.16		33	1.71		1925
	FOURTH			3	9.09		1	3.03		3	9.09					14	42.42					3	9.09		9	27.27			Excluded		33
		TOTAL		58	3.01		69	3.58		106	5.51					690	35.84					66	3.43		936	48.62					1925
	FIFTH			9	13.04			Excluded		4	5.80					9	13.04					26	37.68		21	30.43					69
		TOTAL		67	3.48					110	5.71					699	36.31					92	4.78		957	49.71					1925
	SIXTH				Excluded					41	61.19					12	17.91					5	7.46		9	13.43					67
		TOTAL								151	7.84					711	36.94					97	5.04		966	50.18					1925
	SEVENTH									9	9.28					20	20.62						Excluded		68	70.10					97
		TOTAL								160	8.31					731	37.97								1034	53.71					1925
	EIGHTH										Excluded					121	75.63								39	24.38					160
		TOTAL														852	44.26								1073	55.74					1925
																									Elected						
																															
Mortdale Heights                                               																															
	FIRST			17	1.75		23	2.37		74	7.61		3	0.31		436	44.86		2	0.21		29	2.98		372	38.27		16	1.65		972
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		17	1.75		23	2.37		74	7.61					437	44.96		3	0.31		29	2.98		373	38.37		16	1.65		972
	THIRD			0	0.00		0	0.00		0	0.00					2	66.67			Excluded		0	0.00		1	33.33		0	0.00		3
		TOTAL		17	1.75		23	2.37		74	7.61					439	45.16					29	2.98		374	38.48		16	1.65		972
	FOURTH			1	6.25		2	12.50		0	0.00					10	62.50					1	6.25		2	12.50			Excluded		16
		TOTAL		18	1.85		25	2.57		74	7.61					449	46.19					30	3.09		376	38.68					972
	FIFTH			2	8.00			Excluded		1	4.00					4	16.00					9	36.00		9	36.00					25
		TOTAL		20	2.06					75	7.72					453	46.60					39	4.01		385	39.61					972
	SIXTH				Excluded					13	65.00					1	5.00					3	15.00		3	15.00					20
		TOTAL								88	9.05					454	46.71					42	4.32		388	39.92					972
	SEVENTH									5	11.90					13	30.95						Excluded		24	57.14					42
		TOTAL								93	9.57					467	48.05								412	42.39					972
	EIGHTH										Excluded					69	74.19								24	25.81					93
		TOTAL														536	55.14								436	44.86					972
																									Elected						
																															
Mortdale West                                                  																															
	FIRST			52	2.74		53	2.79		87	4.58		9	0.47		739	38.92		13	0.68		77	4.05		829	43.65		40	2.11		1899
	SECOND			1	11.11		0	0.00		1	11.11			Excluded		3	33.33		1	11.11		2	22.22		1	11.11		0	0.00		9
		TOTAL		53	2.79		53	2.79		88	4.63					742	39.07		14	0.74		79	4.16		830	43.71		40	2.11		1899
	THIRD			2	14.29		3	21.43		0	0.00					1	7.14			Excluded		3	21.43		5	35.71		0	0.00		14
		TOTAL		55	2.90		56	2.95		88	4.63					743	39.13					82	4.32		835	43.97		40	2.11		1899
	FOURTH			1	2.50		3	7.50		1	2.50					20	50.00					5	12.50		10	25.00			Excluded		40
		TOTAL		56	2.95		59	3.11		89	4.69					763	40.18					87	4.58		845	44.50					1899
	FIFTH			8	13.56			Excluded		3	5.08					6	10.17					20	33.90		22	37.29					59
		TOTAL		64	3.37					92	4.84					769	40.49					107	5.63		867	45.66					1899
	SIXTH				Excluded					41	64.06					12	18.75					6	9.38		5	7.81					64
		TOTAL								133	7.00					781	41.13					113	5.95		872	45.92					1899
	SEVENTH									12	10.62					31	27.43						Excluded		70	61.95					113
		TOTAL								145	7.64					812	42.76								942	49.61					1899
	EIGHTH										Excluded					97	66.90								48	33.10					145
		TOTAL														909	47.87								990	52.13					1899
																									Elected						
																															
Narwee                                                         																															
	FIRST			65	2.37		44	1.60		121	4.40		18	0.66		1006	36.61		43	1.56		109	3.97		1281	46.62		61	2.22		2748
	SECOND			1	5.56		3	16.67		4	22.22			Excluded		3	16.67		1	5.56		5	27.78		1	5.56		0	0.00		18
		TOTAL		66	2.40		47	1.71		125	4.55					1009	36.72		44	1.60		114	4.15		1282	46.65		61	2.22		2748
	THIRD			0	0.00		2	4.55		0	0.00					4	9.09			Excluded		9	20.45		27	61.36		2	4.55		44
		TOTAL		66	2.40		49	1.78		125	4.55					1013	36.86					123	4.48		1309	47.63		63	2.29		2748
	FOURTH			2	3.17		2	3.17		4	6.35					41	65.08					3	4.76		11	17.46			Excluded		63
		TOTAL		68	2.47		51	1.86		129	4.69					1054	38.36					126	4.59		1320	48.03					2748
	FIFTH			10	19.61			Excluded		0	0.00					14	27.45					13	25.49		14	27.45					51
		TOTAL		78	2.84					129	4.69					1068	38.86					139	5.06		1334	48.54					2748
	SIXTH				Excluded					43	55.13					12	15.38					7	8.97		16	20.51					78
		TOTAL								172	6.26					1080	39.30					146	5.31		1350	49.13					2748
	SEVENTH									16	10.96					35	23.97						Excluded		95	65.07					146
		TOTAL								188	6.84					1115	40.57								1445	52.58					2748
	EIGHTH										Excluded					141	75.00								47	25.00					188
		TOTAL														1256	45.71								1492	54.29					2748
																									Elected						
																															
Oatley (Banks)                                                 																															
	FIRST			13	2.26		31	5.38		20	3.47		4	0.69		271	47.05		4	0.69		44	7.64		173	30.03		16	2.78		576
	SECOND			1	25.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		4
		TOTAL		14	2.43		32	5.56		20	3.47					271	47.05		4	0.69		44	7.64		174	30.21		17	2.95		576
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00			Excluded		2	50.00		1	25.00		1	25.00		4
		TOTAL		14	2.43		32	5.56		20	3.47					271	47.05					46	7.99		175	30.38		18	3.13		576
	FOURTH			0	0.00		1	5.56		1	5.56					7	38.89					6	33.33		3	16.67			Excluded		18
		TOTAL		14	2.43		33	5.73		21	3.65					278	48.26					52	9.03		178	30.90					576
	FIFTH			4	12.12			Excluded		1	3.03					2	6.06					22	66.67		4	12.12					33
		TOTAL		18	3.13					22	3.82					280	48.61					74	12.85		182	31.60					576
	SIXTH				Excluded					10	55.56					5	27.78					2	11.11		1	5.56					18
		TOTAL								32	5.56					285	49.48					76	13.19		183	31.77					576
	SEVENTH									3	3.95					23	30.26						Excluded		50	65.79					76
		TOTAL								35	6.08					308	53.47								233	40.45					576
	EIGHTH										Excluded					29	82.86								6	17.14					35
		TOTAL														337	58.51								239	41.49					576
																									Elected						
																															
Oatley West                                                    																															
	FIRST			52	2.13		113	4.62		101	4.13		4	0.16		1155	47.22		12	0.49		149	6.09		809	33.07		51	2.09		2446
	SECOND			1	25.00		1	25.00		0	0.00			Excluded		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		53	2.17		114	4.66		101	4.13					1157	47.30		12	0.49		149	6.09		809	33.07		51	2.09		2446
	THIRD			1	8.33		2	16.67		0	0.00					3	25.00			Excluded		2	16.67		4	33.33		0	0.00		12
		TOTAL		54	2.21		116	4.74		101	4.13					1160	47.42					151	6.17		813	33.24		51	2.09		2446
	FOURTH			2	3.92		3	5.88		7	13.73					23	45.10					7	13.73		9	17.65			Excluded		51
		TOTAL		56	2.29		119	4.87		108	4.42					1183	48.36					158	6.46		822	33.61					2446
	FIFTH			7	5.88			Excluded		5	4.20					10	8.40					60	50.42		37	31.09					119
		TOTAL		63	2.58					113	4.62					1193	48.77					218	8.91		859	35.12					2446
	SIXTH				Excluded					36	57.14					9	14.29					3	4.76		15	23.81					63
		TOTAL								149	6.09					1202	49.14					221	9.04		874	35.73					2446
	SEVENTH									10	4.52					48	21.72						Excluded		163	73.76					221
		TOTAL								159	6.50					1250	51.10								1037	42.40					2446
	EIGHTH										Excluded					119	74.84								40	25.16					159
		TOTAL														1369	55.97								1077	44.03					2446
																									Elected						
																															
Padstow                                                        																															
	FIRST			135	3.89		86	2.48		211	6.09		12	0.35		1094	31.56		50	1.44		117	3.38		1646	47.49		115	3.32		3466
	SECOND			2	16.67		3	25.00		1	8.33			Excluded		3	25.00		0	0.00		2	16.67		1	8.33		0	0.00		12
		TOTAL		137	3.95		89	2.57		212	6.12					1097	31.65		50	1.44		119	3.43		1647	47.52		115	3.32		3466
	THIRD			2	4.00		5	10.00		2	4.00					9	18.00			Excluded		9	18.00		22	44.00		1	2.00		50
		TOTAL		139	4.01		94	2.71		214	6.17					1106	31.91					128	3.69		1669	48.15		116	3.35		3466
	FOURTH			6	5.17		4	3.45		6	5.17					70	60.34					6	5.17		24	20.69			Excluded		116
		TOTAL		145	4.18		98	2.83		220	6.35					1176	33.93					134	3.87		1693	48.85					3466
	FIFTH			10	10.20			Excluded		7	7.14					10	10.20					37	37.76		34	34.69					98
		TOTAL		155	4.47					227	6.55					1186	34.22					171	4.93		1727	49.83					3466
	SIXTH				Excluded					104	67.10					16	10.32					9	5.81		26	16.77					155
		TOTAL								331	9.55					1202	34.68					180	5.19		1753	50.58					3466
	SEVENTH									20	11.11					53	29.44						Excluded		107	59.44					180
		TOTAL								351	10.13					1255	36.21								1860	53.66					3466
	EIGHTH										Excluded					253	72.08								98	27.92					351
		TOTAL														1508	43.51								1958	56.49					3466
																									Elected						
																															
Padstow East                                                   																															
	FIRST			36	2.38		16	1.06		152	10.05		6	0.40		488	32.25		25	1.65		28	1.85		688	45.47		74	4.89		1513
	SECOND			0	0.00		0	0.00		1	16.67			Excluded		2	33.33		1	16.67		1	16.67		1	16.67		0	0.00		6
		TOTAL		36	2.38		16	1.06		153	10.11					490	32.39		26	1.72		29	1.92		689	45.54		74	4.89		1513
	THIRD			0	0.00		4	15.38		0	0.00					2	7.69			Excluded		10	38.46		10	38.46		0	0.00		26
		TOTAL		36	2.38		20	1.32		153	10.11					492	32.52					39	2.58		699	46.20		74	4.89		1513
	FOURTH			3	4.05		3	4.05		4	5.41					48	64.86					4	5.41		12	16.22			Excluded		74
		TOTAL		39	2.58		23	1.52		157	10.38					540	35.69					43	2.84		711	46.99					1513
	FIFTH			2	8.70			Excluded		1	4.35					5	21.74					9	39.13		6	26.09					23
		TOTAL		41	2.71					158	10.44					545	36.02					52	3.44		717	47.39					1513
	SIXTH				Excluded					27	65.85					7	17.07					4	9.76		3	7.32					41
		TOTAL								185	12.23					552	36.48					56	3.70		720	47.59					1513
	SEVENTH									6	10.71					11	19.64						Excluded		39	69.64					56
		TOTAL								191	12.62					563	37.21								759	50.17					1513
	EIGHTH										Excluded					134	70.16								57	29.84					191
		TOTAL														697	46.07								816	53.93					1513
																									Elected						
																															
Padstow North                                                  																															
	FIRST			18	3.31		14	2.58		48	8.84		1	0.18		173	31.86		3	0.55		18	3.31		244	44.94		24	4.42		543
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		18	3.31		14	2.58		48	8.84					174	32.04		3	0.55		18	3.31		244	44.94		24	4.42		543
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00			Excluded		1	33.33		2	66.67		0	0.00		3
		TOTAL		18	3.31		14	2.58		48	8.84					174	32.04					19	3.50		246	45.30		24	4.42		543
	FOURTH			4	16.67		1	4.17		1	4.17					16	66.67					0	0.00		2	8.33			Excluded		24
		TOTAL		22	4.05		15	2.76		49	9.02					190	34.99					19	3.50		248	45.67					543
	FIFTH			4	26.67			Excluded		1	6.67					3	20.00					2	13.33		5	33.33					15
		TOTAL		26	4.79					50	9.21					193	35.54					21	3.87		253	46.59					543
	SIXTH				Excluded					11	42.31					7	26.92					3	11.54		5	19.23					26
		TOTAL								61	11.23					200	36.83					24	4.42		258	47.51					543
	SEVENTH									3	12.50					11	45.83						Excluded		10	41.67					24
		TOTAL								64	11.79					211	38.86								268	49.36					543
	EIGHTH										Excluded					50	78.13								14	21.88					64
		TOTAL														261	48.07								282	51.93					543
																									Elected						
																															
Padstow South                                                  																															
	FIRST			105	3.99		74	2.81		190	7.21		5	0.19		1043	39.60		15	0.57		95	3.61		1026	38.95		81	3.08		2634
	SECOND			0	0.00		2	40.00		2	40.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		105	3.99		76	2.89		192	7.29					1043	39.60		15	0.57		95	3.61		1026	38.95		82	3.11		2634
	THIRD			0	0.00		1	6.67		0	0.00					2	13.33			Excluded		3	20.00		8	53.33		1	6.67		15
		TOTAL		105	3.99		77	2.92		192	7.29					1045	39.67					98	3.72		1034	39.26		83	3.15		2634
	FOURTH			0	0.00		2	2.41		6	7.23					58	69.88					6	7.23		11	13.25			Excluded		83
		TOTAL		105	3.99		79	3.00		198	7.52					1103	41.88					104	3.95		1045	39.67					2634
	FIFTH			11	13.92			Excluded		3	3.80					10	12.66					22	27.85		33	41.77					79
		TOTAL		116	4.40					201	7.63					1113	42.26					126	4.78		1078	40.93					2634
	SIXTH				Excluded					72	62.07					26	22.41					6	5.17		12	10.34					116
		TOTAL								273	10.36					1139	43.24					132	5.01		1090	41.38					2634
	SEVENTH									17	12.88					35	26.52						Excluded		80	60.61					132
		TOTAL								290	11.01					1174	44.57								1170	44.42					2634
	EIGHTH										Excluded					225	77.59								65	22.41					290
		TOTAL														1399	53.11								1235	46.89					2634
																									Elected						
																															
Panania                                                        																															
	FIRST			58	3.38		48	2.79		133	7.74		7	0.41		539	31.37		8	0.47		34	1.98		831	48.37		60	3.49		1718
	SECOND			1	14.29		3	42.86		1	14.29			Excluded		1	14.29		0	0.00		0	0.00		1	14.29		0	0.00		7
		TOTAL		59	3.43		51	2.97		134	7.80					540	31.43		8	0.47		34	1.98		832	48.43		60	3.49		1718
	THIRD			1	12.50		1	12.50		0	0.00					3	37.50			Excluded		1	12.50		2	25.00		0	0.00		8
		TOTAL		60	3.49		52	3.03		134	7.80					543	31.61					35	2.04		834	48.54		60	3.49		1718
	FOURTH			0	0.00		3	5.00		6	10.00					35	58.33					3	5.00		13	21.67			Excluded		60
		TOTAL		60	3.49		55	3.20		140	8.15					578	33.64					38	2.21		847	49.30					1718
	FIFTH			8	14.55			Excluded		7	12.73					6	10.91					17	30.91		17	30.91					55
		TOTAL		68	3.96					147	8.56					584	33.99					55	3.20		864	50.29					1718
	SIXTH				Excluded					40	58.82					14	20.59					9	13.24		5	7.35					68
		TOTAL								187	10.88					598	34.81					64	3.73		869	50.58					1718
	SEVENTH									10	15.63					17	26.56						Excluded		37	57.81					64
		TOTAL								197	11.47					615	35.80								906	52.74					1718
	EIGHTH										Excluded					142	72.08								55	27.92					197
		TOTAL														757	44.06								961	55.94					1718
																									Elected						
																															
Panania Central                                                																															
	FIRST			61	4.37		34	2.44		125	8.96		5	0.36		443	31.76		6	0.43		26	1.86		654	46.88		41	2.94		1395
	SECOND			2	40.00		0	0.00		1	20.00			Excluded		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		5
		TOTAL		63	4.52		34	2.44		126	9.03					444	31.83		6	0.43		26	1.86		655	46.95		41	2.94		1395
	THIRD			0	0.00		0	0.00		0	0.00					2	33.33			Excluded		1	16.67		3	50.00		0	0.00		6
		TOTAL		63	4.52		34	2.44		126	9.03					446	31.97					27	1.94		658	47.17		41	2.94		1395
	FOURTH			2	4.88		3	7.32		2	4.88					28	68.29					2	4.88		4	9.76			Excluded		41
		TOTAL		65	4.66		37	2.65		128	9.18					474	33.98					29	2.08		662	47.46					1395
	FIFTH			7	18.92			Excluded		6	16.22					3	8.11					12	32.43		9	24.32					37
		TOTAL		72	5.16					134	9.61					477	34.19					41	2.94		671	48.10					1395
	SIXTH				Excluded					49	68.06					7	9.72					4	5.56		12	16.67					72
		TOTAL								183	13.12					484	34.70					45	3.23		683	48.96					1395
	SEVENTH									5	11.11					14	31.11						Excluded		26	57.78					45
		TOTAL								188	13.48					498	35.70								709	50.82					1395
	EIGHTH										Excluded					145	77.13								43	22.87					188
		TOTAL														643	46.09								752	53.91					1395
																									Elected						
																															
Panania North                                                  																															
	FIRST			56	2.96		39	2.06		152	8.04		9	0.48		621	32.84		3	0.16		39	2.06		917	48.49		55	2.91		1891
	SECOND			1	11.11		2	22.22		4	44.44			Excluded		1	11.11		1	11.11		0	0.00		0	0.00		0	0.00		9
		TOTAL		57	3.01		41	2.17		156	8.25					622	32.89		4	0.21		39	2.06		917	48.49		55	2.91		1891
	THIRD			0	0.00		0	0.00		1	25.00					1	25.00			Excluded		0	0.00		2	50.00		0	0.00		4
		TOTAL		57	3.01		41	2.17		157	8.30					623	32.95					39	2.06		919	48.60		55	2.91		1891
	FOURTH			0	0.00		1	1.82		1	1.82					34	61.82					1	1.82		18	32.73			Excluded		55
		TOTAL		57	3.01		42	2.22		158	8.36					657	34.74					40	2.12		937	49.55					1891
	FIFTH			6	14.29			Excluded		5	11.90					5	11.90					14	33.33		12	28.57					42
		TOTAL		63	3.33					163	8.62					662	35.01					54	2.86		949	50.19					1891
	SIXTH				Excluded					42	66.67					8	12.70					2	3.17		11	17.46					63
		TOTAL								205	10.84					670	35.43					56	2.96		960	50.77					1891
	SEVENTH									2	3.57					13	23.21						Excluded		41	73.21					56
		TOTAL								207	10.95					683	36.12								1001	52.93					1891
	EIGHTH										Excluded					152	73.43								55	26.57					207
		TOTAL														835	44.16								1056	55.84					1891
																									Elected						
																															
Panania South                                                  																															
	FIRST			79	2.89		72	2.63		257	9.40		5	0.18		1081	39.52		7	0.26		76	2.78		1086	39.71		72	2.63		2735
	SECOND			0	0.00		1	20.00		2	40.00			Excluded		2	40.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		79	2.89		73	2.67		259	9.47					1083	39.60		7	0.26		76	2.78		1086	39.71		72	2.63		2735
	THIRD			0	0.00		1	14.29		0	0.00					1	14.29			Excluded		4	57.14		1	14.29		0	0.00		7
		TOTAL		79	2.89		74	2.71		259	9.47					1084	39.63					80	2.93		1087	39.74		72	2.63		2735
	FOURTH			3	4.17		1	1.39		7	9.72					45	62.50					5	6.94		11	15.28			Excluded		72
		TOTAL		82	3.00		75	2.74		266	9.73					1129	41.28					85	3.11		1098	40.15					2735
	FIFTH			13	17.33			Excluded		4	5.33					5	6.67					20	26.67		33	44.00					75
		TOTAL		95	3.47					270	9.87					1134	41.46					105	3.84		1131	41.35					2735
	SIXTH				Excluded					46	48.42					14	14.74					11	11.58		24	25.26					95
		TOTAL								316	11.55					1148	41.97					116	4.24		1155	42.23					2735
	SEVENTH									12	10.34					35	30.17						Excluded		69	59.48					116
		TOTAL								328	11.99					1183	43.25								1224	44.75					2735
	EIGHTH										Excluded					255	77.74								73	22.26					328
		TOTAL														1438	52.58								1297	47.42					2735
																									Elected						
																															
Peakhurst                                                      																															
	FIRST			13	2.51		12	2.32		39	7.54		1	0.19		181	35.01		1	0.19		14	2.71		247	47.78		9	1.74		517
