House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences 																															
By Polling Place																															
																															
Chifley																															
				ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			PRICE			WYNESS			
	FIRST			170	28.01		12	1.98		3	0.49		50	8.24		3	0.49		11	1.81		7	1.15		336	55.35		15	2.47		607
	SECOND			0	0.00		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		170	28.01		13	2.14					50	8.24		4	0.66		11	1.81		7	1.15		337	55.52		15	2.47		607
	THIRD			1	14.29		1	14.29					1	14.29		0	0.00		2	28.57			Excluded		2	28.57		0	0.00		7
		TOTAL		171	28.17		14	2.31					51	8.40		4	0.66		13	2.14					339	55.85		15	2.47		607
	FOURTH			8	57.14			Excluded					4	28.57		2	14.29		0	0.00					0	0.00		0	0.00		14
		TOTAL		179	29.49								55	9.06		6	0.99		13	2.14					339	55.85		15	2.47		607
	FIFTH			4	30.77								0	0.00		3	23.08			Excluded					4	30.77		2	15.38		13
		TOTAL		183	30.15								55	9.06		9	1.48								343	56.51		17	2.80		607
	SIXTH			3	17.65								1	5.88		2	11.76								11	64.71			Excluded		17
		TOTAL		186	30.64								56	9.23		11	1.81								354	58.32					607
	SEVENTH			4	36.36								3	27.27			Excluded								4	36.36					11
		TOTAL		190	31.30								59	9.72											358	58.98					607
	EIGHTH			39	66.10									Excluded											20	33.90					59
		TOTAL		229	37.73																				378	62.27					607
																									Elected						
																															
Emerton                                                        																															
	FIRST			200	21.01		13	1.37		7	0.74		69	7.25		22	2.31		15	1.58		17	1.79		586	61.55		23	2.42		952
	SECOND			1	14.29		0	0.00			Excluded		4	57.14		0	0.00		1	14.29		0	0.00		1	14.29		0	0.00		7
		TOTAL		201	21.11		13	1.37					73	7.67		22	2.31		16	1.68		17	1.79		587	61.66		23	2.42		952
	THIRD			3	17.65		1	5.88					0	0.00		4	23.53		5	29.41			Excluded		3	17.65		1	5.88		17
		TOTAL		204	21.43		14	1.47					73	7.67		26	2.73		21	2.21					590	61.97		24	2.52		952
	FOURTH			5	35.71			Excluded					7	50.00		1	7.14		1	7.14					0	0.00		0	0.00		14
		TOTAL		209	21.95								80	8.40		27	2.84		22	2.31					590	61.97		24	2.52		952
	FIFTH			4	18.18								3	13.64		5	22.73			Excluded					7	31.82		3	13.64		22
		TOTAL		213	22.37								83	8.72		32	3.36								597	62.71		27	2.84		952
	SIXTH			16	59.26								2	7.41		4	14.81								5	18.52			Excluded		27
		TOTAL		229	24.05								85	8.93		36	3.78								602	63.24					952
	SEVENTH			12	33.33								7	19.44			Excluded								17	47.22					36
		TOTAL		241	25.32								92	9.66											619	65.02					952
	EIGHTH			58	63.04									Excluded											34	36.96					92
		TOTAL		299	31.41																				653	68.59					952
																									Elected						
																															
Glendenning                                                    																															
	FIRST			512	24.35		33	1.57		11	0.52		91	4.33		43	2.04		60	2.85		25	1.19		1274	60.58		54	2.57		2103
	SECOND			2	18.18		3	27.27			Excluded		0	0.00		2	18.18		1	9.09		2	18.18		1	9.09		0	0.00		11
		TOTAL		514	24.44		36	1.71					91	4.33		45	2.14		61	2.90		27	1.28		1275	60.63		54	2.57		2103
	THIRD			1	3.70		2	7.41					0	0.00		5	18.52		8	29.63			Excluded		8	29.63		3	11.11		27
		TOTAL		515	24.49		38	1.81					91	4.33		50	2.38		69	3.28					1283	61.01		57	2.71		2103
	FOURTH			13	34.21			Excluded					10	26.32		5	13.16		3	7.89					6	15.79		1	2.63		38
		TOTAL		528	25.11								101	4.80		55	2.62		72	3.42					1289	61.29		58	2.76		2103
	FIFTH			12	16.67								4	5.56		15	20.83			Excluded					35	48.61		6	8.33		72
		TOTAL		540	25.68								105	4.99		70	3.33								1324	62.96		64	3.04		2103
	SIXTH			27	42.19								4	6.25		10	15.63								23	35.94			Excluded		64
		TOTAL		567	26.96								109	5.18		80	3.80								1347	64.05					2103
	SEVENTH			22	27.50								22	27.50			Excluded								36	45.00					80
		TOTAL		589	28.01								131	6.23											1383	65.76					2103
	EIGHTH			79	60.31									Excluded											52	39.69					131
		TOTAL		668	31.76																				1435	68.24					2103
																									Elected						
																															
Hassall Grove                                                  																															
	FIRST			658	23.30		34	1.20		19	0.67		126	4.46		61	2.16		61	2.16		37	1.31		1771	62.71		57	2.02		2824
	SECOND			3	15.79		3	15.79			Excluded		4	21.05		1	5.26		3	15.79		1	5.26		3	15.79		1	5.26		19
		TOTAL		661	23.41		37	1.31					130	4.60		62	2.20		64	2.27		38	1.35		1774	62.82		58	2.05		2824
	THIRD			4	10.53		2	5.26					3	7.89		9	23.68		7	18.42			Excluded		12	31.58		1	2.63		38
		TOTAL		665	23.55		39	1.38					133	4.71		71	2.51		71	2.51					1786	63.24		59	2.09		2824
	FOURTH			9	23.08			Excluded					11	28.21		6	15.38		4	10.26					5	12.82		4	10.26		39
		TOTAL		674	23.87								144	5.10		77	2.73		75	2.66					1791	63.42		63	2.23		2824
	FIFTH			18	24.00								6	8.00		9	12.00			Excluded					39	52.00		3	4.00		75
		TOTAL		692	24.50								150	5.31		86	3.05								1830	64.80		66	2.34		2824
	SIXTH			19	28.79								3	4.55		11	16.67								33	50.00			Excluded		66
		TOTAL		711	25.18								153	5.42		97	3.43								1863	65.97					2824
	SEVENTH			26	26.80								22	22.68			Excluded								49	50.52					97
		TOTAL		737	26.10								175	6.20											1912	67.71					2824
	EIGHTH			109	62.29									Excluded											66	37.71					175
		TOTAL		846	29.96																				1978	70.04					2824
																									Elected						
																															
Hebersham                                                      																															
	FIRST			414	22.13		25	1.34		14	0.75		116	6.20		91	4.86		26	1.39		29	1.55		1125	60.13		31	1.66		1871
	SECOND			2	14.29		3	21.43			Excluded		3	21.43		0	0.00		3	21.43		1	7.14		2	14.29		0	0.00		14
		TOTAL		416	22.23		28	1.50					119	6.36		91	4.86		29	1.55		30	1.60		1127	60.24		31	1.66		1871
	THIRD			1	3.33		1	3.33					3	10.00		11	36.67		3	10.00			Excluded		9	30.00		2	6.67		30
		TOTAL		417	22.29		29	1.55					122	6.52		102	5.45		32	1.71					1136	60.72		33	1.76		1871
	FOURTH			12	41.38			Excluded					4	13.79		3	10.34		2	6.90					6	20.69		2	6.90		29
		TOTAL		429	22.93								126	6.73		105	5.61		34	1.82					1142	61.04		35	1.87		1871
	FIFTH			7	20.59								5	14.71		3	8.82			Excluded					16	47.06		3	8.82		34
		TOTAL		436	23.30								131	7.00		108	5.77								1158	61.89		38	2.03		1871
	SIXTH			14	36.84								5	13.16		9	23.68								10	26.32			Excluded		38
		TOTAL		450	24.05								136	7.27		117	6.25								1168	62.43					1871
	SEVENTH			32	27.35								25	21.37			Excluded								60	51.28					117
		TOTAL		482	25.76								161	8.61											1228	65.63					1871
	EIGHTH			91	56.52									Excluded											70	43.48					161
		TOTAL		573	30.63																				1298	69.37					1871
																									Elected						
																															
Lethbridge Park                                                																															
	FIRST			398	19.93		31	1.55		8	0.40		164	8.21		88	4.41		31	1.55		26	1.30		1224	61.29		27	1.35		1997
	SECOND			2	25.00		1	12.50			Excluded		1	12.50		1	12.50		1	12.50		2	25.00		0	0.00		0	0.00		8
		TOTAL		400	20.03		32	1.60					165	8.26		89	4.46		32	1.60		28	1.40		1224	61.29		27	1.35		1997
	THIRD			0	0.00		1	3.57					1	3.57		9	32.14		3	10.71			Excluded		10	35.71		4	14.29		28
		TOTAL		400	20.03		33	1.65					166	8.31		98	4.91		35	1.75					1234	61.79		31	1.55		1997
	FOURTH			7	21.21			Excluded					11	33.33		5	15.15		4	12.12					5	15.15		1	3.03		33
		TOTAL		407	20.38								177	8.86		103	5.16		39	1.95					1239	62.04		32	1.60		1997
	FIFTH			3	7.69								5	12.82		9	23.08			Excluded					19	48.72		3	7.69		39
		TOTAL		410	20.53								182	9.11		112	5.61								1258	62.99		35	1.75		1997
	SIXTH			10	28.57								1	2.86		10	28.57								14	40.00			Excluded		35
		TOTAL		420	21.03								183	9.16		122	6.11								1272	63.70					1997
	SEVENTH			32	26.23								32	26.23			Excluded								58	47.54					122
		TOTAL		452	22.63								215	10.77											1330	66.60					1997
	EIGHTH			126	58.60									Excluded											89	41.40					215
		TOTAL		578	28.94																				1419	71.06					1997
																									Elected						
																															
Madang                                                         																															
	FIRST			121	17.72		12	1.76		6	0.88		47	6.88		25	3.66		9	1.32		7	1.02		428	62.66		28	4.10		683
	SECOND			3	50.00		0	0.00			Excluded		0	0.00		2	33.33		0	0.00		1	16.67		0	0.00		0	0.00		6
		TOTAL		124	18.16		12	1.76					47	6.88		27	3.95		9	1.32		8	1.17		428	62.66		28	4.10		683
	THIRD			1	12.50		1	12.50					0	0.00		1	12.50		0	0.00			Excluded		5	62.50		0	0.00		8
		TOTAL		125	18.30		13	1.90					47	6.88		28	4.10		9	1.32					433	63.40		28	4.10		683
	FOURTH			3	23.08			Excluded					4	30.77		2	15.38		1	7.69					3	23.08		0	0.00		13
		TOTAL		128	18.74								51	7.47		30	4.39		10	1.46					436	63.84		28	4.10		683
	FIFTH			0	0.00								2	20.00		3	30.00			Excluded					4	40.00		1	10.00		10
		TOTAL		128	18.74								53	7.76		33	4.83								440	64.42		29	4.25		683
	SIXTH			17	58.62								3	10.34		4	13.79								5	17.24			Excluded		29
		TOTAL		145	21.23								56	8.20		37	5.42								445	65.15					683
	SEVENTH			11	29.73								9	24.32			Excluded								17	45.95					37
		TOTAL		156	22.84								65	9.52											462	67.64					683
	EIGHTH			36	55.38									Excluded											29	44.62					65
		TOTAL		192	28.11																				491	71.89					683
																									Elected						
																															
Marayong (Chifley)                                             																															
	FIRST			122	27.79		5	1.14		4	0.91		48	10.93		8	1.82		12	2.73		11	2.51		214	48.75		15	3.42		439
	SECOND			0	0.00		1	25.00			Excluded		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		122	27.79		6	1.37					50	11.39		8	1.82		13	2.96		11	2.51		214	48.75		15	3.42		439
	THIRD			2	18.18		0	0.00					0	0.00		2	18.18		2	18.18			Excluded		3	27.27		2	18.18		11
		TOTAL		124	28.25		6	1.37					50	11.39		10	2.28		15	3.42					217	49.43		17	3.87		439
	FOURTH			1	16.67			Excluded					2	33.33		2	33.33		0	0.00					0	0.00		1	16.67		6
		TOTAL		125	28.47								52	11.85		12	2.73		15	3.42					217	49.43		18	4.10		439
	FIFTH			2	13.33								2	13.33		1	6.67			Excluded					8	53.33		2	13.33		15
		TOTAL		127	28.93								54	12.30		13	2.96								225	51.25		20	4.56		439
	SIXTH			7	35.00								0	0.00		2	10.00								11	55.00			Excluded		20
		TOTAL		134	30.52								54	12.30		15	3.42								236	53.76					439
	SEVENTH			2	13.33								3	20.00			Excluded								10	66.67					15
		TOTAL		136	30.98								57	12.98											246	56.04					439
	EIGHTH			28	49.12									Excluded											29	50.88					57
		TOTAL		164	37.36																				275	62.64					439
																									Elected						
																															
Marayong South                                                 																															
	FIRST			243	26.10		27	2.90		10	1.07		75	8.06		11	1.18		31	3.33		21	2.26		485	52.09		28	3.01		931
	SECOND			1	10.00		2	20.00			Excluded		0	0.00		2	20.00		2	20.00		0	0.00		3	30.00		0	0.00		10
		TOTAL		244	26.21		29	3.11					75	8.06		13	1.40		33	3.54		21	2.26		488	52.42		28	3.01		931
	THIRD			2	9.52		2	9.52					1	4.76		1	4.76		9	42.86			Excluded		5	23.81		1	4.76		21
		TOTAL		246	26.42		31	3.33					76	8.16		14	1.50		42	4.51					493	52.95		29	3.11		931
	FOURTH			9	29.03			Excluded					4	12.90		4	12.90		3	9.68					6	19.35		5	16.13		31
		TOTAL		255	27.39								80	8.59		18	1.93		45	4.83					499	53.60		34	3.65		931
	FIFTH			1	2.22								8	17.78		8	17.78			Excluded					24	53.33		4	8.89		45
		TOTAL		256	27.50								88	9.45		26	2.79								523	56.18		38	4.08		931
	SIXTH			20	52.63								1	2.63		5	13.16								12	31.58			Excluded		38
		TOTAL		276	29.65								89	9.56		31	3.33								535	57.47					931
	SEVENTH			10	32.26								7	22.58			Excluded								14	45.16					31
		TOTAL		286	30.72								96	10.31											549	58.97					931
	EIGHTH			64	66.67									Excluded											32	33.33					96
		TOTAL		350	37.59																				581	62.41					931
																									Elected						
																															
Marayong West (Chifley)                                        																															
	FIRST			96	30.87		5	1.61		3	0.96		12	3.86		4	1.29		10	3.22		8	2.57		161	51.77		12	3.86		311
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		96	30.87		5	1.61					12	3.86		5	1.61		10	3.22		9	2.89		161	51.77		13	4.18		311
	THIRD			0	0.00		1	11.11					0	0.00		1	11.11		4	44.44			Excluded		3	33.33		0	0.00		9
		TOTAL		96	30.87		6	1.93					12	3.86		6	1.93		14	4.50					164	52.73		13	4.18		311
	FOURTH			1	16.67			Excluded					3	50.00		1	16.67		0	0.00					0	0.00		1	16.67		6
		TOTAL		97	31.19								15	4.82		7	2.25		14	4.50					164	52.73		14	4.50		311
	FIFTH			3	21.43								2	14.29		2	14.29			Excluded					7	50.00		0	0.00		14
		TOTAL		100	32.15								17	5.47		9	2.89								171	54.98		14	4.50		311
	SIXTH			8	57.14								0	0.00		1	7.14								5	35.71			Excluded		14
		TOTAL		108	34.73								17	5.47		10	3.22								176	56.59					311
	SEVENTH			2	20.00								3	30.00			Excluded								5	50.00					10
		TOTAL		110	35.37								20	6.43											181	58.20					311
	EIGHTH			9	45.00									Excluded											11	55.00					20
		TOTAL		119	38.26																				192	61.74					311
																									Elected						
																															
Minchinbury                                                    																															
	FIRST			830	34.37		38	1.57		16	0.66		110	4.55		38	1.57		67	2.77		45	1.86		1199	49.65		72	2.98		2415
	SECOND			3	18.75		1	6.25			Excluded		4	25.00		0	0.00		1	6.25		1	6.25		4	25.00		2	12.50		16
		TOTAL		833	34.49		39	1.61					114	4.72		38	1.57		68	2.82		46	1.90		1203	49.81		74	3.06		2415
	THIRD			5	10.87		4	8.70					2	4.35		10	21.74		8	17.39			Excluded		16	34.78		1	2.17		46
		TOTAL		838	34.70		43	1.78					116	4.80		48	1.99		76	3.15					1219	50.48		75	3.11		2415
	FOURTH			14	32.56			Excluded					9	20.93		11	25.58		2	4.65					5	11.63		2	4.65		43
		TOTAL		852	35.28								125	5.18		59	2.44		78	3.23					1224	50.68		77	3.19		2415
	FIFTH			11	14.10								6	7.69		14	17.95			Excluded					42	53.85		5	6.41		78
		TOTAL		863	35.73								131	5.42		73	3.02								1266	52.42		82	3.40		2415
	SIXTH			47	57.32								6	7.32		9	10.98								20	24.39			Excluded		82
		TOTAL		910	37.68								137	5.67		82	3.40								1286	53.25					2415
	SEVENTH			31	37.80								18	21.95			Excluded								33	40.24					82
		TOTAL		941	38.96								155	6.42											1319	54.62					2415
	EIGHTH			101	65.16									Excluded											54	34.84					155
		TOTAL		1042	43.15																				1373	56.85					2415
																									Elected						
																															
Mount Druitt Hospital                                          																															
	FIRST			100	16.16		3	0.48		4	0.65		21	3.39		9	1.45		6	0.97		4	0.65		439	70.92		33	5.33		619
	SECOND			0	0.00		3	75.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		100	16.16		6	0.97					21	3.39		10	1.62		6	0.97		4	0.65		439	70.92		33	5.33		619
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00		3	75.00			Excluded		1	25.00		0	0.00		4
		TOTAL		100	16.16		6	0.97					21	3.39		10	1.62		9	1.45					440	71.08		33	5.33		619
	FOURTH			3	50.00			Excluded					1	16.67		0	0.00		0	0.00					2	33.33		0	0.00		6
		TOTAL		103	16.64								22	3.55		10	1.62		9	1.45					442	71.41		33	5.33		619
	FIFTH			2	22.22								3	33.33		1	11.11			Excluded					1	11.11		2	22.22		9
		TOTAL		105	16.96								25	4.04		11	1.78								443	71.57		35	5.65		619
	SIXTH			11	31.43								1	2.86		1	2.86								22	62.86			Excluded		35
		TOTAL		116	18.74								26	4.20		12	1.94								465	75.12					619
	SEVENTH			5	41.67								4	33.33			Excluded								3	25.00					12
		TOTAL		121	19.55								30	4.85											468	75.61					619
	EIGHTH			18	60.00									Excluded											12	40.00					30
		TOTAL		139	22.46																				480	77.54					619
																									Elected						
																															
Mount Druitt North                                             																															
	FIRST			341	21.10		11	0.68		9	0.56		77	4.76		55	3.40		25	1.55		35	2.17		1022	63.24		41	2.54		1616
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		2	22.22		3	33.33		3	33.33		1	11.11		0	0.00		9
		TOTAL		341	21.10		11	0.68					77	4.76		57	3.53		28	1.73		38	2.35		1023	63.30		41	2.54		1616
	THIRD			3	7.89		1	2.63					0	0.00		5	13.16		7	18.42			Excluded		16	42.11		6	15.79		38
		TOTAL		344	21.29		12	0.74					77	4.76		62	3.84		35	2.17					1039	64.29		47	2.91		1616
	FOURTH			2	16.67			Excluded					2	16.67		5	41.67		0	0.00					2	16.67		1	8.33		12
		TOTAL		346	21.41								79	4.89		67	4.15		35	2.17					1041	64.42		48	2.97		1616
	FIFTH			7	20.00								2	5.71		7	20.00			Excluded					12	34.29		7	20.00		35
		TOTAL		353	21.84								81	5.01		74	4.58								1053	65.16		55	3.40		1616
	SIXTH			15	27.27								8	14.55		12	21.82								20	36.36			Excluded		55
		TOTAL		368	22.77								89	5.51		86	5.32								1073	66.40					1616
	SEVENTH			26	30.23								19	22.09			Excluded								41	47.67					86
		TOTAL		394	24.38								108	6.68											1114	68.94					1616
	EIGHTH			67	62.04									Excluded											41	37.96					108
		TOTAL		461	28.53																				1155	71.47					1616
																									Elected						
																															
Mount Druitt South                                             																															
