House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Bennelong																																		
				WEBECK			CAMPBELL			HARKNESS			PLUMB			DAWSON			SHAW			GOLDFINCH			MARSH			LAW			HOWARD			
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		22	2.01		285	26.08		7	0.64					8	0.73		19	1.74		65	5.95					41	3.75		646	59.10		1093
	FOURTH			0	0.00		2	25.00		1	12.50						Excluded		0	0.00		1	12.50					2	25.00		2	25.00		8
		TOTAL		22	2.01		287	26.26		8	0.73								19	1.74		66	6.04					43	3.93		648	59.29		1093
	FIFTH			0	0.00		5	62.50			Excluded								2	25.00		1	12.50					0	0.00		0	0.00		8
		TOTAL		22	2.01		292	26.72											21	1.92		67	6.13					43	3.93		648	59.29		1093
	SIXTH			2	4.65		11	25.58											4	9.30		22	51.16						Excluded		4	9.30		43
		TOTAL		24	2.20		303	27.72											25	2.29		89	8.14								652	59.65		1093
	SEVENTH				Excluded		11	45.83											2	8.33		0	0.00								11	45.83		24
		TOTAL					314	28.73											27	2.47		89	8.14								663	60.66		1093
	EIGHTH						9	33.33												Excluded		17	62.96								1	3.70		27
		TOTAL					323	29.55														106	9.70								664	60.75		1093
	NINTH						88	83.02															Excluded								18	16.98		106
		TOTAL					411	37.60																							682	62.40		1093
																															Elected			
																																		
Denistone                                                      																																		
	FIRST			20	2.32		292	33.91		7	0.81		2	0.23		7	0.81		29	3.37		51	5.92		1	0.12		18	2.09		434	50.41		861
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		20	2.32		292	33.91		7	0.81		2	0.23		7	0.81		29	3.37		51	5.92					18	2.09		435	50.52		861
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00					1	50.00		0	0.00		2
		TOTAL		20	2.32		292	33.91		7	0.81					7	0.81		29	3.37		52	6.04					19	2.21		435	50.52		861
	FOURTH			2	28.57		1	14.29		0	0.00						Excluded		2	28.57		1	14.29					0	0.00		1	14.29		7
		TOTAL		22	2.56		293	34.03		7	0.81								31	3.60		53	6.16					19	2.21		436	50.64		861
	FIFTH			0	0.00		0	0.00			Excluded								3	42.86		3	42.86					1	14.29		0	0.00		7
		TOTAL		22	2.56		293	34.03											34	3.95		56	6.50					20	2.32		436	50.64		861
	SIXTH			0	0.00		12	60.00											1	5.00		3	15.00						Excluded		4	20.00		20
		TOTAL		22	2.56		305	35.42											35	4.07		59	6.85								440	51.10		861
	SEVENTH				Excluded		6	27.27											1	4.55		1	4.55								14	63.64		22
		TOTAL					311	36.12											36	4.18		60	6.97								454	52.73		861
	EIGHTH						17	47.22												Excluded		16	44.44								3	8.33		36
		TOTAL					328	38.10														76	8.83								457	53.08		861
	NINTH						61	80.26															Excluded								15	19.74		76
		TOTAL					389	45.18																							472	54.82		861
																															Elected			
																																		
Denistone East                                                 																																		
	FIRST			60	2.56		750	32.00		9	0.38		6	0.26		5	0.21		89	3.80		134	5.72		3	0.13		51	2.18		1237	52.77		2344
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		0	0.00			Excluded		0	0.00		1	33.33		3
		TOTAL		60	2.56		750	32.00		9	0.38		6	0.26		6	0.26		90	3.84		134	5.72					51	2.18		1238	52.82		2344
	THIRD			1	16.67		2	33.33		0	0.00			Excluded		0	0.00		2	33.33		1	16.67					0	0.00		0	0.00		6
		TOTAL		61	2.60		752	32.08		9	0.38					6	0.26		92	3.92		135	5.76					51	2.18		1238	52.82		2344
	FOURTH			1	16.67		0	0.00		1	16.67						Excluded		3	50.00		1	16.67					0	0.00		0	0.00		6
		TOTAL		62	2.65		752	32.08		10	0.43								95	4.05		136	5.80					51	2.18		1238	52.82		2344
	FIFTH			1	10.00		3	30.00			Excluded								2	20.00		0	0.00					0	0.00		4	40.00		10
		TOTAL		63	2.69		755	32.21											97	4.14		136	5.80					51	2.18		1242	52.99		2344
	SIXTH			0	0.00		29	56.86											8	15.69		10	19.61						Excluded		4	7.84		51
		TOTAL		63	2.69		784	33.45											105	4.48		146	6.23								1246	53.16		2344
	SEVENTH				Excluded		17	26.98											12	19.05		5	7.94								29	46.03		63
		TOTAL					801	34.17											117	4.99		151	6.44								1275	54.39		2344
	EIGHTH						33	28.21												Excluded		74	63.25								10	8.55		117
		TOTAL					834	35.58														225	9.60								1285	54.82		2344
	NINTH						166	73.78															Excluded								59	26.22		225
		TOTAL					1000	42.66																							1344	57.34		2344
																															Elected			
																																		
Denistone West                                                 																																		
	FIRST			37	3.19		367	31.61		7	0.60		2	0.17		5	0.43		32	2.76		57	4.91		0	0.00		14	1.21		640	55.12		1161
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		37	3.19		367	31.61		7	0.60		2	0.17		5	0.43		32	2.76		57	4.91					14	1.21		640	55.12		1161
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		37	3.19		367	31.61		7	0.60					5	0.43		34	2.93		57	4.91					14	1.21		640	55.12		1161
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		3	60.00		1	20.00					0	0.00		1	20.00		5
		TOTAL		37	3.19		367	31.61		7	0.60								37	3.19		58	5.00					14	1.21		641	55.21		1161
	FIFTH			0	0.00		4	57.14			Excluded								2	28.57		1	14.29					0	0.00		0	0.00		7
		TOTAL		37	3.19		371	31.96											39	3.36		59	5.08					14	1.21		641	55.21		1161
	SIXTH			3	21.43		5	35.71											2	14.29		3	21.43						Excluded		1	7.14		14
		TOTAL		40	3.45		376	32.39											41	3.53		62	5.34								642	55.30		1161
	SEVENTH				Excluded		15	37.50											6	15.00		3	7.50								16	40.00		40
		TOTAL					391	33.68											47	4.05		65	5.60								658	56.68		1161
	EIGHTH						12	25.53												Excluded		24	51.06								11	23.40		47
		TOTAL					403	34.71														89	7.67								669	57.62		1161
	NINTH						63	70.79															Excluded								26	29.21		89
		TOTAL					466	40.14																							695	59.86		1161
																															Elected			
																																		
Eastview                                                       																																		
	FIRST			30	3.39		286	32.35		9	1.02		1	0.11		6	0.68		32	3.62		31	3.51		2	0.23		9	1.02		478	54.07		884
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		30	3.39		286	32.35		11	1.24		1	0.11		6	0.68		32	3.62		31	3.51					9	1.02		478	54.07		884
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		1
		TOTAL		30	3.39		286	32.35		11	1.24					6	0.68		32	3.62		31	3.51					9	1.02		479	54.19		884
	FOURTH			1	16.67		4	66.67		1	16.67						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		6
		TOTAL		31	3.51		290	32.81		12	1.36								32	3.62		31	3.51					9	1.02		479	54.19		884
	FIFTH			2	16.67		5	41.67			Excluded								3	25.00		0	0.00					1	8.33		1	8.33		12
		TOTAL		33	3.73		295	33.37											35	3.96		31	3.51					10	1.13		480	54.30		884
	SIXTH			0	0.00		6	60.00											2	20.00		0	0.00						Excluded		2	20.00		10
		TOTAL		33	3.73		301	34.05											37	4.19		31	3.51								482	54.52		884
	SEVENTH				Excluded		13	39.39											6	18.18		4	12.12								10	30.30		33
		TOTAL					314	35.52											43	4.86		35	3.96								492	55.66		884
	EIGHTH						17	39.53												Excluded		19	44.19								7	16.28		43
		TOTAL					331	37.44														54	6.11								499	56.45		884
	NINTH						35	64.81															Excluded								19	35.19		54
		TOTAL					366	41.40																							518	58.60		884
																															Elected			
																																		
Eastwood                                                       																																		
	FIRST			91	2.09		1474	33.93		24	0.55		10	0.23		15	0.35		189	4.35		273	6.28		4	0.09		217	5.00		2047	47.12		4344
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		4
		TOTAL		92	2.12		1474	33.93		24	0.55		10	0.23		16	0.37		190	4.37		274	6.31					217	5.00		2047	47.12		4344
	THIRD			1	10.00		2	20.00		1	10.00			Excluded		0	0.00		4	40.00		0	0.00					0	0.00		2	20.00		10
		TOTAL		93	2.14		1476	33.98		25	0.58					16	0.37		194	4.47		274	6.31					217	5.00		2049	47.17		4344
	FOURTH			1	6.25		5	31.25		2	12.50						Excluded		3	18.75		1	6.25					1	6.25		3	18.75		16
		TOTAL		94	2.16		1481	34.09		27	0.62								197	4.53		275	6.33					218	5.02		2052	47.24		4344
	FIFTH			6	22.22		12	44.44			Excluded								5	18.52		1	3.70					1	3.70		2	7.41		27
		TOTAL		100	2.30		1493	34.37											202	4.65		276	6.35					219	5.04		2054	47.28		4344
	SIXTH			1	0.46		73	33.33											13	5.94		87	39.73						Excluded		45	20.55		219
		TOTAL		101	2.33		1566	36.05											215	4.95		363	8.36								2099	48.32		4344
	SEVENTH				Excluded		41	40.59											8	7.92		8	7.92								44	43.56		101
		TOTAL					1607	36.99											223	5.13		371	8.54								2143	49.33		4344
	EIGHTH						57	25.56												Excluded		139	62.33								27	12.11		223
		TOTAL					1664	38.31														510	11.74								2170	49.95		4344
	NINTH						406	79.61															Excluded								104	20.39		510
		TOTAL					2070	47.65																							2274	52.35		4344
																															Elected			
																																		
Eastwood Heights                                               																																		
	FIRST			45	2.48		597	32.84		8	0.44		5	0.28		13	0.72		56	3.08		109	6.00		4	0.22		30	1.65		951	52.31		1818
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		1	25.00		1	25.00		4
		TOTAL		45	2.48		598	32.89		8	0.44		5	0.28		13	0.72		56	3.08		110	6.05					31	1.71		952	52.37		1818
	THIRD			1	20.00		3	60.00		0	0.00			Excluded		1	20.00		0	0.00		0	0.00					0	0.00		0	0.00		5
		TOTAL		46	2.53		601	33.06		8	0.44					14	0.77		56	3.08		110	6.05					31	1.71		952	52.37		1818
	FOURTH			2	14.29		2	14.29		1	7.14						Excluded		6	42.86		1	7.14					1	7.14		1	7.14		14
		TOTAL		48	2.64		603	33.17		9	0.50								62	3.41		111	6.11					32	1.76		953	52.42		1818
	FIFTH			0	0.00		2	22.22			Excluded								4	44.44		0	0.00					1	11.11		2	22.22		9
		TOTAL		48	2.64		605	33.28											66	3.63		111	6.11					33	1.82		955	52.53		1818
	SIXTH			0	0.00		12	36.36											7	21.21		10	30.30						Excluded		4	12.12		33
		TOTAL		48	2.64		617	33.94											73	4.02		121	6.66								959	52.75		1818
	SEVENTH				Excluded		14	29.17											6	12.50		6	12.50								22	45.83		48
		TOTAL					631	34.71											79	4.35		127	6.99								981	53.96		1818
	EIGHTH						17	21.52												Excluded		50	63.29								12	15.19		79
		TOTAL					648	35.64														177	9.74								993	54.62		1818
	NINTH						120	67.80															Excluded								57	32.20		177
		TOTAL					768	42.24																							1050	57.76		1818
																															Elected			
																																		
Eastwood West                                                  																																		
	FIRST			18	2.48		205	28.28		1	0.14		0	0.00		5	0.69		18	2.48		44	6.07		0	0.00		5	0.69		429	59.17		725
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		18	2.48		205	28.28		1	0.14		0	0.00		5	0.69		18	2.48		44	6.07					5	0.69		429	59.17		725
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		18	2.48		205	28.28		1	0.14					5	0.69		18	2.48		44	6.07					5	0.69		429	59.17		725
	FOURTH			1	20.00		0	0.00		1	20.00						Excluded		0	0.00		1	20.00					0	0.00		2	40.00		5
		TOTAL		19	2.62		205	28.28		2	0.28								18	2.48		45	6.21					5	0.69		431	59.45		725
	FIFTH			0	0.00		2	100.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		19	2.62		207	28.55											18	2.48		45	6.21					5	0.69		431	59.45		725
	SIXTH			1	20.00		3	60.00											1	20.00		0	0.00						Excluded		0	0.00		5
		TOTAL		20	2.76		210	28.97											19	2.62		45	6.21								431	59.45		725
	SEVENTH				Excluded		12	60.00											0	0.00		2	10.00								6	30.00		20
		TOTAL					222	30.62											19	2.62		47	6.48								437	60.28		725
	EIGHTH						4	21.05												Excluded		14	73.68								1	5.26		19
		TOTAL					226	31.17														61	8.41								438	60.41		725
	NINTH						42	68.85															Excluded								19	31.15		61
		TOTAL					268	36.97																							457	63.03		725
																															Elected			
																																		
Epping                                                         																																		
	FIRST			57	2.54		644	28.65		9	0.40		4	0.18		11	0.49		91	4.05		150	6.67		3	0.13		71	3.16		1208	53.74		2248
	SECOND			0	0.00		2	66.67		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		3
		TOTAL		57	2.54		646	28.74		9	0.40		4	0.18		11	0.49		92	4.09		150	6.67					71	3.16		1208	53.74		2248
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		2	50.00		1	25.00		1	25.00					0	0.00		0	0.00		4
		TOTAL		57	2.54		646	28.74		9	0.40					13	0.58		93	4.14		151	6.72					71	3.16		1208	53.74		2248
	FOURTH			1	7.69		2	15.38		1	7.69						Excluded		5	38.46		3	23.08					0	0.00		1	7.69		13
		TOTAL		58	2.58		648	28.83		10	0.44								98	4.36		154	6.85					71	3.16		1209	53.78		2248
	FIFTH			2	20.00		3	30.00			Excluded								3	30.00		0	0.00					1	10.00		1	10.00		10
		TOTAL		60	2.67		651	28.96											101	4.49		154	6.85					72	3.20		1210	53.83		2248
	SIXTH			2	2.78		29	40.28											6	8.33		17	23.61						Excluded		18	25.00		72
		TOTAL		62	2.76		680	30.25											107	4.76		171	7.61								1228	54.63		2248
	SEVENTH				Excluded		19	30.65											12	19.35		2	3.23								29	46.77		62
		TOTAL					699	31.09											119	5.29		173	7.70								1257	55.92		2248
	EIGHTH						32	26.89												Excluded		72	60.50								15	12.61		119
		TOTAL					731	32.52														245	10.90								1272	56.58		2248
	NINTH						184	75.10															Excluded								61	24.90		245
		TOTAL					915	40.70																							1333	59.30		2248
																															Elected			
																																		
Epping East                                                    																																		
	FIRST			62	2.33		753	28.35		12	0.45		8	0.30		11	0.41		127	4.78		184	6.93		2	0.08		93	3.50		1404	52.86		2656
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		63	2.37		753	28.35		12	0.45		8	0.30		11	0.41		128	4.82		184	6.93					93	3.50		1404	52.86		2656
	THIRD			1	12.50		1	12.50		1	12.50			Excluded		0	0.00		3	37.50		2	25.00					0	0.00		0	0.00		8
		TOTAL		64	2.41		754	28.39		13	0.49					11	0.41		131	4.93		186	7.00					93	3.50		1404	52.86		2656
	FOURTH			1	9.09		0	0.00		1	9.09						Excluded		2	18.18		1	9.09					1	9.09		5	45.45		11
		TOTAL		65	2.45		754	28.39		14	0.53								133	5.01		187	7.04					94	3.54		1409	53.05		2656
	FIFTH			1	7.14		5	35.71			Excluded								4	28.57		2	14.29					0	0.00		2	14.29		14
		TOTAL		66	2.48		759	28.58											137	5.16		189	7.12					94	3.54		1411	53.13		2656
	SIXTH			1	1.06		38	40.43											9	9.57		37	39.36						Excluded		9	9.57		94
		TOTAL		67	2.52		797	30.01											146	5.50		226	8.51								1420	53.46		2656
	SEVENTH				Excluded		28	41.79											13	19.40		3	4.48								23	34.33		67
		TOTAL					825	31.06											159	5.99		229	8.62								1443	54.33		2656
	EIGHTH						37	23.27												Excluded		96	60.38								26	16.35		159
		TOTAL					862	32.45														325	12.24								1469	55.31		2656
	NINTH						252	77.54															Excluded								73	22.46		325
		TOTAL					1114	41.94																							1542	58.06		2656
																															Elected			
																																		
Epping Heights (Bennelong)                                     																																		
	FIRST			25	1.73		410	28.45		6	0.42		6	0.42		7	0.49		60	4.16		95	6.59		0	0.00		54	3.75		778	53.99		1441
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		25	1.73		410	28.45		6	0.42		6	0.42		7	0.49		60	4.16		95	6.59					54	3.75		778	53.99		1441
	THIRD			0	0.00		3	50.00		0	0.00			Excluded		2	33.33		0	0.00		0	0.00					0	0.00		1	16.67		6
		TOTAL		25	1.73		413	28.66		6	0.42					9	0.62		60	4.16		95	6.59					54	3.75		779	54.06		1441
	FOURTH			0	0.00		1	11.11		0	0.00						Excluded		1	11.11		2	22.22					3	33.33		2	22.22		9
		TOTAL		25	1.73		414	28.73		6	0.42								61	4.23		97	6.73					57	3.96		781	54.20		1441
	FIFTH			1	16.67		1	16.67			Excluded								2	33.33		1	16.67					1	16.67		0	0.00		6
		TOTAL		26	1.80		415	28.80											63	4.37		98	6.80					58	4.02		781	54.20		1441
	SIXTH			0	0.00		32	55.17											4	6.90		11	18.97						Excluded		11	18.97		58
		TOTAL		26	1.80		447	31.02											67	4.65		109	7.56								792	54.96		1441
	SEVENTH				Excluded		8	30.77											4	15.38		4	15.38								10	38.46		26
		TOTAL					455	31.58											71	4.93		113	7.84								802	55.66		1441
	EIGHTH						17	23.94												Excluded		48	67.61								6	8.45		71
		TOTAL					472	32.76														161	11.17								808	56.07		1441
	NINTH						123	76.40															Excluded								38	23.60		161
		TOTAL					595	41.29																							846	58.71		1441
																															Elected			
																																		
Epping North                                                   																																		
	FIRST			62	2.64		558	23.72		15	0.64		9	0.38		9	0.38		123	5.23		172	7.31		1	0.04		19	0.81		1384	58.84		2352
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		62	2.64		558	23.72		15	0.64		9	0.38		9	0.38		124	5.27		172	7.31					19	0.81		1384	58.84		2352
	THIRD			0	0.00		1	11.11		1	11.11			Excluded		0	0.00		4	44.44		2	22.22					0	0.00		1	11.11		9
		TOTAL		62	2.64		559	23.77		16	0.68					9	0.38		128	5.44		174	7.40					19	0.81		1385	58.89		2352
	FOURTH			1	11.11		2	22.22		2	22.22						Excluded		1	11.11		0	0.00					0	0.00		3	33.33		9
		TOTAL		63	2.68		561	23.85		18	0.77								129	5.48		174	7.40					19	0.81		1388	59.01		2352
	FIFTH			5	27.78		7	38.89			Excluded								1	5.56		1	5.56					2	11.11		2	11.11		18
		TOTAL		68	2.89		568	24.15											130	5.53		175	7.44					21	0.89		1390	59.10		2352
	SIXTH			2	9.52		7	33.33											3	14.29		2	9.52						Excluded		7	33.33		21
		TOTAL		70	2.98		575	24.45											133	5.65		177	7.53								1397	59.40		2352
	SEVENTH				Excluded		22	31.43											9	12.86		6	8.57								33	47.14		70
		TOTAL					597	25.38											142	6.04		183	7.78								1430	60.80		2352
	EIGHTH						29	20.42												Excluded		99	69.72								14	9.86		142
		TOTAL					626	26.62														282	11.99								1444	61.39		2352
	NINTH						216	76.60															Excluded								66	23.40		282
		TOTAL					842	35.80																							1510	64.20		2352
																															Elected			
																																		
Epping West                                                    																																		
	FIRST			71	2.32		927	30.24		15	0.49		5	0.16		16	0.52		88	2.87		173	5.64		2	0.07		83	2.71		1685	54.98		3065
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		71	2.32		929	30.31		15	0.49		5	0.16		16	0.52		88	2.87		173	5.64					83	2.71		1685	54.98		3065
	THIRD			0	0.00		1	20.00		0	0.00			Excluded		0	0.00		2	40.00		0	0.00					0	0.00		2	40.00		5
		TOTAL		71	2.32		930	30.34		15	0.49					16	0.52		90	2.94		173	5.64					83	2.71		1687	55.04		3065
	FOURTH			1	6.25		5	31.25		0	0.00						Excluded		4	25.00		3	18.75					0	0.00		3	18.75		16
		TOTAL		72	2.35		935	30.51		15	0.49								94	3.07		176	5.74					83	2.71		1690	55.14		3065
	FIFTH			1	6.67		2	13.33			Excluded								4	26.67		3	20.00					1	6.67		4	26.67		15
		TOTAL		73	2.38		937	30.57											98	3.20		179	5.84					84	2.74		1694	55.27		3065
	SIXTH			0	0.00		25	29.76											8	9.52		35	41.67						Excluded		16	19.05		84
		TOTAL		73	2.38		962	31.39											106	3.46		214	6.98								1710	55.79		3065
	SEVENTH				Excluded		27	36.99											7	9.59		5	6.85								34	46.58		73
		TOTAL					989	32.27											113	3.69		219	7.15								1744	56.90		3065
	EIGHTH						33	29.20												Excluded		70	61.95								10	8.85		113
		TOTAL					1022	33.34														289	9.43								1754	57.23		3065
	NINTH						219	75.78															Excluded								70	24.22		289
		TOTAL					1241	40.49																							1824	59.51		3065
																															Elected			
																																		
Gladesville (Bennelong)                                        																																		
	FIRST			62	3.41		616	33.88		15	0.83		2	0.11		9	0.50		95	5.23		121	6.66		4	0.22		21	1.16		873	48.02		1818
	SECOND			3	75.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		4
		TOTAL		65	3.58		616	33.88		15	0.83		3	0.17		9	0.50		95	5.23		121	6.66					21	1.16		873	48.02		1818
	THIRD			0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	33.33		3
		TOTAL		65	3.58		616	33.88		17	0.94					9	0.50		95	5.23		121	6.66					21	1.16		874	48.07		1818
	FOURTH			0	0.00		3	33.33		1	11.11						Excluded		1	11.11		3	33.33					0	0.00		1	11.11		9
		TOTAL		65	3.58		619	34.05		18	0.99								96	5.28		124	6.82					21	1.16		875	48.13		1818
	FIFTH			1	5.56		4	22.22			Excluded								5	27.78		1	5.56					6	33.33		1	5.56		18
		TOTAL		66	3.63		623	34.27											101	5.56		125	6.88					27	1.49		876	48.18		1818
	SIXTH			2	7.41		9	33.33											6	22.22		9	33.33						Excluded		1	3.70		27
		TOTAL		68	3.74		632	34.76											107	5.89		134	7.37								877	48.24		1818
	SEVENTH				Excluded		32	47.06											9	13.24		7	10.29								20	29.41		68
		TOTAL					664	36.52											116	6.38		141	7.76								897	49.34		1818
	EIGHTH						22	18.97												Excluded		75	64.66								19	16.38		116
		TOTAL					686	37.73														216	11.88								916	50.39		1818
	NINTH						170	78.70															Excluded								46	21.30		216
		TOTAL					856	47.08																							962	52.92		1818
																															Elected			
																																		
Gladesville Central                                            																																		
	FIRST			17	2.57		191	28.85		9	1.36		2	0.30		3	0.45		38	5.74		39	5.89		1	0.15		3	0.45		359	54.23		662
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		18	2.72		191	28.85		9	1.36		2	0.30		3	0.45		38	5.74		39	5.89					3	0.45		359	54.23		662
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00					0	0.00		1	50.00		2
		TOTAL		18	2.72		191	28.85		9	1.36					4	0.60		38	5.74		39	5.89					3	0.45		360	54.38		662
	FOURTH			1	25.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		3	75.00		4
		TOTAL		19	2.87		191	28.85		9	1.36								38	5.74		39	5.89					3	0.45		363	54.83		662
	FIFTH			0	0.00		3	33.33			Excluded								4	44.44		1	11.11					1	11.11		0	0.00		9
