Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Greenway (85876)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Glenwood		94	2.60		86	2.38		7	0.19		1	0.03		52	1.44		0	0.00		216	5.98		24	0.66		4	0.11		1152	31.87		17	0.47		0	0.00		17	0.47		2	0.06		4	0.11		2	0.06		1848	51.12		23	0.64		1	0.03		53	1.47		0	0.00		1	0.03		11	0.30		0	0.00		3615	98.05		72	1.95		3687	4.51
Glenwood West		59	3.60		60	3.66		5	0.31		1	0.06		29	1.77		0	0.00		74	4.52		10	0.61		3	0.18		528	32.23		14	0.85		0	0.00		16	0.98		0	0.00		3	0.18		0	0.00		762	46.52		22	1.34		4	0.24		34	2.08		1	0.06		0	0.00		13	0.79		0	0.00		1638	96.24		64	3.76		1702	2.08
Grantham		115	6.64		48	2.77		20	1.15		0	0.00		48	2.77		5	0.29		69	3.98		16	0.92		10	0.58		828	47.78		9	0.52		1	0.06		6	0.35		0	0.00		1	0.06		1	0.06		503	29.02		8	0.46		2	0.12		28	1.62		0	0.00		0	0.00		12	0.69		3	0.17		1733	93.93		112	6.07		1845	2.25
Grantham Heights		75	4.89		51	3.32		2	0.13		0	0.00		34	2.21		2	0.13		84	5.47		8	0.52		3	0.20		597	38.89		17	1.11		0	0.00		12	0.78		0	0.00		0	0.00		2	0.13		594	38.70		10	0.65		1	0.07		32	2.08		1	0.07		0	0.00		10	0.65		0	0.00		1535	97.28		43	2.72		1578	1.93
Hambledon		69	3.42		61	3.02		3	0.15		1	0.05		28	1.39		1	0.05		121	6.00		12	0.59		3	0.15		654	32.42		12	0.59		2	0.10		26	1.29		0	0.00		1	0.05		3	0.15		947	46.95		13	0.64		1	0.05		36	1.78		1	0.05		0	0.00		19	0.94		3	0.15		2017	97.02		62	2.98		2079	2.54
Kings Langley		72	3.29		64	2.92		3	0.14		1	0.05		17	0.78		0	0.00		170	7.76		27	1.23		2	0.09		597	27.25		9	0.41		3	0.14		24	1.10		2	0.09		1	0.05		1	0.05		1110	50.66		11	0.50		1	0.05		63	2.88		0	0.00		1	0.05		12	0.55		0	0.00		2191	96.99		68	3.01		2259	2.76
Kings Langley North		135	5.12		56	2.12		12	0.46		0	0.00		29	1.10		2	0.08		180	6.83		24	0.91		3	0.11		710	26.92		13	0.49		2	0.08		18	0.68		0	0.00		6	0.23		2	0.08		1364	51.73		8	0.30		4	0.15		49	1.86		0	0.00		0	0.00		18	0.68		2	0.08		2637	96.35		100	3.65		2737	3.34
Kings Park		58	4.76		48	3.94		0	0.00		0	0.00		34	2.79		0	0.00		74	6.08		16	1.31		4	0.33		439	36.04		7	0.57		0	0.00		12	0.99		0	0.00		1	0.08		3	0.25		465	38.18		11	0.90		2	0.16		31	2.55		0	0.00		0	0.00		13	1.07		0	0.00		1218	96.28		47	3.72		1265	1.55
Lalor Park		159	6.86		59	2.54		3	0.13		3	0.13		57	2.46		2	0.09		75	3.23		26	1.12		10	0.43		1121	48.34		8	0.34		1	0.04		13	0.56		0	0.00		2	0.09		6	0.26		688	29.67		15	0.65		4	0.17		39	1.68		1	0.04		3	0.13		23	0.99		1	0.04		2319	93.85		152	6.15		2471	3.02
Lawson Park		88	4.67		57	3.03		10	0.53		0	0.00		38	2.02		1	0.05		72	3.82		16	0.85		3	0.16		789	41.90		11	0.58		2	0.11		13	0.69		1	0.05		3	0.16		1	0.05		720	38.24		13	0.69		3	0.16		29	1.54		1	0.05		1	0.05		11	0.58		0	0.00		1883	94.29		114	5.71		1997	2.44
Lynwood Park		92	7.72		28	2.35		1	0.08		13	1.09		18	1.51		1	0.08		43	3.61		0	0.00		6	0.50		520	43.66		0	0.00		7	0.59		7	0.59		0	0.00		0	0.00		1	0.08		416	34.93		9	0.76		4	0.34		15	1.26		1	0.08		0	0.00		8	0.67		1	0.08		1191	93.78		79	6.22		1270	1.55
Marayong (Greenway)		148	6.75		35	1.60		3	0.14		3	0.14		64	2.92		2	0.09		108	4.93		27	1.23		5	0.23		1042	47.54		6	0.27		1	0.05		15	0.68		1	0.05		3	0.14		2	0.09		629	28.70		27	1.23		4	0.18		47	2.14		2	0.09		1	0.05		16	0.73		1	0.05		2192	92.41		180	7.59		2372	2.90
Marayong Heights		83	6.48		27	2.11		0	0.00		0	0.00		27	2.11		2	0.16		48	3.75		12	0.94		1	0.08		623	48.67		6	0.47		2	0.16		16	1.25		0	0.00		1	0.08		2	0.16		378	29.53		13	1.02		3	0.23		21	1.64		0	0.00		0	0.00		14	1.09		1	0.08		1280	95.74		57	4.26		1337	1.63
Marayong West (Greenway)		100	5.39		42	2.26		3	0.16		1	0.05		65	3.50		0	0.00		57	3.07		26	1.40		2	0.11		818	44.05		11	0.59		2	0.11		17	0.92		0	0.00		1	0.05		1	0.05		613	33.01		21	1.13		0	0.00		53	2.85		1	0.05		1	0.05		20	1.08		2	0.11		1857	94.31		112	5.69		1969	2.41
Marsden Park		51	9.66		11	2.08		0	0.00		1	0.19		12	2.27		1	0.19		12	2.27		8	1.52		0	0.00		164	31.06		3	0.57		1	0.19		11	2.08		1	0.19		0	0.00		1	0.19		228	43.18		7	1.33		2	0.38		6	1.14		0	0.00		0	0.00		8	1.52		0	0.00		528	90.10		58	9.90		586	0.72
Metella Road		146	4.58		107	3.36		18	0.56		2	0.06		71	2.23		3	0.09		173	5.43		30	0.94		8	0.25		1225	38.43		17	0.53		0	0.00		21	0.66		2	0.06		2	0.06		4	0.13		1217	38.17		26	0.82		5	0.16		84	2.63		1	0.03		1	0.03		24	0.75		1	0.03		3188	94.40		189	5.60		3377	4.13
Oldfield Road		70	4.53		66	4.27		8	0.52		3	0.19		43	2.78		0	0.00		57	3.69		22	1.42		4	0.26		740	47.90		11	0.71		0	0.00		13	0.84		0	0.00		1	0.06		3	0.19		451	29.19		9	0.58		1	0.06		33	2.14		0	0.00		0	0.00		10	0.65		0	0.00		1545	93.35		110	6.65		1655	2.02
Prospect		17	6.27		12	4.43		3	1.11		0	0.00		10	3.69		0	0.00		15	5.54		2	0.74		0	0.00		99	36.53		1	0.37		0	0.00		4	1.48		0	0.00		0	0.00		0	0.00		94	34.69		6	2.21		0	0.00		8	2.95		0	0.00		0	0.00		0	0.00		0	0.00		271	95.09		14	4.91		285	0.35
Quakers Hill		129	5.44		60	2.53		5	0.21		2	0.08		51	2.15		2	0.08		109	4.60		24	1.01		4	0.17		1130	47.66		18	0.76		2	0.08		9	0.38		0	0.00		2	0.08		1	0.04		741	31.25		17	0.72		1	0.04		40	1.69		2	0.08		1	0.04		20	0.84		1	0.04		2371	94.65		134	5.35		2505	3.06
Quakers Hill East		151	4.60		102	3.11		10	0.30		1	0.03		47	1.43		4	0.12		230	7.01		24	0.73		5	0.15		1143	34.85		18	0.55		3	0.09		25	0.76		0	0.00		1	0.03		3	0.09		1405	42.84		22	0.67		2	0.06		63	1.92		0	0.00		1	0.03		20	0.61		0	0.00		3280	96.02		136	3.98		3416	4.17
Quakers Hill North		80	2.84		91	3.23		6	0.21		0	0.00		43	1.53		2	0.07		179	6.35		19	0.67		3	0.11		961	34.09		17	0.60		0	0.00		13	0.46		0	0.00		4	0.14		0	0.00		1322	46.90		11	0.39		2	0.07		52	1.84		0	0.00		0	0.00		14	0.50		0	0.00		2819	97.41		75	2.59		2894	3.54
Quakers Hill West		10	4.29		18	7.73		3	1.29		0	0.00		5	2.15		0	0.00		16	6.87		1	0.43		1	0.43		104	44.64		2	0.86		0	0.00		3	1.29		0	0.00		0	0.00		0	0.00		61	26.18		0	0.00		0	0.00		6	2.58		0	0.00		0	0.00		3	1.29		0	0.00		233	97.90		5	2.10		238	0.29
Riverstone		150	9.71		42	2.72		1	0.06		2	0.13		24	1.55		3	0.19		50	3.24		16	1.04		1	0.06		591	38.25		8	0.52		0	0.00		6	0.39		0	0.00		3	0.19		1	0.06		591	38.25		5	0.32		1	0.06		36	2.33		0	0.00		2	0.13		11	0.71		1	0.06		1545	95.14		79	4.86		1624	1.98
Riverstone East		144	8.98		66	4.12		1	0.06		0	0.00		43	2.68		2	0.12		53	3.31		19	1.19		4	0.25		475	29.63		10	0.62		1	0.06		20	1.25		0	0.00		3	0.19		3	0.19		694	43.29		17	1.06		0	0.00		37	2.31		0	0.00		0	0.00		11	0.69		0	0.00		1603	92.66		127	7.34		1730	2.11
St Michael's		68	5.41		46	3.66		9	0.72		0	0.00		25	1.99		1	0.08		55	4.38		15	1.19		1	0.08		566	45.03		5	0.40		2	0.16		6	0.48		0	0.00		2	0.16		4	0.32		418	33.25		10	0.80		1	0.08		17	1.35		0	0.00		0	0.00		4	0.32		2	0.16		1257	95.73		56	4.27		1313	1.60
Schofields		153	10.07		44	2.90		1	0.07		2	0.13		26	1.71		1	0.07		56	3.69		19	1.25		2	0.13		450	29.62		7	0.46		2	0.13		13	0.86		0	0.00		2	0.13		1	0.07		683	44.96		16	1.05		2	0.13		25	1.65		1	0.07		0	0.00		13	0.86		0	0.00		1519	93.13		112	6.87		1631	1.99
Seven Hills		147	8.57		48	2.80		8	0.47		2	0.12		64	3.73		2	0.12		66	3.85		16	0.93		2	0.12		733	42.74		11	0.64		2	0.12		3	0.17		0	0.00		3	0.17		1	0.06		520	30.32		13	0.76		2	0.12		51	2.97		0	0.00		1	0.06		17	0.99		3	0.17		1715	96.24		67	3.76		1782	2.18
Seven Hills High		100	6.18		52	3.22		4	0.25		0	0.00		36	2.23		1	0.06		80	4.95		16	0.99		4	0.25		560	34.63		9	0.56		2	0.12		13	0.80		0	0.00		2	0.12		2	0.12		661	40.88		13	0.80		1	0.06		38	2.35		0	0.00		1	0.06		18	1.11		4	0.25		1617	94.01		103	5.99		1720	2.10
Seven Hills North		53	3.01		68	3.86		7	0.40		0	0.00		24	1.36		2	0.11		101	5.73		12	0.68		1	0.06		493	27.96		11	0.62		0	0.00		10	0.57		0	0.00		1	0.06		1	0.06		905	51.33		17	0.96		1	0.06		40	2.27		0	0.00		0	0.00		14	0.79		2	0.11		1763	96.81		58	3.19		1821	2.23
Seven Hills West		126	6.77		51	2.74		5	0.27		2	0.11		39	2.09		5	0.27		84	4.51		25	1.34		4	0.21		885	47.53		9	0.48		2	0.11		7	0.38		0	0.00		2	0.11		4	0.21		552	29.65		12	0.64		1	0.05		28	1.50		0	0.00		0	0.00		17	0.91		2	0.11		1862	94.81		102	5.19		1964	2.40
Sydney (Greenway)		1	0.89		2	1.79		0	0.00		0	0.00		1	0.89		0	0.00		7	6.25		0	0.00		0	0.00		43	38.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		52	46.43		0	0.00		0	0.00		6	5.36		0	0.00		0	0.00		0	0.00		0	0.00		112	96.55		4	3.45		116	0.14
Vineyard East (Greenway)		21	13.46		12	7.69		0	0.00		0	0.00		3	1.92		0	0.00		8	5.13		2	1.28		1	0.64		42	26.92		3	1.92		0	0.00		2	1.28		0	0.00		0	0.00		1	0.64		59	37.82		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		1	0.64		0	0.00		156	98.11		3	1.89		159	0.19
Walters Road (Greenway)		62	5.46		37	3.26		4	0.35		1	0.09		38	3.35		2	0.18		41	3.61		11	0.97		1	0.09		483	42.52		5	0.44		1	0.09		9	0.79		0	0.00		2	0.18		1	0.09		380	33.45		9	0.79		3	0.26		28	2.46		1	0.09		0	0.00		16	1.41		1	0.09		1136	94.12		71	5.88		1207	1.48
Special Hospitals		1	0.50		11	5.53		1	0.50		0	0.00		1	0.50		1	0.50		2	1.01		0	0.00		1	0.50		54	27.14		0	0.00		2	1.01		1	0.50		0	0.00		0	0.00		0	0.00		122	61.31		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		199	96.60		7	3.40		206	0.25
Total Ordinary		3664	5.50		1960	2.94		188	0.28		56	0.08		1385	2.08		58	0.09		3220	4.83		619	0.93		133	0.20		26212	39.31		350	0.52		51	0.08		478	0.72		14	0.02		70	0.10		70	0.10		25644	38.46		515	0.77		74	0.11		1346	2.02		15	0.02		18	0.03		494	0.74		41	0.06		66675	95.18		3379	4.82		70054	85.61
ABSENT		310	5.34		150	2.58		19	0.33		6	0.10		173	2.98		3	0.05		304	5.24		99	1.71		12	0.21		1823	31.41		56	0.97		2	0.03		86	1.48		3	0.05		9	0.16		8	0.14		2399	41.34		73	1.26		9	0.16		183	3.15		2	0.03		3	0.05		66	1.14		5	0.09		5803	97.45		152	2.55		5955	7.28
POSTAL		126	6.30		71	3.55		4	0.20		0	0.00		38	1.90		0	0.00		80	4.00		4	0.20		6	0.30		698	34.92		7	0.35		1	0.05		9	0.45		0	0.00		3	0.15		1	0.05		881	44.07		21	1.05		1	0.05		23	1.15		0	0.00		2	0.10		22	1.10		1	0.05		1999	98.91		22	1.09		2021	2.47
PRE_POLL		184	5.94		96	3.10		14	0.45		2	0.06		97	3.13		1	0.03		142	4.59		21	0.68		7	0.23		1198	38.68		20	0.65		4	0.13		26	0.84		1	0.03		4	0.13		2	0.06		1163	37.55		18	0.58		5	0.16		61	1.97		1	0.03		1	0.03		28	0.90		1	0.03		3097	97.73		72	2.27		3169	3.87
PROVISIONAL		20	3.40		15	2.55		3	0.51		0	0.00		23	3.90		0	0.00		15	2.55		15	2.55		3	0.51		256	43.46		3	0.51		0	0.00		7	1.19		0	0.00		0	0.00		0	0.00		195	33.11		11	1.87		2	0.34		13	2.21		0	0.00		0	0.00		8	1.36		0	0.00		589	94.09		37	5.91		626	0.77
Division Summary		4304	5.51		2292	2.93		228	0.29		64	0.08		1716	2.2		62	0.08		3761	4.81		758	0.97		161	0.21		30187	38.62		436	0.56		58	0.07		606	0.78		18	0.02		86	0.11		81	0.1		30282	38.74		638	0.82		91	0.12		1626	2.08		18	0.02		24	0.03		618	0.79		48	0.06		78163	95.52		3662	4.48		81825	95.28
