House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mackellar (86505)											
		Candidate		"BISHOP, Bronwyn"		            	"CARPENTIER, Ben"		            	Total	
		"MAY, George (IND)"	15	5	33.33		10	66.67		15	
		Total	312	823	64.40		455	35.60		1278	

	Mimosa										
			1st Prefs	1555	78.85		417	21.15		1972	
		"PAPE, Andrea (GRN)"	134	57	42.54		77	57.46		134	
		"CUTHBERTSON, Peter (HAN)"	53	38	71.70		15	28.30		53	
		"DIMOND, Vicki (DEM)"	187	74	39.57		113	60.43		187	
		"MOODY, Tom (AFI)"	42	26	61.90		16	38.10		42	
		"MAY, George (IND)"	50	19	38.00		31	62.00		50	
		Total	466	1769	72.56		669	27.44		2438	

	Mona Vale										
			1st Prefs	2515	78.13		704	21.87		3219	
		"PAPE, Andrea (GRN)"	288	110	38.19		178	61.81		288	
		"CUTHBERTSON, Peter (HAN)"	149	112	75.17		37	24.83		149	
		"DIMOND, Vicki (DEM)"	393	150	38.17		243	61.83		393	
		"MOODY, Tom (AFI)"	46	26	56.52		20	43.48		46	
		"MAY, George (IND)"	43	20	46.51		23	53.49		43	
		Total	919	2933	70.88		1205	29.12		4138	

	Mona Vale Beach										
			1st Prefs	846	78.84		227	21.16		1073	
		"PAPE, Andrea (GRN)"	138	33	23.91		105	76.09		138	
		"CUTHBERTSON, Peter (HAN)"	33	24	72.73		9	27.27		33	
		"DIMOND, Vicki (DEM)"	174	57	32.76		117	67.24		174	
		"MOODY, Tom (AFI)"	27	17	62.96		10	37.04		27	
		"MAY, George (IND)"	15	7	46.67		8	53.33		15	
		Total	387	984	67.40		476	32.60		1460	

	Mona Vale Hospital										
			1st Prefs	323	63.46		186	36.54		509	
		"PAPE, Andrea (GRN)"	36	11	30.56		25	69.44		36	
		"CUTHBERTSON, Peter (HAN)"	28	19	67.86		9	32.14		28	
		"DIMOND, Vicki (DEM)"	104	35	33.65		69	66.35		104	
		"MOODY, Tom (AFI)"	11	8	72.73		3	27.27		11	
		"MAY, George (IND)"	7	2	28.57		5	71.43		7	
		Total	186	398	57.27		297	42.73		695	

	Mona Vale North										
			1st Prefs	850	80.42		207	19.58		1057	
		"PAPE, Andrea (GRN)"	94	27	28.72		67	71.28		94	
		"CUTHBERTSON, Peter (HAN)"	29	20	68.97		9	31.03		29	
		"DIMOND, Vicki (DEM)"	137	42	30.66		95	69.34		137	
		"MOODY, Tom (AFI)"	10	5	50.00		5	50.00		10	
		"MAY, George (IND)"	15	1	6.67		14	93.33		15	
		Total	285	945	70.42		397	29.58		1342	

	Narrabeen										
			1st Prefs	1237	73.02		457	26.98		1694	
		"PAPE, Andrea (GRN)"	202	54	26.73		148	73.27		202	
		"CUTHBERTSON, Peter (HAN)"	67	43	64.18		24	35.82		67	
		"DIMOND, Vicki (DEM)"	252	88	34.92		164	65.08		252	
		"MOODY, Tom (AFI)"	30	19	63.33		11	36.67		30	
		"MAY, George (IND)"	37	14	37.84		23	62.16		37	
		Total	588	1455	63.76		827	36.24		2282	

	Narrabeen North										
			1st Prefs	1324	70.61		551	29.39		1875	
		"PAPE, Andrea (GRN)"	172	54	31.40		118	68.60		172	
		"CUTHBERTSON, Peter (HAN)"	87	52	59.77		35	40.23		87	
		"DIMOND, Vicki (DEM)"	306	115	37.58		191	62.42		306	
		"MOODY, Tom (AFI)"	61	28	45.90		33	54.10		61	
		"MAY, George (IND)"	38	18	47.37		20	52.63		38	
		Total	664	1591	62.66		948	37.34		2539	

	Narraweena										
			1st Prefs	1911	68.27		888	31.73		2799	
		"PAPE, Andrea (GRN)"	265	109	41.13		156	58.87		265	
		"CUTHBERTSON, Peter (HAN)"	128	69	53.91		59	46.09		128	
		"DIMOND, Vicki (DEM)"	252	88	34.92		164	65.08		252	
		"MOODY, Tom (AFI)"	69	29	42.03		40	57.97		69	
		"MAY, George (IND)"	55	19	34.55		36	65.45		55	
		Total	769	2225	62.36		1343	37.64		3568	

	Newport										
			1st Prefs	1314	79.49		339	20.51		1653	
		"PAPE, Andrea (GRN)"	225	41	18.22		184	81.78		225	
		"CUTHBERTSON, Peter (HAN)"	49	36	73.47		13	26.53		49	
		"DIMOND, Vicki (DEM)"	197	71	36.04		126	63.96		197	
		"MOODY, Tom (AFI)"	29	21	72.41		8	27.59		29	
		"MAY, George (IND)"	26	12	46.15		14	53.85		26	
		Total	526	1495	68.61		684	31.39		2179	

	Newport Beach										
			1st Prefs	1123	77.34		329	22.66		1452	
		"PAPE, Andrea (GRN)"	220	55	25.00		165	75.00		220	
		"CUTHBERTSON, Peter (HAN)"	26	19	73.08		7	26.92		26	
		"DIMOND, Vicki (DEM)"	201	71	35.32		130	64.68		201	
		"MOODY, Tom (AFI)"	23	13	56.52		10	43.48		23	
		"MAY, George (IND)"	23	10	43.48		13	56.52		23	
		Total	493	1291	66.38		654	33.62		1945	

	Palm Beach										
			1st Prefs	613	79.40		159	20.60		772	
		"PAPE, Andrea (GRN)"	130	31	23.85		99	76.15		130	
		"CUTHBERTSON, Peter (HAN)"	17	12	70.59		5	29.41		17	
		"DIMOND, Vicki (DEM)"	71	22	30.99		49	69.01		71	
		"MOODY, Tom (AFI)"	7	5	71.43		2	28.57		7	
		"MAY, George (IND)"	10	6	60.00		4	40.00		10	
		Total	235	689	68.42		318	31.58		1007	

	RSL Retirement Village										
			1st Prefs	458	76.21		143	23.79		601	
		"PAPE, Andrea (GRN)"	18	9	50.00		9	50.00		18	
		"CUTHBERTSON, Peter (HAN)"	34	16	47.06		18	52.94		34	
		"DIMOND, Vicki (DEM)"	25	11	44.00		14	56.00		25	
		"MOODY, Tom (AFI)"	3	3	100.00		0	0.00		3	
		"MAY, George (IND)"	7	3	42.86		4	57.14		7	
		Total	87	500	72.67		188	27.33		688	

	Scotland Island										
			1st Prefs	69	60.53		45	39.47		114	
		"PAPE, Andrea (GRN)"	54	5	9.26		49	90.74		54	
		"CUTHBERTSON, Peter (HAN)"	6	4	66.67		2	33.33		6	
		"DIMOND, Vicki (DEM)"	62	12	19.35		50	80.65		62	
		"MOODY, Tom (AFI)"	1	1	100.00		0	0.00		1	
		"MAY, George (IND)"	2	1	50.00		1	50.00		2	
		Total	125	92	38.49		147	61.51		239	

	Sydney (Mackellar)										
			1st Prefs	57	75.00		19	25.00		76	
		"PAPE, Andrea (GRN)"	13	6	46.15		7	53.85		13	
		"CUTHBERTSON, Peter (HAN)"	2	1	50.00		1	50.00		2	
		"DIMOND, Vicki (DEM)"	7	1	14.29		6	85.71		7	
		"MOODY, Tom (AFI)"	2	1	50.00		1	50.00		2	
		"MAY, George (IND)"	0	0	0.00		0	0.00		0	
		Total	24	66	66.00		34	34.00		100	

	Terrey Hills										
			1st Prefs	1361	81.59		307	18.41		1668	
		"PAPE, Andrea (GRN)"	129	46	35.66		83	64.34		129	
		"CUTHBERTSON, Peter (HAN)"	83	63	75.90		20	24.10		83	
		"DIMOND, Vicki (DEM)"	196	76	38.78		120	61.22		196	
		"MOODY, Tom (AFI)"	24	15	62.50		9	37.50		24	
		"MAY, George (IND)"	25	11	44.00		14	56.00		25	
		Total	457	1572	73.98		553	26.02		2125	

	Warriewood										
			1st Prefs	845	71.19		342	28.81		1187	
		"PAPE, Andrea (GRN)"	141	46	32.62		95	67.38		141	
		"CUTHBERTSON, Peter (HAN)"	62	34	54.84		28	45.16		62	
		"DIMOND, Vicki (DEM)"	177	62	35.03		115	64.97		177	
		"MOODY, Tom (AFI)"	25	18	72.00		7	28.00		25	
		"MAY, George (IND)"	19	8	42.11		11	57.89		19	
		Total	424	1013	62.88		598	37.12		1611	

	Wheeler Heights										
			1st Prefs	1150	72.78		430	27.22		1580	
		"PAPE, Andrea (GRN)"	140	45	32.14		95	67.86		140	
		"CUTHBERTSON, Peter (HAN)"	60	41	68.33		19	31.67		60	
		"DIMOND, Vicki (DEM)"	197	65	32.99		132	67.01		197	
		"MOODY, Tom (AFI)"	30	13	43.33		17	56.67		30	
		"MAY, George (IND)"	36	24	66.67		12	33.33		36	
		Total	463	1338	65.49		705	34.51		2043	

	Special Hospitals										
			1st Prefs	217	72.82		81	27.18		298	
		"PAPE, Andrea (GRN)"	20	13	65.00		7	35.00		20	
		"CUTHBERTSON, Peter (HAN)"	12	7	58.33		5	41.67		12	
		"DIMOND, Vicki (DEM)"	15	6	40.00		9	60.00		15	
		"MOODY, Tom (AFI)"	6	3	50.00		3	50.00		6	
		"MAY, George (IND)"	3	2	66.67		1	33.33		3	
		Total	56	248	70.06		106	29.94		354	

	Total Ordinary										
			1st Prefs	37978	75.07		12609	24.93		50587	
		"PAPE, Andrea (GRN)"	5264	1570	29.83		3694	70.17		5264	
		"CUTHBERTSON, Peter (HAN)"	1773	1154	65.09		619	34.91		1773	
		"DIMOND, Vicki (DEM)"	6226	2153	34.58		4073	65.42		6226	
		"MOODY, Tom (AFI)"	933	523	56.06		410	43.94		933	
		"MAY, George (IND)"	1013	464	45.80		549	54.20		1013	
		Total	15209	43842	66.63		21954	33.37		65796	

	ABSENT										
			1st Prefs	2764	74.74		934	25.26		3698	
		"PAPE, Andrea (GRN)"	620	207	33.39		413	66.61		620	
		"CUTHBERTSON, Peter (HAN)"	171	113	66.08		58	33.92		171	
		"DIMOND, Vicki (DEM)"	535	210	39.25		325	60.75		535	
		"MOODY, Tom (AFI)"	117	70	59.83		47	40.17		117	
		"MAY, George (IND)"	143	75	52.45		68	47.55		143	
		Total	1586	3439	65.08		1845	34.92		5284	

	POSTAL										
			1st Prefs	1427	78.71		386	21.29		1813	
		"PAPE, Andrea (GRN)"	87	29	33.33		58	66.67		87	
		"CUTHBERTSON, Peter (HAN)"	74	38	51.35		36	48.65		74	
		"DIMOND, Vicki (DEM)"	143	56	39.16		87	60.84		143	
		"MOODY, Tom (AFI)"	49	24	48.98		25	51.02		49	
		"MAY, George (IND)"	32	16	50.00		16	50.00		32	
		Total	385	1590	72.34		608	27.66		2198	

	PRE_POLL										
			1st Prefs	2503	78.10		702	21.90		3205	
		"PAPE, Andrea (GRN)"	255	78	30.59		177	69.41		255	
		"CUTHBERTSON, Peter (HAN)"	158	108	68.35		50	31.65		158	
		"DIMOND, Vicki (DEM)"	436	172	39.45		264	60.55		436	
		"MOODY, Tom (AFI)"	61	35	57.38		26	42.62		61	
		"MAY, George (IND)"	68	38	55.88		30	44.12		68	
		Total	978	2934	70.14		1249	29.86		4183	

	PROVISIONAL										
			1st Prefs	182	70.27		77	29.73		259	
		"PAPE, Andrea (GRN)"	51	26	50.98		25	49.02		51	
		"CUTHBERTSON, Peter (HAN)"	6	3	50.00		3	50.00		6	
		"DIMOND, Vicki (DEM)"	25	12	48.00		13	52.00		25	
		"MOODY, Tom (AFI)"	11	7	63.64		4	36.36		11	
		"MAY, George (IND)"	9	4	44.44		5	55.56		9	
		Total	102	234	64.82		127	35.18		361	

	Division Summary										
			1st Prefs	44854	75.31		14708	24.69		59562	
		"PAPE, Andrea (GRN)"	6277	1910	30.43		4367	69.57		6277	
		"CUTHBERTSON, Peter (HAN)"	2182	1416	64.89		766	35.11		2182	
		"DIMOND, Vicki (DEM)"	7365	2603	35.34		4762	64.66		7365	
		"MOODY, Tom (AFI)"	1171	659	56.28		512	43.72		1171	
		"MAY, George (IND)"	1265	597	47.19		668	52.81		1265	
		Total	18260	52039	66.87		25783	33.13		77822	
