Senate - 1996 Election																
First Preference Votes by Candidate																
By Vote Type by Division																


New South Wales																

Banks (78925)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		Group Total	NAN	88	0.14	13	0.32	3	0.7	0	0	6	0.28	0	110	0.15
E		TICKET VOTES	SEN	151	0.23	5	0.12	0	0	3	0.14	14	0.65	0	173	0.24
		"EVANS, Beryl"	SEN	18	0.03	0	0	0	0	2	0.09	2	0.09	0	22	0.03
		"WELSH, Lorraine"	SEN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	SEN	170	0.26	5	0.12	0	0	5	0.23	16	0.75	0	196	0.27
F		TICKET VOTES	AFI	2879	4.48	139	3.42	22	5.15	54	2.46	65	3.03	0	3159	4.32
		"PHILLIPS, John"	AFI	270	0.42	19	0.47	1	0.23	13	0.59	12	0.56	0	315	0.43
		"O'REGAN, Bevan"	AFI	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	AFI	3150	4.9	158	3.88	23	5.39	67	3.06	77	3.59	0	3475	4.75
G		TICKET VOTES	ALP	24862	38.65	1602	39.36	210	49.18	827	37.71	831	38.76	0	28332	38.72
	#	"WEST, Sue"	ALP	411	0.64	31	0.76	0	0	11	0.5	13	0.61	0	466	0.64
	#	"CHILDS, Bruce"	ALP	14	0.02	1	0.02	1	0.23	1	0.05	0	0	0	17	0.02
		"WHEELWRIGHT, Tom"	ALP	16	0.02	0	0	0	0	0	0	2	0.09	0	18	0.02
		"BARGHOUT, Rima"	ALP	14	0.02	1	0.02	0	0	1	0.05	0	0	0	16	0.02
		Group Total	ALP	25317	39.35	1635	40.17	211	49.41	840	38.3	846	39.46	0	28849	39.43
H		TICKET VOTES	DEM	6667	10.36	402	9.88	20	4.68	207	9.44	180	8.4	0	7476	10.22
	#	"BOURNE, Vicki"	DEM	652	1.01	38	0.93	2	0.47	19	0.87	14	0.65	0	725	0.99
		"CHESTERFIELD-EVANS, Arthur"	DEM	7	0.01	0	0	0	0	1	0.05	1	0.05	0	9	0.01
		"LARCOS, Andrew"	DEM	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"ANDERSON, Troy"	DEM	12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
		Group Total	DEM	7342	11.41	440	10.81	22	5.15	227	10.35	195	9.1	0	8226	11.24
I		TICKET VOTES		43	0.07	2	0.05	0	0	0	0	1	0.05	0	46	0.06
		"SCHOLLBACH, Robert Frederick"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"STIRLING, Amanda Jane"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		45	0.07	2	0.05	0	0	0	0	1	0.05	0	48	0.07
J		TICKET VOTES	ASP	670	1.04	49	1.2	12	2.81	27	1.23	14	0.65	0	772	1.06
		"SIMS, Richard"	ASP	51	0.08	5	0.12	0	0	2	0.09	2	0.09	0	60	0.08
		"BOURKE, Robyn"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"REDFERN, Daniel"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FRANICH, Rodney"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ASP	723	1.12	54	1.33	12	2.81	29	1.32	16	0.75	0	834	1.14
K		TICKET VOTES		12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
		"GALATI, Tony"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"GALATI, Sam"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
L		TICKET VOTES	AWP	198	0.31	22	0.54	3	0.7	3	0.14	5	0.23	0	231	0.32
		"DUNCAN, Darelle"	AWP	15	0.02	2	0.05	0	0	2	0.09	0	0	0	19	0.03
		"THEW, Sarah"	AWP	0	0	1	0.02	0	0	0	0	0	0	0	1	0
		Group Total	AWP	213	0.33	25	0.61	3	0.7	5	0.23	5	0.23	0	251	0.34
M		TICKET VOTES		13	0.02	1	0.02	1	0.23	1	0.05	0	0	0	16	0.02
		"BUTLER, Robert H"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay D"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		13	0.02	1	0.02	1	0.23	1	0.05	0	0	0	16	0.02
N		TICKET VOTES	RBR	32	0.05	3	0.07	0	0	2	0.09	0	0	0	37	0.05
		"BREEN, Peter"	ABR	2	0	0	0	0	0	0	0	0	0	0	2	0
		"McNALLY, Kerry"	RPA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOUSEGO, Valerie"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	RBR	35	0.05	3	0.07	0	0	2	0.09	0	0	0	40	0.05
O		TICKET VOTES	GRY	125	0.19	3	0.07	2	0.47	4	0.18	6	0.28	0	140	0.19
		"VERHEYEN, John"	GRY	18	0.03	0	0	0	0	0	0	0	0	0	18	0.02
		"HETTERSCHEID, Theo"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"SEGERSTROM, Bob"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"PICKERING, Olga"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	GRY	143	0.22	3	0.07	2	0.47	4	0.18	6	0.28	0	158	0.22
P		TICKET VOTES	NLP	38	0.06	3	0.07	2	0.47	1	0.05	1	0.05	0	45	0.06
		"KNOLES, Catherine"	NLP	7	0.01	0	0	0	0	1	0.05	0	0	0	8	0.01
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	45	0.07	3	0.07	2	0.47	2	0.09	1	0.05	0	53	0.07
Q		TICKET VOTES	ABF	252	0.39	23	0.57	3	0.7	16	0.73	5	0.23	0	299	0.41
		"FINDLAY-BARNES, Teresa"	ABF	10	0.02	1	0.02	0	0	1	0.05	0	0	0	12	0.02
		"TRIBE, David"	ABF	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ABF	262	0.41	24	0.59	3	0.7	17	0.78	5	0.23	0	311	0.43
R		TICKET VOTES	CTA	1270	1.97	92	2.26	5	1.17	43	1.96	37	1.73	0	1447	1.98
		"WEBSTER, Alasdair"	CTA	195	0.3	12	0.29	0	0	8	0.36	10	0.47	0	225	0.31
		"WEBSTER, Elaine"	CTA	2	0	0	0	0	0	1	0.05	0	0	0	3	0
		"McLENNAN, Graham Clarke"	CTA	1	0	0	0	0	0	0	0	1	0.05	0	2	0
		"BIRD, Bill"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"COLEMAN, Bruce"	CTA	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	CTA	1469	2.28	104	2.56	5	1.17	52	2.37	48	2.24	0	1678	2.29
UNGROUPED																
		"JONES, Morris"	IND	11	0.02	1	0.02	0	0	1	0.05	1	0.05	0	14	0.02
		"IVOR, F"	IND	2	0	0	0	0	0	0	0	0	0	0	2	0
		"BARBARA, John"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"HURLEY, Jade"	IND	121	0.19	7	0.17	1	0.23	2	0.09	0	0	0	131	0.18
		"PINNIGER, Gretel"	IND	2	0	0	0	0	0	1	0.05	0	0	0	3	0
		"UNDERWOOD, Dian"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"PATTERSON, Ray"	IND	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"PIGGIN, David"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BRADLEY, Bill"	IND	12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
		Ungrouped Total		156	0.24	8	0.2	1	0.23	4	0.18	1	0.05	0	170	0.23
			FORMAL	64334	95.11	4070	97.35	427	96.17	2193	97.21	2144	97.45	0	73168	95.37
			INFORMAL	3308	4.89	111	2.65	17	3.83	63	2.79	56	2.55	0	3555	4.63
			TOTAL	67642	88.16	4181	5.45	444	0.58	2256	2.94	2200	2.87	0	76723	97.21



Barton (80179)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	783	1.21	55	1.58	9	1.01	29	1.05	25	1.24	0	901	1.22
		"KITSON, David"	RARI	142	0.22	6	0.17	1	0.11	5	0.18	2	0.1	0	156	0.21
		"O'CALLAGHAN, Carolyn"	RARI	9	0.01	1	0.03	0	0	0	0	0	0	0	10	0.01
		Group Total	RARI	934	1.44	62	1.79	10	1.13	34	1.23	27	1.34	0	1067	1.45
B		TICKET VOTES	LNP	23660	36.6	1243	35.8	226	25.45	1154	41.68	903	44.9	0	27186	36.85
	#	"WOODS, Bob"	LP	463	0.72	18	0.52	0	0	14	0.51	17	0.85	0	512	0.69
	#	"BROWNHILL, David"	NP	17	0.03	1	0.03	0	0	0	0	3	0.15	0	21	0.03
	#	"COONAN, Helen"	LP	27	0.04	2	0.06	0	0	3	0.11	0	0	0	32	0.04
		"CONSTANTIN, Abraham"	LP	18	0.03	2	0.06	0	0	0	0	0	0	0	20	0.03
		Group Total	LNP	24185	37.41	1266	36.46	226	25.45	1171	42.29	923	45.9	0	27771	37.64
C		TICKET VOTES	GRN	956	1.48	126	3.63	26	2.93	60	2.17	19	0.94	0	1187	1.61
		"SPERLING, Karla"	GRN	140	0.22	13	0.37	1	0.11	5	0.18	1	0.05	0	160	0.22
		"DENTON, Peter"	GRN	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"ELIX, Jane"	GRN	6	0.01	1	0.03	0	0	0	0	1	0.05	0	8	0.01
		"MATSON, Murray"	GRN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	GRN	1107	1.71	140	4.03	27	3.04	65	2.35	21	1.04	0	1360	1.84
D		TICKET VOTES	NAN	232	0.36	12	0.35	2	0.23	11	0.4	8	0.4	0	265	0.36
		"NASH, Chris"	NAN	26	0.04	2	0.06	0	0	0	0	0	0	0	28	0.04
		"HALE, Sylvia"	NAN	2	0	1	0.03	0	0	0	0	0	0	0	3	0
		Group Total	NAN	260	0.4	15	0.43	2	0.23	11	0.4	8	0.4	0	296	0.4
E		TICKET VOTES	SEN	127	0.2	6	0.17	1	0.11	5	0.18	5	0.25	0	144	0.2
		"EVANS, Beryl"	SEN	21	0.03	0	0	0	0	3	0.11	0	0	0	24	0.03
		"WELSH, Lorraine"	SEN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	SEN	149	0.23	6	0.17	1	0.11	8	0.29	5	0.25	0	169	0.23
F		TICKET VOTES	AFI	781	1.21	72	2.07	12	1.35	39	1.41	35	1.74	0	939	1.27
		"PHILLIPS, John"	AFI	141	0.22	7	0.2	0	0	2	0.07	5	0.25	0	155	0.21
		"O'REGAN, Bevan"	AFI	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	AFI	926	1.43	79	2.28	12	1.35	41	1.48	40	1.99	0	1098	1.49
G		TICKET VOTES	ALP	28667	44.35	1366	39.34	515	58	1041	37.59	729	36.25	0	32318	43.8
	#	"WEST, Sue"	ALP	336	0.52	22	0.63	4	0.45	21	0.76	18	0.9	0	401	0.54
	#	"CHILDS, Bruce"	ALP	30	0.05	1	0.03	4	0.45	0	0	0	0	0	35	0.05
		"WHEELWRIGHT, Tom"	ALP	16	0.02	1	0.03	0	0	1	0.04	1	0.05	0	19	0.03
		"BARGHOUT, Rima"	ALP	9	0.01	0	0	0	0	0	0	0	0	0	9	0.01
		Group Total	ALP	29058	44.95	1390	40.03	523	58.9	1063	38.39	748	37.2	0	32782	44.43
H		TICKET VOTES	DEM	4732	7.32	295	8.5	44	4.95	227	8.2	143	7.11	0	5441	7.37
	#	"BOURNE, Vicki"	DEM	610	0.94	34	0.98	1	0.11	21	0.76	12	0.6	0	678	0.92
		"CHESTERFIELD-EVANS, Arthur"	DEM	10	0.02	1	0.03	0	0	1	0.04	0	0	0	12	0.02
		"LARCOS, Andrew"	DEM	9	0.01	0	0	0	0	0	0	0	0	0	9	0.01
		"ANDERSON, Troy"	DEM	16	0.02	2	0.06	0	0	0	0	1	0.05	0	19	0.03
		Group Total	DEM	5377	8.32	332	9.56	45	5.07	249	8.99	156	7.76	0	6159	8.35
I		TICKET VOTES		63	0.1	1	0.03	0	0	4	0.14	0	0	0	68	0.09
		"SCHOLLBACH, Robert Frederick"		3	0	0	0	0	0	0	0	0	0	0	3	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		66	0.1	1	0.03	0	0	4	0.14	0	0	0	71	0.1
J		TICKET VOTES	ASP	586	0.91	51	1.47	11	1.24	28	1.01	12	0.6	0	688	0.93
		"SIMS, Richard"	ASP	53	0.08	5	0.14	0	0	4	0.14	1	0.05	0	63	0.09
		"BOURKE, Robyn"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"REDFERN, Daniel"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"FRANICH, Rodney"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ASP	642	0.99	56	1.61	11	1.24	32	1.16	13	0.65	0	754	1.02
K		TICKET VOTES		18	0.03	2	0.06	0	0	0	0	0	0	0	20	0.03
		"GALATI, Tony"		1	0	1	0.03	0	0	0	0	0	0	0	2	0
		"GALATI, Sam"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		19	0.03	3	0.09	0	0	0	0	0	0	0	22	0.03
L		TICKET VOTES	AWP	201	0.31	12	0.35	5	0.56	11	0.4	4	0.2	0	233	0.32
		"DUNCAN, Darelle"	AWP	23	0.04	1	0.03	0	0	1	0.04	0	0	0	25	0.03
		"THEW, Sarah"	AWP	1	0	1	0.03	0	0	1	0.04	0	0	0	3	0
		Group Total	AWP	225	0.35	14	0.4	5	0.56	13	0.47	4	0.2	0	261	0.35
M		TICKET VOTES		10	0.02	0	0	0	0	2	0.07	0	0	0	12	0.02
		"BUTLER, Robert H"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay D"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		10	0.02	0	0	0	0	2	0.07	0	0	0	12	0.02
N		TICKET VOTES	RBR	23	0.04	1	0.03	2	0.23	5	0.18	2	0.1	0	33	0.04
		"BREEN, Peter"	ABR	7	0.01	0	0	0	0	1	0.04	0	0	0	8	0.01
		"McNALLY, Kerry"	RPA	1	0	0	0	1	0.11	0	0	0	0	0	2	0
		"HOUSEGO, Valerie"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	RBR	32	0.05	1	0.03	3	0.34	6	0.22	2	0.1	0	44	0.06
O		TICKET VOTES	GRY	75	0.12	4	0.12	0	0	1	0.04	10	0.5	0	90	0.12
		"VERHEYEN, John"	GRY	9	0.01	0	0	0	0	1	0.04	1	0.05	0	11	0.01
		"HETTERSCHEID, Theo"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"SEGERSTROM, Bob"	GRY	2	0	0	0	0	0	0	0	0	0	0	2	0
		"PICKERING, Olga"	GRY	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	GRY	88	0.14	4	0.12	0	0	2	0.07	11	0.55	0	105	0.14
P		TICKET VOTES	NLP	36	0.06	5	0.14	0	0	1	0.04	0	0	0	42	0.06
		"KNOLES, Catherine"	NLP	6	0.01	1	0.03	0	0	0	0	0	0	0	7	0.01
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	42	0.06	6	0.17	0	0	1	0.04	0	0	0	49	0.07
Q		TICKET VOTES	ABF	272	0.42	22	0.63	15	1.69	16	0.58	9	0.45	0	334	0.45
		"FINDLAY-BARNES, Teresa"	ABF	3	0	1	0.03	0	0	0	0	0	0	0	4	0.01
		"TRIBE, David"	ABF	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ABF	276	0.43	23	0.66	15	1.69	16	0.58	9	0.45	0	339	0.46
R		TICKET VOTES	CTA	903	1.4	55	1.58	7	0.79	38	1.37	31	1.54	0	1034	1.4
		"WEBSTER, Alasdair"	CTA	173	0.27	11	0.32	0	0	10	0.36	9	0.45	0	203	0.28
		"WEBSTER, Elaine"	CTA	3	0	0	0	0	0	0	0	1	0.05	0	4	0.01
		"McLENNAN, Graham Clarke"	CTA	6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"BIRD, Bill"	CTA	1	0	2	0.06	0	0	0	0	0	0	0	3	0
		"COLEMAN, Bruce"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CTA	1086	1.68	68	1.96	7	0.79	48	1.73	41	2.04	0	1250	1.69
UNGROUPED																
		"JONES, Morris"	IND	23	0.04	2	0.06	0	0	0	0	2	0.1	0	27	0.04
		"IVOR, F"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BARBARA, John"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"HURLEY, Jade"	IND	110	0.17	3	0.09	1	0.11	2	0.07	0	0	0	116	0.16
		"PINNIGER, Gretel"	IND	12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
		"UNDERWOOD, Dian"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"PATTERSON, Ray"	IND	2	0	0	0	0	0	0	0	0	0	0	2	0
		"PIGGIN, David"	IND	0	0	0	0	0	0	1	0.04	0	0	0	1	0
		"BRADLEY, Bill"	IND	10	0.02	1	0.03	0	0	0	0	1	0.05	0	12	0.02
		Ungrouped Total		161	0.25	6	0.17	1	0.11	3	0.11	3	0.15	0	174	0.24
			FORMAL	64643	94.3	3472	97.83	888	93.87	2769	98.68	2011	97.72	0	73783	94.7
			INFORMAL	3910	5.7	77	2.17	58	6.13	37	1.32	47	2.28	0	4129	5.3
			TOTAL	68553	87.99	3549	4.56	946	1.21	2806	3.6	2058	2.64	0	77912	97.17



Bennelong (81033)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	588	0.89	41	0.96	5	1.13	9	0.33	16	0.64	0	659	0.87
		"KITSON, David"	RARI	87	0.13	9	0.21	0	0	5	0.19	2	0.08	0	103	0.14
		"O'CALLAGHAN, Carolyn"	RARI	2	0	0	0	0	0	0	0	1	0.04	0	3	0
		Group Total	RARI	677	1.03	50	1.17	5	1.13	14	0.52	19	0.76	0	765	1.01
B		TICKET VOTES	LNP	30526	46.34	1805	42.09	165	37.41	1263	46.93	1344	53.65	0	35103	46.31
	#	"WOODS, Bob"	LP	756	1.15	43	1	2	0.45	27	1	45	1.8	0	873	1.15
	#	"BROWNHILL, David"	NP	20	0.03	2	0.05	0	0	0	0	0	0	0	22	0.03
	#	"COONAN, Helen"	LP	44	0.07	7	0.16	0	0	1	0.04	6	0.24	0	58	0.08
		"CONSTANTIN, Abraham"	LP	12	0.02	2	0.05	0	0	1	0.04	1	0.04	0	16	0.02
		Group Total	LNP	31358	47.6	1859	43.35	167	37.87	1292	48.01	1396	55.73	0	36072	47.59
C		TICKET VOTES	GRN	1148	1.74	181	4.22	20	4.54	65	2.42	32	1.28	0	1446	1.91
		"SPERLING, Karla"	GRN	280	0.43	34	0.79	1	0.23	14	0.52	11	0.44	0	340	0.45
		"DENTON, Peter"	GRN	7	0.01	0	0	0	0	1	0.04	0	0	0	8	0.01
		"ELIX, Jane"	GRN	6	0.01	0	0	0	0	0	0	2	0.08	0	8	0.01
		"MATSON, Murray"	GRN	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		Group Total	GRN	1446	2.2	215	5.01	21	4.76	80	2.97	45	1.8	0	1807	2.38
D		TICKET VOTES	NAN	547	0.83	36	0.84	5	1.13	27	1	21	0.84	0	636	0.84
		"NASH, Chris"	NAN	183	0.28	8	0.19	0	0	10	0.37	5	0.2	0	206	0.27
		"HALE, Sylvia"	NAN	2	0	1	0.02	0	0	1	0.04	0	0	0	4	0.01
		Group Total	NAN	732	1.11	45	1.05	5	1.13	38	1.41	26	1.04	0	846	1.12
E		TICKET VOTES	SEN	78	0.12	6	0.14	1	0.23	4	0.15	9	0.36	0	98	0.13
		"EVANS, Beryl"	SEN	9	0.01	2	0.05	0	0	0	0	2	0.08	0	13	0.02
		"WELSH, Lorraine"	SEN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	SEN	88	0.13	8	0.19	1	0.23	4	0.15	11	0.44	0	112	0.15
F		TICKET VOTES	AFI	1231	1.87	91	2.12	13	2.95	33	1.23	28	1.12	0	1396	1.84
		"PHILLIPS, John"	AFI	276	0.42	14	0.33	0	0	6	0.22	12	0.48	0	308	0.41
		"O'REGAN, Bevan"	AFI	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	AFI	1511	2.29	105	2.45	13	2.95	39	1.45	40	1.6	0	1708	2.25
G		TICKET VOTES	ALP	18894	28.68	1171	27.31	165	37.41	811	30.14	623	24.87	0	21664	28.58
	#	"WEST, Sue"	ALP	584	0.89	40	0.93	4	0.91	21	0.78	25	1	0	674	0.89
	#	"CHILDS, Bruce"	ALP	16	0.02	3	0.07	0	0	0	0	2	0.08	0	21	0.03
		"WHEELWRIGHT, Tom"	ALP	23	0.03	2	0.05	0	0	2	0.07	1	0.04	0	28	0.04
		"BARGHOUT, Rima"	ALP	9	0.01	0	0	1	0.23	0	0	0	0	0	10	0.01
		Group Total	ALP	19526	29.64	1216	28.36	170	38.55	834	30.99	651	25.99	0	22397	29.55
H		TICKET VOTES	DEM	6961	10.57	504	11.75	35	7.94	235	8.73	183	7.31	0	7918	10.45
	#	"BOURNE, Vicki"	DEM	1098	1.67	76	1.77	4	0.91	59	2.19	31	1.24	0	1268	1.67
		"CHESTERFIELD-EVANS, Arthur"	DEM	27	0.04	0	0	0	0	0	0	0	0	0	27	0.04
		"LARCOS, Andrew"	DEM	6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"ANDERSON, Troy"	DEM	18	0.03	2	0.05	0	0	2	0.07	0	0	0	22	0.03
		Group Total	DEM	8110	12.31	582	13.57	39	8.84	296	11	214	8.54	0	9241	12.19
I		TICKET VOTES		56	0.09	2	0.05	0	0	1	0.04	3	0.12	0	62	0.08
		"SCHOLLBACH, Robert Frederick"		2	0	0	0	0	0	0	0	0	0	0	2	0
		"STIRLING, Amanda Jane"		3	0	1	0.02	0	0	0	0	0	0	0	4	0.01
		Group Total		61	0.09	3	0.07	0	0	1	0.04	3	0.12	0	68	0.09
J		TICKET VOTES	ASP	371	0.56	39	0.91	5	1.13	14	0.52	11	0.44	0	440	0.58
		"SIMS, Richard"	ASP	54	0.08	2	0.05	1	0.23	6	0.22	1	0.04	0	64	0.08
		"BOURKE, Robyn"	ASP	2	0	0	0	0	0	0	0	0	0	0	2	0
		"REDFERN, Daniel"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"FRANICH, Rodney"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ASP	428	0.65	41	0.96	6	1.36	20	0.74	12	0.48	0	507	0.67
K		TICKET VOTES		19	0.03	1	0.02	0	0	0	0	0	0	0	20	0.03
		"GALATI, Tony"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"GALATI, Sam"		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		Group Total		25	0.04	1	0.02	0	0	0	0	0	0	0	26	0.03
L		TICKET VOTES	AWP	148	0.22	25	0.58	2	0.45	12	0.45	6	0.24	0	193	0.25
		"DUNCAN, Darelle"	AWP	33	0.05	3	0.07	0	0	0	0	0	0	0	36	0.05
		"THEW, Sarah"	AWP	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	AWP	185	0.28	28	0.65	2	0.45	12	0.45	6	0.24	0	233	0.31
M		TICKET VOTES		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"BUTLER, Robert H"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay D"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
N		TICKET VOTES	RBR	38	0.06	9	0.21	0	0	5	0.19	3	0.12	0	55	0.07
		"BREEN, Peter"	ABR	10	0.02	1	0.02	0	0	0	0	0	0	0	11	0.01
		"McNALLY, Kerry"	RPA	2	0	1	0.02	0	0	0	0	1	0.04	0	4	0.01
		"HOUSEGO, Valerie"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RBR	50	0.08	11	0.26	0	0	5	0.19	4	0.16	0	70	0.09
O		TICKET VOTES	GRY	67	0.1	2	0.05	0	0	1	0.04	6	0.24	0	76	0.1
		"VERHEYEN, John"	GRY	7	0.01	1	0.02	0	0	0	0	1	0.04	0	9	0.01
		"HETTERSCHEID, Theo"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"SEGERSTROM, Bob"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
