Senate - 1996 Election: Australian Capital Territory																												
First Preference Votes by Group																												
By Polling Place																												


Canberra (71932)																												
	   		Group Total CTA			Group Total GRN			Group Total LP			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Griffith		                                   	7	0.5	 	91	6.55	 	590	42.48	 	110	7.92	 	582	41.9	 	9	0.65	 	1389	95.86	 	60	4.14	 	1449	2.1
Holder		                                     	28	1.79	 	100	6.39	 	656	41.89	 	155	9.9	 	610	38.95	 	17	1.09	 	1566	97.75	 	36	2.25	 	1602	2.32
Hughes		                                     	31	1.03	 	168	5.59	 	1394	46.39	 	309	10.28	 	1077	35.84	 	26	0.87	 	3005	98.04	 	60	1.96	 	3065	4.43
Lyneham		                                    	55	1.61	 	333	9.75	 	1035	30.32	 	416	12.19	 	1543	45.2	 	32	0.94	 	3414	95.87	 	147	4.13	 	3561	5.15
Lyons		                                      	15	1	 	81	5.39	 	537	35.7	 	167	11.1	 	685	45.55	 	19	1.26	 	1504	96.84	 	49	3.16	 	1553	2.25
Manuka		                                     	5	0.32	 	77	4.99	 	636	41.25	 	152	9.86	 	654	42.41	 	18	1.17	 	1542	98.03	 	31	1.97	 	1573	2.28
Narrabundah		                                	29	1.48	 	126	6.44	 	585	29.91	 	143	7.31	 	1058	54.09	 	15	0.77	 	1956	94.49	 	114	5.51	 	2070	2.99
Oaks Estate		                                	5	2.58	 	15	7.73	 	61	31.44	 	21	10.82	 	92	47.42	 	0	0	 	194	97	 	6	3	 	200	0.29
Red Hill		                                   	21	0.79	 	124	4.68	 	1318	49.74	 	243	9.17	 	925	34.91	 	19	0.72	 	2650	97.28	 	74	2.72	 	2724	3.94
Reid		                                       	5	0.75	 	45	6.78	 	235	35.39	 	77	11.6	 	296	44.58	 	6	0.9	 	664	95.82	 	29	4.18	 	693	1
Rivett		                                     	39	1.82	 	125	5.84	 	808	37.77	 	215	10.05	 	935	43.71	 	17	0.79	 	2139	98.07	 	42	1.93	 	2181	3.15
Turner		                                     	27	1.47	 	249	13.58	 	433	23.61	 	235	12.81	 	880	47.98	 	10	0.55	 	1834	96.93	 	58	3.07	 	1892	2.74
Waramanga		                                  	47	1.33	 	183	5.16	 	1332	37.58	 	420	11.85	 	1525	43.03	 	37	1.04	 	3544	97.36	 	96	2.64	 	3640	5.27
Watson		                                     	62	2.48	 	185	7.39	 	857	34.21	 	262	10.46	 	1112	44.39	 	27	1.08	 	2505	96.91	 	80	3.09	 	2585	3.74
Weston		                                     	38	1.96	 	118	6.08	 	747	38.47	 	196	10.09	 	825	42.48	 	18	0.93	 	1942	97.29	 	54	2.71	 	1996	2.89
Woden Valley Hospital		                      	10	1.14	 	53	6.05	 	379	43.26	 	93	10.62	 	335	38.24	 	6	0.68	 	876	96.9	 	28	3.1	 	904	1.31
Yarralumla		                                 	10	0.59	 	102	5.99	 	675	39.61	 	212	12.44	 	696	40.85	 	9	0.53	 	1704	96.71	 	58	3.29	 	1762	2.55
Special Hospitals		                          	16	2.12	 	11	1.46	 	459	60.88	 	32	4.24	 	234	31.03	 	2	0.27	 	754	95.81	 	33	4.19	 	787	1.14
Total Ordinary		                             	711	1.35	 	3577	6.77	 	20508	38.83	 	5705	10.8	 	21869	41.41	 	441	0.84	 	52811	96.98	 	1643	3.02	 	54454	78.77
ABSENT		                                     	35	2.11	 	162	9.78	 	521	31.46	 	151	9.12	 	767	46.32	 	20	1.21	 	1656	97.7	 	39	2.3	 	1695	2.45
POSTAL		                                     	36	1.58	 	121	5.32	 	1104	48.55	 	221	9.72	 	782	34.39	 	10	0.44	 	2274	98.48	 	35	1.52	 	2309	3.34
PRE_POLL		                                   	118	1.21	 	893	9.13	 	3645	37.25	 	1053	10.76	 	4015	41.03	 	61	0.62	 	9785	98.27	 	172	1.73	 	9957	14.4
PROVISIONAL		                                	12	1.71	 	100	14.29	 	189	27	 	64	9.14	 	326	46.57	 	9	1.29	 	700	97.49	 	18	2.51	 	718	1.04
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	912	1.36	 	4853	7.22	 	25967	38.63	 	7194	10.7	 	27759	41.29	 	541	0.8	 	67226	97.24	 	1907	2.76	 	69133	96.11
 																												


Fraser (64374)																												
	   		Group Total CTA			Group Total GRN			Group Total LP			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aranda		                                     	39	1.22	 	258	8.1	 	1183	37.12	 	457	14.34	 	1220	38.28	 	30	0.94	 	3187	96.87	 	103	3.13	 	3290	5.26
Belconnen		                                  	30	1.65	 	116	6.38	 	634	34.89	 	186	10.24	 	828	45.57	 	23	1.27	 	1817	97.48	 	47	2.52	 	1864	2.98
Bruce		                                      	10	3.13	 	15	4.7	 	152	47.65	 	23	7.21	 	117	36.68	 	2	0.63	 	319	98.76	 	4	1.24	 	323	0.52
Charnwood		                                  	55	1.77	 	148	4.77	 	1037	33.4	 	383	12.33	 	1458	46.96	 	24	0.77	 	3105	96.94	 	98	3.06	 	3203	5.12
Evatt		                                      	52	1.68	 	152	4.9	 	1148	37.04	 	289	9.33	 	1440	46.47	 	18	0.58	 	3099	97.33	 	85	2.67	 	3184	5.09
Evatt South		                                	19	1.5	 	66	5.23	 	481	38.08	 	152	12.03	 	535	42.36	 	10	0.79	 	1263	98.14	 	24	1.86	 	1287	2.06
Florey		                                     	43	1.95	 	100	4.53	 	814	36.9	 	203	9.2	 	1030	46.69	 	16	0.73	 	2206	97.7	 	52	2.3	 	2258	3.61
Flynn		                                      	27	1.28	 	104	4.93	 	805	38.15	 	283	13.41	 	876	41.52	 	15	0.71	 	2110	97.78	 	48	2.22	 	2158	3.45
Giralang		                                   	53	2.45	 	130	6.01	 	785	36.31	 	211	9.76	 	972	44.96	 	11	0.51	 	2162	97.08	 	65	2.92	 	2227	3.56
Hall		                                       	6	2.42	 	17	6.85	 	109	43.95	 	20	8.06	 	94	37.9	 	2	0.81	 	248	96.88	 	8	3.13	 	256	0.41
Higgins		                                    	37	1.53	 	129	5.33	 	917	37.86	 	273	11.27	 	1041	42.98	 	25	1.03	 	2422	97.31	 	67	2.69	 	2489	3.98
Holt		                                       	61	2.7	 	126	5.58	 	768	33.98	 	261	11.55	 	1024	45.31	 	20	0.88	 	2260	97.79	 	51	2.21	 	2311	3.7
Jervis Bay		                                 	3	2.17	 	4	2.9	 	62	44.93	 	12	8.7	 	57	41.3	 	0	0	 	138	98.57	 	2	1.43	 	140	0.22
Kaleen		                                     	66	2.34	 	142	5.04	 	1102	39.13	 	279	9.91	 	1216	43.18	 	11	0.39	 	2816	96.31	 	108	3.69	 	2924	4.68
Kaleen South		                               	36	2.26	 	83	5.22	 	629	39.53	 	165	10.37	 	665	41.8	 	13	0.82	 	1591	96.78	 	53	3.22	 	1644	2.63
Latham		                                     	36	1.74	 	100	4.83	 	821	39.62	 	197	9.51	 	903	43.58	 	15	0.72	 	2072	96.96	 	65	3.04	 	2137	3.42
Macgregor		                                  	19	1.01	 	117	6.22	 	682	36.26	 	199	10.58	 	846	44.98	 	18	0.96	 	1881	96.91	 	60	3.09	 	1941	3.1
Macquarie		                                  	34	1.79	 	119	6.28	 	669	35.28	 	246	12.97	 	813	42.88	 	15	0.79	 	1896	97.33	 	52	2.67	 	1948	3.12
Melba		                                      	21	1.19	 	109	6.2	 	718	40.82	 	211	12	 	683	38.83	 	17	0.97	 	1759	97.61	 	43	2.39	 	1802	2.88
Nicholls		                                   	32	2.44	 	51	3.9	 	481	36.75	 	155	11.84	 	585	44.69	 	5	0.38	 	1309	98.13	 	25	1.87	 	1334	2.13
Page		                                       	45	2.9	 	70	4.51	 	601	38.7	 	162	10.43	 	659	42.43	 	16	1.03	 	1553	97.31	 	43	2.69	 	1596	2.55
Palmerston		                                 	64	1.68	 	157	4.13	 	1401	36.83	 	371	9.75	 	1781	46.82	 	30	0.79	 	3804	97.64	 	92	2.36	 	3896	6.23
Scullin		                                    	46	2.04	 	138	6.11	 	795	35.22	 	230	10.19	 	1033	45.77	 	15	0.66	 	2257	96.87	 	73	3.13	 	2330	3.73
Spence		                                     	30	1.81	 	88	5.32	 	627	37.89	 	189	11.42	 	715	43.2	 	6	0.36	 	1655	97.12	 	49	2.88	 	1704	2.73
Weetangera		                                 	48	1.76	 	132	4.84	 	1329	48.73	 	346	12.69	 	845	30.99	 	27	0.99	 	2727	97.43	 	72	2.57	 	2799	4.48
Wreck Bay		                                  	1	1.3	 	0	0	 	0	0	 	2	2.6	 	74	96.1	 	0	0	 	77	98.72	 	1	1.28	 	78	0.12
Special Hospitals		                          	1	0.52	 	7	3.66	 	118	61.78	 	8	4.19	 	57	29.84	 	0	0	 	191	97.45	 	5	2.55	 	196	0.31
Total Ordinary		                             	914	1.83	 	2678	5.36	 	18868	37.79	 	5513	11.04	 	21567	43.2	 	384	0.77	 	49924	97.28	 	1395	2.72	 	51319	82.08
ABSENT		                                     	33	1.99	 	161	9.7	 	528	31.83	 	136	8.2	 	789	47.56	 	12	0.72	 	1659	97.13	 	49	2.87	 	1708	2.73
POSTAL		                                     	26	1.67	 	91	5.84	 	645	41.37	 	164	10.52	 	622	39.9	 	11	0.71	 	1559	99.11	 	14	0.89	 	1573	2.52
PRE_POLL		                                   	92	1.27	 	508	7.03	 	2556	35.38	 	869	12.03	 	3165	43.81	 	35	0.48	 	7225	98.43	 	115	1.57	 	7340	11.74
PROVISIONAL		                                	10	1.75	 	51	8.9	 	181	31.59	 	38	6.63	 	289	50.44	 	4	0.7	 	573	97.95	 	12	2.05	 	585	0.94
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1075	1.76	 	3489	5.73	 	22778	37.38	 	6720	11.03	 	26432	43.37	 	446	0.73	 	60940	97.47	 	1585	2.53	 	62525	97.13
 																												


Namadgi (66864)																												
	   		Group Total CTA			Group Total GRN			Group Total LP			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonython		                                   	31	1.81	 	59	3.45	 	661	38.65	 	135	7.89	 	814	47.6	 	10	0.58	 	1710	98.39	 	28	1.61	 	1738	2.66
Calwell		                                    	41	1.35	 	134	4.41	 	1224	40.32	 	258	8.5	 	1357	44.7	 	22	0.72	 	3036	97.87	 	66	2.13	 	3102	4.75
Chifley		                                    	18	1.26	 	83	5.83	 	574	40.34	 	155	10.89	 	576	40.48	 	17	1.19	 	1423	97.73	 	33	2.27	 	1456	2.23
Chisholm		                                   	25	1.25	 	93	4.63	 	801	39.91	 	160	7.97	 	906	45.14	 	22	1.1	 	2007	97.76	 	46	2.24	 	2053	3.15
Conder		                                     	37	1.69	 	89	4.07	 	735	33.58	 	184	8.41	 	1127	51.48	 	17	0.78	 	2189	98.25	 	39	1.75	 	2228	3.41
Fadden		                                     	42	1.81	 	65	2.8	 	1191	51.27	 	192	8.27	 	807	34.74	 	26	1.12	 	2323	97.93	 	49	2.07	 	2372	3.63
Farrer		                                     	34	1.1	 	127	4.12	 	1609	52.24	 	280	9.09	 	1012	32.86	 	18	0.58	 	3080	97.9	 	66	2.1	 	3146	4.82
Gilmore		                                    	33	1.41	 	83	3.55	 	966	41.28	 	201	8.59	 	1041	44.49	 	16	0.68	 	2340	98.11	 	45	1.89	 	2385	3.65
Gordon		                                     	55	1.5	 	136	3.7	 	1425	38.78	 	282	7.67	 	1757	47.81	 	20	0.54	 	3675	97.97	 	76	2.03	 	3751	5.75
Gowrie		                                     	21	1.11	 	72	3.79	 	849	44.73	 	163	8.59	 	777	40.94	 	16	0.84	 	1898	98.19	 	35	1.81	 	1933	2.96
Isabella Plains		                            	44	1.7	 	115	4.45	 	1042	40.34	 	193	7.47	 	1171	45.33	 	18	0.7	 	2583	97.55	 	65	2.45	 	2648	4.06
Kambah East		                                	35	1.8	 	90	4.62	 	783	40.2	 	196	10.06	 	824	42.3	 	20	1.03	 	1948	97.69	 	46	2.31	 	1994	3.06
Kambah North		                               	25	1.51	 	108	6.53	 	661	39.96	 	174	10.52	 	672	40.63	 	14	0.85	 	1654	97.41	 	44	2.59	 	1698	2.6
Kambah South		                               	40	2.21	 	90	4.97	 	687	37.96	 	173	9.56	 	804	44.42	 	16	0.88	 	1810	97.31	 	50	2.69	 	1860	2.85
Kambah West		                                	78	2.25	 	184	5.31	 	1354	39.04	 	323	9.31	 	1502	43.31	 	27	0.78	 	3468	97.72	 	81	2.28	 	3549	5.44
Mawson		                                     	18	0.86	 	82	3.9	 	934	44.48	 	190	9.05	 	863	41.1	 	13	0.62	 	2100	97.54	 	53	2.46	 	2153	3.3
Monash		                                     	30	1.02	 	114	3.88	 	1230	41.91	 	246	8.38	 	1299	44.26	 	16	0.55	 	2935	97.25	 	83	2.75	 	3018	4.62
Pearce		                                     	27	1.09	 	151	6.08	 	1156	46.52	 	269	10.82	 	873	35.13	 	9	0.36	 	2485	96.99	 	77	3.01	 	2562	3.93
Richardson		                                 	33	1.9	 	77	4.43	 	638	36.67	 	148	8.51	 	831	47.76	 	13	0.75	 	1740	97.92	 	37	2.08	 	1777	2.72
Tharwa		                                     	5	3.68	 	9	6.62	 	56	41.18	 	14	10.29	 	51	37.5	 	1	0.74	 	136	99.27	 	1	0.73	 	137	0.21
Theodore		                                   	19	1.3	 	60	4.11	 	536	36.69	 	129	8.83	 	712	48.73	 	5	0.34	 	1461	98.72	 	19	1.28	 	1480	2.27
Uriarra		                                    	1	2.78	 	1	2.78	 	10	27.78	 	1	2.78	 	23	63.89	 	0	0	 	36	100	 	0	0	 	36	0.06
Wanniassa		                                  	39	1.24	 	157	5.01	 	1170	37.34	 	282	9	 	1465	46.76	 	20	0.64	 	3133	97	 	97	3	 	3230	4.95
Wanniassa Hills		                            	40	1.48	 	131	4.85	 	1111	41.16	 	291	10.78	 	1100	40.76	 	26	0.96	 	2699	98.5	 	41	1.5	 	2740	4.2
Special Hospitals		                          	0	0	 	2	2.56	 	57	73.08	 	2	2.56	 	17	21.79	 	0	0	 	78	88.64	 	10	11.36	 	88	0.13
Total Ordinary		                             	771	1.48	 	2312	4.45	 	21460	41.31	 	4641	8.93	 	22381	43.08	 	382	0.74	 	51947	97.77	 	1187	2.23	 	53134	81.42
ABSENT		                                     	26	1.43	 	117	6.43	 	643	35.35	 	120	6.6	 	903	49.64	 	10	0.55	 	1819	97.85	 	40	2.15	 	1859	2.85
POSTAL		                                     	19	1.22	 	66	4.23	 	706	45.2	 	192	12.29	 	562	35.98	 	17	1.09	 	1562	98.8	 	19	1.2	 	1581	2.42
PRE_POLL		                                   	94	1.19	 	430	5.44	 	3192	40.42	 	677	8.57	 	3451	43.69	 	54	0.68	 	7898	98.59	 	113	1.41	 	8011	12.28
PROVISIONAL		                                	4	0.6	 	30	4.51	 	203	30.53	 	46	6.92	 	378	56.84	 	4	0.6	 	665	98.66	 	9	1.34	 	674	1.03
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	914	1.43	 	2955	4.63	 	26204	41.01	 	5676	8.88	 	27675	43.32	 	467	0.73	 	63891	97.9	 	1368	2.1	 	65259	97.6
 																												
