Senate - 1996 Election: New South Wales    														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 3682283   +   1 =  526041														
6 + 1														
														
				First			Count 2			Count 3			Count 4	
J	"BOURKE, Robyn"	ASP		181		2	183		1	184		1	185	
J	"REDFERN, Daniel"	ASP		73		0	73		1	74		0	74	
J	"FRANICH, Rodney"	ASP		70		0	70		1	71		0	71	
														
K	"GALATI, Tony"			1109		0	1109		0	1109		0	1109	
K	"GALATI, Sam"			19		0	19		0	19		0	19	
														
L	"DUNCAN, Darelle"	AWP		17292		8	17300		21	17321		1	17322	
L	"THEW, Sarah"	AWP		125		0	125		5	130		0	130	
														
M	"BUTLER, Robert H"			639		0	639		0	639		0	639	
M	"COSGROVE, Lindsay D"			18		0	18		0	18		0	18	
														
N	"BREEN, Peter"	ABR		2681		1	2682		3	2685		0	2685	
N	"McNALLY, Kerry"	RPA		92		0	92		1	93		0	93	
N	"HOUSEGO, Valerie"	ABR		16		0	16		0	16		0	16	
N	"BEKELE, Assefa"	ABR		7		0	7		0	7		0	7	
N	"FAHEY, Antoinette"	ABR		50		0	50		0	50		0	50	
														
O	"VERHEYEN, John"	GRY		5115		3	5118		4	5122		1	5123	
O	"HETTERSCHEID, Theo"	GRY		4		0	4		0	4		0	4	
O	"SEGERSTROM, Bob"	GRY		12		0	12		0	12		0	12	
O	"PICKERING, Olga"	GRY		42		0	42		0	42		0	42	
														
P	"KNOLES, Catherine"	NLP		3656		1	3657		1	3658		0	3658	
P	"JUDD, Ines"	NLP		46		0	46		0	46		0	46	
														
Q	"FINDLAY-BARNES, Teresa"	ABF		18872		11	18883		10	18893		0	18893	
Q	"TRIBE, David"	ABF		88		0	88		0	88		0	88	
														
R	"WEBSTER, Alasdair"	CTA		72473		70	72543		10	72553		28	72581	
R	"WEBSTER, Elaine"	CTA		176		1	177		0	177		1	178	
R	"McLENNAN, Graham Clarke"	CTA		72		2	74		0	74		0	74	
R	"BIRD, Bill"	CTA		81		0	81		0	81		0	81	
R	"COLEMAN, Bruce"	CTA		167		0	167		0	167		0	167	
														
Ungrouped														
	"JONES, Morris"	IND		485		1	486		0	486		0	486	
	"IVOR, F"	IND		210		0	210		0	210		0	210	
	"BARBARA, John"	IND		57		0	57		0	57		0	57	
	"HURLEY, Jade"	IND		4765		21	4786		9	4795		6	4801	
	"PINNIGER, Gretel"	IND		382		1	383		0	383		0	383	
	"UNDERWOOD, Dian"	IND		433		0	433		1	434		1	435	
	"PATTERSON, Ray"	IND		295		0	295		0	295		0	295	
	"PIGGIN, David"	IND		31		0	31		0	31		0	31	
	"BRADLEY, Bill"	IND		383		1	384		1	385		0	385	
														
	Exhausted Votes			0		11	11		9	20		7	27	
	Loss by Fraction			0		26	26		24	50		20	70	
														
	Total Votes			3682283		992137	3682283		841347	3682283		465106	3682283	
														
	Notes		Candidates Elected:			Surplus Distributed			Surplus Distributed			Surplus Distributed		
			"1. Woods, B"			"Woods, B"			"West, S"			"Brownhill, D"		
			"2. West, S"											
						Candidate Elected			Candidate Elected					
						"3. Brownhill, D"			"4. Childs, B"					
														
														
														
				Count 5			Count 6-8			Count 9			Count 10-11	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	6	44462		0	44462		1	44463		0	44463	
A	"O'CALLAGHAN, Carolyn"	RARI	0	380		0	380		1	381		0	381	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	7	468372		0	468372		0	468372		1	468373	
B	"CONSTANTIN, Abraham"	LP	0	1150		0	1150		0	1150		0	1150	
														
C	"SPERLING, Karla"	GRN	21	97079		0	97079		0	97079		0	97079	
C	"DENTON, Peter"	GRN	0	379		0	379		0	379		0	379	
C	"ELIX, Jane"	GRN	0	424		0	424		0	424		0	424	
C	"MATSON, Murray"	GRN	0	319		0	319		0	319		0	319	
														
D	"NASH, Chris"	NAN	4	16937		0	16937		0	16937		0	16937	
D	"HALE, Sylvia"	NAN	0	185		0	185		0	185		0	185	
														
E	"EVANS, Beryl"	SEN	1	8275		0	8275		1	8276		0	8276	
E	"WELSH, Lorraine"	SEN	0	57		0	57		0	57		0	57	
														
F	"PHILLIPS, John"	AFI	9	61752		0	61752		0	61752		0	61752	
F	"O'REGAN, Bevan"	AFI	2	255		1	256		0	256		0	256	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	-315296	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	315066	316546		0	316546		0	316546		0	316546	
G	"BARGHOUT, Rima"	ALP	79	1369		0	1369		0	1369		0	1369	
														
H	"BOURNE, Vicki"	DEM	63	350502		0	350502		0	350502		0	350502	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	3	639		0	639		0	639		0	639	
H	"LARCOS, Andrew"	DEM	1	229		0	229		0	229		0	229	
H	"ANDERSON, Troy"	DEM	0	799		0	799		0	799		0	799	
														
I	"SCHOLLBACH, Robert Frederick"		0	3560		0	3560		0	3560		0	3560	
I	"STIRLING, Amanda Jane"		0	74		0	74		0	74		0	74	
														
J	"SIMS, Richard"	ASP	3	73799		0	73799		0	73799		0	73799	
J	"BOURKE, Robyn"	ASP	0	185		0	185		0	185		0	185	
J	"REDFERN, Daniel"	ASP	0	74		0	74		0	74		0	74	
J	"FRANICH, Rodney"	ASP	0	71		0	71		0	71		0	71	
														
K	"GALATI, Tony"		0	1109		0	1109		0	1109		0	1109	
K	"GALATI, Sam"		0	19		0	19		0	19		0	19	
														
L	"DUNCAN, Darelle"	AWP	3	17325		0	17325		0	17325		0	17325	
L	"THEW, Sarah"	AWP	0	130		0	130		0	130		0	130	
														
M	"BUTLER, Robert H"		0	639		0	639		0	639		0	639	
M	"COSGROVE, Lindsay D"		0	18		0	18		0	18		0	18	
														
N	"BREEN, Peter"	ABR	0	2685		2	2687		1	2688		6	2694	
N	"McNALLY, Kerry"	RPA	0	93		0	93		0	93		5	98	
N	"HOUSEGO, Valerie"	ABR	0	16		1	17		0	17		-17	0	Excluded
N	"BEKELE, Assefa"	ABR	0	7		-7	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	50		0	50		0	50		4	54	
														
O	"VERHEYEN, John"	GRY	0	5123		1	5124		2	5126		0	5126	
O	"HETTERSCHEID, Theo"	GRY	0	4		-4	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	12		1	13		-13	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	42		1	43		4	47		0	47	
														
P	"KNOLES, Catherine"	NLP	0	3658		0	3658		0	3658		0	3658	
P	"JUDD, Ines"	NLP	0	46		0	46		0	46		0	46	
														
Q	"FINDLAY-BARNES, Teresa"	ABF	1	18894		0	18894		2	18896		0	18896	
Q	"TRIBE, David"	ABF	0	88		0	88		0	88		0	88	
														
R	"WEBSTER, Alasdair"	CTA	1	72582		0	72582		0	72582		0	72582	
R	"WEBSTER, Elaine"	CTA	0	178		0	178		0	178		0	178	
R	"McLENNAN, Graham Clarke"	CTA	0	74		1	75		0	75		0	75	
R	"BIRD, Bill"	CTA	0	81		0	81		0	81		0	81	
R	"COLEMAN, Bruce"	CTA	0	167		0	167		0	167		0	167	
														
Ungrouped														
	"JONES, Morris"	IND	0	486		0	486		1	487		0	487	
	"IVOR, F"	IND	0	210		1	211		0	211		0	211	
	"BARBARA, John"	IND	0	57		0	57		0	57		0	57	
	"HURLEY, Jade"	IND	1	4802		0	4802		0	4802		1	4803	
	"PINNIGER, Gretel"	IND	0	383		0	383		0	383		0	383	
	"UNDERWOOD, Dian"	IND	0	435		0	435		0	435		0	435	
	"PATTERSON, Ray"	IND	0	295		0	295		0	295		0	295	
	"PIGGIN, David"	IND	0	31		1	32		0	32		0	32	
	"BRADLEY, Bill"	IND	0	385		0	385		0	385		0	385	
														
	Exhausted Votes		5	32		1	33		0	33		0	33	
	Loss by Fraction		20	90		0	90		0	90		0	90	
														
	Total Votes		315296	3682283		11	3682283		13	3682283		17	3682283	
														
	Notes		Surplus Distributed			Candidates Excluded			Candidate Excluded			Candidate Excluded		
			"Childs, B"			"Bekele, A"			"Segerstrom, B"			"Housego, V"		
						"Hetterscheid, T"								
														
														
														
				Count 12-13			Count 14			Count 15-17			Count 18-19	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	2	44465		0	44465		0	44465		1	44466	
A	"O'CALLAGHAN, Carolyn"	RARI	0	381		0	381		0	381		0	381	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	0	468373		0	468373		1	468374		1	468375	
B	"CONSTANTIN, Abraham"	LP	0	1150		0	1150		0	1150		0	1150	
														
C	"SPERLING, Karla"	GRN	0	97079		0	97079		1	97080		0	97080	
C	"DENTON, Peter"	GRN	0	379		0	379		1	380		1	381	
C	"ELIX, Jane"	GRN	0	424		0	424		0	424		1	425	
C	"MATSON, Murray"	GRN	0	319		0	319		0	319		0	319	
														
D	"NASH, Chris"	NAN	0	16937		0	16937		0	16937		0	16937	
D	"HALE, Sylvia"	NAN	0	185		0	185		0	185		0	185	
														
E	"EVANS, Beryl"	SEN	0	8276		0	8276		0	8276		0	8276	
E	"WELSH, Lorraine"	SEN	0	57		0	57		1	58		0	58	
														
F	"PHILLIPS, John"	AFI	0	61752		0	61752		0	61752		0	61752	
F	"O'REGAN, Bevan"	AFI	0	256		0	256		0	256		0	256	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	0	316546		0	316546		1	316547		1	316548	
G	"BARGHOUT, Rima"	ALP	0	1369		0	1369		0	1369		0	1369	
														
H	"BOURNE, Vicki"	DEM	1	350503		0	350503		2	350505		3	350508	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	639		0	639		0	639		0	639	
H	"LARCOS, Andrew"	DEM	0	229		1	230		0	230		0	230	
H	"ANDERSON, Troy"	DEM	0	799		0	799		0	799		0	799	
														
I	"SCHOLLBACH, Robert Frederick"		0	3560		0	3560		0	3560		0	3560	
I	"STIRLING, Amanda Jane"		0	74		2	76		0	76		0	76	
														
J	"SIMS, Richard"	ASP	1	73800		0	73800		0	73800		0	73800	
J	"BOURKE, Robyn"	ASP	0	185		1	186		0	186		0	186	
J	"REDFERN, Daniel"	ASP	1	75		0	75		0	75		0	75	
J	"FRANICH, Rodney"	ASP	0	71		0	71		0	71		1	72	
														
K	"GALATI, Tony"		0	1109		12	1121		0	1121		0	1121	
K	"GALATI, Sam"		1	20		-20	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	0	17325		0	17325		0	17325		0	17325	
L	"THEW, Sarah"	AWP	1	131		0	131		0	131		0	131	
														
M	"BUTLER, Robert H"		10	649		3	652		0	652		0	652	
M	"COSGROVE, Lindsay D"		-18	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2694		0	2694		0	2694		1	2695	
N	"McNALLY, Kerry"	RPA	0	98		0	98		0	98		0	98	
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	54		0	54		0	54		0	54	
														
O	"VERHEYEN, John"	GRY	0	5126		0	5126		0	5126		1	5127	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	47		0	47		0	47		0	47	
														
P	"KNOLES, Catherine"	NLP	0	3658		0	3658		1	3659		32	3691	
P	"JUDD, Ines"	NLP	0	46		1	47		0	47		-47	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	18896		0	18896		1	18897		1	18898	
Q	"TRIBE, David"	ABF	0	88		0	88		0	88		1	89	
														
R	"WEBSTER, Alasdair"	CTA	1	72583		0	72583		1	72584		0	72584	
R	"WEBSTER, Elaine"	CTA	0	178		0	178		0	178		0	178	
R	"McLENNAN, Graham Clarke"	CTA	0	75		0	75		0	75		0	75	
R	"BIRD, Bill"	CTA	0	81		0	81		0	81		0	81	
R	"COLEMAN, Bruce"	CTA	0	167		0	167		0	167		0	167	
														
Ungrouped														
	"JONES, Morris"	IND	0	487		0	487		1	488		0	488	
	"IVOR, F"	IND	0	211		0	211		2	213		0	213	
	"BARBARA, John"	IND	0	57		0	57		1	58		0	58	
	"HURLEY, Jade"	IND	0	4803		0	4803		3	4806		0	4806	
	"PINNIGER, Gretel"	IND	0	383		0	383		1	384		1	385	
	"UNDERWOOD, Dian"	IND	0	435		0	435		2	437		0	437	
	"PATTERSON, Ray"	IND	0	295		0	295		5	300		0	300	
	"PIGGIN, David"	IND	0	32		0	32		-32	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	385		0	385		7	392		1	393	
														
	Exhausted Votes		0	33		0	33		0	33		0	33	
	Loss by Fraction		0	90		0	90		0	90		0	90	
														
	Total Votes		18	3682283		20	3682283		32	3682283		47	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Cosgrove, L"			"Galati, S"			"Piggin, D"			"Judd, I"		
			 											
														
														
				Count 20-23			Count 24-26			Count 27-31			Count 32-34	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	0	44466		2	44468		1	44469		1	44470	
A	"O'CALLAGHAN, Carolyn"	RARI	0	381		0	381		1	382		0	382	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	1	468376		0	468376		2	468378		0	468378	
B	"CONSTANTIN, Abraham"	LP	0	1150		0	1150		0	1150		0	1150	
														
C	"SPERLING, Karla"	GRN	0	97080		0	97080		3	97083		1	97084	
C	"DENTON, Peter"	GRN	0	381		0	381		0	381		0	381	
C	"ELIX, Jane"	GRN	0	425		0	425		0	425		0	425	
C	"MATSON, Murray"	GRN	1	320		0	320		1	321		0	321	
														
D	"NASH, Chris"	NAN	0	16937		0	16937		2	16939		0	16939	
D	"HALE, Sylvia"	NAN	0	185		0	185		0	185		0	185	
														
E	"EVANS, Beryl"	SEN	2	8278		0	8278		31	8309		0	8309	
E	"WELSH, Lorraine"	SEN	0	58		0	58		-58	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	1	61753		1	61754		4	61758		0	61758	
F	"O'REGAN, Bevan"	AFI	0	256		0	256		3	259		0	259	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	0	316548		2	316550		0	316550		7	316557	
G	"BARGHOUT, Rima"	ALP	0	1369		0	1369		0	1369		1	1370	
														
H	"BOURNE, Vicki"	DEM	2	350510		2	350512		1	350513		0	350513	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	639		0	639		0	639		1	640	
H	"LARCOS, Andrew"	DEM	0	230		0	230		0	230		0	230	
H	"ANDERSON, Troy"	DEM	0	799		0	799		0	799		1	800	
														
I	"SCHOLLBACH, Robert Frederick"		0	3560		0	3560		0	3560		0	3560	
I	"STIRLING, Amanda Jane"		0	76		1	77		2	79		0	79	
														
J	"SIMS, Richard"	ASP	0	73800		0	73800		0	73800		1	73801	
J	"BOURKE, Robyn"	ASP	0	186		0	186		0	186		0	186	
J	"REDFERN, Daniel"	ASP	0	75		0	75		0	75		0	75	
J	"FRANICH, Rodney"	ASP	0	72		1	73		0	73		0	73	
														
K	"GALATI, Tony"		2	1123		0	1123		0	1123		0	1123	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	0	17325		0	17325		0	17325		1	17326	
L	"THEW, Sarah"	AWP	1	132		3	135		1	136		0	136	
														
M	"BUTLER, Robert H"		0	652		2	654		0	654		0	654	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2695		9	2704		0	2704		0	2704	
N	"McNALLY, Kerry"	RPA	0	98		28	126		0	126		0	126	
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	1	55		-55	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	29	5156		1	5157		0	5157		0	5157	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	-47	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	1	3692		0	3692		0	3692		0	3692	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	1	18899		0	18899		0	18899		1	18900	
Q	"TRIBE, David"	ABF	0	89		0	89		0	89		0	89	
														
R	"WEBSTER, Alasdair"	CTA	0	72584		0	72584		0	72584		2	72586	
R	"WEBSTER, Elaine"	CTA	0	178		0	178		1	179		1	180	
R	"McLENNAN, Graham Clarke"	CTA	0	75		1	76		0	76		1	77	
R	"BIRD, Bill"	CTA	0	81		1	82		0	82		0	82	
R	"COLEMAN, Bruce"	CTA	1	168		0	168		0	168		0	168	
														
Ungrouped														
	"JONES, Morris"	IND	0	488		0	488		0	488		5	493	
	"IVOR, F"	IND	0	213		0	213		0	213		7	220	
	"BARBARA, John"	IND	0	58		0	58		0	58		-58	0	Excluded
	"HURLEY, Jade"	IND	1	4807		1	4808		0	4808		10	4818	
	"PINNIGER, Gretel"	IND	0	385		0	385		0	385		6	391	
	"UNDERWOOD, Dian"	IND	2	439		0	439		0	439		5	444	
	"PATTERSON, Ray"	IND	0	300		0	300		0	300		3	303	
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	1	394		0	394		0	394		2	396	
														
	Exhausted Votes		0	33		0	33		1	34		1	35	
	Loss by Fraction		0	90		0	90		4	94		0	94	
														
	Total Votes		47	3682283		55	3682283		58	3682283		58	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Pickering, O"			"Fahey, A"			"Welsh, L"			"Barbara, J"		
														
														
														
				Count 35-38			Count 39-41			Count 42-45			Count 46-49	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	0	44470		1	44471		0	44471		2	44473	
A	"O'CALLAGHAN, Carolyn"	RARI	0	382		0	382		0	382		0	382	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	1	468379		2	468381		1	468382		2	468384	
B	"CONSTANTIN, Abraham"	LP	0	1150		1	1151		1	1152		0	1152	
														
C	"SPERLING, Karla"	GRN	0	97084		1	97085		0	97085		4	97089	
C	"DENTON, Peter"	GRN	0	381		0	381		0	381		0	381	
C	"ELIX, Jane"	GRN	0	425		0	425		0	425		0	425	
C	"MATSON, Murray"	GRN	0	321		0	321		0	321		0	321	
														
D	"NASH, Chris"	NAN	0	16939		0	16939		1	16940		0	16940	
D	"HALE, Sylvia"	NAN	0	185		0	185		0	185		1	186	
														
E	"EVANS, Beryl"	SEN	0	8309		0	8309		1	8310		0	8310	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	0	61758		0	61758		0	61758		0	61758	
F	"O'REGAN, Bevan"	AFI	0	259		0	259		1	260		0	260	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	0	316557		2	316559		3	316562		2	316564	
G	"BARGHOUT, Rima"	ALP	0	1370		0	1370		0	1370		0	1370	
														
H	"BOURNE, Vicki"	DEM	0	350513		2	350515		9	350524		1	350525	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	640		0	640		2	642		0	642	
H	"LARCOS, Andrew"	DEM	1	231		0	231		2	233		1	234	
H	"ANDERSON, Troy"	DEM	0	800		1	801		1	802		0	802	
														
I	"SCHOLLBACH, Robert Frederick"		0	3560		0	3560		36	3596		0	3596	
I	"STIRLING, Amanda Jane"		0	79		0	79		-79	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	7	73808		0	73808		2	73810		0	73810	
J	"BOURKE, Robyn"	ASP	6	192		0	192		1	193		1	194	
J	"REDFERN, Daniel"	ASP	52	127		0	127		0	127		0	127	
J	"FRANICH, Rodney"	ASP	-73	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1123		0	1123		4	1127		0	1127	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	1	17327		0	17327		3	17330		0	17330	
L	"THEW, Sarah"	AWP	0	136		0	136		0	136		0	136	
														
M	"BUTLER, Robert H"		0	654		0	654		2	656		0	656	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2704		0	2704		0	2704		0	2704	
N	"McNALLY, Kerry"	RPA	0	126		0	126		0	126		2	128	
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	5157		1	5158		0	5158		0	5158	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	2	3694		0	3694		0	3694		2	3696	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	18900		0	18900		1	18901		67	18968	
Q	"TRIBE, David"	ABF	0	89		1	90		2	92		-92	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	0	72586		22	72608		0	72608		0	72608	
R	"WEBSTER, Elaine"	CTA	0	180		15	195		0	195		0	195	
R	"McLENNAN, Graham Clarke"	CTA	0	77		-77	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	82		17	99		0	99		0	99	
R	"COLEMAN, Bruce"	CTA	0	168		9	177		1	178		2	180	
														
Ungrouped														
	"JONES, Morris"	IND	1	494		1	495		1	496		0	496	
	"IVOR, F"	IND	0	220		0	220		0	220		0	220	
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
