Senate - 1996 Election		
National List of Candidates		
		
		
Candidate	Party/Group Name	State
"GOOD, Michael"	Independent	VIC
"GRAYSON, Michael William"	One Australia Party	QLD
"GREEN, Neil"	Independent	VIC
"GRIFFITH, Stephen"	Natural Law Party	VIC

"HALE, Sylvia"	No Aircraft Noise	NSW
"HAMMOND, Robert K"	Australians Against Further Immigration	WA
"HARLOW, James"	Natural Law Party	TAS
"HAYE, Richard T"	Australians Against Further Immigration	WA
"HEAD, Robyne L"	Liberal	VIC
"HERRON, John"	Liberal	QLD
"HETHERINGTON, Maurice V."		QLD
"HETTERSCHEID, Theo"	Grey Power	NSW
"HILL, Robert"	Liberal	SA
"HOGG, John"	Australian Labor Party (ALP)	QLD
"HOUSEGO, Valerie"	Australian Bill of Rights Group	NSW
"HOWSE, David Gordon"	Independent	QLD
"HUGHEY, Jenny"	Australian Women's Party	QLD
"HURLEY, Jade"	Independent	NSW
"HUSTON, Michael"	Liberal	WA

"ISON, Bill"	Australian Shooters Party	QLD
"IVOR, F"	Independent	NSW

"JACKSON, Don"	Call to Australia (Fred Nile) Group	WA
"JACKSON, Mary"	National Party of Australia - Tasmania	TAS
"JEWELL, Perry J. B."	One Australia Party	QLD
"JITTS, Stephe"	Liberal	ACT
"JONES, Angela"	Australian Greens	QLD
"JONES, John Lee"		QLD
"JONES, Lee James"		QLD
"JONES, Morris"	Independent	NSW
"JOY, Bert"	Australians Against Further Immigration	SA
"JUDD, Ines"	Natural Law Party	NSW

"KELLY, Mary"	Australian Women's Party	QLD
"KEMBER, Debbie"	Liberal	QLD
"KEMP, Rod"	Liberal	VIC
"KERNOT, Cheryl"	Australian Democrats	QLD
"KITSON, David"	Reclaim Australia: Reduce Immigration	NSW
"KNEIPP, Tony"		QLD
"KNOLES, Catherine"	Natural Law Party	NSW
"KOURTESIS, Maria"	Liberal	SA

"LADLOW, Harvie William"		QLD
"LARCOS, Andrew"	Australian Democrats	NSW
"LAURIE, Marj"	Call to Australia (Fred Nile) Group	WA
"LETH, Chris"	Independent	QLD
"LEVY, Laurie"	Democrats	VIC
"LIAW, James"	Call to Australia (Fred Nile) Group	ACT
"LOW, Robert"	Australian Shooters Party	SA
"LUCAS, Helen"	The Australian Greens - Victoria	VIC
"LUNDY, Kate"	Australian Labor Party	ACT

"MAC NEVIN, Michelle"	Independent	QLD
"MACDONALD, Ian"	Liberal	QLD
"MACKAY, Sue"	Australian Labor Party	TAS
"MACKINTOSH, Craig Alan"	Independent	WA
"MACQUEEN, Lin"	Australian Women's Party	TAS
"MAHONEY, Desiree"	Australian Greens	QLD
"MAIN, Peter"	Australian Democrats	ACT
"MARKS, Robert J."		QLD
"MASON, Ngaire"	Natural Law Party	VIC
"MATSON, Murray"	The Greens	NSW
"MAYNE, Cynthia Dianne"	Australians Against Further Immigration	QLD
"MCANUFF, Kevin"	National Party	WA
"MCCORMACK, Denis"	Australians Against Further Immigration	VIC
"MCCULLOCH, Deborah"	Australian Women's Party	SA
"MCDOUGALL, Meryl"	Australian Greens	SA
"MCHUGH, Marg"	Australian Women's Party	SA
"MCKAY, Neil"	C.I.R. Alliance	VIC
"MCKAY, Ross"	Independent	QLD
"MCKIERNAN, Jim"	Australian Labor Party	WA
"MCLAREN, John"	Democrats	VIC
"MCLENNAN, Graham Clarke"	Call to Australia (Fred Nile) Group	NSW
"MCNALLY, Kerry"	Republican Party of Australia	NSW
"MCNIVEN, Ian"		QLD
"MILLAR, Don"	Australian Democrats	WA
"MILLAR, Jonathan"	Australian Greens	ACT
"MILLER, John Richard"	Call to Australia (Fred Nile) Group	ACT
"MINOGUE, John Gerard"	Australians Against Further Immigration	QLD
"MONAGHAN, Bill"	Independent	ACT
"MUDFORD, Kate"	Australian Women's Party	WA
"MULHOLLAND, John"	D.L.P. - Democratic Labor Party	VIC
"MURRAY, Andrew J M"	Australian Democrats	WA

"NASH, Chris"	No Aircraft Noise	NSW
"NEWMAN, Jocelyn"	Liberal	TAS
"NICHOLSON, Kenneth S"		SA

"O'CALLAGHAN, Carolyn"	Reclaim Australia: Reduce Immigration	NSW
"O'REGAN, Bevan"	Australians Against Further Immigration	NSW
"ONSMAN, Julia"	Australian Democrats	TAS

"PANIZZA, John H"	Liberal	WA
"PATTERSON, Kay"	Liberal	VIC
"PATTERSON, Ray"	Independent	NSW
"PHILLIPS, John"	Australians Against Further Immigration	NSW
"PICKERING, Olga"	Grey Power	NSW
"PIGGIN, David"	Independent	NSW
"PINNIGER, Gretel"	Independent	NSW
"PRICE, John"	Natural Law Party	QLD

"RASKOVY, Steve"	Independent	VIC
"RAY, Robert Francis"	Australian Labor Party	VIC
"RAYMOND, Melanie"	Australian Labor Party	VIC
"REDFERN, Daniel"	Australian Shooters Party	NSW
"REED, Annette Kim"	Australian Democrats	QLD
"REID, Margaret"	Liberal	ACT
"ROBINSON, Jean H"		WA
"RODWAY, Brett"	Call to Australia (Fred Nile) Group	SA
"RODWAY, David"	Call to Australia (Fred Nile) Group	SA
"ROGERS, Beryl"	Call to Australia (Fred Nile) Group	TAS
"ROGERS, Don"	Call to Australia (Fred Nile) Group	TAS
"ROPER, Steve"		VIC
"ROWE, Michael"	D.L.P. - Democratic Labor Party	VIC
"RUSSELL, Ross Herbert"		QLD

"SALISBURY, Peter Robert"	Australian Shooters Party	QLD
"SAYERS, Neville"	Australian Shooters Party	VIC
"SCHACHT, Chris"	Australian Labor Party (ALP)	SA
"SCHOLLBACH, Robert Frederick"		NSW
"SEATON, David"	Natural Law Party	ACT
"SEGERSTROM, Bob"	Grey Power	NSW
"SHEARING, Colin"		SA
"SHERRY, Nick"	Australian Labor Party	TAS
"SIMS, Richard"	Australian Shooters Party	NSW
"SINGER, Peter"	The Australian Greens - Victoria	VIC
"SIRNA, Enzo"	Liberal	WA
"SKERBIC, Fred"	Independent	ACT
"SMITH, Judy"	Australian Democrats	SA
"SMITH, Maurie"	Independent	VIC
"SMYTH, Ray"		QLD
"SPENCE, Stephen"	Australian Greens	SA
"SPENCER, Robyn Marion"	Australians Against Further Immigration	VIC
"SPERLING, Karla"	The Greens	NSW
"STIRLING, Amanda Jane"		NSW
"STOTT DESPOJA, Natasha"	Australian Democrats	SA

"TAMBLING, Grant"	Country Liberal - The Territory Party	NT
"TATTERSALL, Philip J"	Australian Democrats	TAS
"TEDMANSON, Deirdre"	Australian Labor Party (ALP)	SA
"THEW, Sarah"	Australian Women's Party	NSW
"THOMPSON, Clare Helen"	Liberal	WA
"TOSCANO, Joe"		VIC
"TOUBER, Charles"	Australian Labor Party	TAS
"TRIBE, David"	A Better Future For Our Children	NSW
"TSAGATOS, Desea"	Australian Democrats	SA
"TURNBULL, Mattie"	Australian Women's Party	WA
"TYSON, Netta"	A.I.P.P.	QLD
"TZUMLI, Denise"	Australian Women's Party	SA

"UNDERWOOD, Dian"	Independent	NSW

"VERHEYEN, John"	Grey Power	NSW

"WALKER, Alfred"	Independent EFF	SA
"WALTERS, Tony"	Australian Democrats	QLD
"WATSON, John"	Liberal	TAS
"WATSON, Sam"	A.I.P.P.	QLD
"WEBSTER, Alasdair"	Call to Australia (Fred Nile) Group	NSW
"WEBSTER, Elaine"	Call to Australia (Fred Nile) Group	NSW
"WELLS, Geoffrey A"	Natural Law Party	SA
"WELSH, Lorraine"	The Seniors	NSW
"WEST, Sue"	Australian Labor Party	NSW
"WHEELWRIGHT, Tom"	Australian Labor Party	NSW
"WHITE, Marj"	Democrats	VIC
"WHITE, Ros"	Natural Law Party	WA
"WIKBLOM, Stephen"	Australians Against Further Immigration	SA
"WOHLTMANN, Jeanette"		SA
"WOHLTMANN, Michael"		SA
"WOOD, Colin F"	Australian Shooters Party	VIC
"WOODS, Bob"	Liberal	NSW

"YOUNG, Phillip James"		QLD
"YUILLE, Lizbeth"	Australian Women's Party	QLD
