Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Oatley (Banks)		                             	9	2	 	235	52.34	 	6	1.34	 	0	0	 	1	0.22	 	15	3.34	 	103	22.94	 	68	15.14	 	1	0.22	 	3	0.67	 	0	0	 	0	0	 	0	0	 	1	0.22	 	0	0	 	0	0	 	0	0	 	7	1.56	 	0	0	 	449	98.25	 	8	1.75	 	457	0.6
Oatley West		                                	28	1.14	 	1097	44.7	 	55	2.24	 	4	0.16	 	7	0.29	 	76	3.1	 	646	26.32	 	441	17.97	 	1	0.04	 	22	0.9	 	0	0	 	3	0.12	 	1	0.04	 	4	0.16	 	2	0.08	 	0	0	 	3	0.12	 	59	2.4	 	5	0.2	 	2454	96.39	 	92	3.61	 	2546	3.32
Padstow		                                    	52	1.42	 	1143	31.31	 	89	2.44	 	3	0.08	 	8	0.22	 	186	5.09	 	1606	43.99	 	355	9.72	 	4	0.11	 	55	1.51	 	2	0.05	 	8	0.22	 	1	0.03	 	3	0.08	 	13	0.36	 	3	0.08	 	20	0.55	 	94	2.57	 	6	0.16	 	3651	95.05	 	190	4.95	 	3841	5.01
Padstow East		                               	18	1.98	 	287	31.57	 	5	0.55	 	1	0.11	 	2	0.22	 	41	4.51	 	410	45.1	 	84	9.24	 	0	0	 	13	1.43	 	0	0	 	4	0.44	 	0	0	 	0	0	 	1	0.11	 	0	0	 	3	0.33	 	35	3.85	 	5	0.55	 	909	95.48	 	43	4.52	 	952	1.24
Padstow North		                              	30	2.53	 	385	32.43	 	23	1.94	 	2	0.17	 	2	0.17	 	71	5.98	 	460	38.75	 	116	9.77	 	1	0.08	 	18	1.52	 	1	0.08	 	6	0.51	 	0	0	 	2	0.17	 	23	1.94	 	1	0.08	 	4	0.34	 	38	3.2	 	4	0.34	 	1187	94.96	 	63	5.04	 	1250	1.63
Padstow South		                              	37	1.24	 	1190	39.97	 	55	1.85	 	3	0.1	 	9	0.3	 	202	6.79	 	994	33.39	 	331	11.12	 	4	0.13	 	38	1.28	 	0	0	 	8	0.27	 	0	0	 	1	0.03	 	9	0.3	 	2	0.07	 	15	0.5	 	74	2.49	 	5	0.17	 	2977	95.29	 	147	4.71	 	3124	4.07
Panania		                                    	25	1.22	 	697	33.88	 	26	1.26	 	4	0.19	 	7	0.34	 	116	5.64	 	851	41.37	 	217	10.55	 	3	0.15	 	31	1.51	 	0	0	 	15	0.73	 	0	0	 	0	0	 	1	0.05	 	0	0	 	9	0.44	 	54	2.63	 	1	0.05	 	2057	94.44	 	121	5.56	 	2178	2.84
Panania Central		                            	27	1.54	 	527	30.06	 	22	1.25	 	2	0.11	 	6	0.34	 	154	8.78	 	727	41.47	 	212	12.09	 	0	0	 	20	1.14	 	0	0	 	4	0.23	 	0	0	 	0	0	 	0	0	 	4	0.23	 	7	0.4	 	40	2.28	 	1	0.06	 	1753	96.05	 	72	3.95	 	1825	2.38
Panania North		                              	35	1.86	 	604	32.08	 	15	0.8	 	2	0.11	 	10	0.53	 	99	5.26	 	825	43.81	 	202	10.73	 	3	0.16	 	26	1.38	 	0	0	 	4	0.21	 	0	0	 	0	0	 	3	0.16	 	1	0.05	 	7	0.37	 	41	2.18	 	6	0.32	 	1883	96.66	 	65	3.34	 	1948	2.54
Panania South		                              	53	1.69	 	1191	37.95	 	47	1.5	 	2	0.06	 	15	0.48	 	247	7.87	 	1029	32.79	 	357	11.38	 	0	0	 	56	1.78	 	0	0	 	13	0.41	 	0	0	 	1	0.03	 	5	0.16	 	3	0.1	 	16	0.51	 	101	3.22	 	2	0.06	 	3138	96.2	 	124	3.8	 	3262	4.25
Peakhurst		                                  	10	1.78	 	187	33.27	 	4	0.71	 	0	0	 	1	0.18	 	27	4.8	 	250	44.48	 	65	11.57	 	0	0	 	5	0.89	 	0	0	 	1	0.18	 	0	0	 	0	0	 	1	0.18	 	1	0.18	 	1	0.18	 	6	1.07	 	3	0.53	 	562	95.25	 	28	4.75	 	590	0.77
Peakhurst East		                             	23	1.42	 	541	33.44	 	24	1.48	 	1	0.06	 	2	0.12	 	61	3.77	 	667	41.22	 	234	14.46	 	0	0	 	11	0.68	 	0	0	 	9	0.56	 	0	0	 	3	0.19	 	3	0.19	 	2	0.12	 	12	0.74	 	20	1.24	 	5	0.31	 	1618	94.45	 	95	5.55	 	1713	2.23
Peakhurst South		                            	37	1.91	 	914	47.06	 	23	1.18	 	2	0.1	 	6	0.31	 	90	4.63	 	496	25.54	 	302	15.55	 	2	0.1	 	16	0.82	 	0	0	 	2	0.1	 	0	0	 	1	0.05	 	1	0.05	 	0	0	 	2	0.1	 	44	2.27	 	4	0.21	 	1942	97.05	 	59	2.95	 	2001	2.61
Peakhurst West		                             	46	1.66	 	1137	41.05	 	47	1.7	 	1	0.04	 	5	0.18	 	97	3.5	 	969	34.98	 	339	12.24	 	3	0.11	 	18	0.65	 	1	0.04	 	5	0.18	 	1	0.04	 	2	0.07	 	11	0.4	 	0	0	 	7	0.25	 	70	2.53	 	11	0.4	 	2770	96.11	 	112	3.89	 	2882	3.76
Penshurst Central		                          	36	1.59	 	707	31.16	 	31	1.37	 	6	0.26	 	2	0.09	 	84	3.7	 	1053	46.41	 	253	11.15	 	1	0.04	 	17	0.75	 	1	0.04	 	7	0.31	 	1	0.04	 	0	0	 	3	0.13	 	3	0.13	 	11	0.48	 	47	2.07	 	6	0.26	 	2269	95.34	 	111	4.66	 	2380	3.1
Picnic Point North		                         	20	0.97	 	808	39.22	 	38	1.84	 	3	0.15	 	4	0.19	 	159	7.72	 	659	31.99	 	265	12.86	 	0	0	 	15	0.73	 	0	0	 	11	0.53	 	0	0	 	0	0	 	3	0.15	 	2	0.1	 	10	0.49	 	56	2.72	 	7	0.34	 	2060	97.17	 	60	2.83	 	2120	2.76
Punchbowl (Banks)		                          	32	1.45	 	507	22.91	 	21	0.95	 	2	0.09	 	7	0.32	 	39	1.76	 	1384	62.54	 	149	6.73	 	4	0.18	 	16	0.72	 	0	0	 	8	0.36	 	1	0.05	 	3	0.14	 	1	0.05	 	1	0.05	 	12	0.54	 	26	1.17	 	0	0	 	2213	91.75	 	199	8.25	 	2412	3.14
Revesby		                                    	21	1.41	 	416	27.86	 	17	1.14	 	4	0.27	 	3	0.2	 	91	6.1	 	745	49.9	 	122	8.17	 	2	0.13	 	15	1	 	0	0	 	10	0.67	 	0	0	 	0	0	 	3	0.2	 	2	0.13	 	12	0.8	 	27	1.81	 	3	0.2	 	1493	92.91	 	114	7.09	 	1607	2.09
Revesby North		                              	54	1.7	 	972	30.64	 	52	1.64	 	4	0.13	 	5	0.16	 	196	6.18	 	1413	44.55	 	305	9.62	 	3	0.09	 	41	1.29	 	0	0	 	18	0.57	 	1	0.03	 	3	0.09	 	6	0.19	 	2	0.06	 	22	0.69	 	65	2.05	 	10	0.32	 	3172	94.07	 	200	5.93	 	3372	4.4
Revesby South		                              	41	1.7	 	817	33.97	 	39	1.62	 	1	0.04	 	10	0.42	 	151	6.28	 	934	38.84	 	278	11.56	 	2	0.08	 	29	1.21	 	2	0.08	 	8	0.33	 	0	0	 	0	0	 	14	0.58	 	0	0	 	9	0.37	 	63	2.62	 	7	0.29	 	2405	96.01	 	100	3.99	 	2505	3.26
Riverwood North		                            	28	1.89	 	332	22.37	 	12	0.81	 	3	0.2	 	5	0.34	 	36	2.43	 	887	59.77	 	132	8.89	 	0	0	 	11	0.74	 	1	0.07	 	5	0.34	 	4	0.27	 	1	0.07	 	2	0.13	 	2	0.13	 	9	0.61	 	13	0.88	 	1	0.07	 	1484	91.55	 	137	8.45	 	1621	2.11
Riverwood South		                            	21	1.56	 	486	36.08	 	10	0.74	 	2	0.15	 	5	0.37	 	42	3.12	 	579	42.98	 	153	11.36	 	0	0	 	10	0.74	 	0	0	 	2	0.15	 	0	0	 	1	0.07	 	1	0.07	 	1	0.07	 	5	0.37	 	28	2.08	 	1	0.07	 	1347	92.64	 	107	7.36	 	1454	1.9
Sydney (Banks)		                             	2	2.47	 	21	25.93	 	0	0	 	1	1.23	 	0	0	 	4	4.94	 	38	46.91	 	13	16.05	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.23	 	0	0	 	0	0	 	1	1.23	 	0	0	 	81	95.29	 	4	4.71	 	85	0.11
Special Hospitals		                          	2	1.18	 	87	51.48	 	0	0	 	0	0	 	0	0	 	1	0.59	 	69	40.83	 	7	4.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.59	 	1	0.59	 	0	0	 	1	0.59	 	0	0	 	0	0	 	169	99.41	 	1	0.59	 	170	0.22
Total Ordinary		                             	1009	1.57	 	23151	35.99	 	991	1.54	 	88	0.14	 	170	0.26	 	3150	4.9	 	25317	39.35	 	7342	11.41	 	45	0.07	 	723	1.12	 	12	0.02	 	213	0.33	 	13	0.02	 	35	0.05	 	143	0.22	 	45	0.07	 	262	0.41	 	1469	2.28	 	156	0.24	 	64334	95.11	 	3308	4.89	 	67642	88.16
ABSENT		                                     	86	2.11	 	1397	34.32	 	109	2.68	 	13	0.32	 	5	0.12	 	158	3.88	 	1635	40.17	 	440	10.81	 	2	0.05	 	54	1.33	 	0	0	 	25	0.61	 	1	0.02	 	3	0.07	 	3	0.07	 	3	0.07	 	24	0.59	 	104	2.56	 	8	0.2	 	4070	97.35	 	111	2.65	 	4181	5.45
POSTAL		                                     	43	2.01	 	845	39.41	 	33	1.54	 	6	0.28	 	16	0.75	 	77	3.59	 	846	39.46	 	195	9.1	 	1	0.05	 	16	0.75	 	0	0	 	5	0.23	 	0	0	 	0	0	 	6	0.28	 	1	0.05	 	5	0.23	 	48	2.24	 	1	0.05	 	2144	97.45	 	56	2.55	 	2200	2.87
PRE_POLL		                                   	40	1.82	 	837	38.17	 	61	2.78	 	0	0	 	5	0.23	 	67	3.06	 	840	38.3	 	227	10.35	 	0	0	 	29	1.32	 	0	0	 	5	0.23	 	1	0.05	 	2	0.09	 	4	0.18	 	2	0.09	 	17	0.78	 	52	2.37	 	4	0.18	 	2193	97.21	 	63	2.79	 	2256	2.94
PROVISIONAL		                                	6	1.41	 	128	29.98	 	5	1.17	 	3	0.7	 	0	0	 	23	5.39	 	211	49.41	 	22	5.15	 	0	0	 	12	2.81	 	0	0	 	3	0.7	 	1	0.23	 	0	0	 	2	0.47	 	2	0.47	 	3	0.7	 	5	1.17	 	1	0.23	 	427	96.17	 	17	3.83	 	444	0.58
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1184	1.62	 	26358	36.02	 	1199	1.64	 	110	0.15	 	196	0.27	 	3475	4.75	 	28849	39.43	 	8226	11.24	 	48	0.07	 	834	1.14	 	12	0.02	 	251	0.34	 	16	0.02	 	40	0.05	 	158	0.22	 	53	0.07	 	311	0.43	 	1678	2.29	 	170	0.23	 	73168	95.37	 	3555	4.63	 	76723	97.21
 																																																																			


Barton (80179)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allawah		                                    	23	1.56	 	509	34.63	 	35	2.38	 	1	0.07	 	2	0.14	 	16	1.09	 	684	46.53	 	134	9.12	 	1	0.07	 	16	1.09	 	0	0	 	7	0.48	 	0	0	 	2	0.14	 	0	0	 	2	0.14	 	7	0.48	 	29	1.97	 	2	0.14	 	1470	95.15	 	75	4.85	 	1545	1.98
Allawah South		                              	20	2.38	 	300	35.76	 	10	1.19	 	2	0.24	 	2	0.24	 	23	2.74	 	379	45.17	 	72	8.58	 	0	0	 	3	0.36	 	0	0	 	1	0.12	 	0	0	 	2	0.24	 	0	0	 	0	0	 	3	0.36	 	21	2.5	 	1	0.12	 	839	93.85	 	55	6.15	 	894	1.15
Arncliffe		                                  	17	1.77	 	301	31.29	 	21	2.18	 	2	0.21	 	1	0.1	 	14	1.46	 	473	49.17	 	83	8.63	 	0	0	 	10	1.04	 	0	0	 	3	0.31	 	0	0	 	0	0	 	2	0.21	 	0	0	 	4	0.42	 	28	2.91	 	3	0.31	 	962	92.68	 	76	7.32	 	1038	1.33
Arncliffe East		                             	18	1.59	 	269	23.7	 	21	1.85	 	9	0.79	 	3	0.26	 	15	1.32	 	661	58.24	 	90	7.93	 	2	0.18	 	19	1.67	 	0	0	 	5	0.44	 	0	0	 	0	0	 	1	0.09	 	0	0	 	11	0.97	 	10	0.88	 	1	0.09	 	1135	92.8	 	88	7.2	 	1223	1.57
Athelstane		                                 	27	0.9	 	745	24.73	 	60	1.99	 	11	0.37	 	7	0.23	 	37	1.23	 	1808	60.01	 	210	6.97	 	4	0.13	 	30	1	 	4	0.13	 	11	0.37	 	1	0.03	 	1	0.03	 	1	0.03	 	5	0.17	 	14	0.46	 	29	0.96	 	8	0.27	 	3013	93.6	 	206	6.4	 	3219	4.13
Bald Face		                                  	14	0.99	 	987	69.85	 	16	1.13	 	3	0.21	 	2	0.14	 	21	1.49	 	216	15.29	 	95	6.72	 	3	0.21	 	7	0.5	 	1	0.07	 	2	0.14	 	0	0	 	2	0.14	 	1	0.07	 	1	0.07	 	4	0.28	 	37	2.62	 	1	0.07	 	1413	96.38	 	53	3.62	 	1466	1.88
Banksia		                                    	26	1.39	 	359	19.18	 	24	1.28	 	19	1.01	 	4	0.21	 	18	0.96	 	1249	66.72	 	117	6.25	 	6	0.32	 	8	0.43	 	0	0	 	4	0.21	 	1	0.05	 	0	0	 	1	0.05	 	1	0.05	 	9	0.48	 	24	1.28	 	2	0.11	 	1872	91.05	 	184	8.95	 	2056	2.64
Bell Park		                                  	9	0.94	 	385	40.23	 	18	1.88	 	5	0.52	 	0	0	 	12	1.25	 	369	38.56	 	122	12.75	 	1	0.1	 	12	1.25	 	0	0	 	3	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.31	 	16	1.67	 	2	0.21	 	957	95.8	 	42	4.2	 	999	1.28
Bexley		                                     	32	1.51	 	640	30.17	 	24	1.13	 	15	0.71	 	6	0.28	 	24	1.13	 	1136	53.56	 	179	8.44	 	1	0.05	 	14	0.66	 	0	0	 	4	0.19	 	0	0	 	1	0.05	 	1	0.05	 	0	0	 	9	0.42	 	30	1.41	 	5	0.24	 	2121	93.39	 	150	6.61	 	2271	2.91
Bexley Central		                             	17	1.8	 	263	27.77	 	16	1.69	 	4	0.42	 	0	0	 	13	1.37	 	505	53.33	 	92	9.71	 	1	0.11	 	7	0.74	 	1	0.11	 	4	0.42	 	0	0	 	0	0	 	0	0	 	1	0.11	 	5	0.53	 	18	1.9	 	0	0	 	947	95.56	 	44	4.44	 	991	1.27
Blakehurst		                                 	16	1.68	 	497	52.32	 	17	1.79	 	3	0.32	 	0	0	 	15	1.58	 	275	28.95	 	79	8.32	 	0	0	 	9	0.95	 	0	0	 	3	0.32	 	1	0.11	 	1	0.11	 	2	0.21	 	3	0.32	 	3	0.32	 	21	2.21	 	5	0.53	 	950	94.72	 	53	5.28	 	1003	1.29
Bona Park		                                  	21	2.64	 	333	41.94	 	10	1.26	 	3	0.38	 	3	0.38	 	6	0.76	 	320	40.3	 	63	7.93	 	0	0	 	13	1.64	 	0	0	 	3	0.38	 	1	0.13	 	0	0	 	2	0.25	 	0	0	 	1	0.13	 	14	1.76	 	1	0.13	 	794	93.74	 	53	6.26	 	847	1.09
Brighton-Le-Sands		                          	24	1.16	 	741	35.85	 	39	1.89	 	5	0.24	 	4	0.19	 	21	1.02	 	995	48.14	 	164	7.93	 	0	0	 	18	0.87	 	2	0.1	 	9	0.44	 	0	0	 	2	0.1	 	1	0.05	 	0	0	 	12	0.58	 	29	1.4	 	1	0.05	 	2067	93.87	 	135	6.13	 	2202	2.83
Brighton North		                             	27	1.24	 	785	36.08	 	33	1.52	 	12	0.55	 	7	0.32	 	24	1.1	 	1084	49.82	 	134	6.16	 	1	0.05	 	29	1.33	 	0	0	 	6	0.28	 	0	0	 	1	0.05	 	1	0.05	 	5	0.23	 	10	0.46	 	12	0.55	 	5	0.23	 	2176	92.05	 	188	7.95	 	2364	3.03
Broadford Street		                           	9	1.29	 	174	24.93	 	13	1.86	 	0	0	 	1	0.14	 	11	1.58	 	394	56.45	 	66	9.46	 	0	0	 	10	1.43	 	0	0	 	2	0.29	 	0	0	 	0	0	 	1	0.14	 	1	0.14	 	4	0.57	 	11	1.58	 	1	0.14	 	698	91.96	 	61	8.04	 	759	0.97
Carlton		                                    	27	1.34	 	534	26.46	 	36	1.78	 	5	0.25	 	7	0.35	 	23	1.14	 	1146	56.79	 	157	7.78	 	0	0	 	26	1.29	 	1	0.05	 	16	0.79	 	0	0	 	1	0.05	 	1	0.05	 	2	0.1	 	10	0.5	 	24	1.19	 	2	0.1	 	2018	93.64	 	137	6.36	 	2155	2.77
Carlton North		                              	30	2.5	 	368	30.64	 	19	1.58	 	4	0.33	 	1	0.08	 	11	0.92	 	623	51.87	 	96	7.99	 	0	0	 	8	0.67	 	0	0	 	6	0.5	 	0	0	 	0	0	 	4	0.33	 	0	0	 	8	0.67	 	18	1.5	 	5	0.42	 	1201	94.05	 	76	5.95	 	1277	1.64
Carss Park		                                 	15	1.51	 	568	57.09	 	18	1.81	 	6	0.6	 	3	0.3	 	15	1.51	 	234	23.52	 	95	9.55	 	3	0.3	 	9	0.9	 	0	0	 	3	0.3	 	0	0	 	0	0	 	3	0.3	 	0	0	 	3	0.3	 	17	1.71	 	3	0.3	 	995	96.51	 	36	3.49	 	1031	1.32
Clareville Park		                            	34	1.55	 	1095	49.77	 	34	1.55	 	2	0.09	 	4	0.18	 	38	1.73	 	754	34.27	 	168	7.64	 	1	0.05	 	16	0.73	 	1	0.05	 	4	0.18	 	0	0	 	0	0	 	5	0.23	 	2	0.09	 	5	0.23	 	31	1.41	 	6	0.27	 	2200	94.22	 	135	5.78	 	2335	3
Connells Point		                             	34	1.18	 	1751	60.59	 	72	2.49	 	5	0.17	 	8	0.28	 	42	1.45	 	627	21.7	 	214	7.4	 	1	0.03	 	29	1	 	1	0.03	 	6	0.21	 	0	0	 	1	0.03	 	5	0.17	 	2	0.07	 	13	0.45	 	72	2.49	 	7	0.24	 	2890	97.11	 	86	2.89	 	2976	3.82
Hurstville Central		                         	13	1.09	 	479	40.22	 	19	1.6	 	0	0	 	0	0	 	21	1.76	 	502	42.15	 	111	9.32	 	1	0.08	 	14	1.18	 	0	0	 	10	0.84	 	2	0.17	 	4	0.34	 	1	0.08	 	2	0.17	 	3	0.25	 	4	0.34	 	5	0.42	 	1191	94.15	 	74	5.85	 	1265	1.62
Hurstville Grove		                           	31	1.36	 	978	43.03	 	34	1.5	 	4	0.18	 	4	0.18	 	47	2.07	 	802	35.28	 	266	11.7	 	2	0.09	 	17	0.75	 	0	0	 	6	0.26	 	0	0	 	1	0.04	 	5	0.22	 	2	0.09	 	8	0.35	 	60	2.64	 	6	0.26	 	2273	95.03	 	119	4.97	 	2392	3.07
Hurstville South		                           	14	2.46	 	247	43.41	 	7	1.23	 	2	0.35	 	2	0.35	 	22	3.87	 	202	35.5	 	46	8.08	 	2	0.35	 	7	1.23	 	0	0	 	3	0.53	 	0	0	 	1	0.18	 	0	0	 	2	0.35	 	1	0.18	 	8	1.41	 	3	0.53	 	569	96.11	 	23	3.89	 	592	0.76
Jubilee		                                    	41	1.42	 	1017	35.11	 	70	2.42	 	10	0.35	 	4	0.14	 	36	1.24	 	1337	46.15	 	262	9.04	 	3	0.1	 	34	1.17	 	0	0	 	12	0.41	 	1	0.03	 	0	0	 	9	0.31	 	0	0	 	15	0.52	 	45	1.55	 	1	0.03	 	2897	95.01	 	152	4.99	 	3049	3.91
Kogarah		                                    	17	1.6	 	271	25.47	 	12	1.13	 	4	0.38	 	2	0.19	 	25	2.35	 	580	54.51	 	112	10.53	 	3	0.28	 	3	0.28	 	0	0	 	3	0.28	 	0	0	 	1	0.09	 	5	0.47	 	0	0	 	6	0.56	 	17	1.6	 	3	0.28	 	1064	95.26	 	53	4.74	 	1117	1.43
Kogarah Bay		                                	26	2.67	 	517	53.08	 	10	1.03	 	2	0.21	 	3	0.31	 	13	1.33	 	282	28.95	 	71	7.29	 	1	0.1	 	9	0.92	 	0	0	 	1	0.1	 	0	0	 	0	0	 	2	0.21	 	3	0.31	 	5	0.51	 	24	2.46	 	5	0.51	 	974	95.4	 	47	4.6	 	1021	1.31
Kogarah Central		                            	6	0.6	 	269	27.06	 	21	2.11	 	5	0.5	 	2	0.2	 	15	1.51	 	553	55.63	 	94	9.46	 	3	0.3	 	7	0.7	 	1	0.1	 	3	0.3	 	0	0	 	0	0	 	2	0.2	 	1	0.1	 	4	0.4	 	7	0.7	 	1	0.1	 	994	95.58	 	46	4.42	 	1040	1.33
Kyeemagh		                                   	10	1.48	 	195	28.93	 	7	1.04	 	15	2.23	 	1	0.15	 	6	0.89	 	367	54.45	 	43	6.38	 	1	0.15	 	16	2.37	 	0	0	 	3	0.45	 	0	0	 	0	0	 	2	0.3	 	0	0	 	0	0	 	5	0.74	 	3	0.45	 	674	92.46	 	55	7.54	 	729	0.94
Monterey		                                   	40	1.93	 	890	43.02	 	25	1.21	 	7	0.34	 	7	0.34	 	28	1.35	 	854	41.28	 	157	7.59	 	3	0.14	 	22	1.06	 	0	0	 	3	0.14	 	0	0	 	0	0	 	1	0.05	 	0	0	 	9	0.43	 	19	0.92	 	4	0.19	 	2069	93.2	 	151	6.8	 	2220	2.85
Moorefield		                                 	14	1.66	 	341	40.45	 	9	1.07	 	5	0.59	 	5	0.59	 	16	1.9	 	360	42.7	 	59	7	 	1	0.12	 	7	0.83	 	0	0	 	3	0.36	 	0	0	 	0	0	 	2	0.24	 	1	0.12	 	5	0.59	 	11	1.3	 	4	0.47	 	843	93.05	 	63	6.95	 	906	1.16
Mortdale East		                              	14	1.28	 	456	41.53	 	27	2.46	 	4	0.36	 	3	0.27	 	26	2.37	 	371	33.79	 	131	11.93	 	0	0	 	9	0.82	 	0	0	 	5	0.46	 	0	0	 	1	0.09	 	1	0.09	 	2	0.18	 	2	0.18	 	43	3.92	 	3	0.27	 	1098	95.64	 	50	4.36	 	1148	1.47
Oatley (Barton)		                            	41	1.78	 	1123	48.7	 	46	1.99	 	3	0.13	 	5	0.22	 	55	2.39	 	609	26.41	 	279	12.1	 	1	0.04	 	42	1.82	 	0	0	 	5	0.22	 	1	0.04	 	0	0	 	5	0.22	 	0	0	 	10	0.43	 	69	2.99	 	12	0.52	 	2306	97.05	 	70	2.95	 	2376	3.05
