ALP	4	2	1196619	37.56	74734	35.33	15579	46.78	49540	33.41	34440	33.29	6	1370918	37.23
DEM	4	1	306005	9.61	21731	10.27	2291	6.88	13340	9.00	8123	7.85	1	351491	9.55
GRN	4	0	79461	2.49	9646	4.56	1782	5.35	5006	3.38	2027	1.96	6	97928	2.66
CTA	5	0	63668	2.00	4297	2.03	410	1.23	2616	1.76	1982	1.92	-4	72969	1.98
Other	42	0	227962	7.16	18073	8.54	3238	9.72	10072	6.79	6973	6.74	-63	266255	7.23
FORMAL			3185804	95.99	211515	97.91	33303	96.34	148286	98.36	103445	98.20	-70	3682283	96.25
INFORMAL			133236	4.01	4515	2.09	1264	3.66	2472	1.64	1897	1.80	4	143388	3.75
TOTAL			3319040	86.76	216030	5.65	34567	0.90	150758	3.94	105342	2.75	-66	3825671	96.71
															
															
Victoria															
Enrolment 2972635															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LNP	6	3	994042	41.28	56112	38.58	7530	31.37	41922	44.31	47012	49.43	37	1146655	41.43
ALP	4	2	967172	40.16	55485	38.15	11773	49.04	34678	36.65	32368	34.03	21	1101497	39.80
DEM	4	1	263545	10.94	17795	12.24	2124	8.85	9093	9.61	8295	8.72	-4	300848	10.87
ASP	3	0	16576	0.69	1249	0.86	209	0.87	815	0.86	716	0.75	8	19573	0.71
CTA	2	0	14228	0.59	959	0.66	99	0.41	585	0.62	636	0.67	-10	16497	0.60
DLP	6	0	30694	1.27	2450	1.68	466	1.94	1401	1.48	1131	1.19	14	36156	1.31
NLP	2	0	5528	0.23	633	0.44	112	0.47	234	0.25	174	0.18	0	6681	0.24
Other	17	0	116515	4.84	10743	7.39	1692	7.05	5889	6.22	4772	5.02	-33	139578	5.04
FORMAL			2408300	96.21	145426	97.90	24005	96.49	94617	98.35	95104	98.60	33	2767485	96.45
INFORMAL			94761	3.79	3124	2.10	872	3.51	1587	1.65	1354	1.40	91	101789	3.55
TOTAL			2503061	87.24	148550	5.18	24877	0.87	96204	3.35	96458	3.36	124	2869274	96.52
															
															
Queensland															
Enrolment 2091384															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	3	2	570542	35.05	45704	35.50	3917	29.72	32438	42.76	27960	35.51	-8	680553	35.36
NP	3	1	246410	15.14	15651	12.16	1387	10.53	8425	11.10	16319	20.73	7	288199	14.98
ALP	3	2	495599	30.44	38603	29.98	5138	38.99	21163	27.89	23356	29.66	-9	583850	30.34
DEM	4	1	220184	13.52	17196	13.36	1382	10.49	8093	10.67	7363	9.35	1	254219	13.21
GRN	3	0	36525	2.24	5447	4.23	662	5.02	2552	3.36	1109	1.41	-10	46285	2.41
CTA	2	0	7825	0.48	705	0.55	73	0.55	496	0.65	444	0.56	0	9543	0.50
Other	30	0	50902	3.13	5450	4.23	619	4.70	2702	3.56	2185	2.78	-45	61813	3.21
FORMAL			1627987	96.47	128756	98.31	13178	96.71	75869	98.60	78736	98.03	-64	1924462	96.73
INFORMAL			59577	3.53	2217	1.69	449	3.29	1075	1.40	1585	1.97	76	64979	3.27
TOTAL			1687564	84.83	130973	6.58	13627	0.68	76944	3.87	80321	4.04	12	1989441	95.13
															
															
Western Australia															
Enrolment 1088487															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	6	3	384685	45.40	34900	44.23	4572	36.07	19015	48.80	13096	50.73	111	456379	45.44
NP	2	0	17035	2.01	2228	2.82	187	1.48	690	1.77	715	2.77	22	20877	2.08
ALP	4	2	291074	34.35	25293	32.06	5331	42.05	11956	30.68	7653	29.64	273	341580	34.01
DEM	3	1	80133	9.46	7217	9.15	980	7.73	3497	8.97	2069	8.01	42	93938	9.35
GWA	2	0	46138	5.44	6101	7.73	1090	8.60	2473	6.35	1175	4.55	29	57006	5.68
CTA	2	0	6011	0.71	581	0.74	59	0.47	206	0.53	156	0.60	15	7028	0.70
Other	10	0	22281	2.63	2577	3.27	458	3.61	1128	2.89	953	3.69	94	27491	2.74
FORMAL			847357	96.18	78897	97.81	12677	96.96	38965	98.47	25817	98.47	586	1004299	96.51
INFORMAL			33679	3.82	1764	2.19	398	3.04	605	1.53	401	1.53	-478	36369	3.49
TOTAL			881036	84.66	80661	7.75	13075	1.26	39570	3.80	26218	2.52	108	1040668	95.61
															
															
South Australia															
Enrolment 1001006															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	4	3	373788	46.00	22638	42.34	3985	33.55	12327	46.30	15313	52.40	2	428053	45.84
ALP	3	2	262109	32.26	17279	32.32	4975	41.88	8311	31.21	8423	28.82	-3	301094	32.24
DEM	4	1	118850	14.63	8470	15.84	1645	13.85	3563	13.38	3203	10.96	-1	135730	14.54
GRN	2	0	15542	1.91	1962	3.67	522	4.39	944	3.55	471	1.61	0	19441	2.08
CTA	2	0	5886	0.72	433	0.81	66	0.56	213	0.80	219	0.75	0	6817	0.73
Other	16	0	36409	4.48	2681	5.01	686	5.77	1269	4.77	1597	5.46	-1	42641	4.57
FORMAL			812584	96.51	53463	98.01	11879	97.09	26627	98.55	29226	98.80	-3	933776	96.73
INFORMAL			29360	3.49	1086	1.99	356	2.91	392	1.45	356	1.20	2	31552	3.27
TOTAL			841944	87.22	54549	5.65	12235	1.27	27019	2.80	29582	3.06	-1	965328	96.44
															
															
Tasmania															
Enrolment 329304															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	3	3	109854	42.45	8544	40.55	985	28.97	5126	41.32	6043	45.36	0	130552	42.25
ALP	3	2	102077	39.45	7870	37.35	1731	50.91	4164	33.57	4836	36.30	0	120678	39.06
DEM	3	0	18341	7.09	1678	7.96	185	5.44	944	7.61	858	6.44	0	22006	7.12
CTA	2	0	1236	0.48	106	0.50	19	0.56	69	0.56	89	0.67	0	1519	0.49
Other	8	1	27267	10.54	2871	13.63	480	14.12	2102	16.94	1495	11.22	0	34215	11.07
FORMAL			258775	96.63	21069	97.93	3400	97.17	12405	97.97	13321	98.11	0	308970	96.84
INFORMAL			9026	3.37	445	2.07	99	2.83	257	2.03	256	1.89	0	10083	3.16
TOTAL			267801	83.94	21514	6.74	3499	1.10	12662	3.97	13577	4.26	0	319053	96.89
															
															
Australian Capital Territory															
Enrolment 203170															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	2	1	60836	39.33	1692	32.96	573	29.57	9393	37.71	2455	45.51	0	74949	39.02
ALP	2	1	65817	42.55	2459	47.90	993	51.24	10631	42.68	1966	36.44	0	81866	42.63
DEM	2	0	15859	10.25	407	7.93	148	7.64	2599	10.43	577	10.70	0	19590	10.20
GRN	2	0	8567	5.54	440	8.57	181	9.34	1831	7.35	278	5.15	0	11297	5.88
Other	6	0	3603	2.33	136	2.65	43	2.22	454	1.82	119	2.21	0	4355	2.27
FORMAL			154682	97.34	5134	97.57	1938	98.03	24908	98.42	5395	98.76	0	192057	97.53
INFORMAL			4225	2.66	128	2.43	39	1.97	400	1.58	68	1.24	0	4860	2.47
TOTAL			158907	80.70	5262	2.67	1977	1.00	25308	12.85	5463	2.77	0	196917	96.92
															
															
Northern Territory															
Enrolment 98800															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
CLP	2	1	34849	46.09	0	0.00	427	36.06	3169	50.41	1605	61.14	0	40050	46.73
ALP	2	1	34760	45.97	0	0.00	662	55.91	2456	39.07	789	30.06	0	38667	45.12
GRN	2	0	4737	6.27	0	0.00	77	6.50	490	7.80	149	5.68	0	5453	6.36
Other	1	0	1264	1.67	0	0.00	18	1.52	171	2.72	82	3.12	0	1535	1.79
FORMAL			75610	97.09	0	0.00	1184	95.95	6286	98.59	2625	99.32	0	85705	97.25
INFORMAL			2264	2.91	0	0.00	50	4.05	90	1.41	18	0.68	0	2422	2.75
TOTAL			77874	88.37	0	0.00	1234	1.40	6376	7.24	2643	3.00	0	88127	89.20
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
