Senate - 1996 Election 																
First Preference Votes by Candidate																
By Vote Type by State																
																
New South Wales																
																
Enrolment 3955782																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		"ANDERSON, Troy"	DEM	653	0.02	56	0.03	7	0.02	41	0.03	33	0.03	1	791	0.02
		Group Total	DEM	306005	9.61	21731	10.27	2291	6.88	13340	9.00	8123	7.85	1	351491	9.55
I		TICKET VOTES		2899	0.09	202	0.10	54	0.16	285	0.19	44	0.04	-3	3481	0.09
		"SCHOLLBACH, Robert Frederick"		70	0.00	3	0.00	0	0.00	2	0.00	3	0.00	0	78	0.00
		"STIRLING, Amanda Jane"		57	0.00	9	0.00	0	0.00	2	0.00	5	0.00	0	73	0.00
		Group Total		3026	0.09	214	0.10	54	0.16	289	0.19	52	0.05	-3	3632	0.10
J		TICKET VOTES	ASP	60661	1.90	4344	2.05	909	2.73	2419	1.63	1210	1.17	-2	69541	1.89
		"SIMS, Richard"	ASP	3528	0.11	263	0.12	22	0.07	182	0.12	171	0.17	1	4167	0.11
		"BOURKE, Robyn"	ASP	154	0.00	11	0.01	2	0.01	14	0.01	6	0.01	-6	181	0.00
		"REDFERN, Daniel"	ASP	64	0.00	5	0.00	0	0.00	2	0.00	2	0.00	0	73	0.00
		"FRANICH, Rodney"	ASP	59	0.00	7	0.00	1	0.00	2	0.00	1	0.00	0	70	0.00
		Group Total	ASP	64466	2.02	4630	2.19	934	2.80	2619	1.77	1390	1.34	-7	74032	2.01
K		TICKET VOTES		924	0.03	59	0.03	17	0.05	46	0.03	8	0.01	0	1054	0.03
		"GALATI, Tony"		50	0.00	2	0.00	1	0.00	2	0.00	0	0.00	0	55	0.00
		"GALATI, Sam"		17	0.00	1	0.00	0	0.00	1	0.00	0	0.00	0	19	0.00
		Group Total		991	0.03	62	0.03	18	0.05	49	0.03	8	0.01	0	1128	0.03
L		TICKET VOTES	AWP	13160	0.41	1292	0.61	250	0.75	669	0.45	400	0.39	-4	15767	0.43
		"DUNCAN, Darelle"	AWP	1255	0.04	153	0.07	19	0.06	67	0.05	31	0.03	0	1525	0.04
		"THEW, Sarah"	AWP	92	0.00	18	0.01	1	0.00	5	0.00	9	0.01	0	125	0.00
		Group Total	AWP	14507	0.46	1463	0.69	270	0.81	741	0.50	440	0.43	-4	17417	0.47
M		TICKET VOTES		516	0.02	25	0.01	8	0.02	24	0.02	12	0.01	0	585	0.02
		"BUTLER, Robert H"		38	0.00	10	0.00	1	0.00	2	0.00	4	0.00	-1	54	0.00
		"COSGROVE, Lindsay D"		14	0.00	0	0.00	0	0.00	2	0.00	1	0.00	1	18	0.00
		Group Total		568	0.02	35	0.02	9	0.03	28	0.02	17	0.02	0	657	0.02
N		TICKET VOTES	RBR	1917	0.06	182	0.09	37	0.11	130	0.09	67	0.06	0	2333	0.06
		"BREEN, Peter"	ABR	291	0.01	29	0.01	2	0.01	17	0.01	8	0.01	1	348	0.01
		"McNALLY, Kerry"	RPA	74	0.00	9	0.00	1	0.00	3	0.00	5	0.00	0	92	0.00
		"HOUSEGO, Valerie"	ABR	14	0.00	1	0.00	0	0.00	1	0.00	0	0.00	0	16	0.00
		"BEKELE, Assefa"	ABR	7	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	7	0.00
		"FAHEY, Antoinette"	ABR	35	0.00	5	0.00	3	0.01	1	0.00	6	0.01	0	50	0.00
		Group Total	RBR	2338	0.07	226	0.11	43	0.13	152	0.10	86	0.08	1	2846	0.08
O		TICKET VOTES	GRY	3813	0.12	209	0.10	25	0.08	181	0.12	363	0.35	0	4591	0.12
		"VERHEYEN, John"	GRY	460	0.01	21	0.01	1	0.00	13	0.01	35	0.03	-6	524	0.01
		"HETTERSCHEID, Theo"	GRY	4	0.00	0	0.00	0	0.00	1	0.00	0	0.00	-1	4	0.00
		"SEGERSTROM, Bob"	GRY	12	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	12	0.00
		"PICKERING, Olga"	GRY	37	0.00	1	0.00	0	0.00	0	0.00	4	0.00	0	42	0.00
		Group Total	GRY	4326	0.14	231	0.11	26	0.08	195	0.13	402	0.39	-7	5173	0.14
P		TICKET VOTES	NLP	2639	0.08	270	0.13	73	0.22	140	0.09	43	0.04	0	3165	0.09
		"KNOLES, Catherine"	NLP	410	0.01	40	0.02	4	0.01	26	0.02	13	0.01	-2	491	0.01
		"JUDD, Ines"	NLP	39	0.00	2	0.00	0	0.00	3	0.00	2	0.00	0	46	0.00
		Group Total	NLP	3088	0.10	312	0.15	77	0.23	169	0.11	58	0.06	-2	3702	0.10
Q		TICKET VOTES	ABF	14861	0.47	1573	0.74	370	1.11	866	0.58	468	0.45	-1	18137	0.49
		"FINDLAY-BARNES, Teresa"	ABF	610	0.02	56	0.03	8	0.02	27	0.02	34	0.03	0	735	0.02
		"TRIBE, David"	ABF	67	0.00	11	0.01	1	0.00	5	0.00	4	0.00	0	88	0.00
		Group Total	ABF	15538	0.49	1640	0.78	379	1.14	898	0.61	506	0.49	-1	18960	0.51
R		TICKET VOTES	CTA	54434	1.71	3677	1.74	374	1.12	2215	1.49	1630	1.58	-3	62327	1.69
		"WEBSTER, Alasdair"	CTA	8843	0.28	578	0.27	36	0.11	367	0.25	322	0.31	0	10146	0.28
		"WEBSTER, Elaine"	CTA	142	0.00	14	0.01	0	0.00	13	0.01	7	0.01	0	176	0.00
		"McLENNAN, Graham Clarke"	CTA	55	0.00	7	0.00	0	0.00	2	0.00	8	0.01	0	72	0.00
		"BIRD, Bill"	CTA	64	0.00	6	0.00	0	0.00	8	0.01	4	0.00	-1	81	0.00
		"COLEMAN, Bruce"	CTA	130	0.00	15	0.01	0	0.00	11	0.01	11	0.01	0	167	0.00
		Group Total	CTA	63668	2.00	4297	2.03	410	1.23	2616	1.76	1982	1.92	-4	72969	1.98
UNGROUPED																
		"JONES, Morris"	IND	406	0.01	37	0.02	3	0.01	23	0.02	16	0.02	0	485	0.01
		"IVOR, F"	IND	178	0.01	18	0.01	2	0.01	6	0.00	5	0.00	1	210	0.01
		"BARBARA, John"	IND	48	0.00	6	0.00	0	0.00	1	0.00	2	0.00	0	57	0.00
		"HURLEY, Jade"	IND	4423	0.14	173	0.08	24	0.07	66	0.04	79	0.08	0	4765	0.13
		"PINNIGER, Gretel"	IND	318	0.01	29	0.01	7	0.02	12	0.01	16	0.02	0	382	0.01
		"UNDERWOOD, Dian"	IND	377	0.01	20	0.01	3	0.01	18	0.01	15	0.01	0	433	0.01
		"PATTERSON, Ray"	IND	269	0.01	13	0.01	3	0.01	8	0.01	2	0.00	0	295	0.01
		"PIGGIN, David"	IND	23	0.00	2	0.00	0	0.00	4	0.00	2	0.00	0	31	0.00
		"BRADLEY, Bill"	IND	344	0.01	16	0.01	0	0.00	9	0.01	15	0.01	-1	383	0.01
		Ungrouped Total		6386	0.20	314	0.15	42	0.13	147	0.10	152	0.15	0	7041	0.19
			FORMAL	3185804	95.99	211515	97.91	33303	96.34	148286	98.36	103445	98.20	-70	3682283	96.25
			INFORMAL	133236	4.01	4515	2.09	1264	3.66	2472	1.64	1897	1.80	4	143388	3.75
			TOTAL	3319040	86.76	216030	5.65	34567	0.90	150758	3.94	105342	2.75	-66	3825671	96.71



Victoria																
Enrolment 2972635																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CIR	6090	0.25	262	0.18	86	0.36	163	0.17	68	0.07	3	6672	0.24
		"BORZATTI, Will"	CIR	1954	0.08	119	0.08	47	0.20	53	0.06	69	0.07	-2	2240	0.08
		"McKAY, Neil"	CIR	98	0.00	13	0.01	3	0.01	8	0.01	5	0.01	1	128	0.00
		Group Total	CIR	8142	0.34	394	0.27	136	0.57	224	0.24	142	0.15	2	9040	0.33
B		TICKET VOTES	AGV	54952	2.28	6126	4.21	949	3.95	3196	3.38	1864	1.96	5	67092	2.42
		"SINGER, Peter"	AGV	10648	0.44	1004	0.69	88	0.37	623	0.66	459	0.48	-4	12818	0.46
		"ALEXANDER, Karen"	AGV	699	0.03	76	0.05	9	0.04	55	0.06	50	0.05	-9	880	0.03
		"LUCAS, Helen"	AGV	391	0.02	50	0.03	9	0.04	25	0.03	32	0.03	-24	483	0.02
		Group Total	AGV	66690	2.77	7256	4.99	1055	4.39	3899	4.12	2405	2.53	-32	81273	2.94
C		TICKET VOTES	DLP	28375	1.18	2254	1.55	436	1.82	1302	1.38	1026	1.08	24	33417	1.21
		"MULHOLLAND, John"	DLP	1962	0.08	148	0.10	21	0.09	84	0.09	95	0.10	-7	2303	0.08
		"CAHILL, Paul"	DLP	109	0.00	17	0.01	4	0.02	5	0.01	4	0.00	-1	138	0.00
		"ROWE, Michael"	DLP	65	0.00	6	0.00	1	0.00	0	0.00	0	0.00	-1	71	0.00
		"CREA, Pat"	DLP	40	0.00	5	0.00	1	0.00	0	0.00	1	0.00	0	47	0.00
		"CODY, Matthew"	DLP	24	0.00	2	0.00	1	0.00	2	0.00	0	0.00	0	29	0.00
		"DODD, Christine"	DLP	119	0.00	18	0.01	2	0.01	8	0.01	5	0.01	-1	151	0.01
		Group Total	DLP	30694	1.27	2450	1.68	466	1.94	1401	1.48	1131	1.19	14	36156	1.31
D		TICKET VOTES	LNP	966125	40.12	54502	37.48	7312	30.46	40867	43.19	45433	47.77	53	1114292	40.26
	#	"ALSTON, Richard K R"	LP	25279	1.05	1360	0.94	190	0.79	906	0.96	1257	1.32	-14	28978	1.05
	#	"KEMP, Rod"	LP	694	0.03	82	0.06	16	0.07	55	0.06	90	0.09	-5	932	0.03
	#	"PATTERSON, Kay"	LP	908	0.04	82	0.06	6	0.02	39	0.04	98	0.10	2	1135	0.04
		"ETTERY, Robert John"	NP	529	0.02	43	0.03	3	0.01	21	0.02	72	0.08	0	668	0.02
		"HEAD, Robyne L"	LP	189	0.01	20	0.01	1	0.00	16	0.02	26	0.03	0	252	0.01
		"FERNANDEZ, Anthony G"	LP	318	0.01	23	0.02	2	0.01	18	0.02	36	0.04	1	398	0.01
		Group Total	LNP	994042	41.28	56112	38.58	7530	31.37	41922	44.31	47012	49.43	37	1146655	41.43
E		TICKET VOTES	ALP	946664	39.31	54002	37.13	11549	48.11	33648	35.56	31126	32.73	46	1077035	38.92
	#	"RAY, Robert Francis"	ALP	17012	0.71	1164	0.80	166	0.69	789	0.83	980	1.03	-17	20094	0.73
	#	"COONEY, Barney"	ALP	769	0.03	57	0.04	15	0.06	50	0.05	57	0.06	-1	947	0.03
		"GILLARD, Julia"	ALP	1695	0.07	151	0.10	27	0.11	116	0.12	112	0.12	-2	2099	0.08
		"RAYMOND, Melanie"	ALP	1032	0.04	111	0.08	16	0.07	75	0.08	93	0.10	-5	1322	0.05
		Group Total	ALP	967172	40.16	55485	38.15	11773	49.04	34678	36.65	32368	34.03	21	1101497	39.80
F		TICKET VOTES	AFI	29105	1.21	2060	1.42	358	1.49	1237	1.31	1569	1.65	3	34332	1.24
		"McCORMACK, Denis"	AFI	5050	0.21	350	0.24	26	0.11	175	0.18	333	0.35	-1	5933	0.21
		"SPENCER, Robyn Marion"	AFI	280	0.01	22	0.02	3	0.01	15	0.02	20	0.02	2	342	0.01
		Group Total	AFI	34435	1.43	2432	1.67	387	1.61	1427	1.51	1922	2.02	4	40607	1.47
G		TICKET VOTES	DEM	234818	9.75	15877	10.92	1972	8.21	7987	8.44	7142	7.51	15	267811	9.68
	#	"ALLISON, Lyn"	DEM	27283	1.13	1795	1.23	146	0.61	1003	1.06	1057	1.11	96	31380	1.13
		"McLAREN, John"	DEM	461	0.02	37	0.03	2	0.01	27	0.03	35	0.04	-118	444	0.02
		"LEVY, Laurie"	DEM	518	0.02	37	0.03	1	0.00	47	0.05	39	0.04	3	645	0.02
		"WHITE, Marj"	DEM	465	0.02	49	0.03	3	0.01	29	0.03	22	0.02	0	568	0.02
		Group Total	DEM	263545	10.94	17795	12.24	2124	8.85	9093	9.61	8295	8.72	-4	300848	10.87
H		TICKET VOTES	NLP	4730	0.20	552	0.38	109	0.45	209	0.22	143	0.15	5	5748	0.21
		"GRIFFITH, Stephen"	NLP	725	0.03	70	0.05	3	0.01	23	0.02	28	0.03	-4	845	0.03
		"MASON, Ngaire"	NLP	73	0.00	11	0.01	0	0.00	2	0.00	3	0.00	-1	88	0.00
		Group Total	NLP	5528	0.23	633	0.44	112	0.47	234	0.25	174	0.18	0	6681	0.24
I		TICKET VOTES	RBR	1611	0.07	97	0.07	26	0.11	93	0.10	82	0.09	2	1911	0.07
		"DAHAN, Paul"	RPA	238	0.01	22	0.02	3	0.01	25	0.03	8	0.01	0	296	0.01
		"BERGEN, Des"	ABR	36	0.00	2	0.00	0	0.00	1	0.00	2	0.00	1	42	0.00
		Group Total	RBR	1885	0.08	121	0.08	29	0.12	119	0.13	92	0.10	3	2249	0.08
J		TICKET VOTES		1382	0.06	183	0.13	37	0.15	108	0.11	75	0.08	5	1790	0.06
		"TOSCANO, Joe"		176	0.01	9	0.01	4	0.02	6	0.01	16	0.02	-3	208	0.01
		"ROPER, Steve"		38	0.00	1	0.00	0	0.00	1	0.00	0	0.00	0	40	0.00
		Group Total		1596	0.07	193	0.13	41	0.17	115	0.12	91	0.10	2	2038	0.07
K		TICKET VOTES	ASP	14521	0.60	1122	0.77	197	0.82	728	0.77	594	0.62	8	17170	0.62
		"WOOD, Colin F"	ASP	1946	0.08	116	0.08	10	0.04	82	0.09	111	0.12	-2	2263	0.08
		"SAYERS, Neville"	ASP	68	0.00	6	0.00	1	0.00	2	0.00	7	0.01	1	85	0.00
		"FLIEGNER, Gary"	ASP	41	0.00	5	0.00	1	0.00	3	0.00	4	0.00	1	55	0.00
		Group Total	ASP	16576	0.69	1249	0.86	209	0.87	815	0.86	716	0.75	8	19573	0.71
L		TICKET VOTES	CTA	10457	0.43	756	0.52	88	0.37	473	0.50	494	0.52	-1	12267	0.44
		"COOK, Ken"	CTA	3653	0.15	191	0.13	11	0.05	106	0.11	130	0.14	-9	4082	0.15
		"CHAPMAN, Christine"	CTA	118	0.00	12	0.01	0	0.00	6	0.01	12	0.01	0	148	0.01
		Group Total	CTA	14228	0.59	959	0.66	99	0.41	585	0.62	636	0.67	-10	16497	0.60
UNGROUPED																
		"RASKOVY, Steve"	IND	509	0.02	41	0.03	6	0.02	31	0.03	32	0.03	0	619	0.02
		"SMITH, Maurie"	IND	125	0.01	8	0.01	1	0.00	9	0.01	10	0.01	-3	150	0.01
		"GOOD, Michael"	IND	82	0.00	5	0.00	3	0.01	4	0.00	15	0.02	1	110	0.00
		"GREEN, Neil"	IND	61	0.00	3	0.00	0	0.00	5	0.01	7	0.01	-1	75	0.00
		"ABBOTTO, John M"	IND	76	0.00	6	0.00	2	0.01	6	0.01	6	0.01	0	96	0.00
		"ARMSTRONG, David"	IND	2914	0.12	284	0.20	32	0.13	50	0.05	50	0.05	-9	3321	0.12
		Ungrouped Total		3767	0.16	347	0.24	44	0.18	105	0.11	120	0.13	-12	4371	0.16
			FORMAL	2408300	96.21	145426	97.90	24005	96.49	94617	98.35	95104	98.60	33	2767485	96.45
			INFORMAL	94761	3.79	3124	2.10	872	3.51	1587	1.65	1354	1.40	91	101789	3.55
			TOTAL	2503061	87.24	148550	5.18	24877	0.87	96204	3.35	96458	3.36	124	2869274	96.52



Queensland																
Enrolment 2091384																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	ALP	480285	29.50	37165	28.86	4967	37.69	20518	27.04	22434	28.49	31	565400	29.38
	#	"HOGG, John"	ALP	12559	0.77	1105	0.86	145	1.10	489	0.64	727	0.92	-42	14983	0.78
	#	"GIBBS, Brenda"	ALP	1283	0.08	178	0.14	15	0.11	52	0.07	98	0.12	2	1628	0.08
		"CALLAGHAN, Bernadette"	ALP	1472	0.09	155	0.12	11	0.08	104	0.14	97	0.12	0	1839	0.10
		Group Total	ALP	495599	30.44	38603	29.98	5138	38.99	21163	27.89	23356	29.66	-9	583850	30.34
B		TICKET VOTES	RBR	1965	0.12	176	0.14	29	0.22	120	0.16	60	0.08	0	2350	0.12
		"BUCKLEY, Brian"	RPA	249	0.02	24	0.02	2	0.02	9	0.01	15	0.02	-2	297	0.02
		"BAILEY, David"	ABR	31	0.00	4	0.00	0	0.00	1	0.00	2	0.00	-2	36	0.00
		Group Total	RBR	2245	0.14	204	0.16	31	0.24	130	0.17	77	0.10	-4	2683	0.14
C		TICKET VOTES	NLP	2784	0.17	335	0.26	42	0.32	128	0.17	81	0.10	0	3370	0.18
		"AYYAR, Kris"	NLP	201	0.01	26	0.02	1	0.01	11	0.01	4	0.01	-4	239	0.01
		"PRICE, John"	NLP	36	0.00	5	0.00	1	0.01	2	0.00	1	0.00	2	47	0.00
		Group Total	NLP	3021	0.19	366	0.28	44	0.33	141	0.19	86	0.11	-2	3656	0.19
D		TICKET VOTES	GRN	33150	2.04	4994	3.88	614	4.66	2308	3.04	925	1.17	4	41995	2.18
		"JONES, Angela"	GRN	3131	0.19	400	0.31	43	0.33	220	0.29	164	0.21	-15	3943	0.20
		"MAHONEY, Desiree"	GRN	104	0.01	23	0.02	0	0.00	10	0.01	10	0.01	-1	146	0.01
		"CONNORS, Libby"	GRN	140	0.01	30	0.02	5	0.04	14	0.02	10	0.01	2	201	0.01
		Group Total	GRN	36525	2.24	5447	4.23	662	5.02	2552	3.36	1109	1.41	-10	46285	2.41
E		TICKET VOTES		425	0.03	44	0.03	3	0.02	37	0.05	9	0.01	1	519	0.03
		"JONES, John Lee"		69	0.00	10	0.01	0	0.00	2	0.00	1	0.00	-1	81	0.00
		"JONES, Lee James"		11	0.00	0	0.00	0	0.00	1	0.00	2	0.00	-1	13	0.00
		Group Total		505	0.03	54	0.04	3	0.02	40	0.05	12	0.02	-1	613	0.03
F		TICKET VOTES		1794	0.11	148	0.11	20	0.15	45	0.06	25	0.03	0	2032	0.11
		"YOUNG, Phillip James"		609	0.04	27	0.02	5	0.04	11	0.01	14	0.02	-1	665	0.03
		"LADLOW, Harvie William"		75	0.00	12	0.01	1	0.01	3	0.00	3	0.00	2	96	0.00
		Group Total		2478	0.15	187	0.15	26	0.20	59	0.08	42	0.05	1	2793	0.15
G		TICKET VOTES		1418	0.09	191	0.15	18	0.14	124	0.16	55	0.07	1	1807	0.09
		"FREEMARIJUANA, J."		1546	0.09	263	0.20	31	0.24	75	0.10	52	0.07	3	1970	0.10
		"KNEIPP, Tony"		48	0.00	7	0.01	2	0.02	1	0.00	1	0.00	0	59	0.00
		Group Total		3012	0.19	461	0.36	51	0.39	200	0.26	108	0.14	4	3836	0.20
H		TICKET VOTES		1613	0.10	61	0.05	16	0.12	44	0.06	23	0.03	0	1757	0.09
		"McNIVEN, Ian"		98	0.01	15	0.01	1	0.01	5	0.01	5	0.01	-3	121	0.01
		"SMYTH, Ray"		12	0.00	1	0.00	0	0.00	0	0.00	0	0.00	-1	12	0.00
		"MARKS, Robert J."		15	0.00	4	0.00	0	0.00	1	0.00	0	0.00	-1	19	0.00
		Group Total		1738	0.11	81	0.06	17	0.13	50	0.07	28	0.04	-5	1909	0.10
I		TICKET VOTES	LP	557432	34.24	44395	34.48	3830	29.06	31610	41.66	26695	33.90	6	663968	34.50
	#	"MACDONALD, Ian"	LP	10705	0.66	1046	0.81	73	0.55	684	0.90	988	1.25	-18	13478	0.70
	#	"HERRON, John"	LP	1366	0.08	146	0.11	8	0.06	84	0.11	173	0.22	5	1782	0.09
		"KEMBER, Debbie"	LP	1039	0.06	117	0.09	6	0.05	60	0.08	104	0.13	-1	1325	0.07
		Group Total	LP	570542	35.05	45704	35.50	3917	29.72	32438	42.76	27960	35.51	-8	680553	35.36
J		TICKET VOTES	CTA	6424	0.39	603	0.47	66	0.50	418	0.55	351	0.45	0	7862	0.41
		"COOK, Harry"	CTA	1359	0.08	100	0.08	6	0.05	75	0.10	89	0.11	4	1633	0.08
		"COOK, Nan"	CTA	42	0.00	2	0.00	1	0.01	3	0.00	4	0.01	-4	48	0.00
		Group Total	CTA	7825	0.48	705	0.55	73	0.55	496	0.65	444	0.56	0	9543	0.50
K		TICKET VOTES	AWP	9132	0.56	1186	0.92	116	0.88	536	0.71	396	0.50	2	11368	0.59
		"KELLY, Mary"	AWP	1238	0.08	139	0.11	13	0.10	65	0.09	45	0.06	-11	1489	0.08
		"YUILLE, Lizbeth"	AWP	32	0.00	7	0.01	0	0.00	3	0.00	4	0.01	-4	42	0.00
		"HUGHEY, Jenny"	AWP	80	0.00	8	0.01	1	0.01	10	0.01	5	0.01	3	107	0.01
		Group Total	AWP	10482	0.64	1340	1.04	130	0.99	614	0.81	450	0.57	-10	13006	0.68
L		TICKET VOTES	ASP	8811	0.54	960	0.75	100	0.76	519	0.68	368	0.47	0	10758	0.56
		"SALISBURY, Peter Robert"	ASP	1107	0.07	81	0.06	7	0.05	57	0.08	86	0.11	1	1339	0.07
		"ISON, Bill"	ASP	41	0.00	2	0.00	2	0.02	3	0.00	3	0.00	-2	49	0.00
		Group Total	ASP	9959	0.61	1043	0.81	109	0.83	579	0.76	457	0.58	-1	12146	0.63
M		TICKET VOTES		506	0.03	35	0.03	9	0.07	14	0.02	30	0.04	0	594	0.03
		"HETHERINGTON, Maurice V."		103	0.01	15	0.01	2	0.02	5	0.01	17	0.02	-9	133	0.01
		"RUSSELL, Ross Herbert"		12	0.00	0	0.00	0	0.00	0	0.00	0	0.00	-1	11	0.00
		Group Total		621	0.04	50	0.04	11	0.08	19	0.03	47	0.06	-10	738	0.04
N		TICKET VOTES	DEM	196945	12.10	15466	12.01	1267	9.61	7110	9.37	6313	8.02	2	227103	11.80
	#	"KERNOT, Cheryl"	DEM	22833	1.40	1703	1.32	111	0.84	960	1.27	1022	1.30	-6	26623	1.38
		"WALTERS, Tony"	DEM	98	0.01	7	0.01	1	0.01	9	0.01	13	0.02	0	128	0.01
		"COLLINS, Peter J."	DEM	104	0.01	9	0.01	3	0.02	5	0.01	6	0.01	2	129	0.01
		"REED, Annette Kim"	DEM	204	0.01	11	0.01	0	0.00	9	0.01	9	0.01	3	236	0.01
		Group Total	DEM	220184	13.52	17196	13.36	1382	10.49	8093	10.67	7363	9.35	1	254219	13.21
O		TICKET VOTES	AFI	9212	0.57	947	0.74	96	0.73	542	0.71	522	0.66	0	11319	0.59
		"MAYNE, Cynthia Dianne"	AFI	1355	0.08	115	0.09	8	0.06	73	0.10	121	0.15	-8	1664	0.09
		"MINOGUE, John Gerard"	AFI	105	0.01	12	0.01	0	0.00	7	0.01	8	0.01	2	134	0.01
		Group Total	AFI	10672	0.66	1074	0.83	104	0.79	622	0.82	651	0.83	-6	13117	0.68
P		TICKET VOTES	OAP	2833	0.17	257	0.20	37	0.28	111	0.15	95	0.12	0	3333	0.17
		"JEWELL, Perry J. B."	OAP	236	0.01	21	0.02	2	0.02	9	0.01	8	0.01	-1	275	0.01
		"GRAYSON, Michael William"	OAP	27	0.00	2	0.00	0	0.00	1	0.00	0	0.00	0	30	0.00
