House of Representatives - 2001 Election: Northern Territory																							
Distribution of Preferences																							
By Polling Place																							
																							
Lingiari																							
					KELLY			CHELLEW			NORRIS			SNOWDON			HOAD			WRIGHT			
		TOTAL		1319	50.87		207	7.98		185	7.13		882	34.01								2593	
	FOURTH			86	46.49		54	29.19			Excluded		45	24.32								185	
		TOTAL		1405	54.18		261	10.07					927	35.75								2593	
	FIFTH			89	34.10			Excluded					172	65.90								261	
		TOTAL		1494	57.62								1099	42.38								2593	
													Elected										
																							
Jabiru                                                         																							
	FIRST			166	40.10		30	7.25		16	3.86		182	43.96		17	4.11		3	0.72		414	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		3	
		TOTAL		166	40.10		30	7.25		16	3.86		183	44.20		19	4.59					414	
	THIRD			2	10.53		6	31.58		4	21.05		7	36.84			Excluded					19	
		TOTAL		168	40.58		36	8.70		20	4.83		190	45.89								414	
	FOURTH			10	50.00		4	20.00			Excluded		6	30.00								20	
		TOTAL		178	43.00		40	9.66					196	47.34								414	
	FIFTH			13	32.50			Excluded					27	67.50								40	
		TOTAL		191	46.14								223	53.86								414	
													Elected										
																							
Katherine                                                      																							
	FIRST			903	49.51		85	4.66		131	7.18		651	35.69		43	2.36		11	0.60		1824	
	SECOND			4	36.36		0	0.00		1	9.09		1	9.09		5	45.45			Excluded		11	
		TOTAL		907	49.73		85	4.66		132	7.24		652	35.75		48	2.63					1824	
	THIRD			5	10.42		27	56.25		3	6.25		13	27.08			Excluded					48	
		TOTAL		912	50.00		112	6.14		135	7.40		665	36.46								1824	
	FOURTH			74	54.81		33	24.44			Excluded		28	20.74								135	
		TOTAL		986	54.06		145	7.95					693	37.99								1824	
	FIFTH			62	42.76			Excluded					83	57.24								145	
		TOTAL		1048	57.46								776	42.54								1824	
													Elected										
																							
Katherine East                                                 																							
	FIRST			566	49.74		51	4.48		82	7.21		414	36.38		19	1.67		6	0.53		1138	
	SECOND			1	16.67		0	0.00		0	0.00		1	16.67		4	66.67			Excluded		6	
		TOTAL		567	49.82		51	4.48		82	7.21		415	36.47		23	2.02					1138	
	THIRD			3	13.04		8	34.78		3	13.04		9	39.13			Excluded					23	
		TOTAL		570	50.09		59	5.18		85	7.47		424	37.26								1138	
	FOURTH			45	52.94		28	32.94			Excluded		12	14.12								85	
		TOTAL		615	54.04		87	7.64					436	38.31								1138	
	FIFTH			38	43.68			Excluded					49	56.32								87	
		TOTAL		653	57.38								485	42.62								1138	
													Elected										
																							
Larapinta                                                      																							
	FIRST			729	51.19		88	6.18		53	3.72		517	36.31		30	2.11		7	0.49		1424	
	SECOND			1	14.29		0	0.00		0	0.00		1	14.29		5	71.43			Excluded		7	
		TOTAL		730	51.26		88	6.18		53	3.72		518	36.38		35	2.46					1424	
	THIRD			2	5.71		16	45.71		2	5.71		15	42.86			Excluded					35	
		TOTAL		732	51.40		104	7.30		55	3.86		533	37.43								1424	
	FOURTH			29	52.73		12	21.82			Excluded		14	25.45								55	
		TOTAL		761	53.44		116	8.15					547	38.41								1424	
	FIFTH			51	43.97			Excluded					65	56.03								116	
		TOTAL		812	57.02								612	42.98								1424	
													Elected										
																							
Nhulunbuy                                                      																							
	FIRST			590	39.31		100	6.66		53	3.53		697	46.44		53	3.53		8	0.53		1501	
	SECOND			0	0.00		2	25.00		3	37.50		1	12.50		2	25.00			Excluded		8	
		TOTAL		590	39.31		102	6.80		56	3.73		698	46.50		55	3.66					1501	
	THIRD			6	10.91		22	40.00		7	12.73		20	36.36			Excluded					55	
		TOTAL		596	39.71		124	8.26		63	4.20		718	47.83								1501	
	FOURTH			23	36.51		17	26.98			Excluded		23	36.51								63	
		TOTAL		619	41.24		141	9.39					741	49.37								1501	
	FIFTH			53	37.59			Excluded					88	62.41								141	
		TOTAL		672	44.77								829	55.23								1501	
													Elected										
																							
Pine Creek                                                     																							
	FIRST			71	51.45		5	3.62		16	11.59		40	28.99		5	3.62		1	0.72		138	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		71	51.45		5	3.62		16	11.59		40	28.99		6	4.35					138	
	THIRD			0	0.00		3	50.00		0	0.00		3	50.00			Excluded					6	
		TOTAL		71	51.45		8	5.80		16	11.59		43	31.16								138	
	FOURTH			6	37.50		5	31.25			Excluded		5	31.25								16	
		TOTAL		77	55.80		13	9.42					48	34.78								138	
	FIFTH			5	38.46			Excluded					8	61.54								13	
		TOTAL		82	59.42								56	40.58								138	
													Elected										
																							
Sadadeen                                                       																							
	FIRST			1039	44.53		197	8.44		78	3.34		898	38.49		102	4.37		19	0.81		2333	
	SECOND			4	21.05		2	10.53		2	10.53		3	15.79		8	42.11			Excluded		19	
		TOTAL		1043	44.71		199	8.53		80	3.43		901	38.62		110	4.71					2333	
	THIRD			5	4.55		60	54.55		6	5.45		39	35.45			Excluded					110	
		TOTAL		1048	44.92		259	11.10		86	3.69		940	40.29								2333	
	FOURTH			36	41.86		29	33.72			Excluded		21	24.42								86	
		TOTAL		1084	46.46		288	12.34					961	41.19								2333	
	FIFTH			87	30.21			Excluded					201	69.79								288	
		TOTAL		1171	50.19								1162	49.81								2333	
													Elected										
																							
Tennant Creek                                                  																							
	FIRST			450	34.32		85	6.48		73	5.57		662	50.50		29	2.21		12	0.92		1311	
	SECOND			1	8.33		1	8.33		2	16.67		2	16.67		6	50.00			Excluded		12	
		TOTAL		451	34.40		86	6.56		75	5.72		664	50.65		35	2.67					1311	
	THIRD			1	2.86		14	40.00		2	5.71		18	51.43			Excluded					35	
		TOTAL		452	34.48		100	7.63		77	5.87		682	52.02								1311	
	FOURTH			35	45.45		25	32.47			Excluded		17	22.08								77	
		TOTAL		487	37.15		125	9.53					699	53.32								1311	
	FIFTH			59	47.20			Excluded					66	52.80								125	
		TOTAL		546	41.65								765	58.35								1311	
													Elected										
																							
Tindal                                                         																							
	FIRST			202	58.21		12	3.46		31	8.93		89	25.65		11	3.17		2	0.58		347	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		202	58.21		12	3.46		32	9.22		89	25.65		12	3.46					347	
	THIRD			2	16.67		5	41.67		2	16.67		3	25.00			Excluded					12	
		TOTAL		204	58.79		17	4.90		34	9.80		92	26.51								347	
	FOURTH			14	41.18		14	41.18			Excluded		6	17.65								34	
		TOTAL		218	62.82		31	8.93					98	28.24								347	
	FIFTH			13	41.94			Excluded					18	58.06								31	
		TOTAL		231	66.57								116	33.43								347	
													Elected										
																							
West Island                                                    																							
	FIRST			11	28.21		7	17.95		0	0.00		16	41.03		5	12.82		0	0.00		39	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		11	28.21		7	17.95		0	0.00		16	41.03		5	12.82					39	
	THIRD			0	0.00		3	60.00		0	0.00		2	40.00			Excluded					5	
		TOTAL		11	28.21		10	25.64		0	0.00		18	46.15								39	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		11	28.21		10	25.64					18	46.15								39	
	FIFTH			2	20.00			Excluded					8	80.00								10	
		TOTAL		13	33.33								26	66.67								39	
													Elected										
																							
Yirara                                                         																							
	FIRST			244	47.38		40	7.77		24	4.66		190	36.89		11	2.14		6	1.17		515	
	SECOND			0	0.00		0	0.00		1	16.67		0	0.00		5	83.33			Excluded		6	
		TOTAL		244	47.38		40	7.77		25	4.85		190	36.89		16	3.11					515	
	THIRD			3	18.75		8	50.00		2	12.50		3	18.75			Excluded					16	
		TOTAL		247	47.96		48	9.32		27	5.24		193	37.48								515	
	FOURTH			15	55.56		8	29.63			Excluded		4	14.81								27	
		TOTAL		262	50.87		56	10.87					197	38.25								515	
	FIFTH			15	26.79			Excluded					41	73.21								56	
		TOTAL		277	53.79								238	46.21								515	
													Elected										
																							
Yulara                                                         																							
	FIRST			172	44.68		50	12.99		11	2.86		127	32.99		21	5.45		4	1.04		385	
	SECOND			2	50.00		1	25.00		1	25.00		0	0.00		0	0.00			Excluded		4	
		TOTAL		174	45.19		51	13.25		12	3.12		127	32.99		21	5.45					385	
	THIRD			6	28.57		4	19.05		1	4.76		10	47.62			Excluded					21	
		TOTAL		180	46.75		55	14.29		13	3.38		137	35.58								385	
	FOURTH			5	38.46		5	38.46			Excluded		3	23.08								13	
		TOTAL		185	48.05		60	15.58					140	36.36								385	
	FIFTH			34	56.67			Excluded					26	43.33								60	
		TOTAL		219	56.88								166	43.12								385	
													Elected										
																							
Special Hospital Team 1                                        																							
	FIRST			42	39.25		0	0.00		1	0.93		58	54.21		2	1.87		4	3.74		107	
	SECOND			0	0.00		0	0.00		1	25.00		1	25.00		2	50.00			Excluded		4	
		TOTAL		42	39.25		0	0.00		2	1.87		59	55.14		4	3.74					107	
	THIRD			0	0.00		2	50.00		0	0.00		2	50.00			Excluded					4	
		TOTAL		42	39.25		2	1.87		2	1.87		61	57.01								107	
	FOURTH			1	50.00		1	50.00			Excluded		0	0.00								2	
		TOTAL		43	40.19		3	2.80					61	57.01								107	
	FIFTH			1	33.33			Excluded					2	66.67								3	
		TOTAL		44	41.12								63	58.88								107	
													Elected										
																							
Special Hospital Team 2                                        																							
	FIRST			11	33.33		0	0.00		0	0.00		20	60.61		0	0.00		2	6.06		33	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		12	36.36		0	0.00		0	0.00		21	63.64		0	0.00					33	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		12	36.36		0	0.00		0	0.00		21	63.64								33	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		12	36.36		0	0.00					21	63.64								33	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		12	36.36								21	63.64								33	
													Elected										
																							
Special Hospital Team 3                                        																							
	FIRST			2	25.00		1	12.50		1	12.50		4	50.00		0	0.00		0	0.00		8	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	25.00		1	12.50		1	12.50		4	50.00		0	0.00					8	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		2	25.00		1	12.50		1	12.50		4	50.00								8	
	FOURTH			0	0.00		0	0.00			Excluded		1	100.00								1	
		TOTAL		2	25.00		1	12.50					5	62.50								8	
	FIFTH			1	100.00			Excluded					0	0.00								1	
		TOTAL		3	37.50								5	62.50								8	
													Elected										
																							
Special Hospital Team 4                                        																							
	FIRST			1	16.67		1	16.67		0	0.00		4	66.67		0	0.00		0	0.00		6	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		1	16.67		1	16.67		0	0.00		4	66.67		0	0.00					6	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		1	16.67		1	16.67		0	0.00		4	66.67								6	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		1	16.67		1	16.67					4	66.67								6	
	FIFTH			0	0.00			Excluded					1	100.00								1	
		TOTAL		1	16.67								5	83.33								6	
													Elected										
																							
Remote Mobile Team 1                                           																							
	FIRST			190	15.85		18	1.50		22	1.83		939	78.32		14	1.17		16	1.33		1199	
	SECOND			4	25.00		3	18.75		2	12.50		3	18.75		4	25.00			Excluded		16	
		TOTAL		194	16.18		21	1.75		24	2.00		942	78.57		18	1.50					1199	
	THIRD			5	27.78		3	16.67		0	0.00		10	55.56			Excluded					18	
		TOTAL		199	16.60		24	2.00		24	2.00		952	79.40								1199	
	FOURTH			7	29.17		8	33.33			Excluded		9	37.50								24	
		TOTAL		206	17.18		32	2.67					961	80.15								1199	
	FIFTH			14	43.75			Excluded					18	56.25								32	
		TOTAL		220	18.35								979	81.65								1199	
													Elected										
																							
Remote Mobile Team 10                                          																							
	FIRST			138	39.77		6	1.73		13	3.75		181	52.16		6	1.73		3	0.86		347	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		3	
		TOTAL		139	40.06		6	1.73		14	4.03		181	52.16		7	2.02					347	
	THIRD			1	14.29		3	42.86		0	0.00		3	42.86			Excluded					7	
		TOTAL		140	40.35		9	2.59		14	4.03		184	53.03								347	
	FOURTH			9	64.29		1	7.14			Excluded		4	28.57								14	
		TOTAL		149	42.94		10	2.88					188	54.18								347	
	FIFTH			5	50.00			Excluded					5	50.00								10	
		TOTAL		154	44.38								193	55.62								347	
													Elected										
																							
Remote Mobile Team 11                                          																							
	FIRST			115	16.84		26	3.81		10	1.46		522	76.43		7	1.02		3	0.44		683	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		2	66.67			Excluded		3	
		TOTAL		115	16.84		27	3.95		10	1.46		522	76.43		9	1.32					683	
	THIRD			1	11.11		0	0.00		1	11.11		7	77.78			Excluded					9	
		TOTAL		116	16.98		27	3.95		11	1.61		529	77.45								683	
	FOURTH			7	63.64		1	9.09			Excluded		3	27.27								11	
		TOTAL		123	18.01		28	4.10					532	77.89								683	
	FIFTH			11	39.29			Excluded					17	60.71								28	
		TOTAL		134	19.62								549	80.38								683	
													Elected										
																							
Remote Mobile Team 12                                          																							
	FIRST			88	15.17		4	0.69		7	1.21		467	80.52		6	1.03		8	1.38		580	
	SECOND			1	12.50		0	0.00		0	0.00		3	37.50		4	50.00			Excluded		8	
		TOTAL		89	15.34		4	0.69		7	1.21		470	81.03		10	1.72					580	
	THIRD			1	10.00		1	10.00		1	10.00		7	70.00			Excluded					10	
		TOTAL		90	15.52		5	0.86		8	1.38		477	82.24								580	
	FOURTH			3	37.50		3	37.50			Excluded		2	25.00								8	
		TOTAL		93	16.03		8	1.38					479	82.59								580	
	FIFTH			4	50.00			Excluded					4	50.00								8	
		TOTAL		97	16.72								483	83.28								580	
													Elected										
																							
Remote Mobile Team 13                                          																							
	FIRST			33	26.83		9	7.32		3	2.44		67	54.47		8	6.50		3	2.44		123	
	SECOND			1	33.33		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		3	
		TOTAL		34	27.64		9	7.32		3	2.44		69	56.10		8	6.50					123	
	THIRD			4	50.00		3	37.50		0	0.00		1	12.50			Excluded					8	
		TOTAL		38	30.89		12	9.76		3	2.44		70	56.91								123	
	FOURTH			1	33.33		1	33.33			Excluded		1	33.33								3	
		TOTAL		39	31.71		13	10.57					71	57.72								123	
	FIFTH			4	30.77			Excluded					9	69.23								13	
		TOTAL		43	34.96								80	65.04								123	
													Elected										
																							
Remote Mobile Team 14                                          																							
	FIRST			97	12.92		18	2.40		8	1.07		610	81.23		8	1.07		10	1.33		751	
	SECOND			1	10.00		1	10.00		2	20.00		2	20.00		4	40.00			Excluded		10	
		TOTAL		98	13.05		19	2.53		10	1.33		612	81.49		12	1.60					751	
	THIRD			2	16.67		2	16.67		1	8.33		7	58.33			Excluded					12	
		TOTAL		100	13.32		21	2.80		11	1.46		619	82.42								751	
	FOURTH			6	54.55		3	27.27			Excluded		2	18.18								11	
		TOTAL		106	14.11		24	3.20					621	82.69								751	
	FIFTH			7	29.17			Excluded					17	70.83								24	
		TOTAL		113	15.05								638	84.95								751	
													Elected										
																							
Remote Mobile Team 15                                          																							
	FIRST			32	7.60		11	2.61		2	0.48		371	88.12		3	0.71		2	0.48		421	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		2	
		TOTAL		32	7.60		11	2.61		2	0.48		373	88.60		3	0.71					421	
	THIRD			0	0.00		1	33.33		0	0.00		2	66.67			Excluded					3	
		TOTAL		32	7.60		12	2.85		2	0.48		375	89.07								421	
	FOURTH			0	0.00		2	100.00			Excluded		0	0.00								2	
		TOTAL		32	7.60		14	3.33					375	89.07								421	
	FIFTH			5	35.71			Excluded					9	64.29								14	
		TOTAL		37	8.79								384	91.21								421	
													Elected										
																							
Remote Mobile Team 16                                          																							
	FIRST			100	20.88		8	1.67		6	1.25		347	72.44		0	0.00		18	3.76		479	
	SECOND			3	16.67		0	0.00		2	11.11		5	27.78		8	44.44			Excluded		18	
		TOTAL		103	21.50		8	1.67		8	1.67		352	73.49		8	1.67					479	
	THIRD			0	0.00		0	0.00		3	37.50		5	62.50			Excluded					8	
		TOTAL		103	21.50		8	1.67		11	2.30		357	74.53								479	
	FOURTH			2	18.18		8	72.73			Excluded		1	9.09								11	
		TOTAL		105	21.92		16	3.34					358	74.74								479	
	FIFTH			11	68.75			Excluded					5	31.25								16	
		TOTAL		116	24.22								363	75.78								479	
													Elected										
																							
Remote Mobile Team 17                                          																							
	FIRST			54	28.42		0	0.00		1	0.53		133	70.00		2	1.05		0	0.00		190	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		54	28.42		0	0.00		1	0.53		133	70.00		2	1.05					190	
	THIRD			1	50.00		0	0.00		0	0.00		1	50.00			Excluded					2	
		TOTAL		55	28.95		0	0.00		1	0.53		134	70.53								190	
	FOURTH			0	0.00		0	0.00			Excluded		1	100.00								1	
		TOTAL		55	28.95		0	0.00					135	71.05								190	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		55	28.95								135	71.05								190	
													Elected										
																							
Remote Mobile Team 18                                          																							
	FIRST			92	10.15		17	1.88		9	0.99		766	84.55		14	1.55		8	0.88		906	
	SECOND			1	12.50		2	25.00		0	0.00		1	12.50		4	50.00			Excluded		8	
		TOTAL		93	10.26		19	2.10		9	0.99		767	84.66		18	1.99					906	
	THIRD			1	5.56		6	33.33		0	0.00		11	61.11			Excluded					18	
		TOTAL		94	10.38		25	2.76		9	0.99		778	85.87								906	
	FOURTH			5	55.56		2	22.22			Excluded		2	22.22								9	
		TOTAL		99	10.93		27	2.98					780	86.09								906	
	FIFTH			5	18.52			Excluded					22	81.48								27	
		TOTAL		104	11.48								802	88.52								906	
													Elected										
																							
Remote Mobile Team 19                                          																							
	FIRST			47	18.80		8	3.20		4	1.60		185	74.00		6	2.40		0	0.00		250	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		47	18.80		8	3.20		4	1.60		185	74.00		6	2.40					250	
	THIRD			1	16.67		2	33.33		0	0.00		3	50.00			Excluded					6	
		TOTAL		48	19.20		10	4.00		4	1.60		188	75.20								250	
	FOURTH			2	50.00		1	25.00			Excluded		1	25.00								4	
		TOTAL		50	20.00		11	4.40					189	75.60								250	
	FIFTH			1	9.09			Excluded					10	90.91								11	
		TOTAL		51	20.40								199	79.60								250	
													Elected										
																							
Remote Mobile Team 2                                           																							
	FIRST			75	15.03		13	2.61		13	2.61		379	75.95		11	2.20		8	1.60		499	
	SECOND			2	25.00		0	0.00		1	12.50		1	12.50		4	50.00			Excluded		8	
		TOTAL		77	15.43		13	2.61		14	2.81		380	76.15		15	3.01					499	
	THIRD			0	0.00		9	60.00		1	6.67		5	33.33			Excluded					15	
		TOTAL		77	15.43		22	4.41		15	3.01		385	77.15								499	
	FOURTH			9	60.00		3	20.00			Excluded		3	20.00								15	
		TOTAL		86	17.23		25	5.01					388	77.76								499	
	FIFTH			8	32.00			Excluded					17	68.00								25	
		TOTAL		94	18.84								405	81.16								499	
													Elected										
																							
Remote Mobile Team 20                                          																							
	FIRST			36	8.87		12	2.96		9	2.22		347	85.47		1	0.25		1	0.25		406	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		36	8.87		12	2.96		9	2.22		348	85.71		1	0.25					406	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded					1	
		TOTAL		37	9.11		12	2.96		9	2.22		348	85.71								406	
	FOURTH			3	33.33		2	22.22			Excluded		4	44.44								9	
