House of Representatives - 2001 Election: Northern Territory											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
Lingiari (57077)											
											
		Candidate		"KELLY, Ron"		                 	"SNOWDON, Warren"		            	Total	
		"NORRIS, Wayne David (HAN)"	193	136	70.47		57	29.53		193	
		"HOAD, Rob (GRN)"	150	38	25.33		112	74.67		150	
		"WRIGHT, Wayne ()"	45	24	53.33		21	46.67		45	
		Total	650	1902	51.77		1772	48.23		3674	

	PROVISIONAL										
			1st Prefs	116	33.05		235	66.95		351	
		"CHELLEW, Linda (DEM)"	14	5	35.71		9	64.29		14	
		"NORRIS, Wayne David (HAN)"	10	5	50.00		5	50.00		10	
		"HOAD, Rob (GRN)"	14	3	21.43		11	78.57		14	
		"WRIGHT, Wayne ()"	5	1	20.00		4	80.00		5	
		Total	43	130	32.99		264	67.01		394	

	Division Summary										
			1st Prefs	17133	45.03		20916	54.97		38049	
		"CHELLEW, Linda (DEM)"	2213	774	34.98		1439	65.02		2213	
		"NORRIS, Wayne David (HAN)"	1817	1203	66.21		614	33.79		1817	
		"HOAD, Rob (GRN)"	1226	266	21.70		960	78.30		1226	
		"WRIGHT, Wayne ()"	428	175	40.89		253	59.11		428	
		Total	5684	19551	44.71		24182	55.29		43733	
