Senate - 2001 Election: Northern Territory																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Lingiari (57077)																																																																																																																																																																																																																																																											
	   	 A Northern Territory Country Liberal Party												 B Pauline Hanson's One Nation												 C Australian Greens												 D 												 E Australian Democrats												 F Australian Labor Party (Northern Territory) Branch												Ungrouped																																																																																																																																																																																	
    		TICKET VOTES			SCULLION			LOPES			Group Total			TICKET VOTES			PHILLIPS			KING			Group Total			TICKET VOTES			ROSS			MCCABE			Group Total			TICKET VOTES			MILLS			MEYERHOFF			Group Total			TICKET VOTES			CURTIS			FAGGION			Group Total			TICKET VOTES			CROSSIN			HAVNEN			Group Total			FLYNN			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																					
    					Nigel Gregory			John									Rob			Jim									Melanie			Charlotte									June			Gary									David			Joe									Trish			Olga						Peter																																																																																																																																																																																	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																				
Howard Springs		1001	52.46		59	3.09		1	0.05		1061	55.61		89	4.66		14	0.73		2	0.10		105	5.50		65	3.41		17	0.89		0	0.00		82	4.30		6	0.31		6	0.31		3	0.16		15	0.79		100	5.24		27	1.42		3	0.16		130	6.81		468	24.53		34	1.78		11	0.58		513	26.89		2	0.10		2	0.10		1908	96.71		65	3.29		1973	4.29																																																																																																																																																																		
Humpty Doo		1255	47.38		82	3.10		10	0.38		1347	50.85		184	6.95		34	1.28		8	0.30		226	8.53		88	3.32		26	0.98		3	0.11		117	4.42		9	0.34		6	0.23		0	0.00		15	0.57		142	5.36		35	1.32		3	0.11		180	6.80		706	26.65		39	1.47		12	0.45		757	28.58		7	0.26		7	0.26		2649	97.32		73	2.68		2722	5.91																																																																																																																																																																		
Jabiru		175	40.98		9	2.11		1	0.23		185	43.33		13	3.04		3	0.70		0	0.00		16	3.75		16	3.75		5	1.17		2	0.47		23	5.39		4	0.94		1	0.23		0	0.00		5	1.17		30	7.03		7	1.64		0	0.00		37	8.67		143	33.49		16	3.75		2	0.47		161	37.70		0	0.00		0	0.00		427	98.84		5	1.16		432	0.94																																																																																																																																																																		
Katherine		886	48.13		42	2.28		4	0.22		932	50.62		125	6.79		21	1.14		4	0.22		150	8.15		44	2.39		22	1.20		0	0.00		66	3.59		3	0.16		4	0.22		0	0.00		7	0.38		86	4.67		18	0.98		1	0.05		105	5.70		517	28.08		50	2.72		12	0.65		579	31.45		2	0.11		2	0.11		1841	96.49		67	3.51		1908	4.14																																																																																																																																																																		
Katherine East		551	47.58		48	4.15		3	0.26		602	51.99		81	6.99		9	0.78		3	0.26		93	8.03		19	1.64		3	0.26		0	0.00		22	1.90		3	0.26		1	0.09		0	0.00		4	0.35		61	5.27		22	1.90		0	0.00		83	7.17		311	26.86		37	3.20		2	0.17		350	30.22		4	0.35		4	0.35		1158	98.55		17	1.45		1175	2.55																																																																																																																																																																		
Larapinta		707	48.86		49	3.39		6	0.41		762	52.66		67	4.63		5	0.35		0	0.00		72	4.98		28	1.94		8	0.55		1	0.07		37	2.56		3	0.21		3	0.21		0	0.00		6	0.41		93	6.43		20	1.38		1	0.07		114	7.88		416	28.75		32	2.21		5	0.35		453	31.31		3	0.21		3	0.21		1447	97.24		41	2.76		1488	3.23																																																																																																																																																																		
Nhulunbuy		583	37.88		40	2.60		5	0.32		628	40.81		55	3.57		7	0.45		2	0.13		64	4.16		54	3.51		10	0.65		0	0.00		64	4.16		4	0.26		3	0.19		0	0.00		7	0.45		128	8.32		26	1.69		1	0.06		155	10.07		580	37.69		33	2.14		4	0.26		617	40.09		4	0.26		4	0.26		1539	96.98		48	3.02		1587	3.45																																																																																																																																																																		
Pine Creek		72	51.06		2	1.42		0	0.00		74	52.48		15	10.64		4	2.84		0	0.00		19	13.48		4	2.84		0	0.00		0	0.00		4	2.84		0	0.00		0	0.00		0	0.00		0	0.00		3	2.13		4	2.84		0	0.00		7	4.96		32	22.70		5	3.55		0	0.00		37	26.24		0	0.00		0	0.00		141	96.58		5	3.42		146	0.32																																																																																																																																																																		
Sadadeen		1078	45.29		57	2.39		3	0.13		1138	47.82		85	3.57		10	0.42		0	0.00		95	3.99		88	3.70		46	1.93		7	0.29		141	5.92		7	0.29		6	0.25		0	0.00		13	0.55		197	8.28		49	2.06		6	0.25		252	10.59		679	28.53		52	2.18		9	0.38		740	31.09		1	0.04		1	0.04		2380	98.02		48	1.98		2428	5.27																																																																																																																																																																		
Tennant Creek		433	32.90		42	3.19		6	0.46		481	36.55		79	6.00		11	0.84		0	0.00		90	6.84		27	2.05		12	0.91		2	0.15		41	3.12		6	0.46		1	0.08		0	0.00		7	0.53		140	10.64		61	4.64		2	0.15		203	15.43		427	32.45		57	4.33		9	0.68		493	37.46		1	0.08		1	0.08		1316	95.64		60	4.36		1376	2.99																																																																																																																																																																		
Tindal		205	56.79		11	3.05		1	0.28		217	60.11		30	8.31		2	0.55		0	0.00		32	8.86		11	3.05		1	0.28		1	0.28		13	3.60		0	0.00		0	0.00		0	0.00		0	0.00		18	4.99		1	0.28		1	0.28		20	5.54		74	20.50		4	1.11		1	0.28		79	21.88		0	0.00		0	0.00		361	98.63		5	1.37		366	0.79																																																																																																																																																																		
West Island		10	25.64		1	2.56		0	0.00		11	28.21		0	0.00		0	0.00		0	0.00		0	0.00		2	5.13		2	5.13		0	0.00		4	10.26		0	0.00		0	0.00		0	0.00		0	0.00		9	23.08		0	0.00		0	0.00		9	23.08		12	30.77		3	7.69		0	0.00		15	38.46		0	0.00		0	0.00		39	100.00		0	0.00		39	0.08																																																																																																																																																																		
Yirara		265	49.53		9	1.68		2	0.37		276	51.59		15	2.80		2	0.37		2	0.37		19	3.55		13	2.43		6	1.12		1	0.19		20	3.74		5	0.93		0	0.00		0	0.00		5	0.93		34	6.36		14	2.62		1	0.19		49	9.16		151	28.22		9	1.68		2	0.37		162	30.28		4	0.75		4	0.75		535	97.45		14	2.55		549	1.19																																																																																																																																																																		
Yulara		167	41.75		7	1.75		1	0.25		175	43.75		14	3.50		1	0.25		0	0.00		15	3.75		25	6.25		6	1.50		1	0.25		32	8.00		1	0.25		0	0.00		0	0.00		1	0.25		59	14.75		5	1.25		0	0.00		64	16.00		103	25.75		7	1.75		2	0.50		112	28.00		1	0.25		1	0.25		400	98.28		7	1.72		407	0.88																																																																																																																																																																				
Special Hospitals		58	35.80		1	0.62		0	0.00		59	36.42		7	4.32		0	0.00		0	0.00		7	4.32		4	2.47		1	0.62		0	0.00		5	3.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		1	0.62		87	53.70		3	1.85		0	0.00		90	55.56		0	0.00		0	0.00		162	100.00		0	0.00		162	0.35																																																																																																																																																																				
Remote Mobiles		3410	27.70		151	1.23		18	0.15		3579	29.07		265	2.15		23	0.19		3	0.02		291	2.36		402	3.27		43	0.35		4	0.03		449	3.65		60	0.49		5	0.04		1	0.01		66	0.54		401	3.26		73	0.59		5	0.04		479	3.89		7211	58.57		205	1.67		26	0.21		7442	60.45		5	0.04		5	0.04		12311	96.15		493	3.85		12804	27.81																																																																																																																																																																				
Prison Mobiles		11	12.64		0	0.00		0	0.00		11	12.64		2	2.30		0	0.00		0	0.00		2	2.30		1	1.15		0	0.00		0	0.00		1	1.15		1	1.15		0	0.00		0	0.00		1	1.15		2	2.30		0	0.00		0	0.00		2	2.30		69	79.31		1	1.15		0	0.00		70	80.46		0	0.00		0	0.00		87	100.00		0	0.00		87	0.19																																																																																																																																																																				
Total Ordinary		15052	39.38		834	2.18		89	0.23		15975	41.80		1547	4.05		216	0.57		31	0.08		1794	4.69		1180	3.09		338	0.88		29	0.08		1547	4.05		142	0.37		44	0.12		6	0.02		192	0.50		2113	5.53		508	1.33		31	0.08		2652	6.94		15063	39.41		819	2.14		137	0.36		16019	41.91		40	0.10		40	0.10		38219	97.00		1183	3.00		39402	85.58																																																																																																																																																																				
ABSENT		424	36.33		26	2.23		5	0.43		455	38.99		58	4.97		12	1.03		1	0.09		71	6.08		54	4.63		18	1.54		0	0.00		72	6.17		9	0.77		2	0.17		0	0.00		11	0.94		69	5.91		18	1.54		0	0.00		87	7.46		421	36.08		44	3.77		6	0.51		471	40.36		0	0.00		0	0.00		1167	98.32		20	1.68		1187	2.58																																																																																																																																																																				
POSTAL		704	59.01		49	4.11		6	0.50		759	63.62		88	7.38		13	1.09		4	0.34		105	8.80		20	1.68		8	0.67		0	0.00		28	2.35		2	0.17		0	0.00		0	0.00		2	0.17		49	4.11		11	0.92		3	0.25		63	5.28		201	16.85		30	2.51		3	0.25		234	19.61		2	0.17		2	0.17		1193	99.42		7	0.58		1200	2.61																																																																																																																																																																				
PRE_POLL		1580	42.26		100	2.67		7	0.19		1687	45.12		196	5.24		36	0.96		8	0.21		240	6.42		118	3.16		42	1.12		7	0.19		167	4.47		20	0.53		9	0.24		1	0.03		30	0.80		268	7.17		47	1.26		5	0.13		320	8.56		1162	31.08		111	2.97		20	0.53		1293	34.58		2	0.05		2	0.05		3739	98.89		42	1.11		3781	8.21																																																																																																																																																																				
PROVISIONAL		131	29.18		7	1.56		1	0.22		139	30.96		11	2.45		2	0.45		0	0.00		13	2.90		14	3.12		3	0.67		1	0.22		18	4.01		3	0.67		2	0.45		0	0.00		5	1.11		22	4.90		6	1.34		0	0.00		28	6.24		230	51.22		15	3.34		0	0.00		245	54.57		1	0.22		1	0.22		449	95.53		21	4.47		470	1.02																																																																																																																																																																				
Division Summary		17891	39.96		1016	2.27		108	0.24		19015	42.48		1900	4.24		279	0.62		44	0.10		2223	4.97		1386	3.10		409	0.91		37	0.08		1832	4.09		176	0.39		57	0.13		7	0.02		240	0.54		2521	5.63		590	1.32		39	0.09		3150	7.04		17077	38.15		1019	2.28		166	0.37		18262	40.79		45	0.10		45	0.10		44767	97.24		1273	2.76		46040	80.66																																																																																																																																																																				
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																							
																																																																																							
																																																																																							
																																																																																							
