Senate - 2001 Election:  Northern Territory																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Solomon (53945)																																																																																																																																																																																																																																																											
		 A Northern Territory Country Liberal Party												 B Pauline Hanson's One Nation												 C Australian Greens												 D 												 E Australian Democrats												 F Australian Labor Party (Northern Territory) Branch												Ungrouped																																																																																																																																																																																	
    		TICKET VOTES			SCULLION			LOPES			Group Total			TICKET VOTES			PHILLIPS			KING			Group Total			TICKET VOTES			ROSS			MCCABE			Group Total			TICKET VOTES			MILLS			MEYERHOFF			Group Total			TICKET VOTES			CURTIS			FAGGION			Group Total			TICKET VOTES			CROSSIN			HAVNEN			Group Total			FLYNN			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																					
    					Nigel Gregory			John									Rob			Jim									Melanie			Charlotte									June			Gary									David			Joe									Trish			Olga						Peter																																																																																																																																																																																	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																				
Leanyer		862	42.95		47	2.34		9	0.45		918	45.74		39	1.94		14	0.70		0	0.00		53	2.64		65	3.24		18	0.90		2	0.10		85	4.24		5	0.25		5	0.25		0	0.00		10	0.50		127	6.33		31	1.54		0	0.00		158	7.87		720	35.87		50	2.49		13	0.65		783	39.01		0	0.00		0	0.00		2007	97.52		51	2.48		2058	4.14																																																																																																																																																																		
Ludmilla		731	42.57		38	2.21		12	0.70		781	45.49		71	4.14		17	0.99		4	0.23		92	5.36		60	3.49		31	1.81		2	0.12		93	5.42		4	0.23		4	0.23		0	0.00		8	0.47		93	5.42		34	1.98		6	0.35		133	7.75		548	31.92		46	2.68		13	0.76		607	35.35		3	0.17		3	0.17		1717	97.01		53	2.99		1770	3.56																																																																																																																																																																		
Moulden		247	37.60		20	3.04		0	0.00		267	40.64		38	5.78		7	1.07		1	0.15		46	7.00		17	2.59		6	0.91		1	0.15		24	3.65		4	0.61		3	0.46		0	0.00		7	1.07		35	5.33		6	0.91		1	0.15		42	6.39		246	37.44		19	2.89		3	0.46		268	40.79		3	0.46		3	0.46		657	97.48		17	2.52		674	1.36																																																																																																																																																																		
Nakara		811	35.84		48	2.12		10	0.44		869	38.40		65	2.87		9	0.40		1	0.04		75	3.31		60	2.65		28	1.24		2	0.09		90	3.98		19	0.84		11	0.49		2	0.09		32	1.41		180	7.95		45	1.99		2	0.09		227	10.03		884	39.06		70	3.09		13	0.57		967	42.73		3	0.13		3	0.13		2263	97.21		65	2.79		2328	4.69																																																																																																																																																																		
Nightcliff		1387	36.90		102	2.71		16	0.43		1505	40.04		101	2.69		19	0.51		3	0.08		123	3.27		216	5.75		102	2.71		18	0.48		336	8.94		22	0.59		26	0.69		10	0.27		58	1.54		289	7.69		75	2.00		4	0.11		368	9.79		1210	32.19		125	3.33		30	0.80		1365	36.31		4	0.11		4	0.11		3759	97.11		112	2.89		3871	7.79																																																																																																																																																																		
Parap		1104	42.71		68	2.63		12	0.46		1184	45.80		55	2.13		12	0.46		1	0.04		68	2.63		90	3.48		45	1.74		5	0.19		140	5.42		19	0.74		17	0.66		5	0.19		41	1.59		176	6.81		38	1.47		4	0.15		218	8.43		835	32.30		79	3.06		15	0.58		929	35.94		5	0.19		5	0.19		2585	97.25		73	2.75		2658	5.35																																																																																																																																																																		
Rapid Creek		473	33.57		28	1.99		8	0.57		509	36.12		50	3.55		9	0.64		3	0.21		62	4.40		47	3.34		20	1.42		5	0.35		72	5.11		10	0.71		5	0.35		4	0.28		19	1.35		76	5.39		39	2.77		1	0.07		116	8.23		566	40.17		50	3.55		14	0.99		630	44.71		1	0.07		1	0.07		1409	95.07		73	4.93		1482	2.98																																																																																																																																																																		
Stuart Park		704	44.14		49	3.07		7	0.44		760	47.65		44	2.76		13	0.82		1	0.06		58	3.64		50	3.13		34	2.13		4	0.25		88	5.52		3	0.19		5	0.31		3	0.19		11	0.69		110	6.90		43	2.70		3	0.19		156	9.78		454	28.46		40	2.51		25	1.57		519	32.54		3	0.19		3	0.19		1595	96.78		53	3.22		1648	3.32																																																																																																																																																																		
Tiwi		371	35.03		21	1.98		8	0.76		400	37.77		35	3.31		5	0.47		0	0.00		40	3.78		38	3.59		23	2.17		0	0.00		61	5.76		2	0.19		1	0.09		0	0.00		3	0.28		76	7.18		30	2.83		0	0.00		106	10.01		407	38.43		28	2.64		12	1.13		447	42.21		2	0.19		2	0.19		1059	97.33		29	2.67		1088	2.19																																																																																																																																																																		
Wagaman		458	34.75		32	2.43		8	0.61		498	37.78		25	1.90		7	0.53		2	0.15		34	2.58		22	1.67		12	0.91		3	0.23		37	2.81		6	0.46		3	0.23		2	0.15		11	0.83		62	4.70		16	1.21		1	0.08		79	5.99		610	46.28		36	2.73		10	0.76		656	49.77		3	0.23		3	0.23		1318	96.27		51	3.73		1369	2.76																																																																																																																																																																		
Wanguri		624	36.94		44	2.61		7	0.41		675	39.96		45	2.66		15	0.89		0	0.00		60	3.55		52	3.08		19	1.12		3	0.18		74	4.38		5	0.30		4	0.24		0	0.00		9	0.53		86	5.09		25	1.48		1	0.06		112	6.63		696	41.21		47	2.78		13	0.77		756	44.76		3	0.18		3	0.18		1689	96.24		66	3.76		1755	3.53																																																																																																																																																																		
Woodroffe		211	50.24		10	2.38		1	0.24		222	52.86		20	4.76		3	0.71		0	0.00		23	5.48		12	2.86		2	0.48		1	0.24		15	3.57		1	0.24		2	0.48		0	0.00		3	0.71		14	3.33		3	0.71		0	0.00		17	4.05		130	30.95		7	1.67		2	0.48		139	33.10		1	0.24		1	0.24		420	96.33		16	3.67		436	0.88																																																																																																																																																																		
Wulagi		526	40.28		39	2.99		11	0.84		576	44.10		44	3.37		6	0.46		1	0.08		51	3.91		35	2.68		17	1.30		1	0.08		53	4.06		4	0.31		2	0.15		0	0.00		6	0.46		82	6.28		17	1.30		1	0.08		100	7.66		463	35.45		44	3.37		9	0.69		516	39.51		4	0.31		4	0.31		1306	97.61		32	2.39		1338	2.69																																																																																																																																																																		
Special Hospitals		51	41.13		4	3.23		0	0.00		55	44.35		4	3.23		0	0.00		0	0.00		4	3.23		8	6.45		0	0.00		0	0.00		8	6.45		1	0.81		0	0.00		0	0.00		1	0.81		3	2.42		0	0.00		0	0.00		3	2.42		48	38.71		4	3.23		0	0.00		52	41.94		1	0.81		1	0.81		124	95.38		6	4.62		130	0.26																																																																																																																																																																				
Prison Mobiles		1	7.69		0	0.00		0	0.00		1	7.69		2	15.38		0	0.00		0	0.00		2	15.38		0	0.00		0	0.00		0	0.00		0	0.00		1	7.69		0	0.00		0	0.00		1	7.69		3	23.08		0	0.00		0	0.00		3	23.08		6	46.15		0	0.00		0	0.00		6	46.15		0	0.00		0	0.00		13	100.00		0	0.00		13	0.03																																																																																																																																																																				
Total Ordinary		17085	41.62		1030	2.51		205	0.50		18320	44.63		1439	3.51		256	0.62		31	0.08		1726	4.20		1252	3.05		506	1.23		64	0.16		1822	4.44		181	0.44		123	0.30		39	0.10		343	0.84		2435	5.93		614	1.50		45	0.11		3094	7.54		14273	34.77		1138	2.77		284	0.69		15695	38.23		51	0.12		51	0.12		41051	97.10		1227	2.90		42278	85.13																																																																																																																																																																				
ABSENT		336	38.49		19	2.18		4	0.46		359	41.12		38	4.35		3	0.34		0	0.00		41	4.70		30	3.44		18	2.06		1	0.11		49	5.61		6	0.69		0	0.00		1	0.11		7	0.80		55	6.30		9	1.03		1	0.11		65	7.45		322	36.88		28	3.21		1	0.11		351	40.21		1	0.11		1	0.11		873	97.65		21	2.35		894	1.80																																																																																																																																																																				
POSTAL		478	43.69		41	3.75		10	0.91		529	48.35		54	4.94		14	1.28		2	0.18		70	6.40		30	2.74		16	1.46		1	0.09		47	4.30		6	0.55		4	0.37		1	0.09		11	1.01		79	7.22		19	1.74		1	0.09		99	9.05		293	26.78		35	3.20		10	0.91		338	30.90		0	0.00		0	0.00		1094	99.09		10	0.91		1104	2.22																																																																																																																																																																				
PRE_POLL		2165	43.32		154	3.08		33	0.66		2352	47.06		230	4.60		40	0.80		4	0.08		274	5.48		148	2.96		54	1.08		10	0.20		212	4.24		29	0.58		12	0.24		3	0.06		44	0.88		293	5.86		72	1.44		6	0.12		371	7.42		1568	31.37		147	2.94		22	0.44		1737	34.75		8	0.16		8	0.16		4998	98.00		102	2.00		5100	10.27																																																																																																																																																																				
PROVISIONAL		100	35.84		3	1.08		2	0.72		105	37.63		14	5.02		1	0.36		4	1.43		19	6.81		16	5.73		0	0.00		0	0.00		16	5.73		2	0.72		3	1.08		0	0.00		5	1.79		12	4.30		5	1.79		0	0.00		17	6.09		110	39.43		7	2.51		0	0.00		117	41.94		0	0.00		0	0.00		279	97.55		7	2.45		286	0.58																																																																																																																																																																				
Division Summary		20164	41.75		1247	2.58		254	0.53		21665	44.86		1775	3.68		314	0.65		41	0.08		2130	4.41		1476	3.06		594	1.23		76	0.16		2146	4.44		224	0.46		142	0.29		44	0.09		410	0.85		2874	5.95		719	1.49		53	0.11		3646	7.55		16566	34.30		1355	2.81		317	0.66		18238	37.76		60	0.12		60	0.12		48295	97.25		1367	2.75		49662	92.06																																																																																																																																																																				
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																																											
																																																																																							
																																																																																							
