House of Representatives - 2001 Election: Northern Territory																										
Distribution of Preferences																										
By Polling Place																										
																										
Solomon																										
				POLLOCK			HULL			TOLLNER			DUNSTAN			STEWART			RYAN-JAPARTA			AUSTIN				
		TOTAL		153	4.40		1588	45.65		1329	38.20		171	4.92								238	6.84		3479	
	FOURTH				Excluded		57	37.25		27	17.65		48	31.37								21	13.73		153	
		TOTAL					1645	47.28		1356	38.98		219	6.29								259	7.44		3479	
	FIFTH						84	32.43		80	30.89		95	36.68									Excluded		259	
		TOTAL					1729	49.70		1436	41.28		314	9.03											3479	
	SIXTH						167	53.18		147	46.82			Excluded											314	
		TOTAL					1896	54.50		1583	45.50														3479	
										Elected																
																										
Larrakeyah                                                     																										
	FIRST			80	4.85		476	28.83		844	51.12		116	7.03		43	2.60		14	0.85		78	4.72		1651	
	SECOND			2	14.29		2	14.29		5	35.71		0	0.00		1	7.14			Excluded		4	28.57		14	
		TOTAL		82	4.97		478	28.95		849	51.42		116	7.03		44	2.67					82	4.97		1651	
	THIRD			4	9.09		7	15.91		19	43.18		6	13.64			Excluded					8	18.18		44	
		TOTAL		86	5.21		485	29.38		868	52.57		122	7.39								90	5.45		1651	
	FOURTH				Excluded		29	33.72		12	13.95		36	41.86								9	10.47		86	
		TOTAL					514	31.13		880	53.30		158	9.57								99	6.00		1651	
	FIFTH						19	19.19		36	36.36		44	44.44									Excluded		99	
		TOTAL					533	32.28		916	55.48		202	12.24											1651	
	SIXTH						119	58.91		83	41.09			Excluded											202	
		TOTAL					652	39.49		999	60.51														1651	
										Elected																
																										
Leanyer                                                        																										
	FIRST			98	4.93		797	40.13		842	42.40		118	5.94		40	2.01		8	0.40		83	4.18		1986	
	SECOND			1	12.50		1	12.50		1	12.50		0	0.00		0	0.00			Excluded		5	62.50		8	
		TOTAL		99	4.98		798	40.18		843	42.45		118	5.94		40	2.01					88	4.43		1986	
	THIRD			6	15.00		4	10.00		18	45.00		7	17.50			Excluded					5	12.50		40	
		TOTAL		105	5.29		802	40.38		861	43.35		125	6.29								93	4.68		1986	
	FOURTH				Excluded		34	32.38		10	9.52		45	42.86								16	15.24		105	
		TOTAL					836	42.09		871	43.86		170	8.56								109	5.49		1986	
	FIFTH						32	29.36		36	33.03		41	37.61									Excluded		109	
		TOTAL					868	43.71		907	45.67		211	10.62											1986	
	SIXTH						131	62.09		80	37.91			Excluded											211	
		TOTAL					999	50.30		987	49.70														1986	
										Elected																
																										
Ludmilla                                                       																										
	FIRST			104	6.13		604	35.61		741	43.69		91	5.37		70	4.13		14	0.83		72	4.25		1696	
	SECOND			0	0.00		5	35.71		1	7.14		1	7.14		1	7.14			Excluded		6	42.86		14	
		TOTAL		104	6.13		609	35.91		742	43.75		92	5.42		71	4.19					78	4.60		1696	
	THIRD			8	11.27		11	15.49		26	36.62		7	9.86			Excluded					19	26.76		71	
		TOTAL		112	6.60		620	36.56		768	45.28		99	5.84								97	5.72		1696	
	FOURTH				Excluded		36	32.14		16	14.29		40	35.71								20	17.86		112	
		TOTAL					656	38.68		784	46.23		139	8.20								117	6.90		1696	
	FIFTH						35	29.91		26	22.22		56	47.86									Excluded		117	
		TOTAL					691	40.74		810	47.76		195	11.50											1696	
	SIXTH						127	65.13		68	34.87			Excluded											195	
		TOTAL					818	48.23		878	51.77														1696	
										Elected																
																										
Moulden                                                        																										
	FIRST			26	4.11		265	41.86		233	36.81		26	4.11		42	6.64		11	1.74		30	4.74		633	
	SECOND			1	9.09		2	18.18		0	0.00		1	9.09		1	9.09			Excluded		6	54.55		11	
		TOTAL		27	4.27		267	42.18		233	36.81		27	4.27		43	6.79					36	5.69		633	
	THIRD			8	18.60		4	9.30		15	34.88		6	13.95			Excluded					10	23.26		43	
		TOTAL		35	5.53		271	42.81		248	39.18		33	5.21								46	7.27		633	
	FOURTH				Excluded		7	20.00		6	17.14		11	31.43								11	31.43		35	
		TOTAL					278	43.92		254	40.13		44	6.95								57	9.00		633	
	FIFTH						13	22.81		13	22.81		31	54.39									Excluded		57	
		TOTAL					291	45.97		267	42.18		75	11.85											633	
	SIXTH						39	52.00		36	48.00			Excluded											75	
		TOTAL					330	52.13		303	47.87														633	
										Elected																
																										
Nakara                                                         																										
	FIRST			106	4.77		1008	45.34		766	34.46		149	6.70		58	2.61		10	0.45		126	5.67		2223	
	SECOND			2	20.00		1	10.00		2	20.00		2	20.00		0	0.00			Excluded		3	30.00		10	
		TOTAL		108	4.86		1009	45.39		768	34.55		151	6.79		58	2.61					129	5.80		2223	
	THIRD			8	13.79		13	22.41		12	20.69		5	8.62			Excluded					20	34.48		58	
		TOTAL		116	5.22		1022	45.97		780	35.09		156	7.02								149	6.70		2223	
	FOURTH				Excluded		57	49.14		13	11.21		36	31.03								10	8.62		116	
		TOTAL					1079	48.54		793	35.67		192	8.64								159	7.15		2223	
	FIFTH						46	28.93		46	28.93		67	42.14									Excluded		159	
		TOTAL					1125	50.61		839	37.74		259	11.65											2223	
	SIXTH						168	64.86		91	35.14			Excluded											259	
		TOTAL					1293	58.16		930	41.84														2223	
										Elected																
																										
Nightcliff                                                     																										
	FIRST			341	9.21		1400	37.80		1349	36.42		236	6.37		91	2.46		20	0.54		267	7.21		3704	
	SECOND			4	20.00		4	20.00		0	0.00		2	10.00		1	5.00			Excluded		9	45.00		20	
		TOTAL		345	9.31		1404	37.90		1349	36.42		238	6.43		92	2.48					276	7.45		3704	
	THIRD			14	15.22		18	19.57		32	34.78		6	6.52			Excluded					22	23.91		92	
		TOTAL		359	9.69		1422	38.39		1381	37.28		244	6.59								298	8.05		3704	
	FOURTH				Excluded		136	37.88		26	7.24		163	45.40								34	9.47		359	
		TOTAL					1558	42.06		1407	37.99		407	10.99								332	8.96		3704	
	FIFTH						95	28.61		104	31.33		133	40.06									Excluded		332	
		TOTAL					1653	44.63		1511	40.79		540	14.58											3704	
	SIXTH						382	70.74		158	29.26			Excluded											540	
		TOTAL					2035	54.94		1669	45.06														3704	
										Elected																
																										
Parap                                                          																										
	FIRST			160	6.29		960	37.72		1075	42.24		136	5.34		52	2.04		14	0.55		148	5.82		2545	
	SECOND			1	7.14		1	7.14		1	7.14		4	28.57		0	0.00			Excluded		7	50.00		14	
		TOTAL		161	6.33		961	37.76		1076	42.28		140	5.50		52	2.04					155	6.09		2545	
	THIRD			12	23.08		8	15.38		17	32.69		2	3.85			Excluded					13	25.00		52	
		TOTAL		173	6.80		969	38.07		1093	42.95		142	5.58								168	6.60		2545	
	FOURTH				Excluded		75	43.35		12	6.94		64	36.99								22	12.72		173	
		TOTAL					1044	41.02		1105	43.42		206	8.09								190	7.47		2545	
	FIFTH						50	26.32		64	33.68		76	40.00									Excluded		190	
		TOTAL					1094	42.99		1169	45.93		282	11.08											2545	
	SIXTH						191	67.73		91	32.27			Excluded											282	
		TOTAL					1285	50.49		1260	49.51														2545	
										Elected																
																										
Rapid Creek                                                    																										
	FIRST			103	7.30		647	45.89		469	33.26		67	4.75		49	3.48		7	0.50		68	4.82		1410	
	SECOND			0	0.00		1	14.29		0	0.00		2	28.57		0	0.00			Excluded		4	57.14		7	
		TOTAL		103	7.30		648	45.96		469	33.26		69	4.89		49	3.48					72	5.11		1410	
	THIRD			10	20.41		8	16.33		14	28.57		6	12.24			Excluded					11	22.45		49	
		TOTAL		113	8.01		656	46.52		483	34.26		75	5.32								83	5.89		1410	
	FOURTH				Excluded		48	42.48		6	5.31		53	46.90								6	5.31		113	
		TOTAL					704	49.93		489	34.68		128	9.08								89	6.31		1410	
	FIFTH						24	26.97		22	24.72		43	48.31									Excluded		89	
		TOTAL					728	51.63		511	36.24		171	12.13											1410	
	SIXTH						113	66.08		58	33.92			Excluded											171	
		TOTAL					841	59.65		569	40.35														1410	
										Elected																
																										
Stuart Park                                                    																										
	FIRST			105	6.67		533	33.84		660	41.90		103	6.54		45	2.86		11	0.70		118	7.49		1575	
	SECOND			0	0.00		2	18.18		0	0.00		2	18.18		1	9.09			Excluded		6	54.55		11	
		TOTAL		105	6.67		535	33.97		660	41.90		105	6.67		46	2.92					124	7.87		1575	
	THIRD			6	13.04		8	17.39		14	30.43		7	15.22			Excluded					11	23.91		46	
		TOTAL		111	7.05		543	34.48		674	42.79		112	7.11								135	8.57		1575	
	FOURTH				Excluded		43	38.74		18	16.22		35	31.53								15	13.51		111	
		TOTAL					586	37.21		692	43.94		147	9.33								150	9.52		1575	
	FIFTH						34	22.67		49	32.67		67	44.67									Excluded		150	
		TOTAL					620	39.37		741	47.05		214	13.59											1575	
	SIXTH						138	64.49		76	35.51			Excluded											214	
		TOTAL					758	48.13		817	51.87														1575	
										Elected																
																										
Tiwi                                                           																										
	FIRST			60	5.76		449	43.13		358	34.39		82	7.88		32	3.07		10	0.96		50	4.80		1041	
	SECOND			2	20.00		1	10.00		0	0.00		3	30.00		1	10.00			Excluded		3	30.00		10	
		TOTAL		62	5.96		450	43.23		358	34.39		85	8.17		33	3.17					53	5.09		1041	
	THIRD			5	15.15		6	18.18		9	27.27		3	9.09			Excluded					10	30.30		33	
		TOTAL		67	6.44		456	43.80		367	35.25		88	8.45								63	6.05		1041	
	FOURTH				Excluded		26	38.81		7	10.45		28	41.79								6	8.96		67	
		TOTAL					482	46.30		374	35.93		116	11.14								69	6.63		1041	
	FIFTH						19	27.54		23	33.33		27	39.13									Excluded		69	
		TOTAL					501	48.13		397	38.14		143	13.74											1041	
	SIXTH						95	66.43		48	33.57			Excluded											143	
		TOTAL					596	57.25		445	42.75														1041	
										Elected																
																										
Wagaman                                                        																										
	FIRST			49	3.80		630	48.91		441	34.24		63	4.89		25	1.94		7	0.54		73	5.67		1288	
	SECOND			1	14.29		2	28.57		2	28.57		0	0.00		1	14.29			Excluded		1	14.29		7	
		TOTAL		50	3.88		632	49.07		443	34.39		63	4.89		26	2.02					74	5.75		1288	
	THIRD			5	19.23		7	26.92		7	26.92		4	15.38			Excluded					3	11.54		26	
		TOTAL		55	4.27		639	49.61		450	34.94		67	5.20								77	5.98		1288	
	FOURTH				Excluded		22	40.00		0	0.00		24	43.64								9	16.36		55	
		TOTAL					661	51.32		450	34.94		91	7.07								86	6.68		1288	
	FIFTH						35	40.70		27	31.40		24	27.91									Excluded		86	
		TOTAL					696	54.04		477	37.03		115	8.93											1288	
	SIXTH						69	60.00		46	40.00			Excluded											115	
		TOTAL					765	59.39		523	40.61														1288	
										Elected																
																										
Wanguri                                                        																										
	FIRST			83	5.05		740	45.04		591	35.97		77	4.69		44	2.68		7	0.43		101	6.15		1643	
	SECOND			1	14.29		0	0.00		1	14.29		2	28.57		0	0.00			Excluded		3	42.86		7	
		TOTAL		84	5.11		740	45.04		592	36.03		79	4.81		44	2.68					104	6.33		1643	
	THIRD			5	11.36		5	11.36		20	45.45		6	13.64			Excluded					8	18.18		44	
		TOTAL		89	5.42		745	45.34		612	37.25		85	5.17								112	6.82		1643	
	FOURTH				Excluded		36	40.45		11	12.36		30	33.71								12	13.48		89	
		TOTAL					781	47.53		623	37.92		115	7.00								124	7.55		1643	
	FIFTH						38	30.65		38	30.65		48	38.71									Excluded		124	
		TOTAL					819	49.85		661	40.23		163	9.92											1643	
	SIXTH						99	60.74		64	39.26			Excluded											163	
		TOTAL					918	55.87		725	44.13														1643	
										Elected																
																										
Woodroffe                                                      																										
	FIRST			9	2.16		139	33.33		216	51.80		10	2.40		13	3.12		3	0.72		27	6.47		417	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		9	2.16		139	33.33		217	52.04		10	2.40		13	3.12					29	6.95		417	
	THIRD			1	7.69		0	0.00		5	38.46		2	15.38			Excluded					5	38.46		13	
		TOTAL		10	2.40		139	33.33		222	53.24		12	2.88								34	8.15		417	
	FOURTH				Excluded		4	40.00		2	20.00		3	30.00								1	10.00		10	
		TOTAL					143	34.29		224	53.72		15	3.60								35	8.39		417	
	FIFTH						9	25.71		10	28.57		16	45.71									Excluded		35	
		TOTAL					152	36.45		234	56.12		31	7.43											417	
	SIXTH						14	45.16		17	54.84			Excluded											31	
		TOTAL					166	39.81		251	60.19														417	
										Elected																
																										
Wulagi                                                         																										
	FIRST			56	4.33		509	39.34		534	41.27		63	4.87		42	3.25		11	0.85		79	6.11		1294	
	SECOND			2	18.18		2	18.18		2	18.18		1	9.09		1	9.09			Excluded		3	27.27		11	
		TOTAL		58	4.48		511	39.49		536	41.42		64	4.95		43	3.32					82	6.34		1294	
	THIRD			5	11.63		5	11.63		16	37.21		2	4.65			Excluded					15	34.88		43	
		TOTAL		63	4.87		516	39.88		552	42.66		66	5.10								97	7.50		1294	
	FOURTH				Excluded		24	38.10		10	15.87		20	31.75								9	14.29		63	
		TOTAL					540	41.73		562	43.43		86	6.65								106	8.19		1294	
	FIFTH						34	32.08		33	31.13		39	36.79									Excluded		106	
		TOTAL					574	44.36		595	45.98		125	9.66											1294	
	SIXTH						69	55.20		56	44.80			Excluded											125	
		TOTAL					643	49.69		651	50.31														1294	
										Elected																
																										
Special Hospital Team 1                                        																										
	FIRST			16	16.00		31	31.00		34	34.00		6	6.00		1	1.00		2	2.00		10	10.00		100	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		17	17.00		31	31.00		35	35.00		6	6.00		1	1.00					10	10.00		100	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL		17	17.00		31	31.00		35	35.00		6	6.00								11	11.00		100	
	FOURTH				Excluded		12	70.59		4	23.53		1	5.88								0	0.00		17	
		TOTAL					43	43.00		39	39.00		7	7.00								11	11.00		100	
	FIFTH						2	18.18		6	54.55		3	27.27									Excluded		11	
		TOTAL					45	45.00		45	45.00		10	10.00											100	
	SIXTH						5	50.00		5	50.00			Excluded											10	
		TOTAL					50	50.00		50	50.00														100	
										Elected																
																										
Special Hospital Team 2                                        																										
	FIRST			1	5.56		10	55.56		6	33.33		1	5.56		0	0.00		0	0.00		0	0.00		18	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	5.56		10	55.56		6	33.33		1	5.56		0	0.00					0	0.00		18	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL		1	5.56		10	55.56		6	33.33		1	5.56								0	0.00		18	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00								1	100.00		1	
		TOTAL					10	55.56		6	33.33		1	5.56								1	5.56		18	
	FIFTH						0	0.00		1	100.00		0	0.00									Excluded		1	
		TOTAL					10	55.56		7	38.89		1	5.56											18	
	SIXTH						0	0.00		1	100.00			Excluded											1	
		TOTAL					10	55.56		8	44.44														18	
										Elected																
																										
Prison Mobile Team 1                                           																										
	FIRST			0	0.00		7	53.85		2	15.38		1	7.69		1	7.69		0	0.00		2	15.38		13	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		7	53.85		2	15.38		1	7.69		1	7.69					2	15.38		13	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL		0	0.00		7	53.85		2	15.38		1	7.69								3	23.08		13	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00								0	0.00		0	
		TOTAL					7	53.85		2	15.38		1	7.69								3	23.08		13	
	FIFTH						1	33.33		0	0.00		2	66.67									Excluded		3	
		TOTAL					8	61.54		2	15.38		3	23.08											13	
	SIXTH						2	66.67		1	33.33			Excluded											3	
		TOTAL					10	76.92		3	23.08														13	
										Elected																
																										
ABSENT																										
	FIRST			53	6.38		352	42.36		297	35.74		49	5.90		31	3.73		11	1.32		38	4.57		831	
	SECOND			3	27.27		0	0.00		1	9.09		1	9.09		2	18.18			Excluded		4	36.36		11	
		TOTAL		56	6.74		352	42.36		298	35.86		50	6.02		33	3.97					42	5.05		831	
	THIRD			3	9.09		5	15.15		4	12.12		7	21.21			Excluded					14	42.42		33	
		TOTAL		59	7.10		357	42.96		302	36.34		57	6.86								56	6.74		831	
	FOURTH				Excluded		25	42.37		9	15.25		18	30.51								7	11.86		59	
		TOTAL					382	45.97		311	37.42		75	9.03								63	7.58		831	
	FIFTH						18	28.57		12	19.05		33	52.38									Excluded		63	
		TOTAL					400	48.13		323	38.87		108	13.00											831	
	SIXTH						73	67.59		35	32.41			Excluded											108	
		TOTAL					473	56.92		358	43.08														831	
										Elected																
																										
POSTAL																										
	FIRST			42	3.76		361	32.35		517	46.33		73	6.54		61	5.47		6	0.54		56	5.02		1116	
	SECOND			1	16.67		1	16.67		0	0.00		0	0.00		1	16.67			Excluded		3	50.00		6	
		TOTAL		43	3.85		362	32.44		517	46.33		73	6.54		62	5.56					59	5.29		1116	
	THIRD			5	8.06		11	17.74		28	45.16		3	4.84			Excluded					15	24.19		62	
		TOTAL		48	4.30		373	33.42		545	48.84		76	6.81								74	6.63		1116	
	FOURTH				Excluded		12	25.00		7	14.58		23	47.92								6	12.50		48	
		TOTAL					385	34.50		552	49.46		99	8.87								80	7.17		1116	
	FIFTH						17	21.25		25	31.25		38	47.50									Excluded		80	
		TOTAL					402	36.02		577	51.70		137	12.28											1116	
	SIXTH						86	62.77		51	37.23			Excluded											137	
		TOTAL					488	43.73		628	56.27														1116	
										Elected																
																										
PRE POLL																										
	FIRST			261	5.31		1727	35.11		2164	43.99		298	6.06		250	5.08		50	1.02		169	3.44		4919	
	SECOND			4	8.00		15	30.00		13	26.00		0	0.00		2	4.00			Excluded		16	32.00		50	
		TOTAL		265	5.39		1742	35.41		2177	44.26		298	6.06		252	5.12					185	3.76		4919	
	THIRD			24	9.52		40	15.87		93	36.90		22	8.73			Excluded					73	28.97		252	
		TOTAL		289	5.88		1782	36.23		2270	46.15		320	6.51								258	5.24		4919	
	FOURTH				Excluded		106	36.68		39	13.49		92	31.83								52	17.99		289	
		TOTAL					1888	38.38		2309	46.94		412	8.38								310	6.30		4919	
	FIFTH						85	27.42		90	29.03		135	43.55									Excluded		310	
		TOTAL					1973	40.11		2399	48.77		547	11.12											4919	
	SIXTH						343	62.71		204	37.29			Excluded											547	
		TOTAL					2316	47.08		2603	52.92														4919	
										Elected																
																										
PROVISIONAL																										
	FIRST			24	10.91		86	39.09		78	35.45		14	6.36		10	4.55		3	1.36		5	2.27		220	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		24	10.91		86	39.09		79	35.91		15	6.82		10	4.55					6	2.73		220	
	THIRD			1	10.00		2	20.00		4	40.00		0	0.00			Excluded					3	30.00		10	
		TOTAL		25	11.36		88	40.00		83	37.73		15	6.82								9	4.09		220	
	FOURTH				Excluded		12	48.00		5	20.00		5	20.00								3	12.00		25	
		TOTAL					100	45.45		88	40.00		20	9.09								12	5.45		220	
	FIFTH						2	16.67		2	16.67		8	66.67									Excluded		12	
		TOTAL					102	46.36		90	40.91		28	12.73											220	
	SIXTH						10	35.71		18	64.29			Excluded											28	
		TOTAL					112	50.91		108	49.09														220	
										Elected																
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
