House of Representatives - 1993 Election							
Two Party Preferred Statistics							
By Division							

National Summary							
			Coalition				
Wentworth	32843	44.54	40891	55.46	73734	-0.67	31
Werriwa	44671	65.77	23250	34.23	67921	1.69	31
State Total	1928635	54.38	1617712	45.62	3546347	2.25	2131


Victoria							

Division	ALP		LP/NP		Total	Swing	Exh
	Votes	%	Votes	%			
Aston	35896	48.08	38762	51.92	74658	2.71	53
Ballarat	33687	47.8	36787	52.2	70474	-0.32	51
Batman	52200	73.43	18889	26.57	71089	6.03	35
Bendigo	36579	49.93	36677	50.07	73256	1.08	29
Bruce	31937	44.91	39181	55.09	71118	4.24	39
Burke	43345	59.96	28941	40.04	72286	6.66	51
Calwell	51672	68.44	23831	31.56	75503	11.37	46
Casey	32409	44.03	41199	55.97	73608	2.26	63
Chisholm	33937	47.12	38083	52.88	72020	3.41	43
Corangamite	30701	43.03	40655	56.97	71356	3.82	51
Corinella	42043	53.74	36193	46.26	78236	4.47	79
Corio	41255	57.19	30880	42.81	72135	2.97	35
Deakin	35048	48.73	36879	51.27	71927	1.08	62
Dunkley	34813	50.61	33969	49.39	68782	1.81	52
Flinders	31079	44.81	38271	55.19	69350	0.05	20
Gellibrand	52259	75.38	17072	24.62	69331	6.87	82
Gippsland	24345	33.7	47886	66.3	72231	2.64	70
Goldstein	32376	44.46	40449	55.54	72825	0.42	50
Higgins	28832	39.87	43491	60.13	72323	1.69	35
Holt	40852	60.1	27116	39.9	67968	3.16	49
Hotham	45119	62.99	26511	37.01	71630	8.78	58
Indi	26431	37.12	44767	62.88	71198	1.32	28
Isaacs	33266	47.02	37490	52.98	70756	2.74	47
Jagajaga	37430	55.46	30064	44.54	67494	2.82	77
Kooyong	24893	35.93	44381	64.07	69274	0.74	27
Lalor	49628	67.35	24055	32.65	73683	8.38	28
La Trobe	34893	47.64	38348	52.36	73241	-1.01	57
McEwen	38347	50.69	37307	49.31	75654	3.9	40
McMillan	37793	50.4	37200	49.6	74993	4.84	109
Mallee	22519	30.63	51006	69.37	73525	4.46	44
Maribyrnong	49765	68.72	22649	31.28	72414	11.51	40
Melbourne	53725	73.74	19133	26.26	72858	6.27	106
Melbourne Ports	39862	55.85	31513	44.15	71375	3.8	52
Menzies	28553	40.77	41488	59.23	70041	5.02	30
Murray	21754	29.59	51767	70.41	73521	2.86	26
Scullin	51314	68.62	23468	31.38	74782	9.23	98
Wannon	29967	40.73	43608	59.27	73575	3.39	29
Wills	49311	70.2	20932	29.8	70243	12.27	191
State Total	1419835	51.8	1320898	48.2	2740733	4.34	2082


Queensland							

Division	ALP		LP/NP		Total	Swing	Exh
	Votes	%	Votes	%			
Bowman	40554	57.42	30067	42.58	70621	-0.61	43
Brisbane	41610	55.99	32705	44.01	74315	-0.16	42
Capricornia	39663	52.73	35554	47.27	75217	-4.68	71
Dawson	34811	46.16	40605	53.84	75416	-3.68	31
Dickson	34033	50.26	33686	49.74	67719	-2.53	38
Fadden	31205	46.23	36297	53.77	67502	0.75	52
Fairfax	28683	40.2	42662	59.8	71345	-2.02	53
Fisher	31976	44.64	39650	55.36	71626	-2.21	37
Forde	40969	58.57	28979	41.43	69948	2.22	45
Griffith	43425	57.98	31473	42.02	74898	-0.04	75
Groom	27031	35.88	48304	64.12	75335	-1.69	37
Herbert	40452	52.37	36786	47.63	77238	-2.63	56
Hinkler	38553	49.78	38897	50.22	77450	-4.62	34
Kennedy	34675	47.12	38915	52.88	73590	-4.78	50
Leichhardt	35575	51.32	33742	48.68	69317	-2.42	104
Lilley	41601	56.22	32391	43.78	73992	-0.46	22
McPherson	28253	40.92	40790	59.08	69043	0.83	22
Maranoa	24731	31.87	52874	68.13	77605	-4.64	64
Moncrieff	26101	37.59	43333	62.41	69434	0.21	20
Moreton	38424	51.74	35844	48.26	74268	-0.12	59
Oxley	45344	62.58	27114	37.42	72458	1.64	52
Petrie	38256	52.1	35176	47.9	73432	-0.84	60
Rankin	37449	52.67	33647	47.33	71096	-0.49	59
Ryan	30662	39.39	47175	60.61	77837	-2.48	29
Wide Bay	30390	40.29	45043	59.71	75433	-4.12	34
State Total	884426	48.43	941709	51.57	1826135	-1.76	1189


Western Australia							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Brand	40366	53.7	34805	46.3	75171	-1.49	39
Canning	33016	50.19	32772	49.81	65788	-1.58	30
Cowan	34412	49.07	35719	50.93	70131	-1.78	31
Curtin	24072	34.78	45149	65.22	69221	-2.41	38
Forrest	27350	38.27	44124	61.73	71474	-1.82	39
Fremantle	40375	57.79	29491	42.21	69866	-0.51	16
Kalgoorlie	38770	59.94	25907	40.06	64677	-0.29	55
Moore	29606	41.27	42125	58.73	71731	-1.81	18
O'Connor	18174	25.98	51780	74.02	69954	-2.11	34
Pearce	27909	41.24	39771	58.76	67680	0.17	42
Perth	38202	56.15	29839	43.85	68041	0.97	72
Stirling	33277	48.53	35286	51.47	68563	-1.64	49
Swan	33917	50.22	33623	49.78	67540	-2.13	58
Tangney	26016	38.14	42189	61.86	68205	-0.1	30
State Total	445462	46.02	522580	53.98	968042	-1.11	551


South Australia							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Adelaide	37181	48.69	39188	51.31	76369	-3.15	146
Barker	26265	34.03	50928	65.97	77193	-2.27	107
Bonython	45174	64.75	24598	35.25	69772	-0.92	51
Boothby	33266	42.2	45557	57.8	78823	-3.29	50
Grey	37483	47.92	40729	52.08	78212	-4.11	161
Hindmarsh	38627	48.36	41245	51.64	79872	-2.61	63
Kingston	39212	51.45	37000	48.55	76212	-2.85	74
Makin	42155	53.7	36339	46.3	78494	0.28	47
Mayo	31097	39.4	47827	60.6	78924	-1.01	107
Port Adelaide	47811	62.05	29246	37.95	77057	-0.35	87
Sturt	32690	44.29	41123	55.71	73813	-1.04	81
Wakefield	25689	33.02	52112	66.98	77801	-4.91	159
State Total	436650	47.33	485892	52.67	922542	-2.17	1133


Tasmania							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Bass	30850	50.03	30810	49.97	61660	4.54	20
Braddon	28509	47.15	31952	52.85	60461	5.41	20
Denison	41195	64.44	22733	35.56	63928	8.45	37
Franklin	34119	57.43	25288	42.57	59407	9.64	20
Lyons	33107	53.78	28456	46.22	61563	5.72	24
State Total	167780	54.65	139239	45.35	307019	6.75	121


Australian Capital Territory							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Canberra	53432	59.56	36275	40.44	89707	3.82	35
Fraser	56623	62.81	33521	37.19	90144	1.78	83
Territory Total	110055	61.19	69796	38.81	179851	2.65	118


Northern Territory							

Division	ALP		CLP		Total	Swing	Exh
	Votes	%	Votes	%			
Northern Territory	43578	55.31	35207	44.69	78785	0.29	0
Territory Total	43578	55.31	35207	44.69	78785	0.29	0
