House of Representatives - 1993 Election 																
First Preference Votes																
By Vote Type by Party by State																
NP	4	4	3	123573	5.1	6706	4.54	312	4.07	3106	3.75	3771	4.52	2	137470	5.01
ALP	38	38	17	1138906	47.04	65440	44.28	4163	54.33	33110	39.96	32370	38.78	-15	1273974	46.45
DEM	37	37	0	85939	3.55	8182	5.54	306	3.99	3812	4.6	2958	3.54	-12	101185	3.69
GRN	1	1	0	2952	0.12	203	0.14	8	0.1	87	0.11	67	0.08	0	3317	0.12
CTA	11	11	0	11605	0.48	857	0.58	36	0.47	454	0.55	338	0.4	-1	13289	0.48
Other	38	86	1	95760	3.96	8457	5.72	441	5.75	3312	4	2650	3.18	-5	110615	4.03
FORMAL				2421078	97.11	147794	96.92	7663	94.76	82849	98.02	83463	98.92	-32	2742815	97.17
INFORMAL				72052	2.89	4703	3.08	424	5.24	1675	1.98	909	1.08	48	79811	2.83
TOTAL				2493130	88.33	152497	5.4	8087	0.29	84524	2.99	84372	2.99	16	2822626	96.25


Queensland																
Enrolment 1971729																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	25	25	7	492010	31.05	33484	30.21	814	27.41	24508	39.22	20410	30.74	0	571226	31.26
NP	25	25	5	230804	14.57	15662	14.13	262	8.82	7819	12.51	14605	22	0	269152	14.73
ALP	25	25	13	648502	40.92	42768	38.59	1334	44.92	22139	35.43	25116	37.83	3	739862	40.49
DEM	25	25	0	63886	4.03	5742	5.18	153	5.15	2481	3.97	2016	3.04	0	74278	4.06
Other	25	106	0	149442	9.43	13171	11.88	407	13.7	5543	8.87	4243	6.39	0	172806	9.46
FORMAL				1584644	97.29	110827	97.31	2970	95.16	62490	98.26	66390	98.97	3	1827324	97.38
INFORMAL				44105	2.71	3065	2.69	151	4.84	1107	1.74	693	1.03	14	49135	2.62
TOTAL				1628749	86.8	113892	6.07	3121	0.17	63597	3.39	67083	3.57	17	1876459	95.17


Western Australia																
Enrolment 1038968																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	14	14	8	415911	48.83	33681	48.95	1299	35.18	13418	52.93	10434	55	0	474743	49.01
NP	1	1	0	2044	0.24	198	0.29	6	0.16	46	0.18	51	0.27	0	2345	0.24
ALP	14	14	6	339848	39.9	24109	35.04	1821	49.32	8707	34.34	6658	35.1	0	381143	39.35
DEM	14	14	0	27341	3.21	2789	4.05	145	3.93	942	3.72	574	3.03	0	31791	3.28
GWA	14	14	0	47151	5.54	5957	8.66	300	8.13	1691	6.67	808	4.26	0	55907	5.77
CTA	4	4	0	4887	0.57	331	0.48	24	0.65	90	0.36	77	0.41	0	5409	0.56
Other	12	24	0	14585	1.71	1746	2.54	97	2.63	458	1.81	369	1.95	0	17255	1.78
FORMAL				851767	97.47	68811	97.26	3692	95.4	25352	98.08	18971	98.57	0	968593	97.48
INFORMAL				22108	2.53	1935	2.74	178	4.6	495	1.92	276	1.43	0	24992	2.52
TOTAL				873875	87.95	70746	7.12	3870	0.39	25847	2.6	19247	1.94	0	993585	95.63


South Australia																
Enrolment 1014400																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	12	12	8	374344	45.55	22101	43.11	426	33.84	11182	47.88	13634	52.59	0	421687	45.65
NP	1	1	0	2621	0.32	114	0.22	4	0.32	49	0.21	90	0.35	0	2878	0.31
ALP	12	12	4	321379	39.1	19112	37.28	581	46.15	8641	37	8997	34.7	-3	358707	38.83
DEM	12	12	0	63283	7.7	5169	10.08	114	9.05	1773	7.59	1642	6.33	0	71981	7.79
CTA	7	7	0	7121	0.87	591	1.15	9	0.71	199	0.85	214	0.83	0	8134	0.88
Other	12	46	0	53124	6.46	4182	8.16	125	9.93	1508	6.46	1349	5.2	0	60288	6.53
FORMAL				821872	95.9	51269	95.04	1259	90.97	23352	97.07	25926	98.39	-3	923675	95.94
INFORMAL				35153	4.1	2677	4.96	125	9.03	706	2.93	425	1.61	2	39088	4.06
TOTAL				857025	89.02	53946	5.6	1384	0.14	24058	2.5	26351	2.74	-1	962763	94.91


Tasmania																
Enrolment 327919																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	5	5	1	115077	41.99	6322	40.44	94	30.72	3491	43.62	4149	45.4	-1	129132	42.04
ALP	5	5	4	129433	47.23	6963	44.54	166	54.25	3079	38.47	3981	43.56	-1	143621	46.76
DEM	5	5	0	6701	2.45	464	2.97	8	2.61	245	3.06	235	2.57	0	7653	2.49
Other	5	8	0	22852	8.34	1884	12.05	38	12.42	1188	14.84	774	8.47	-2	26734	8.7
FORMAL				274063	97.17	15633	97.54	306	95.63	8003	98.16	9139	98.92	-4	307140	97.27
INFORMAL				7972	2.83	394	2.46	14	4.38	150	1.84	100	1.08	4	8634	2.73
TOTAL				282035	89.32	16027	5.08	320	0.1	8153	2.58	9239	2.93	0	315774	96.3


Australian Capital Territory																
Enrolment 192487																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	2	2	0	48506	33.91	1078	30.24	396	23.78	9366	35.8	2189	39.46	0	61535	34.19
ALP	2	2	2	76908	53.77	1901	53.32	1018	61.14	13507	51.63	2658	47.91	1	95993	53.34
DEM	2	2	0	8220	5.75	224	6.28	89	5.35	1505	5.75	319	5.75	-2	10355	5.75
Other	2	9	0	9399	6.57	362	10.15	162	9.73	1783	6.82	382	6.89	-2	12086	6.72
FORMAL				143033	96.52	3565	95.35	1665	93.8	26161	97.39	5548	98.25	-3	179969	96.65
INFORMAL				5154	3.48	174	4.65	110	6.2	700	2.61	99	1.75	3	6240	3.35
TOTAL				148187	79.58	3739	2.01	1775	0.95	26861	14.43	5647	3.03	0	186209	96.74


Northern Territory																
Enrolment 91563																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
CLP	1	1	0	31197	43.9	0	0	236	31.34	2517	51.55	1257	60.11	0	35207	44.69
ALP	1	1	1	39861	56.1	0	0	517	68.66	2366	48.45	834	39.89	0	43578	55.31
Other	0	 	 	 	      	 	      	 	      	 	      	 	      		 	      
FORMAL				71058	96.95	0	0	753	93.66	4883	96.46	2091	97.39	0	78785	96.9
INFORMAL				2232	3.05	0	0	51	6.34	179	3.54	56	2.61	0	2518	3.1
TOTAL				73290	90.14	0	0	804	0.99	5062	6.23	2147	2.64	0	81303	88.79
