Unendorsed -  SIMMONS	492	78.72	133	21.28	625
Unendorsed -  HARMS	1008	67.79	479	32.21	1487
LP	370640	96.61	12997	3.39	383637
CEC	845	94.1	53	5.9	898
DSL	3788	89	468	11	4256
GRN	16801	80.41	4094	19.59	20895
HAN	82401	89.65	9509	10.35	91910
ALP	289315	95.39	13984	4.61	303299
Unendorsed -  PFITZNER-EU	929	63.37	537	36.63	1466
NP	3982	89.58	463	10.42	4445
Ungrouped			554	100	554

Total for South Australia	879506	92.89	67310	7.11	946816


Tasmania					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
ACS	1111	63.49	639	36.51	1750
GRN	10292	57.48	7613	42.52	17905
LP	85467	81.97	18801	18.03	104268
DSL	573	75.99	181	24.01	754
TFP	3078	67.68	1470	32.32	4548
CDP	633	66.98	312	33.02	945
DEN	6841	56.5	5266	43.5	12107
HAR	14573	60.08	9681	39.92	24254
ALP	109153	85.03	19224	14.97	128377
RPA	188	75.5	61	24.5	249
HAN	8673	74.41	2982	25.59	11655
AWP	682	84.83	122	15.17	804
Ungrouped			761	100	761

Total for Tasmania	241264	78.24	67113	21.76	308377


Australian Capital Territory					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
ACS	522	60.14	346	39.86	868
HAN	7187	74.7	2434	25.3	9621
AWP	655	74.77	221	25.23	876
LP	53597	87.31	7788	12.69	61385
DEM	18066	55.02	14767	44.98	32833
ALP	69871	83.31	13996	16.69	83867
GRN	4121	64.54	2264	35.46	6385
Ungrouped			1200	100	1200

Total for Australian Capital Territory	154019	78.17	43016	21.83	197035


Northern Territory					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
GRN	3058	72.26	1174	27.74	4232
CLP	31892	88.43	4171	11.57	36063
DEM	3676	71.81	1443	28.19	5119
HAN	6978	80.61	1679	19.39	8657
ALP	34024	88.93	4235	11.07	38259
Ungrouped			672	100	672

Total for Northern Territory	79628	85.62	13374	14.38	93002
