Senate -  1998 Election: Northern Territory																												
First Preference Votes by Group																												
By Polling Place																												


Northern Territory (105048)																												

	   		Group Total GRN			Group Total CLP			Group Total DEM			Group Total HAN			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Moulden		                                    	20	2.64	  	273	36.06	  	37	4.89	  	102	13.47	  	316	41.74	  	9	1.19	  	757	98.57	  	11	1.43	  	768	0.81
Nakara		                                     	99	4.01	  	1006	40.76	  	158	6.4	  	181	7.33	  	998	40.44	  	26	1.05	  	2468	97.9	  	53	2.1	  	2521	2.66
Nhulunbuy		                                  	62	3.71	  	687	41.11	  	119	7.12	  	179	10.71	  	621	37.16	  	3	0.18	  	1671	98.12	  	32	1.88	  	1703	1.79
Nightcliff		                                 	210	5.68	  	1501	40.62	  	275	7.44	  	284	7.69	  	1375	37.21	  	50	1.35	  	3695	97.34	  	101	2.66	  	3796	4
Parap		                                      	160	5.49	  	1322	45.4	  	188	6.46	  	197	6.77	  	1006	34.55	  	39	1.34	  	2912	97.03	  	89	2.97	  	3001	3.16
Pine Creek		                                 	3	1.58	  	76	40	  	8	4.21	  	46	24.21	  	56	29.47	  	1	0.53	  	190	98.45	  	3	1.55	  	193	0.2
Rapid Creek		                                	79	4.44	  	581	32.64	  	101	5.67	  	148	8.31	  	847	47.58	  	24	1.35	  	1780	97.48	  	46	2.52	  	1826	1.92
Sadadeen		                                   	98	4.29	  	1024	44.87	  	204	8.94	  	223	9.77	  	724	31.73	  	9	0.39	  	2282	98.57	  	33	1.43	  	2315	2.44
Stuart Park		                                	80	5.46	  	649	44.33	  	89	6.08	  	108	7.38	  	504	34.43	  	34	2.32	  	1464	98.45	  	23	1.55	  	1487	1.57
Tennant Creek		                              	64	4.66	  	477	34.74	  	48	3.5	  	218	15.88	  	564	41.08	  	2	0.15	  	1373	97.79	  	31	2.21	  	1404	1.48
Tindal		                                     	4	1.24	  	167	51.7	  	19	5.88	  	72	22.29	  	60	18.58	  	1	0.31	  	323	99.08	  	3	0.92	  	326	0.34
Tiwi		                                       	41	4.35	  	302	32.06	  	94	9.98	  	81	8.6	  	417	44.27	  	7	0.74	  	942	98.43	  	15	1.57	  	957	1.01
Wanguri		                                    	66	3.24	  	811	39.85	  	127	6.24	  	135	6.63	  	878	43.14	  	18	0.88	  	2035	97.6	  	50	2.4	  	2085	2.2
West Island		                                	4	10.81	  	11	29.73	  	7	18.92	  	0	0	  	15	40.54	  	0	0	  	37	100	  	0	0	  	37	0.04
Woodroffe		                                  	18	2.06	  	359	41.12	  	35	4.01	  	132	15.12	  	313	35.85	  	16	1.83	  	873	98.98	  	9	1.02	  	882	0.93
Wulagi		                                     	35	3.17	  	426	38.55	  	84	7.6	  	117	10.59	  	430	38.91	  	13	1.18	  	1105	98.22	  	20	1.78	  	1125	1.19
Yirara		                                     	24	3.67	  	349	53.36	  	53	8.1	  	62	9.48	  	166	25.38	  	0	0	  	654	97.9	  	14	2.1	  	668	0.7
Yulara		                                     	36	10.08	  	156	43.7	  	32	8.96	  	15	4.2	  	118	33.05	  	0	0	  	357	99.44	  	2	0.56	  	359	0.38
Special Hospitals		                          	10	4.26	  	88	37.45	  	11	4.68	  	11	4.68	  	114	48.51	  	1	0.43	  	235	99.16	  	2	0.84	  	237	0.25
Remote Mobiles		                             	996	7.55	  	2182	16.55	  	361	2.74	  	355	2.69	  	9285	70.41	  	8	0.06	  	13187	97.28	  	369	2.72	  	13556	14.29
Prison Mobiles		                             	14	6.03	  	51	21.98	  	10	4.31	  	10	4.31	  	147	63.36	  	0	0	  	232	98.72	  	3	1.28	  	235	0.25
Total Ordinary		                             	3582	4.51	  	30177	38.01	  	4397	5.54	  	7174	9.04	  	33456	42.15	  	596	0.75	  	79382	97.87	  	1731	2.13	  	81113	85.48
POSTAL		                                     	98	3.48	  	1451	51.55	  	158	5.61	  	375	13.32	  	720	25.58	  	13	0.46	  	2815	99.15	  	24	0.85	  	2839	2.99
PRE_POLL		                                   	395	4.65	  	3769	44.39	  	483	5.69	  	907	10.68	  	2884	33.97	  	52	0.61	  	8490	99	  	86	1	  	8576	9.04
PROVISIONAL		                                	157	6.78	  	666	28.77	  	81	3.5	  	201	8.68	  	1199	51.79	  	11	0.48	  	2315	98.05	  	46	1.95	  	2361	2.49
Division Summary		                           	4232	4.55	  	36063	38.78	  	5119	5.5	  	8657	9.31	  	38259	41.14	  	672	0.72	  	93002	98.01	  	1887	1.99	  	94889	90.33
