Senate -  1998 Election: Australian Capital Territory																																		
First Preference Votes by Group																																		
By Polling Place																																		


Canberra (105359)																																		

	   		Group Total ACS			Group Total HAN			Group Total AWP			Group Total LP			Group Total DEM			Group Total ALP			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Gilmore		                                    	15	0.78	 	120	6.24	 	7	0.36	 	633	32.92	 	289	15.03	 	812	42.23	 	39	2.03	 	8	0.42	 	1923	98.31	 	33	1.69	 	1956	1.93
Gordon		                                     	17	0.53	 	167	5.2	 	10	0.31	 	1077	33.53	 	379	11.8	 	1486	46.26	 	60	1.87	 	16	0.5	 	3212	98.08	 	63	1.92	 	3275	3.23
Gowrie		                                     	7	0.41	 	75	4.44	 	11	0.65	 	559	33.08	 	274	16.21	 	722	42.72	 	31	1.83	 	11	0.65	 	1690	98.2	 	31	1.8	 	1721	1.7
Holder		                                     	3	0.22	 	50	3.6	 	4	0.29	 	443	31.94	 	268	19.32	 	571	41.17	 	44	3.17	 	4	0.29	 	1387	98.44	 	22	1.56	 	1409	1.39
Hughes		                                     	10	0.39	 	76	3	 	7	0.28	 	872	34.37	 	577	22.74	 	896	35.32	 	83	3.27	 	16	0.63	 	2537	98.33	 	43	1.67	 	2580	2.55
Isabella Plains		                            	9	0.42	 	108	5.07	 	8	0.38	 	656	30.78	 	278	13.05	 	1031	48.38	 	30	1.41	 	11	0.52	 	2131	97.84	 	47	2.16	 	2178	2.15
Kambah East		                                	12	0.71	 	108	6.38	 	7	0.41	 	536	31.64	 	219	12.93	 	759	44.81	 	40	2.36	 	13	0.77	 	1694	98.03	 	34	1.97	 	1728	1.71
Kambah North		                               	5	0.34	 	100	6.84	 	6	0.41	 	436	29.8	 	232	15.86	 	620	42.38	 	60	4.1	 	4	0.27	 	1463	97.66	 	35	2.34	 	1498	1.48
Kambah South		                               	3	0.21	 	55	3.8	 	6	0.41	 	412	28.43	 	193	13.32	 	728	50.24	 	41	2.83	 	11	0.76	 	1449	98.3	 	25	1.7	 	1474	1.45
Kambah West		                                	15	0.48	 	191	6.14	 	19	0.61	 	901	28.95	 	525	16.87	 	1346	43.25	 	85	2.73	 	30	0.96	 	3112	97.74	 	72	2.26	 	3184	3.14
Lyons		                                      	6	0.47	 	82	6.47	 	6	0.47	 	303	23.91	 	217	17.13	 	583	46.01	 	62	4.89	 	8	0.63	 	1267	97.16	 	37	2.84	 	1304	1.29
Mawson		                                     	9	0.38	 	107	4.49	 	4	0.17	 	836	35.08	 	402	16.87	 	953	39.99	 	59	2.48	 	13	0.55	 	2383	97.19	 	69	2.81	 	2452	2.42
Monash		                                     	15	0.61	 	99	4.04	 	6	0.24	 	829	33.85	 	362	14.78	 	1070	43.69	 	58	2.37	 	10	0.41	 	2449	97.88	 	53	2.12	 	2502	2.47
Oaks Estate		                                	0	0	 	20	13.42	 	0	0	 	38	25.5	 	18	12.08	 	67	44.97	 	3	2.01	 	3	2.01	 	149	96.13	 	6	3.87	 	155	0.15
Pearce		                                     	8	0.4	 	99	4.92	 	3	0.15	 	727	36.12	 	372	18.48	 	742	36.86	 	57	2.83	 	5	0.25	 	2013	97.77	 	46	2.23	 	2059	2.03
Red Hill		                                   	3	0.2	 	57	3.76	 	4	0.26	 	614	40.5	 	313	20.65	 	454	29.95	 	61	4.02	 	10	0.66	 	1516	97.81	 	34	2.19	 	1550	1.53
Richardson		                                 	10	0.67	 	102	6.88	 	8	0.54	 	419	28.25	 	143	9.64	 	750	50.57	 	46	3.1	 	5	0.34	 	1483	98.15	 	28	1.85	 	1511	1.49
Rivett		                                     	5	0.27	 	109	5.88	 	9	0.49	 	530	28.59	 	330	17.8	 	817	44.07	 	39	2.1	 	15	0.81	 	1854	98.3	 	32	1.7	 	1886	1.86
Tharwa		                                     	0	0	 	1	0.88	 	0	0	 	38	33.63	 	24	21.24	 	43	38.05	 	6	5.31	 	1	0.88	 	113	98.26	 	2	1.74	 	115	0.11
Theodore		                                   	8	0.59	 	56	4.13	 	8	0.59	 	412	30.36	 	190	14	 	643	47.38	 	31	2.28	 	9	0.66	 	1357	98.33	 	23	1.67	 	1380	1.36
Uriarra		                                    	0	0	 	1	4.76	 	0	0	 	3	14.29	 	2	9.52	 	15	71.43	 	0	0	 	0	0	 	21	100	 	0	0	 	21	0.02
Wanniassa		                                  	7	0.27	 	143	5.57	 	3	0.12	 	750	29.22	 	394	15.35	 	1203	46.86	 	53	2.06	 	14	0.55	 	2567	97.87	 	56	2.13	 	2623	2.59
Wanniassa Hills		                            	12	0.5	 	112	4.67	 	9	0.38	 	826	34.46	 	408	17.02	 	948	39.55	 	65	2.71	 	17	0.71	 	2397	98.2	 	44	1.8	 	2441	2.41
Waramanga		                                  	12	0.4	 	144	4.77	 	16	0.53	 	890	29.45	 	553	18.3	 	1300	43.02	 	91	3.01	 	16	0.53	 	3022	97.05	 	92	2.95	 	3114	3.07
Weston		                                     	4	0.24	 	69	4.12	 	11	0.66	 	508	30.33	 	320	19.1	 	684	40.84	 	67	4	 	12	0.72	 	1675	97.78	 	38	2.22	 	1713	1.69
Yarralumla		                                 	1	0.07	 	59	3.86	 	6	0.39	 	512	33.46	 	340	22.22	 	566	36.99	 	41	2.68	 	5	0.33	 	1530	97.45	 	40	2.55	 	1570	1.55
Special Hospitals		                          	3	0.46	 	20	3.07	 	5	0.77	 	384	58.9	 	68	10.43	 	163	25	 	9	1.38	 	0	0	 	652	94.08	 	41	5.92	 	693	0.68
Total Ordinary		                             	290	0.42	 	3361	4.86	 	260	0.38	 	22813	33.01	 	11471	16.6	 	28775	41.64	 	1760	2.55	 	379	0.55	 	69109	97.93	 	1460	2.07	 	70569	69.66
ABSENT		                                     	13	0.66	 	82	4.18	 	12	0.61	 	562	28.66	 	314	16.01	 	868	44.26	 	102	5.2	 	8	0.41	 	1961	98.1	 	38	1.9	 	1999	1.97
POSTAL		                                     	21	0.43	 	260	5.38	 	28	0.58	 	2019	41.8	 	648	13.42	 	1699	35.18	 	128	2.65	 	27	0.56	 	4830	99.16	 	41	0.84	 	4871	4.81
PRE_POLL		                                   	87	0.38	 	1197	5.2	 	103	0.45	 	7456	32.37	 	3489	15.15	 	9804	42.57	 	761	3.3	 	135	0.59	 	23032	98.53	 	344	1.47	 	23376	23.07
PROVISIONAL		                                	4	0.84	 	30	6.28	 	5	1.05	 	125	26.15	 	42	8.79	 	253	52.93	 	18	3.77	 	1	0.21	 	478	97.35	 	13	2.65	 	491	0.48
Division Summary		                           	415	0.42	 	4930	4.96	 	408	0.41	 	32975	33.17	 	15964	16.06	 	41399	41.64	 	2769	2.79	 	550	0.55	 	99410	98.13	 	1896	1.87	 	101306	96.15


Fraser (104177)																																		

	   		Group Total ACS			Group Total HAN			Group Total AWP			Group Total LP			Group Total DEM			Group Total ALP			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ainslie		                                    	9	0.68	  	51	3.83	  	11	0.83	  	318	23.86	  	283	21.23	  	607	45.54	  	53	3.98	  	1	0.08	  	1333	96.52	  	48	3.48	  	1381	1.39
Ainslie North		                              	9	0.39	  	100	4.3	  	9	0.39	  	502	21.56	  	500	21.48	  	1049	45.06	  	141	6.06	  	18	0.77	  	2328	96.64	  	81	3.36	  	2409	2.42
Aranda		                                     	15	0.61	  	57	2.3	  	6	0.24	  	650	26.25	  	659	26.62	  	967	39.05	  	113	4.56	  	9	0.36	  	2476	97.9	  	53	2.1	  	2529	2.54
Baker Gardens		                              	3	0.44	  	29	4.25	  	3	0.44	  	144	21.08	  	152	22.25	  	312	45.68	  	37	5.42	  	3	0.44	  	683	97.43	  	18	2.57	  	701	0.7
Barton		                                     	5	0.39	  	39	3.08	  	11	0.87	  	472	37.28	  	265	20.93	  	426	33.65	  	42	3.32	  	6	0.47	  	1266	97.61	  	31	2.39	  	1297	1.3
Belconnen		                                  	6	0.32	  	53	2.8	  	10	0.53	  	499	26.36	  	374	19.76	  	860	45.43	  	81	4.28	  	10	0.53	  	1893	98.29	  	33	1.71	  	1926	1.93
Bruce		                                      	1	0.35	  	9	3.11	  	3	1.04	  	108	37.37	  	50	17.3	  	105	36.33	  	11	3.81	  	2	0.69	  	289	96.33	  	11	3.67	  	300	0.3
Campbell		                                   	10	0.52	  	81	4.18	  	9	0.46	  	841	43.42	  	426	21.99	  	502	25.92	  	57	2.94	  	11	0.57	  	1937	98.58	  	28	1.42	  	1965	1.97
Charnwood		                                  	17	0.53	  	228	7.15	  	24	0.75	  	824	25.83	  	408	12.79	  	1570	49.22	  	98	3.07	  	21	0.66	  	3190	97.52	  	81	2.48	  	3271	3.28
City		                                       	4	0.49	  	32	3.94	  	3	0.37	  	182	22.39	  	191	23.49	  	344	42.31	  	51	6.27	  	6	0.74	  	813	97.13	  	24	2.87	  	837	0.84
Dickson		                                    	8	0.68	  	50	4.26	  	7	0.6	  	274	23.36	  	260	22.17	  	512	43.65	  	57	4.86	  	5	0.43	  	1173	97.02	  	36	2.98	  	1209	1.21
Downer		                                     	8	0.61	  	68	5.21	  	6	0.46	  	331	25.38	  	192	14.72	  	650	49.85	  	45	3.45	  	4	0.31	  	1304	97.1	  	39	2.9	  	1343	1.35
Evatt		                                      	9	0.34	  	163	6.18	  	18	0.68	  	759	28.76	  	383	14.51	  	1237	46.87	  	58	2.2	  	12	0.45	  	2639	96.88	  	85	3.12	  	2724	2.73
Evatt South		                                	5	0.45	  	47	4.2	  	2	0.18	  	348	31.07	  	190	16.96	  	491	43.84	  	28	2.5	  	9	0.8	  	1120	98.07	  	22	1.93	  	1142	1.15
Florey		                                     	6	0.3	  	84	4.24	  	11	0.55	  	600	30.27	  	262	13.22	  	966	48.74	  	44	2.22	  	9	0.45	  	1982	98.17	  	37	1.83	  	2019	2.03
Flynn		                                      	9	0.52	  	87	5.04	  	14	0.81	  	509	29.49	  	266	15.41	  	773	44.79	  	51	2.95	  	17	0.98	  	1726	97.96	  	36	2.04	  	1762	1.77
Giralang		                                   	9	0.48	  	102	5.43	  	9	0.48	  	552	29.38	  	280	14.9	  	847	45.08	  	56	2.98	  	24	1.28	  	1879	97.31	  	52	2.69	  	1931	1.94
Griffith		                                   	2	0.14	  	34	2.42	  	3	0.21	  	472	33.62	  	292	20.8	  	560	39.89	  	39	2.78	  	2	0.14	  	1404	97.43	  	37	2.57	  	1441	1.45
Hall		                                       	0	0	  	13	4.64	  	0	0	  	90	32.14	  	63	22.5	  	102	36.43	  	9	3.21	  	3	1.07	  	280	98.59	  	4	1.41	  	284	0.28
Higgins		                                    	7	0.35	  	113	5.63	  	5	0.25	  	560	27.9	  	300	14.95	  	950	47.33	  	51	2.54	  	21	1.05	  	2007	97.47	  	52	2.53	  	2059	2.07
Holt		                                       	12	0.58	  	127	6.17	  	11	0.53	  	545	26.47	  	297	14.42	  	974	47.3	  	62	3.01	  	31	1.51	  	2059	97.72	  	48	2.28	  	2107	2.11
Jervis Bay		                                 	2	1.47	  	8	5.88	  	0	0	  	57	41.91	  	12	8.82	  	54	39.71	  	3	2.21	  	0	0	  	136	99.27	  	1	0.73	  	137	0.14
Kaleen		                                     	7	0.29	  	138	5.64	  	7	0.29	  	719	29.37	  	359	14.67	  	1151	47.02	  	58	2.37	  	9	0.37	  	2448	97.14	  	72	2.86	  	2520	2.53
Kaleen South		                               	9	0.61	  	88	6	  	11	0.75	  	452	30.81	  	229	15.61	  	626	42.67	  	41	2.79	  	11	0.75	  	1467	97.54	  	37	2.46	  	1504	1.51
Latham		                                     	5	0.28	  	129	7.14	  	8	0.44	  	555	30.73	  	260	14.4	  	804	44.52	  	36	1.99	  	9	0.5	  	1806	98.21	  	33	1.79	  	1839	1.84
Lyneham		                                    	14	0.45	  	133	4.27	  	12	0.39	  	629	20.21	  	696	22.37	  	1439	46.24	  	176	5.66	  	13	0.42	  	3112	96.5	  	113	3.5	  	3225	3.24
Macgregor		                                  	6	0.4	  	81	5.37	  	7	0.46	  	367	24.34	  	257	17.04	  	737	48.87	  	47	3.12	  	6	0.4	  	1508	98.5	  	23	1.5	  	1531	1.54
Macquarie		                                  	10	0.64	  	93	5.96	  	3	0.19	  	390	24.98	  	310	19.86	  	676	43.31	  	62	3.97	  	17	1.09	  	1561	98.11	  	30	1.89	  	1591	1.6
Melba		                                      	6	0.4	  	65	4.33	  	5	0.33	  	466	31.07	  	271	18.07	  	626	41.73	  	41	2.73	  	20	1.33	  	1500	98.04	  	30	1.96	  	1530	1.53
Narrabundah		                                	17	0.96	  	97	5.46	  	16	0.9	  	416	23.42	  	281	15.82	  	877	49.38	  	62	3.49	  	10	0.56	  	1776	97.48	  	46	2.52	  	1822	1.83
Ngunnawal		                                  	12	0.52	  	94	4.08	  	11	0.48	  	749	32.49	  	315	13.67	  	1057	45.86	  	49	2.13	  	18	0.78	  	2305	97.67	  	55	2.33	  	2360	2.37
Nicholls		                                   	11	0.53	  	71	3.39	  	3	0.14	  	758	36.18	  	318	15.18	  	893	42.63	  	34	1.62	  	7	0.33	  	2095	98.36	  	35	1.64	  	2130	2.14
Page		                                       	11	0.8	  	64	4.67	  	6	0.44	  	368	26.86	  	251	18.32	  	611	44.6	  	47	3.43	  	12	0.88	  	1370	98.07	  	27	1.93	  	1397	1.4
Palmerston		                                 	18	0.61	  	126	4.26	  	7	0.24	  	983	33.24	  	359	12.14	  	1383	46.77	  	73	2.47	  	8	0.27	  	2957	98.24	  	53	1.76	  	3010	3.02
Reid		                                       	2	0.33	  	16	2.62	  	0	0	  	173	28.31	  	152	24.88	  	241	39.44	  	24	3.93	  	3	0.49	  	611	97.92	  	13	2.08	  	624	0.63
Scullin		                                    	10	0.57	  	121	6.87	  	10	0.57	  	470	26.67	  	271	15.38	  	805	45.69	  	62	3.52	  	13	0.74	  	1762	97.67	  	42	2.33	  	1804	1.81
Spence		                                     	12	0.84	  	78	5.46	  	6	0.42	  	408	28.57	  	256	17.93	  	620	43.42	  	35	2.45	  	13	0.91	  	1428	97.54	  	36	2.46	  	1464	1.47
Turner		                                     	6	0.37	  	56	3.42	  	5	0.31	  	285	17.39	  	445	27.15	  	720	43.93	  	114	6.96	  	8	0.49	  	1639	97.56	  	41	2.44	  	1680	1.69
Watson		                                     	15	0.66	  	132	5.84	  	14	0.62	  	566	25.03	  	420	18.58	  	1002	44.32	  	93	4.11	  	19	0.84	  	2261	97.54	  	57	2.46	  	2318	2.33
Weetangera		                                 	7	0.31	  	80	3.54	  	8	0.35	  	874	38.67	  	491	21.73	  	722	31.95	  	65	2.88	  	13	0.58	  	2260	98.73	  	29	1.27	  	2289	2.3
Wreck Bay		                                  	0	0	  	0	0	  	0	0	  	2	3.13	  	3	4.69	  	59	92.19	  	0	0	  	0	0	  	64	98.46	  	1	1.54	  	65	0.07
Special Hospitals		                          	2	0.4	  	9	1.82	  	1	0.2	  	232	46.96	  	28	5.67	  	213	43.12	  	8	1.62	  	1	0.2	  	494	94.46	  	29	5.54	  	523	0.52
Prison Mobiles		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	100	  	0	0	  	0	0	  	5	100	  	0	0	  	5	0.01
Total Ordinary		                             	336	0.49	  	3246	4.75	  	315	0.46	  	19499	28.53	  	12077	17.67	  	30125	44.08	  	2314	3.39	  	434	0.64	  	68346	97.63	  	1659	2.37	  	70005	70.23
ABSENT		                                     	9	0.49	  	77	4.18	  	11	0.6	  	518	28.14	  	319	17.33	  	805	43.73	  	95	5.16	  	7	0.38	  	1841	98.71	  	24	1.29	  	1865	1.87
POSTAL		                                     	34	0.65	  	355	6.76	  	31	0.59	  	1972	37.55	  	745	14.19	  	1856	35.34	  	201	3.83	  	58	1.1	  	5252	99.08	  	49	0.92	  	5301	5.32
PRE_POLL		                                   	70	0.32	  	992	4.59	  	108	0.5	  	6306	29.17	  	3655	16.91	  	9374	43.36	  	965	4.46	  	149	0.69	  	21619	98.6	  	307	1.4	  	21926	22
PROVISIONAL		                                	4	0.71	  	21	3.7	  	3	0.53	  	115	20.28	  	73	12.87	  	308	54.32	  	41	7.23	  	2	0.35	  	567	97.09	  	17	2.91	  	584	0.59
Division Summary		                           	453	0.46	  	4691	4.81	  	468	0.48	  	28410	29.1	  	16869	17.28	  	42468	43.5	  	3616	3.7	  	650	0.67	  	97625	97.94	  	2056	2.06	  	99681	95.68
