ACS	2	0	4401	0.15	612	0.21	149	0.32	414	0.16	234	0.14	5810	0.15
CDP	5	0	43920	1.47	5143	1.76	549	1.19	4795	1.81	3672	2.26	58079	1.55
RAR	2	0	5679	0.19	881	0.3	171	0.37	666	0.25	622	0.38	8019	0.21
UNI	5	0	51340	1.72	3402	1.17	988	2.15	4105	1.55	1772	1.09	61607	1.64
Other	36	0	61564	2.06	5895	2.02	1345	2.92	4575	1.73	2177	1.34	75556	2.01
FORMAL			2990903	96.26	291417	98.16	46028	96.68	264666	98.54	162711	99.16	3755725	96.69
INFORMAL			116225	3.74	5476	1.84	1580	3.32	3933	1.46	1382	0.84	128596	3.31
TOTAL			3107128	79.99	296893	7.64	47608	1.23	268599	6.91	164093	4.22	3884321	95.3


Victoria														
Enrolment 3081632														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LNP	6	3	890350	37.42	61352	38.09	8526	29.16	63899	41.21	52717	44.53	1076844	37.87
ALP	4	3	980707	41.22	59861	37.16	14381	49.19	56538	36.46	41613	35.15	1153100	40.56
DEM	4	0	236719	9.95	18567	11.53	1934	6.62	13229	8.53	9357	7.9	279806	9.84
GRN	3	0	55957	2.35	6813	4.23	1067	3.65	4599	2.97	2436	2.06	70872	2.49
HAN	2	0	96928	4.07	5368	3.33	1222	4.18	7493	4.83	6037	5.1	117048	4.12
ASP	4	0	28255	1.19	1975	1.23	472	1.61	2184	1.41	1548	1.31	34434	1.21
CDP	2	0	11012	0.46	913	0.57	87	0.3	983	0.63	886	0.75	13881	0.49
DLP	2	0	24529	1.03	2053	1.27	496	1.7	1817	1.17	998	0.84	29893	1.05
FCP	2	0	2443	0.1	238	0.15	61	0.21	192	0.12	160	0.14	3094	0.11
NLP	3	0	2033	0.09	240	0.15	37	0.13	179	0.12	118	0.1	2607	0.09
UNI	8	0	16678	0.7	1212	0.75	342	1.17	1481	0.96	890	0.75	20603	0.72
Other	23	0	33792	1.42	2479	1.54	610	2.09	2472	1.59	1625	1.37	40978	1.44
FORMAL			2379403	95.85	161071	97.95	29235	95.89	155066	98.27	118385	98.87	2843160	96.22
INFORMAL			102990	4.15	3370	2.05	1252	4.11	2727	1.73	1347	1.13	111686	3.78
TOTAL			2482393	84.01	164441	5.57	30487	1.03	157793	5.34	119732	4.05	2954846	95.89


Queensland														
Enrolment 2188024														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	4	2	466722	28.17	41531	29.6	3101	23.14	33569	32.98	25769	28.19	570692	28.48
NP	3	0	156534	9.45	11218	7.99	808	6.03	8069	7.93	14033	15.35	190662	9.52
ALP	3	2	544940	32.89	44437	31.67	5435	40.55	31512	30.96	28299	30.96	654623	32.67
DEM	3	1	132076	7.97	11615	8.28	634	4.73	7280	7.15	4846	5.3	156451	7.81
GRN	3	0	33016	1.99	4647	3.31	549	4.1	2716	2.67	1336	1.46	42264	2.11
HAN	5	1	247758	14.95	19610	13.98	2035	15.18	14038	13.79	13804	15.1	297245	14.83
ACS	2	0	4103	0.25	318	0.23	79	0.59	191	0.19	214	0.23	4905	0.24
CDP	3	0	23780	1.44	2254	1.61	172	1.28	1457	1.43	1163	1.27	28826	1.44
UNI	2	0	7557	0.46	838	0.6	119	0.89	640	0.63	333	0.36	9487	0.47
Other	29	0	40305	2.43	3847	2.74	470	3.51	2316	2.28	1617	1.77	48555	2.42
FORMAL			1656791	96.64	140315	98.43	13402	97.07	101788	98.77	91414	98.54	2003710	96.96
INFORMAL			57594	3.36	2242	1.57	405	2.93	1266	1.23	1352	1.46	62859	3.04
TOTAL			1714385	82.96	142557	6.9	13807	0.67	103054	4.99	92766	4.49	2066569	94.45


Western Australia														
Enrolment 1149619														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	4	3	340692	38.15	32340	39.08	3143	30.15	20067	41.65	12506	42.25	408748	38.41
NP	2	0	10748	1.2	1367	1.65	90	0.86	578	1.2	646	2.18	13429	1.26
ALP	6	2	314161	35.18	26026	31.45	4314	41.39	15549	32.27	8828	29.82	368878	34.67
DEM	3	1	57867	6.48	5219	6.31	452	4.34	3034	6.3	1523	5.14	68095	6.4
GWA	3	0	49727	5.57	6345	7.67	778	7.46	2865	5.95	1348	4.55	61063	5.74
HAN	3	0	92107	10.31	8555	10.34	1256	12.05	4588	9.52	3788	12.8	110294	10.37
ACS	2	0	1493	0.17	233	0.28	48	0.46	106	0.22	63	0.21	1943	0.18
CDP	2	0	8443	0.95	946	1.14	68	0.65	464	0.96	343	1.16	10264	0.96
UNI	3	0	1911	0.21	169	0.2	36	0.35	113	0.23	42	0.14	2271	0.21
Other	17	0	15977	1.79	1549	1.87	239	2.29	813	1.69	515	1.74	19093	1.79
FORMAL			893126	97.06	82749	98.46	10424	97.41	48177	98.94	29602	99.14	1064078	97.32
INFORMAL			27008	2.94	1293	1.54	277	2.59	518	1.06	258	0.86	29354	2.68
TOTAL			920134	84.15	84042	7.69	10701	0.98	48695	4.45	29860	2.73	1093432	95.11


South Australia														
Enrolment 1013989														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	4	3	308269	40.24	27816	40.32	2564	28.5	19681	41.69	25307	45.57	383637	40.52
NP	2	0	3534	0.46	318	0.46	40	0.44	205	0.43	348	0.63	4445	0.47
ALP	3	2	248788	32.47	20738	30.06	3815	42.4	14316	30.32	15642	28.17	303299	32.03
DEM	4	1	94758	12.37	9737	14.11	954	10.6	5977	12.66	6193	11.15	117619	12.42
GRN	2	0	15772	2.06	2396	3.47	444	4.93	1352	2.86	931	1.68	20895	2.21
HAN	3	0	74870	9.77	6047	8.77	929	10.33	4407	9.33	5657	10.19	91910	9.71
CDP	2	0	7528	0.98	765	1.11	94	1.04	601	1.27	610	1.1	9598	1.01
Other	15	0	12572	1.64	1171	1.7	157	1.75	672	1.42	841	1.51	15413	1.63
FORMAL			766091	96.84	68988	98.31	8997	97.15	47211	98.75	55529	99.27	946816	97.19
INFORMAL			24966	3.16	1185	1.69	264	2.85	598	1.25	411	0.73	27424	2.81
TOTAL			791057	81.2	70173	7.2	9261	0.95	47809	4.91	55940	5.74	974240	96.08


Tasmania														
Enrolment 330121														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	4	2	90356	33.78	4822	32.96	174	21.01	4460	36.03	4456	34.15	104268	33.81
ALP	3	3	112324	41.99	5802	39.65	464	56.04	4464	36.06	5323	40.8	128377	41.63
DEM	3	0	10502	3.93	619	4.23	23	2.78	592	4.78	371	2.84	12107	3.93
HAR	1	1	21087	7.88	1102	7.53	22	2.66	811	6.55	1232	9.44	24254	7.87
GRN	2	0	14844	5.55	1339	9.15	65	7.85	1059	8.55	598	4.58	17905	5.81
HAN	3	0	9937	3.71	473	3.23	45	5.43	582	4.7	618	4.74	11655	3.78
ACS	2	0	1570	0.59	74	0.51	13	1.57	47	0.38	46	0.35	1750	0.57
CDP	2	0	768	0.29	52	0.36	3	0.36	63	0.51	59	0.45	945	0.31
Other	12	0	6103	2.28	349	2.39	19	2.29	301	2.43	344	2.64	7116	2.31
FORMAL			267491	96.74	14632	98.27	828	96.5	12379	98.65	13047	98.33	308377	96.95
INFORMAL			9025	3.26	257	1.73	30	3.5	170	1.35	222	1.67	9704	3.05
TOTAL			276516	86.93	14889	4.68	858	0.27	12549	3.95	13269	4.17	318081	96.35


Australian Capital Territory														
Enrolment 209536														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	2	1	42312	30.78	1080	28.41	240	22.97	13762	30.82	3991	39.59	61385	31.15
ALP	2	1	58900	42.85	1673	44	561	53.68	19178	42.95	3555	35.26	83867	42.56
DEM	2	0	23548	17.13	633	16.65	115	11	7144	16	1393	13.82	32833	16.66
GRN	2	0	4074	2.96	197	5.18	59	5.65	1726	3.87	329	3.26	6385	3.24
HAN	2	0	6607	4.81	159	4.18	51	4.88	2189	4.9	615	6.1	9621	4.88
ACS	2	0	626	0.46	22	0.58	8	0.77	157	0.35	55	0.55	868	0.44
AWP	2	0	575	0.42	23	0.6	8	0.77	211	0.47	59	0.59	876	0.44
Other	3	0	813	0.59	15	0.39	3	0.29	284	0.64	85	0.84	1200	0.61
FORMAL			137455	97.78	3802	98.4	1045	97.21	44651	98.56	10082	99.12	197035	98.03
INFORMAL			3119	2.22	62	1.6	30	2.79	651	1.44	90	0.88	3952	1.97
TOTAL			140574	69.94	3864	1.92	1075	0.53	45302	22.54	10172	5.06	200987	95.92


Northern Territory														
Enrolment 105048														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
CLP	2	1	30177	38.01	0	0	666	28.77	3769	44.39	1451	51.55	36063	38.78
ALP	2	1	33456	42.15	0	0	1199	51.79	2884	33.97	720	25.58	38259	41.14
DEM	2	0	4397	5.54	0	0	81	3.5	483	5.69	158	5.61	5119	5.5
GRN	2	0	3582	4.51	0	0	157	6.78	395	4.65	98	3.48	4232	4.55
HAN	2	0	7174	9.04	0	0	201	8.68	907	10.68	375	13.32	8657	9.31
Other	1	0	596	0.75	0	0	11	0.48	52	0.61	13	0.46	672	0.72
FORMAL			79382	97.87	0	0	2315	98.05	8490	99	2815	99.15	93002	98.01
INFORMAL			1731	2.13	0	0	46	1.95	86	1	24	0.85	1887	1.99
TOTAL			81113	85.48	0	0	2361	2.49	8576	9.04	2839	2.99	94889	90.33
