Senate -1998 Election															
First Preference Votes by Candidate															
By Vote Type by Division															


New South Wales															

Banks (80108)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"FIERRAVANTI-WELLS, Concetta"	LP	10	0.02	1	0.02	0	0	2	0.04	0	0	13	0.02
		Group Total	LNP	18561	31.35	2183	34.91	107	22.11	1796	35.04	939	35.96	23586	32.01
M		TICKET VOTES	DEM	3527	5.96	439	7.02	9	1.86	274	5.35	119	4.56	4368	5.93
	#	"RIDGEWAY, Aden"	DEM	337	0.57	36	0.58	1	0.21	20	0.39	12	0.46	406	0.55
		"BAIRD, Matthew"	DEM	6	0.01	0	0	0	0	1	0.02	0	0	7	0.01
		"REDDY, Suzanne"	DEM	20	0.03	4	0.06	0	0	3	0.06	2	0.08	29	0.04
		"MENDELSSOHN, David"	DEM	9	0.02	0	0	0	0	0	0	0	0	9	0.01
		Group Total	DEM	3899	6.59	479	7.66	10	2.07	298	5.81	133	5.09	4819	6.54
N		TICKET VOTES	DSL	87	0.15	10	0.16	0	0	5	0.1	7	0.27	109	0.15
		"CARMAN, Marina"	DSL	4	0.01	0	0	0	0	1	0.02	0	0	5	0.01
		"BOYLE, Peter"	DSL	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	DSL	91	0.15	10	0.16	0	0	6	0.12	7	0.27	114	0.15
O		TICKET VOTES	RAR	127	0.21	31	0.5	2	0.41	21	0.41	16	0.61	197	0.27
		"SMITH, Rodney"	RARI	15	0.03	0	0	0	0	0	0	0	0	15	0.02
		"WOODGER, Edwin"	RARI	4	0.01	0	0	0	0	0	0	0	0	4	0.01
		Group Total	RAR	146	0.25	31	0.5	2	0.41	21	0.41	16	0.61	216	0.29
P		TICKET VOTES		9	0.02	1	0.02	0	0	1	0.02	0	0	11	0.01
		"POULOS, Patricia"		4	0.01	0	0	0	0	0	0	0	0	4	0.01
		"HOLLEY, John"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		14	0.02	1	0.02	0	0	1	0.02	0	0	16	0.02
Q		TICKET VOTES	SEP	16	0.03	8	0.13	0	0	3	0.06	0	0	27	0.04
		"BEAMS, Nick"	SEP	3	0.01	0	0	0	0	0	0	0	0	3	0
		"DIVJAK, Carol"	SEP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	SEP	19	0.03	8	0.13	0	0	3	0.06	0	0	30	0.04
R		TICKET VOTES		10	0.02	0	0	0	0	0	0	0	0	10	0.01
		"SCHOLLBACH, Robert F"		0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		10	0.02	0	0	0	0	0	0	0	0	10	0.01
S		TICKET VOTES		6	0.01	0	0	0	0	1	0.02	1	0.04	8	0.01
		"MELVILLE, Graeme"		2	0	0	0	0	0	0	0	0	0	2	0
		"BROADBRIDGE, Philip"		1	0	0	0	0	0	1	0.02	0	0	2	0
		Group Total		9	0.02	0	0	0	0	2	0.04	1	0.04	12	0.02
T		TICKET VOTES	CTA	877	1.48	114	1.82	8	1.65	131	2.56	50	1.91	1180	1.6
		"McLENNAN, Graham Clarke"	CTA	115	0.19	23	0.37	0	0	14	0.27	9	0.34	161	0.22
		"PETERSON, Janne"	CTA	2	0	0	0	0	0	0	0	1	0.04	3	0
		"ALLANSON, Tom"	CTA	2	0	0	0	0	0	0	0	1	0.04	3	0
		"MORGAN, Rex L"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		"McLENNAN, Michael Stewart"	CTA	0	0	0	0	0	0	1	0.02	0	0	1	0
		Group Total	CTA	996	1.68	137	2.19	8	1.65	146	2.85	61	2.34	1348	1.83
U		TICKET VOTES	GRN	619	1.05	131	2.09	11	2.27	88	1.72	21	0.8	870	1.18
		"SUTTON, John"	GRN	71	0.12	10	0.16	0	0	5	0.1	6	0.23	92	0.12
		"MOORE, Catherine"	GRN	4	0.01	1	0.02	0	0	0	0	1	0.04	6	0.01
		"RHIANNON, Lee"	GRN	2	0	0	0	0	0	0	0	0	0	2	0
		"RUSSELL, Susie"	GRN	4	0.01	0	0	0	0	1	0.02	0	0	5	0.01
		Group Total	GRN	700	1.18	142	2.27	11	2.27	94	1.83	28	1.07	975	1.32
V		TICKET VOTES		1581	2.67	85	1.36	26	5.37	93	1.81	30	1.15	1815	2.46
		"LI, Jason Yat-Sen"	UNI	60	0.1	6	0.1	1	0.21	5	0.1	3	0.11	75	0.1
		"STOCKREITER, Sonja"	UNI	2	0	0	0	0	0	0	0	0	0	2	0
		"McGUID, Sam"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"GINGES, Kieran Daniel"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"HASSAPIS, Nicholas Victor"	UNI	0	0	1	0.02	0	0	0	0	0	0	1	0
		Group Total		1643	2.77	92	1.47	27	5.58	98	1.91	33	1.26	1893	2.57
UNGROUPED															
		"YAGLIPINAR, Mehmet"	IND	1	0	1	0.02	0	0	0	0	0	0	2	0
		"SARKS, Paul Anthony"	IND	5	0.01	0	0	0	0	0	0	0	0	5	0.01
		"VAUGHAN, Adrian"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"PANTSDOWN, Pauline"	IND	23	0.04	4	0.06	0	0	7	0.14	0	0	34	0.05
		"KUMAR, Tom"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"ROSS, Richard"	IND	2	0	0	0	0	0	0	0	0	0	2	0
		"JOSEPH, Stani R"	IND	1	0	0	0	0	0	0	0	0	0	1	0
		"PARSLOW, Party"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"POULSEN, Ron"		1	0	0	0	0	0	0	0	0	0	1	0
		Ungrouped Total		33	0.06	5	0.08	0	0	7	0.14	0	0	45	0.06
			FORMAL	59208	96	6253	97.69	484	96.03	5125	98.43	2611	98.98	73681	96.41
			INFORMAL	2468	4	148	2.31	20	3.97	82	1.57	27	1.02	2745	3.59
			TOTAL	61676	80.7	6401	8.38	504	0.66	5207	6.81	2638	3.45	76426	95.4



Barton (83151)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	554	0.9	38	0.73	10	0.95	21	0.47	11	0.34	634	0.84
		"SHEN, Victor"	FST	26	0.04	3	0.06	1	0.09	2	0.04	1	0.03	33	0.04
		"WILLSON, Greg"	FST	4	0.01	0	0	0	0	0	0	0	0	4	0.01
		Group Total	FST	584	0.95	41	0.79	11	1.04	23	0.52	12	0.38	671	0.89
B		TICKET VOTES	NAN	112	0.18	5	0.1	4	0.38	11	0.25	15	0.47	147	0.19
		"NASH, Chris"	NAN	6	0.01	1	0.02	0	0	1	0.02	0	0	8	0.01
		"WADDELL, Jane"	NAN	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NAN	119	0.19	6	0.12	4	0.38	12	0.27	15	0.47	156	0.21
C		TICKET VOTES	NDP	61	0.1	11	0.21	2	0.19	5	0.11	2	0.06	81	0.11
		"DENBOROUGH, Michael"	NDP	7	0.01	1	0.02	0	0	0	0	0	0	8	0.01
		"FRANCIS, Yvonne"	NDP	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NDP	69	0.11	12	0.23	2	0.19	5	0.11	2	0.06	90	0.12
D		TICKET VOTES		12	0.02	3	0.06	0	0	2	0.04	0	0	17	0.02
		"GALLAGHER, Mick"		2	0	1	0.02	0	0	0	0	0	0	3	0
		"MAWSON, John A"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		14	0.02	4	0.08	0	0	2	0.04	0	0	20	0.03
E		TICKET VOTES	NLP	50	0.08	6	0.12	0	0	1	0.02	0	0	57	0.08
		"NOLAN, Richard"	NLP	1	0	0	0	0	0	2	0.04	0	0	3	0
		"SEYMOUR, Bev"	NLP	0	0	0	0	0	0	0	0	1	0.03	1	0
		Group Total	NLP	51	0.08	6	0.12	0	0	3	0.07	1	0.03	61	0.08
F		TICKET VOTES	ACS	66	0.11	8	0.15	2	0.19	3	0.07	1	0.03	80	0.11
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	4	0.01	0	0	0	0	2	0.04	0	0	6	0.01
		"MEZINEC, Richard"	ACS	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ACS	70	0.11	8	0.15	2	0.19	5	0.11	1	0.03	86	0.11
G		TICKET VOTES		49	0.08	3	0.06	3	0.28	5	0.11	5	0.16	65	0.09
		"LEES, Malcolm"		15	0.02	1	0.02	0	0	1	0.02	1	0.03	18	0.02
		"RANKIN, Warwick"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		64	0.1	4	0.08	3	0.28	6	0.13	6	0.19	83	0.11
H		TICKET VOTES	ALP	28008	45.5	1995	38.51	643	60.89	1909	42.89	1220	38.23	33775	44.78
	#	"HUTCHINS, Steve"	ALP	316	0.51	22	0.42	6	0.57	29	0.65	32	1	405	0.54
	#	"FAULKNER, John"	ALP	35	0.06	4	0.08	0	0	2	0.04	2	0.06	43	0.06
	#	"FORSHAW, Michael"	ALP	13	0.02	1	0.02	0	0	0	0	1	0.03	15	0.02
		"STEPHENS, Ursula"	ALP	30	0.05	6	0.12	0	0	4	0.09	4	0.13	44	0.06
		Group Total	ALP	28402	46.14	2028	39.15	649	61.46	1944	43.68	1259	39.45	34282	45.45
I		TICKET VOTES	CEC	88	0.14	3	0.06	4	0.38	2	0.04	0	0	97	0.13
		"BUTLER, Robert H"	CEC	2	0	0	0	0	0	0	0	0	0	2	0
		"COLLINS, Glenys"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay David"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CEC	90	0.15	3	0.06	4	0.38	2	0.04	0	0	99	0.13
J		TICKET VOTES		34	0.06	4	0.08	1	0.09	2	0.04	0	0	41	0.05
		"MOULDFIELD, David"		1	0	0	0	0	0	0	0	1	0.03	2	0
		"HANDSOME HANDPUPPET, Paul-Ian"		1	0	1	0.02	0	0	0	0	1	0.03	3	0
		Group Total		36	0.06	5	0.1	1	0.09	2	0.04	2	0.06	46	0.06
K		TICKET VOTES	HAN	4245	6.9	354	6.83	50	4.73	326	7.32	228	7.15	5203	6.9
		"OLDFIELD, David"	HAN	271	0.44	22	0.42	1	0.09	27	0.61	29	0.91	350	0.46
		"BURSTON, Brian"	HAN	12	0.02	0	0	0	0	1	0.02	0	0	13	0.02
		"O'REGAN, Bevan"	HAN	10	0.02	0	0	0	0	0	0	0	0	10	0.01
		Group Total	HAN	4538	7.37	376	7.26	51	4.83	354	7.95	257	8.05	5576	7.39
L		TICKET VOTES	LNP	19922	32.37	1910	36.87	232	21.97	1452	32.62	1204	37.73	24720	32.77
	#	"HEFFERNAN, Bill"	LP	325	0.53	29	0.56	1	0.09	22	0.49	23	0.72	400	0.53
	#	"TIERNEY, John"	LP	18	0.03	3	0.06	1	0.09	3	0.07	2	0.06	27	0.04
		"MACDONALD, Sandy"	NP	12	0.02	1	0.02	0	0	0	0	2	0.06	15	0.02
		"FIERRAVANTI-WELLS, Concetta"	LP	12	0.02	1	0.02	0	0	1	0.02	1	0.03	15	0.02
		Group Total	LNP	20289	32.96	1944	37.53	234	22.16	1478	33.21	1232	38.61	25177	33.38
M		TICKET VOTES	DEM	2971	4.83	353	6.81	27	2.56	255	5.73	180	5.64	3786	5.02
	#	"RIDGEWAY, Aden"	DEM	340	0.55	30	0.58	1	0.09	28	0.63	21	0.66	420	0.56
		"BAIRD, Matthew"	DEM	8	0.01	0	0	0	0	0	0	0	0	8	0.01
		"REDDY, Suzanne"	DEM	25	0.04	1	0.02	0	0	1	0.02	1	0.03	28	0.04
		"MENDELSSOHN, David"	DEM	9	0.01	1	0.02	0	0	0	0	3	0.09	13	0.02
		Group Total	DEM	3353	5.45	385	7.43	28	2.65	284	6.38	205	6.42	4255	5.64
N		TICKET VOTES	DSL	131	0.21	14	0.27	4	0.38	6	0.13	2	0.06	157	0.21
		"CARMAN, Marina"	DSL	2	0	0	0	0	0	1	0.02	0	0	3	0
		"BOYLE, Peter"	DSL	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	DSL	133	0.22	14	0.27	4	0.38	7	0.16	2	0.06	160	0.21
O		TICKET VOTES	RAR	82	0.13	16	0.31	1	0.09	12	0.27	5	0.16	116	0.15
		"SMITH, Rodney"	RARI	8	0.01	0	0	0	0	0	0	2	0.06	10	0.01
		"WOODGER, Edwin"	RARI	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RAR	90	0.15	16	0.31	1	0.09	12	0.27	7	0.22	126	0.17
P		TICKET VOTES		10	0.02	1	0.02	0	0	2	0.04	0	0	13	0.02
		"POULOS, Patricia"		4	0.01	0	0	0	0	0	0	0	0	4	0.01
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		14	0.02	1	0.02	0	0	2	0.04	0	0	17	0.02
Q		TICKET VOTES	SEP	22	0.04	4	0.08	0	0	3	0.07	1	0.03	30	0.04
		"BEAMS, Nick"	SEP	2	0	0	0	0	0	0	0	0	0	2	0
		"DIVJAK, Carol"	SEP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	SEP	24	0.04	4	0.08	0	0	3	0.07	1	0.03	32	0.04
R		TICKET VOTES		11	0.02	0	0	0	0	0	0	0	0	11	0.01
		"SCHOLLBACH, Robert F"		0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		11	0.02	0	0	0	0	0	0	0	0	11	0.01
S		TICKET VOTES		2	0	0	0	0	0	0	0	0	0	2	0
		"MELVILLE, Graeme"		1	0	0	0	0	0	1	0.02	0	0	2	0
		"BROADBRIDGE, Philip"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		3	0	0	0	0	0	1	0.02	0	0	4	0.01
T		TICKET VOTES	CTA	547	0.89	69	1.33	10	0.95	44	0.99	65	2.04	735	0.97
		"McLENNAN, Graham Clarke"	CTA	86	0.14	7	0.14	0	0	14	0.31	11	0.34	118	0.16
		"PETERSON, Janne"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		"ALLANSON, Tom"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		"MORGAN, Rex L"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		"McLENNAN, Michael Stewart"	CTA	2	0	0	0	0	0	0	0	0	0	2	0
		Group Total	CTA	635	1.03	76	1.47	10	0.95	58	1.3	76	2.38	855	1.13
U		TICKET VOTES	GRN	672	1.09	121	2.34	16	1.52	67	1.51	33	1.03	909	1.21
		"SUTTON, John"	GRN	94	0.15	9	0.17	0	0	6	0.13	3	0.09	112	0.15
		"MOORE, Catherine"	GRN	7	0.01	1	0.02	0	0	0	0	0	0	8	0.01
		"RHIANNON, Lee"	GRN	6	0.01	0	0	0	0	0	0	0	0	6	0.01
		"RUSSELL, Susie"	GRN	5	0.01	0	0	0	0	1	0.02	0	0	6	0.01
		Group Total	GRN	784	1.27	131	2.53	16	1.52	74	1.66	36	1.13	1041	1.38
V		TICKET VOTES		2079	3.38	108	2.08	35	3.31	166	3.73	62	1.94	2450	3.25
		"LI, Jason Yat-Sen"	UNI	62	0.1	7	0.14	0	0	7	0.16	12	0.38	88	0.12
		"STOCKREITER, Sonja"	UNI	1	0	0	0	0	0	1	0.02	0	0	2	0
		"McGUID, Sam"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"GINGES, Kieran Daniel"	UNI	1	0	0	0	0	0	0	0	0	0	1	0
		"HASSAPIS, Nicholas Victor"	UNI	3	0	0	0	0	0	0	0	0	0	3	0
		Group Total		2146	3.49	115	2.22	35	3.31	174	3.91	74	2.32	2544	3.37
UNGROUPED															
		"YAGLIPINAR, Mehmet"	IND	1	0	0	0	0	0	0	0	0	0	1	0
		"SARKS, Paul Anthony"	IND	2	0	0	0	0	0	0	0	0	0	2	0
		"VAUGHAN, Adrian"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"PANTSDOWN, Pauline"	IND	27	0.04	1	0.02	0	0	0	0	3	0.09	31	0.04
		"KUMAR, Tom"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"ROSS, Richard"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"JOSEPH, Stani R"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"PARSLOW, Party"	IND	1	0	0	0	1	0.09	0	0	0	0	2	0
		"POULSEN, Ron"		1	0	0	0	0	0	0	0	0	0	1	0
		Ungrouped Total		32	0.05	1	0.02	1	0.09	0	0	3	0.09	37	0.05
			FORMAL	61551	94.92	5180	97.85	1056	94.2	4451	97.89	3191	99.44	75429	95.46
			INFORMAL	3296	5.08	114	2.15	65	5.8	96	2.11	18	0.56	3589	4.54
			TOTAL	64847	82.07	5294	6.7	1121	1.42	4547	5.75	3209	4.06	79018	95.03



Bennelong (83725)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	429	0.7	34	0.51	3	0.47	14	0.28	15	0.37	495	0.64
		"SHEN, Victor"	FST	21	0.03	4	0.06	1	0.16	2	0.04	1	0.02	29	0.04
		"WILLSON, Greg"	FST	2	0	0	0	1	0.16	0	0	0	0	3	0
		Group Total	FST	452	0.74	38	0.57	5	0.78	16	0.32	16	0.4	527	0.68
B		TICKET VOTES	NAN	114	0.19	17	0.25	3	0.47	7	0.14	7	0.17	148	0.19
		"NASH, Chris"	NAN	14	0.02	3	0.04	0	0	1	0.02	5	0.12	23	0.03
		"WADDELL, Jane"	NAN	5	0.01	1	0.01	0	0	0	0	0	0	6	0.01
		Group Total	NAN	133	0.22	21	0.31	3	0.47	8	0.16	12	0.3	177	0.23
C		TICKET VOTES	NDP	66	0.11	26	0.39	3	0.47	11	0.22	6	0.15	112	0.14
		"DENBOROUGH, Michael"	NDP	8	0.01	0	0	0	0	2	0.04	0	0	10	0.01
		"FRANCIS, Yvonne"	NDP	3	0	0	0	0	0	1	0.02	0	0	4	0.01
		Group Total	NDP	77	0.13	26	0.39	3	0.47	14	0.28	6	0.15	126	0.16
D		TICKET VOTES		18	0.03	6	0.09	1	0.16	1	0.02	0	0	26	0.03
		"GALLAGHER, Mick"		5	0.01	0	0	0	0	0	0	2	0.05	7	0.01
		"MAWSON, John A"		0	0	1	0.01	0	0	0	0	0	0	1	0
		Group Total		23	0.04	7	0.1	1	0.16	1	0.02	2	0.05	34	0.04
E		TICKET VOTES	NLP	42	0.07	7	0.1	1	0.16	8	0.16	3	0.07	61	0.08
		"NOLAN, Richard"	NLP	8	0.01	2	0.03	0	0	1	0.02	0	0	11	0.01
		"SEYMOUR, Bev"	NLP	2	0	0	0	0	0	0	0	0	0	2	0
		Group Total	NLP	52	0.09	9	0.13	1	0.16	9	0.18	3	0.07	74	0.1
F		TICKET VOTES	ACS	47	0.08	15	0.22	3	0.47	5	0.1	7	0.17	77	0.1
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	10	0.02	3	0.04	0	0	3	0.06	0	0	16	0.02
		"MEZINEC, Richard"	ACS	2	0	0	0	0	0	0	0	0	0	2	0
		Group Total	ACS	59	0.1	18	0.27	3	0.47	8	0.16	7	0.17	95	0.12
G		TICKET VOTES		63	0.1	6	0.09	1	0.16	3	0.06	6	0.15	79	0.1
		"LEES, Malcolm"		28	0.05	2	0.03	1	0.16	3	0.06	2	0.05	36	0.05
		"RANKIN, Warwick"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		91	0.15	8	0.12	2	0.31	6	0.12	8	0.2	115	0.15
H		TICKET VOTES	ALP	18228	29.8	1853	27.78	237	36.8	1537	30.84	946	23.62	22801	29.44
	#	"HUTCHINS, Steve"	ALP	367	0.6	31	0.46	0	0	54	1.08	45	1.12	497	0.64
	#	"FAULKNER, John"	ALP	56	0.09	9	0.13	1	0.16	6	0.12	4	0.1	76	0.1
	#	"FORSHAW, Michael"	ALP	19	0.03	0	0	0	0	2	0.04	3	0.07	24	0.03
		"STEPHENS, Ursula"	ALP	33	0.05	7	0.1	1	0.16	9	0.18	7	0.17	57	0.07
		Group Total	ALP	18703	30.58	1900	28.48	239	37.11	1608	32.27	1005	25.09	23455	30.28
I		TICKET VOTES	CEC	54	0.09	4	0.06	4	0.62	3	0.06	2	0.05	67	0.09
		"BUTLER, Robert H"	CEC	1	0	0	0	0	0	1	0.02	0	0	2	0
		"COLLINS, Glenys"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay David"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CEC	55	0.09	4	0.06	4	0.62	4	0.08	2	0.05	69	0.09
J		TICKET VOTES		38	0.06	1	0.01	2	0.31	11	0.22	0	0	52	0.07
		"MOULDFIELD, David"		3	0	1	0.01	0	0	0	0	0	0	4	0.01
		"HANDSOME HANDPUPPET, Paul-Ian"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		42	0.07	2	0.03	2	0.31	11	0.22	0	0	57	0.07
K		TICKET VOTES	HAN	2619	4.28	310	4.65	25	3.88	246	4.94	159	3.97	3359	4.34
		"OLDFIELD, David"	HAN	364	0.6	22	0.33	6	0.93	18	0.36	36	0.9	446	0.58
		"BURSTON, Brian"	HAN	9	0.01	0	0	0	0	1	0.02	0	0	10	0.01
		"O'REGAN, Bevan"	HAN	8	0.01	1	0.01	1	0.16	0	0	0	0	10	0.01
		Group Total	HAN	3000	4.91	333	4.99	32	4.97	265	5.32	195	4.87	3825	4.94
L		TICKET VOTES	LNP	26654	43.58	2994	44.88	227	35.25	1995	40.04	1968	49.14	33838	43.68
	#	"HEFFERNAN, Bill"	LP	493	0.81	60	0.9	1	0.16	45	0.9	54	1.35	653	0.84
	#	"TIERNEY, John"	LP	21	0.03	4	0.06	0	0	2	0.04	1	0.02	28	0.04
		"MACDONALD, Sandy"	NP	14	0.02	4	0.06	0	0	5	0.1	2	0.05	25	0.03
		"FIERRAVANTI-WELLS, Concetta"	LP	16	0.03	3	0.04	1	0.16	3	0.06	1	0.02	24	0.03
		Group Total	LNP	27198	44.47	3065	45.95	229	35.56	2050	41.14	2026	50.59	34568	44.63
M		TICKET VOTES	DEM	5413	8.85	652	9.77	51	7.92	398	7.99	307	7.67	6821	8.81
	#	"RIDGEWAY, Aden"	DEM	865	1.41	111	1.66	3	0.47	88	1.77	77	1.92	1144	1.48
