Senate - 1998 Election															
First Preference Votes by Candidate															
By Vote Type by State															


New South Wales															
Enrolment 4076081															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"SCHOLLBACH, Robert F"		16	0	0	0	0	0	0	0	1	0	17	0
		"STIRLING, Amanda Jane"		8	0	0	0	0	0	0	0	2	0	10	0
		Group Total		356	0.01	21	0.01	7	0.02	25	0.01	6	0	415	0.01
S		TICKET VOTES		384	0.01	59	0.02	7	0.02	27	0.01	12	0.01	489	0.01
		"MELVILLE, Graeme"		198	0.01	20	0.01	0	0	17	0.01	11	0.01	246	0.01
		"BROADBRIDGE, Philip"		55	0	4	0	0	0	6	0	8	0	73	0
		Group Total		637	0.02	83	0.03	7	0.02	50	0.02	31	0.02	808	0.02
T		TICKET VOTES	CTA	38379	1.28	4456	1.53	519	1.13	4219	1.59	3108	1.91	50681	1.35
		"McLENNAN, Graham Clarke"	CTA	5265	0.18	649	0.22	26	0.06	545	0.21	532	0.33	7017	0.19
		"PETERSON, Janne"	CTA	117	0	8	0	2	0	7	0	14	0.01	148	0
		"ALLANSON, Tom"	CTA	42	0	9	0	0	0	11	0	9	0.01	71	0
		"MORGAN, Rex L"	CTA	33	0	8	0	1	0	1	0	2	0	45	0
		"McLENNAN, Michael Stewart"	CTA	84	0	13	0	1	0	12	0	7	0	117	0
		Group Total	CTA	43920	1.47	5143	1.76	549	1.19	4795	1.81	3672	2.26	58079	1.55
U		TICKET VOTES	GRN	52237	1.75	8480	2.91	1468	3.19	5958	2.25	2409	1.48	70552	1.88
		"SUTTON, John"	GRN	7094	0.24	1044	0.36	87	0.19	804	0.3	492	0.3	9521	0.25
		"MOORE, Catherine"	GRN	529	0.02	86	0.03	7	0.02	76	0.03	50	0.03	748	0.02
		"RHIANNON, Lee"	GRN	169	0.01	30	0.01	4	0.01	29	0.01	17	0.01	249	0.01
		"RUSSELL, Susie"	GRN	380	0.01	65	0.02	4	0.01	60	0.02	33	0.02	542	0.01
		Group Total	GRN	60409	2.02	9705	3.33	1570	3.41	6927	2.62	3001	1.84	81612	2.17
V		TICKET VOTES		48508	1.62	3071	1.05	958	2.08	3790	1.43	1528	0.94	57855	1.54
		"LI, Jason Yat-Sen"	UNI	2678	0.09	313	0.11	27	0.06	295	0.11	232	0.14	3545	0.09
		"STOCKREITER, Sonja"	UNI	48	0	7	0	0	0	8	0	3	0	66	0
		"McGUID, Sam"	UNI	8	0	0	0	0	0	1	0	0	0	9	0
		"GINGES, Kieran Daniel"	UNI	47	0	5	0	0	0	7	0	6	0	65	0
		"HASSAPIS, Nicholas Victor"	UNI	51	0	6	0	3	0.01	4	0	3	0	67	0
		Group Total		51340	1.72	3402	1.17	988	2.15	4105	1.55	1772	1.09	61607	1.64
UNGROUPED															
		"YAGLIPINAR, Mehmet"	IND	219	0.01	16	0.01	4	0.01	9	0	8	0	256	0.01
		"SARKS, Paul Anthony"	IND	139	0	10	0	1	0	10	0	5	0	165	0
		"VAUGHAN, Adrian"	IND	50	0	6	0	0	0	10	0	6	0	72	0
		"PANTSDOWN, Pauline"	IND	1694	0.06	239	0.08	36	0.08	162	0.06	164	0.1	2295	0.06
		"KUMAR, Tom"	IND	26	0	3	0	1	0	3	0	2	0	35	0
		"ROSS, Richard"	IND	100	0	19	0.01	0	0	7	0	7	0	133	0
		"JOSEPH, Stani R"	IND	43	0	2	0	0	0	7	0	2	0	54	0
		"PARSLOW, Party"	IND	42	0	8	0	1	0	6	0	2	0	59	0
		"POULSEN, Ron"		88	0	12	0	2	0	7	0	8	0	117	0
		Ungrouped Total		2401	0.08	315	0.11	45	0.1	221	0.08	204	0.13	3186	0.08
			FORMAL	2990903	96.26	291417	98.16	46028	96.68	264666	98.54	162711	99.16	3755725	96.69
			INFORMAL	116225	3.74	5476	1.84	1580	3.32	3933	1.46	1382	0.84	128596	3.31
			TOTAL	3107128	79.99	296893	7.64	47608	1.23	268599	6.91	164093	4.22	3884321	95.3



Victoria															
Enrolment 3081632															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ABR	7387	0.31	324	0.2	149	0.51	285	0.18	125	0.11	8270	0.29
		"BULLMORE, Eric"	ABR	845	0.04	53	0.03	13	0.04	40	0.03	37	0.03	988	0.03
		"SYDENHAM, David"	ABR	46	0	3	0	2	0.01	4	0	1	0	56	0
		Group Total	ABR	8278	0.35	380	0.24	164	0.56	329	0.21	163	0.14	9314	0.33
B		TICKET VOTES		1679	0.07	111	0.07	35	0.12	101	0.07	61	0.05	1987	0.07
		"TOSCANO, Joe"		149	0.01	15	0.01	1	0	13	0.01	8	0.01	186	0.01
		"ROPER, Steve"		22	0	5	0	1	0	3	0	1	0	32	0
		Group Total		1850	0.08	131	0.08	37	0.13	117	0.08	70	0.06	2205	0.08
C		TICKET VOTES	DEM	215907	9.07	16810	10.44	1803	6.17	11923	7.69	8305	7.02	254748	8.96
		"DOWNEY, Jim"	DEM	18275	0.77	1430	0.89	116	0.4	1083	0.7	841	0.71	21745	0.76
		"TOWNSEND, Matthew"	DEM	231	0.01	29	0.02	1	0	20	0.01	16	0.01	297	0.01
		"SAUNDERS, Ken"	DEM	482	0.02	49	0.03	3	0.01	33	0.02	22	0.02	589	0.02
		"HARCOURT, Alison"	DEM	1824	0.08	249	0.15	11	0.04	170	0.11	173	0.15	2427	0.09
		Group Total	DEM	236719	9.95	18567	11.53	1934	6.62	13229	8.53	9357	7.9	279806	9.84
D		TICKET VOTES		15484	0.65	1114	0.69	326	1.12	1350	0.87	766	0.65	19040	0.67
		"COPE, Bill"	UNI	788	0.03	68	0.04	10	0.03	86	0.06	71	0.06	1023	0.04
		"NGUYEN, Phong"	UNI	135	0.01	9	0.01	2	0.01	10	0.01	12	0.01	168	0.01
		"LEE, Wellington"	UNI	104	0	9	0.01	1	0	14	0.01	10	0.01	138	0
		"SWART, Ricci"	UNI	25	0	1	0	1	0	8	0.01	5	0	40	0
		"ROSE, Markham"	UNI	14	0	2	0	1	0	0	0	1	0	18	0
		"CEROLINI, Vivien"	UNI	10	0	0	0	0	0	2	0	6	0.01	18	0
		"IMAM, Naji"	UNI	32	0	1	0	0	0	2	0	4	0	39	0
		"KALANTZIS, Mary"	UNI	86	0	8	0	1	0	9	0.01	15	0.01	119	0
		Group Total		16678	0.7	1212	0.75	342	1.17	1481	0.96	890	0.75	20603	0.72
E		TICKET VOTES	GRN	46089	1.94	5768	3.58	974	3.33	3871	2.5	1949	1.65	58651	2.06
		"CLARKE, Charmaine"	GRN	9437	0.4	990	0.61	89	0.3	685	0.44	436	0.37	11637	0.41
		"RISSTROM, David"	GRN	155	0.01	22	0.01	1	0	15	0.01	15	0.01	208	0.01
		"CONOR, Liz"	GRN	276	0.01	33	0.02	3	0.01	28	0.02	36	0.03	376	0.01
		Group Total	GRN	55957	2.35	6813	4.23	1067	3.65	4599	2.97	2436	2.06	70872	2.49
F		TICKET VOTES	SEP	1020	0.04	98	0.06	19	0.06	64	0.04	29	0.02	1230	0.04
		"PHILLIPS, Sue"	SEP	104	0	17	0.01	3	0.01	7	0	7	0.01	138	0
		"MARSHALL, Will"	SEP	20	0	2	0	0	0	1	0	1	0	24	0
		Group Total	SEP	1144	0.05	117	0.07	22	0.08	72	0.05	37	0.03	1392	0.05
G		TICKET VOTES	NDP	2262	0.1	285	0.18	75	0.26	219	0.14	128	0.11	2969	0.1
		"SMITH, Gareth"	NDP	153	0.01	14	0.01	2	0.01	17	0.01	14	0.01	200	0.01
		"GRECH, Jacob"	NDP	20	0	3	0	0	0	0	0	4	0	27	0
		Group Total	NDP	2435	0.1	302	0.19	77	0.26	236	0.15	146	0.12	3196	0.11
H		TICKET VOTES	ARP	3923	0.16	223	0.14	48	0.16	326	0.21	201	0.17	4721	0.17
		"MATHIESON, Ray"	ARP	248	0.01	10	0.01	2	0.01	20	0.01	24	0.02	304	0.01
		"DRANE, Ted"	ARP	146	0.01	3	0	0	0	11	0.01	18	0.02	178	0.01
		Group Total	ARP	4317	0.18	236	0.15	50	0.17	357	0.23	243	0.21	5203	0.18
I		TICKET VOTES	AWP	7277	0.31	672	0.42	134	0.46	652	0.42	474	0.4	9209	0.32
		"NICHOLSON, Deb"	AWP	353	0.01	33	0.02	5	0.02	38	0.02	35	0.03	464	0.02
		"O'BRIEN, Pat"	AWP	27	0	1	0	0	0	5	0	6	0.01	39	0
		Group Total	AWP	7657	0.32	706	0.44	139	0.48	695	0.45	515	0.44	9712	0.34
J		TICKET VOTES	DLP	23566	0.99	1968	1.22	488	1.67	1775	1.14	933	0.79	28730	1.01
		"MULHOLLAND, John"	DLP	917	0.04	78	0.05	8	0.03	42	0.03	62	0.05	1107	0.04
		"CREA, Pat"	DLP	46	0	7	0	0	0	0	0	3	0	56	0
		Group Total	DLP	24529	1.03	2053	1.27	496	1.7	1817	1.17	998	0.84	29893	1.05
K		TICKET VOTES	ALP	966411	40.62	58631	36.4	14215	48.62	55372	35.71	40375	34.1	1135004	39.92
	#	"CONROY, Stephen"	ALP	11117	0.47	898	0.56	122	0.42	869	0.56	914	0.77	13920	0.49
	#	"CARR, Kim"	ALP	1108	0.05	111	0.07	25	0.09	95	0.06	113	0.1	1452	0.05
	#	"COLLINS, Jacinta"	ALP	1060	0.04	130	0.08	5	0.02	105	0.07	99	0.08	1399	0.05
		"BOYLE, Wendy"	ALP	1011	0.04	91	0.06	14	0.05	97	0.06	112	0.09	1325	0.05
		Group Total	ALP	980707	41.22	59861	37.16	14381	49.19	56538	36.46	41613	35.15	1153100	40.56
L		TICKET VOTES	LNP	878579	36.92	60321	37.45	8406	28.75	62940	40.59	51560	43.55	1061806	37.35
	#	"TROETH, Judith"	LP	9328	0.39	775	0.48	98	0.34	730	0.47	817	0.69	11748	0.41
	#	"McGAURAN, Julian John"	NP	922	0.04	81	0.05	4	0.01	89	0.06	155	0.13	1251	0.04
	#	"TCHEN, Tsebin"	LP	424	0.02	25	0.02	5	0.02	29	0.02	28	0.02	511	0.02
		"SYNON, Karen"	LP	362	0.02	54	0.03	4	0.01	33	0.02	59	0.05	512	0.02
		"DE MARCHI, Dino"	LP	127	0.01	16	0.01	2	0.01	8	0.01	17	0.01	170	0.01
		"MACGOWAN, Anna"	LP	608	0.03	80	0.05	7	0.02	70	0.05	81	0.07	846	0.03
		Group Total	LNP	890350	37.42	61352	38.09	8526	29.16	63899	41.21	52717	44.53	1076844	37.87
M		TICKET VOTES	FCP	2206	0.09	217	0.13	57	0.19	178	0.11	142	0.12	2800	0.1
		"HAIDAR, Abboud"	ACS	210	0.01	16	0.01	3	0.01	12	0.01	13	0.01	254	0.01
		"ABBOTTO, John Murray"	FLR	27	0	5	0	1	0	2	0	5	0	40	0
		Group Total	FCP	2443	0.1	238	0.15	61	0.21	192	0.12	160	0.14	3094	0.11
N		TICKET VOTES	CTA	9152	0.38	775	0.48	75	0.26	851	0.55	740	0.63	11593	0.41
		"GRAHAM, Murray"	CTA	1791	0.08	132	0.08	11	0.04	126	0.08	132	0.11	2192	0.08
		"COOK, Ken"	CTA	69	0	6	0	1	0	6	0	14	0.01	96	0
		Group Total	CTA	11012	0.46	913	0.57	87	0.3	983	0.63	886	0.75	13881	0.49
O		TICKET VOTES	FST	4569	0.19	269	0.17	76	0.26	399	0.26	274	0.23	5587	0.2
		"McCORMACK, Denis"	FST	381	0.02	37	0.02	2	0.01	28	0.02	30	0.03	478	0.02
		"GODFREY, Colin V"	FST	10	0	2	0	0	0	2	0	2	0	16	0
		Group Total	FST	4960	0.21	308	0.19	78	0.27	429	0.28	306	0.26	6081	0.21
P		TICKET VOTES	HAN	89810	3.77	4966	3.08	1158	3.96	6969	4.49	5281	4.46	108184	3.81
		"SPENCER, Robyn Marion"	HAN	6748	0.28	377	0.23	61	0.21	491	0.32	698	0.59	8375	0.29
		"BUCKLEY, Ben"	HAN	370	0.02	25	0.02	3	0.01	33	0.02	58	0.05	489	0.02
		Group Total	HAN	96928	4.07	5368	3.33	1222	4.18	7493	4.83	6037	5.1	117048	4.12
Q		TICKET VOTES	NLP	1767	0.07	215	0.13	34	0.12	159	0.1	100	0.08	2275	0.08
		"RIGBY, Byron"	NLP	232	0.01	23	0.01	3	0.01	18	0.01	16	0.01	292	0.01
		"SCHLAGER, Raymond"	NLP	4	0	1	0	0	0	0	0	0	0	5	0
		"SCURFIELD, Lorna"	NLP	30	0	1	0	0	0	2	0	2	0	35	0
		Group Total	NLP	2033	0.09	240	0.15	37	0.13	179	0.12	118	0.1	2607	0.09
R		TICKET VOTES	ASP	26829	1.13	1868	1.16	456	1.56	2063	1.33	1383	1.17	32599	1.15
		"EAMES, Graham"	ASP	1324	0.06	100	0.06	15	0.05	110	0.07	139	0.12	1688	0.06
		"SAYERS, Neville"	ASP	42	0	2	0	0	0	4	0	16	0.01	64	0
		"HUTCHISON, Alan"	ASP	23	0	2	0	0	0	1	0	3	0	29	0
		"FORBES, Graeme"	ASP	37	0	3	0	1	0	6	0	7	0.01	54	0
		Group Total	ASP	28255	1.19	1975	1.23	472	1.61	2184	1.41	1548	1.31	34434	1.21
S		TICKET VOTES	DSL	1695	0.07	165	0.1	19	0.06	119	0.08	41	0.03	2039	0.07
		"WILLIAMS, Jo"	DSL	179	0.01	23	0.01	2	0.01	15	0.01	6	0.01	225	0.01
		"HEARMAN, Vannessa"	DSL	21	0	3	0	1	0	1	0	4	0	30	0
		Group Total	DSL	1895	0.08	191	0.12	22	0.08	135	0.09	51	0.04	2294	0.08
T		TICKET VOTES	CEC	601	0.03	37	0.02	15	0.05	52	0.03	39	0.03	744	0.03
		"ISHERWOOD, Craig W"	CEC	55	0	7	0	0	0	4	0	5	0	71	0
		"BARWICK, Robert"	CEC	5	0	1	0	0	0	0	0	0	0	6	0
		Group Total	CEC	661	0.03	45	0.03	15	0.05	56	0.04	44	0.04	821	0.03
UNGROUPED															
		"MURGATROYD, Cecil G"		308	0.01	35	0.02	2	0.01	28	0.02	16	0.01	389	0.01
		"PECH, M H"	IND	56	0	4	0	0	0	2	0	5	0	67	0
		"SMITH, Graham"	IND	60	0	5	0	1	0	5	0	11	0.01	82	0
		"HEFFRON, David"	IND	42	0	6	0	1	0	2	0	3	0	54	0
		"McCLURE, Malcolm"	IND	129	0.01	13	0.01	2	0.01	9	0.01	15	0.01	168	0.01
		Ungrouped Total		595	0.03	63	0.04	6	0.02	46	0.03	50	0.04	760	0.03
			FORMAL	2379403	95.85	161071	97.95	29235	95.89	155066	98.27	118385	98.87	2843160	96.22
			INFORMAL	102990	4.15	3370	2.05	1252	4.11	2727	1.73	1347	1.13	111686	3.78
			TOTAL	2482393	84.01	164441	5.57	30487	1.03	157793	5.34	119732	4.05	2954846	95.89



Queensland															
Enrolment 2188024															

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.															
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’															


				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	QF	9260	0.56	538	0.38	96	0.72	386	0.38	311	0.34	10591	0.53
		"COLSTON, David Andrew"	QF	786	0.05	52	0.04	12	0.09	22	0.02	32	0.04	904	0.05
		"COLSTON, Dawn Patricia"	QF	49	0	1	0	2	0.01	2	0	5	0.01	59	0
		Group Total	QF	10095	0.61	591	0.42	110	0.82	410	0.4	348	0.38	11554	0.58
B		TICKET VOTES		597	0.04	44	0.03	5	0.04	22	0.02	22	0.02	690	0.03
		"LINSLEY, Jan"		161	0.01	13	0.01	1	0.01	5	0	20	0.02	200	0.01
		"MEREDITH, Percy"		46	0	1	0	0	0	2	0	2	0	51	0
		Group Total		804	0.05	58	0.04	6	0.04	29	0.03	44	0.05	941	0.05
C		TICKET VOTES		489	0.03	43	0.03	8	0.06	30	0.03	19	0.02	589	0.03
		"PAYNE, Noel Andrew"		68	0	2	0	0	0	5	0	0	0	75	0
		"PAVIER, Jim"		18	0	1	0	0	0	1	0	1	0	21	0
		Group Total		575	0.03	46	0.03	8	0.06	36	0.04	20	0.02	685	0.03
D		TICKET VOTES		6911	0.42	769	0.55	113	0.84	564	0.55	275	0.3	8632	0.43
		"FONG, Harry"	UNI	595	0.04	59	0.04	6	0.04	69	0.07	52	0.06	781	0.04
		"TOOGOOD, Chris"	UNI	51	0	10	0.01	0	0	7	0.01	6	0.01	74	0
		Group Total		7557	0.46	838	0.6	119	0.89	640	0.63	333	0.36	9487	0.47
E		TICKET VOTES	NP	150496	9.08	10640	7.58	783	5.84	7684	7.55	12990	14.21	182593	9.11
		"O'CHEE, Bill"	NP	5666	0.34	541	0.39	23	0.17	349	0.34	939	1.03	7518	0.38
		"BRADLEY, Thomas Joseph"	NP	199	0.01	17	0.01	1	0.01	20	0.02	21	0.02	258	0.01
		"COBB, Teresa M."	NP	173	0.01	20	0.01	1	0.01	16	0.02	83	0.09	293	0.01
		Group Total	NP	156534	9.45	11218	7.99	808	6.03	8069	7.93	14033	15.35	190662	9.52
F		TICKET VOTES	FST	3755	0.23	361	0.26	44	0.33	192	0.19	160	0.18	4512	0.23
		"NAGLE, Eric"	FST	285	0.02	36	0.03	1	0.01	10	0.01	25	0.03	357	0.02
		"DUKE, Klaus"	FST	21	0	4	0	0	0	1	0	2	0	28	0
		Group Total	FST	4061	0.25	401	0.29	45	0.34	203	0.2	187	0.2	4897	0.24
G		TICKET VOTES	CTA	20971	1.27	2018	1.44	159	1.19	1277	1.25	981	1.07	25406	1.27
		"BRADFORD, John"	CTA	2629	0.16	215	0.15	12	0.09	168	0.17	174	0.19	3198	0.16
		"BLACKMAN, Kerry"	CTA	103	0.01	13	0.01	1	0.01	6	0.01	2	0	125	0.01
		"MacKENZIE, Judy"	CTA	77	0	8	0.01	0	0	6	0.01	6	0.01	97	0
		Group Total	CTA	23780	1.44	2254	1.61	172	1.28	1457	1.43	1163	1.27	28826	1.44
H		TICKET VOTES	FLR	1768	0.11	189	0.13	22	0.16	131	0.13	56	0.06	2166	0.11
		"WEEDON, Barry Francis"	FLR	116	0.01	17	0.01	0	0	5	0	7	0.01	145	0.01
		"SOMERS, Robyn Ellen"	FLR	10	0	2	0	0	0	1	0	2	0	15	0
		Group Total	FLR	1894	0.11	208	0.15	22	0.16	137	0.13	65	0.07	2326	0.12
I		TICKET VOTES	HAN	232634	14.04	18411	13.12	1972	14.71	13134	12.9	12280	13.43	278431	13.9
	#	"HILL, Heather"	HAN	14112	0.85	1087	0.77	55	0.41	827	0.81	1391	1.52	17472	0.87
		"HARRIS, Len"	HAN	254	0.02	26	0.02	2	0.01	23	0.02	31	0.03	336	0.02
		"GORDON, Sue"	HAN	257	0.02	38	0.03	0	0	18	0.02	36	0.04	349	0.02
		"ANNING, David"	HAN	214	0.01	25	0.02	3	0.02	18	0.02	30	0.03	290	0.01
		"EVANS, Barry John"	HAN	287	0.02	23	0.02	3	0.02	18	0.02	36	0.04	367	0.02
		Group Total	HAN	247758	14.95	19610	13.98	2035	15.18	14038	13.79	13804	15.1	297245	14.83
J		TICKET VOTES	CEC	1391	0.08	95	0.07	11	0.08	52	0.05	76	0.08	1625	0.08
		"HETHERINGTON, Maurice"	CEC	107	0.01	11	0.01	1	0.01	8	0.01	23	0.03	150	0.01
		"GILLHAM, Ray"	CEC	7	0	1	0	0	0	1	0	1	0	10	0
		Group Total	CEC	1505	0.09	107	0.08	12	0.09	61	0.06	100	0.11	1785	0.09
K		TICKET VOTES	OAP	6097	0.37	579	0.41	80	0.6	441	0.43	121	0.13	7318	0.37
		"ZOCCHI, Mario"	OAP	178	0.01	23	0.02	4	0.03	6	0.01	7	0.01	218	0.01
