Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Fernvale		                                   	2	0.17	 	2	0.17	 	0	0	 	2	0.17	 	94	8.03	 	2	0.17	 	6	0.51	 	1	0.09	 	420	35.87	 	1	0.09	 	0	0	 	0	0	 	7	0.6	 	99	8.45	 	6	0.51	 	234	19.98	 	260	22.2	 	1	0.09	 	1	0.09	 	2	0.17	 	30	2.56	 	1	0.09	 	1171	96.94	 	37	3.06	 	1208	1.71
Flagstone Creek		                            	1	0.76	 	0	0	 	0	0	 	0	0	 	36	27.27	 	0	0	 	6	4.55	 	0	0	 	62	46.97	 	0	0	 	0	0	 	0	0	 	0	0	 	5	3.79	 	0	0	 	9	6.82	 	12	9.09	 	0	0	 	0	0	 	1	0.76	 	0	0	 	0	0	 	132	99.25	 	1	0.75	 	133	0.19
Forest Hill		                                	3	0.5	 	7	1.17	 	1	0.17	 	3	0.5	 	68	11.33	 	0	0	 	7	1.17	 	0	0	 	239	39.83	 	0	0	 	3	0.5	 	1	0.17	 	5	0.83	 	30	5	 	2	0.33	 	116	19.33	 	103	17.17	 	3	0.5	 	0	0	 	1	0.17	 	8	1.33	 	0	0	 	600	97.56	 	15	2.44	 	615	0.87
Gatton		                                     	9	0.58	 	7	0.45	 	0	0	 	9	0.58	 	177	11.37	 	4	0.26	 	27	1.73	 	1	0.06	 	563	36.16	 	2	0.13	 	6	0.39	 	1	0.06	 	3	0.19	 	58	3.73	 	3	0.19	 	301	19.33	 	358	22.99	 	2	0.13	 	1	0.06	 	1	0.06	 	24	1.54	 	0	0	 	1557	95.35	 	76	4.65	 	1633	2.3
Gatton South		                               	13	0.63	 	3	0.15	 	1	0.05	 	10	0.49	 	250	12.2	 	4	0.2	 	35	1.71	 	4	0.2	 	661	32.24	 	2	0.1	 	15	0.73	 	0	0	 	0	0	 	104	5.07	 	0	0	 	428	20.88	 	471	22.98	 	11	0.54	 	0	0	 	3	0.15	 	34	1.66	 	1	0.05	 	2050	95.88	 	88	4.12	 	2138	3.02
Glamorgan Vale		                             	2	0.61	 	1	0.3	 	0	0	 	3	0.91	 	24	7.32	 	0	0	 	0	0	 	2	0.61	 	129	39.33	 	0	0	 	5	1.52	 	1	0.3	 	0	0	 	24	7.32	 	3	0.91	 	61	18.6	 	63	19.21	 	1	0.3	 	0	0	 	2	0.61	 	7	2.13	 	0	0	 	328	98.5	 	5	1.5	 	333	0.47
Glenore Grove		                              	6	0.45	 	0	0	 	0	0	 	4	0.3	 	98	7.42	 	0	0	 	9	0.68	 	0	0	 	499	37.77	 	2	0.15	 	6	0.45	 	2	0.15	 	2	0.15	 	64	4.84	 	1	0.08	 	379	28.69	 	207	15.67	 	12	0.91	 	0	0	 	3	0.23	 	21	1.59	 	6	0.45	 	1321	97.92	 	28	2.08	 	1349	1.9
Goodger		                                    	0	0	 	0	0	 	0	0	 	0	0	 	53	19.63	 	1	0.37	 	3	1.11	 	0	0	 	116	42.96	 	0	0	 	1	0.37	 	0	0	 	0	0	 	12	4.44	 	0	0	 	34	12.59	 	49	18.15	 	0	0	 	0	0	 	0	0	 	1	0.37	 	0	0	 	270	99.26	 	2	0.74	 	272	0.38
Grandchester		                               	0	0	 	0	0	 	0	0	 	0	0	 	25	11.31	 	0	0	 	0	0	 	1	0.45	 	82	37.1	 	0	0	 	0	0	 	1	0.45	 	0	0	 	17	7.69	 	0	0	 	50	22.62	 	40	18.1	 	0	0	 	0	0	 	0	0	 	5	2.26	 	0	0	 	221	94.04	 	14	5.96	 	235	0.33
Grantham		                                   	4	0.81	 	2	0.41	 	1	0.2	 	2	0.41	 	60	12.22	 	0	0	 	4	0.81	 	1	0.2	 	192	39.1	 	0	0	 	8	1.63	 	0	0	 	2	0.41	 	23	4.68	 	1	0.2	 	67	13.65	 	116	23.63	 	2	0.41	 	0	0	 	1	0.2	 	5	1.02	 	0	0	 	491	94.79	 	27	5.21	 	518	0.73
Haden		                                      	0	0	 	0	0	 	0	0	 	0	0	 	57	39.58	 	0	0	 	0	0	 	0	0	 	63	43.75	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.08	 	0	0	 	5	3.47	 	14	9.72	 	0	0	 	0	0	 	0	0	 	2	1.39	 	0	0	 	144	96.64	 	5	3.36	 	149	0.21
Haigslea		                                   	2	0.72	 	0	0	 	0	0	 	1	0.36	 	42	15.05	 	0	0	 	1	0.36	 	0	0	 	93	33.33	 	1	0.36	 	0	0	 	0	0	 	0	0	 	12	4.3	 	0	0	 	42	15.05	 	77	27.6	 	2	0.72	 	0	0	 	1	0.36	 	5	1.79	 	0	0	 	279	96.21	 	11	3.79	 	290	0.41
Hatton Vale		                                	7	0.72	 	1	0.1	 	1	0.1	 	1	0.1	 	70	7.16	 	4	0.41	 	15	1.54	 	0	0	 	344	35.21	 	2	0.2	 	4	0.41	 	1	0.1	 	1	0.1	 	41	4.2	 	3	0.31	 	269	27.53	 	196	20.06	 	2	0.2	 	0	0	 	0	0	 	15	1.54	 	0	0	 	977	97.21	 	28	2.79	 	1005	1.42
Helidon		                                    	1	0.13	 	0	0	 	1	0.13	 	1	0.13	 	99	13.27	 	1	0.13	 	20	2.68	 	1	0.13	 	277	37.13	 	0	0	 	12	1.61	 	0	0	 	3	0.4	 	29	3.89	 	0	0	 	145	19.44	 	147	19.71	 	2	0.27	 	0	0	 	4	0.54	 	3	0.4	 	0	0	 	746	97.52	 	19	2.48	 	765	1.08
Inverlaw		                                   	1	0.54	 	0	0	 	0	0	 	1	0.54	 	62	33.7	 	0	0	 	5	2.72	 	0	0	 	73	39.67	 	0	0	 	1	0.54	 	0	0	 	0	0	 	6	3.26	 	0	0	 	11	5.98	 	24	13.04	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	184	97.87	 	4	2.13	 	188	0.27
Jimna		                                      	1	1.47	 	0	0	 	0	0	 	1	1.47	 	11	16.18	 	2	2.94	 	1	1.47	 	0	0	 	21	30.88	 	5	7.35	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	13	19.12	 	11	16.18	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.94	 	68	91.89	 	6	8.11	 	74	0.1
Karalee		                                    	2	0.1	 	0	0	 	0	0	 	1	0.05	 	63	3.01	 	1	0.05	 	16	0.76	 	1	0.05	 	514	24.55	 	0	0	 	9	0.43	 	0	0	 	2	0.1	 	240	11.46	 	1	0.05	 	517	24.69	 	659	31.47	 	4	0.19	 	2	0.1	 	6	0.29	 	53	2.53	 	3	0.14	 	2094	97.99	 	43	2.01	 	2137	3.02
Karana Downs		                               	2	0.08	 	2	0.08	 	0	0	 	5	0.21	 	70	2.88	 	0	0	 	19	0.78	 	3	0.12	 	368	15.15	 	0	0	 	1	0.04	 	0	0	 	0	0	 	355	14.62	 	2	0.08	 	461	18.98	 	1064	43.8	 	5	0.21	 	0	0	 	4	0.16	 	68	2.8	 	0	0	 	2429	97.79	 	55	2.21	 	2484	3.51
Kentville		                                  	2	1.05	 	0	0	 	0	0	 	2	1.05	 	17	8.95	 	1	0.53	 	0	0	 	0	0	 	79	41.58	 	0	0	 	1	0.53	 	0	0	 	1	0.53	 	20	10.53	 	0	0	 	34	17.89	 	27	14.21	 	0	0	 	0	0	 	0	0	 	3	1.58	 	3	1.58	 	190	97.44	 	5	2.56	 	195	0.28
Kilcoy		                                     	2	0.16	 	0	0	 	1	0.08	 	7	0.56	 	144	11.62	 	9	0.73	 	11	0.89	 	0	0	 	448	36.16	 	24	1.94	 	13	1.05	 	0	0	 	0	0	 	71	5.73	 	1	0.08	 	255	20.58	 	242	19.53	 	4	0.32	 	0	0	 	1	0.08	 	5	0.4	 	1	0.08	 	1239	95.16	 	63	4.84	 	1302	1.84
Kingaroy		                                   	10	0.34	 	1	0.03	 	2	0.07	 	15	0.51	 	558	19.08	 	11	0.38	 	21	0.72	 	4	0.14	 	1002	34.26	 	1	0.03	 	13	0.44	 	5	0.17	 	2	0.07	 	167	5.71	 	4	0.14	 	520	17.78	 	533	18.22	 	6	0.21	 	1	0.03	 	4	0.14	 	45	1.54	 	0	0	 	2925	96.53	 	105	3.47	 	3030	4.28
Kumbia		                                     	0	0	 	0	0	 	0	0	 	2	0.49	 	138	33.66	 	2	0.49	 	2	0.49	 	0	0	 	142	34.63	 	1	0.24	 	3	0.73	 	0	0	 	0	0	 	18	4.39	 	0	0	 	42	10.24	 	52	12.68	 	0	0	 	0	0	 	0	0	 	7	1.71	 	1	0.24	 	410	96.24	 	16	3.76	 	426	0.6
Laidley		                                    	8	0.38	 	5	0.24	 	1	0.05	 	7	0.34	 	208	9.99	 	6	0.29	 	22	1.06	 	2	0.1	 	753	36.15	 	3	0.14	 	7	0.34	 	4	0.19	 	4	0.19	 	96	4.61	 	1	0.05	 	484	23.24	 	420	20.16	 	6	0.29	 	1	0.05	 	2	0.1	 	41	1.97	 	2	0.1	 	2083	95.95	 	88	4.05	 	2171	3.06
Lake Clarendon		                             	1	0.37	 	0	0	 	0	0	 	0	0	 	44	16.48	 	0	0	 	1	0.37	 	1	0.37	 	119	44.57	 	1	0.37	 	1	0.37	 	0	0	 	0	0	 	9	3.37	 	1	0.37	 	57	21.35	 	31	11.61	 	0	0	 	0	0	 	0	0	 	1	0.37	 	0	0	 	267	97.45	 	7	2.55	 	274	0.39
Lawes		                                      	0	0	 	2	4.35	 	0	0	 	0	0	 	8	17.39	 	0	0	 	1	2.17	 	0	0	 	13	28.26	 	0	0	 	0	0	 	0	0	 	0	0	 	2	4.35	 	0	0	 	9	19.57	 	10	21.74	 	0	0	 	0	0	 	1	2.17	 	0	0	 	0	0	 	46	97.87	 	1	2.13	 	47	0.07
Leichhardt		                                 	10	1.07	 	0	0	 	0	0	 	7	0.75	 	21	2.24	 	3	0.32	 	6	0.64	 	1	0.11	 	315	33.65	 	1	0.11	 	6	0.64	 	1	0.11	 	0	0	 	58	6.2	 	2	0.21	 	346	36.97	 	144	15.38	 	3	0.32	 	0	0	 	3	0.32	 	7	0.75	 	2	0.21	 	936	95.41	 	45	4.59	 	981	1.38
Leichhardt School		                          	14	0.99	 	0	0	 	0	0	 	12	0.85	 	35	2.47	 	5	0.35	 	6	0.42	 	6	0.42	 	414	29.2	 	2	0.14	 	11	0.78	 	2	0.14	 	1	0.07	 	54	3.81	 	5	0.35	 	595	41.96	 	220	15.51	 	8	0.56	 	2	0.14	 	2	0.14	 	24	1.69	 	0	0	 	1418	96.46	 	52	3.54	 	1470	2.07
Lowood		                                     	9	0.67	 	1	0.07	 	0	0	 	2	0.15	 	163	12.21	 	1	0.07	 	7	0.52	 	3	0.22	 	509	38.13	 	0	0	 	8	0.6	 	1	0.07	 	4	0.3	 	75	5.62	 	2	0.15	 	301	22.55	 	211	15.81	 	6	0.45	 	0	0	 	1	0.07	 	29	2.17	 	2	0.15	 	1335	95.77	 	59	4.23	 	1394	1.97
Maidenwell		                                 	2	0.97	 	1	0.48	 	0	0	 	1	0.48	 	34	16.43	 	2	0.97	 	1	0.48	 	0	0	 	107	51.69	 	0	0	 	2	0.97	 	1	0.48	 	0	0	 	7	3.38	 	0	0	 	25	12.08	 	24	11.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	207	94.09	 	13	5.91	 	220	0.31
Ma Ma Creek		                                	0	0	 	0	0	 	0	0	 	0	0	 	42	18.75	 	0	0	 	3	1.34	 	1	0.45	 	92	41.07	 	2	0.89	 	0	0	 	0	0	 	0	0	 	15	6.7	 	0	0	 	19	8.48	 	44	19.64	 	0	0	 	0	0	 	0	0	 	5	2.23	 	1	0.45	 	224	97.39	 	6	2.61	 	230	0.32
Marburg		                                    	4	0.77	 	1	0.19	 	0	0	 	2	0.38	 	55	10.54	 	2	0.38	 	4	0.77	 	0	0	 	175	33.52	 	0	0	 	4	0.77	 	0	0	 	1	0.19	 	24	4.6	 	0	0	 	126	24.14	 	110	21.07	 	0	0	 	0	0	 	2	0.38	 	12	2.3	 	0	0	 	522	97.39	 	14	2.61	 	536	0.76
Memerambi		                                  	0	0	 	0	0	 	0	0	 	0	0	 	86	22.28	 	6	1.55	 	2	0.52	 	0	0	 	183	47.41	 	0	0	 	2	0.52	 	0	0	 	0	0	 	18	4.66	 	0	0	 	27	6.99	 	57	14.77	 	0	0	 	0	0	 	0	0	 	5	1.3	 	0	0	 	386	94.84	 	21	5.16	 	407	0.57
Minden		                                     	2	0.36	 	3	0.54	 	0	0	 	2	0.36	 	35	6.31	 	0	0	 	4	0.72	 	2	0.36	 	227	40.9	 	0	0	 	4	0.72	 	0	0	 	2	0.36	 	25	4.5	 	0	0	 	136	24.5	 	98	17.66	 	5	0.9	 	0	0	 	2	0.36	 	8	1.44	 	0	0	 	555	94.87	 	30	5.13	 	585	0.83
Moore		                                      	1	0.33	 	0	0	 	0	0	 	0	0	 	67	21.9	 	2	0.65	 	2	0.65	 	0	0	 	97	31.7	 	0	0	 	1	0.33	 	0	0	 	0	0	 	18	5.88	 	0	0	 	64	20.92	 	51	16.67	 	1	0.33	 	0	0	 	0	0	 	1	0.33	 	1	0.33	 	306	95.63	 	14	4.38	 	320	0.45
Mount Kilcoy		                               	1	0.36	 	0	0	 	0	0	 	1	0.36	 	45	16.3	 	0	0	 	0	0	 	0	0	 	106	38.41	 	3	1.09	 	1	0.36	 	0	0	 	0	0	 	5	1.81	 	0	0	 	40	14.49	 	71	25.72	 	0	0	 	0	0	 	0	0	 	3	1.09	 	0	0	 	276	95.83	 	12	4.17	 	288	0.41
Mount Sylvia		                               	1	0.48	 	0	0	 	0	0	 	0	0	 	39	18.66	 	0	0	 	3	1.44	 	1	0.48	 	93	44.5	 	0	0	 	0	0	 	0	0	 	0	0	 	7	3.35	 	0	0	 	9	4.31	 	56	26.79	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	209	97.21	 	6	2.79	 	215	0.3
Mount Tarampa		                              	4	1.41	 	0	0	 	0	0	 	2	0.7	 	40	14.08	 	1	0.35	 	0	0	 	1	0.35	 	114	40.14	 	0	0	 	1	0.35	 	0	0	 	0	0	 	9	3.17	 	0	0	 	70	24.65	 	35	12.32	 	2	0.7	 	0	0	 	0	0	 	5	1.76	 	0	0	 	284	95.62	 	13	4.38	 	297	0.42
Murphys Creek		                              	1	0.28	 	0	0	 	0	0	 	0	0	 	36	9.94	 	1	0.28	 	14	3.87	 	0	0	 	122	33.7	 	0	0	 	1	0.28	 	0	0	 	2	0.55	 	21	5.8	 	0	0	 	85	23.48	 	75	20.72	 	0	0	 	0	0	 	0	0	 	4	1.1	 	0	0	 	362	99.72	 	1	0.28	 	363	0.51
Mutdapilly		                                 	0	0	 	0	0	 	0	0	 	43	16.54	 	0	0	 	0	0	 	0	0	 	112	43.08	 	5	1.92	 	3	1.15	 	0	0	 	0	0	 	0	0	 	17	6.54	 	0	0	 	22	8.46	 	57	21.92	 	1	0.38	 	0	0	 	0	0	 	0	0	 	0	0	 	260	95.94	 	11	4.06	 	271	0.38
Nanango		                                    	7	0.28	 	0	0	 	0	0	 	10	0.4	 	290	11.5	 	15	0.6	 	10	0.4	 	2	0.08	 	950	37.68	 	0	0	 	15	0.6	 	0	0	 	0	0	 	145	5.75	 	4	0.16	 	673	26.7	 	363	14.4	 	4	0.16	 	0	0	 	4	0.16	 	28	1.11	 	1	0.04	 	2521	96.7	 	86	3.3	 	2607	3.68
North Ipswich		                              	11	0.87	 	1	0.08	 	2	0.16	 	7	0.56	 	43	3.42	 	8	0.64	 	10	0.79	 	3	0.24	 	350	27.82	 	2	0.16	 	6	0.48	 	0	0	 	6	0.48	 	87	6.92	 	4	0.32	 	508	40.38	 	180	14.31	 	4	0.32	 	0	0	 	4	0.32	 	20	1.59	 	2	0.16	 	1258	96.47	 	46	3.53	 	1304	1.84
Perseverance		                               	2	1.1	 	0	0	 	0	0	 	0	0	 	34	18.78	 	0	0	 	2	1.1	 	0	0	 	69	38.12	 	0	0	 	0	0	 	0	0	 	2	1.1	 	9	4.97	 	0	0	 	15	8.29	 	35	19.34	 	1	0.55	 	0	0	 	0	0	 	12	6.63	 	0	0	 	181	96.28	 	7	3.72	 	188	0.27
Pine Mountain		                              	3	0.84	 	0	0	 	0	0	 	0	0	 	19	5.31	 	0	0	 	2	0.56	 	0	0	 	130	36.31	 	0	0	 	1	0.28	 	1	0.28	 	0	0	 	19	5.31	 	0	0	 	66	18.44	 	105	29.33	 	0	0	 	0	0	 	2	0.56	 	10	2.79	 	0	0	 	358	97.81	 	8	2.19	 	366	0.52
Rosevale		                                   	0	0	 	0	0	 	0	0	 	0	0	 	34	26.77	 	0	0	 	3	2.36	 	0	0	 	59	46.46	 	0	0	 	1	0.79	 	0	0	 	0	0	 	1	0.79	 	0	0	 	5	3.94	 	21	16.54	 	0	0	 	0	0	 	2	1.57	 	0	0	 	1	0.79	 	127	93.38	 	9	6.62	 	136	0.19
Rosewood		                                   	7	0.35	 	1	0.05	 	3	0.15	 	7	0.35	 	176	8.88	 	3	0.15	 	11	0.56	 	1	0.05	 	732	36.95	 	1	0.05	 	7	0.35	 	2	0.1	 	8	0.4	 	124	6.26	 	6	0.3	 	524	26.45	 	337	17.01	 	11	0.56	 	0	0	 	1	0.05	 	19	0.96	 	0	0	 	1981	96.49	 	72	3.51	 	2053	2.9
St Josephs		                                 	3	0.25	 	0	0	 	0	0	 	4	0.34	 	36	3.04	 	7	0.59	 	11	0.93	 	1	0.08	 	342	28.91	 	1	0.08	 	9	0.76	 	0	0	 	2	0.17	 	93	7.86	 	4	0.34	 	422	35.67	 	223	18.85	 	4	0.34	 	0	0	 	2	0.17	 	19	1.61	 	0	0	 	1183	97.53	 	30	2.47	 	1213	1.71
Somerset Dam		                               	0	0	 	0	0	 	0	0	 	0	0	 	9	11.69	 	1	1.3	 	0	0	 	0	0	 	14	18.18	 	0	0	 	1	1.3	 	0	0	 	1	1.3	 	9	11.69	 	0	0	 	21	27.27	 	20	25.97	 	0	0	 	0	0	 	0	0	 	1	1.3	 	0	0	 	77	98.72	 	1	1.28	 	78	0.11
Stockyard Creek		                            	0	0	 	0	0	 	0	0	 	0	0	 	28	14.07	 	2	1.01	 	5	2.51	 	0	0	 	60	30.15	 	0	0	 	2	1.01	 	0	0	 	0	0	 	21	10.55	 	0	0	 	31	15.58	 	46	23.12	 	1	0.5	 	0	0	 	0	0	 	3	1.51	 	0	0	 	199	98.51	 	3	1.49	 	202	0.29
Taabinga		                                   	6	0.43	 	0	0	 	1	0.07	 	2	0.14	 	298	21.19	 	8	0.57	 	6	0.43	 	0	0	 	453	32.22	 	2	0.14	 	14	1	 	2	0.14	 	0	0	 	75	5.33	 	4	0.28	 	225	16	 	283	20.13	 	7	0.5	 	0	0	 	1	0.07	 	19	1.35	 	0	0	 	1406	96.97	 	44	3.03	 	1450	2.05
Tarampa		                                    	1	0.28	 	0	0	 	1	0.28	 	4	1.13	 	36	10.2	 	0	0	 	3	0.85	 	0	0	 	143	40.51	 	0	0	 	4	1.13	 	1	0.28	 	0	0	 	15	4.25	 	1	0.28	 	71	20.11	 	64	18.13	 	1	0.28	 	0	0	 	1	0.28	 	7	1.98	 	0	0	 	353	95.41	 	17	4.59	 	370	0.52
Thornton		                                   	1	0.56	 	0	0	 	0	0	 	0	0	 	36	20	 	1	0.56	 	0	0	 	0	0	 	86	47.78	 	0	0	 	2	1.11	 	0	0	 	0	0	 	10	5.56	 	0	0	 	11	6.11	 	31	17.22	 	1	0.56	 	0	0	 	0	0	 	1	0.56	 	0	0	 	180	98.36	 	3	1.64	 	183	0.26
Tivoli		                                     	8	0.62	 	2	0.15	 	1	0.08	 	3	0.23	 	50	3.87	 	2	0.15	 	4	0.31	 	1	0.08	 	363	28.1	 	1	0.08	 	8	0.62	 	0	0	 	1	0.08	 	107	8.28	 	2	0.15	 	409	31.66	 	306	23.68	 	8	0.62	 	1	0.08	 	2	0.15	 	13	1.01	 	0	0	 	1292	95.92	 	55	4.08	 	1347	1.9
Toogoolawah		                                	4	0.37	 	0	0	 	0	0	 	8	0.74	 	176	16.22	 	3	0.28	 	4	0.37	 	1	0.09	 	408	37.6	 	1	0.09	 	5	0.46	 	1	0.09	 	8	0.74	 	44	4.06	 	1	0.09	 	189	17.42	 	210	19.35	 	1	0.09	 	0	0	 	3	0.28	 	18	1.66	 	0	0	 	1085	95.34	 	53	4.66	 	1138	1.61
Upper Tenthill		                             	0	0	 	4	1.57	 	0	0	 	0	0	 	30	11.76	 	1	0.39	 	9	3.53	 	0	0	 	115	45.1	 	0	0	 	1	0.39	 	0	0	 	0	0	 	9	3.53	 	0	0	 	20	7.84	 	64	25.1	 	0	0	 	0	0	 	1	0.39	 	1	0.39	 	0	0	 	255	94.44	 	15	5.56	 	270	0.38
