House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Wannon																												
				MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			HAWKER			MORROW			
		TOTAL		15	1.30		50	4.33					32	2.77					52	4.50		532	46.02		475	41.09		1156
	FOURTH				Excluded		9	60.00					3	20.00					1	6.67		1	6.67		1	6.67		15
		TOTAL					59	5.10					35	3.03					53	4.58		533	46.11		476	41.18		1156
	FIFTH						5	9.43					7	13.21						Excluded		24	45.28		17	32.08		53
		TOTAL					64	5.54					42	3.63								557	48.18		493	42.65		1156
	SIXTH							Excluded					49	76.56								8	12.50		7	10.94		64
		TOTAL											91	7.87								565	48.88		500	43.25		1156
	SEVENTH													Excluded								54	59.34		37	40.66		91
		TOTAL																				619	53.55		537	46.45		1156
																						Elected						
																												
Bolwarra                                                       																												
	FIRST			9	1.80		14	2.80		7	1.40		12	2.40		4	0.80		15	3.00		251	50.20		188	37.60		500
	SECOND			3	42.86		1	14.29			Excluded		0	0.00		1	14.29		0	0.00		1	14.29		1	14.29		7
		TOTAL		12	2.40		15	3.00					12	2.40		5	1.00		15	3.00		252	50.40		189	37.80		500
	THIRD			2	40.00		0	0.00					0	0.00			Excluded		1	20.00		1	20.00		1	20.00		5
		TOTAL		14	2.80		15	3.00					12	2.40					16	3.20		253	50.60		190	38.00		500
	FOURTH				Excluded		5	35.71					2	14.29					2	14.29		4	28.57		1	7.14		14
		TOTAL					20	4.00					14	2.80					18	3.60		257	51.40		191	38.20		500
	FIFTH						4	22.22					2	11.11						Excluded		8	44.44		4	22.22		18
		TOTAL					24	4.80					16	3.20								265	53.00		195	39.00		500
	SIXTH							Excluded					14	58.33								6	25.00		4	16.67		24
		TOTAL											30	6.00								271	54.20		199	39.80		500
	SEVENTH													Excluded								9	30.00		21	70.00		30
		TOTAL																				280	56.00		220	44.00		500
																						Elected						
																												
Branxholme                                                     																												
	FIRST			10	4.39		7	3.07		4	1.75		6	2.63		2	0.88		9	3.95		126	55.26		64	28.07		228
	SECOND			2	50.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		12	5.26		8	3.51					6	2.63		2	0.88		10	4.39		126	55.26		64	28.07		228
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		1	50.00		0	0.00		1	50.00		2
		TOTAL		12	5.26		8	3.51					6	2.63					11	4.82		126	55.26		65	28.51		228
	FOURTH				Excluded		2	16.67					0	0.00					3	25.00		5	41.67		2	16.67		12
		TOTAL					10	4.39					6	2.63					14	6.14		131	57.46		67	29.39		228
	FIFTH						2	14.29					4	28.57						Excluded		5	35.71		3	21.43		14
		TOTAL					12	5.26					10	4.39								136	59.65		70	30.70		228
	SIXTH							Excluded					6	50.00								5	41.67		1	8.33		12
		TOTAL											16	7.02								141	61.84		71	31.14		228
	SEVENTH													Excluded								8	50.00		8	50.00		16
		TOTAL																				149	65.35		79	34.65		228
																						Elected						
																												
Buangor                                                        																												
	FIRST			2	1.32		5	3.31		0	0.00		2	1.32		1	0.66		6	3.97		88	58.28		47	31.13		151
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.32		5	3.31					2	1.32		1	0.66		6	3.97		88	58.28		47	31.13		151
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		2	1.32		5	3.31					2	1.32					6	3.97		88	58.28		48	31.79		151
	FOURTH				Excluded		0	0.00					0	0.00					1	50.00		1	50.00		0	0.00		2
		TOTAL					5	3.31					2	1.32					7	4.64		89	58.94		48	31.79		151
	FIFTH						1	14.29					1	14.29						Excluded		4	57.14		1	14.29		7
		TOTAL					6	3.97					3	1.99								93	61.59		49	32.45		151
	SIXTH							Excluded					2	33.33								2	33.33		2	33.33		6
		TOTAL											5	3.31								95	62.91		51	33.77		151
	SEVENTH													Excluded								2	40.00		3	60.00		5
		TOTAL																				97	64.24		54	35.76		151
																						Elected						
																												
Byaduk                                                         																												
	FIRST			12	10.91		2	1.82		0	0.00		4	3.64		0	0.00		5	4.55		72	65.45		15	13.64		110
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		12	10.91		2	1.82					4	3.64		0	0.00		5	4.55		72	65.45		15	13.64		110
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		12	10.91		2	1.82					4	3.64					5	4.55		72	65.45		15	13.64		110
	FOURTH				Excluded		1	8.33					1	8.33					3	25.00		5	41.67		2	16.67		12
		TOTAL					3	2.73					5	4.55					8	7.27		77	70.00		17	15.45		110
	FIFTH						2	25.00					3	37.50						Excluded		3	37.50		0	0.00		8
		TOTAL					5	4.55					8	7.27								80	72.73		17	15.45		110
	SIXTH							Excluded					3	60.00								1	20.00		1	20.00		5
		TOTAL											11	10.00								81	73.64		18	16.36		110
	SEVENTH													Excluded								7	63.64		4	36.36		11
		TOTAL																				88	80.00		22	20.00		110
																						Elected						
																												
Camperdown                                                     																												
	FIRST			44	1.75		115	4.57		21	0.83		94	3.73		36	1.43		44	1.75		1414	56.18		749	29.76		2517
	SECOND			11	52.38		3	14.29			Excluded		2	9.52		2	9.52		1	4.76		1	4.76		1	4.76		21
		TOTAL		55	2.19		118	4.69					96	3.81		38	1.51		45	1.79		1415	56.22		750	29.80		2517
	THIRD			6	15.79		3	7.89					12	31.58			Excluded		2	5.26		11	28.95		4	10.53		38
		TOTAL		61	2.42		121	4.81					108	4.29					47	1.87		1426	56.65		754	29.96		2517
	FOURTH				Excluded		34	55.74					7	11.48					7	11.48		9	14.75		4	6.56		61
		TOTAL					155	6.16					115	4.57					54	2.15		1435	57.01		758	30.12		2517
	FIFTH						18	33.33					7	12.96						Excluded		17	31.48		12	22.22		54
		TOTAL					173	6.87					122	4.85								1452	57.69		770	30.59		2517
	SIXTH							Excluded					112	64.74								29	16.76		32	18.50		173
		TOTAL											234	9.30								1481	58.84		802	31.86		2517
	SEVENTH													Excluded								124	52.99		110	47.01		234
		TOTAL																				1605	63.77		912	36.23		2517
																						Elected						
																												
Cape Clear                                                     																												
	FIRST			2	0.88		5	2.20		2	0.88		2	0.88		1	0.44		12	5.29		116	51.10		87	38.33		227
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	1.76		5	2.20					2	0.88		1	0.44		12	5.29		116	51.10		87	38.33		227
	THIRD			0	0.00		1	100.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		4	1.76		6	2.64					2	0.88					12	5.29		116	51.10		87	38.33		227
	FOURTH				Excluded		3	75.00					0	0.00					0	0.00		1	25.00		0	0.00		4
		TOTAL					9	3.96					2	0.88					12	5.29		117	51.54		87	38.33		227
	FIFTH						2	16.67					5	41.67						Excluded		4	33.33		1	8.33		12
		TOTAL					11	4.85					7	3.08								121	53.30		88	38.77		227
	SIXTH							Excluded					7	63.64								2	18.18		2	18.18		11
		TOTAL											14	6.17								123	54.19		90	39.65		227
	SEVENTH													Excluded								7	50.00		7	50.00		14
		TOTAL																				130	57.27		97	42.73		227
																						Elected						
																												
Caramut                                                        																												
	FIRST			5	2.34		4	1.87		0	0.00		7	3.27		3	1.40		12	5.61		125	58.41		58	27.10		214
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	2.34		4	1.87					7	3.27		3	1.40		12	5.61		125	58.41		58	27.10		214
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		2	66.67		0	0.00		1	33.33		3
		TOTAL		5	2.34		4	1.87					7	3.27					14	6.54		125	58.41		59	27.57		214
	FOURTH				Excluded		1	20.00					1	20.00					0	0.00		2	40.00		1	20.00		5
		TOTAL					5	2.34					8	3.74					14	6.54		127	59.35		60	28.04		214
	FIFTH						4	28.57					7	50.00						Excluded		2	14.29		1	7.14		14
		TOTAL					9	4.21					15	7.01								129	60.28		61	28.50		214
	SIXTH							Excluded					5	55.56								4	44.44		0	0.00		9
		TOTAL											20	9.35								133	62.15		61	28.50		214
	SEVENTH													Excluded								12	60.00		8	40.00		20
		TOTAL																				145	67.76		69	32.24		214
																						Elected						
																												
Carpendeit                                                     																												
	FIRST			5	3.29		2	1.32		1	0.66		5	3.29		0	0.00		10	6.58		98	64.47		31	20.39		152
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	3.29		3	1.97					5	3.29		0	0.00		10	6.58		98	64.47		31	20.39		152
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	3.29		3	1.97					5	3.29					10	6.58		98	64.47		31	20.39		152
	FOURTH				Excluded		1	20.00					1	20.00					0	0.00		2	40.00		1	20.00		5
		TOTAL					4	2.63					6	3.95					10	6.58		100	65.79		32	21.05		152
	FIFTH						0	0.00					1	10.00						Excluded		8	80.00		1	10.00		10
		TOTAL					4	2.63					7	4.61								108	71.05		33	21.71		152
	SIXTH							Excluded					3	75.00								1	25.00		0	0.00		4
		TOTAL											10	6.58								109	71.71		33	21.71		152
	SEVENTH													Excluded								7	70.00		3	30.00		10
		TOTAL																				116	76.32		36	23.68		152
																						Elected						
																												
Casterton                                                      																												
	FIRST			45	2.76		37	2.27		11	0.67		32	1.96		15	0.92		47	2.88		854	52.39		589	36.13		1630
	SECOND			4	36.36		2	18.18			Excluded		3	27.27		1	9.09		0	0.00		1	9.09		0	0.00		11
		TOTAL		49	3.01		39	2.39					35	2.15		16	0.98		47	2.88		855	52.45		589	36.13		1630
	THIRD			4	25.00		2	12.50					0	0.00			Excluded		5	31.25		2	12.50		3	18.75		16
		TOTAL		53	3.25		41	2.52					35	2.15					52	3.19		857	52.58		592	36.32		1630
	FOURTH				Excluded		22	41.51					4	7.55					7	13.21		13	24.53		7	13.21		53
		TOTAL					63	3.87					39	2.39					59	3.62		870	53.37		599	36.75		1630
	FIFTH						17	28.81					8	13.56						Excluded		20	33.90		14	23.73		59
		TOTAL					80	4.91					47	2.88								890	54.60		613	37.61		1630
	SIXTH							Excluded					51	63.75								20	25.00		9	11.25		80
		TOTAL											98	6.01								910	55.83		622	38.16		1630
	SEVENTH													Excluded								49	50.00		49	50.00		98
		TOTAL																				959	58.83		671	41.17		1630
																						Elected						
																												
Cavendish                                                      																												
	FIRST			15	4.52		2	0.60		5	1.51		8	2.41		6	1.81		10	3.01		214	64.46		72	21.69		332
	SECOND			2	40.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	60.00		0	0.00		5
		TOTAL		17	5.12		2	0.60					8	2.41		6	1.81		10	3.01		217	65.36		72	21.69		332
	THIRD			3	50.00		0	0.00					0	0.00			Excluded		0	0.00		2	33.33		1	16.67		6
		TOTAL		20	6.02		2	0.60					8	2.41					10	3.01		219	65.96		73	21.99		332
	FOURTH				Excluded		5	25.00					0	0.00					7	35.00		6	30.00		2	10.00		20
		TOTAL					7	2.11					8	2.41					17	5.12		225	67.77		75	22.59		332
	FIFTH						4	23.53					4	23.53						Excluded		8	47.06		1	5.88		17
		TOTAL					11	3.31					12	3.61								233	70.18		76	22.89		332
	SIXTH							Excluded					7	63.64								2	18.18		2	18.18		11
		TOTAL											19	5.72								235	70.78		78	23.49		332
	SEVENTH													Excluded								10	52.63		9	47.37		19
		TOTAL																				245	73.80		87	26.20		332
																						Elected						
																												
Cobden                                                         																												
	FIRST			20	1.37		29	1.99		11	0.75		37	2.53		17	1.16		39	2.67		966	66.16		341	23.36		1460
	SECOND			4	36.36		2	18.18			Excluded		2	18.18		3	27.27		0	0.00		0	0.00		0	0.00		11
		TOTAL		24	1.64		31	2.12					39	2.67		20	1.37		39	2.67		966	66.16		341	23.36		1460
	THIRD			2	10.00		4	20.00					4	20.00			Excluded		2	10.00		6	30.00		2	10.00		20
		TOTAL		26	1.78		35	2.40					43	2.95					41	2.81		972	66.58		343	23.49		1460
	FOURTH				Excluded		12	46.15					5	19.23					1	3.85		5	19.23		3	11.54		26
		TOTAL					47	3.22					48	3.29					42	2.88		977	66.92		346	23.70		1460
	FIFTH						10	23.81					8	19.05						Excluded		16	38.10		8	19.05		42
		TOTAL					57	3.90					56	3.84								993	68.01		354	24.25		1460
	SIXTH							Excluded					30	52.63								14	24.56		13	22.81		57
		TOTAL											86	5.89								1007	68.97		367	25.14		1460
	SEVENTH													Excluded								53	61.63		33	38.37		86
		TOTAL																				1060	72.60		400	27.40		1460
																						Elected						
																												
Coleraine                                                      																												
	FIRST			28	3.01		18	1.93		4	0.43		19	2.04		11	1.18		23	2.47		453	48.66		375	40.28		931
	SECOND			3	75.00		0	0.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		31	3.33		18	1.93					20	2.15		11	1.18		23	2.47		453	48.66		375	40.28		931
	THIRD			4	36.36		2	18.18					1	9.09			Excluded		3	27.27		1	9.09		0	0.00		11
		TOTAL		35	3.76		20	2.15					21	2.26					26	2.79		454	48.76		375	40.28		931
	FOURTH				Excluded		11	31.43					5	14.29					8	22.86		7	20.00		4	11.43		35
		TOTAL					31	3.33					26	2.79					34	3.65		461	49.52		379	40.71		931
	FIFTH						7	20.59					10	29.41						Excluded		9	26.47		8	23.53		34
		TOTAL					38	4.08					36	3.87								470	50.48		387	41.57		931
	SIXTH							Excluded					30	78.95								1	2.63		7	18.42		38
		TOTAL											66	7.09								471	50.59		394	42.32		931
	SEVENTH													Excluded								41	62.12		25	37.88		66
		TOTAL																				512	54.99		419	45.01		931
																						Elected						
																												
Condah                                                         																												
	FIRST			8	4.97		0	0.00		1	0.62		2	1.24		2	1.24		6	3.73		101	62.73		41	25.47		161
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		8	4.97		1	0.62					2	1.24		2	1.24		6	3.73		101	62.73		41	25.47		161
	THIRD			2	100.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		10	6.21		1	0.62					2	1.24					6	3.73		101	62.73		41	25.47		161
	FOURTH				Excluded		2	20.00					0	0.00					3	30.00		4	40.00		1	10.00		10
		TOTAL					3	1.86					2	1.24					9	5.59		105	65.22		42	26.09		161
	FIFTH						2	22.22					2	22.22						Excluded		3	33.33		2	22.22		9
		TOTAL					5	3.11					4	2.48								108	67.08		44	27.33		161
	SIXTH							Excluded					2	40.00								2	40.00		1	20.00		5
		TOTAL											6	3.73								110	68.32		45	27.95		161
	SEVENTH													Excluded								2	33.33		4	66.67		6
		TOTAL																				112	69.57		49	30.43		161
																						Elected						
																												
Dartmoor                                                       																												
	FIRST			7	2.09		7	2.09		0	0.00		6	1.79		3	0.90		26	7.76		167	49.85		119	35.52		335
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	2.09		7	2.09					6	1.79		3	0.90		26	7.76		167	49.85		119	35.52		335
	THIRD			0	0.00		0	0.00					1	33.33			Excluded		2	66.67		0	0.00		0	0.00		3
		TOTAL		7	2.09		7	2.09					7	2.09					28	8.36		167	49.85		119	35.52		335
	FOURTH				Excluded		5	71.43					1	14.29					1	14.29		0	0.00		0	0.00		7
		TOTAL					12	3.58					8	2.39					29	8.66		167	49.85		119	35.52		335
	FIFTH						9	31.03					7	24.14						Excluded		8	27.59		5	17.24		29
		TOTAL					21	6.27					15	4.48								175	52.24		124	37.01		335
	SIXTH							Excluded					10	47.62								9	42.86		2	9.52		21
		TOTAL											25	7.46								184	54.93		126	37.61		335
	SEVENTH													Excluded								12	48.00		13	52.00		25
		TOTAL																				196	58.51		139	41.49		335
																						Elected						
																												
Dergholm                                                       																												
	FIRST			2	2.00		3	3.00		0	0.00		0	0.00		0	0.00		6	6.00		73	73.00		16	16.00		100
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	2.00		3	3.00					0	0.00		0	0.00		6	6.00		73	73.00		16	16.00		100
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	2.00		3	3.00					0	0.00					6	6.00		73	73.00		16	16.00		100
	FOURTH				Excluded		1	50.00					0	0.00					0	0.00		1	50.00		0	0.00		2
		TOTAL					4	4.00					0	0.00					6	6.00		74	74.00		16	16.00		100
	FIFTH						3	50.00					1	16.67						Excluded		0	0.00		2	33.33		6
		TOTAL					7	7.00					1	1.00								74	74.00		18	18.00		100
	SIXTH							Excluded					4	57.14								0	0.00		3	42.86		7
		TOTAL											5	5.00								74	74.00		21	21.00		100
	SEVENTH													Excluded								5	100.00		0	0.00		5
		TOTAL																				79	79.00		21	21.00		100
																						Elected						
																												
Derrinallum                                                    																												
	FIRST			6	1.47		6	1.47		2	0.49		12	2.93		6	1.47		16	3.91		256	62.59		105	25.67		409
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		2
		TOTAL		6	1.47		6	1.47					12	2.93		6	1.47		17	4.16		256	62.59		106	25.92		409
	THIRD			1	16.67		0	0.00					0	0.00			Excluded		3	50.00		1	16.67		1	16.67		6
		TOTAL		7	1.71		6	1.47					12	2.93					20	4.89		257	62.84		107	26.16		409
	FOURTH				Excluded		3	42.86					1	14.29					0	0.00		1	14.29		2	28.57		7
		TOTAL					9	2.20					13	3.18					20	4.89		258	63.08		109	26.65		409
	FIFTH						1	5.00					4	20.00						Excluded		12	60.00		3	15.00		20
		TOTAL					10	2.44					17	4.16								270	66.01		112	27.38		409
	SIXTH							Excluded					7	70.00								2	20.00		1	10.00		10
		TOTAL											24	5.87								272	66.50		113	27.63		409
	SEVENTH													Excluded								16	66.67		8	33.33		24
		TOTAL																				288	70.42		121	29.58		409
																						Elected						
																												
Dunkeld                                                        																												
	FIRST			25	5.31		19	4.03		4	0.85		19	4.03		2	0.42		14	2.97		273	57.96		115	24.42		471
	SECOND			2	50.00		0	0.00			Excluded		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		27	5.73		19	4.03					20	4.25		2	0.42		14	2.97		274	58.17		115	24.42		471
	THIRD			0	0.00		0	0.00					1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		27	5.73		19	4.03					21	4.46					15	3.18		274	58.17		115	24.42		471
	FOURTH				Excluded		3	11.11					3	11.11					7	25.93		9	33.33		5	18.52		27
		TOTAL					22	4.67					24	5.10					22	4.67		283	60.08		120	25.48		471
	FIFTH						2	9.09					1	4.55						Excluded		13	59.09		6	27.27		22
		TOTAL					24	5.10					25	5.31								296	62.85		126	26.75		471
	SIXTH							Excluded					11	45.83								4	16.67		9	37.50		24
		TOTAL											36	7.64								300	63.69		135	28.66		471
	SEVENTH													Excluded								9	25.00		27	75.00		36
		TOTAL																				309	65.61		162	34.39		471
																						Elected						
																												
Ecklin South                                                   																												
	FIRST			5	2.08		2	0.83		3	1.25		3	1.25		2	0.83		9	3.75		198	82.50		18	7.50		240
	SECOND			0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		3
		TOTAL		5	2.08		3	1.25					3	1.25		2	0.83		9	3.75		200	83.33		18	7.50		240
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		2	100.00		0	0.00		2
		TOTAL		5	2.08		3	1.25					3	1.25					9	3.75		202	84.17		18	7.50		240
	FOURTH				Excluded		2	40.00					1	20.00					0	0.00		2	40.00		0	0.00		5
		TOTAL					5	2.08					4	1.67					9	3.75		204	85.00		18	7.50		240
	FIFTH						0	0.00					0	0.00						Excluded		5	55.56		4	44.44		9
		TOTAL					5	2.08					4	1.67								209	87.08		22	9.17		240
	SIXTH							Excluded					3	60.00								1	20.00		1	20.00		5
		TOTAL											7	2.92								210	87.50		23	9.58		240
	SEVENTH													Excluded								3	42.86		4	57.14		7
		TOTAL																				213	88.75		27	11.25		240
																						Elected						
																												
Elmhurst                                                       																												
	FIRST			7	5.51		1	0.79		1	0.79		2	1.57		1	0.79		4	3.15		71	55.91		40	31.50		127
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	5.51		2	1.57					2	1.57		1	0.79		4	3.15		71	55.91		40	31.50		127
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		7	5.51		2	1.57					2	1.57					4	3.15		72	56.69		40	31.50		127
	FOURTH				Excluded		2	28.57					4	57.14					0	0.00		1	14.29		0	0.00		7
		TOTAL					4	3.15					6	4.72					4	3.15		73	57.48		40	31.50		127
	FIFTH						2	50.00					0	0.00						Excluded		0	0.00		2	50.00		4
		TOTAL					6	4.72					6	4.72								73	57.48		42	33.07		127
	SIXTH							Excluded					4	66.67								2	33.33		0	0.00		6
		TOTAL											10	7.87								75	59.06		42	33.07		127
	SEVENTH													Excluded								7	70.00		3	30.00		10
		TOTAL																				82	64.57		45	35.43		127
																						Elected						
																												
Glenthompson                                                   																												
	FIRST			8	3.62		3	1.36		1	0.45		6	2.71		3	1.36		6	2.71		121	54.75		73	33.03		221
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		8	3.62		3	1.36					6	2.71		3	1.36		6	2.71		122	55.20		73	33.03		221
	THIRD			3	100.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		11	4.98		3	1.36					6	2.71					6	2.71		122	55.20		73	33.03		221
	FOURTH				Excluded		4	36.36					0	0.00					3	27.27		2	18.18		2	18.18		11
		TOTAL					7	3.17					6	2.71					9	4.07		124	56.11		75	33.94		221
	FIFTH						3	33.33					1	11.11						Excluded		4	44.44		1	11.11		9
		TOTAL					10	4.52					7	3.17								128	57.92		76	34.39		221
	SIXTH							Excluded					6	60.00								3	30.00		1	10.00		10
		TOTAL											13	5.88								131	59.28		77	34.84		221
	SEVENTH													Excluded								7	53.85		6	46.15		13
		TOTAL																				138	62.44		83	37.56		221
																						Elected						
																												
Hamilton                                                       																												
	FIRST			146	4.56		92	2.87		29	0.90		86	2.68		45	1.40		77	2.40		1569	48.95		1161	36.22		3205
