House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Scullin																				
				MAWHINNEY			CAMPBELL			KOSTADINOSKI			GRAY			JENKINS				
	FOURTH				Excluded					161	39.17					250	60.83		411	
		TOTAL								1327	31.11					2938	68.89		4265	
																Elected				
																				
Thomastown                                                     																				
	FIRST			63	6.34		9	0.91		175	17.62		13	1.31		733	73.82		993	
	SECOND			7	77.78			Excluded		1	11.11		1	11.11		0	0.00		9	
		TOTAL		70	7.05					176	17.72		14	1.41		733	73.82		993	
	THIRD			5	35.71					1	7.14			Excluded		8	57.14		14	
		TOTAL		75	7.55					177	17.82					741	74.62		993	
	FOURTH				Excluded					27	36.00					48	64.00		75	
		TOTAL								204	20.54					789	79.46		993	
																Elected				
																				
Thomastown East                                                																				
	FIRST			121	5.48		14	0.63		348	15.76		44	1.99		1681	76.13		2208	
	SECOND			3	21.43			Excluded		5	35.71		2	14.29		4	28.57		14	
		TOTAL		124	5.62					353	15.99		46	2.08		1685	76.31		2208	
	THIRD			25	54.35					6	13.04			Excluded		15	32.61		46	
		TOTAL		149	6.75					359	16.26					1700	76.99		2208	
	FOURTH				Excluded					61	40.94					88	59.06		149	
		TOTAL								420	19.02					1788	80.98		2208	
																Elected				
																				
Thomastown Meadows                                             																				
	FIRST			106	4.51		9	0.38		302	12.85		39	1.66		1894	80.60		2350	
	SECOND			6	66.67			Excluded		1	11.11		1	11.11		1	11.11		9	
		TOTAL		112	4.77					303	12.89		40	1.70		1895	80.64		2350	
	THIRD			17	42.50					8	20.00			Excluded		15	37.50		40	
		TOTAL		129	5.49					311	13.23					1910	81.28		2350	
	FOURTH				Excluded					44	34.11					85	65.89		129	
		TOTAL								355	15.11					1995	84.89		2350	
																Elected				
																				
Thomastown West                                                																				
	FIRST			255	5.23		33	0.68		681	13.95		120	2.46		3791	77.68		4880	
	SECOND			11	33.33			Excluded		11	33.33		9	27.27		2	6.06		33	
		TOTAL		266	5.45					692	14.18		129	2.64		3793	77.73		4880	
	THIRD			70	54.26					16	12.40			Excluded		43	33.33		129	
		TOTAL		336	6.89					708	14.51					3836	78.61		4880	
	FOURTH				Excluded					154	45.83					182	54.17		336	
		TOTAL								862	17.66					4018	82.34		4880	
																Elected				
																				
Watsonia North                                                 																				
	FIRST			302	8.58		14	0.40		1258	35.76		151	4.29		1793	50.97		3518	
	SECOND			4	28.57			Excluded		6	42.86		1	7.14		3	21.43		14	
		TOTAL		306	8.70					1264	35.93		152	4.32		1796	51.05		3518	
	THIRD			93	61.18					13	8.55			Excluded		46	30.26		152	
		TOTAL		399	11.34					1277	36.30					1842	52.36		3518	
	FOURTH				Excluded					113	28.32					286	71.68		399	
		TOTAL								1390	39.51					2128	60.49		3518	
																Elected				
																				
Special Hospital Team 1                                        																				
	FIRST			2	1.39		1	0.69		58	40.28		1	0.69		82	56.94		144	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	2.08					58	40.28		1	0.69		82	56.94		144	
	THIRD			0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		3	2.08					58	40.28					83	57.64		144	
	FOURTH				Excluded					3	100.00					0	0.00		3	
		TOTAL								61	42.36					83	57.64		144	
																Elected				
																				
Special Hospital Team 2                                        																				
	FIRST			0	0.00		0	0.00		2	40.00		1	20.00		2	40.00		5	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00					2	40.00		1	20.00		2	40.00		5	
	THIRD			0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		0	0.00					2	40.00					3	60.00		5	
	FOURTH				Excluded					0	0.00					0	0.00		0	
		TOTAL								2	40.00					3	60.00		5	
																Elected				
																				
ABSENT																				
	FIRST			417	8.96		89	1.91		1431	30.75		307	6.60		2410	51.78		4654	
	SECOND			50	56.18			Excluded		12	13.48		20	22.47		7	7.87		89	
		TOTAL		467	10.03					1443	31.01		327	7.03		2417	51.93		4654	
	THIRD			147	44.95					61	18.65			Excluded		119	36.39		327	
		TOTAL		614	13.19					1504	32.32					2536	54.49		4654	
	FOURTH				Excluded					292	47.56					322	52.44		614	
		TOTAL								1796	38.59					2858	61.41		4654	
																Elected				
																				
POSTAL																				
	FIRST			148	6.35		14	0.60		723	31.00		61	2.62		1386	59.43		2332	
	SECOND			5	35.71			Excluded		6	42.86		2	14.29		1	7.14		14	
		TOTAL		153	6.56					729	31.26		63	2.70		1387	59.48		2332	
	THIRD			37	58.73					9	14.29			Excluded		17	26.98		63	
		TOTAL		190	8.15					738	31.65					1404	60.21		2332	
	FOURTH				Excluded					75	39.47					115	60.53		190	
		TOTAL								813	34.86					1519	65.14		2332	
																Elected				
																				
PRE POLL																				
	FIRST			152	7.58		27	1.35		657	32.75		86	4.29		1084	54.04		2006	
	SECOND			10	37.04			Excluded		7	25.93		6	22.22		4	14.81		27	
		TOTAL		162	8.08					664	33.10		92	4.59		1088	54.24		2006	
	THIRD			43	46.74					16	17.39			Excluded		33	35.87		92	
		TOTAL		205	10.22					680	33.90					1121	55.88		2006	
	FOURTH				Excluded					99	48.29					106	51.71		205	
		TOTAL								779	38.83					1227	61.17		2006	
																Elected				
																				
PROVISIONAL																				
	FIRST			30	6.56		5	1.09		96	21.01		12	2.63		314	68.71		457	
	SECOND			2	40.00			Excluded		1	20.00		0	0.00		2	40.00		5	
		TOTAL		32	7.00					97	21.23		12	2.63		316	69.15		457	
	THIRD			7	58.33					4	33.33			Excluded		1	8.33		12	
		TOTAL		39	8.53					101	22.10					317	69.37		457	
	FOURTH				Excluded					25	64.10					14	35.90		39	
		TOTAL								126	27.57					331	72.43		457	
																Elected				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
