House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Maranoa																							
				WILSON			BOWDEN			ROLLS			MCNICHOL			SCOTT			NEMETH				
		TOTAL					11	17.46								52	82.54					63	
																Elected							
																							
Bell                                                           																							
	FIRST			11	3.14		44	12.57		0	0.00		85	24.29		204	58.29		6	1.71		350	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	3.14		44	12.57					85	24.29		204	58.29		6	1.71		350	
	THIRD			4	66.67		2	33.33					0	0.00		0	0.00			Excluded		6	
		TOTAL		15	4.29		46	13.14					85	24.29		204	58.29					350	
	FOURTH				Excluded		10	66.67					0	0.00		5	33.33					15	
		TOTAL					56	16.00					85	24.29		209	59.71					350	
	FIFTH						39	45.88						Excluded		46	54.12					85	
		TOTAL					95	27.14								255	72.86					350	
																Elected							
																							
Birdsville                                                     																							
	FIRST			2	4.00		13	26.00		0	0.00		1	2.00		30	60.00		4	8.00		50	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	4.00		13	26.00					1	2.00		30	60.00		4	8.00		50	
	THIRD			4	100.00		0	0.00					0	0.00		0	0.00			Excluded		4	
		TOTAL		6	12.00		13	26.00					1	2.00		30	60.00					50	
	FOURTH				Excluded		4	66.67					0	0.00		2	33.33					6	
		TOTAL					17	34.00					1	2.00		32	64.00					50	
	FIFTH						0	0.00						Excluded		1	100.00					1	
		TOTAL					17	34.00								33	66.00					50	
																Elected							
																							
Blackall                                                       																							
	FIRST			29	3.60		315	39.08		1	0.12		100	12.41		353	43.80		8	0.99		806	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		29	3.60		315	39.08					101	12.53		353	43.80		8	0.99		806	
	THIRD			1	12.50		4	50.00					2	25.00		1	12.50			Excluded		8	
		TOTAL		30	3.72		319	39.58					103	12.78		354	43.92					806	
	FOURTH				Excluded		17	56.67					3	10.00		10	33.33					30	
		TOTAL					336	41.69					106	13.15		364	45.16					806	
	FIFTH						58	54.72						Excluded		48	45.28					106	
		TOTAL					394	48.88								412	51.12					806	
																Elected							
																							
Blackwater                                                     																							
	FIRST			35	3.10		643	56.95		3	0.27		134	11.87		305	27.02		9	0.80		1129	
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		36	3.19		643	56.95					135	11.96		306	27.10		9	0.80		1129	
	THIRD			2	22.22		2	22.22					2	22.22		3	33.33			Excluded		9	
		TOTAL		38	3.37		645	57.13					137	12.13		309	27.37					1129	
	FOURTH				Excluded		18	47.37					9	23.68		11	28.95					38	
		TOTAL					663	58.72					146	12.93		320	28.34					1129	
	FIFTH						81	55.48						Excluded		65	44.52					146	
		TOTAL					744	65.90								385	34.10					1129	
																Elected							
																							
Blackwater North                                               																							
	FIRST			21	2.93		448	62.57		16	2.23		70	9.78		152	21.23		9	1.26		716	
	SECOND			3	18.75		6	37.50			Excluded		3	18.75		4	25.00		0	0.00		16	
		TOTAL		24	3.35		454	63.41					73	10.20		156	21.79		9	1.26		716	
	THIRD			3	33.33		2	22.22					2	22.22		2	22.22			Excluded		9	
		TOTAL		27	3.77		456	63.69					75	10.47		158	22.07					716	
	FOURTH				Excluded		13	48.15					4	14.81		10	37.04					27	
		TOTAL					469	65.50					79	11.03		168	23.46					716	
	FIFTH						37	46.84						Excluded		42	53.16					79	
		TOTAL					506	70.67								210	29.33					716	
																Elected							
																							
Bluff                                                          																							
	FIRST			7	3.70		98	51.85		5	2.65		18	9.52		59	31.22		2	1.06		189	
	SECOND			1	20.00		0	0.00			Excluded		3	60.00		1	20.00		0	0.00		5	
		TOTAL		8	4.23		98	51.85					21	11.11		60	31.75		2	1.06		189	
	THIRD			1	50.00		1	50.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		9	4.76		99	52.38					21	11.11		60	31.75					189	
	FOURTH				Excluded		6	66.67					2	22.22		1	11.11					9	
		TOTAL					105	55.56					23	12.17		61	32.28					189	
	FIFTH						10	43.48						Excluded		13	56.52					23	
		TOTAL					115	60.85								74	39.15					189	
																Elected							
																							
Bollon                                                         																							
	FIRST			3	2.01		56	37.58		0	0.00		15	10.07		73	48.99		2	1.34		149	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.01		56	37.58					15	10.07		73	48.99		2	1.34		149	
	THIRD			1	50.00		1	50.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		4	2.68		57	38.26					15	10.07		73	48.99					149	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					60	40.27					15	10.07		74	49.66					149	
	FIFTH						5	33.33						Excluded		10	66.67					15	
		TOTAL					65	43.62								84	56.38					149	
																Elected							
																							
Brigalow                                                       																							
	FIRST			5	3.01		6	3.61		3	1.81		27	16.27		122	73.49		3	1.81		166	
	SECOND			0	0.00		0	0.00			Excluded		1	33.33		2	66.67		0	0.00		3	
		TOTAL		5	3.01		6	3.61					28	16.87		124	74.70		3	1.81		166	
	THIRD			3	100.00		0	0.00					0	0.00		0	0.00			Excluded		3	
		TOTAL		8	4.82		6	3.61					28	16.87		124	74.70					166	
	FOURTH				Excluded		4	50.00					1	12.50		3	37.50					8	
		TOTAL					10	6.02					29	17.47		127	76.51					166	
	FIFTH						9	31.03						Excluded		20	68.97					29	
		TOTAL					19	11.45								147	88.55					166	
																Elected							
																							
Bringalily South                                               																							
	FIRST			0	0.00		2	2.78		0	0.00		9	12.50		61	84.72		0	0.00		72	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		2	2.78					9	12.50		61	84.72		0	0.00		72	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		2	2.78					9	12.50		61	84.72					72	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					2	2.78					9	12.50		61	84.72					72	
	FIFTH						2	22.22						Excluded		7	77.78					9	
		TOTAL					4	5.56								68	94.44					72	
																Elected							
																							
Brisbane City (Maranoa)                                        																							
	FIRST			6	5.13		15	12.82		2	1.71		6	5.13		79	67.52		9	7.69		117	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		7	5.98		15	12.82					7	5.98		79	67.52		9	7.69		117	
	THIRD			4	44.44		3	33.33					1	11.11		1	11.11			Excluded		9	
		TOTAL		11	9.40		18	15.38					8	6.84		80	68.38					117	
	FOURTH				Excluded		9	81.82					0	0.00		2	18.18					11	
		TOTAL					27	23.08					8	6.84		82	70.09					117	
	FIFTH						3	37.50						Excluded		5	62.50					8	
		TOTAL					30	25.64								87	74.36					117	
																Elected							
																							
Broadwater Crossing                                            																							
	FIRST			17	5.07		44	13.13		2	0.60		99	29.55		163	48.66		10	2.99		335	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		17	5.07		46	13.73					99	29.55		163	48.66		10	2.99		335	
	THIRD			4	40.00		3	30.00					1	10.00		2	20.00			Excluded		10	
		TOTAL		21	6.27		49	14.63					100	29.85		165	49.25					335	
	FOURTH				Excluded		13	61.90					4	19.05		4	19.05					21	
		TOTAL					62	18.51					104	31.04		169	50.45					335	
	FIFTH						56	53.85						Excluded		48	46.15					104	
		TOTAL					118	35.22								217	64.78					335	
																Elected							
																							
Bungunya                                                       																							
	FIRST			3	5.26		3	5.26		0	0.00		23	40.35		27	47.37		1	1.75		57	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	5.26		3	5.26					23	40.35		27	47.37		1	1.75		57	
	THIRD			0	0.00		1	100.00					0	0.00		0	0.00			Excluded		1	
		TOTAL		3	5.26		4	7.02					23	40.35		27	47.37					57	
	FOURTH				Excluded		3	100.00					0	0.00		0	0.00					3	
		TOTAL					7	12.28					23	40.35		27	47.37					57	
	FIFTH						12	52.17						Excluded		11	47.83					23	
		TOTAL					19	33.33								38	66.67					57	
																Elected							
																							
Burra Burri                                                    																							
	FIRST			3	4.69		3	4.69		1	1.56		10	15.63		47	73.44		0	0.00		64	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	4.69		3	4.69					10	15.63		47	73.44		1	1.56		64	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		3	4.69		3	4.69					11	17.19		47	73.44					64	
	FOURTH				Excluded		1	33.33					0	0.00		2	66.67					3	
		TOTAL					4	6.25					11	17.19		49	76.56					64	
	FIFTH						4	36.36						Excluded		7	63.64					11	
		TOTAL					8	12.50								56	87.50					64	
																Elected							
																							
Canaga                                                         																							
	FIRST			0	0.00		1	2.63		0	0.00		1	2.63		36	94.74		0	0.00		38	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	2.63					1	2.63		36	94.74		0	0.00		38	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		1	2.63					1	2.63		36	94.74					38	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					1	2.63					1	2.63		36	94.74					38	
	FIFTH						0	0.00						Excluded		1	100.00					1	
		TOTAL					1	2.63								37	97.37					38	
																Elected							
																							
Cecil Plains                                                   																							
	FIRST			7	2.89		36	14.88		3	1.24		41	16.94		152	62.81		3	1.24		242	
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		2	66.67		0	0.00		3	
		TOTAL		8	3.31		36	14.88					41	16.94		154	63.64		3	1.24		242	
	THIRD			0	0.00		1	33.33					2	66.67		0	0.00			Excluded		3	
		TOTAL		8	3.31		37	15.29					43	17.77		154	63.64					242	
	FOURTH				Excluded		5	62.50					1	12.50		2	25.00					8	
		TOTAL					42	17.36					44	18.18		156	64.46					242	
	FIFTH						15	34.09						Excluded		29	65.91					44	
		TOTAL					57	23.55								185	76.45					242	
																Elected							
																							
Charleville                                                    																							
	FIRST			59	3.90		587	38.80		6	0.40		179	11.83		654	43.23		28	1.85		1513	
	SECOND			0	0.00		3	50.00			Excluded		0	0.00		2	33.33		1	16.67		6	
		TOTAL		59	3.90		590	39.00					179	11.83		656	43.36		29	1.92		1513	
	THIRD			10	34.48		7	24.14					0	0.00		12	41.38			Excluded		29	
		TOTAL		69	4.56		597	39.46					179	11.83		668	44.15					1513	
	FOURTH				Excluded		48	69.57					8	11.59		13	18.84					69	
		TOTAL					645	42.63					187	12.36		681	45.01					1513	
	FIFTH						91	48.66						Excluded		96	51.34					187	
		TOTAL					736	48.65								777	51.35					1513	
																Elected							
																							
Charleville Hospital                                           																							
	FIRST			6	1.80		131	39.34		2	0.60		29	8.71		160	48.05		5	1.50		333	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		6	1.80		133	39.94					29	8.71		160	48.05		5	1.50		333	
	THIRD			0	0.00		2	40.00					2	40.00		1	20.00			Excluded		5	
		TOTAL		6	1.80		135	40.54					31	9.31		161	48.35					333	
	FOURTH				Excluded		4	66.67					1	16.67		1	16.67					6	
		TOTAL					139	41.74					32	9.61		162	48.65					333	
	FIFTH						11	34.38						Excluded		21	65.63					32	
		TOTAL					150	45.05								183	54.95					333	
																Elected							
																							
Chinchilla                                                     																							
	FIRST			72	3.87		389	20.90		13	0.70		289	15.53		1059	56.90		39	2.10		1861	
	SECOND			4	30.77		1	7.69			Excluded		4	30.77		4	30.77		0	0.00		13	
		TOTAL		76	4.08		390	20.96					293	15.74		1063	57.12		39	2.10		1861	
	THIRD			10	25.64		6	15.38					10	25.64		13	33.33			Excluded		39	
		TOTAL		86	4.62		396	21.28					303	16.28		1076	57.82					1861	
	FOURTH				Excluded		43	50.00					13	15.12		30	34.88					86	
		TOTAL					439	23.59					316	16.98		1106	59.43					1861	
	FIFTH						159	50.32						Excluded		157	49.68					316	
		TOTAL					598	32.13								1263	67.87					1861	
																Elected							
																							
Chinchilla Hospital                                            																							
	FIRST			14	2.15		117	18.00		2	0.31		116	17.85		392	60.31		9	1.38		650	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		15	2.31		117	18.00					117	18.00		392	60.31		9	1.38		650	
	THIRD			2	22.22		0	0.00					4	44.44		3	33.33			Excluded		9	
		TOTAL		17	2.62		117	18.00					121	18.62		395	60.77					650	
	FOURTH				Excluded		10	58.82					4	23.53		3	17.65					17	
		TOTAL					127	19.54					125	19.23		398	61.23					650	
	FIFTH						62	49.60						Excluded		63	50.40					125	
		TOTAL					189	29.08								461	70.92					650	
																Elected							
																							
Comet                                                          																							
	FIRST			2	2.44		18	21.95		0	0.00		10	12.20		52	63.41		0	0.00		82	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.44		18	21.95					10	12.20		52	63.41		0	0.00		82	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		2	2.44		18	21.95					10	12.20		52	63.41					82	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					19	23.17					10	12.20		53	64.63					82	
	FIFTH						4	40.00						Excluded		6	60.00					10	
		TOTAL					23	28.05								59	71.95					82	
																Elected							
																							
Condamine                                                      																							
	FIRST			4	2.21		20	11.05		4	2.21		32	17.68		120	66.30		1	0.55		181	
	SECOND			0	0.00		1	25.00			Excluded		1	25.00		1	25.00		1	25.00		4	
		TOTAL		4	2.21		21	11.60					33	18.23		121	66.85		2	1.10		181	
	THIRD			0	0.00		0	0.00					1	50.00		1	50.00			Excluded		2	
		TOTAL		4	2.21		21	11.60					34	18.78		122	67.40					181	
	FOURTH				Excluded		1	25.00					0	0.00		3	75.00					4	
		TOTAL					22	12.15					34	18.78		125	69.06					181	
	FIFTH						21	61.76						Excluded		13	38.24					34	
		TOTAL					43	23.76								138	76.24					181	
																Elected							
																							
Cooranga North                                                 																							
	FIRST			0	0.00		9	12.68		0	0.00		24	33.80		38	53.52		0	0.00		71	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		9	12.68					24	33.80		38	53.52		0	0.00		71	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		9	12.68					24	33.80		38	53.52					71	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					9	12.68					24	33.80		38	53.52					71	
	FIFTH						7	29.17						Excluded		17	70.83					24	
		TOTAL					16	22.54								55	77.46					71	
																Elected							
																							
Cottonvale                                                     																							
	FIRST			8	3.14		30	11.76		3	1.18		79	30.98		131	51.37		4	1.57		255	
	SECOND			3	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		11	4.31		30	11.76					79	30.98		131	51.37		4	1.57		255	
	THIRD			1	25.00		0	0.00					2	50.00		1	25.00			Excluded		4	
		TOTAL		12	4.71		30	11.76					81	31.76		132	51.76					255	
	FOURTH				Excluded		9	75.00					2	16.67		1	8.33					12	
		TOTAL					39	15.29					83	32.55		133	52.16					255	
	FIFTH						54	65.06						Excluded		29	34.94					83	
		TOTAL					93	36.47								162	63.53					255	
																Elected							
																							
Cunnamulla                                                     																							
	FIRST			15	2.09		356	49.51		5	0.70		65	9.04		274	38.11		4	0.56		719	
	SECOND			2	40.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00		5	
		TOTAL		17	2.36		358	49.79					65	9.04		275	38.25		4	0.56		719	
	THIRD			0	0.00		2	50.00					1	25.00		1	25.00			Excluded		4	
		TOTAL		17	2.36		360	50.07					66	9.18		276	38.39					719	
	FOURTH				Excluded		11	64.71					0	0.00		6	35.29					17	
		TOTAL					371	51.60					66	9.18		282	39.22					719	
	FIFTH						32	48.48						Excluded		34	51.52					66	
		TOTAL					403	56.05								316	43.95					719	
																Elected							
																							
Dalby                                                          																							
	FIRST			89	4.25		455	21.71		22	1.05		320	15.27		1151	54.91		59	2.81		2096	
	SECOND			7	31.82		3	13.64			Excluded		8	36.36		2	9.09		2	9.09		22	
		TOTAL		96	4.58		458	21.85					328	15.65		1153	55.01		61	2.91		2096	
	THIRD			17	27.87		12	19.67					13	21.31		19	31.15			Excluded		61	
		TOTAL		113	5.39		470	22.42					341	16.27		1172	55.92					2096	
	FOURTH				Excluded		57	50.44					17	15.04		39	34.51					113	
		TOTAL					527	25.14					358	17.08		1211	57.78					2096	
	FIFTH						189	52.79						Excluded		169	47.21					358	
		TOTAL					716	34.16								1380	65.84					2096	
																Elected							
																							
Dalby North                                                    																							
	FIRST			40	3.85		211	20.31		10	0.96		108	10.39		645	62.08		25	2.41		1039	
	SECOND			2	20.00		1	10.00			Excluded		5	50.00		2	20.00		0	0.00		10	
		TOTAL		42	4.04		212	20.40					113	10.88		647	62.27		25	2.41		1039	
	THIRD			10	40.00		1	4.00					6	24.00		8	32.00			Excluded		25	
		TOTAL		52	5.00		213	20.50					119	11.45		655	63.04					1039	
	FOURTH				Excluded		19	36.54					9	17.31		24	46.15					52	
		TOTAL					232	22.33					128	12.32		679	65.35					1039	
	FIFTH						53	41.41						Excluded		75	58.59					128	
		TOTAL					285	27.43								754	72.57					1039	
																Elected							
																							
Dalby South                                                    																							
	FIRST			65	5.08		276	21.56		12	0.94		204	15.94		696	54.38		27	2.11		1280	
	SECOND			2	16.67		3	25.00			Excluded		2	16.67		3	25.00		2	16.67		12	
		TOTAL		67	5.23		279	21.80					206	16.09		699	54.61		29	2.27		1280	
	THIRD			13	44.83		9	31.03					0	0.00		7	24.14			Excluded		29	
		TOTAL		80	6.25		288	22.50					206	16.09		706	55.16					1280	
	FOURTH				Excluded		30	37.50					18	22.50		32	40.00					80	
		TOTAL					318	24.84					224	17.50		738	57.66					1280	
	FIFTH						105	46.88						Excluded		119	53.13					224	
		TOTAL					423	33.05								857	66.95					1280	
																Elected							
																							
Dalby West                                                     																							
	FIRST			38	3.28		178	15.37		15	1.30		191	16.49		708	61.14		28	2.42		1158	
	SECOND			5	33.33		1	6.67			Excluded		5	33.33		4	26.67		0	0.00		15	
		TOTAL		43	3.71		179	15.46					196	16.93		712	61.49		28	2.42		1158	
	THIRD			10	35.71		4	14.29					5	17.86		9	32.14			Excluded		28	
		TOTAL		53	4.58		183	15.80					201	17.36		721	62.26					1158	
	FOURTH				Excluded		26	49.06					5	9.43		22	41.51					53	
		TOTAL					209	18.05					206	17.79		743	64.16					1158	
	FIFTH						96	46.60						Excluded		110	53.40					206	
		TOTAL					305	26.34								853	73.66					1158	
																Elected							
																							
Dalveen                                                        																							
	FIRST			13	11.21		13	11.21		1	0.86		24	20.69		62	53.45		3	2.59		116	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		13	11.21		13	11.21					25	21.55		62	53.45		3	2.59		116	
	THIRD			0	0.00		1	33.33					1	33.33		1	33.33			Excluded		3	
		TOTAL		13	11.21		14	12.07					26	22.41		63	54.31					116	
	FOURTH				Excluded		7	53.85					2	15.38		4	30.77					13	
		TOTAL					21	18.10					28	24.14		67	57.76					116	
	FIFTH						19	67.86						Excluded		9	32.14					28	
		TOTAL					40	34.48								76	65.52					116	
																Elected							
																							
Dingo                                                          																							
	FIRST			0	0.00		39	27.46		0	0.00		19	13.38		84	59.15		0	0.00		142	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		39	27.46					19	13.38		84	59.15		0	0.00		142	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		39	27.46					19	13.38		84	59.15					142	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					39	27.46					19	13.38		84	59.15					142	
	FIFTH						8	42.11						Excluded		11	57.89					19	
		TOTAL					47	33.10								95	66.90					142	
																Elected							
																							
Dirranbandi                                                    																							
	FIRST			8	2.40		134	40.12		0	0.00		24	7.19		167	50.00		1	0.30		334	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	2.40		134	40.12					24	7.19		167	50.00		1	0.30		334	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		8	2.40		134	40.12					24	7.19		168	50.30					334	
	FOURTH				Excluded		4	50.00					0	0.00		4	50.00					8	
		TOTAL					138	41.32					24	7.19		172	51.50					334	
	FIFTH						6	25.00						Excluded		18	75.00					24	
		TOTAL					144	43.11								190	56.89					334	
																Elected							
																							
Drillham                                                       																							
	FIRST			4	3.64		9	8.18		2	1.82		15	13.64		80	72.73		0	0.00		110	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		4	3.64		10	9.09					16	14.55		80	72.73		0	0.00		110	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		4	3.64		10	9.09					16	14.55		80	72.73					110	
	FOURTH				Excluded		2	50.00					2	50.00		0	0.00					4	
		TOTAL					12	10.91					18	16.36		80	72.73					110	
	FIFTH						7	38.89						Excluded		11	61.11					18	
		TOTAL					19	17.27								91	82.73					110	
																Elected							
																							
Duaringa                                                       																							
