House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Holt																							
				MORGAN			WOOD			PATRINOS			FORD			BYRNE			DICKSON				
	SECOND			3	10.71		7	25.00		14	50.00			Excluded		2	7.14		2	7.14		28	
		TOTAL		215	6.63		1091	33.64		104	3.21					1770	54.58		63	1.94		3243	
	THIRD			14	22.22		28	44.44		4	6.35					17	26.98			Excluded		63	
		TOTAL		229	7.06		1119	34.51		108	3.33					1787	55.10					3243	
	FOURTH			50	46.30		18	16.67			Excluded					40	37.04					108	
		TOTAL		279	8.60		1137	35.06								1827	56.34					3243	
	FIFTH				Excluded		134	48.03								145	51.97					279	
		TOTAL					1271	39.19								1972	60.81					3243	
																Elected							
																							
Endeavour Hills East                                           																							
	FIRST			366	7.30		1696	33.84		150	2.99		31	0.62		2640	52.67		129	2.57		5012	
	SECOND			4	12.90		7	22.58		11	35.48			Excluded		3	9.68		6	19.35		31	
		TOTAL		370	7.38		1703	33.98		161	3.21					2643	52.73		135	2.69		5012	
	THIRD			18	13.33		74	54.81		12	8.89					31	22.96			Excluded		135	
		TOTAL		388	7.74		1777	35.45		173	3.45					2674	53.35					5012	
	FOURTH			61	35.26		32	18.50			Excluded					80	46.24					173	
		TOTAL		449	8.96		1809	36.09								2754	54.95					5012	
	FIFTH				Excluded		193	42.98								256	57.02					449	
		TOTAL					2002	39.94								3010	60.06					5012	
																Elected							
																							
Endeavour Hills North                                          																							
	FIRST			101	6.07		643	38.62		39	2.34		19	1.14		823	49.43		40	2.40		1665	
	SECOND			2	10.53		3	15.79		7	36.84			Excluded		4	21.05		3	15.79		19	
		TOTAL		103	6.19		646	38.80		46	2.76					827	49.67		43	2.58		1665	
	THIRD			10	23.26		18	41.86		4	9.30					11	25.58			Excluded		43	
		TOTAL		113	6.79		664	39.88		50	3.00					838	50.33					1665	
	FOURTH			28	56.00		6	12.00			Excluded					16	32.00					50	
		TOTAL		141	8.47		670	40.24								854	51.29					1665	
	FIFTH				Excluded		65	46.10								76	53.90					141	
		TOTAL					735	44.14								930	55.86					1665	
																Elected							
																							
Fountain Gate                                                  																							
	FIRST			277	7.99		1279	36.88		62	1.79		29	0.84		1754	50.58		67	1.93		3468	
	SECOND			1	3.45		2	6.90		14	48.28			Excluded		2	6.90		10	34.48		29	
		TOTAL		278	8.02		1281	36.94		76	2.19					1756	50.63		77	2.22		3468	
	THIRD			13	16.88		34	44.16		10	12.99					20	25.97			Excluded		77	
		TOTAL		291	8.39		1315	37.92		86	2.48					1776	51.21					3468	
	FOURTH			48	55.81		13	15.12			Excluded					25	29.07					86	
		TOTAL		339	9.78		1328	38.29								1801	51.93					3468	
	FIFTH				Excluded		140	41.30								199	58.70					339	
		TOTAL					1468	42.33								2000	57.67					3468	
																Elected							
																							
Gleneagles                                                     																							
	FIRST			275	7.36		1131	30.28		76	2.03		29	0.78		2109	56.47		115	3.08		3735	
	SECOND			2	6.90		6	20.69		13	44.83			Excluded		4	13.79		4	13.79		29	
		TOTAL		277	7.42		1137	30.44		89	2.38					2113	56.57		119	3.19		3735	
	THIRD			14	11.76		59	49.58		20	16.81					26	21.85			Excluded		119	
		TOTAL		291	7.79		1196	32.02		109	2.92					2139	57.27					3735	
	FOURTH			44	40.37		36	33.03			Excluded					29	26.61					109	
		TOTAL		335	8.97		1232	32.99								2168	58.05					3735	
	FIFTH				Excluded		131	39.10								204	60.90					335	
		TOTAL					1363	36.49								2372	63.51					3735	
																Elected							
																							
Hallam                                                         																							
	FIRST			296	8.23		1211	33.68		89	2.47		44	1.22		1869	51.97		87	2.42		3596	
	SECOND			7	15.91		6	13.64		22	50.00			Excluded		7	15.91		2	4.55		44	
		TOTAL		303	8.43		1217	33.84		111	3.09					1876	52.17		89	2.47		3596	
	THIRD			15	16.85		36	40.45		10	11.24					28	31.46			Excluded		89	
		TOTAL		318	8.84		1253	34.84		121	3.36					1904	52.95					3596	
	FOURTH			65	53.72		17	14.05			Excluded					39	32.23					121	
		TOTAL		383	10.65		1270	35.32								1943	54.03					3596	
	FIFTH				Excluded		164	42.82								219	57.18					383	
		TOTAL					1434	39.88								2162	60.12					3596	
																Elected							
																							
Hampton Park                                                   																							
	FIRST			166	5.39		959	31.16		76	2.47		42	1.36		1779	57.80		56	1.82		3078	
	SECOND			5	11.90		3	7.14		24	57.14			Excluded		7	16.67		3	7.14		42	
		TOTAL		171	5.56		962	31.25		100	3.25					1786	58.02		59	1.92		3078	
	THIRD			12	20.34		22	37.29		3	5.08					22	37.29			Excluded		59	
		TOTAL		183	5.95		984	31.97		103	3.35					1808	58.74					3078	
	FOURTH			47	45.63		19	18.45			Excluded					37	35.92					103	
		TOTAL		230	7.47		1003	32.59								1845	59.94					3078	
	FIFTH				Excluded		107	46.52								123	53.48					230	
		TOTAL					1110	36.06								1968	63.94					3078	
																Elected							
																							
Hampton Park East                                              																							
	FIRST			354	8.29		1294	30.30		163	3.82		42	0.98		2349	55.00		69	1.62		4271	
	SECOND			6	14.29		5	11.90		20	47.62			Excluded		7	16.67		4	9.52		42	
		TOTAL		360	8.43		1299	30.41		183	4.28					2356	55.16		73	1.71		4271	
	THIRD			9	12.33		40	54.79		7	9.59					17	23.29			Excluded		73	
		TOTAL		369	8.64		1339	31.35		190	4.45					2373	55.56					4271	
	FOURTH			72	37.89		33	17.37			Excluded					85	44.74					190	
		TOTAL		441	10.33		1372	32.12								2458	57.55					4271	
	FIFTH				Excluded		159	36.05								282	63.95					441	
		TOTAL					1531	35.85								2740	64.15					4271	
																Elected							
																							
Keysborough                                                    																							
	FIRST			66	4.55		434	29.91		34	2.34		17	1.17		888	61.20		12	0.83		1451	
	SECOND			2	11.76		4	23.53		6	35.29			Excluded		4	23.53		1	5.88		17	
		TOTAL		68	4.69		438	30.19		40	2.76					892	61.47		13	0.90		1451	
	THIRD			0	0.00		4	30.77		3	23.08					6	46.15			Excluded		13	
		TOTAL		68	4.69		442	30.46		43	2.96					898	61.89					1451	
	FOURTH			18	41.86		13	30.23			Excluded					12	27.91					43	
		TOTAL		86	5.93		455	31.36								910	62.72					1451	
	FIFTH				Excluded		31	36.05								55	63.95					86	
		TOTAL					486	33.49								965	66.51					1451	
																Elected							
																							
Maralinga                                                      																							
	FIRST			94	5.27		438	24.54		42	2.35		18	1.01		1178	65.99		15	0.84		1785	
	SECOND			3	16.67		0	0.00		11	61.11			Excluded		4	22.22		0	0.00		18	
		TOTAL		97	5.43		438	24.54		53	2.97					1182	66.22		15	0.84		1785	
	THIRD			2	13.33		6	40.00		2	13.33					5	33.33			Excluded		15	
		TOTAL		99	5.55		444	24.87		55	3.08					1187	66.50					1785	
	FOURTH			23	41.82		10	18.18			Excluded					22	40.00					55	
		TOTAL		122	6.83		454	25.43								1209	67.73					1785	
	FIFTH				Excluded		58	47.54								64	52.46					122	
		TOTAL					512	28.68								1273	71.32					1785	
																Elected							
																							
Maramba                                                        																							
	FIRST			224	6.49		1529	44.32		63	1.83		26	0.75		1517	43.97		91	2.64		3450	
	SECOND			2	7.69		3	11.54		12	46.15			Excluded		6	23.08		3	11.54		26	
		TOTAL		226	6.55		1532	44.41		75	2.17					1523	44.14		94	2.72		3450	
	THIRD			15	15.96		56	59.57		5	5.32					18	19.15			Excluded		94	
		TOTAL		241	6.99		1588	46.03		80	2.32					1541	44.67					3450	
	FOURTH			34	42.50		18	22.50			Excluded					28	35.00					80	
		TOTAL		275	7.97		1606	46.55								1569	45.48					3450	
	FIFTH				Excluded		128	46.55								147	53.45					275	
		TOTAL					1734	50.26								1716	49.74					3450	
																Elected							
																							
Melbourne (Holt)                                               																							
	FIRST			12	19.35		23	37.10		5	8.06		0	0.00		19	30.65		3	4.84		62	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		12	19.35		23	37.10		5	8.06					19	30.65		3	4.84		62	
	THIRD			0	0.00		0	0.00		1	33.33					2	66.67			Excluded		3	
		TOTAL		12	19.35		23	37.10		6	9.68					21	33.87					62	
	FOURTH			4	66.67		1	16.67			Excluded					1	16.67					6	
		TOTAL		16	25.81		24	38.71								22	35.48					62	
	FIFTH				Excluded		9	56.25								7	43.75					16	
		TOTAL					33	53.23								29	46.77					62	
																Elected							
																							
Narre Warren (Holt)                                            																							
	FIRST			223	7.86		1217	42.90		65	2.29		26	0.92		1250	44.06		56	1.97		2837	
	SECOND			2	7.69		3	11.54		12	46.15			Excluded		5	19.23		4	15.38		26	
		TOTAL		225	7.93		1220	43.00		77	2.71					1255	44.24		60	2.11		2837	
	THIRD			9	15.00		31	51.67		8	13.33					12	20.00			Excluded		60	
		TOTAL		234	8.25		1251	44.10		85	3.00					1267	44.66					2837	
	FOURTH			50	58.82		19	22.35			Excluded					16	18.82					85	
		TOTAL		284	10.01		1270	44.77								1283	45.22					2837	
	FIFTH				Excluded		128	45.07								156	54.93					284	
		TOTAL					1398	49.28								1439	50.72					2837	
																Elected							
																							
Noble Park                                                     																							
	FIRST			110	4.71		564	24.13		74	3.17		27	1.16		1527	65.34		35	1.50		2337	
	SECOND			2	7.41		7	25.93		14	51.85			Excluded		3	11.11		1	3.70		27	
		TOTAL		112	4.79		571	24.43		88	3.77					1530	65.47		36	1.54		2337	
	THIRD			7	19.44		14	38.89		4	11.11					11	30.56			Excluded		36	
		TOTAL		119	5.09		585	25.03		92	3.94					1541	65.94					2337	
	FOURTH			44	47.83		16	17.39			Excluded					32	34.78					92	
		TOTAL		163	6.97		601	25.72								1573	67.31					2337	
	FIFTH				Excluded		71	43.56								92	56.44					163	
		TOTAL					672	28.75								1665	71.25					2337	
																Elected							
																							
Southvale                                                      																							
	FIRST			70	4.86		360	25.02		46	3.20		12	0.83		935	64.98		16	1.11		1439	
	SECOND			1	8.33		2	16.67		8	66.67			Excluded		1	8.33		0	0.00		12	
		TOTAL		71	4.93		362	25.16		54	3.75					936	65.05		16	1.11		1439	
	THIRD			3	18.75		3	18.75		3	18.75					7	43.75			Excluded		16	
		TOTAL		74	5.14		365	25.36		57	3.96					943	65.53					1439	
	FOURTH			23	40.35		9	15.79			Excluded					25	43.86					57	
		TOTAL		97	6.74		374	25.99								968	67.27					1439	
	FIFTH				Excluded		46	47.42								51	52.58					97	
		TOTAL					420	29.19								1019	70.81					1439	
																Elected							
																							
Wallarano                                                      																							
	FIRST			240	6.93		980	28.30		104	3.00		27	0.78		2074	59.89		38	1.10		3463	
	SECOND			1	3.70		3	11.11		18	66.67			Excluded		3	11.11		2	7.41		27	
		TOTAL		241	6.96		983	28.39		122	3.52					2077	59.98		40	1.16		3463	
	THIRD			9	22.50		12	30.00		10	25.00					9	22.50			Excluded		40	
		TOTAL		250	7.22		995	28.73		132	3.81					2086	60.24					3463	
	FOURTH			41	31.06		23	17.42			Excluded					68	51.52					132	
		TOTAL		291	8.40		1018	29.40								2154	62.20					3463	
	FIFTH				Excluded		125	42.96								166	57.04					291	
		TOTAL					1143	33.01								2320	66.99					3463	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			16	7.48		121	56.54		2	0.93		3	1.40		71	33.18		1	0.47		214	
	SECOND			1	33.33		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		3	
		TOTAL		17	7.94		122	57.01		3	1.40					71	33.18		1	0.47		214	
	THIRD			0	0.00		0	0.00		0	0.00					1	100.00			Excluded		1	
		TOTAL		17	7.94		122	57.01		3	1.40					72	33.64					214	
	FOURTH			1	33.33		0	0.00			Excluded					2	66.67					3	
		TOTAL		18	8.41		122	57.01								74	34.58					214	
	FIFTH				Excluded		14	77.78								4	22.22					18	
		TOTAL					136	63.55								78	36.45					214	
																Elected							
																							
Special Hospital Team 2                                        																							
	FIRST			6	12.00		9	18.00		2	4.00		1	2.00		28	56.00		4	8.00		50	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		6	12.00		9	18.00		3	6.00					28	56.00		4	8.00		50	
	THIRD			1	25.00		2	50.00		0	0.00					1	25.00			Excluded		4	
		TOTAL		7	14.00		11	22.00		3	6.00					29	58.00					50	
	FOURTH			1	33.33		1	33.33			Excluded					1	33.33					3	
		TOTAL		8	16.00		12	24.00								30	60.00					50	
	FIFTH				Excluded		5	62.50								3	37.50					8	
		TOTAL					17	34.00								33	66.00					50	
																Elected							
																							
ABSENT																							
	FIRST			522	10.37		1693	33.62		257	5.10		84	1.67		2352	46.71		127	2.52		5035	
	SECOND			18	21.43		21	25.00		27	32.14			Excluded		12	14.29		6	7.14		84	
		TOTAL		540	10.72		1714	34.04		284	5.64					2364	46.95		133	2.64		5035	
	THIRD			20	15.04		57	42.86		20	15.04					36	27.07			Excluded		133	
		TOTAL		560	11.12		1771	35.17		304	6.04					2400	47.67					5035	
	FOURTH			127	41.78		79	25.99			Excluded					98	32.24					304	
		TOTAL		687	13.64		1850	36.74								2498	49.61					5035	
	FIFTH				Excluded		325	47.31								362	52.69					687	
		TOTAL					2175	43.20								2860	56.80					5035	
																Elected							
																							
POSTAL																							
	FIRST			142	5.56		977	38.27		54	2.12		25	0.98		1303	51.04		52	2.04		2553	
	SECOND			6	24.00		5	20.00		5	20.00			Excluded		5	20.00		4	16.00		25	
		TOTAL		148	5.80		982	38.46		59	2.31					1308	51.23		56	2.19		2553	
	THIRD			8	14.29		32	57.14		7	12.50					9	16.07			Excluded		56	
		TOTAL		156	6.11		1014	39.72		66	2.59					1317	51.59					2553	
	FOURTH			40	60.61		8	12.12			Excluded					18	27.27					66	
		TOTAL		196	7.68		1022	40.03								1335	52.29					2553	
	FIFTH				Excluded		84	42.86								112	57.14					196	
		TOTAL					1106	43.32								1447	56.68					2553	
																Elected							
																							
PRE POLL																							
	FIRST			192	6.40		1035	34.48		82	2.73		17	0.57		1588	52.90		88	2.93		3002	
	SECOND			5	29.41		4	23.53		1	5.88			Excluded		5	29.41		2	11.76		17	
		TOTAL		197	6.56		1039	34.61		83	2.76					1593	53.06		90	3.00		3002	
	THIRD			15	16.67		37	41.11		15	16.67					23	25.56			Excluded		90	
		TOTAL		212	7.06		1076	35.84		98	3.26					1616	53.83					3002	
	FOURTH			41	41.84		20	20.41			Excluded					37	37.76					98	
		TOTAL		253	8.43		1096	36.51								1653	55.06					3002	
	FIFTH				Excluded		109	43.08								144	56.92					253	
		TOTAL					1205	40.14								1797	59.86					3002	
																Elected							
																							
PROVISIONAL																							
	FIRST			53	6.06		171	19.57		26	2.97		9	1.03		599	68.54		16	1.83		874	
	SECOND			1	11.11		1	11.11		6	66.67			Excluded		0	0.00		1	11.11		9	
		TOTAL		54	6.18		172	19.68		32	3.66					599	68.54		17	1.95		874	
	THIRD			2	11.76		5	29.41		2	11.76					8	47.06			Excluded		17	
		TOTAL		56	6.41		177	20.25		34	3.89					607	69.45					874	
	FOURTH			15	44.12		7	20.59			Excluded					12	35.29					34	
		TOTAL		71	8.12		184	21.05								619	70.82					874	
	FIFTH				Excluded		44	61.97								27	38.03					71	
		TOTAL					228	26.09								646	73.91					874	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
