House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
	SIXTH						85	46.20												Excluded		17	9.24		14	7.61		68	36.96		184	
		TOTAL					1060	36.78														297	10.31		1336	46.36		189	6.56		2882	
	SEVENTH						52	27.51														102	53.97		35	18.52			Excluded		189	
		TOTAL					1112	38.58														399	13.84		1371	47.57					2882	
	EIGHTH						66	16.54															Excluded		333	83.46					399	
		TOTAL					1178	40.87																	1704	59.13					2882	
																									Elected							
																																
Benalla District Hospital                                      																																
	FIRST			1	2.44		9	21.95		1	2.44		0	0.00		2	4.88		0	0.00		9	21.95		19	46.34		0	0.00		41	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		2	
		TOTAL		1	2.44		9	21.95		1	2.44		0	0.00					0	0.00		10	24.39		20	48.78		0	0.00		41	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					10	24.39		1	2.44		0	0.00					0	0.00		10	24.39		20	48.78		0	0.00		41	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					10	24.39		1	2.44								0	0.00		10	24.39		20	48.78		0	0.00		41	
	FIFTH						0	0.00			Excluded								0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL					10	24.39											0	0.00		11	26.83		20	48.78		0	0.00		41	
	SIXTH						0	0.00												Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL					10	24.39														11	26.83		20	48.78		0	0.00		41	
	SEVENTH						0	0.00														0	0.00		0	0.00			Excluded		0	
		TOTAL					10	24.39														11	26.83		20	48.78					41	
	EIGHTH						0	0.00															Excluded		11	100.00					11	
		TOTAL					10	24.39																	31	75.61					41	
																									Elected							
																																
Benalla West                                                   																																
	FIRST			28	1.09		798	31.03		63	2.45		82	3.19		25	0.97		76	2.95		247	9.60		1169	45.45		84	3.27		2572	
	SECOND			0	0.00		2	8.00		3	12.00		1	4.00			Excluded		1	4.00		1	4.00		6	24.00		11	44.00		25	
		TOTAL		28	1.09		800	31.10		66	2.57		83	3.23					77	2.99		248	9.64		1175	45.68		95	3.69		2572	
	THIRD				Excluded		15	53.57		6	21.43		1	3.57					0	0.00		1	3.57		4	14.29		1	3.57		28	
		TOTAL					815	31.69		72	2.80		84	3.27					77	2.99		249	9.68		1179	45.84		96	3.73		2572	
	FOURTH						17	20.24		1	1.19			Excluded					47	55.95		6	7.14		9	10.71		4	4.76		84	
		TOTAL					832	32.35		73	2.84								124	4.82		255	9.91		1188	46.19		100	3.89		2572	
	FIFTH						17	23.29			Excluded								11	15.07		6	8.22		16	21.92		23	31.51		73	
		TOTAL					849	33.01											135	5.25		261	10.15		1204	46.81		123	4.78		2572	
	SIXTH						61	45.19												Excluded		13	9.63		8	5.93		53	39.26		135	
		TOTAL					910	35.38														274	10.65		1212	47.12		176	6.84		2572	
	SEVENTH						34	19.32														96	54.55		46	26.14			Excluded		176	
		TOTAL					944	36.70														370	14.39		1258	48.91					2572	
	EIGHTH						57	15.41															Excluded		313	84.59					370	
		TOTAL					1001	38.92																	1571	61.08					2572	
																									Elected							
																																
Bethanga                                                       																																
	FIRST			3	0.59		87	17.23		27	5.35		22	4.36		4	0.79		17	3.37		40	7.92		243	48.12		62	12.28		505	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		0	0.00		0	0.00		4	
		TOTAL		3	0.59		88	17.43		27	5.35		22	4.36					17	3.37		43	8.51		243	48.12		62	12.28		505	
	THIRD				Excluded		0	0.00		1	33.33		1	33.33					0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL					88	17.43		28	5.54		23	4.55					17	3.37		43	8.51		243	48.12		63	12.48		505	
	FOURTH						7	30.43		0	0.00			Excluded					10	43.48		0	0.00		5	21.74		1	4.35		23	
		TOTAL					95	18.81		28	5.54								27	5.35		43	8.51		248	49.11		64	12.67		505	
	FIFTH						7	25.00			Excluded								1	3.57		2	7.14		11	39.29		7	25.00		28	
		TOTAL					102	20.20											28	5.54		45	8.91		259	51.29		71	14.06		505	
	SIXTH						10	35.71												Excluded		4	14.29		0	0.00		14	50.00		28	
		TOTAL					112	22.18														49	9.70		259	51.29		85	16.83		505	
	SEVENTH						19	22.35														50	58.82		16	18.82			Excluded		85	
		TOTAL					131	25.94														99	19.60		275	54.46					505	
	EIGHTH						14	14.14															Excluded		85	85.86					99	
		TOTAL					145	28.71																	360	71.29					505	
																									Elected							
																																
Bonegilla                                                      																																
	FIRST			3	0.82		78	21.37		17	4.66		13	3.56		4	1.10		11	3.01		44	12.05		159	43.56		36	9.86		365	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	50.00		1	25.00		4	
		TOTAL		3	0.82		79	21.64		17	4.66		13	3.56					11	3.01		44	12.05		161	44.11		37	10.14		365	
	THIRD				Excluded		1	33.33		1	33.33		0	0.00					0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL					80	21.92		18	4.93		13	3.56					11	3.01		45	12.33		161	44.11		37	10.14		365	
	FOURTH						4	30.77		2	15.38			Excluded					4	30.77		2	15.38		1	7.69		0	0.00		13	
		TOTAL					84	23.01		20	5.48								15	4.11		47	12.88		162	44.38		37	10.14		365	
	FIFTH						4	20.00			Excluded								2	10.00		1	5.00		2	10.00		11	55.00		20	
		TOTAL					88	24.11											17	4.66		48	13.15		164	44.93		48	13.15		365	
	SIXTH						8	47.06												Excluded		3	17.65		3	17.65		3	17.65		17	
		TOTAL					96	26.30														51	13.97		167	45.75		51	13.97		365	
	SEVENTH						13	25.49														22	43.14		16	31.37			Excluded		51	
		TOTAL					109	29.86														73	20.00		183	50.14					365	
	EIGHTH						11	15.07															Excluded		62	84.93					73	
		TOTAL					120	32.88																	245	67.12					365	
																									Elected							
																																
Boorhaman                                                      																																
	FIRST			1	0.67		14	9.33		5	3.33		4	2.67		1	0.67		3	2.00		48	32.00		65	43.33		9	6.00		150	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	0.67		14	9.33		5	3.33		4	2.67					3	2.00		48	32.00		66	44.00		9	6.00		150	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					15	10.00		5	3.33		4	2.67					3	2.00		48	32.00		66	44.00		9	6.00		150	
	FOURTH						1	25.00		0	0.00			Excluded					1	25.00		0	0.00		2	50.00		0	0.00		4	
		TOTAL					16	10.67		5	3.33								4	2.67		48	32.00		68	45.33		9	6.00		150	
	FIFTH						0	0.00			Excluded								2	40.00		0	0.00		1	20.00		2	40.00		5	
		TOTAL					16	10.67											6	4.00		48	32.00		69	46.00		11	7.33		150	
	SIXTH						2	33.33												Excluded		2	33.33		0	0.00		2	33.33		6	
		TOTAL					18	12.00														50	33.33		69	46.00		13	8.67		150	
	SEVENTH						1	7.69														7	53.85		5	38.46			Excluded		13	
		TOTAL					19	12.67														57	38.00		74	49.33					150	
	EIGHTH						5	8.77															Excluded		52	91.23					57	
		TOTAL					24	16.00																	126	84.00					150	
																									Elected							
																																
Boosey                                                         																																
	FIRST			0	0.00		17	14.41		3	2.54		9	7.63		0	0.00		1	0.85		27	22.88		60	50.85		1	0.85		118	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		17	14.41		3	2.54		9	7.63					1	0.85		27	22.88		60	50.85		1	0.85		118	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					17	14.41		3	2.54		9	7.63					1	0.85		27	22.88		60	50.85		1	0.85		118	
	FOURTH						2	22.22		1	11.11			Excluded					5	55.56		1	11.11		0	0.00		0	0.00		9	
		TOTAL					19	16.10		4	3.39								6	5.08		28	23.73		60	50.85		1	0.85		118	
	FIFTH						1	25.00			Excluded								0	0.00		1	25.00		0	0.00		2	50.00		4	
		TOTAL					20	16.95											6	5.08		29	24.58		60	50.85		3	2.54		118	
	SIXTH						3	50.00												Excluded		2	33.33		0	0.00		1	16.67		6	
		TOTAL					23	19.49														31	26.27		60	50.85		4	3.39		118	
	SEVENTH						1	25.00														3	75.00		0	0.00			Excluded		4	
		TOTAL					24	20.34														34	28.81		60	50.85					118	
	EIGHTH						3	8.82															Excluded		31	91.18					34	
		TOTAL					27	22.88																	91	77.12					118	
																									Elected							
																																
Bright                                                         																																
	FIRST			11	0.76		400	27.82		59	4.10		45	3.13		12	0.83		109	7.58		126	8.76		620	43.12		56	3.89		1438	
	SECOND			0	0.00		2	16.67		2	16.67		1	8.33			Excluded		2	16.67		1	8.33		2	16.67		2	16.67		12	
		TOTAL		11	0.76		402	27.96		61	4.24		46	3.20					111	7.72		127	8.83		622	43.25		58	4.03		1438	
	THIRD				Excluded		9	81.82		0	0.00		0	0.00					0	0.00		1	9.09		0	0.00		1	9.09		11	
		TOTAL					411	28.58		61	4.24		46	3.20					111	7.72		128	8.90		622	43.25		59	4.10		1438	
	FOURTH						10	21.74		2	4.35			Excluded					20	43.48		4	8.70		8	17.39		2	4.35		46	
		TOTAL					421	29.28		63	4.38								131	9.11		132	9.18		630	43.81		61	4.24		1438	
	FIFTH						16	25.40			Excluded								3	4.76		4	6.35		8	12.70		32	50.79		63	
		TOTAL					437	30.39											134	9.32		136	9.46		638	44.37		93	6.47		1438	
	SIXTH						78	58.21												Excluded		15	11.19		16	11.94		25	18.66		134	
		TOTAL					515	35.81														151	10.50		654	45.48		118	8.21		1438	
	SEVENTH						26	22.03														46	38.98		46	38.98			Excluded		118	
		TOTAL					541	37.62														197	13.70		700	48.68					1438	
	EIGHTH						43	21.83															Excluded		154	78.17					197	
		TOTAL					584	40.61																	854	59.39					1438	
																									Elected							
																																
Bullioh                                                        																																
	FIRST			0	0.00		24	17.14		4	2.86		3	2.14		2	1.43		2	1.43		18	12.86		55	39.29		32	22.86		140	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL		0	0.00		25	17.86		4	2.86		3	2.14					2	1.43		18	12.86		56	40.00		32	22.86		140	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					25	17.86		4	2.86		3	2.14					2	1.43		18	12.86		56	40.00		32	22.86		140	
	FOURTH						1	33.33		0	0.00			Excluded					1	33.33		1	33.33		0	0.00		0	0.00		3	
		TOTAL					26	18.57		4	2.86								3	2.14		19	13.57		56	40.00		32	22.86		140	
	FIFTH						1	25.00			Excluded								0	0.00		1	25.00		0	0.00		2	50.00		4	
		TOTAL					27	19.29											3	2.14		20	14.29		56	40.00		34	24.29		140	
	SIXTH						3	100.00												Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL					30	21.43														20	14.29		56	40.00		34	24.29		140	
	SEVENTH						9	26.47														17	50.00		8	23.53			Excluded		34	
		TOTAL					39	27.86														37	26.43		64	45.71					140	
	EIGHTH						3	8.11															Excluded		34	91.89					37	
		TOTAL					42	30.00																	98	70.00					140	
																									Elected							
																																
Bundalong                                                      																																
	FIRST			3	1.24		56	23.14		10	4.13		0	0.00		0	0.00		6	2.48		57	23.55		95	39.26		15	6.20		242	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.24		56	23.14		10	4.13		0	0.00					6	2.48		57	23.55		95	39.26		15	6.20		242	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					59	24.38		10	4.13		0	0.00					6	2.48		57	23.55		95	39.26		15	6.20		242	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					59	24.38		10	4.13								6	2.48		57	23.55		95	39.26		15	6.20		242	
	FIFTH						1	10.00			Excluded								1	10.00		3	30.00		1	10.00		4	40.00		10	
		TOTAL					60	24.79											7	2.89		60	24.79		96	39.67		19	7.85		242	
	SIXTH						2	28.57												Excluded		1	14.29		1	14.29		3	42.86		7	
		TOTAL					62	25.62														61	25.21		97	40.08		22	9.09		242	
	SEVENTH						6	27.27														14	63.64		2	9.09			Excluded		22	
		TOTAL					68	28.10														75	30.99		99	40.91					242	
	EIGHTH						6	8.00															Excluded		69	92.00					75	
		TOTAL					74	30.58																	168	69.42					242	
																									Elected							
																																
Caniambo                                                       																																
	FIRST			1	1.35		7	9.46		5	6.76		1	1.35		0	0.00		1	1.35		18	24.32		41	55.41		0	0.00		74	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.35		7	9.46		5	6.76		1	1.35					1	1.35		18	24.32		41	55.41		0	0.00		74	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					8	10.81		5	6.76		1	1.35					1	1.35		18	24.32		41	55.41		0	0.00		74	
	FOURTH						1	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					9	12.16		5	6.76								1	1.35		18	24.32		41	55.41		0	0.00		74	
	FIFTH						0	0.00			Excluded								0	0.00		0	0.00		2	40.00		3	60.00		5	
		TOTAL					9	12.16											1	1.35		18	24.32		43	58.11		3	4.05		74	
	SIXTH						1	100.00												Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL					10	13.51														18	24.32		43	58.11		3	4.05		74	
	SEVENTH						1	33.33														2	66.67		0	0.00			Excluded		3	
		TOTAL					11	14.86														20	27.03		43	58.11					74	
	EIGHTH						1	5.00															Excluded		19	95.00					20	
		TOTAL					12	16.22																	62	83.78					74	
																									Elected							
																																
Cheshunt                                                       																																
	FIRST			0	0.00		44	28.21		2	1.28		4	2.56		0	0.00		5	3.21		49	31.41		51	32.69		1	0.64		156	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		44	28.21		2	1.28		4	2.56					5	3.21		49	31.41		51	32.69		1	0.64		156	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					44	28.21		2	1.28		4	2.56					5	3.21		49	31.41		51	32.69		1	0.64		156	
	FOURTH						1	25.00		0	0.00			Excluded					1	25.00		2	50.00		0	0.00		0	0.00		4	
		TOTAL					45	28.85		2	1.28								6	3.85		51	32.69		51	32.69		1	0.64		156	
	FIFTH						0	0.00			Excluded								0	0.00		1	50.00		0	0.00		1	50.00		2	
		TOTAL					45	28.85											6	3.85		52	33.33		51	32.69		2	1.28		156	
	SIXTH						4	66.67												Excluded		0	0.00		0	0.00		2	33.33		6	
		TOTAL					49	31.41														52	33.33		51	32.69		4	2.56		156	
	SEVENTH						0	0.00														4	100.00		0	0.00			Excluded		4	
		TOTAL					49	31.41														56	35.90		51	32.69					156	
	EIGHTH						5	8.93															Excluded		51	91.07					56	
		TOTAL					54	34.62																	102	65.38					156	
																									Elected							
																																
Chiltern                                                       																																
	FIRST			4	0.44		398	44.12		45	4.99		30	3.33		11	1.22		25	2.77		74	8.20		265	29.38		50	5.54		902	
	SECOND			1	9.09		3	27.27		1	9.09		0	0.00			Excluded		0	0.00		3	27.27		1	9.09		2	18.18		11	
		TOTAL		5	0.55		401	44.46		46	5.10		30	3.33					25	2.77		77	8.54		266	29.49		52	5.76		902	
	THIRD				Excluded		2	40.00		2	40.00		0	0.00					0	0.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL					403	44.68		48	5.32		30	3.33					25	2.77		77	8.54		267	29.60		52	5.76		902	
	FOURTH						10	33.33		2	6.67			Excluded					14	46.67		2	6.67		1	3.33		1	3.33		30	
		TOTAL					413	45.79		50	5.54								39	4.32		79	8.76		268	29.71		53	5.88		902	
	FIFTH						20	40.00			Excluded								3	6.00		5	10.00		8	16.00		14	28.00		50	
		TOTAL					433	48.00											42	4.66		84	9.31		276	30.60		67	7.43		902	
	SIXTH						23	54.76												Excluded		4	9.52		4	9.52		11	26.19		42	
		TOTAL					456	50.55														88	9.76		280	31.04		78	8.65		902	
	SEVENTH						26	33.33														33	42.31		19	24.36			Excluded		78	
		TOTAL					482	53.44														121	13.41		299	33.15					902	
	EIGHTH						31	25.62															Excluded		90	74.38					121	
		TOTAL					513	56.87																	389	43.13					902	
																									Elected							
																																
Corryong                                                       																																
	FIRST			14	1.35		233	22.51		39	3.77		22	2.13		13	1.26		15	1.45		87	8.41		479	46.28		133	12.85		1035	
	SECOND			0	0.00		1	7.69		2	15.38		0	0.00			Excluded		2	15.38		4	30.77		1	7.69		3	23.08		13	
		TOTAL		14	1.35		234	22.61		41	3.96		22	2.13					17	1.64		91	8.79		480	46.38		136	13.14		1035	
	THIRD				Excluded		13	92.86		1	7.14		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		14	
		TOTAL					247	23.86		42	4.06		22	2.13					17	1.64		91	8.79		480	46.38		136	13.14		1035	
	FOURTH						5	22.73		2	9.09			Excluded					8	36.36		0	0.00		3	13.64		4	18.18		22	
		TOTAL					252	24.35		44	4.25								25	2.42		91	8.79		483	46.67		140	13.53		1035	
	FIFTH						10	22.73			Excluded								2	4.55		5	11.36		4	9.09		23	52.27		44	
		TOTAL					262	25.31											27	2.61		96	9.28		487	47.05		163	15.75		1035	
	SIXTH						15	55.56												Excluded		2	7.41		2	7.41		8	29.63		27	
		TOTAL					277	26.76														98	9.47		489	47.25		171	16.52		1035	
	SEVENTH						35	20.47														86	50.29		50	29.24			Excluded		171	
		TOTAL					312	30.14														184	17.78		539	52.08					1035	
	EIGHTH						16	8.70															Excluded		168	91.30					184	
		TOTAL					328	31.69																	707	68.31					1035	
																									Elected							
																																
Cudgewa                                                        																																
	FIRST			2	0.88		32	14.16		12	5.31		2	0.88		2	0.88		1	0.44		32	14.16		108	47.79		35	15.49		226	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2	
		TOTAL		2	0.88		32	14.16		12	5.31		2	0.88					1	0.44		32	14.16		109	48.23		36	15.93		226	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					34	15.04		12	5.31		2	0.88					1	0.44		32	14.16		109	48.23		36	15.93		226	
	FOURTH						1	50.00		0	0.00			Excluded					0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL					35	15.49		12	5.31								1	0.44		33	14.60		109	48.23		36	15.93		226	
	FIFTH						2	16.67			Excluded								0	0.00		0	0.00		2	16.67		8	66.67		12	
		TOTAL					37	16.37											1	0.44		33	14.60		111	49.12		44	19.47		226	
	SIXTH						0	0.00												Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL					37	16.37														33	14.60		111	49.12		45	19.91		226	
	SEVENTH						4	8.89														25	55.56		16	35.56			Excluded		45	
		TOTAL					41	18.14														58	25.66		127	56.19					226	
