House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Murray																							
				BUSH			STONE			JONES			HELLEMONS			CALDER			TAYLOR				
	FIFTH						2	25.00								6	75.00			Excluded		8	
		TOTAL					139	88.54								18	11.46					157	
							Elected																
																							
Barmah                                                         																							
	FIRST			3	1.54		93	47.69		5	2.56		18	9.23		69	35.38		7	3.59		195	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		5	100.00		5	
		TOTAL		3	1.54		93	47.69					18	9.23		69	35.38		12	6.15		195	
	THIRD				Excluded		1	33.33					0	0.00		1	33.33		1	33.33		3	
		TOTAL					94	48.21					18	9.23		70	35.90		13	6.67		195	
	FOURTH						8	44.44						Excluded		7	38.89		3	16.67		18	
		TOTAL					102	52.31								77	39.49		16	8.21		195	
	FIFTH						6	37.50								10	62.50			Excluded		16	
		TOTAL					108	55.38								87	44.62					195	
							Elected																
																							
Boort                                                          																							
	FIRST			13	1.87		519	74.78		10	1.44		28	4.03		107	15.42		17	2.45		694	
	SECOND			1	10.00		1	10.00			Excluded		1	10.00		2	20.00		5	50.00		10	
		TOTAL		14	2.02		520	74.93					29	4.18		109	15.71		22	3.17		694	
	THIRD				Excluded		7	50.00					3	21.43		1	7.14		3	21.43		14	
		TOTAL					527	75.94					32	4.61		110	15.85		25	3.60		694	
	FOURTH						20	62.50						Excluded		8	25.00		4	12.50		32	
		TOTAL					547	78.82								118	17.00		29	4.18		694	
	FIFTH						8	27.59								21	72.41			Excluded		29	
		TOTAL					555	79.97								139	20.03					694	
							Elected																
																							
Bunbartha                                                      																							
	FIRST			4	2.45		124	76.07		4	2.45		5	3.07		22	13.50		4	2.45		163	
	SECOND			0	0.00		1	25.00			Excluded		1	25.00		1	25.00		1	25.00		4	
		TOTAL		4	2.45		125	76.69					6	3.68		23	14.11		5	3.07		163	
	THIRD				Excluded		0	0.00					1	25.00		1	25.00		2	50.00		4	
		TOTAL					125	76.69					7	4.29		24	14.72		7	4.29		163	
	FOURTH						3	42.86						Excluded		4	57.14		0	0.00		7	
		TOTAL					128	78.53								28	17.18		7	4.29		163	
	FIFTH						4	57.14								3	42.86			Excluded		7	
		TOTAL					132	80.98								31	19.02					163	
							Elected																
																							
Byrneside                                                      																							
	FIRST			10	4.10		195	79.92		4	1.64		11	4.51		20	8.20		4	1.64		244	
	SECOND			0	0.00		1	25.00			Excluded		0	0.00		0	0.00		3	75.00		4	
		TOTAL		10	4.10		196	80.33					11	4.51		20	8.20		7	2.87		244	
	THIRD				Excluded		2	20.00					1	10.00		3	30.00		4	40.00		10	
		TOTAL					198	81.15					12	4.92		23	9.43		11	4.51		244	
	FOURTH						5	41.67						Excluded		3	25.00		4	33.33		12	
		TOTAL					203	83.20								26	10.66		15	6.15		244	
	FIFTH						11	73.33								4	26.67			Excluded		15	
		TOTAL					214	87.70								30	12.30					244	
							Elected																
																							
Calivil                                                        																							
	FIRST			1	0.69		121	83.45		4	2.76		6	4.14		7	4.83		6	4.14		145	
	SECOND			2	50.00		0	0.00			Excluded		1	25.00		0	0.00		1	25.00		4	
		TOTAL		3	2.07		121	83.45					7	4.83		7	4.83		7	4.83		145	
	THIRD				Excluded		1	33.33					0	0.00		0	0.00		2	66.67		3	
		TOTAL					122	84.14					7	4.83		7	4.83		9	6.21		145	
	FOURTH						4	57.14						Excluded		1	14.29		2	28.57		7	
		TOTAL					126	86.90								8	5.52		11	7.59		145	
	FIFTH						6	54.55								5	45.45			Excluded		11	
		TOTAL					132	91.03								13	8.97					145	
							Elected																
																							
Cobram                                                         																							
	FIRST			79	2.61		1910	63.16		51	1.69		134	4.43		757	25.03		93	3.08		3024	
	SECOND			17	33.33		8	15.69			Excluded		3	5.88		10	19.61		13	25.49		51	
		TOTAL		96	3.17		1918	63.43					137	4.53		767	25.36		106	3.51		3024	
	THIRD				Excluded		45	46.88					15	15.63		9	9.38		27	28.13		96	
		TOTAL					1963	64.91					152	5.03		776	25.66		133	4.40		3024	
	FOURTH						69	45.39						Excluded		60	39.47		23	15.13		152	
		TOTAL					2032	67.20								836	27.65		156	5.16		3024	
	FIFTH						65	41.67								91	58.33			Excluded		156	
		TOTAL					2097	69.35								927	30.65					3024	
							Elected																
																							
Cohuna                                                         																							
	FIRST			42	2.18		1466	75.92		20	1.04		66	3.42		313	16.21		24	1.24		1931	
	SECOND			4	20.00		7	35.00			Excluded		2	10.00		4	20.00		3	15.00		20	
		TOTAL		46	2.38		1473	76.28					68	3.52		317	16.42		27	1.40		1931	
	THIRD				Excluded		17	36.96					9	19.57		9	19.57		11	23.91		46	
		TOTAL					1490	77.16					77	3.99		326	16.88		38	1.97		1931	
	FOURTH						48	62.34						Excluded		18	23.38		11	14.29		77	
		TOTAL					1538	79.65								344	17.81		49	2.54		1931	
	FIFTH						23	46.94								26	53.06			Excluded		49	
		TOTAL					1561	80.84								370	19.16					1931	
							Elected																
																							
Colbinabbin                                                    																							
	FIRST			1	0.40		211	84.74		7	2.81		4	1.61		24	9.64		2	0.80		249	
	SECOND			1	14.29		1	14.29			Excluded		0	0.00		1	14.29		4	57.14		7	
		TOTAL		2	0.80		212	85.14					4	1.61		25	10.04		6	2.41		249	
	THIRD				Excluded		1	50.00					0	0.00		0	0.00		1	50.00		2	
		TOTAL					213	85.54					4	1.61		25	10.04		7	2.81		249	
	FOURTH						2	50.00						Excluded		1	25.00		1	25.00		4	
		TOTAL					215	86.35								26	10.44		8	3.21		249	
	FIFTH						2	25.00								6	75.00			Excluded		8	
		TOTAL					217	87.15								32	12.85					249	
							Elected																
																							
Congupna                                                       																							
	FIRST			25	5.01		340	68.14		12	2.40		11	2.20		84	16.83		27	5.41		499	
	SECOND			4	33.33		2	16.67			Excluded		1	8.33		2	16.67		3	25.00		12	
		TOTAL		29	5.81		342	68.54					12	2.40		86	17.23		30	6.01		499	
	THIRD				Excluded		11	37.93					6	20.69		5	17.24		7	24.14		29	
		TOTAL					353	70.74					18	3.61		91	18.24		37	7.41		499	
	FOURTH						7	38.89						Excluded		6	33.33		5	27.78		18	
		TOTAL					360	72.14								97	19.44		42	8.42		499	
	FIFTH						17	40.48								25	59.52			Excluded		42	
		TOTAL					377	75.55								122	24.45					499	
							Elected																
																							
Cooma                                                          																							
	FIRST			1	0.59		152	89.94		0	0.00		6	3.55		6	3.55		4	2.37		169	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.59		152	89.94					6	3.55		6	3.55		4	2.37		169	
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL					153	90.53					6	3.55		6	3.55		4	2.37		169	
	FOURTH						5	83.33						Excluded		1	16.67		0	0.00		6	
		TOTAL					158	93.49								7	4.14		4	2.37		169	
	FIFTH						2	50.00								2	50.00			Excluded		4	
		TOTAL					160	94.67								9	5.33					169	
							Elected																
																							
Dhurringile                                                    																							
	FIRST			5	3.03		129	78.18		1	0.61		6	3.64		18	10.91		6	3.64		165	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	3.03		130	78.79					6	3.64		18	10.91		6	3.64		165	
	THIRD				Excluded		1	20.00					2	40.00		2	40.00		0	0.00		5	
		TOTAL					131	79.39					8	4.85		20	12.12		6	3.64		165	
	FOURTH						6	75.00						Excluded		2	25.00		0	0.00		8	
		TOTAL					137	83.03								22	13.33		6	3.64		165	
	FIFTH						2	33.33								4	66.67			Excluded		6	
		TOTAL					139	84.24								26	15.76					165	
							Elected																
																							
Dingee                                                         																							
	FIRST			4	1.83		168	76.71		4	1.83		18	8.22		21	9.59		4	1.83		219	
	SECOND			0	0.00		2	50.00			Excluded		0	0.00		1	25.00		1	25.00		4	
		TOTAL		4	1.83		170	77.63					18	8.22		22	10.05		5	2.28		219	
	THIRD				Excluded		3	75.00					1	25.00		0	0.00		0	0.00		4	
		TOTAL					173	79.00					19	8.68		22	10.05		5	2.28		219	
	FOURTH						13	68.42						Excluded		3	15.79		3	15.79		19	
		TOTAL					186	84.93								25	11.42		8	3.65		219	
	FIFTH						4	50.00								4	50.00			Excluded		8	
		TOTAL					190	86.76								29	13.24					219	
							Elected																
																							
Dingwall                                                       																							
	FIRST			1	0.96		85	81.73		4	3.85		10	9.62		4	3.85		0	0.00		104	
	SECOND			1	25.00		1	25.00			Excluded		0	0.00		0	0.00		2	50.00		4	
		TOTAL		2	1.92		86	82.69					10	9.62		4	3.85		2	1.92		104	
	THIRD				Excluded		0	0.00					1	50.00		0	0.00		1	50.00		2	
		TOTAL					86	82.69					11	10.58		4	3.85		3	2.88		104	
	FOURTH						7	63.64						Excluded		2	18.18		2	18.18		11	
		TOTAL					93	89.42								6	5.77		5	4.81		104	
	FIFTH						2	40.00								3	60.00			Excluded		5	
		TOTAL					95	91.35								9	8.65					104	
							Elected																
																							
Dookie                                                         																							
	FIRST			19	6.67		189	66.32		13	4.56		11	3.86		44	15.44		9	3.16		285	
	SECOND			4	30.77		0	0.00			Excluded		0	0.00		5	38.46		4	30.77		13	
		TOTAL		23	8.07		189	66.32					11	3.86		49	17.19		13	4.56		285	
	THIRD				Excluded		8	34.78					2	8.70		4	17.39		9	39.13		23	
		TOTAL					197	69.12					13	4.56		53	18.60		22	7.72		285	
	FOURTH						8	61.54						Excluded		2	15.38		3	23.08		13	
		TOTAL					205	71.93								55	19.30		25	8.77		285	
	FIFTH						10	40.00								15	60.00			Excluded		25	
		TOTAL					215	75.44								70	24.56					285	
							Elected																
																							
Echuca                                                         																							
	FIRST			59	2.82		1405	67.26		56	2.68		70	3.35		432	20.68		67	3.21		2089	
	SECOND			11	19.64		5	8.93			Excluded		4	7.14		7	12.50		29	51.79		56	
		TOTAL		70	3.35		1410	67.50					74	3.54		439	21.01		96	4.60		2089	
	THIRD				Excluded		25	35.71					8	11.43		12	17.14		25	35.71		70	
		TOTAL					1435	68.69					82	3.93		451	21.59		121	5.79		2089	
	FOURTH						48	58.54						Excluded		23	28.05		11	13.41		82	
		TOTAL					1483	70.99								474	22.69		132	6.32		2089	
	FIFTH						58	43.94								74	56.06			Excluded		132	
		TOTAL					1541	73.77								548	26.23					2089	
							Elected																
																							
Echuca Central                                                 																							
	FIRST			21	2.54		584	70.62		27	3.26		21	2.54		151	18.26		23	2.78		827	
	SECOND			7	25.93		5	18.52			Excluded		1	3.70		5	18.52		9	33.33		27	
		TOTAL		28	3.39		589	71.22					22	2.66		156	18.86		32	3.87		827	
	THIRD				Excluded		10	35.71					3	10.71		5	17.86		10	35.71		28	
		TOTAL					599	72.43					25	3.02		161	19.47		42	5.08		827	
	FOURTH						14	56.00						Excluded		7	28.00		4	16.00		25	
		TOTAL					613	74.12								168	20.31		46	5.56		827	
	FIFTH						17	36.96								29	63.04			Excluded		46	
		TOTAL					630	76.18								197	23.82					827	
							Elected																
																							
Echuca East                                                    																							
	FIRST			80	3.76		1212	56.98		47	2.21		101	4.75		598	28.11		89	4.18		2127	
	SECOND			7	14.89		12	25.53			Excluded		3	6.38		7	14.89		18	38.30		47	
		TOTAL		87	4.09		1224	57.55					104	4.89		605	28.44		107	5.03		2127	
	THIRD				Excluded		35	40.23					18	20.69		8	9.20		26	29.89		87	
		TOTAL					1259	59.19					122	5.74		613	28.82		133	6.25		2127	
	FOURTH						52	42.62						Excluded		40	32.79		30	24.59		122	
		TOTAL					1311	61.64								653	30.70		163	7.66		2127	
	FIFTH						64	39.26								99	60.74			Excluded		163	
		TOTAL					1375	64.65								752	35.35					2127	
							Elected																
																							
Echuca South                                                   																							
	FIRST			62	3.53		1126	64.05		27	1.54		66	3.75		414	23.55		63	3.58		1758	
	SECOND			3	11.11		4	14.81			Excluded		2	7.41		4	14.81		14	51.85		27	
		TOTAL		65	3.70		1130	64.28					68	3.87		418	23.78		77	4.38		1758	
	THIRD				Excluded		28	43.08					6	9.23		8	12.31		23	35.38		65	
		TOTAL					1158	65.87					74	4.21		426	24.23		100	5.69		1758	
	FOURTH						40	54.05						Excluded		22	29.73		12	16.22		74	
		TOTAL					1198	68.15								448	25.48		112	6.37		1758	
	FIFTH						47	41.96								65	58.04			Excluded		112	
		TOTAL					1245	70.82								513	29.18					1758	
							Elected																
																							
Echuca Village                                                 																							
	FIRST			13	4.66		214	76.70		3	1.08		12	4.30		32	11.47		5	1.79		279	
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL		14	5.02		214	76.70					12	4.30		33	11.83		6	2.15		279	
	THIRD				Excluded		9	64.29					0	0.00		2	14.29		3	21.43		14	
		TOTAL					223	79.93					12	4.30		35	12.54		9	3.23		279	
	FOURTH						6	50.00						Excluded		2	16.67		4	33.33		12	
		TOTAL					229	82.08								37	13.26		13	4.66		279	
	FIFTH						6	46.15								7	53.85			Excluded		13	
		TOTAL					235	84.23								44	15.77					279	
							Elected																
																							
Echuca West                                                    																							
	FIRST			21	4.83		330	75.86		4	0.92		23	5.29		49	11.26		8	1.84		435	
	SECOND			1	25.00		1	25.00			Excluded		0	0.00		1	25.00		1	25.00		4	
		TOTAL		22	5.06		331	76.09					23	5.29		50	11.49		9	2.07		435	
	THIRD				Excluded		6	27.27					4	18.18		2	9.09		10	45.45		22	
		TOTAL					337	77.47					27	6.21		52	11.95		19	4.37		435	
	FOURTH						18	66.67						Excluded		5	18.52		4	14.81		27	
		TOTAL					355	81.61								57	13.10		23	5.29		435	
	FIFTH						12	52.17								11	47.83			Excluded		23	
		TOTAL					367	84.37								68	15.63					435	
							Elected																
																							
Girgarre                                                       																							
	FIRST			12	2.85		339	80.52		6	1.43		14	3.33		41	9.74		9	2.14		421	
	SECOND			0	0.00		1	16.67			Excluded		0	0.00		2	33.33		3	50.00		6	
		TOTAL		12	2.85		340	80.76					14	3.33		43	10.21		12	2.85		421	
	THIRD				Excluded		6	50.00					2	16.67		3	25.00		1	8.33		12	
		TOTAL					346	82.19					16	3.80		46	10.93		13	3.09		421	
	FOURTH						12	75.00						Excluded		2	12.50		2	12.50		16	
		TOTAL					358	85.04								48	11.40		15	3.56		421	
	FIFTH						3	20.00								12	80.00			Excluded		15	
		TOTAL					361	85.75								60	14.25					421	
							Elected																
																							
Gowrie Street                                                  																							
	FIRST			91	4.16		1296	59.26		55	2.51		80	3.66		599	27.39		66	3.02		2187	
	SECOND			13	23.64		12	21.82			Excluded		4	7.27		10	18.18		16	29.09		55	
		TOTAL		104	4.76		1308	59.81					84	3.84		609	27.85		82	3.75		2187	
	THIRD				Excluded		48	46.15					21	20.19		6	5.77		29	27.88		104	
		TOTAL					1356	62.00					105	4.80		615	28.12		111	5.08		2187	
	FOURTH						45	42.86						Excluded		41	39.05		19	18.10		105	
		TOTAL					1401	64.06								656	30.00		130	5.94		2187	
	FIFTH						58	44.62								72	55.38			Excluded		130	
		TOTAL					1459	66.71								728	33.29					2187	
							Elected																
																							
Grahamvale                                                     																							
	FIRST			7	3.66		137	71.73		1	0.52		6	3.14		31	16.23		9	4.71		191	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		7	3.66		137	71.73					6	3.14		32	16.75		9	4.71		191	
	THIRD				Excluded		5	71.43					0	0.00		1	14.29		1	14.29		7	
		TOTAL					142	74.35					6	3.14		33	17.28		10	5.24		191	
	FOURTH						4	66.67						Excluded		2	33.33		0	0.00		6	
		TOTAL					146	76.44								35	18.32		10	5.24		191	
	FIFTH						6	60.00								4	40.00			Excluded		10	
		TOTAL					152	79.58								39	20.42					191	
							Elected																
																							
Gunbower                                                       																							
	FIRST			10	2.64		249	65.70		10	2.64		18	4.75		86	22.69		6	1.58		379	
	SECOND			2	20.00		3	30.00			Excluded		0	0.00		3	30.00		2	20.00		10	
		TOTAL		12	3.17		252	66.49					18	4.75		89	23.48		8	2.11		379	
	THIRD				Excluded		7	58.33					2	16.67		2	16.67		1	8.33		12	
		TOTAL					259	68.34					20	5.28		91	24.01		9	2.37		379	
	FOURTH						17	85.00						Excluded		0	0.00		3	15.00		20	
		TOTAL					276	72.82								91	24.01		12	3.17		379	
	FIFTH						5	41.67								7	58.33			Excluded		12	
		TOTAL					281	74.14								98	25.86					379	
							Elected																
																							
Guthrie Street                                                 																							
	FIRST			42	3.08		977	71.58		29	2.12		33	2.42		242	17.73		42	3.08		1365	
	SECOND			4	13.79		7	24.14			Excluded		2	6.90		7	24.14		9	31.03		29	
		TOTAL		46	3.37		984	72.09					35	2.56		249	18.24		51	3.74		1365	
	THIRD				Excluded		15	32.61					8	17.39		7	15.22		16	34.78		46	
		TOTAL					999	73.19					43	3.15		256	18.75		67	4.91		1365	
	FOURTH						20	46.51						Excluded		7	16.28		16	37.21		43	
		TOTAL					1019	74.65								263	19.27		83	6.08		1365	
	FIFTH						36	43.37								47	56.63			Excluded		83	
		TOTAL					1055	77.29								310	22.71					1365	
							Elected																
																							
Katamatite                                                     																							
	FIRST			10	3.17		239	75.87		4	1.27		15	4.76		43	13.65		4	1.27		315	
	SECOND			0	0.00		2	50.00			Excluded		0	0.00		0	0.00		2	50.00		4	
		TOTAL		10	3.17		241	76.51					15	4.76		43	13.65		6	1.90		315	
	THIRD				Excluded		4	40.00					0	0.00		2	20.00		4	40.00		10	
		TOTAL					245	77.78					15	4.76		45	14.29		10	3.17		315	
	FOURTH						12	80.00						Excluded		0	0.00		3	20.00		15	
		TOTAL					257	81.59								45	14.29		13	4.13		315	
	FIFTH						9	69.23								4	30.77			Excluded		13	
		TOTAL					266	84.44								49	15.56					315	
							Elected																
																							
Katunga                                                        																							
	FIRST			13	2.81		373	80.74		4	0.87		8	1.73		53	11.47		11	2.38		462	
	SECOND			1	25.00		0	0.00			Excluded		2	50.00		0	0.00		1	25.00		4	
		TOTAL		14	3.03		373	80.74					10	2.16		53	11.47		12	2.60		462	
	THIRD				Excluded		3	21.43					6	42.86		0	0.00		5	35.71		14	
		TOTAL					376	81.39					16	3.46		53	11.47		17	3.68		462	
	FOURTH						9	56.25						Excluded		3	18.75		4	25.00		16	
		TOTAL					385	83.33								56	12.12		21	4.55		462	
	FIFTH						9	42.86								12	57.14			Excluded		21	
		TOTAL					394	85.28								68	14.72					462	
							Elected																
																							
Kerang                                                         																							
	FIRST			68	3.53		1349	69.97		22	1.14		102	5.29		342	17.74		45	2.33		1928	
	SECOND			6	27.27		7	31.82			Excluded		0	0.00		4	18.18		5	22.73		22	
		TOTAL		74	3.84		1356	70.33					102	5.29		346	17.95		50	2.59		1928	
	THIRD				Excluded		42	56.76					9	12.16		8	10.81		15	20.27		74	
		TOTAL					1398	72.51					111	5.76		354	18.36		65	3.37		1928	
	FOURTH						66	59.46						Excluded		23	20.72		22	19.82		111	
		TOTAL					1464	75.93								377	19.55		87	4.51		1928	
	FIFTH						40	45.98								47	54.02			Excluded		87	
		TOTAL					1504	78.01								424	21.99					1928	
							Elected																
																							
Kerang North                                                   																							
	FIRST			23	2.67		629	72.89		15	1.74		33	3.82		152	17.61		11	1.27		863	
	SECOND			1	6.67		3	20.00			Excluded		1	6.67		3	20.00		7	46.67		15	
		TOTAL		24	2.78		632	73.23					34	3.94		155	17.96		18	2.09		863	
	THIRD				Excluded		9	37.50					1	4.17		5	20.83		9	37.50		24	
		TOTAL					641	74.28					35	4.06		160	18.54		27	3.13		863	
	FOURTH						16	45.71						Excluded		14	40.00		5	14.29		35	
		TOTAL					657	76.13								174	20.16		32	3.71		863	
	FIFTH						10	31.25								22	68.75			Excluded		32	
		TOTAL					667	77.29								196	22.71					863	
							Elected																
																							
Kialla                                                         																							
	FIRST			13	2.79		321	68.88		17	3.65		28	6.01		67	14.38		20	4.29		466	
	SECOND			3	17.65		4	23.53			Excluded		2	11.76		2	11.76		6	35.29		17	
		TOTAL		16	3.43		325	69.74					30	6.44		69	14.81		26	5.58		466	
	THIRD				Excluded		8	50.00					1	6.25		3	18.75		4	25.00		16	
		TOTAL					333	71.46					31	6.65		72	15.45		30	6.44		466	
	FOURTH						15	48.39						Excluded		8	25.81		8	25.81		31	
		TOTAL					348	74.68								80	17.17		38	8.15		466	
	FIFTH						15	39.47								23	60.53			Excluded		38	
		TOTAL					363	77.90								103	22.10					466	
							Elected																
																							
Kialla Park                                                    																							
	FIRST			10	2.00		328	65.47		21	4.19		12	2.40		119	23.75		11	2.20		501	
	SECOND			5	23.81		4	19.05			Excluded		0	0.00		6	28.57		6	28.57		21	
		TOTAL		15	2.99		332	66.27					12	2.40		125	24.95		17	3.39		501	
	THIRD				Excluded		5	33.33					1	6.67		4	26.67		5	33.33		15	
		TOTAL					337	67.27					13	2.59		129	25.75		22	4.39		501	
	FOURTH						6	46.15						Excluded		7	53.85		0	0.00		13	
		TOTAL					343	68.46								136	27.15		22	4.39		501	
	FIFTH						10	45.45								12	54.55			Excluded		22	
		TOTAL					353	70.46								148	29.54					501	
							Elected																
																							
Kialla West                                                    																							
	FIRST			16	3.62		309	69.91		12	2.71		20	4.52		79	17.87		6	1.36		442	
	SECOND			3	25.00		1	8.33			Excluded		1	8.33		1	8.33		6	50.00		12	
		TOTAL		19	4.30		310	70.14					21	4.75		80	18.10		12	2.71		442	
	THIRD				Excluded		7	36.84					3	15.79		4	21.05		5	26.32		19	
		TOTAL					317	71.72					24	5.43		84	19.00		17	3.85		442	
	FOURTH						12	50.00						Excluded		10	41.67		2	8.33		24	
		TOTAL					329	74.43								94	21.27		19	4.30		442	
	FIFTH						2	10.53								17	89.47			Excluded		19	
		TOTAL					331	74.89								111	25.11					442	
							Elected																
																							
Knight Street                                                  																							
	FIRST			53	2.71		1323	67.53		44	2.25		56	2.86		391	19.96		92	4.70		1959	
	SECOND			10	22.73		9	20.45			Excluded		2	4.55		5	11.36		18	40.91		44	
		TOTAL		63	3.22		1332	67.99					58	2.96		396	20.21		110	5.62		1959	
	THIRD				Excluded		24	38.10					4	6.35		12	19.05		23	36.51		63	
		TOTAL					1356	69.22					62	3.16		408	20.83		133	6.79		1959	
	FOURTH						28	45.16						Excluded		26	41.94		8	12.90		62	
		TOTAL					1384	70.65								434	22.15		141	7.20		1959	
	FIFTH						55	39.01								86	60.99			Excluded		141	
		TOTAL					1439	73.46								520	26.54					1959	
							Elected																
																							
Koondrook                                                      																							
	FIRST			27	3.67		513	69.70		8	1.09		34	4.62		145	19.70		9	1.22		736	
	SECOND			2	25.00		5	62.50			Excluded		0	0.00		1	12.50		0	0.00		8	
		TOTAL		29	3.94		518	70.38					34	4.62		146	19.84		9	1.22		736	
	THIRD				Excluded		18	62.07					5	17.24		4	13.79		2	6.90		29	
		TOTAL					536	72.83					39	5.30		150	20.38		11	1.49		736	
	FOURTH						17	43.59						Excluded		14	35.90		8	20.51		39	
		TOTAL					553	75.14								164	22.28		19	2.58		736	
	FIFTH						8	42.11								11	57.89			Excluded		19	
		TOTAL					561	76.22								175	23.78					736	
							Elected																
																							
Koyuga                                                         																							
	FIRST			3	2.11		112	78.87		1	0.70		9	6.34		16	11.27		1	0.70		142	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	2.11		112	78.87					9	6.34		16	11.27		2	1.41		142	
	THIRD				Excluded		0	0.00					2	66.67		0	0.00		1	33.33		3	
		TOTAL					112	78.87					11	7.75		16	11.27		3	2.11		142	
	FOURTH						5	45.45						Excluded		5	45.45		1	9.09		11	
		TOTAL					117	82.39								21	14.79		4	2.82		142	
	FIFTH						1	25.00								3	75.00			Excluded		4	
		TOTAL					118	83.10								24	16.90					142	
							Elected																
																							
Ky Valley                                                      																							
	FIRST			3	1.12		228	85.07		4	1.49		7	2.61		14	5.22		12	4.48		268	
	SECOND			2	50.00		0	0.00			Excluded		0	0.00		0	0.00		2	50.00		4	
		TOTAL		5	1.87		228	85.07					7	2.61		14	5.22		14	5.22		268	
	THIRD				Excluded		1	20.00					1	20.00		1	20.00		2	40.00		5	
		TOTAL					229	85.45					8	2.99		15	5.60		16	5.97		268	
	FOURTH						6	75.00						Excluded		1	12.50		1	12.50		8	
		TOTAL					235	87.69								16	5.97		17	6.34		268	
	FIFTH						6	35.29								11	64.71			Excluded		17	
		TOTAL					241	89.93								27	10.07					268	
							Elected																
																							
Kyabram                                                        																							
	FIRST			63	2.60		1613	66.46		52	2.14		144	5.93		489	20.15		66	2.72		2427	
	SECOND			12	23.08		13	25.00			Excluded		6	11.54		5	9.62		16	30.77		52	
		TOTAL		75	3.09		1626	67.00					150	6.18		494	20.35		82	3.38		2427	
	THIRD				Excluded		29	38.67					11	14.67		12	16.00		23	30.67		75	
		TOTAL					1655	68.19					161	6.63		506	20.85		105	4.33		2427	
	FOURTH						103	63.98						Excluded		43	26.71		15	9.32		161	
		TOTAL					1758	72.44								549	22.62		120	4.94		2427	
	FIFTH						52	43.33								68	56.67			Excluded		120	
		TOTAL					1810	74.58								617	25.42					2427	
							Elected																
																							
Kyabram West                                                   																							
