House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Corio																												
				MENHEERE-THOMPSON			O'CONNOR			GOODEN			MALESIC			HILL			TIRKOT			FAIRBROTHER			JOHNSON			
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00					0	0.00					0	0.00		0
	FIFTH			0	0.00		0	0.00					0	0.00						Excluded					0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00											0	0.00		0
	SIXTH			0	0.00		0	0.00					0	0.00												Excluded		0
		TOTAL		0	0.00		0	0.00					0	0.00														0
	SEVENTH				Excluded		0	0.00					0	0.00														0
		TOTAL					0	0.00					0	0.00														0
							Elected																					
																												
Drysdale (Corio)                                               																												
	FIRST			117	6.56		670	37.56		3	0.17		842	47.20		7	0.39		35	1.96		7	0.39		103	5.77		1784
	SECOND			0	0.00		0	0.00		2	28.57		1	14.29			Excluded		1	14.29		2	28.57		1	14.29		7
		TOTAL		117	6.56		670	37.56		5	0.28		843	47.25					36	2.02		9	0.50		104	5.83		1784
	THIRD			2	22.22		2	22.22		3	33.33		1	11.11					0	0.00			Excluded		1	11.11		9
		TOTAL		119	6.67		672	37.67		8	0.45		844	47.31					36	2.02					105	5.89		1784
	FOURTH			2	25.00		3	37.50			Excluded		0	0.00					2	25.00					1	12.50		8
		TOTAL		121	6.78		675	37.84					844	47.31					38	2.13					106	5.94		1784
	FIFTH			10	26.32		6	15.79					13	34.21						Excluded					9	23.68		38
		TOTAL		131	7.34		681	38.17					857	48.04											115	6.45		1784
	SIXTH			53	46.09		37	32.17					25	21.74												Excluded		115
		TOTAL		184	10.31		718	40.25					882	49.44														1784
	SEVENTH				Excluded		131	71.20					53	28.80														184
		TOTAL					849	47.59					935	52.41														1784
							Elected																					
																												
Fyans Park                                                     																												
	FIRST			49	4.53		321	29.67		5	0.46		636	58.78		0	0.00		10	0.92		5	0.46		56	5.18		1082
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		49	4.53		321	29.67		5	0.46		636	58.78					10	0.92		5	0.46		56	5.18		1082
	THIRD			3	60.00		0	0.00		0	0.00		1	20.00					1	20.00			Excluded		0	0.00		5
		TOTAL		52	4.81		321	29.67		5	0.46		637	58.87					11	1.02					56	5.18		1082
	FOURTH			1	20.00		1	20.00			Excluded		0	0.00					1	20.00					2	40.00		5
		TOTAL		53	4.90		322	29.76					637	58.87					12	1.11					58	5.36		1082
	FIFTH			1	8.33		1	8.33					6	50.00						Excluded					4	33.33		12
		TOTAL		54	4.99		323	29.85					643	59.43											62	5.73		1082
	SIXTH			30	48.39		15	24.19					17	27.42												Excluded		62
		TOTAL		84	7.76		338	31.24					660	61.00														1082
	SEVENTH				Excluded		58	69.05					26	30.95														84
		TOTAL					396	36.60					686	63.40														1082
							Elected																					
																												
Geelong East                                                   																												
	FIRST			227	9.05		1073	42.80		14	0.56		941	37.53		4	0.16		27	1.08		15	0.60		206	8.22		2507
	SECOND			0	0.00		0	0.00		2	50.00		0	0.00			Excluded		1	25.00		1	25.00		0	0.00		4
		TOTAL		227	9.05		1073	42.80		16	0.64		941	37.53					28	1.12		16	0.64		206	8.22		2507
	THIRD			1	6.25		2	12.50		3	18.75		2	12.50					1	6.25			Excluded		7	43.75		16
		TOTAL		228	9.09		1075	42.88		19	0.76		943	37.61					29	1.16					213	8.50		2507
	FOURTH			2	10.53		6	31.58			Excluded		2	10.53					3	15.79					6	31.58		19
		TOTAL		230	9.17		1081	43.12					945	37.69					32	1.28					219	8.74		2507
	FIFTH			4	12.50		6	18.75					12	37.50						Excluded					10	31.25		32
		TOTAL		234	9.33		1087	43.36					957	38.17											229	9.13		2507
	SIXTH			118	51.53		74	32.31					37	16.16												Excluded		229
		TOTAL		352	14.04		1161	46.31					994	39.65														2507
	SEVENTH				Excluded		257	73.01					95	26.99														352
		TOTAL					1418	56.56					1089	43.44														2507
							Elected																					
																												
Geelong West                                                   																												
	FIRST			280	9.55		1419	48.40		38	1.30		930	31.72		6	0.20		41	1.40		11	0.38		207	7.06		2932
	SECOND			1	16.67		0	0.00		2	33.33		1	16.67			Excluded		1	16.67		1	16.67		0	0.00		6
		TOTAL		281	9.58		1419	48.40		40	1.36		931	31.75					42	1.43		12	0.41		207	7.06		2932
	THIRD			0	0.00		4	33.33		3	25.00		1	8.33					2	16.67			Excluded		2	16.67		12
		TOTAL		281	9.58		1423	48.53		43	1.47		932	31.79					44	1.50					209	7.13		2932
	FOURTH			6	13.95		10	23.26			Excluded		2	4.65					2	4.65					23	53.49		43
		TOTAL		287	9.79		1433	48.87					934	31.86					46	1.57					232	7.91		2932
	FIFTH			4	8.70		9	19.57					21	45.65						Excluded					12	26.09		46
		TOTAL		291	9.92		1442	49.18					955	32.57											244	8.32		2932
	SIXTH			118	48.36		101	41.39					25	10.25												Excluded		244
		TOTAL		409	13.95		1543	52.63					980	33.42														2932
	SEVENTH				Excluded		317	77.51					92	22.49														409
		TOTAL					1860	63.44					1072	36.56														2932
							Elected																					
																												
Hamlyn Heights                                                 																												
	FIRST			322	8.90		1711	47.28		34	0.94		1386	38.30		4	0.11		42	1.16		19	0.53		101	2.79		3619
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00			Excluded		1	25.00		1	25.00		1	25.00		4
		TOTAL		322	8.90		1712	47.31		34	0.94		1386	38.30					43	1.19		20	0.55		102	2.82		3619
	THIRD			1	5.00		2	10.00		1	5.00		7	35.00					3	15.00			Excluded		6	30.00		20
		TOTAL		323	8.93		1714	47.36		35	0.97		1393	38.49					46	1.27					108	2.98		3619
	FOURTH			3	8.57		11	31.43			Excluded		4	11.43					3	8.57					14	40.00		35
		TOTAL		326	9.01		1725	47.67					1397	38.60					49	1.35					122	3.37		3619
	FIFTH			4	8.16		12	24.49					18	36.73						Excluded					15	30.61		49
		TOTAL		330	9.12		1737	48.00					1415	39.10											137	3.79		3619
	SIXTH			56	40.88		58	42.34					23	16.79												Excluded		137
		TOTAL		386	10.67		1795	49.60					1438	39.73														3619
	SEVENTH				Excluded		275	71.24					111	28.76														386
		TOTAL					2070	57.20					1549	42.80														3619
							Elected																					
																												
Herne Hill                                                     																												
	FIRST			90	7.31		623	50.57		4	0.32		447	36.28		3	0.24		18	1.46		5	0.41		42	3.41		1232
	SECOND			0	0.00		1	33.33		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		90	7.31		624	50.65		5	0.41		448	36.36					18	1.46		5	0.41		42	3.41		1232
	THIRD			0	0.00		0	0.00		1	20.00		1	20.00					2	40.00			Excluded		1	20.00		5
		TOTAL		90	7.31		624	50.65		6	0.49		449	36.44					20	1.62					43	3.49		1232
	FOURTH			0	0.00		2	33.33			Excluded		2	33.33					1	16.67					1	16.67		6
		TOTAL		90	7.31		626	50.81					451	36.61					21	1.70					44	3.57		1232
	FIFTH			4	19.05		5	23.81					5	23.81						Excluded					7	33.33		21
		TOTAL		94	7.63		631	51.22					456	37.01											51	4.14		1232
	SIXTH			31	60.78		14	27.45					6	11.76												Excluded		51
		TOTAL		125	10.15		645	52.35					462	37.50														1232
	SEVENTH				Excluded		92	73.60					33	26.40														125
		TOTAL					737	59.82					495	40.18														1232
							Elected																					
																												
Kardinia Park                                                  																												
	FIRST			85	9.20		442	47.84		4	0.43		321	34.74		3	0.32		9	0.97		4	0.43		56	6.06		924
	SECOND			1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		86	9.31		442	47.84		4	0.43		323	34.96					9	0.97		4	0.43		56	6.06		924
	THIRD			2	50.00		0	0.00		1	25.00		0	0.00					0	0.00			Excluded		1	25.00		4
		TOTAL		88	9.52		442	47.84		5	0.54		323	34.96					9	0.97					57	6.17		924
	FOURTH			0	0.00		2	40.00			Excluded		0	0.00					0	0.00					3	60.00		5
		TOTAL		88	9.52		444	48.05					323	34.96					9	0.97					60	6.49		924
	FIFTH			1	11.11		2	22.22					5	55.56						Excluded					1	11.11		9
		TOTAL		89	9.63		446	48.27					328	35.50											61	6.60		924
	SIXTH			33	54.10		20	32.79					8	13.11												Excluded		61
		TOTAL		122	13.20		466	50.43					336	36.36														924
	SEVENTH				Excluded		93	76.23					29	23.77														122
		TOTAL					559	60.50					365	39.50														924
							Elected																					
																												
Lara                                                           																												
	FIRST			260	7.60		1469	42.92		19	0.56		1377	40.23		6	0.18		87	2.54		61	1.78		144	4.21		3423
	SECOND			0	0.00		0	0.00		1	16.67		2	33.33			Excluded		1	16.67		0	0.00		2	33.33		6
		TOTAL		260	7.60		1469	42.92		20	0.58		1379	40.29					88	2.57		61	1.78		146	4.27		3423
	THIRD			3	4.92		7	11.48		4	6.56		38	62.30					1	1.64			Excluded		8	13.11		61
		TOTAL		263	7.68		1476	43.12		24	0.70		1417	41.40					89	2.60					154	4.50		3423
	FOURTH			3	12.50		10	41.67			Excluded		7	29.17					2	8.33					2	8.33		24
		TOTAL		266	7.77		1486	43.41					1424	41.60					91	2.66					156	4.56		3423
	FIFTH			10	10.99		17	18.68					51	56.04						Excluded					13	14.29		91
		TOTAL		276	8.06		1503	43.91					1475	43.09											169	4.94		3423
	SIXTH			91	53.85		45	26.63					33	19.53												Excluded		169
		TOTAL		367	10.72		1548	45.22					1508	44.05														3423
	SEVENTH				Excluded		263	71.66					104	28.34														367
		TOTAL					1811	52.91					1612	47.09														3423
							Elected																					
																												
Lara Central                                                   																												
	FIRST			184	7.32		1084	43.12		9	0.36		1035	41.17		13	0.52		58	2.31		37	1.47		94	3.74		2514
	SECOND			0	0.00		1	7.69		4	30.77		3	23.08			Excluded		1	7.69		1	7.69		3	23.08		13
		TOTAL		184	7.32		1085	43.16		13	0.52		1038	41.29					59	2.35		38	1.51		97	3.86		2514
	THIRD			4	10.53		1	2.63		3	7.89		23	60.53					2	5.26			Excluded		5	13.16		38
		TOTAL		188	7.48		1086	43.20		16	0.64		1061	42.20					61	2.43					102	4.06		2514
	FOURTH			3	18.75		5	31.25			Excluded		2	12.50					4	25.00					2	12.50		16
		TOTAL		191	7.60		1091	43.40					1063	42.28					65	2.59					104	4.14		2514
	FIFTH			6	9.23		6	9.23					41	63.08						Excluded					12	18.46		65
		TOTAL		197	7.84		1097	43.64					1104	43.91											116	4.61		2514
	SIXTH			52	44.83		32	27.59					32	27.59												Excluded		116
		TOTAL		249	9.90		1129	44.91					1136	45.19														2514
	SEVENTH				Excluded		179	71.89					70	28.11														249
		TOTAL					1308	52.03					1206	47.97														2514
							Elected																					
																												
Leopold                                                        																												
	FIRST			196	7.78		923	36.63		12	0.48		1244	49.37		9	0.36		32	1.27		8	0.32		96	3.81		2520
	SECOND			0	0.00		0	0.00		3	33.33		3	33.33			Excluded		2	22.22		1	11.11		0	0.00		9
		TOTAL		196	7.78		923	36.63		15	0.60		1247	49.48					34	1.35		9	0.36		96	3.81		2520
	THIRD			0	0.00		1	11.11		2	22.22		0	0.00					1	11.11			Excluded		5	55.56		9
		TOTAL		196	7.78		924	36.67		17	0.67		1247	49.48					35	1.39					101	4.01		2520
	FOURTH			6	35.29		1	5.88			Excluded		3	17.65					3	17.65					4	23.53		17
		TOTAL		202	8.02		925	36.71					1250	49.60					38	1.51					105	4.17		2520
	FIFTH			7	18.42		10	26.32					11	28.95						Excluded					10	26.32		38
		TOTAL		209	8.29		935	37.10					1261	50.04											115	4.56		2520
	SIXTH			73	63.48		25	21.74					17	14.78												Excluded		115
		TOTAL		282	11.19		960	38.10					1278	50.71														2520
	SEVENTH				Excluded		187	66.31					95	33.69														282
		TOTAL					1147	45.52					1373	54.48														2520
							Elected																					
																												
Leopold South                                                  																												
	FIRST			87	5.68		575	37.53		6	0.39		760	49.61		1	0.07		28	1.83		6	0.39		69	4.50		1532
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		87	5.68		575	37.53		6	0.39		761	49.67					28	1.83		6	0.39		69	4.50		1532
	THIRD			0	0.00		1	16.67		0	0.00		4	66.67					0	0.00			Excluded		1	16.67		6
		TOTAL		87	5.68		576	37.60		6	0.39		765	49.93					28	1.83					70	4.57		1532
	FOURTH			2	33.33		3	50.00			Excluded		0	0.00					1	16.67					0	0.00		6
		TOTAL		89	5.81		579	37.79					765	49.93					29	1.89					70	4.57		1532
	FIFTH			4	13.79		8	27.59					9	31.03						Excluded					8	27.59		29
		TOTAL		93	6.07		587	38.32					774	50.52											78	5.09		1532
	SIXTH			38	48.72		22	28.21					18	23.08												Excluded		78
		TOTAL		131	8.55		609	39.75					792	51.70														1532
	SEVENTH				Excluded		93	70.99					38	29.01														131
		TOTAL					702	45.82					830	54.18														1532
							Elected																					
																												
Manifold Heights                                               																												
	FIRST			177	9.67		774	42.27		4	0.22		766	41.84		1	0.05		25	1.37		6	0.33		78	4.26		1831
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		178	9.72		774	42.27		4	0.22		766	41.84					25	1.37		6	0.33		78	4.26		1831
	THIRD			1	16.67		0	0.00		2	33.33		2	33.33					0	0.00			Excluded		1	16.67		6
		TOTAL		179	9.78		774	42.27		6	0.33		768	41.94					25	1.37					79	4.31		1831
	FOURTH			3	50.00		1	16.67			Excluded		1	16.67					0	0.00					1	16.67		6
		TOTAL		182	9.94		775	42.33					769	42.00					25	1.37					80	4.37		1831
	FIFTH			8	32.00		8	32.00					1	4.00						Excluded					8	32.00		25
		TOTAL		190	10.38		783	42.76					770	42.05											88	4.81		1831
	SIXTH			55	62.50		23	26.14					10	11.36												Excluded		88
		TOTAL		245	13.38		806	44.02					780	42.60														1831
	SEVENTH				Excluded		160	65.31					85	34.69														245
		TOTAL					966	52.76					865	47.24														1831
							Elected																					
																												
Melbourne (Corio)                                              																												
	FIRST			10	17.54		10	17.54		1	1.75		29	50.88		0	0.00		1	1.75		1	1.75		5	8.77		57
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		10	17.54		10	17.54		1	1.75		29	50.88					1	1.75		1	1.75		5	8.77		57
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1
		TOTAL		10	17.54		11	19.30		1	1.75		29	50.88					1	1.75					5	8.77		57
	FOURTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00					0	0.00		1
		TOTAL		10	17.54		12	21.05					29	50.88					1	1.75					5	8.77		57
	FIFTH			0	0.00		0	0.00					1	100.00						Excluded					0	0.00		1
		TOTAL		10	17.54		12	21.05					30	52.63											5	8.77		57
	SIXTH			3	60.00		1	20.00					1	20.00												Excluded		5
