House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Maribyrnong (83750)																																
	KOZLOWSKI			BECKWITH			BARCLAY			# SERCOMBE			WILLIAMS			FORMAL			INFORMAL			TOTAL										
	Andre			Jules			Grahame			Bob			Charles											Two Candidate Preferred								
	CEC			GRN			LP			ALP			DEM												 BARCLAY LP			# SERCOMBE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Special Hospitals	0	0.00		0	0.00		14	48.28		15	51.72		0	0.00		29	96.67		1	3.33		30	0.04		14	48.28		15	51.72			
Total Ordinary	1509	2.35		2301	3.58		17608	27.36		39089	60.75		3841	5.97		64348	94.37		3836	5.63		68184	86.17		20584	31.99		43764	68.01			
ABSENT	179	3.78		368	7.77		1333	28.15		2475	52.27		380	8.03		4735	94.40		281	5.60		5016	6.34		1750	36.96		2985	63.04			
POSTAL	28	1.41		49	2.47		698	35.16		1090	54.91		120	6.05		1985	98.66		27	1.34		2012	2.54		763	38.44		1222	61.56			
PRE_POLL	110	3.27		150	4.46		1002	29.76		1901	56.46		204	6.06		3367	96.09		137	3.91		3504	4.43		1227	36.44		2140	63.56			
PROVISIONAL	14	3.68		10	2.63		64	16.84		270	71.05		22	5.79		380	93.14		28	6.86		408	0.52		81	21.32		299	78.68			
Division Summary	1840	2.46		2878	3.85		20705	27.67		44825	59.91		4567	6.10		74815	94.55		4309	5.45		79124	94.48		24405	32.62		50410	67.38			
																																
																																
																																
																																
																													
