House of Representatives - 2001 Election: Victoria																
Distribution of Preferences 																
By Polling Place																
Bruce																
				COLLIS			STEEL			GRIFFIN			ROBYNS			
	THIRD						128	34.78		240	65.22			Excluded		368
		TOTAL					1161	29.24		2809	70.76					3970
										Elected						
																
The Glen                                                       																
	FIRST			91	4.39		865	41.77		956	46.16		159	7.68		2071
	SECOND				Excluded		14	15.38		21	23.08		56	61.54		91
		TOTAL					879	42.44		977	47.18		215	10.38		2071
	THIRD						56	26.05		159	73.95			Excluded		215
		TOTAL					935	45.15		1136	54.85					2071
										Elected						
																
Waverley Meadows                                               																
	FIRST			65	3.32		904	46.15		879	44.87		111	5.67		1959
	SECOND				Excluded		19	29.23		18	27.69		28	43.08		65
		TOTAL					923	47.12		897	45.79		139	7.10		1959
	THIRD						45	32.37		94	67.63			Excluded		139
		TOTAL					968	49.41		991	50.59					1959
										Elected						
																
Wayburne                                                       																
	FIRST			79	6.07		667	51.27		471	36.20		84	6.46		1301
	SECOND				Excluded		20	25.32		19	24.05		40	50.63		79
		TOTAL					687	52.81		490	37.66		124	9.53		1301
	THIRD						41	33.06		83	66.94			Excluded		124
		TOTAL					728	55.96		573	44.04					1301
										Elected						
																
Wheelers Hill                                                  																
	FIRST			64	3.57		1069	59.69		560	31.27		98	5.47		1791
	SECOND				Excluded		12	18.75		14	21.88		38	59.38		64
		TOTAL					1081	60.36		574	32.05		136	7.59		1791
	THIRD						50	36.76		86	63.24			Excluded		136
		TOTAL					1131	63.15		660	36.85					1791
										Elected						
																
Wheelers Hill South                                            																
	FIRST			82	2.82		1512	52.03		1134	39.02		178	6.13		2906
	SECOND				Excluded		28	34.15		14	17.07		40	48.78		82
		TOTAL					1540	52.99		1148	39.50		218	7.50		2906
	THIRD						80	36.70		138	63.30			Excluded		218
		TOTAL					1620	55.75		1286	44.25					2906
										Elected						
																
Whiteside                                                      																
	FIRST			30	2.94		212	20.80		744	73.01		33	3.24		1019
	SECOND				Excluded		14	46.67		5	16.67		11	36.67		30
		TOTAL					226	22.18		749	73.50		44	4.32		1019
	THIRD						10	22.73		34	77.27			Excluded		44
		TOTAL					236	23.16		783	76.84					1019
										Elected						
																
Wooranna Park                                                  																
	FIRST			63	3.21		567	28.87		1200	61.10		134	6.82		1964
	SECOND				Excluded		21	33.33		15	23.81		27	42.86		63
		TOTAL					588	29.94		1215	61.86		161	8.20		1964
	THIRD						55	34.16		106	65.84			Excluded		161
		TOTAL					643	32.74		1321	67.26					1964
										Elected						
																
Yarraman Park                                                  																
	FIRST			58	4.31		366	27.17		816	60.58		107	7.94		1347
	SECOND				Excluded		26	44.83		0	0.00		32	55.17		58
		TOTAL					392	29.10		816	60.58		139	10.32		1347
	THIRD						29	20.86		110	79.14			Excluded		139
		TOTAL					421	31.25		926	68.75					1347
										Elected						
																
Special Hospital Team 1                                        																
	FIRST			0	0.00		6	50.00		4	33.33		2	16.67		12
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL					6	50.00		4	33.33		2	16.67		12
	THIRD						1	50.00		1	50.00			Excluded		2
		TOTAL					7	58.33		5	41.67					12
										Elected						
																
ABSENT																
	FIRST			409	8.50		1764	36.65		2177	45.23		463	9.62		4813
	SECOND				Excluded		114	27.87		112	27.38		183	44.74		409
		TOTAL					1878	39.02		2289	47.56		646	13.42		4813
	THIRD						219	33.90		427	66.10			Excluded		646
		TOTAL					2097	43.57		2716	56.43					4813
										Elected						
																
POSTAL																
	FIRST			127	3.14		1864	46.08		1865	46.11		189	4.67		4045
	SECOND				Excluded		38	29.92		34	26.77		55	43.31		127
		TOTAL					1902	47.02		1899	46.95		244	6.03		4045
	THIRD						77	31.56		167	68.44			Excluded		244
		TOTAL					1979	48.92		2066	51.08					4045
										Elected						
																
PRE POLL																
	FIRST			158	5.41		1243	42.60		1310	44.89		207	7.09		2918
	SECOND				Excluded		50	31.65		41	25.95		67	42.41		158
		TOTAL					1293	44.31		1351	46.30		274	9.39		2918
	THIRD						110	40.15		164	59.85			Excluded		274
		TOTAL					1403	48.08		1515	51.92					2918
										Elected						
																
PROVISIONAL																
	FIRST			19	5.38		95	26.91		220	62.32		19	5.38		353
	SECOND				Excluded		7	36.84		6	31.58		6	31.58		19
		TOTAL					102	28.90		226	64.02		25	7.08		353
	THIRD						0	0.00		25	100.00			Excluded		25
		TOTAL					102	28.90		251	71.10					353
										Elected						
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
