House of Representatives - 2001 Election: Victoria																
Distribution of Preferences 																
By Polling Place																
Deakin																
				AYLIFFE			BUCKINGHAM			EVANS			BARRESI			
	FIRST			327	7.57		1842	42.62		319	7.38		1834	42.43		4322
	SECOND			196	61.44		94	29.47			Excluded		29	9.09		319
		TOTAL		523	12.10		1936	44.79					1863	43.11		4322
	THIRD				Excluded		365	69.79					158	30.21		523
		TOTAL					2301	53.24					2021	46.76		4322
													Elected			
																
Burwood Heights                                                																
	FIRST			266	7.51		1699	47.98		121	3.42		1455	41.09		3541
	SECOND			67	55.37		38	31.40			Excluded		16	13.22		121
		TOTAL		333	9.40		1737	49.05					1471	41.54		3541
	THIRD				Excluded		208	62.46					125	37.54		333
		TOTAL					1945	54.93					1596	45.07		3541
													Elected			
																
Cheong Park                                                    																
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00		0
	THIRD				Excluded		0	0.00					0	0.00		0
		TOTAL					0	0.00					0	0.00		0
													Elected			
																
Croydon South                                                  																
	FIRST			213	8.35		972	38.10		105	4.12		1261	49.43		2551
	SECOND			63	60.00		27	25.71			Excluded		15	14.29		105
		TOTAL		276	10.82		999	39.16					1276	50.02		2551
	THIRD				Excluded		175	63.41					101	36.59		276
		TOTAL					1174	46.02					1377	53.98		2551
													Elected			
																
Croydon Town                                                   																
	FIRST			111	7.86		463	32.79		98	6.94		740	52.41		1412
	SECOND			53	54.08		31	31.63			Excluded		14	14.29		98
		TOTAL		164	11.61		494	34.99					754	53.40		1412
	THIRD				Excluded		109	66.46					55	33.54		164
		TOTAL					603	42.71					809	57.29		1412
													Elected			
																
Eastwood                                                       																
	FIRST			189	8.26		867	37.89		200	8.74		1032	45.10		2288
	SECOND			117	58.50		67	33.50			Excluded		16	8.00		200
		TOTAL		306	13.37		934	40.82					1048	45.80		2288
	THIRD				Excluded		214	69.93					92	30.07		306
		TOTAL					1148	50.17					1140	49.83		2288
													Elected			
																
Eley Park                                                      																
	FIRST			180	7.91		1090	47.89		90	3.95		916	40.25		2276
	SECOND			51	56.67		28	31.11			Excluded		11	12.22		90
		TOTAL		231	10.15		1118	49.12					927	40.73		2276
	THIRD				Excluded		153	66.23					78	33.77		231
		TOTAL					1271	55.84					1005	44.16		2276
													Elected			
																
Forest Hill                                                    																
	FIRST			78	6.24		492	39.39		73	5.84		606	48.52		1249
	SECOND			36	49.32		31	42.47			Excluded		6	8.22		73
		TOTAL		114	9.13		523	41.87					612	49.00		1249
	THIRD				Excluded		92	80.70					22	19.30		114
		TOTAL					615	49.24					634	50.76		1249
													Elected			
																
Glen Park                                                      																
	FIRST			47	7.37		298	46.71		28	4.39		265	41.54		638
	SECOND			14	50.00		10	35.71			Excluded		4	14.29		28
		TOTAL		61	9.56		308	48.28					269	42.16		638
	THIRD				Excluded		41	67.21					20	32.79		61
		TOTAL					349	54.70					289	45.30		638
													Elected			
																
Heatherdale                                                    																
	FIRST			130	9.12		566	39.72		107	7.51		622	43.65		1425
	SECOND			63	58.88		29	27.10			Excluded		15	14.02		107
		TOTAL		193	13.54		595	41.75					637	44.70		1425
	THIRD				Excluded		138	71.50					55	28.50		193
		TOTAL					733	51.44					692	48.56		1425
													Elected			
																
Heathmont (Deakin)                                             																
	FIRST			99	8.49		443	37.99		88	7.55		536	45.97		1166
	SECOND			49	55.68		24	27.27			Excluded		15	17.05		88
		TOTAL		148	12.69		467	40.05					551	47.26		1166
	THIRD				Excluded		100	67.57					48	32.43		148
		TOTAL					567	48.63					599	51.37		1166
													Elected			
																
Inala Village                                                  																
	FIRST			13	3.21		145	35.80		8	1.98		239	59.01		405
	SECOND			2	25.00		3	37.50			Excluded		3	37.50		8
		TOTAL		15	3.70		148	36.54					242	59.75		405
	THIRD				Excluded		12	80.00					3	20.00		15
		TOTAL					160	39.51					245	60.49		405
													Elected			
																
Kalinda                                                        																
	FIRST			133	7.71		538	31.21		88	5.10		965	55.97		1724
	SECOND			52	59.09		26	29.55			Excluded		10	11.36		88
		TOTAL		185	10.73		564	32.71					975	56.55		1724
	THIRD				Excluded		120	64.86					65	35.14		185
		TOTAL					684	39.68					1040	60.32		1724
													Elected			
																
Laburnum                                                       																
	FIRST			113	6.59		607	35.41		163	9.51		831	48.48		1714
	SECOND			105	64.42		45	27.61			Excluded		13	7.98		163
		TOTAL		218	12.72		652	38.04					844	49.24		1714
	THIRD				Excluded		160	73.39					58	26.61		218
		TOTAL					812	47.37					902	52.63		1714
													Elected			
																
Melbourne (Deakin)                                             																
	FIRST			7	7.78		32	35.56		12	13.33		39	43.33		90
	SECOND			7	58.33		2	16.67			Excluded		3	25.00		12
		TOTAL		14	15.56		34	37.78					42	46.67		90
	THIRD				Excluded		11	78.57					3	21.43		14
		TOTAL					45	50.00					45	50.00		90
													Elected			
																
Mitcham                                                        																
	FIRST			118	8.07		598	40.87		90	6.15		657	44.91		1463
	SECOND			46	51.11		36	40.00			Excluded		8	8.89		90
		TOTAL		164	11.21		634	43.34					665	45.45		1463
	THIRD				Excluded		100	60.98					64	39.02		164
		TOTAL					734	50.17					729	49.83		1463
													Elected			
																
Mitcham North                                                  																
	FIRST			198	8.99		898	40.78		149	6.77		957	43.46		2202
	SECOND			90	60.40		43	28.86			Excluded		16	10.74		149
		TOTAL		288	13.08		941	42.73					973	44.19		2202
	THIRD				Excluded		196	68.06					92	31.94		288
		TOTAL					1137	51.63					1065	48.37		2202
													Elected			
																
Mullum                                                         																
	FIRST			117	8.05		501	34.46		72	4.95		764	52.54		1454
	SECOND			46	63.89		22	30.56			Excluded		4	5.56		72
		TOTAL		163	11.21		523	35.97					768	52.82		1454
	THIRD				Excluded		112	68.71					51	31.29		163
		TOTAL					635	43.67					819	56.33		1454
													Elected			
																
Norwood                                                        																
	FIRST			78	7.02		381	34.29		51	4.59		601	54.10		1111
	SECOND			26	50.98		16	31.37			Excluded		9	17.65		51
		TOTAL		104	9.36		397	35.73					610	54.91		1111
	THIRD				Excluded		67	64.42					37	35.58		104
		TOTAL					464	41.76					647	58.24		1111
													Elected			
																
Nunawading                                                     																
	FIRST			135	7.36		860	46.89		113	6.16		726	39.59		1834
	SECOND			74	65.49		33	29.20			Excluded		6	5.31		113
		TOTAL		209	11.40		893	48.69					732	39.91		1834
	THIRD				Excluded		132	63.16					77	36.84		209
		TOTAL					1025	55.89					809	44.11		1834
													Elected			
																
Nunawading South                                               																
	FIRST			237	9.14		1016	39.20		163	6.29		1176	45.37		2592
	SECOND			99	60.74		46	28.22			Excluded		18	11.04		163
		TOTAL		336	12.96		1062	40.97					1194	46.06		2592
	THIRD				Excluded		225	66.96					111	33.04		336
		TOTAL					1287	49.65					1305	50.35		2592
													Elected			
																
Parkwood                                                       																
	FIRST			85	6.90		391	31.76		50	4.06		705	57.27		1231
	SECOND			24	48.00		16	32.00			Excluded		10	20.00		50
		TOTAL		109	8.85		407	33.06					715	58.08		1231
	THIRD				Excluded		74	67.89					35	32.11		109
		TOTAL					481	39.07					750	60.93		1231
													Elected			
																
Rangeview                                                      																
	FIRST			157	8.37		637	33.97		141	7.52		940	50.13		1875
	SECOND			92	65.25		43	30.50			Excluded		6	4.26		141
		TOTAL		249	13.28		680	36.27					946	50.45		1875
	THIRD				Excluded		172	69.08					77	30.92		249
		TOTAL					852	45.44					1023	54.56		1875
													Elected			
																
Ringwood                                                       																
	FIRST			131	8.21		634	39.75		73	4.58		757	47.46		1595
	SECOND			31	42.47		28	38.36			Excluded		14	19.18		73
		TOTAL		162	10.16		662	41.50					771	48.34		1595
	THIRD				Excluded		100	61.73					62	38.27		162
		TOTAL					762	47.77					833	52.23		1595
													Elected			
																
Ringwood East                                                  																
	FIRST			129	8.06		644	40.22		71	4.43		757	47.28		1601
	SECOND			35	49.30		23	32.39			Excluded		13	18.31		71
		TOTAL		164	10.24		667	41.66					770	48.09		1601
	THIRD				Excluded		112	68.29					52	31.71		164
		TOTAL					779	48.66					822	51.34		1601
													Elected			
																
Ringwood Heights                                               																
	FIRST			118	7.67		503	32.68		135	8.77		783	50.88		1539
	SECOND			69	51.11		51	37.78			Excluded		15	11.11		135
		TOTAL		187	12.15		554	36.00					798	51.85		1539
	THIRD				Excluded		137	73.26					50	26.74		187
		TOTAL					691	44.90					848	55.10		1539
													Elected			
																
Ringwood North (Deakin)                                        																
	FIRST			79	6.06		396	30.37		46	3.53		783	60.05		1304
	SECOND			27	58.70		11	23.91			Excluded		8	17.39		46
		TOTAL		106	8.13		407	31.21					791	60.66		1304
	THIRD				Excluded		66	62.26					40	37.74		106
		TOTAL					473	36.27					831	63.73		1304
													Elected			
																
Ringwood South                                                 																
	FIRST			226	7.99		1140	40.31		187	6.61		1275	45.08		2828
	SECOND			120	64.17		50	26.74			Excluded		17	9.09		187
		TOTAL		346	12.23		1190	42.08					1292	45.69		2828
	THIRD				Excluded		233	67.34					113	32.66		346
		TOTAL					1423	50.32					1405	49.68		2828
													Elected			
																
Springview                                                     																
	FIRST			191	8.98		882	41.45		105	4.93		950	44.64		2128
	SECOND			69	65.71		30	28.57			Excluded		6	5.71		105
		TOTAL		260	12.22		912	42.86					956	44.92		2128
	THIRD				Excluded		182	70.00					78	30.00		260
		TOTAL					1094	51.41					1034	48.59		2128
													Elected			
																
Tally Ho (Deakin)                                              																
	FIRST			86	5.58		675	43.80		61	3.96		719	46.66		1541
	SECOND			31	50.82		23	37.70			Excluded		7	11.48		61
		TOTAL		117	7.59		698	45.30					726	47.11		1541
	THIRD				Excluded		77	65.81					40	34.19		117
		TOTAL					775	50.29					766	49.71		1541
													Elected			
																
Tinternvale                                                    																
	FIRST			144	7.82		672	36.48		118	6.41		908	49.29		1842
	SECOND			65	55.08		33	27.97			Excluded		20	16.95		118
		TOTAL		209	11.35		705	38.27					928	50.38		1842
	THIRD				Excluded		132	63.16					77	36.84		209
		TOTAL					837	45.44					1005	54.56		1842
													Elected			
																
Vermont North                                                  																
	FIRST			82	6.57		447	35.82		70	5.61		649	52.00		1248
	SECOND			32	45.71		30	42.86			Excluded		8	11.43		70
		TOTAL		114	9.13		477	38.22					657	52.64		1248
	THIRD				Excluded		72	63.16					42	36.84		114
		TOTAL					549	43.99					699	56.01		1248
													Elected			
																
Special Hospital Team 1                                        																
	FIRST			3	9.09		8	24.24		1	3.03		21	63.64		33
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		1
		TOTAL		4	12.12		8	24.24					21	63.64		33
	THIRD				Excluded		3	75.00					1	25.00		4
		TOTAL					11	33.33					22	66.67		33
													Elected			
																
Special Hospital Team 2                                        																
	FIRST			9	4.09		73	33.18		5	2.27		133	60.45		220
	SECOND			0	0.00		4	80.00			Excluded		1	20.00		5
		TOTAL		9	4.09		77	35.00					134	60.91		220
	THIRD				Excluded		9	100.00					0	0.00		9
		TOTAL					86	39.09					134	60.91		220
													Elected			
																
ABSENT																
	FIRST			560	10.94		1802	35.22		527	10.30		2228	43.54		5117
	SECOND			311	59.01		143	27.13			Excluded		73	13.85		527
		TOTAL		871	17.02		1945	38.01					2301	44.97		5117
	THIRD				Excluded		611	70.15					260	29.85		871
		TOTAL					2556	49.95					2561	50.05		5117
													Elected			
																
POSTAL																
	FIRST			239	5.48		1582	36.29		183	4.20		2355	54.03		4359
	SECOND			96	52.46		70	38.25			Excluded		17	9.29		183
		TOTAL		335	7.69		1652	37.90					2372	54.42		4359
	THIRD				Excluded		225	67.16					110	32.84		335
		TOTAL					1877	43.06					2482	56.94		4359
													Elected			
																
PRE POLL																
	FIRST			269	8.41		1128	35.25		222	6.94		1581	49.41		3200
	SECOND			119	53.60		72	32.43			Excluded		31	13.96		222
		TOTAL		388	12.13		1200	37.50					1612	50.38		3200
	THIRD				Excluded		265	68.30					123	31.70		388
		TOTAL					1465	45.78					1735	54.22		3200
													Elected			
																
PROVISIONAL																
	FIRST			33	11.07		129	43.29		19	6.38		117	39.26		298
	SECOND			12	63.16		6	31.58			Excluded		1	5.26		19
		TOTAL		45	15.10		135	45.30					118	39.60		298
	THIRD				Excluded		33	73.33					12	26.67		45
		TOTAL					168	56.38					130	43.62		298
													Elected			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
