House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP																													
By Candidate by Polling Place																													

Casey (85278)																													
	JOYCE			# SMITH			LEACH			MCKENZIE			FORMAL			INFORMAL			TOTAL										
	Tom			Tony			Lorraine			David												Two Candidate Preferred							
	DEM			LP			GRN			ALP												# SMITH LP			 MCKENZIE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Mooroolbark	216	9.16		1075	45.59		132	5.60		935	39.65		2358	96.32		90	3.68		2448	3.00		1212	51.40		1146	48.60			
Mooroolbark East	160	8.41		962	50.58		114	5.99		666	35.02		1902	96.01		79	3.99		1981	2.43		1055	55.47		847	44.53			
Mooroolbark South	158	7.81		1054	52.13		124	6.13		686	33.93		2022	96.24		79	3.76		2101	2.57		1156	57.17		866	42.83			
Mount Dandenong (Casey)	57	9.22		225	36.41		108	17.48		228	36.89		618	96.71		21	3.29		639	0.78		262	42.39		356	57.61			
Mount Evelyn	90	9.37		437	45.47		83	8.64		351	36.52		961	95.72		43	4.28		1004	1.23		494	51.40		467	48.60			
Rolling Hills	165	8.56		1052	54.56		89	4.62		622	32.26		1928	96.02		80	3.98		2008	2.46		1165	60.43		763	39.57			
Seville	114	7.25		831	52.83		137	8.71		491	31.21		1573	94.82		86	5.18		1659	2.03		924	58.74		649	41.26			
Silvan	43	5.96		423	58.67		58	8.04		197	27.32		721	94.62		41	5.38		762	0.93		461	63.94		260	36.06			
The Patch	42	7.92		229	43.21		93	17.55		166	31.32		530	97.79		12	2.21		542	0.66		265	50.00		265	50.00			
Wandin Yallock	141	8.59		954	58.10		100	6.09		447	27.22		1642	96.70		56	3.30		1698	2.08		1057	64.37		585	35.63			
Yarra Road	69	5.14		828	61.65		79	5.88		367	27.33		1343	96.83		44	3.17		1387	1.70		902	67.16		441	32.84			
Special Hospitals	43	4.50		640	66.95		21	2.20		252	26.36		956	97.06		29	2.94		985	1.21		671	70.19		285	29.81			
Total Ordinary	5593	8.38		34184	51.21		4549	6.81		22429	33.60		66755	96.32		2552	3.68		69307	84.88		37998	56.92		28757	43.08			
ABSENT	600	11.95		2304	45.90		517	10.30		1599	31.85		5020	96.24		196	3.76		5216	6.39		2769	55.16		2251	44.84			
POSTAL	210	6.68		1935	61.55		136	4.33		863	27.45		3144	98.04		63	1.96		3207	3.93		2070	65.84		1074	34.16			
PRE_POLL	291	8.55		1732	50.88		194	5.70		1187	34.87		3404	97.51		87	2.49		3491	4.28		1943	57.08		1461	42.92			
PROVISIONAL	44	10.89		199	49.26		28	6.93		133	32.92		404	94.39		24	5.61		428	0.52		224	55.45		180	44.55			
Division Summary	6738	8.56		40354	51.26		5424	6.89		26211	33.29		78727	96.42		2922	3.58		81649	95.74		45004	57.16		33723	42.84			
																													
																													
																													
																													
																													
