Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Higgins (88043)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Hughesdale North		14	2.39		20	3.41		5	0.85		1	0.17		0	0.00		0	0.00		6	1.02		181	30.89		2	0.34		0	0.00		248	42.32		3	0.51		61	10.41		0	0.00		1	0.17		44	7.51		0	0.00		0	0.00		586	93.61		40	6.39		626	0.76
Kooyong Park		22	1.67		8	0.61		9	0.68		0	0.00		0	0.00		0	0.00		7	0.53		898	68.34		7	0.53		0	0.00		152	11.57		2	0.15		79	6.01		0	0.00		1	0.08		126	9.59		1	0.08		2	0.15		1314	95.56		61	4.44		1375	1.66
Malvern		58	2.11		25	0.91		27	0.98		0	0.00		1	0.04		3	0.11		12	0.44		1452	52.76		12	0.44		1	0.04		593	21.55		10	0.36		261	9.48		0	0.00		2	0.07		293	10.65		0	0.00		2	0.07		2752	94.96		146	5.04		2898	3.51
Malvern Central		39	2.45		16	1.00		22	1.38		2	0.13		1	0.06		0	0.00		14	0.88		713	44.76		9	0.56		2	0.13		424	26.62		2	0.13		163	10.23		1	0.06		1	0.06		182	11.42		1	0.06		1	0.06		1593	94.26		97	5.74		1690	2.04
Malvern East		73	2.06		50	1.41		47	1.32		2	0.06		2	0.06		2	0.06		24	0.68		1602	45.14		8	0.23		5	0.14		906	25.53		13	0.37		430	12.12		1	0.03		5	0.14		378	10.65		1	0.03		0	0.00		3549	95.10		183	4.90		3732	4.51
Malvern Lower		33	1.91		11	0.64		7	0.41		1	0.06		1	0.06		0	0.00		9	0.52		1155	67.00		6	0.35		0	0.00		235	13.63		1	0.06		145	8.41		1	0.06		2	0.12		114	6.61		2	0.12		1	0.06		1724	95.57		80	4.43		1804	2.18
Malvern South		36	1.03		32	0.91		39	1.11		1	0.03		1	0.03		6	0.17		28	0.80		1795	51.29		12	0.34		2	0.06		762	21.77		7	0.20		374	10.69		1	0.03		0	0.00		400	11.43		1	0.03		3	0.09		3500	95.50		165	4.50		3665	4.43
Malvern West		19	2.12		7	0.78		9	1.01		0	0.00		0	0.00		2	0.22		3	0.34		448	50.06		1	0.11		1	0.11		194	21.68		2	0.22		101	11.28		0	0.00		0	0.00		108	12.07		0	0.00		0	0.00		895	94.61		51	5.39		946	1.14
Melbourne (Higgins)		4	1.77		12	5.31		1	0.44		0	0.00		0	0.00		0	0.00		3	1.33		82	36.28		2	0.88		0	0.00		44	19.47		2	0.88		46	20.35		0	0.00		0	0.00		28	12.39		2	0.88		0	0.00		226	97.41		6	2.59		232	0.28
Murrumbeena		29	1.73		19	1.13		29	1.73		0	0.00		1	0.06		1	0.06		18	1.07		649	38.63		7	0.42		1	0.06		541	32.20		5	0.30		218	12.98		0	0.00		3	0.18		157	9.35		1	0.06		1	0.06		1680	94.17		104	5.83		1784	2.16
Oakleigh (Higgins)		13	4.50		6	2.08		4	1.38		0	0.00		0	0.00		0	0.00		5	1.73		85	29.41		2	0.69		0	0.00		116	40.14		1	0.35		27	9.34		0	0.00		0	0.00		30	10.38		0	0.00		0	0.00		289	92.33		24	7.67		313	0.38
Orrong		26	1.59		27	1.65		17	1.04		1	0.06		0	0.00		0	0.00		21	1.28		698	42.61		1	0.06		1	0.06		480	29.30		3	0.18		188	11.48		0	0.00		0	0.00		173	10.56		2	0.12		0	0.00		1638	95.29		81	4.71		1719	2.08
Prahran		33	1.74		38	2.01		13	0.69		1	0.05		2	0.11		2	0.11		13	0.69		551	29.11		6	0.32		0	0.00		726	38.35		2	0.11		254	13.42		0	0.00		1	0.05		250	13.21		1	0.05		0	0.00		1893	92.93		144	7.07		2037	2.46
Prahran East		46	1.64		59	2.10		25	0.89		1	0.04		0	0.00		0	0.00		21	0.75		983	35.07		0	0.00		0	0.00		928	33.11		5	0.18		341	12.17		0	0.00		3	0.11		388	13.84		2	0.07		1	0.04		2803	94.50		163	5.50		2966	3.59
South Yarra		16	2.55		11	1.75		5	0.80		0	0.00		0	0.00		0	0.00		5	0.80		221	35.25		0	0.00		1	0.16		226	36.04		1	0.16		70	11.16		0	0.00		0	0.00		71	11.32		0	0.00		0	0.00		627	93.72		42	6.28		669	0.81
Toorak		63	2.17		16	0.55		15	0.52		0	0.00		2	0.07		0	0.00		12	0.41		2091	72.08		13	0.45		0	0.00		330	11.38		3	0.10		200	6.89		0	0.00		4	0.14		149	5.14		1	0.03		2	0.07		2901	94.53		168	5.47		3069	3.71
Toorak Central		26	1.81		9	0.63		9	0.63		0	0.00		0	0.00		0	0.00		7	0.49		828	57.70		2	0.14		0	0.00		234	16.31		1	0.07		162	11.29		0	0.00		0	0.00		155	10.80		0	0.00		2	0.14		1435	94.66		81	5.34		1516	1.83
Toorak West		29	1.98		9	0.61		11	0.75		0	0.00		0	0.00		0	0.00		10	0.68		960	65.53		6	0.41		0	0.00		208	14.20		3	0.20		109	7.44		0	0.00		1	0.07		116	7.92		1	0.07		2	0.14		1465	94.64		83	5.36		1548	1.87
Windsor		14	1.57		24	2.70		4	0.45		1	0.11		2	0.22		0	0.00		7	0.79		286	32.13		4	0.45		0	0.00		300	33.71		3	0.34		108	12.13		0	0.00		0	0.00		137	15.39		0	0.00		0	0.00		890	93.10		66	6.90		956	1.16
Special Hospitals		20	7.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.79		157	62.30		1	0.40		1	0.40		65	25.79		0	0.00		3	1.19		0	0.00		0	0.00		3	1.19		0	0.00		0	0.00		252	89.68		29	10.32		281	0.34
Total Ordinary		1163	1.85		774	1.23		615	0.98		22	0.03		18	0.03		24	0.04		504	0.80		30661	48.71		232	0.37		25	0.04		15402	24.47		159	0.25		6876	10.92		5	0.01		41	0.07		6358	10.10		26	0.04		43	0.07		62948	94.85		3417	5.15		66365	80.28
ABSENT		169	2.37		126	1.77		85	1.19		4	0.06		4	0.06		1	0.01		57	0.80		3142	44.02		38	0.53		2	0.03		1649	23.10		20	0.28		984	13.79		2	0.03		3	0.04		840	11.77		4	0.06		8	0.11		7138	97.81		160	2.19		7298	8.83
POSTAL		155	4.11		36	0.96		18	0.48		4	0.11		0	0.00		0	0.00		50	1.33		2314	61.40		18	0.48		2	0.05		694	18.41		9	0.24		273	7.24		0	0.00		2	0.05		189	5.01		0	0.00		5	0.13		3769	98.00		77	2.00		3846	4.65
PRE_POLL		112	2.56		54	1.24		36	0.82		2	0.05		3	0.07		0	0.00		36	0.82		2236	51.14		17	0.39		3	0.07		965	22.07		8	0.18		525	12.01		1	0.02		3	0.07		362	8.28		3	0.07		6	0.14		4372	97.98		90	2.02		4462	5.40
PROVISIONAL		22	3.37		14	2.15		8	1.23		1	0.15		0	0.00		0	0.00		2	0.31		300	46.01		3	0.46		0	0.00		153	23.47		2	0.31		85	13.04		0	0.00		0	0.00		62	9.51		0	0.00		0	0.00		652	94.22		40	5.78		692	0.84
Division Summary		1621	2.06		1004	1.27		762	0.97		33	0.04		25	0.03		25	0.03		649	0.82		38653	49		308	0.39		32	0.04		18863	23.91		198	0.25		8743	11.08		8	0.01		49	0.06		7811	9.9		33	0.04		62	0.08		78879	95.42		3784	4.58		82663	93.89
