House of Representatives - 2001 Election: Victoria																
Distribution of Preferences																
By Polling Place																
Burke																
				WARD			LUTZ			DAWE			O'CONNOR			
	THIRD				Excluded					26	47.27		29	52.73		55
		TOTAL								175	21.16		652	78.84		827
													Elected			
																
Deer Park Central                                              																
	FIRST			94	3.76		158	6.33		495	19.82		1751	70.10		2498
	SECOND			94	59.49			Excluded		28	17.72		36	22.78		158
		TOTAL		188	7.53					523	20.94		1787	71.54		2498
	THIRD				Excluded					76	40.43		112	59.57		188
		TOTAL								599	23.98		1899	76.02		2498
													Elected			
																
Deer Park West                                                 																
	FIRST			226	6.32		171	4.78		740	20.70		2438	68.20		3575
	SECOND			76	44.44			Excluded		34	19.88		61	35.67		171
		TOTAL		302	8.45					774	21.65		2499	69.90		3575
	THIRD				Excluded					152	50.33		150	49.67		302
		TOTAL								926	25.90		2649	74.10		3575
													Elected			
																
Gisborne                                                       																
	FIRST			288	8.77		219	6.67		1643	50.05		1133	34.51		3283
	SECOND			114	52.05			Excluded		51	23.29		54	24.66		219
		TOTAL		402	12.24					1694	51.60		1187	36.16		3283
	THIRD				Excluded					171	42.54		231	57.46		402
		TOTAL								1865	56.81		1418	43.19		3283
													Elected			
																
Killara                                                        																
	FIRST			52	5.56		67	7.17		374	40.00		442	47.27		935
	SECOND			35	52.24			Excluded		16	23.88		16	23.88		67
		TOTAL		87	9.30					390	41.71		458	48.98		935
	THIRD				Excluded					40	45.98		47	54.02		87
		TOTAL								430	45.99		505	54.01		935
													Elected			
																
Kurunjang                                                      																
	FIRST			107	5.50		152	7.81		591	30.39		1095	56.30		1945
	SECOND			88	57.89			Excluded		29	19.08		35	23.03		152
		TOTAL		195	10.03					620	31.88		1130	58.10		1945
	THIRD				Excluded					94	48.21		101	51.79		195
		TOTAL								714	36.71		1231	63.29		1945
													Elected			
																
Kyneton                                                        																
	FIRST			364	10.28		148	4.18		1625	45.88		1405	39.67		3542
	SECOND			68	45.95			Excluded		31	20.95		49	33.11		148
		TOTAL		432	12.20					1656	46.75		1454	41.05		3542
	THIRD				Excluded					204	47.22		228	52.78		432
		TOTAL								1860	52.51		1682	47.49		3542
													Elected			
																
Lancefield                                                     																
	FIRST			116	8.81		77	5.85		637	48.40		486	36.93		1316
	SECOND			40	51.95			Excluded		19	24.68		18	23.38		77
		TOTAL		156	11.85					656	49.85		504	38.30		1316
	THIRD				Excluded					70	44.87		86	55.13		156
		TOTAL								726	55.17		590	44.83		1316
													Elected			
																
Macedon                                                        																
	FIRST			162	14.11		92	8.01		456	39.72		438	38.15		1148
	SECOND			39	42.39			Excluded		25	27.17		28	30.43		92
		TOTAL		201	17.51					481	41.90		466	40.59		1148
	THIRD				Excluded					79	39.30		122	60.70		201
		TOTAL								560	48.78		588	51.22		1148
													Elected			
																
Malmsbury                                                      																
	FIRST			54	15.21		12	3.38		131	36.90		158	44.51		355
	SECOND			5	41.67			Excluded		3	25.00		4	33.33		12
		TOTAL		59	16.62					134	37.75		162	45.63		355
	THIRD				Excluded					14	23.73		45	76.27		59
		TOTAL								148	41.69		207	58.31		355
													Elected			
																
Melbourne (Burke)                                              																
	FIRST			12	11.88		10	9.90		37	36.63		42	41.58		101
	SECOND			6	60.00			Excluded		0	0.00		4	40.00		10
		TOTAL		18	17.82					37	36.63		46	45.54		101
	THIRD				Excluded					8	44.44		10	55.56		18
		TOTAL								45	44.55		56	55.45		101
													Elected			
																
Melton                                                         																
	FIRST			231	6.05		245	6.42		1218	31.90		2124	55.63		3818
	SECOND			110	44.90			Excluded		53	21.63		82	33.47		245
		TOTAL		341	8.93					1271	33.29		2206	57.78		3818
	THIRD				Excluded					196	57.48		145	42.52		341
		TOTAL								1467	38.42		2351	61.58		3818
													Elected			
																
Melton Central                                                 																
	FIRST			33	8.01		19	4.61		137	33.25		223	54.13		412
	SECOND			6	31.58			Excluded		6	31.58		7	36.84		19
		TOTAL		39	9.47					143	34.71		230	55.83		412
	THIRD				Excluded					19	48.72		20	51.28		39
		TOTAL								162	39.32		250	60.68		412
													Elected			
																
Melton South                                                   																
	FIRST			188	5.81		201	6.21		1028	31.77		1819	56.21		3236
	SECOND			102	50.75			Excluded		43	21.39		56	27.86		201
		TOTAL		290	8.96					1071	33.10		1875	57.94		3236
	THIRD				Excluded					143	49.31		147	50.69		290
		TOTAL								1214	37.52		2022	62.48		3236
													Elected			
																
Mount Macedon                                                  																
	FIRST			112	17.92		32	5.12		281	44.96		200	32.00		625
	SECOND			20	62.50			Excluded		4	12.50		8	25.00		32
		TOTAL		132	21.12					285	45.60		208	33.28		625
	THIRD				Excluded					57	43.18		75	56.82		132
		TOTAL								342	54.72		283	45.28		625
													Elected			
																
Myrniong                                                       																
	FIRST			17	7.87		14	6.48		83	38.43		102	47.22		216
	SECOND			8	57.14			Excluded		2	14.29		4	28.57		14
		TOTAL		25	11.57					85	39.35		106	49.07		216
	THIRD				Excluded					6	24.00		19	76.00		25
		TOTAL								91	42.13		125	57.87		216
													Elected			
																
New Gisborne                                                   																
	FIRST			116	9.66		59	4.91		585	48.71		441	36.72		1201
	SECOND			22	37.29			Excluded		13	22.03		24	40.68		59
		TOTAL		138	11.49					598	49.79		465	38.72		1201
	THIRD				Excluded					55	39.86		83	60.14		138
		TOTAL								653	54.37		548	45.63		1201
													Elected			
																
Newham                                                         																
	FIRST			56	15.43		23	6.34		173	47.66		111	30.58		363
	SECOND			12	52.17			Excluded		6	26.09		5	21.74		23
		TOTAL		68	18.73					179	49.31		116	31.96		363
	THIRD				Excluded					30	44.12		38	55.88		68
		TOTAL								209	57.58		154	42.42		363
													Elected			
																
Riddell                                                        																
	FIRST			165	9.27		160	8.99		782	43.96		672	37.77		1779
	SECOND			99	61.88			Excluded		29	18.13		32	20.00		160
		TOTAL		264	14.84					811	45.59		704	39.57		1779
	THIRD				Excluded					86	32.58		178	67.42		264
		TOTAL								897	50.42		882	49.58		1779
													Elected			
																
Rockbank                                                       																
	FIRST			49	4.77		42	4.09		341	33.17		596	57.98		1028
	SECOND			21	50.00			Excluded		6	14.29		15	35.71		42
		TOTAL		70	6.81					347	33.75		611	59.44		1028
	THIRD				Excluded					37	52.86		33	47.14		70
		TOTAL								384	37.35		644	62.65		1028
													Elected			
																
Romsey                                                         																
	FIRST			156	8.01		118	6.06		884	45.40		789	40.52		1947
	SECOND			64	54.24			Excluded		23	19.49		31	26.27		118
		TOTAL		220	11.30					907	46.58		820	42.12		1947
	THIRD				Excluded					103	46.82		117	53.18		220
		TOTAL								1010	51.87		937	48.13		1947
													Elected			
																
Sunbury                                                        																
	FIRST			175	7.24		180	7.44		1163	48.10		900	37.22		2418
	SECOND			115	63.89			Excluded		30	16.67		35	19.44		180
		TOTAL		290	11.99					1193	49.34		935	38.67		2418
	THIRD				Excluded					131	45.17		159	54.83		290
		TOTAL								1324	54.76		1094	45.24		2418
													Elected			
																
Sunbury East                                                   																
	FIRST			104	5.63		117	6.33		700	37.90		926	50.14		1847
	SECOND			53	45.30			Excluded		28	23.93		36	30.77		117
		TOTAL		157	8.50					728	39.42		962	52.08		1847
	THIRD				Excluded					87	55.41		70	44.59		157
		TOTAL								815	44.13		1032	55.87		1847
													Elected			
																
Sunbury Heights                                                																
	FIRST			140	6.15		148	6.50		835	36.67		1154	50.68		2277
	SECOND			69	46.62			Excluded		33	22.30		46	31.08		148
		TOTAL		209	9.18					868	38.12		1200	52.70		2277
	THIRD				Excluded					120	57.42		89	42.58		209
		TOTAL								988	43.39		1289	56.61		2277
													Elected			
																
Sunbury North                                                  																
	FIRST			115	5.90		92	4.72		887	45.53		854	43.84		1948
	SECOND			46	50.00			Excluded		29	31.52		17	18.48		92
		TOTAL		161	8.26					916	47.02		871	44.71		1948
	THIRD				Excluded					84	52.17		77	47.83		161
		TOTAL								1000	51.33		948	48.67		1948
													Elected			
																
Sunbury West                                                   																
	FIRST			313	6.37		391	7.95		2085	42.41		2127	43.27		4916
	SECOND			204	52.17			Excluded		98	25.06		89	22.76		391
		TOTAL		517	10.52					2183	44.41		2216	45.08		4916
	THIRD				Excluded					237	45.84		280	54.16		517
		TOTAL								2420	49.23		2496	50.77		4916
													Elected			
																
Toolern                                                        																
	FIRST			20	5.76		20	5.76		191	55.04		116	33.43		347
	SECOND			12	60.00			Excluded		4	20.00		4	20.00		20
		TOTAL		32	9.22					195	56.20		120	34.58		347
	THIRD				Excluded					10	31.25		22	68.75		32
		TOTAL								205	59.08		142	40.92		347
													Elected			
																
Trentham                                                       																
	FIRST			126	19.12		19	2.88		270	40.97		244	37.03		659
	SECOND			9	47.37			Excluded		5	26.32		5	26.32		19
		TOTAL		135	20.49					275	41.73		249	37.78		659
	THIRD				Excluded					60	44.44		75	55.56		135
		TOTAL								335	50.83		324	49.17		659
													Elected			
																
Tylden                                                         																
	FIRST			59	14.86		19	4.79		191	48.11		128	32.24		397
	SECOND			6	31.58			Excluded		8	42.11		5	26.32		19
		TOTAL		65	16.37					199	50.13		133	33.50		397
	THIRD				Excluded					25	38.46		40	61.54		65
		TOTAL								224	56.42		173	43.58		397
													Elected			
																
Wedge Park                                                     																
	FIRST			115	6.61		116	6.67		647	37.18		862	49.54		1740
	SECOND			59	50.86			Excluded		17	14.66		40	34.48		116
		TOTAL		174	10.00					664	38.16		902	51.84		1740
	THIRD				Excluded					81	46.55		93	53.45		174
		TOTAL								745	42.82		995	57.18		1740
													Elected			
																
Westmelton                                                     																
	FIRST			162	5.40		193	6.43		1032	34.40		1613	53.77		3000
	SECOND			102	52.85			Excluded		39	20.21		52	26.94		193
		TOTAL		264	8.80					1071	35.70		1665	55.50		3000
	THIRD				Excluded					132	50.00		132	50.00		264
		TOTAL								1203	40.10		1797	59.90		3000
													Elected			
																
Woodend                                                        																
	FIRST			381	13.05		187	6.40		1047	35.86		1305	44.69		2920
	SECOND			111	59.36			Excluded		28	14.97		48	25.67		187
		TOTAL		492	16.85					1075	36.82		1353	46.34		2920
	THIRD				Excluded					194	39.43		298	60.57		492
		TOTAL								1269	43.46		1651	56.54		2920
													Elected			
																
Special Hospital Team 1                                        																
	FIRST			1	4.17		0	0.00		11	45.83		12	50.00		24
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		1	4.17					11	45.83		12	50.00		24
	THIRD				Excluded					1	100.00		0	0.00		1
		TOTAL								12	50.00		12	50.00		24
													Elected			
																
ABSENT																
	FIRST			546	10.53		520	10.03		1812	34.95		2306	44.48		5184
	SECOND			237	45.58			Excluded		127	24.42		156	30.00		520
		TOTAL		783	15.10					1939	37.40		2462	47.49		5184
	THIRD				Excluded					346	44.19		437	55.81		783
		TOTAL								2285	44.08		2899	55.92		5184
													Elected			
																
POSTAL																
	FIRST			110	3.85		171	5.98		1385	48.44		1193	41.73		2859
	SECOND			64	37.43			Excluded		48	28.07		59	34.50		171
		TOTAL		174	6.09					1433	50.12		1252	43.79		2859
	THIRD				Excluded					90	51.72		84	48.28		174
		TOTAL								1523	53.27		1336	46.73		2859
													Elected			
																
PRE POLL																
	FIRST			214	6.54		258	7.89		1413	43.18		1387	42.39		3272
	SECOND			103	39.92			Excluded		69	26.74		86	33.33		258
		TOTAL		317	9.69					1482	45.29		1473	45.02		3272
	THIRD				Excluded					129	40.69		188	59.31		317
		TOTAL								1611	49.24		1661	50.76		3272
													Elected			
																
PROVISIONAL																
	FIRST			37	8.92		30	7.23		144	34.70		204	49.16		415
	SECOND			14	46.67			Excluded		7	23.33		9	30.00		30
		TOTAL		51	12.29					151	36.39		213	51.33		415
	THIRD				Excluded					27	52.94		24	47.06		51
		TOTAL								178	42.89		237	57.11		415
													Elected			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
