House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Melbourne Ports (89113)																																
	CHIPP			BECK			# DANBY			KAVANAGH			MCLORINAN			FORMAL			INFORMAL			TOTAL										
	Greg			Jeremy			Michael			Jeannette			Andrew												Two Candidate Preferred							
	DEM			CEC			ALP			GRN			LP												# DANBY ALP			 MCLORINAN LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Graham	108	6.98		3	0.19		702	45.38		118	7.63		616	39.82		1547	96.75		52	3.25		1599	1.96		878	56.76		669	43.24
Kerferd	306	7.13		13	0.30		1495	34.85		502	11.70		1974	46.01		4290	97.43		113	2.57		4403	5.39		2124	49.51		2166	50.49
Melbourne (Melbourne Ports)	107	14.12		0	0.00		234	30.87		97	12.80		320	42.22		758	96.32		29	3.68		787	0.96		385	50.79		373	49.21
Middle Park	0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	******		0	0.00		0	0.00
Port Melbourne	236	7.74		6	0.20		1316	43.13		284	9.31		1209	39.63		3051	96.83		100	3.17		3151	3.86		1732	56.77		1319	43.23
Redan Central	152	10.40		9	0.62		580	39.67		243	16.62		478	32.69		1462	96.57		52	3.43		1514	1.85		901	61.63		561	38.37
Ripponlea East	90	8.36		7	0.65		417	38.72		121	11.23		442	41.04		1077	95.82		47	4.18		1124	1.38		598	55.52		479	44.48
Ripponlea North	143	9.81		6	0.41		654	44.89		207	14.21		447	30.68		1457	96.62		51	3.38		1508	1.85		955	65.55		502	34.45			
St Kilda	476	12.25		16	0.41		1661	42.74		629	16.19		1104	28.41		3886	96.31		149	3.69		4035	4.94		2578	66.34		1308	33.66			
St Kilda Beach	205	12.09		9	0.53		713	42.06		328	19.35		440	25.96		1695	96.36		64	3.64		1759	2.15		1156	68.20		539	31.80			
St Kilda North	265	13.67		6	0.31		801	41.31		247	12.74		620	31.98		1939	96.47		71	3.53		2010	2.46		1234	63.64		705	36.36			
St Kilda Park	200	10.29		7	0.36		759	39.04		367	18.88		611	31.43		1944	96.43		72	3.57		2016	2.47		1241	63.84		703	36.16			
St Kilda South	208	10.62		6	0.31		863	44.08		330	16.85		551	28.14		1958	96.17		78	3.83		2036	2.49		1325	67.67		633	32.33			
Sandridge	49	4.77		2	0.19		714	69.52		40	3.89		222	21.62		1027	95.36		50	4.64		1077	1.32		783	76.24		244	23.76			
South Melbourne	235	8.34		17	0.60		1138	40.38		265	9.40		1163	41.27		2818	96.18		112	3.82		2930	3.59		1526	54.15		1292	45.85			
Special Hospitals	11	3.49		5	1.59		152	48.25		3	0.95		144	45.71		315	97.52		8	2.48		323	0.40		168	53.33		147	46.67			
Total Ordinary	5647	9.26		207	0.34		24045	39.43		7043	11.55		24039	39.42		60981	96.59		2153	3.41		63134	77.27		34269	56.20		26712	43.80			
ABSENT	811	13.00		40	0.64		1906	30.55		967	15.50		2515	40.31		6239	96.52		225	3.48		6464	7.91		3218	51.58		3021	48.42			
POSTAL	289	5.26		27	0.49		2524	45.92		248	4.51		2409	43.82		5497	98.57		80	1.43		5577	6.83		2938	53.45		2559	46.55			
PRE_POLL	495	8.78		26	0.46		2377	42.16		546	9.68		2194	38.91		5638	97.24		160	2.76		5798	7.10		3179	56.39		2459	43.61			
PROVISIONAL	86	12.57		5	0.73		258	37.72		108	15.79		227	33.19		684	93.96		44	6.04		728	0.89		414	60.53		270	39.47			
Division Summary	7328	9.27		305	0.39		31110	39.36		8912	11.28		31384	39.71		79039	96.74		2662	3.26		81701	91.68		44018	55.69		35021	44.31			
																																
																													
																													
																													
																													
