House of Representatives - 2001 Election: Victoria																										
Distribution of Preferences																										
By Polling Place																										
McMillan																										
				HOWELL			ROBERTS			FORBES			WALL			FARRAR			ZAHRA			HOLTMAN				
		TOTAL					71	2.37		764	25.48		129	4.30		176	5.87		1705	56.85		154	5.14		2999	
	THIRD							Excluded		54	76.06		6	8.45		4	5.63		4	5.63		3	4.23		71	
		TOTAL								818	27.28		135	4.50		180	6.00		1709	56.99		157	5.24		2999	
	FOURTH									14	8.92		16	10.19		55	35.03		72	45.86			Excluded		157	
		TOTAL								832	27.74		151	5.04		235	7.84		1781	59.39					2999	
	FIFTH									22	14.57			Excluded		98	64.90		31	20.53					151	
		TOTAL								854	28.48					333	11.10		1812	60.42					2999	
	SIXTH									95	28.53						Excluded		238	71.47					333	
		TOTAL								949	31.64								2050	68.36					2999	
																			Elected							
																										
Cloverlea                                                      																										
	FIRST			0	0.00		10	7.19		78	56.12		5	3.60		4	2.88		33	23.74		9	6.47		139	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					10	7.19		78	56.12		5	3.60		4	2.88		33	23.74		9	6.47		139	
	THIRD							Excluded		9	90.00		0	0.00		1	10.00		0	0.00		0	0.00		10	
		TOTAL								87	62.59		5	3.60		5	3.60		33	23.74		9	6.47		139	
	FOURTH									7	77.78		1	11.11		1	11.11		0	0.00			Excluded		9	
		TOTAL								94	67.63		6	4.32		6	4.32		33	23.74					139	
	FIFTH									1	16.67			Excluded		3	50.00		2	33.33					6	
		TOTAL								95	68.35					9	6.47		35	25.18					139	
	SIXTH									4	44.44						Excluded		5	55.56					9	
		TOTAL								99	71.22								40	28.78					139	
																			Elected							
																										
Cora Lynn                                                      																										
	FIRST			0	0.00		5	3.60		99	71.22		4	2.88		1	0.72		22	15.83		8	5.76		139	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					5	3.60		99	71.22		4	2.88		1	0.72		22	15.83		8	5.76		139	
	THIRD							Excluded		4	80.00		0	0.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL								103	74.10		4	2.88		1	0.72		23	16.55		8	5.76		139	
	FOURTH									4	50.00		1	12.50		1	12.50		2	25.00			Excluded		8	
		TOTAL								107	76.98		5	3.60		2	1.44		25	17.99					139	
	FIFTH									1	20.00			Excluded		2	40.00		2	40.00					5	
		TOTAL								108	77.70					4	2.88		27	19.42					139	
	SIXTH									1	25.00						Excluded		3	75.00					4	
		TOTAL								109	78.42								30	21.58					139	
																			Elected							
																										
Darnum                                                         																										
	FIRST			5	1.43		18	5.14		200	57.14		15	4.29		10	2.86		85	24.29		17	4.86		350	
	SECOND				Excluded		2	40.00		1	20.00		0	0.00		0	0.00		1	20.00		1	20.00		5	
		TOTAL					20	5.71		201	57.43		15	4.29		10	2.86		86	24.57		18	5.14		350	
	THIRD							Excluded		16	80.00		2	10.00		0	0.00		1	5.00		1	5.00		20	
		TOTAL								217	62.00		17	4.86		10	2.86		87	24.86		19	5.43		350	
	FOURTH									9	47.37		1	5.26		4	21.05		5	26.32			Excluded		19	
		TOTAL								226	64.57		18	5.14		14	4.00		92	26.29					350	
	FIFTH									8	44.44			Excluded		7	38.89		3	16.67					18	
		TOTAL								234	66.86					21	6.00		95	27.14					350	
	SIXTH									8	38.10						Excluded		13	61.90					21	
		TOTAL								242	69.14								108	30.86					350	
																			Elected							
																										
Drouin                                                         																										
	FIRST			52	1.40		89	2.39		1944	52.30		165	4.44		127	3.42		1181	31.77		159	4.28		3717	
	SECOND				Excluded		27	51.92		16	30.77		2	3.85		2	3.85		1	1.92		4	7.69		52	
		TOTAL					116	3.12		1960	52.73		167	4.49		129	3.47		1182	31.80		163	4.39		3717	
	THIRD							Excluded		90	77.59		9	7.76		3	2.59		7	6.03		7	6.03		116	
		TOTAL								2050	55.15		176	4.74		132	3.55		1189	31.99		170	4.57		3717	
	FOURTH									48	28.24		20	11.76		74	43.53		28	16.47			Excluded		170	
		TOTAL								2098	56.44		196	5.27		206	5.54		1217	32.74					3717	
	FIFTH									42	21.43			Excluded		104	53.06		50	25.51					196	
		TOTAL								2140	57.57					310	8.34		1267	34.09					3717	
	SIXTH									119	38.39						Excluded		191	61.61					310	
		TOTAL								2259	60.77								1458	39.23					3717	
																			Elected							
																										
Drouin South                                                   																										
	FIRST			3	0.57		32	6.07		318	60.34		26	4.93		10	1.90		109	20.68		29	5.50		527	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		3	
		TOTAL					32	6.07		318	60.34		26	4.93		10	1.90		109	20.68		32	6.07		527	
	THIRD							Excluded		27	84.38		1	3.13		0	0.00		1	3.13		3	9.38		32	
		TOTAL								345	65.46		27	5.12		10	1.90		110	20.87		35	6.64		527	
	FOURTH									20	57.14		2	5.71		9	25.71		4	11.43			Excluded		35	
		TOTAL								365	69.26		29	5.50		19	3.61		114	21.63					527	
	FIFTH									12	41.38			Excluded		11	37.93		6	20.69					29	
		TOTAL								377	71.54					30	5.69		120	22.77					527	
	SIXTH									18	60.00						Excluded		12	40.00					30	
		TOTAL								395	74.95								132	25.05					527	
																			Elected							
																										
Drouin West                                                    																										
	FIRST			5	1.72		15	5.17		151	52.07		13	4.48		9	3.10		81	27.93		16	5.52		290	
	SECOND				Excluded		0	0.00		3	60.00		0	0.00		0	0.00		0	0.00		2	40.00		5	
		TOTAL					15	5.17		154	53.10		13	4.48		9	3.10		81	27.93		18	6.21		290	
	THIRD							Excluded		13	86.67		0	0.00		2	13.33		0	0.00		0	0.00		15	
		TOTAL								167	57.59		13	4.48		11	3.79		81	27.93		18	6.21		290	
	FOURTH									2	11.11		4	22.22		11	61.11		1	5.56			Excluded		18	
		TOTAL								169	58.28		17	5.86		22	7.59		82	28.28					290	
	FIFTH									3	17.65			Excluded		10	58.82		4	23.53					17	
		TOTAL								172	59.31					32	11.03		86	29.66					290	
	SIXTH									18	56.25						Excluded		14	43.75					32	
		TOTAL								190	65.52								100	34.48					290	
																			Elected							
																										
Ellinbank                                                      																										
	FIRST			1	0.35		16	5.54		169	58.48		8	2.77		10	3.46		74	25.61		11	3.81		289	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL					16	5.54		169	58.48		8	2.77		10	3.46		75	25.95		11	3.81		289	
	THIRD							Excluded		16	100.00		0	0.00		0	0.00		0	0.00		0	0.00		16	
		TOTAL								185	64.01		8	2.77		10	3.46		75	25.95		11	3.81		289	
	FOURTH									6	54.55		2	18.18		0	0.00		3	27.27			Excluded		11	
		TOTAL								191	66.09		10	3.46		10	3.46		78	26.99					289	
	FIFTH									2	20.00			Excluded		8	80.00		0	0.00					10	
		TOTAL								193	66.78					18	6.23		78	26.99					289	
	SIXTH									13	72.22						Excluded		5	27.78					18	
		TOTAL								206	71.28								83	28.72					289	
																			Elected							
																										
Erica                                                          																										
	FIRST			5	2.46		10	4.93		59	29.06		3	1.48		14	6.90		93	45.81		19	9.36		203	
	SECOND				Excluded		2	40.00		0	0.00		1	20.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL					12	5.91		59	29.06		4	1.97		15	7.39		93	45.81		20	9.85		203	
	THIRD							Excluded		11	91.67		0	0.00		1	8.33		0	0.00		0	0.00		12	
		TOTAL								70	34.48		4	1.97		16	7.88		93	45.81		20	9.85		203	
	FOURTH									7	35.00		3	15.00		3	15.00		7	35.00			Excluded		20	
		TOTAL								77	37.93		7	3.45		19	9.36		100	49.26					203	
	FIFTH									1	14.29			Excluded		6	85.71		0	0.00					7	
		TOTAL								78	38.42					25	12.32		100	49.26					203	
	SIXTH									10	40.00						Excluded		15	60.00					25	
		TOTAL								88	43.35								115	56.65					203	
																			Elected							
																										
Garfield                                                       																										
	FIRST			6	0.92		5	0.77		368	56.44		17	2.61		21	3.22		213	32.67		22	3.37		652	
	SECOND				Excluded		4	66.67		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00		6	
		TOTAL					9	1.38		369	56.60		17	2.61		21	3.22		214	32.82		22	3.37		652	
	THIRD							Excluded		7	77.78		0	0.00		1	11.11		1	11.11		0	0.00		9	
		TOTAL								376	57.67		17	2.61		22	3.37		215	32.98		22	3.37		652	
	FOURTH									11	50.00		3	13.64		3	13.64		5	22.73			Excluded		22	
		TOTAL								387	59.36		20	3.07		25	3.83		220	33.74					652	
	FIFTH									5	25.00			Excluded		9	45.00		6	30.00					20	
		TOTAL								392	60.12					34	5.21		226	34.66					652	
	SIXTH									12	35.29						Excluded		22	64.71					34	
		TOTAL								404	61.96								248	38.04					652	
																			Elected							
																										
Hallora                                                        																										
	FIRST			0	0.00		8	10.26		55	70.51		2	2.56		1	1.28		10	12.82		2	2.56		78	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					8	10.26		55	70.51		2	2.56		1	1.28		10	12.82		2	2.56		78	
	THIRD							Excluded		7	87.50		0	0.00		0	0.00		1	12.50		0	0.00		8	
		TOTAL								62	79.49		2	2.56		1	1.28		11	14.10		2	2.56		78	
	FOURTH									2	100.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL								64	82.05		2	2.56		1	1.28		11	14.10					78	
	FIFTH									1	50.00			Excluded		0	0.00		1	50.00					2	
		TOTAL								65	83.33					1	1.28		12	15.38					78	
	SIXTH									0	0.00						Excluded		1	100.00					1	
		TOTAL								65	83.33								13	16.67					78	
																			Elected							
																										
Hazelwood North                                                																										
	FIRST			6	0.90		42	6.29		273	40.87		26	3.89		20	2.99		277	41.47		24	3.59		668	
	SECOND				Excluded		2	33.33		1	16.67		0	0.00		2	33.33		1	16.67		0	0.00		6	
		TOTAL					44	6.59		274	41.02		26	3.89		22	3.29		278	41.62		24	3.59		668	
	THIRD							Excluded		41	93.18		0	0.00		0	0.00		1	2.27		2	4.55		44	
		TOTAL								315	47.16		26	3.89		22	3.29		279	41.77		26	3.89		668	
	FOURTH									9	34.62		4	15.38		5	19.23		8	30.77			Excluded		26	
		TOTAL								324	48.50		30	4.49		27	4.04		287	42.96					668	
	FIFTH									5	16.67			Excluded		13	43.33		12	40.00					30	
		TOTAL								329	49.25					40	5.99		299	44.76					668	
	SIXTH									17	42.50						Excluded		23	57.50					40	
		TOTAL								346	51.80								322	48.20					668	
																			Elected							
																										
Hill End                                                       																										
	FIRST			0	0.00		5	4.24		59	50.00		7	5.93		3	2.54		41	34.75		3	2.54		118	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					5	4.24		59	50.00		7	5.93		3	2.54		41	34.75		3	2.54		118	
	THIRD							Excluded		5	100.00		0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL								64	54.24		7	5.93		3	2.54		41	34.75		3	2.54		118	
	FOURTH									2	66.67		0	0.00		0	0.00		1	33.33			Excluded		3	
		TOTAL								66	55.93		7	5.93		3	2.54		42	35.59					118	
	FIFTH									2	28.57			Excluded		3	42.86		2	28.57					7	
		TOTAL								68	57.63					6	5.08		44	37.29					118	
	SIXTH									1	16.67						Excluded		5	83.33					6	
		TOTAL								69	58.47								49	41.53					118	
																			Elected							
																										
Iona                                                           																										
	FIRST			0	0.00		5	4.95		57	56.44		4	3.96		2	1.98		33	32.67		0	0.00		101	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					5	4.95		57	56.44		4	3.96		2	1.98		33	32.67		0	0.00		101	
	THIRD							Excluded		5	100.00		0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL								62	61.39		4	3.96		2	1.98		33	32.67		0	0.00		101	
	FOURTH									0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL								62	61.39		4	3.96		2	1.98		33	32.67					101	
	FIFTH									1	25.00			Excluded		3	75.00		0	0.00					4	
		TOTAL								63	62.38					5	4.95		33	32.67					101	
	SIXTH									0	0.00						Excluded		5	100.00					5	
		TOTAL								63	62.38								38	37.62					101	
																			Elected							
																										
Jindivick                                                      																										
	FIRST			6	2.17		12	4.33		137	49.46		6	2.17		23	8.30		83	29.96		10	3.61		277	
	SECOND				Excluded		5	83.33		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		6	
		TOTAL					17	6.14		138	49.82		6	2.17		23	8.30		83	29.96		10	3.61		277	
	THIRD							Excluded		16	94.12		0	0.00		0	0.00		0	0.00		1	5.88		17	
		TOTAL								154	55.60		6	2.17		23	8.30		83	29.96		11	3.97		277	
	FOURTH									5	45.45		0	0.00		4	36.36		2	18.18			Excluded		11	
		TOTAL								159	57.40		6	2.17		27	9.75		85	30.69					277	
	FIFTH									3	50.00			Excluded		1	16.67		2	33.33					6	
		TOTAL								162	58.48					28	10.11		87	31.41					277	
	SIXTH									5	17.86						Excluded		23	82.14					28	
		TOTAL								167	60.29								110	39.71					277	
																			Elected							
																										
Labertouche                                                    																										
	FIRST			3	1.35		10	4.48		126	56.50		6	2.69		6	2.69		65	29.15		7	3.14		223	
	SECOND				Excluded		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		3	
		TOTAL					11	4.93		126	56.50		7	3.14		6	2.69		66	29.60		7	3.14		223	
	THIRD							Excluded		9	81.82		1	9.09		0	0.00		1	9.09		0	0.00		11	
		TOTAL								135	60.54		8	3.59		6	2.69		67	30.04		7	3.14		223	
	FOURTH									1	14.29		1	14.29		2	28.57		3	42.86			Excluded		7	
		TOTAL								136	60.99		9	4.04		8	3.59		70	31.39					223	
	FIFTH									2	22.22			Excluded		4	44.44		3	33.33					9	
		TOTAL								138	61.88					12	5.38		73	32.74					223	
	SIXTH									4	33.33						Excluded		8	66.67					12	
		TOTAL								142	63.68								81	36.32					223	
																			Elected							
																										
Lillico                                                        																										
	FIRST			4	1.56		6	2.34		170	66.41		9	3.52		4	1.56		54	21.09		9	3.52		256	
	SECOND				Excluded		1	25.00		0	0.00		0	0.00		0	0.00		3	75.00		0	0.00		4	
		TOTAL					7	2.73		170	66.41		9	3.52		4	1.56		57	22.27		9	3.52		256	
	THIRD							Excluded		7	100.00		0	0.00		0	0.00		0	0.00		0	0.00		7	
		TOTAL								177	69.14		9	3.52		4	1.56		57	22.27		9	3.52		256	
	FOURTH									5	55.56		0	0.00		1	11.11		3	33.33			Excluded		9	
		TOTAL								182	71.09		9	3.52		5	1.95		60	23.44					256	
	FIFTH									1	11.11			Excluded		2	22.22		6	66.67					9	
		TOTAL								183	71.48					7	2.73		66	25.78					256	
	SIXTH									4	57.14						Excluded		3	42.86					7	
		TOTAL								187	73.05								69	26.95					256	
																			Elected							
																										
Longwarry                                                      																										
	FIRST			11	1.53		40	5.56		328	45.62		23	3.20		23	3.20		265	36.86		29	4.03		719	
	SECOND				Excluded		4	36.36		3	27.27		1	9.09		2	18.18		1	9.09		0	0.00		11	
		TOTAL					44	6.12		331	46.04		24	3.34		25	3.48		266	37.00		29	4.03		719	
	THIRD							Excluded		37	84.09		3	6.82		1	2.27		3	6.82		0	0.00		44	
		TOTAL								368	51.18		27	3.76		26	3.62		269	37.41		29	4.03		719	
	FOURTH									11	37.93		1	3.45		10	34.48		7	24.14			Excluded		29	
		TOTAL								379	52.71		28	3.89		36	5.01		276	38.39					719	
	FIFTH									9	32.14			Excluded		8	28.57		11	39.29					28	
		TOTAL								388	53.96					44	6.12		287	39.92					719	
	SIXTH									20	45.45						Excluded		24	54.55					44	
		TOTAL								408	56.75								311	43.25					719	
																			Elected							
																										
Maryknoll                                                      																										
	FIRST			2	0.64		7	2.24		167	53.35		12	3.83		14	4.47		102	32.59		9	2.88		313	
	SECOND				Excluded		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					8	2.56		167	53.35		12	3.83		14	4.47		103	32.91		9	2.88		313	
	THIRD							Excluded		8	100.00		0	0.00		0	0.00		0	0.00		0	0.00		8	
		TOTAL								175	55.91		12	3.83		14	4.47		103	32.91		9	2.88		313	
	FOURTH									6	66.67		2	22.22		0	0.00		1	11.11			Excluded		9	
		TOTAL								181	57.83		14	4.47		14	4.47		104	33.23					313	
	FIFTH									7	50.00			Excluded		3	21.43		4	28.57					14	
		TOTAL								188	60.06					17	5.43		108	34.50					313	
	SIXTH									5	29.41						Excluded		12	70.59					17	
		TOTAL								193	61.66								120	38.34					313	
																			Elected							
																										
Melbourne (McMillan)                                           																										
	FIRST			1	2.63		0	0.00		12	31.58		4	10.53		6	15.79		15	39.47		0	0.00		38	
	SECOND				Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					0	0.00		12	31.58		5	13.16		6	15.79		15	39.47		0	0.00		38	
	THIRD							Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL								12	31.58		5	13.16		6	15.79		15	39.47		0	0.00		38	
	FOURTH									0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL								12	31.58		5	13.16		6	15.79		15	39.47					38	
	FIFTH									0	0.00			Excluded		2	40.00		3	60.00					5	
		TOTAL								12	31.58					8	21.05		18	47.37					38	
	SIXTH									2	25.00						Excluded		6	75.00					8	
		TOTAL								14	36.84								24	63.16					38	
																			Elected							
																										
Moe                                                            																										
	FIRST			83	2.46		34	1.01		837	24.79		115	3.41		108	3.20		2085	61.76		114	3.38		3376	
	SECOND				Excluded		20	24.10		41	49.40		4	4.82		2	2.41		11	13.25		5	6.02		83	
		TOTAL					54	1.60		878	26.01		119	3.52		110	3.26		2096	62.09		119	3.52		3376	
	THIRD							Excluded		42	77.78		4	7.41		2	3.70		4	7.41		2	3.70		54	
		TOTAL								920	27.25		123	3.64		112	3.32		2100	62.20		121	3.58		3376	
	FOURTH									30	24.79		9	7.44		47	38.84		35	28.93			Excluded		121	
		TOTAL								950	28.14		132	3.91		159	4.71		2135	63.24					3376	
	FIFTH									25	18.94			Excluded		83	62.88		24	18.18					132	
		TOTAL								975	28.88					242	7.17		2159	63.95					3376	
	SIXTH									71	29.34						Excluded		171	70.66					242	
		TOTAL								1046	30.98								2330	69.02					3376	
																			Elected							
																										
Moe Central                                                    																										
	FIRST			29	1.83		24	1.51		286	18.01		63	3.97		33	2.08		1098	69.14		55	3.46		1588	
	SECOND				Excluded		11	37.93		6	20.69		4	13.79		4	13.79		4	13.79		0	0.00		29	
		TOTAL					35	2.20		292	18.39		67	4.22		37	2.33		1102	69.40		55	3.46		1588	
	THIRD							Excluded		29	82.86		1	2.86		3	8.57		2	5.71		0	0.00		35	
		TOTAL								321	20.21		68	4.28		40	2.52		1104	69.52		55	3.46		1588	
	FOURTH									9	16.36		4	7.27		28	50.91		14	25.45			Excluded		55	
		TOTAL								330	20.78		72	4.53		68	4.28		1118	70.40					1588	
	FIFTH									9	12.50			Excluded		40	55.56		23	31.94					72	
		TOTAL								339	21.35					108	6.80		1141	71.85					1588	
	SIXTH									40	37.04						Excluded		68	62.96					108	
		TOTAL								379	23.87								1209	76.13					1588	
																			Elected							
																										
Moe West                                                       																										
	FIRST			11	1.06		16	1.54		258	24.83		51	4.91		34	3.27		619	59.58		50	4.81		1039	
	SECOND				Excluded		5	45.45		3	27.27		1	9.09		0	0.00		2	18.18		0	0.00		11	
		TOTAL					21	2.02		261	25.12		52	5.00		34	3.27		621	59.77		50	4.81		1039	
	THIRD							Excluded		17	80.95		1	4.76		1	4.76		1	4.76		1	4.76		21	
		TOTAL								278	26.76		53	5.10		35	3.37		622	59.87		51	4.91		1039	
	FOURTH									13	25.49		4	7.84		21	41.18		13	25.49			Excluded		51	
		TOTAL								291	28.01		57	5.49		56	5.39		635	61.12					1039	
	FIFTH									15	26.32			Excluded		31	54.39		11	19.30					57	
		TOTAL								306	29.45					87	8.37		646	62.18					1039	
	SIXTH									30	34.48						Excluded		57	65.52					87	
		TOTAL								336	32.34								703	67.66					1039	
																			Elected							
																										
Morwell                                                        																										
	FIRST			54	3.60		32	2.13		469	31.23		71	4.73		41	2.73		773	51.46		62	4.13		1502	
	SECOND				Excluded		16	29.63		23	42.59		0	0.00		3	5.56		8	14.81		4	7.41		54	
		TOTAL					48	3.20		492	32.76		71	4.73		44	2.93		781	52.00		66	4.39		1502	
	THIRD							Excluded		40	83.33		1	2.08		2	4.17		3	6.25		2	4.17		48	
		TOTAL								532	35.42		72	4.79		46	3.06		784	52.20		68	4.53		1502	
	FOURTH									28	41.18		12	17.65		6	8.82		22	32.35			Excluded		68	
		TOTAL								560	37.28		84	5.59		52	3.46		806	53.66					1502	
	FIFTH									18	21.43			Excluded		46	54.76		20	23.81					84	
		TOTAL								578	38.48					98	6.52		826	54.99					1502	
	SIXTH									16	16.33						Excluded		82	83.67					98	
		TOTAL								594	39.55								908	60.45					1502	
																			Elected							
																										
Morwell Central                                                																										
	FIRST			85	2.90		49	1.67		738	25.22		148	5.06		95	3.25		1713	58.54		98	3.35		2926	
	SECOND				Excluded		27	31.76		33	38.82		3	3.53		4	4.71		11	12.94		7	8.24		85	
		TOTAL					76	2.60		771	26.35		151	5.16		99	3.38		1724	58.92		105	3.59		2926	
	THIRD							Excluded		56	73.68		10	13.16		1	1.32		4	5.26		5	6.58		76	
		TOTAL								827	28.26		161	5.50		100	3.42		1728	59.06		110	3.76		2926	
	FOURTH									34	30.91		12	10.91		19	17.27		45	40.91			Excluded		110	
		TOTAL								861	29.43		173	5.91		119	4.07		1773	60.59					2926	
	FIFTH									20	11.56			Excluded		106	61.27		47	27.17					173	
		TOTAL								881	30.11					225	7.69		1820	62.20					2926	
	SIXTH									50	22.22						Excluded		175	77.78					225	
		TOTAL								931	31.82								1995	68.18					2926	
																			Elected							
																										
Morwell Estate                                                 																										
	FIRST			57	2.28		54	2.16		661	26.47		95	3.80		74	2.96		1509	60.43		47	1.88		2497	
	SECOND				Excluded		17	29.82		21	36.84		5	8.77		3	5.26		9	15.79		2	3.51		57	
		TOTAL					71	2.84		682	27.31		100	4.00		77	3.08		1518	60.79		49	1.96		2497	
	THIRD							Excluded		53	74.65		10	14.08		5	7.04		1	1.41		2	2.82		71	
		TOTAL								735	29.44		110	4.41		82	3.28		1519	60.83		51	2.04		2497	
	FOURTH									13	25.49		11	21.57		9	17.65		18	35.29			Excluded		51	
		TOTAL								748	29.96		121	4.85		91	3.64		1537	61.55					2497	
	FIFTH									20	16.53			Excluded		67	55.37		34	28.10					121	
		TOTAL								768	30.76					158	6.33		1571	62.92					2497	
	SIXTH									29	18.35						Excluded		129	81.65					158	
		TOTAL								797	31.92								1700	68.08					2497	
																			Elected							
																										
Morwell North                                                  																										
	FIRST			9	2.05		9	2.05		100	22.73		14	3.18		21	4.77		268	60.91		19	4.32		440	
	SECOND				Excluded		2	22.22		2	22.22		0	0.00		0	0.00		3	33.33		2	22.22		9	
		TOTAL					11	2.50		102	23.18		14	3.18		21	4.77		271	61.59		21	4.77		440	
	THIRD							Excluded		10	90.91		1	9.09		0	0.00		0	0.00		0	0.00		11	
		TOTAL								112	25.45		15	3.41		21	4.77		271	61.59		21	4.77		440	
	FOURTH									8	38.10		0	0.00		6	28.57		7	33.33			Excluded		21	
		TOTAL								120	27.27		15	3.41		27	6.14		278	63.18					440	
	FIFTH									0	0.00			Excluded		12	80.00		3	20.00					15	
		TOTAL								120	27.27					39	8.86		281	63.86					440	
	SIXTH									4	10.26						Excluded		35	89.74					39	
		TOTAL								124	28.18								316	71.82					440	
																			Elected							
																										
Nar Nar Goon                                                   																										
	FIRST			5	0.86		17	2.93		310	53.36		22	3.79		12	2.07		197	33.91		18	3.10		581	
