House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Flinders																									
				WILSON			DOWEY			BLADE			HUNT			FINCH			ARMSTRONG			DE RANGO			
	FIRST			24	1.35		54	3.03		10	0.56		891	50.06		586	32.92		117	6.57		98	5.51		1780
	SECOND			3	30.00		1	10.00			Excluded		0	0.00		2	20.00		4	40.00		0	0.00		10
		TOTAL		27	1.52		55	3.09					891	50.06		588	33.03		121	6.80		98	5.51		1780
	THIRD				Excluded		9	33.33					8	29.63		4	14.81		2	7.41		4	14.81		27
		TOTAL					64	3.60					899	50.51		592	33.26		123	6.91		102	5.73		1780
	FOURTH							Excluded					21	32.81		11	17.19		6	9.38		26	40.63		64
		TOTAL											920	51.69		603	33.88		129	7.25		128	7.19		1780
	FIFTH												29	22.48		25	19.38			Excluded		75	58.14		129
		TOTAL											949	53.31		628	35.28					203	11.40		1780
	SIXTH												77	37.93		126	62.07						Excluded		203
		TOTAL											1026	57.64		754	42.36								1780
													Elected												
																									
Bayles                                                         																									
	FIRST			4	1.17		6	1.75		5	1.46		209	61.11		91	26.61		17	4.97		10	2.92		342
	SECOND			1	20.00		0	0.00			Excluded		2	40.00		0	0.00		2	40.00		0	0.00		5
		TOTAL		5	1.46		6	1.75					211	61.70		91	26.61		19	5.56		10	2.92		342
	THIRD				Excluded		5	100.00					0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL					11	3.22					211	61.70		91	26.61		19	5.56		10	2.92		342
	FOURTH							Excluded					7	63.64		1	9.09		2	18.18		1	9.09		11
		TOTAL											218	63.74		92	26.90		21	6.14		11	3.22		342
	FIFTH												4	19.05		9	42.86			Excluded		8	38.10		21
		TOTAL											222	64.91		101	29.53					19	5.56		342
	SIXTH												7	36.84		12	63.16						Excluded		19
		TOTAL											229	66.96		113	33.04								342
													Elected												
																									
Bittern                                                        																									
	FIRST			16	1.29		35	2.81		8	0.64		583	46.83		403	32.37		91	7.31		109	8.76		1245
	SECOND			3	37.50		1	12.50			Excluded		2	25.00		1	12.50		0	0.00		1	12.50		8
		TOTAL		19	1.53		36	2.89					585	46.99		404	32.45		91	7.31		110	8.84		1245
	THIRD				Excluded		8	42.11					1	5.26		3	15.79		3	15.79		4	21.05		19
		TOTAL					44	3.53					586	47.07		407	32.69		94	7.55		114	9.16		1245
	FOURTH							Excluded					15	34.09		13	29.55		5	11.36		11	25.00		44
		TOTAL											601	48.27		420	33.73		99	7.95		125	10.04		1245
	FIFTH												16	16.16		20	20.20			Excluded		63	63.64		99
		TOTAL											617	49.56		440	35.34					188	15.10		1245
	SIXTH												46	24.47		142	75.53						Excluded		188
		TOTAL											663	53.25		582	46.75								1245
													Elected												
																									
Blairgowrie                                                    																									
	FIRST			9	0.60		20	1.34		3	0.20		817	54.61		480	32.09		71	4.75		96	6.42		1496
	SECOND			1	33.33		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		10	0.67		21	1.40					818	54.68		480	32.09		71	4.75		96	6.42		1496
	THIRD				Excluded		3	30.00					3	30.00		2	20.00		2	20.00		0	0.00		10
		TOTAL					24	1.60					821	54.88		482	32.22		73	4.88		96	6.42		1496
	FOURTH							Excluded					7	29.17		7	29.17		9	37.50		1	4.17		24
		TOTAL											828	55.35		489	32.69		82	5.48		97	6.48		1496
	FIFTH												7	8.54		18	21.95			Excluded		57	69.51		82
		TOTAL											835	55.82		507	33.89					154	10.29		1496
	SIXTH												48	31.17		106	68.83						Excluded		154
		TOTAL											883	59.02		613	40.98								1496
													Elected												
																									
Blind Bight                                                    																									
	FIRST			9	1.20		24	3.20		5	0.67		369	49.20		282	37.60		32	4.27		29	3.87		750
	SECOND			3	60.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		12	1.60		25	3.33					369	49.20		283	37.73		32	4.27		29	3.87		750
	THIRD				Excluded		5	41.67					1	8.33		1	8.33		2	16.67		3	25.00		12
		TOTAL					30	4.00					370	49.33		284	37.87		34	4.53		32	4.27		750
	FOURTH							Excluded					10	33.33		5	16.67		6	20.00		9	30.00		30
		TOTAL											380	50.67		289	38.53		40	5.33		41	5.47		750
	FIFTH												9	22.50		11	27.50			Excluded		20	50.00		40
		TOTAL											389	51.87		300	40.00					61	8.13		750
	SIXTH												20	32.79		41	67.21						Excluded		61
		TOTAL											409	54.53		341	45.47								750
													Elected												
																									
Boneo                                                          																									
	FIRST			4	0.77		3	0.58		0	0.00		297	57.23		143	27.55		34	6.55		38	7.32		519
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	0.77		3	0.58					297	57.23		143	27.55		34	6.55		38	7.32		519
	THIRD				Excluded		2	50.00					0	0.00		0	0.00		1	25.00		1	25.00		4
		TOTAL					5	0.96					297	57.23		143	27.55		35	6.74		39	7.51		519
	FOURTH							Excluded					4	80.00		0	0.00		0	0.00		1	20.00		5
		TOTAL											301	58.00		143	27.55		35	6.74		40	7.71		519
	FIFTH												2	5.71		9	25.71			Excluded		24	68.57		35
		TOTAL											303	58.38		152	29.29					64	12.33		519
	SIXTH												28	43.75		36	56.25						Excluded		64
		TOTAL											331	63.78		188	36.22								519
													Elected												
																									
Cardinia                                                       																									
	FIRST			7	2.55		5	1.82		1	0.36		165	60.22		75	27.37		8	2.92		13	4.74		274
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		8	2.92		5	1.82					165	60.22		75	27.37		8	2.92		13	4.74		274
	THIRD				Excluded		2	25.00					3	37.50		2	25.00		0	0.00		1	12.50		8
		TOTAL					7	2.55					168	61.31		77	28.10		8	2.92		14	5.11		274
	FOURTH							Excluded					5	71.43		1	14.29		0	0.00		1	14.29		7
		TOTAL											173	63.14		78	28.47		8	2.92		15	5.47		274
	FIFTH												3	37.50		1	12.50			Excluded		4	50.00		8
		TOTAL											176	64.23		79	28.83					19	6.93		274
	SIXTH												8	42.11		11	57.89						Excluded		19
		TOTAL											184	67.15		90	32.85								274
													Elected												
																									
Catani                                                         																									
	FIRST			1	0.62		11	6.83		0	0.00		112	69.57		31	19.25		4	2.48		2	1.24		161
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.62		11	6.83					112	69.57		31	19.25		4	2.48		2	1.24		161
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL					11	6.83					112	69.57		31	19.25		4	2.48		3	1.86		161
	FOURTH							Excluded					5	45.45		2	18.18		1	9.09		3	27.27		11
		TOTAL											117	72.67		33	20.50		5	3.11		6	3.73		161
	FIFTH												1	20.00		1	20.00			Excluded		3	60.00		5
		TOTAL											118	73.29		34	21.12					9	5.59		161
	SIXTH												4	44.44		5	55.56						Excluded		9
		TOTAL											122	75.78		39	24.22								161
													Elected												
																									
Clyde                                                          																									
	FIRST			7	1.30		20	3.72		4	0.74		349	64.99		122	22.72		23	4.28		12	2.23		537
	SECOND			1	25.00		1	25.00			Excluded		2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		8	1.49		21	3.91					351	65.36		122	22.72		23	4.28		12	2.23		537
	THIRD				Excluded		2	25.00					2	25.00		0	0.00		2	25.00		2	25.00		8
		TOTAL					23	4.28					353	65.74		122	22.72		25	4.66		14	2.61		537
	FOURTH							Excluded					10	43.48		5	21.74		6	26.09		2	8.70		23
		TOTAL											363	67.60		127	23.65		31	5.77		16	2.98		537
	FIFTH												3	9.68		13	41.94			Excluded		15	48.39		31
		TOTAL											366	68.16		140	26.07					31	5.77		537
	SIXTH												9	29.03		22	70.97						Excluded		31
		TOTAL											375	69.83		162	30.17								537
													Elected												
																									
Corinella                                                      																									
	FIRST			16	2.10		33	4.33		7	0.92		291	38.19		361	47.38		26	3.41		28	3.67		762
	SECOND			4	57.14		0	0.00			Excluded		1	14.29		2	28.57		0	0.00		0	0.00		7
		TOTAL		20	2.62		33	4.33					292	38.32		363	47.64		26	3.41		28	3.67		762
	THIRD				Excluded		13	65.00					1	5.00		2	10.00		2	10.00		2	10.00		20
		TOTAL					46	6.04					293	38.45		365	47.90		28	3.67		30	3.94		762
	FOURTH							Excluded					21	45.65		10	21.74		6	13.04		9	19.57		46
		TOTAL											314	41.21		375	49.21		34	4.46		39	5.12		762
	FIFTH												9	26.47		7	20.59			Excluded		18	52.94		34
		TOTAL											323	42.39		382	50.13					57	7.48		762
	SIXTH												17	29.82		40	70.18						Excluded		57
		TOTAL											340	44.62		422	55.38								762
													Elected												
																									
Cowes                                                          																									
	FIRST			22	0.82		46	1.72		18	0.67		1346	50.45		855	32.05		140	5.25		241	9.03		2668
	SECOND			8	44.44		2	11.11			Excluded		5	27.78		1	5.56		1	5.56		1	5.56		18
		TOTAL		30	1.12		48	1.80					1351	50.64		856	32.08		141	5.28		242	9.07		2668
	THIRD				Excluded		7	23.33					4	13.33		5	16.67		5	16.67		9	30.00		30
		TOTAL					55	2.06					1355	50.79		861	32.27		146	5.47		251	9.41		2668
	FOURTH							Excluded					28	50.91		11	20.00		2	3.64		14	25.45		55
		TOTAL											1383	51.84		872	32.68		148	5.55		265	9.93		2668
	FIFTH												18	12.16		27	18.24			Excluded		103	69.59		148
		TOTAL											1401	52.51		899	33.70					368	13.79		2668
	SIXTH												105	28.53		263	71.47						Excluded		368
		TOTAL											1506	56.45		1162	43.55								2668
													Elected												
																									
Cranbourne (Flinders)                                          																									
	FIRST			10	1.95		12	2.33		7	1.36		238	46.30		193	37.55		32	6.23		22	4.28		514
	SECOND			4	57.14		1	14.29			Excluded		1	14.29		0	0.00		1	14.29		0	0.00		7
		TOTAL		14	2.72		13	2.53					239	46.50		193	37.55		33	6.42		22	4.28		514
	THIRD				Excluded		4	28.57					4	28.57		3	21.43		0	0.00		3	21.43		14
		TOTAL					17	3.31					243	47.28		196	38.13		33	6.42		25	4.86		514
	FOURTH							Excluded					10	58.82		1	5.88		2	11.76		4	23.53		17
		TOTAL											253	49.22		197	38.33		35	6.81		29	5.64		514
	FIFTH												8	22.86		10	28.57			Excluded		17	48.57		35
		TOTAL											261	50.78		207	40.27					46	8.95		514
	SIXTH												19	41.30		27	58.70						Excluded		46
		TOTAL											280	54.47		234	45.53								514
													Elected												
																									
Cranbourne South                                               																									
	FIRST			9	0.95		16	1.68		8	0.84		585	61.45		266	27.94		35	3.68		33	3.47		952
	SECOND			6	75.00		0	0.00			Excluded		2	25.00		0	0.00		0	0.00		0	0.00		8
		TOTAL		15	1.58		16	1.68					587	61.66		266	27.94		35	3.68		33	3.47		952
	THIRD				Excluded		3	20.00					2	13.33		3	20.00		2	13.33		5	33.33		15
		TOTAL					19	2.00					589	61.87		269	28.26		37	3.89		38	3.99		952
	FOURTH							Excluded					8	42.11		5	26.32		2	10.53		4	21.05		19
		TOTAL											597	62.71		274	28.78		39	4.10		42	4.41		952
	FIFTH												4	10.26		10	25.64			Excluded		25	64.10		39
		TOTAL											601	63.13		284	29.83					67	7.04		952
	SIXTH												32	47.76		35	52.24						Excluded		67
		TOTAL											633	66.49		319	33.51								952
													Elected												
																									
Crib Point                                                     																									
	FIRST			16	1.35		42	3.56		7	0.59		490	41.49		513	43.44		65	5.50		48	4.06		1181
	SECOND			4	57.14		1	14.29			Excluded		0	0.00		0	0.00		1	14.29		1	14.29		7
		TOTAL		20	1.69		43	3.64					490	41.49		513	43.44		66	5.59		49	4.15		1181
	THIRD				Excluded		5	25.00					4	20.00		5	25.00		3	15.00		3	15.00		20
		TOTAL					48	4.06					494	41.83		518	43.86		69	5.84		52	4.40		1181
	FOURTH							Excluded					20	41.67		10	20.83		10	20.83		8	16.67		48
		TOTAL											514	43.52		528	44.71		79	6.69		60	5.08		1181
	FIFTH												8	10.13		13	16.46			Excluded		58	73.42		79
		TOTAL											522	44.20		541	45.81					118	9.99		1181
	SIXTH												37	31.36		81	68.64						Excluded		118
		TOTAL											559	47.33		622	52.67								1181
													Elected												
																									
Dalyston                                                       																									
	FIRST			3	0.92		14	4.31		3	0.92		184	56.62		83	25.54		10	3.08		28	8.62		325
	SECOND			3	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		6	1.85		14	4.31					184	56.62		83	25.54		10	3.08		28	8.62		325
	THIRD				Excluded		2	33.33					0	0.00		1	16.67		3	50.00		0	0.00		6
		TOTAL					16	4.92					184	56.62		84	25.85		13	4.00		28	8.62		325
	FOURTH							Excluded					10	62.50		5	31.25		1	6.25		0	0.00		16
		TOTAL											194	59.69		89	27.38		14	4.31		28	8.62		325
	FIFTH												4	28.57		3	21.43			Excluded		7	50.00		14
		TOTAL											198	60.92		92	28.31					35	10.77		325
	SIXTH												7	20.00		28	80.00						Excluded		35
		TOTAL											205	63.08		120	36.92								325
													Elected												
																									
Devon Meadows                                                  																									
	FIRST			20	1.38		38	2.62		11	0.76		790	54.52		464	32.02		78	5.38		48	3.31		1449
	SECOND			6	54.55		1	9.09			Excluded		2	18.18		1	9.09		1	9.09		0	0.00		11
		TOTAL		26	1.79		39	2.69					792	54.66		465	32.09		79	5.45		48	3.31		1449
	THIRD				Excluded		12	46.15					3	11.54		3	11.54		5	19.23		3	11.54		26
		TOTAL					51	3.52					795	54.87		468	32.30		84	5.80		51	3.52		1449
	FOURTH							Excluded					22	43.14		13	25.49		9	17.65		7	13.73		51
		TOTAL											817	56.38		481	33.20		93	6.42		58	4.00		1449
	FIFTH												15	16.13		16	17.20			Excluded		62	66.67		93
		TOTAL											832	57.42		497	34.30					120	8.28		1449
	SIXTH												42	35.00		78	65.00						Excluded		120
		TOTAL											874	60.32		575	39.68								1449
													Elected												
																									
Dromana                                                        																									
	FIRST			26	0.90		39	1.35		37	1.28		1441	49.93		1027	35.59		159	5.51		157	5.44		2886
	SECOND			10	27.03		3	8.11			Excluded		10	27.03		7	18.92		3	8.11		4	10.81		37
		TOTAL		36	1.25		42	1.46					1451	50.28		1034	35.83		162	5.61		161	5.58		2886
	THIRD				Excluded		11	30.56					9	25.00		3	8.33		5	13.89		8	22.22		36
		TOTAL					53	1.84					1460	50.59		1037	35.93		167	5.79		169	5.86		2886
	FOURTH							Excluded					28	52.83		7	13.21		7	13.21		11	20.75		53
		TOTAL											1488	51.56		1044	36.17		174	6.03		180	6.24		2886
	FIFTH												30	17.24		36	20.69			Excluded		108	62.07		174
		TOTAL											1518	52.60		1080	37.42					288	9.98		2886
	SIXTH												107	37.15		181	62.85						Excluded		288
		TOTAL											1625	56.31		1261	43.69								2886
													Elected												
																									
Dromana Beach                                                  																									
	FIRST			4	0.70		14	2.44		2	0.35		286	49.83		187	32.58		24	4.18		57	9.93		574
	SECOND			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		5	0.87		14	2.44					286	49.83		188	32.75		24	4.18		57	9.93		574
	THIRD				Excluded		4	80.00					1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL					18	3.14					287	50.00		188	32.75		24	4.18		57	9.93		574
	FOURTH							Excluded					6	33.33		2	11.11		4	22.22		6	33.33		18
		TOTAL											293	51.05		190	33.10		28	4.88		63	10.98		574
	FIFTH												4	14.29		9	32.14			Excluded		15	53.57		28
		TOTAL											297	51.74		199	34.67					78	13.59		574
	SIXTH												23	29.49		55	70.51						Excluded		78
		TOTAL											320	55.75		254	44.25								574
													Elected												
																									
Flinders                                                       																									
	FIRST			5	0.93		8	1.49		1	0.19		291	54.09		128	23.79		27	5.02		78	14.50		538
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	0.93		8	1.49					292	54.28		128	23.79		27	5.02		78	14.50		538
	THIRD				Excluded		3	60.00					1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL					11	2.04					293	54.46		129	23.98		27	5.02		78	14.50		538
	FOURTH							Excluded					9	81.82		2	18.18		0	0.00		0	0.00		11
		TOTAL											302	56.13		131	24.35		27	5.02		78	14.50		538
	FIFTH												9	33.33		9	33.33			Excluded		9	33.33		27
		TOTAL											311	57.81		140	26.02					87	16.17		538
	SIXTH												15	17.24		72	82.76						Excluded		87
		TOTAL											326	60.59		212	39.41								538
													Elected												
																									
Glen Alvie                                                     																									
	FIRST			0	0.00		5	5.81		4	4.65		52	60.47		16	18.60		5	5.81		4	4.65		86
	SECOND			3	75.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		3	3.49		6	6.98					52	60.47		16	18.60		5	5.81		4	4.65		86
	THIRD				Excluded		1	33.33					0	0.00		1	33.33		1	33.33		0	0.00		3
		TOTAL					7	8.14					52	60.47		17	19.77		6	6.98		4	4.65		86
	FOURTH							Excluded					4	57.14		0	0.00		1	14.29		2	28.57		7
		TOTAL											56	65.12		17	19.77		7	8.14		6	6.98		86
	FIFTH												2	28.57		1	14.29			Excluded		4	57.14		7
		TOTAL											58	67.44		18	20.93					10	11.63		86
	SIXTH												2	20.00		8	80.00						Excluded		10
		TOTAL											60	69.77		26	30.23								86
													Elected												
																									
Grantville                                                     																									
	FIRST			5	0.78		25	3.91		3	0.47		295	46.09		266	41.56		20	3.13		26	4.06		640
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		3
		TOTAL		6	0.94		25	3.91					296	46.25		267	41.72		20	3.13		26	4.06		640
	THIRD				Excluded		0	0.00					2	33.33		3	50.00		1	16.67		0	0.00		6
		TOTAL					25	3.91					298	46.56		270	42.19		21	3.28		26	4.06		640
	FOURTH							Excluded					10	40.00		8	32.00		4	16.00		3	12.00		25
		TOTAL											308	48.13		278	43.44		25	3.91		29	4.53		640
	FIFTH												5	20.00		12	48.00			Excluded		8	32.00		25
		TOTAL											313	48.91		290	45.31					37	5.78		640
	SIXTH												8	21.62		29	78.38						Excluded		37
		TOTAL											321	50.16		319	49.84								640
													Elected												
																									
Hastings                                                       																									
	FIRST			42	1.57		100	3.74		24	0.90		1114	41.68		1111	41.56		147	5.50		135	5.05		2673
	SECOND			13	54.17		3	12.50			Excluded		1	4.17		4	16.67		1	4.17		2	8.33		24
		TOTAL		55	2.06		103	3.85					1115	41.71		1115	41.71		148	5.54		137	5.13		2673
	THIRD				Excluded		20	36.36					11	20.00		9	16.36		7	12.73		8	14.55		55
		TOTAL					123	4.60					1126	42.12		1124	42.05		155	5.80		145	5.42		2673
	FOURTH							Excluded					42	34.15		23	18.70		15	12.20		43	34.96		123
		TOTAL											1168	43.70		1147	42.91		170	6.36		188	7.03		2673
	FIFTH												27	15.88		37	21.76			Excluded		106	62.35		170
		TOTAL											1195	44.71		1184	44.29					294	11.00		2673
	SIXTH												78	26.53		216	73.47						Excluded		294
		TOTAL											1273	47.62		1400	52.38								2673
													Elected												
																									
Kernot                                                         																									
	FIRST			0	0.00		3	2.33		1	0.78		93	72.09		22	17.05		5	3.88		5	3.88		129
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.78		3	2.33					93	72.09		22	17.05		5	3.88		5	3.88		129
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL					4	3.10					93	72.09		22	17.05		5	3.88		5	3.88		129
	FOURTH							Excluded					1	25.00		0	0.00		1	25.00		2	50.00		4
		TOTAL											94	72.87		22	17.05		6	4.65		7	5.43		129
	FIFTH												2	33.33		0	0.00			Excluded		4	66.67		6
		TOTAL											96	74.42		22	17.05					11	8.53		129
	SIXTH												4	36.36		7	63.64						Excluded		11
		TOTAL											100	77.52		29	22.48								129
													Elected												
																									
Kilcunda                                                       																									
	FIRST			3	1.49		12	5.94		0	0.00		92	45.54		74	36.63		8	3.96		13	6.44		202
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.49		12	5.94					92	45.54		74	36.63		8	3.96		13	6.44		202
	THIRD				Excluded		2	66.67					0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL					14	6.93					92	45.54		74	36.63		8	3.96		14	6.93		202
	FOURTH							Excluded					6	42.86		4	28.57		4	28.57		0	0.00		14
		TOTAL											98	48.51		78	38.61		12	5.94		14	6.93		202
	FIFTH												3	25.00		1	8.33			Excluded		8	66.67		12
		TOTAL											101	50.00		79	39.11					22	10.89		202
	SIXTH												5	22.73		17	77.27						Excluded		22
		TOTAL											106	52.48		96	47.52								202
													Elected												
																									
Kooweerup                                                      																									
	FIRST			16	1.59		62	6.16		7	0.70		568	56.41		286	28.40		45	4.47		23	2.28		1007
	SECOND			2	28.57		1	14.29			Excluded		0	0.00		0	0.00		3	42.86		1	14.29		7
		TOTAL		18	1.79		63	6.26					568	56.41		286	28.40		48	4.77		24	2.38		1007
	THIRD				Excluded		7	38.89					3	16.67		3	16.67		3	16.67		2	11.11		18
		TOTAL					70	6.95					571	56.70		289	28.70		51	5.06		26	2.58		1007
	FOURTH							Excluded					17	24.29		11	15.71		5	7.14		37	52.86		70
		TOTAL											588	58.39		300	29.79		56	5.56		63	6.26		1007
	FIFTH												9	16.07		13	23.21			Excluded		34	60.71		56
		TOTAL											597	59.29		313	31.08					97	9.63		1007
	SIXTH												23	23.71		74	76.29						Excluded		97
		TOTAL											620	61.57		387	38.43								1007
													Elected												
																									
Lang Lang                                                      																									
	FIRST			11	1.12		50	5.11		13	1.33		607	62.00		251	25.64		28	2.86		19	1.94		979
	SECOND			4	30.77		2	15.38			Excluded		4	30.77		2	15.38		1	7.69		0	0.00		13
		TOTAL		15	1.53		52	5.31					611	62.41		253	25.84		29	2.96		19	1.94		979
	THIRD				Excluded		9	60.00					2	13.33		0	0.00		0	0.00		4	26.67		15
		TOTAL					61	6.23					613	62.61		253	25.84		29	2.96		23	2.35		979
	FOURTH							Excluded					24	39.34		8	13.11		3	4.92		26	42.62		61
		TOTAL											637	65.07		261	26.66		32	3.27		49	5.01		979
	FIFTH												8	25.00		8	25.00			Excluded		16	50.00		32
		TOTAL											645	65.88		269	27.48					65	6.64		979
	SIXTH												18	27.69		47	72.31						Excluded		65
		TOTAL											663	67.72		316	32.28								979
													Elected												
																									
Main Ridge                                                     																									
	FIRST			0	0.00		0	0.00		1	0.47		132	61.68		60	28.04		6	2.80		15	7.01		214
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		0	0.00		0	0.00					132	61.68		60	28.04		7	3.27		15	7.01		214
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00					132	61.68		60	28.04		7	3.27		15	7.01		214
	FOURTH							Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL											132	61.68		60	28.04		7	3.27		15	7.01		214
	FIFTH												2	28.57		2	28.57			Excluded		3	42.86		7
		TOTAL											134	62.62		62	28.97					18	8.41		214
	SIXTH												6	33.33		12	66.67						Excluded		18
		TOTAL											140	65.42		74	34.58								214
													Elected												
																									
McCrae                                                         																									
	FIRST			6	0.76		13	1.66		3	0.38		437	55.67		232	29.55		29	3.69		65	8.28		785
	SECOND			0	0.00		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		6	0.76		14	1.78					437	55.67		233	29.68		29	3.69		66	8.41		785
	THIRD				Excluded		2	33.33					0	0.00		0	0.00		2	33.33		2	33.33		6
		TOTAL					16	2.04					437	55.67		233	29.68		31	3.95		68	8.66		785
	FOURTH							Excluded					9	56.25		3	18.75		1	6.25		3	18.75		16
		TOTAL											446	56.82		236	30.06		32	4.08		71	9.04		785
	FIFTH												10	31.25		3	9.38			Excluded		19	59.38		32
		TOTAL											456	58.09		239	30.45					90	11.46		785
	SIXTH												22	24.44		68	75.56						Excluded		90
		TOTAL											478	60.89		307	39.11								785
													Elected												
																									
Melbourne (Flinders)                                           																									
	FIRST			0	0.00		0	0.00		0	0.00		14	35.90		11	28.21		8	20.51		6	15.38		39
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00					14	35.90		11	28.21		8	20.51		6	15.38		39
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00					14	35.90		11	28.21		8	20.51		6	15.38		39
	FOURTH							Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL											14	35.90		11	28.21		8	20.51		6	15.38		39
	FIFTH												3	37.50		0	0.00			Excluded		5	62.50		8
		TOTAL											17	43.59		11	28.21					11	28.21		39
	SIXTH												3	27.27		8	72.73						Excluded		11
		TOTAL											20	51.28		19	48.72								39
													Elected												
																									
Merricks North                                                 																									
	FIRST			0	0.00		2	0.81		1	0.41		140	56.91		70	28.46		10	4.07		23	9.35		246
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00		2	0.81					141	57.32		70	28.46		10	4.07		23	9.35		246
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					2	0.81					141	57.32		70	28.46		10	4.07		23	9.35		246
	FOURTH							Excluded					1	50.00		0	0.00		0	0.00		1	50.00		2
		TOTAL											142	57.72		70	28.46		10	4.07		24	9.76		246
	FIFTH												0	0.00		4	40.00			Excluded		6	60.00		10
		TOTAL											142	57.72		74	30.08					30	12.20		246
	SIXTH												10	33.33		20	66.67						Excluded		30
		TOTAL											152	61.79		94	38.21								246
													Elected												
																									
Moorooduc                                                      																									
