House of Representatives - 2001 Election: Victoria																			
Distribution of Preferences																			
By Polling Place																			
Chisholm																			
				CLOWES			BENNETT			BURKE			MURRAY			TANKEY			
		TOTAL		892	46.05		230	11.87		815	42.08								1937
	FOURTH			56	24.35			Excluded		174	75.65								230
		TOTAL		948	48.94					989	51.06								1937
										Elected									
																			
Chadstone East                                                 																			
	FIRST			749	33.11		153	6.76		1209	53.45		26	1.15		125	5.53		2262
	SECOND			2	7.69		4	15.38		8	30.77			Excluded		12	46.15		26
		TOTAL		751	33.20		157	6.94		1217	53.80					137	6.06		2262
	THIRD			15	10.95		88	64.23		34	24.82						Excluded		137
		TOTAL		766	33.86		245	10.83		1251	55.31								2262
	FOURTH			44	17.96			Excluded		201	82.04								245
		TOTAL		810	35.81					1452	64.19								2262
										Elected									
																			
Clayton                                                        																			
	FIRST			468	28.54		107	6.52		973	59.33		18	1.10		74	4.51		1640
	SECOND			6	33.33		1	5.56		7	38.89			Excluded		4	22.22		18
		TOTAL		474	28.90		108	6.59		980	59.76					78	4.76		1640
	THIRD			4	5.13		38	48.72		36	46.15						Excluded		78
		TOTAL		478	29.15		146	8.90		1016	61.95								1640
	FOURTH			33	22.60			Excluded		113	77.40								146
		TOTAL		511	31.16					1129	68.84								1640
										Elected									
																			
Clayton East                                                   																			
	FIRST			397	30.14		78	5.92		787	59.76		17	1.29		38	2.89		1317
	SECOND			4	23.53		2	11.76		8	47.06			Excluded		3	17.65		17
		TOTAL		401	30.45		80	6.07		795	60.36					41	3.11		1317
	THIRD			2	4.88		29	70.73		10	24.39						Excluded		41
		TOTAL		403	30.60		109	8.28		805	61.12								1317
	FOURTH			23	21.10			Excluded		86	78.90								109
		TOTAL		426	32.35					891	67.65								1317
										Elected									
																			
Clayton North                                                  																			
	FIRST			547	31.51		105	6.05		949	54.67		28	1.61		107	6.16		1736
	SECOND			7	25.00		5	17.86		6	21.43			Excluded		10	35.71		28
		TOTAL		554	31.91		110	6.34		955	55.01					117	6.74		1736
	THIRD			14	11.97		65	55.56		38	32.48						Excluded		117
		TOTAL		568	32.72		175	10.08		993	57.20								1736
	FOURTH			33	18.86			Excluded		142	81.14								175
		TOTAL		601	34.62					1135	65.38								1736
										Elected									
																			
Elgar Park                                                     																			
	FIRST			928	49.65		121	6.47		638	34.14		11	0.59		171	9.15		1869
	SECOND			2	18.18		2	18.18		0	0.00			Excluded		7	63.64		11
		TOTAL		930	49.76		123	6.58		638	34.14					178	9.52		1869
	THIRD			8	4.49		122	68.54		48	26.97						Excluded		178
		TOTAL		938	50.19		245	13.11		686	36.70								1869
	FOURTH			62	25.31			Excluded		183	74.69								245
		TOTAL		1000	53.50					869	46.50								1869
										Elected									
																			
Essex Heights                                                  																			
	FIRST			1509	48.32		186	5.96		1205	38.58		59	1.89		164	5.25		3123
	SECOND			14	23.73		1	1.69		16	27.12			Excluded		28	47.46		59
		TOTAL		1523	48.77		187	5.99		1221	39.10					192	6.15		3123
	THIRD			30	15.63		116	60.42		46	23.96						Excluded		192
		TOTAL		1553	49.73		303	9.70		1267	40.57								3123
	FOURTH			92	30.36			Excluded		211	69.64								303
		TOTAL		1645	52.67					1478	47.33								3123
										Elected									
																			
Glendal                                                        																			
	FIRST			1331	50.82		165	6.30		998	38.11		16	0.61		109	4.16		2619
	SECOND			2	12.50		0	0.00		8	50.00			Excluded		6	37.50		16
		TOTAL		1333	50.90		165	6.30		1006	38.41					115	4.39		2619
	THIRD			12	10.43		69	60.00		34	29.57						Excluded		115
		TOTAL		1345	51.36		234	8.93		1040	39.71								2619
	FOURTH			68	29.06			Excluded		166	70.94								234
		TOTAL		1413	53.95					1206	46.05								2619
										Elected									
																			
Huntingdale                                                    																			
	FIRST			326	32.63		65	6.51		563	56.36		9	0.90		36	3.60		999
	SECOND			0	0.00		1	11.11		4	44.44			Excluded		4	44.44		9
		TOTAL		326	32.63		66	6.61		567	56.76					40	4.00		999
	THIRD			3	7.50		21	52.50		16	40.00						Excluded		40
		TOTAL		329	32.93		87	8.71		583	58.36								999
	FOURTH			22	25.29			Excluded		65	74.71								87
		TOTAL		351	35.14					648	64.86								999
										Elected									
																			
Kerrimuir                                                      																			
	FIRST			1155	43.00		164	6.11		1200	44.68		21	0.78		146	5.44		2686
	SECOND			4	19.05		3	14.29		6	28.57			Excluded		8	38.10		21
		TOTAL		1159	43.15		167	6.22		1206	44.90					154	5.73		2686
	THIRD			12	7.79		95	61.69		47	30.52						Excluded		154
		TOTAL		1171	43.60		262	9.75		1253	46.65								2686
	FOURTH			48	18.32			Excluded		214	81.68								262
		TOTAL		1219	45.38					1467	54.62								2686
										Elected									
																			
Koonung Heights                                                																			
	FIRST			1182	46.54		220	8.66		924	36.38		21	0.83		193	7.60		2540
	SECOND			4	19.05		2	9.52		7	33.33			Excluded		8	38.10		21
		TOTAL		1186	46.69		222	8.74		931	36.65					201	7.91		2540
	THIRD			14	6.97		124	61.69		63	31.34						Excluded		201
		TOTAL		1200	47.24		346	13.62		994	39.13								2540
	FOURTH			81	23.41			Excluded		265	76.59								346
		TOTAL		1281	50.43					1259	49.57								2540
										Elected									
																			
Manooka                                                        																			
	FIRST			642	41.72		106	6.89		741	48.15		8	0.52		42	2.73		1539
	SECOND			2	25.00		0	0.00		4	50.00			Excluded		2	25.00		8
		TOTAL		644	41.85		106	6.89		745	48.41					44	2.86		1539
	THIRD			3	6.82		25	56.82		16	36.36						Excluded		44
		TOTAL		647	42.04		131	8.51		761	49.45								1539
	FOURTH			27	20.61			Excluded		104	79.39								131
		TOTAL		674	43.79					865	56.21								1539
										Elected									
																			
Melbourne (Chisholm)                                           																			
	FIRST			30	34.09		11	12.50		34	38.64		1	1.14		12	13.64		88
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		30	34.09		11	12.50		35	39.77					12	13.64		88
	THIRD			2	16.67		7	58.33		3	25.00						Excluded		12
		TOTAL		32	36.36		18	20.45		38	43.18								88
	FOURTH			7	38.89			Excluded		11	61.11								18
		TOTAL		39	44.32					49	55.68								88
										Elected									
																			
Mont Albert                                                    																			
	FIRST			1150	53.59		159	7.41		639	29.78		8	0.37		190	8.85		2146
	SECOND			3	37.50		1	12.50		1	12.50			Excluded		3	37.50		8
		TOTAL		1153	53.73		160	7.46		640	29.82					193	8.99		2146
	THIRD			18	9.33		111	57.51		64	33.16						Excluded		193
		TOTAL		1171	54.57		271	12.63		704	32.81								2146
	FOURTH			71	26.20			Excluded		200	73.80								271
		TOTAL		1242	57.88					904	42.12								2146
										Elected									
																			
Mount Waverley                                                 																			
	FIRST			351	52.70		43	6.46		223	33.48		5	0.75		44	6.61		666
	SECOND			0	0.00		1	20.00		3	60.00			Excluded		1	20.00		5
		TOTAL		351	52.70		44	6.61		226	33.93					45	6.76		666
	THIRD			6	13.33		24	53.33		15	33.33						Excluded		45
		TOTAL		357	53.60		68	10.21		241	36.19								666
	FOURTH			14	20.59			Excluded		54	79.41								68
		TOTAL		371	55.71					295	44.29								666
										Elected									
																			
Mount Waverley South                                           																			
	FIRST			2085	50.37		243	5.87		1523	36.80		43	1.04		245	5.92		4139
	SECOND			7	16.28		4	9.30		10	23.26			Excluded		22	51.16		43
		TOTAL		2092	50.54		247	5.97		1533	37.04					267	6.45		4139
	THIRD			35	13.11		173	64.79		59	22.10						Excluded		267
		TOTAL		2127	51.39		420	10.15		1592	38.46								4139
	FOURTH			99	23.57			Excluded		321	76.43								420
		TOTAL		2226	53.78					1913	46.22								4139
										Elected									
																			
Oakleigh (Chisholm)                                            																			
	FIRST			459	31.44		86	5.89		791	54.18		15	1.03		109	7.47		1460
	SECOND			1	6.67		2	13.33		8	53.33			Excluded		4	26.67		15
		TOTAL		460	31.51		88	6.03		799	54.73					113	7.74		1460
	THIRD			12	10.62		71	62.83		30	26.55						Excluded		113
		TOTAL		472	32.33		159	10.89		829	56.78								1460
	FOURTH			35	22.01			Excluded		124	77.99								159
		TOTAL		507	34.73					953	65.27								1460
										Elected									
																			
Oakleigh East                                                  																			
	FIRST			578	34.49		132	7.88		864	51.55		27	1.61		75	4.47		1676
	SECOND			6	22.22		8	29.63		2	7.41			Excluded		11	40.74		27
		TOTAL		584	34.84		140	8.35		866	51.67					86	5.13		1676
	THIRD			15	17.44		40	46.51		31	36.05						Excluded		86
		TOTAL		599	35.74		180	10.74		897	53.52								1676
	FOURTH			43	23.89			Excluded		137	76.11								180
		TOTAL		642	38.31					1034	61.69								1676
										Elected									
																			
Oakleigh North                                                 																			
	FIRST			607	37.31		111	6.82		808	49.66		23	1.41		78	4.79		1627
	SECOND			3	13.04		10	43.48		4	17.39			Excluded		6	26.09		23
		TOTAL		610	37.49		121	7.44		812	49.91					84	5.16		1627
	THIRD			4	4.76		44	52.38		36	42.86						Excluded		84
		TOTAL		614	37.74		165	10.14		848	52.12								1627
	FOURTH			41	24.85			Excluded		124	75.15								165
		TOTAL		655	40.26					972	59.74								1627
										Elected									
																			
Pinewood (Chisholm)                                            																			
	FIRST			1064	48.63		137	6.26		841	38.44		18	0.82		128	5.85		2188
	SECOND			1	5.56		2	11.11		9	50.00			Excluded		6	33.33		18
		TOTAL		1065	48.67		139	6.35		850	38.85					134	6.12		2188
	THIRD			10	7.46		83	61.94		41	30.60						Excluded		134
		TOTAL		1075	49.13		222	10.15		891	40.72								2188
	FOURTH			64	28.83			Excluded		158	71.17								222
		TOTAL		1139	52.06					1049	47.94								2188
										Elected									
																			
Surrey Hills                                                   																			
	FIRST			872	54.16		108	6.71		488	30.31		9	0.56		133	8.26		1610
	SECOND			1	11.11		1	11.11		2	22.22			Excluded		5	55.56		9
		TOTAL		873	54.22		109	6.77		490	30.43					138	8.57		1610
	THIRD			8	5.80		88	63.77		42	30.43						Excluded		138
		TOTAL		881	54.72		197	12.24		532	33.04								1610
	FOURTH			42	21.32			Excluded		155	78.68								197
		TOTAL		923	57.33					687	42.67								1610
										Elected									
																			
Sussex Heights                                                 																			
	FIRST			774	37.76		137	6.68		1021	49.80		27	1.32		91	4.44		2050
	SECOND			6	22.22		5	18.52		8	29.63			Excluded		8	29.63		27
		TOTAL		780	38.05		142	6.93		1029	50.20					99	4.83		2050
	THIRD			15	15.15		62	62.63		22	22.22						Excluded		99
		TOTAL		795	38.78		204	9.95		1051	51.27								2050
	FOURTH			58	28.43			Excluded		146	71.57								204
		TOTAL		853	41.61					1197	58.39								2050
										Elected									
																			
Syndal North                                                   																			
	FIRST			1502	50.05		220	7.33		1127	37.55		23	0.77		129	4.30		3001
	SECOND			4	17.39		7	30.43		4	17.39			Excluded		8	34.78		23
		TOTAL		1506	50.18		227	7.56		1131	37.69					137	4.57		3001
	THIRD			16	11.68		90	65.69		31	22.63						Excluded		137
		TOTAL		1522	50.72		317	10.56		1162	38.72								3001
	FOURTH			68	21.45			Excluded		249	78.55								317
		TOTAL		1590	52.98					1411	47.02								3001
										Elected									
																			
Syndal South                                                   																			
	FIRST			991	52.74		116	6.17		625	33.26		13	0.69		134	7.13		1879
	SECOND			4	30.77		1	7.69		5	38.46			Excluded		3	23.08		13
		TOTAL		995	52.95		117	6.23		630	33.53					137	7.29		1879
	THIRD			7	5.11		90	65.69		40	29.20						Excluded		137
		TOTAL		1002	53.33		207	11.02		670	35.66								1879
	FOURTH			52	25.12			Excluded		155	74.88								207
		TOTAL		1054	56.09					825	43.91								1879
										Elected									
																			
Tally Ho (Chisholm)                                            																			
	FIRST			635	47.07		92	6.82		558	41.36		10	0.74		54	4.00		1349
	SECOND			3	30.00		0	0.00		4	40.00			Excluded		3	30.00		10
		TOTAL		638	47.29		92	6.82		562	41.66					57	4.23		1349
	THIRD			7	12.28		35	61.40		15	26.32						Excluded		57
		TOTAL		645	47.81		127	9.41		577	42.77								1349
	FOURTH			35	27.56			Excluded		92	72.44								127
		TOTAL		680	50.41					669	49.59								1349
										Elected									
																			
Tyne                                                           																			
	FIRST			508	43.87		74	6.39		489	42.23		8	0.69		79	6.82		1158
	SECOND			0	0.00		0	0.00		3	37.50			Excluded		5	62.50		8
		TOTAL		508	43.87		74	6.39		492	42.49					84	7.25		1158
	THIRD			7	8.33		55	65.48		22	26.19						Excluded		84
		TOTAL		515	44.47		129	11.14		514	44.39								1158
	FOURTH			31	24.03			Excluded		98	75.97								129
		TOTAL		546	47.15					612	52.85								1158
										Elected									
																			
Wattle Park                                                    																			
	FIRST			1027	42.67		149	6.19		1009	41.92		15	0.62		207	8.60		2407
	SECOND			1	6.67		1	6.67		8	53.33			Excluded		5	33.33		15
		TOTAL		1028	42.71		150	6.23		1017	42.25					212	8.81		2407
	THIRD			22	10.38		134	63.21		56	26.42						Excluded		212
		TOTAL		1050	43.62		284	11.80		1073	44.58								2407
	FOURTH			53	18.66			Excluded		231	81.34								284
		TOTAL		1103	45.82					1304	54.18								2407
										Elected									
																			
Waverley North                                                 																			
	FIRST			490	41.14		77	6.47		519	43.58		16	1.34		89	7.47		1191
	SECOND			4	25.00		2	12.50		1	6.25			Excluded		9	56.25		16
		TOTAL		494	41.48		79	6.63		520	43.66					98	8.23		1191
	THIRD			8	8.16		59	60.20		31	31.63						Excluded		98
		TOTAL		502	42.15		138	11.59		551	46.26								1191
	FOURTH			37	26.81			Excluded		101	73.19								138
		TOTAL		539	45.26					652	54.74								1191
										Elected									
																			
Special Hospital Team 1                                        																			
	FIRST			29	53.70		0	0.00		23	42.59		2	3.70		0	0.00		54
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		30	55.56		0	0.00		24	44.44					0	0.00		54
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		30	55.56		0	0.00		24	44.44								54
	FOURTH			0	0.00			Excluded		0	0.00								0
		TOTAL		30	55.56					24	44.44								54
										Elected									
																			
Special Hospital Team 2                                        																			
	FIRST			35	59.32		1	1.69		23	38.98		0	0.00		0	0.00		59
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		35	59.32		1	1.69		23	38.98					0	0.00		59
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		35	59.32		1	1.69		23	38.98								59
	FOURTH			0	0.00			Excluded		1	100.00								1
		TOTAL		35	59.32					24	40.68								59
										Elected									
																			
Special Hospital Team 3                                        																			
	FIRST			5	45.45		0	0.00		6	54.55		0	0.00		0	0.00		11
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		5	45.45		0	0.00		6	54.55					0	0.00		11
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		5	45.45		0	0.00		6	54.55								11
	FOURTH			0	0.00			Excluded		0	0.00								0
		TOTAL		5	45.45					6	54.55								11
										Elected									
																			
Special Hospital Team 4                                        																			
	FIRST			304	75.43		2	0.50		88	21.84		0	0.00		9	2.23		403
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		304	75.43		2	0.50		88	21.84					9	2.23		403
	THIRD			4	44.44		2	22.22		3	33.33						Excluded		9
		TOTAL		308	76.43		4	0.99		91	22.58								403
	FOURTH			2	50.00			Excluded		2	50.00								4
		TOTAL		310	76.92					93	23.08								403
										Elected									
																			
ABSENT																			
	FIRST			2313	41.01		587	10.41		2085	36.97		123	2.18		532	9.43		5640
	SECOND			25	20.33		14	11.38		41	33.33			Excluded		43	34.96		123
		TOTAL		2338	41.45		601	10.66		2126	37.70					575	10.20		5640
	THIRD			84	14.61		332	57.74		159	27.65						Excluded		575
		TOTAL		2422	42.94		933	16.54		2285	40.51								5640
	FOURTH			290	31.08			Excluded		643	68.92								933
		TOTAL		2712	48.09					2928	51.91								5640
										Elected									
																			
POSTAL																			
	FIRST			2302	50.50		230	5.05		1825	40.04		58	1.27		143	3.14		4558
	SECOND			9	15.52		10	17.24		20	34.48			Excluded		19	32.76		58
		TOTAL		2311	50.70		240	5.27		1845	40.48					162	3.55		4558
	THIRD			22	13.58		76	46.91		64	39.51						Excluded		162
		TOTAL		2333	51.18		316	6.93		1909	41.88								4558
	FOURTH			106	33.54			Excluded		210	66.46								316
		TOTAL		2439	53.51					2119	46.49								4558
										Elected									
																			
PRE POLL																			
	FIRST			1363	43.23		253	8.02		1311	41.58		57	1.81		169	5.36		3153
	SECOND			18	31.58		8	14.04		15	26.32			Excluded		16	28.07		57
		TOTAL		1381	43.80		261	8.28		1326	42.06					185	5.87		3153
	THIRD			30	16.22		95	51.35		60	32.43						Excluded		185
		TOTAL		1411	44.75		356	11.29		1386	43.96								3153
	FOURTH			107	30.06			Excluded		249	69.94								356
		TOTAL		1518	48.14					1635	51.86								3153
										Elected									
																			
PROVISIONAL																			
	FIRST			88	41.71		16	7.58		96	45.50		5	2.37		6	2.84		211
	SECOND			1	20.00		0	0.00		2	40.00			Excluded		2	40.00		5
		TOTAL		89	42.18		16	7.58		98	46.45					8	3.79		211
	THIRD			2	25.00		4	50.00		2	25.00						Excluded		8
		TOTAL		91	43.13		20	9.48		100	47.39								211
	FOURTH			7	35.00			Excluded		13	65.00								20
		TOTAL		98	46.45					113	53.55								211
										Elected									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
