House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP																													
By Candidate by Polling Place																													

Higgins (88043)																													
	STEPHENS			GILES			MOSS			#COSTELLO			FORMAL			INFORMAL			TOTAL										
	Katie			Tania			Katie			Peter												Two Candidate Preferred							
	ALP			GRN			DEM			LP												 STEPHENS ALP			# COSTELLO LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Fawkner Park (Higgins)	465	28.48		185	11.33		177	10.84		806	49.36		1633	98.61		23	1.39		1656	2.02		751	45.99		882	54.01
Ferndale	199	25.09		66	8.32		59	7.44		469	59.14		793	98.14		15	1.86		808	0.99		281	35.44		512	64.56
Gardiner	602	30.01		153	7.63		210	10.47		1041	51.89		2006	97.05		61	2.95		2067	2.52		850	42.37		1156	57.63
Glen Iris	753	27.17		230	8.30		238	8.59		1550	55.94		2771	97.30		77	2.70		2848	3.47		1089	39.30		1682	60.70
Glen Iris South	483	28.97		172	10.32		155	9.30		857	51.41		1667	98.23		30	1.77		1697	2.07		729	43.73		938	56.27
Hartwell West	174	30.16		63	10.92		40	6.93		300	51.99		577	98.13		11	1.87		588	0.72		253	43.85		324	56.15
Hawksburn	711	23.75		301	10.05		306	10.22		1676	55.98		2994	97.18		87	2.82		3081	3.76		1132	37.81		1862	62.19
Hawksburn Central	521	47.89		65	5.97		91	8.36		411	37.78		1088	95.69		49	4.31		1137	1.39		637	58.55		451	41.45
Hughesdale North	308	50.41		42	6.87		58	9.49		203	33.22		611	97.29		17	2.71		628	0.77		374	61.21		237	38.79
Kooyong Park	200	14.87		101	7.51		74	5.50		970	72.12		1345	97.89		29	2.11		1374	1.68		316	23.49		1029	76.51
Malvern	733	26.09		250	8.90		232	8.26		1595	56.76		2810	96.73		95	3.27		2905	3.54		1079	38.40		1731	61.60
Malvern Central	559	33.94		152	9.23		127	7.71		809	49.12		1647	97.46		43	2.54		1690	2.06		763	46.33		884	53.67
Malvern East	1128	31.15		326	9.00		369	10.19		1798	49.65		3621	97.00		112	3.00		3733	4.55		1620	44.74		2001	55.26
Malvern Lower	294	16.67		98	5.56		112	6.35		1260	71.43		1764	97.84		39	2.16		1803	2.20		439	24.89		1325	75.11
Malvern South	950	26.75		371	10.45		292	8.22		1938	54.58		3551	96.92		113	3.08		3664	4.47		1420	39.99		2131	60.01
Malvern West	241	26.43		90	9.87		90	9.87		491	53.84		912	96.61		32	3.39		944	1.15		363	39.80		549	60.20
Melbourne (Higgins)	66	30.00		24	10.91		42	19.09		88	40.00		220	94.83		12	5.17		232	0.28		112	50.91		108	49.09
Murrumbeena	659	38.05		141	8.14		174	10.05		758	43.76		1732	97.25		49	2.75		1781	2.17		884	51.04		848	48.96
Oakleigh (Higgins)	137	47.40		27	9.34		27	9.34		98	33.91		289	94.75		16	5.25		305	0.37		177	61.25		112	38.75
Orrong	598	35.70		148	8.84		160	9.55		769	45.91		1675	97.55		42	2.45		1717	2.09		821	49.01		854	50.99
Prahran	863	44.17		239	12.23		235	12.03		617	31.58		1954	95.93		83	4.07		2037	2.48		1234	63.15		720	36.85
Prahran East	1145	39.73		349	12.11		296	10.27		1092	37.89		2882	97.00		89	3.00		2971	3.62		1633	56.66		1249	43.34
South Yarra	287	44.15		63	9.69		57	8.77		243	37.38		650	97.31		18	2.69		668	0.81		375	57.69		275	42.31
Toorak	417	13.98		130	4.36		174	5.84		2261	75.82		2982	97.36		81	2.64		3063	3.74		603	20.22		2379	79.78
Toorak Central	304	20.69		123	8.37		141	9.60		901	61.33		1469	96.96		46	3.04		1515	1.85		488	33.22		981	66.78
Toorak West	263	17.33		120	7.91		88	5.80		1047	68.97		1518	97.87		33	2.13		1551	1.89		391	25.76		1127	74.24
Windsor	391	42.00		127	13.64		103	11.06		310	33.30		931	97.08		28	2.92		959	1.17		568	61.01		363	38.99
Special Hospitals	73	26.26		4	1.44		6	2.16		195	70.14		278	98.58		4	1.42		282	0.34		79	28.42		199	71.58			
Total Ordinary	19229	29.81		5619	8.71		5731	8.88		33925	52.59		64504	97.25		1827	2.75		66331	80.91		27337	42.38		37167	57.62			
ABSENT	1798	26.82		827	12.33		865	12.90		3215	47.95		6705	97.01		207	2.99		6912	8.43		2964	44.21		3741	55.79			
POSTAL	813	20.76		190	4.85		215	5.49		2698	68.90		3916	98.57		57	1.43		3973	4.85		1094	27.94		2822	72.06			
PRE_POLL	1081	25.36		355	8.33		426	9.99		2401	56.32		4263	98.02		86	1.98		4349	5.31		1625	38.12		2638	61.88			
PROVISIONAL	117	29.92		38	9.72		38	9.72		198	50.64		391	94.90		21	5.10		412	0.50		176	45.01		215	54.99			
Division Summary	23038	28.88		7029	8.81		7275	9.12		42437	53.19		79779	97.32		2198	2.68		81977	93.11		33196	41.61		46583	58.39			
																													
																													
																													
																													
																													
