House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences 																						
By Polling Place																						
Dunkley																						
				BILLSON			CARTWRIGHT			CONROY			DAVIS			KELSALL			WOODHOUSE			
	SECOND			8	23.53		4	11.76		7	20.59			Excluded		8	23.53		7	20.59		34
		TOTAL		1185	45.52		47	1.81		1151	44.22					100	3.84		120	4.61		2603
	THIRD			23	48.94			Excluded		12	25.53					6	12.77		6	12.77		47
		TOTAL		1208	46.41					1163	44.68					106	4.07		126	4.84		2603
	FOURTH			22	17.46					42	33.33					62	49.21			Excluded		126
		TOTAL		1230	47.25					1205	46.29					168	6.45					2603
	FIFTH			54	32.14					114	67.86						Excluded					168
		TOTAL		1284	49.33					1319	50.67											2603
				Elected																		
																						
Kingsley Park                                                  																						
	FIRST			960	48.76		21	1.07		772	39.21		33	1.68		57	2.89		126	6.40		1969
	SECOND			8	24.24		3	9.09		9	27.27			Excluded		7	21.21		6	18.18		33
		TOTAL		968	49.16		24	1.22		781	39.66					64	3.25		132	6.70		1969
	THIRD			8	33.33			Excluded		4	16.67					6	25.00		6	25.00		24
		TOTAL		976	49.57					785	39.87					70	3.56		138	7.01		1969
	FOURTH			31	22.46					33	23.91					74	53.62			Excluded		138
		TOTAL		1007	51.14					818	41.54					144	7.31					1969
	FIFTH			64	44.44					80	55.56						Excluded					144
		TOTAL		1071	54.39					898	45.61											1969
				Elected																		
																						
Kunyung                                                        																						
	FIRST			1188	59.79		13	0.65		476	23.96		22	1.11		167	8.40		121	6.09		1987
	SECOND			6	27.27		0	0.00		1	4.55			Excluded		12	54.55		3	13.64		22
		TOTAL		1194	60.09		13	0.65		477	24.01					179	9.01		124	6.24		1987
	THIRD			5	38.46			Excluded		3	23.08					4	30.77		1	7.69		13
		TOTAL		1199	60.34					480	24.16					183	9.21		125	6.29		1987
	FOURTH			19	15.20					39	31.20					67	53.60			Excluded		125
		TOTAL		1218	61.30					519	26.12					250	12.58					1987
	FIFTH			71	28.40					179	71.60						Excluded					250
		TOTAL		1289	64.87					698	35.13											1987
				Elected																		
																						
Langwarrin                                                     																						
	FIRST			2425	48.94		111	2.24		1808	36.49		51	1.03		271	5.47		289	5.83		4955
	SECOND			12	23.53		6	11.76		7	13.73			Excluded		20	39.22		6	11.76		51
		TOTAL		2437	49.18		117	2.36		1815	36.63					291	5.87		295	5.95		4955
	THIRD			43	36.75			Excluded		26	22.22					27	23.08		21	17.95		117
		TOTAL		2480	50.05					1841	37.15					318	6.42		316	6.38		4955
	FOURTH			58	18.35					73	23.10					185	58.54			Excluded		316
		TOTAL		2538	51.22					1914	38.63					503	10.15					4955
	FIFTH			200	39.76					303	60.24						Excluded					503
		TOTAL		2738	55.26					2217	44.74											4955
				Elected																		
																						
Langwarrin North                                               																						
	FIRST			535	53.55		13	1.30		385	38.54		7	0.70		10	1.00		49	4.90		999
	SECOND			2	28.57		1	14.29		0	0.00			Excluded		3	42.86		1	14.29		7
		TOTAL		537	53.75		14	1.40		385	38.54					13	1.30		50	5.01		999
	THIRD			7	50.00			Excluded		2	14.29					2	14.29		3	21.43		14
		TOTAL		544	54.45					387	38.74					15	1.50		53	5.31		999
	FOURTH			14	26.42					18	33.96					21	39.62			Excluded		53
		TOTAL		558	55.86					405	40.54					36	3.60					999
	FIFTH			10	27.78					26	72.22						Excluded					36
		TOTAL		568	56.86					431	43.14											999
				Elected																		
																						
Langwarrin Park                                                																						
	FIRST			1640	54.70		40	1.33		1054	35.16		36	1.20		48	1.60		180	6.00		2998
	SECOND			12	33.33		2	5.56		5	13.89			Excluded		11	30.56		6	16.67		36
		TOTAL		1652	55.10		42	1.40		1059	35.32					59	1.97		186	6.20		2998
	THIRD			19	45.24			Excluded		9	21.43					9	21.43		5	11.90		42
		TOTAL		1671	55.74					1068	35.62					68	2.27		191	6.37		2998
	FOURTH			40	20.94					53	27.75					98	51.31			Excluded		191
		TOTAL		1711	57.07					1121	37.39					166	5.54					2998
	FIFTH			67	40.36					99	59.64						Excluded					166
		TOTAL		1778	59.31					1220	40.69											2998
				Elected																		
																						
Melbourne (Dunkley)                                            																						
	FIRST			21	46.67		0	0.00		11	24.44		2	4.44		6	13.33		5	11.11		45
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		2
		TOTAL		21	46.67		0	0.00		11	24.44					8	17.78		5	11.11		45
	THIRD			0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0
		TOTAL		21	46.67					11	24.44					8	17.78		5	11.11		45
	FOURTH			0	0.00					3	60.00					2	40.00			Excluded		5
		TOTAL		21	46.67					14	31.11					10	22.22					45
	FIFTH			2	20.00					8	80.00						Excluded					10
		TOTAL		23	51.11					22	48.89											45
				Elected																		
																						
Mornington                                                     																						
	FIRST			1933	57.26		49	1.45		946	28.02		30	0.89		236	6.99		182	5.39		3376
	SECOND			7	23.33		0	0.00		6	20.00			Excluded		8	26.67		9	30.00		30
		TOTAL		1940	57.46		49	1.45		952	28.20					244	7.23		191	5.66		3376
	THIRD			27	55.10			Excluded		9	18.37					11	22.45		2	4.08		49
		TOTAL		1967	58.26					961	28.47					255	7.55		193	5.72		3376
	FOURTH			33	17.10					37	19.17					123	63.73			Excluded		193
		TOTAL		2000	59.24					998	29.56					378	11.20					3376
	FIFTH			114	30.16					264	69.84						Excluded					378
		TOTAL		2114	62.62					1262	37.38											3376
				Elected																		
																						
Mornington East                                                																						
	FIRST			1040	53.97		35	1.82		660	34.25		19	0.99		73	3.79		100	5.19		1927
	SECOND			2	10.53		1	5.26		6	31.58			Excluded		6	31.58		4	21.05		19
		TOTAL		1042	54.07		36	1.87		666	34.56					79	4.10		104	5.40		1927
	THIRD			14	38.89			Excluded		9	25.00					9	25.00		4	11.11		36
		TOTAL		1056	54.80					675	35.03					88	4.57		108	5.60		1927
	FOURTH			19	17.59					20	18.52					69	63.89			Excluded		108
		TOTAL		1075	55.79					695	36.07					157	8.15					1927
	FIFTH			69	43.95					88	56.05						Excluded					157
		TOTAL		1144	59.37					783	40.63											1927
				Elected																		
																						
Mornington South                                               																						
	FIRST			1353	51.17		48	1.82		868	32.83		20	0.76		176	6.66		179	6.77		2644
	SECOND			8	40.00		0	0.00		2	10.00			Excluded		5	25.00		5	25.00		20
		TOTAL		1361	51.48		48	1.82		870	32.90					181	6.85		184	6.96		2644
	THIRD			21	43.75			Excluded		10	20.83					14	29.17		3	6.25		48
		TOTAL		1382	52.27					880	33.28					195	7.38		187	7.07		2644
	FOURTH			34	18.18					36	19.25					117	62.57			Excluded		187
		TOTAL		1416	53.56					916	34.64					312	11.80					2644
	FIFTH			99	31.73					213	68.27						Excluded					312
		TOTAL		1515	57.30					1129	42.70											2644
				Elected																		
																						
Mt Eliza                                                       																						
	FIRST			2760	62.74		55	1.25		1029	23.39		37	0.84		302	6.87		216	4.91		4399
	SECOND			14	37.84		1	2.70		4	10.81			Excluded		13	35.14		5	13.51		37
		TOTAL		2774	63.06		56	1.27		1033	23.48					315	7.16		221	5.02		4399
	THIRD			27	48.21			Excluded		7	12.50					16	28.57		6	10.71		56
		TOTAL		2801	63.67					1040	23.64					331	7.52		227	5.16		4399
	FOURTH			50	22.03					51	22.47					126	55.51			Excluded		227
		TOTAL		2851	64.81					1091	24.80					457	10.39					4399
	FIFTH			149	32.60					308	67.40						Excluded					457
		TOTAL		3000	68.20					1399	31.80											4399
				Elected																		
																						
Mt Eliza Central                                               																						
	FIRST			783	75.73		5	0.48		156	15.09		8	0.77		50	4.84		32	3.09		1034
	SECOND			2	25.00		0	0.00		2	25.00			Excluded		2	25.00		2	25.00		8
		TOTAL		785	75.92		5	0.48		158	15.28					52	5.03		34	3.29		1034
	THIRD			3	60.00			Excluded		1	20.00					1	20.00		0	0.00		5
		TOTAL		788	76.21					159	15.38					53	5.13		34	3.29		1034
	FOURTH			6	17.65					8	23.53					20	58.82			Excluded		34
		TOTAL		794	76.79					167	16.15					73	7.06					1034
	FIFTH			30	41.10					43	58.90						Excluded					73
		TOTAL		824	79.69					210	20.31											1034
				Elected																		
																						
Mt Eliza North                                                 																						
	FIRST			770	69.49		11	0.99		215	19.40		7	0.63		57	5.14		48	4.33		1108
	SECOND			3	42.86		0	0.00		1	14.29			Excluded		3	42.86		0	0.00		7
		TOTAL		773	69.77		11	0.99		216	19.49					60	5.42		48	4.33		1108
	THIRD			7	63.64			Excluded		0	0.00					4	36.36		0	0.00		11
		TOTAL		780	70.40					216	19.49					64	5.78		48	4.33		1108
	FOURTH			8	16.67					8	16.67					32	66.67			Excluded		48
		TOTAL		788	71.12					224	20.22					96	8.66					1108
	FIFTH			26	27.08					70	72.92						Excluded					96
		TOTAL		814	73.47					294	26.53											1108
				Elected																		
																						
Mt Erin (Dunkley)                                              																						
	FIRST			932	57.60		19	1.17		504	31.15		24	1.48		71	4.39		68	4.20		1618
	SECOND			10	41.67		0	0.00		3	12.50			Excluded		6	25.00		5	20.83		24
		TOTAL		942	58.22		19	1.17		507	31.33					77	4.76		73	4.51		1618
	THIRD			10	52.63			Excluded		4	21.05					3	15.79		2	10.53		19
		TOTAL		952	58.84					511	31.58					80	4.94		75	4.64		1618
	FOURTH			10	13.33					17	22.67					48	64.00			Excluded		75
		TOTAL		962	59.46					528	32.63					128	7.91					1618
	FIFTH			44	34.38					84	65.63						Excluded					128
		TOTAL		1006	62.18					612	37.82											1618
				Elected																		
																						
Mt Martha North (Dunkley)                                      																						
	FIRST			184	49.46		9	2.42		125	33.60		6	1.61		11	2.96		37	9.95		372
	SECOND			1	16.67		0	0.00		2	33.33			Excluded		2	33.33		1	16.67		6
		TOTAL		185	49.73		9	2.42		127	34.14					13	3.49		38	10.22		372
	THIRD			5	55.56			Excluded		3	33.33					1	11.11		0	0.00		9
		TOTAL		190	51.08					130	34.95					14	3.76		38	10.22		372
	FOURTH			8	21.05					12	31.58					18	47.37			Excluded		38
		TOTAL		198	53.23					142	38.17					32	8.60					372
	FIFTH			10	31.25					22	68.75						Excluded					32
		TOTAL		208	55.91					164	44.09											372
				Elected																		
																						
Seaford                                                        																						
	FIRST			671	35.86		51	2.73		823	43.99		21	1.12		186	9.94		119	6.36		1871
	SECOND			3	14.29		3	14.29		5	23.81			Excluded		5	23.81		5	23.81		21
		TOTAL		674	36.02		54	2.89		828	44.25					191	10.21		124	6.63		1871
	THIRD			19	35.19			Excluded		15	27.78					15	27.78		5	9.26		54
		TOTAL		693	37.04					843	45.06					206	11.01		129	6.89		1871
	FOURTH			13	10.08					42	32.56					74	57.36			Excluded		129
		TOTAL		706	37.73					885	47.30					280	14.97					1871
	FIFTH			75	26.79					205	73.21						Excluded					280
		TOTAL		781	41.74					1090	58.26											1871
				Elected																		
																						
Seaford North                                                  																						
	FIRST			562	38.81		28	1.93		617	42.61		21	1.45		120	8.29		100	6.91		1448
	SECOND			6	28.57		2	9.52		2	9.52			Excluded		5	23.81		6	28.57		21
		TOTAL		568	39.23		30	2.07		619	42.75					125	8.63		106	7.32		1448
	THIRD			12	40.00			Excluded		10	33.33					4	13.33		4	13.33		30
		TOTAL		580	40.06					629	43.44					129	8.91		110	7.60		1448
	FOURTH			24	21.82					26	23.64					60	54.55			Excluded		110
		TOTAL		604	41.71					655	45.23					189	13.05					1448
	FIFTH			61	32.28					128	67.72						Excluded					189
		TOTAL		665	45.93					783	54.07											1448
				Elected																		
																						
Skye (Dunkley)                                                 																						
	FIRST			118	34.10		10	2.89		173	50.00		4	1.16		17	4.91		24	6.94		346
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		1	25.00		1	25.00		4
		TOTAL		119	34.39		10	2.89		174	50.29					18	5.20		25	7.23		346
	THIRD			8	80.00			Excluded		2	20.00					0	0.00		0	0.00		10
		TOTAL		127	36.71					176	50.87					18	5.20		25	7.23		346
	FOURTH			7	28.00					7	28.00					11	44.00			Excluded		25
		TOTAL		134	38.73					183	52.89					29	8.38					346
	FIFTH			8	27.59					21	72.41						Excluded					29
		TOTAL		142	41.04					204	58.96											346
				Elected																		
																						
Tanti Park                                                     																						
	FIRST			807	39.68		42	2.06		938	46.12		21	1.03		53	2.61		173	8.51		2034
	SECOND			5	23.81		3	14.29		4	19.05			Excluded		4	19.05		5	23.81		21
		TOTAL		812	39.92		45	2.21		942	46.31					57	2.80		178	8.75		2034
	THIRD			16	35.56			Excluded		14	31.11					10	22.22		5	11.11		45
		TOTAL		828	40.71					956	47.00					67	3.29		183	9.00		2034
	FOURTH			23	12.57					29	15.85					131	71.58			Excluded		183
		TOTAL		851	41.84					985	48.43					198	9.73					2034
	FIFTH			102	51.52					96	48.48						Excluded					198
		TOTAL		953	46.85					1081	53.15											2034
				Elected																		
																						
Special Hospital Team 1                                        																						
	FIRST			128	53.11		6	2.49		96	39.83		1	0.41		4	1.66		6	2.49		241
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		128	53.11		7	2.90		96	39.83					4	1.66		6	2.49		241
	THIRD			3	42.86			Excluded		4	57.14					0	0.00		0	0.00		7
		TOTAL		131	54.36					100	41.49					4	1.66		6	2.49		241
	FOURTH			2	33.33					3	50.00					1	16.67			Excluded		6
		TOTAL		133	55.19					103	42.74					5	2.07					241
	FIFTH			3	60.00					2	40.00						Excluded					5
		TOTAL		136	56.43					105	43.57											241
				Elected																		
																						
Special Hospital Team 2                                        																						
	FIRST			91	61.90		1	0.68		46	31.29		4	2.72		2	1.36		3	2.04		147
	SECOND			0	0.00		0	0.00		1	25.00			Excluded		2	50.00		1	25.00		4
		TOTAL		91	61.90		1	0.68		47	31.97					4	2.72		4	2.72		147
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		0	0.00		1
		TOTAL		92	62.59					47	31.97					4	2.72		4	2.72		147
	FOURTH			1	25.00					2	50.00					1	25.00			Excluded		4
		TOTAL		93	63.27					49	33.33					5	3.40					147
	FIFTH			3	60.00					2	40.00						Excluded					5
		TOTAL		96	65.31					51	34.69											147
				Elected																		
																						
Special Hospital Team 3                                        																						
	FIRST			204	63.95		3	0.94		102	31.97		1	0.31		3	0.94		6	1.88		319
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL		204	63.95		3	0.94		102	31.97					4	1.25		6	1.88		319
	THIRD			0	0.00			Excluded		0	0.00					3	100.00		0	0.00		3
		TOTAL		204	63.95					102	31.97					7	2.19		6	1.88		319
	FOURTH			1	16.67					3	50.00					2	33.33			Excluded		6
		TOTAL		205	64.26					105	32.92					9	2.82					319
	FIFTH			3	33.33					6	66.67						Excluded					9
		TOTAL		208	65.20					111	34.80											319
				Elected																		
																						
ABSENT																						
	FIRST			1750	45.45		94	2.44		1273	33.06		73	1.90		344	8.94		316	8.21		3850
	SECOND			14	19.18		2	2.74		15	20.55			Excluded		27	36.99		15	20.55		73
		TOTAL		1764	45.82		96	2.49		1288	33.45					371	9.64		331	8.60		3850
	THIRD			32	33.33			Excluded		23	23.96					26	27.08		15	15.63		96
		TOTAL		1796	46.65					1311	34.05					397	10.31		346	8.99		3850
	FOURTH			76	21.97					92	26.59					178	51.45			Excluded		346
		TOTAL		1872	48.62					1403	36.44					575	14.94					3850
	FIFTH			184	32.00					391	68.00						Excluded					575
		TOTAL		2056	53.40					1794	46.60											3850
				Elected																		
																						
POSTAL																						
	FIRST			2053	56.54		64	1.76		1227	33.79		34	0.94		120	3.30		133	3.66		3631
	SECOND			3	8.82		1	2.94		10	29.41			Excluded		15	44.12		5	14.71		34
		TOTAL		2056	56.62		65	1.79		1237	34.07					135	3.72		138	3.80		3631
	THIRD			24	36.92			Excluded		15	23.08					15	23.08		11	16.92		65
		TOTAL		2080	57.28					1252	34.48					150	4.13		149	4.10		3631
	FOURTH			38	25.50					51	34.23					60	40.27			Excluded		149
		TOTAL		2118	58.33					1303	35.89					210	5.78					3631
	FIFTH			61	29.05					149	70.95						Excluded					210
		TOTAL		2179	60.01					1452	39.99											3631
				Elected																		
																						
PRE POLL																						
	FIRST			2134	51.51		72	1.74		1492	36.01		109	2.63		156	3.77		180	4.34		4143
	SECOND			42	38.53		11	10.09		32	29.36			Excluded		14	12.84		10	9.17		109
		TOTAL		2176	52.52		83	2.00		1524	36.78					170	4.10		190	4.59		4143
	THIRD			36	43.37			Excluded		18	21.69					15	18.07		14	16.87		83
		TOTAL		2212	53.39					1542	37.22					185	4.47		204	4.92		4143
	FOURTH			49	24.02					63	30.88					92	45.10			Excluded		204
		TOTAL		2261	54.57					1605	38.74					277	6.69					4143
	FIFTH			82	29.60					195	70.40						Excluded					277
		TOTAL		2343	56.55					1800	43.45											4143
				Elected																		
																						
PROVISIONAL																						
	FIRST			269	43.39		18	2.90		256	41.29		8	1.29		33	5.32		36	5.81		620
	SECOND			1	12.50		1	12.50		3	37.50			Excluded		1	12.50		2	25.00		8
		TOTAL		270	43.55		19	3.06		259	41.77					34	5.48		38	6.13		620
	THIRD			5	26.32			Excluded		9	47.37					3	15.79		2	10.53		19
		TOTAL		275	44.35					268	43.23					37	5.97		40	6.45		620
	FOURTH			5	12.50					10	25.00					25	62.50			Excluded		40
		TOTAL		280	45.16					278	44.84					62	10.00					620
	FIFTH			22	35.48					40	64.52						Excluded					62
		TOTAL		302	48.71					318	51.29											620
				Elected																		
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
