House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Maribyrnong																				
				KOZLOWSKI			BECKWITH			BARCLAY			SERCOMBE			WILLIAMS				
																				
Buckley Park                                                   																				
	FIRST			29	1.15		136	5.38		1112	44.00		1076	42.58		174	6.89		2527	
	SECOND				Excluded		19	65.52		8	27.59		1	3.45		1	3.45		29	
		TOTAL					155	6.13		1120	44.32		1077	42.62		175	6.93		2527	
	THIRD							Excluded		26	16.77		38	24.52		91	58.71		155	
		TOTAL								1146	45.35		1115	44.12		266	10.53		2527	
	FOURTH									68	25.56		198	74.44			Excluded		266	
		TOTAL								1214	48.04		1313	51.96					2527	
													Elected							
																				
Essendon (Maribyrnong)                                         																				
	FIRST			6	1.00		44	7.32		306	50.92		216	35.94		29	4.83		601	
	SECOND				Excluded		5	83.33		0	0.00		0	0.00		1	16.67		6	
		TOTAL					49	8.15		306	50.92		216	35.94		30	4.99		601	
	THIRD							Excluded		7	14.29		14	28.57		28	57.14		49	
		TOTAL								313	52.08		230	38.27		58	9.65		601	
	FOURTH									22	37.93		36	62.07			Excluded		58	
		TOTAL								335	55.74		266	44.26					601	
													Elected							
																				
Essendon West                                                  																				
	FIRST			13	0.60		142	6.52		997	45.80		915	42.03		110	5.05		2177	
	SECOND				Excluded		4	30.77		4	30.77		4	30.77		1	7.69		13	
		TOTAL					146	6.71		1001	45.98		919	42.21		111	5.10		2177	
	THIRD							Excluded		22	15.07		47	32.19		77	52.74		146	
		TOTAL								1023	46.99		966	44.37		188	8.64		2177	
	FOURTH									47	25.00		141	75.00			Excluded		188	
		TOTAL								1070	49.15		1107	50.85					2177	
													Elected							
																				
Kealba                                                         																				
	FIRST			63	2.71		85	3.65		573	24.60		1419	60.93		189	8.12		2329	
	SECOND				Excluded		35	55.56		10	15.87		14	22.22		4	6.35		63	
		TOTAL					120	5.15		583	25.03		1433	61.53		193	8.29		2329	
	THIRD							Excluded		45	37.50		19	15.83		56	46.67		120	
		TOTAL								628	26.96		1452	62.34		249	10.69		2329	
	FOURTH									88	35.34		161	64.66			Excluded		249	
		TOTAL								716	30.74		1613	69.26					2329	
													Elected							
																				
Keilor East                                                    																				
	FIRST			34	1.44		59	2.50		674	28.54		1411	59.74		184	7.79		2362	
	SECOND				Excluded		22	64.71		7	20.59		3	8.82		2	5.88		34	
		TOTAL					81	3.43		681	28.83		1414	59.86		186	7.87		2362	
	THIRD							Excluded		29	35.80		20	24.69		32	39.51		81	
		TOTAL								710	30.06		1434	60.71		218	9.23		2362	
	FOURTH									61	27.98		157	72.02			Excluded		218	
		TOTAL								771	32.64		1591	67.36					2362	
													Elected							
																				
Keilor Heights                                                 																				
	FIRST			31	1.21		84	3.27		911	35.49		1372	53.45		169	6.58		2567	
	SECOND				Excluded		23	74.19		6	19.35		0	0.00		2	6.45		31	
		TOTAL					107	4.17		917	35.72		1372	53.45		171	6.66		2567	
	THIRD							Excluded		30	28.04		25	23.36		52	48.60		107	
		TOTAL								947	36.89		1397	54.42		223	8.69		2567	
	FOURTH									68	30.49		155	69.51			Excluded		223	
		TOTAL								1015	39.54		1552	60.46					2567	
													Elected							
																				
Keilor Park                                                    																				
	FIRST			43	2.37		48	2.65		561	30.94		1073	59.18		88	4.85		1813	
	SECOND				Excluded		30	69.77		7	16.28		4	9.30		2	4.65		43	
		TOTAL					78	4.30		568	31.33		1077	59.40		90	4.96		1813	
	THIRD							Excluded		32	41.03		19	24.36		27	34.62		78	
		TOTAL								600	33.09		1096	60.45		117	6.45		1813	
	FOURTH									51	43.59		66	56.41			Excluded		117	
		TOTAL								651	35.91		1162	64.09					1813	
													Elected							
																				
Keilor South                                                   																				
	FIRST			44	1.54		80	2.81		1009	35.38		1530	53.65		189	6.63		2852	
	SECOND				Excluded		28	63.64		9	20.45		3	6.82		4	9.09		44	
		TOTAL					108	3.79		1018	35.69		1533	53.75		193	6.77		2852	
	THIRD							Excluded		40	37.04		27	25.00		41	37.96		108	
		TOTAL								1058	37.10		1560	54.70		234	8.20		2852	
	FOURTH									85	36.32		149	63.68			Excluded		234	
		TOTAL								1143	40.08		1709	59.92					2852	
													Elected							
																				
Kings Park                                                     																				
	FIRST			149	3.59		80	1.93		596	14.36		3085	74.32		241	5.81		4151	
	SECOND				Excluded		89	59.73		27	18.12		21	14.09		12	8.05		149	
		TOTAL					169	4.07		623	15.01		3106	74.83		253	6.09		4151	
	THIRD							Excluded		94	55.62		39	23.08		36	21.30		169	
		TOTAL								717	17.27		3145	75.76		289	6.96		4151	
	FOURTH									96	33.22		193	66.78			Excluded		289	
		TOTAL								813	19.59		3338	80.41					4151	
													Elected							
																				
Melbourne (Maribyrnong)                                        																				
	FIRST			2	2.70		8	10.81		18	24.32		41	55.41		5	6.76		74	
	SECOND				Excluded		1	50.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					9	12.16		18	24.32		42	56.76		5	6.76		74	
	THIRD							Excluded		1	11.11		3	33.33		5	55.56		9	
		TOTAL								19	25.68		45	60.81		10	13.51		74	
	FOURTH									2	20.00		8	80.00			Excluded		10	
		TOTAL								21	28.38		53	71.62					74	
													Elected							
																				
Moonee Ponds Central                                           																				
	FIRST			18	1.55		105	9.06		539	46.51		419	36.15		78	6.73		1159	
	SECOND				Excluded		10	55.56		3	16.67		1	5.56		4	22.22		18	
		TOTAL					115	9.92		542	46.76		420	36.24		82	7.08		1159	
	THIRD							Excluded		22	19.13		29	25.22		64	55.65		115	
		TOTAL								564	48.66		449	38.74		146	12.60		1159	
	FOURTH									43	29.45		103	70.55			Excluded		146	
		TOTAL								607	52.37		552	47.63					1159	
													Elected							
																				
Moonee Ponds West                                              																				
	FIRST			22	1.01		204	9.35		708	32.45		1124	51.51		124	5.68		2182	
	SECOND				Excluded		14	63.64		2	9.09		5	22.73		1	4.55		22	
		TOTAL					218	9.99		710	32.54		1129	51.74		125	5.73		2182	
	THIRD							Excluded		23	10.55		64	29.36		131	60.09		218	
		TOTAL								733	33.59		1193	54.67		256	11.73		2182	
	FOURTH									53	20.70		203	79.30			Excluded		256	
		TOTAL								786	36.02		1396	63.98					2182	
													Elected							
																				
Niddrie                                                        																				
	FIRST			29	1.66		51	2.91		626	35.73		967	55.19		79	4.51		1752	
	SECOND				Excluded		14	48.28		6	20.69		6	20.69		3	10.34		29	
		TOTAL					65	3.71		632	36.07		973	55.54		82	4.68		1752	
	THIRD							Excluded		18	27.69		10	15.38		37	56.92		65	
		TOTAL								650	37.10		983	56.11		119	6.79		1752	
	FOURTH									40	33.61		79	66.39			Excluded		119	
		TOTAL								690	39.38		1062	60.62					1752	
													Elected							
																				
Niddrie Central                                                																				
	FIRST			40	1.45		129	4.67		1162	42.09		1251	45.31		179	6.48		2761	
	SECOND				Excluded		19	47.50		11	27.50		7	17.50		3	7.50		40	
		TOTAL					148	5.36		1173	42.48		1258	45.56		182	6.59		2761	
	THIRD							Excluded		26	17.57		32	21.62		90	60.81		148	
		TOTAL								1199	43.43		1290	46.72		272	9.85		2761	
	FOURTH									78	28.68		194	71.32			Excluded		272	
		TOTAL								1277	46.25		1484	53.75					2761	
													Elected							
																				
St Albans                                                      																				
	FIRST			68	2.91		51	2.18		493	21.10		1583	67.74		142	6.08		2337	
	SECOND				Excluded		35	51.47		13	19.12		12	17.65		8	11.76		68	
		TOTAL					86	3.68		506	21.65		1595	68.25		150	6.42		2337	
	THIRD							Excluded		40	46.51		21	24.42		25	29.07		86	
		TOTAL								546	23.36		1616	69.15		175	7.49		2337	
	FOURTH									56	32.00		119	68.00			Excluded		175	
		TOTAL								602	25.76		1735	74.24					2337	
													Elected							
																				
St Albans East                                                 																				
	FIRST			138	3.90		129	3.65		644	18.21		2400	67.87		225	6.36		3536	
	SECOND				Excluded		77	55.80		22	15.94		24	17.39		15	10.87		138	
		TOTAL					206	5.83		666	18.83		2424	68.55		240	6.79		3536	
	THIRD							Excluded		89	43.20		39	18.93		78	37.86		206	
		TOTAL								755	21.35		2463	69.65		318	8.99		3536	
	FOURTH									88	27.67		230	72.33			Excluded		318	
		TOTAL								843	23.84		2693	76.16					3536	
													Elected							
																				
St Albans North                                                																				
	FIRST			110	4.39		70	2.79		477	19.04		1657	66.15		191	7.62		2505	
	SECOND				Excluded		54	49.09		29	26.36		19	17.27		8	7.27		110	
		TOTAL					124	4.95		506	20.20		1676	66.91		199	7.94		2505	
	THIRD							Excluded		61	49.19		28	22.58		35	28.23		124	
		TOTAL								567	22.63		1704	68.02		234	9.34		2505	
	FOURTH									67	28.63		167	71.37			Excluded		234	
		TOTAL								634	25.31		1871	74.69					2505	
													Elected							
																				
St Albans South                                                																				
	FIRST			83	3.61		43	1.87		400	17.40		1589	69.12		184	8.00		2299	
	SECOND				Excluded		55	66.27		9	10.84		13	15.66		6	7.23		83	
		TOTAL					98	4.26		409	17.79		1602	69.68		190	8.26		2299	
	THIRD							Excluded		63	64.29		16	16.33		19	19.39		98	
		TOTAL								472	20.53		1618	70.38		209	9.09		2299	
	FOURTH									57	27.27		152	72.73			Excluded		209	
		TOTAL								529	23.01		1770	76.99					2299	
													Elected							
																				
St Albans South East                                           																				
	FIRST			88	3.09		77	2.70		511	17.94		1979	69.46		194	6.81		2849	
	SECOND				Excluded		43	48.86		27	30.68		14	15.91		4	4.55		88	
		TOTAL					120	4.21		538	18.88		1993	69.95		198	6.95		2849	
	THIRD							Excluded		57	47.50		28	23.33		35	29.17		120	
		TOTAL								595	20.88		2021	70.94		233	8.18		2849	
	FOURTH									65	27.90		168	72.10			Excluded		233	
		TOTAL								660	23.17		2189	76.83					2849	
													Elected							
																				
St Albans West                                                 																				
	FIRST			107	3.70		85	2.94		518	17.91		2039	70.48		144	4.98		2893	
	SECOND				Excluded		66	61.68		12	11.21		17	15.89		12	11.21		107	
		TOTAL					151	5.22		530	18.32		2056	71.07		156	5.39		2893	
	THIRD							Excluded		70	46.36		27	17.88		54	35.76		151	
		TOTAL								600	20.74		2083	72.00		210	7.26		2893	
	FOURTH									71	33.81		139	66.19			Excluded		210	
		TOTAL								671	23.19		2222	76.81					2893	
													Elected							
																				
Stevensville                                                   																				
	FIRST			45	2.74		31	1.89		303	18.46		1185	72.21		77	4.69		1641	
	SECOND				Excluded		25	55.56		10	22.22		6	13.33		4	8.89		45	
		TOTAL					56	3.41		313	19.07		1191	72.58		81	4.94		1641	
	THIRD							Excluded		30	53.57		10	17.86		16	28.57		56	
		TOTAL								343	20.90		1201	73.19		97	5.91		1641	
	FOURTH									28	28.87		69	71.13			Excluded		97	
		TOTAL								371	22.61		1270	77.39					1641	
													Elected							
																				
Special Hospital Team 1                                        																				
	FIRST			0	0.00		0	0.00		14	48.28		15	51.72		0	0.00		29	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					0	0.00		14	48.28		15	51.72		0	0.00		29	
	THIRD							Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL								14	48.28		15	51.72		0	0.00		29	
	FOURTH									0	0.00		0	0.00			Excluded		0	
		TOTAL								14	48.28		15	51.72					29	
													Elected							
																				
ABSENT																				
	FIRST			179	3.78		368	7.77		1333	28.15		2475	52.27		380	8.03		4735	
	SECOND				Excluded		92	51.40		44	24.58		28	15.64		15	8.38		179	
		TOTAL					460	9.71		1377	29.08		2503	52.86		395	8.34		4735	
	THIRD							Excluded		198	43.04		111	24.13		151	32.83		460	
		TOTAL								1575	33.26		2614	55.21		546	11.53		4735	
	FOURTH									175	32.05		371	67.95			Excluded		546	
		TOTAL								1750	36.96		2985	63.04					4735	
													Elected							
																				
POSTAL																				
	FIRST			28	1.41		49	2.47		698	35.16		1090	54.91		120	6.05		1985	
	SECOND				Excluded		12	42.86		4	14.29		8	28.57		4	14.29		28	
		TOTAL					61	3.07		702	35.37		1098	55.31		124	6.25		1985	
	THIRD							Excluded		17	27.87		14	22.95		30	49.18		61	
		TOTAL								719	36.22		1112	56.02		154	7.76		1985	
	FOURTH									44	28.57		110	71.43			Excluded		154	
		TOTAL								763	38.44		1222	61.56					1985	
													Elected							
																				
PRE POLL																				
	FIRST			110	3.27		150	4.46		1002	29.76		1901	56.46		204	6.06		3367	
	SECOND				Excluded		66	60.00		24	21.82		12	10.91		8	7.27		110	
		TOTAL					216	6.42		1026	30.47		1913	56.82		212	6.30		3367	
	THIRD							Excluded		106	49.07		48	22.22		62	28.70		216	
		TOTAL								1132	33.62		1961	58.24		274	8.14		3367	
	FOURTH									95	34.67		179	65.33			Excluded		274	
		TOTAL								1227	36.44		2140	63.56					3367	
													Elected							
																				
PROVISIONAL																				
	FIRST			14	3.68		10	2.63		64	16.84		270	71.05		22	5.79		380	
	SECOND				Excluded		7	50.00		2	14.29		4	28.57		1	7.14		14	
		TOTAL					17	4.47		66	17.37		274	72.11		23	6.05		380	
	THIRD							Excluded		8	47.06		3	17.65		6	35.29		17	
		TOTAL								74	19.47		277	72.89		29	7.63		380	
	FOURTH									7	24.14		22	75.86			Excluded		29	
		TOTAL								81	21.32		299	78.68					380	
													Elected							
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
