House of Representatives - 2001 Election: Victoria																																												
First Preference Votes and TCP 																																												
By Candidate by Polling Place																																												

Moncrieff (89483)																																												
	TOBIAS			CARROLL			# CIOBO			DOUGLAS			CHATTERJEE			ALECKSON			MILLAR			DERRICK			HEPBURN			FORMAL			INFORMAL			TOTAL										
	Josephine			Maurie			Steven			Susie			Victoria			Maxwell A			Lesley			Kari			Dean												Two Candidate Preferred							
	IND			IND			LP			NP			ALP			IND			HAN			DEM			GRN												# CIOBO LP			 CHATTERJEE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Earle Haven	16	3.00		1	0.19		323	60.60		31	5.82		119	22.33		4	0.75		22	4.13		11	2.06		6	1.13		533	94.84		29	5.16		562	0.67		385	72.23		148	27.77
Evandale	69	2.72		10	0.39		1463	57.62		233	9.18		473	18.63		10	0.39		112	4.41		88	3.47		81	3.19		2539	94.18		157	5.82		2696	3.22		1857	73.14		682	26.86
Florida Gardens	12	1.74		1	0.15		419	60.90		58	8.43		134	19.48		5	0.73		16	2.33		19	2.76		24	3.49		688	92.23		58	7.77		746	0.89		511	74.27		177	25.73
Gilston	20	2.21		2	0.22		513	56.81		58	6.42		172	19.05		0	0.00		73	8.08		31	3.43		34	3.77		903	96.06		37	3.94		940	1.12		630	69.77		273	30.23
Harley Park	53	3.45		11	0.72		629	40.90		97	6.31		517	33.62		14	0.91		107	6.96		50	3.25		60	3.90		1538	93.33		110	6.67		1648	1.97		855	55.59		683	44.41
Isle Of Capri	79	3.42		6	0.26		1485	64.29		153	6.62		344	14.89		13	0.56		94	4.07		63	2.73		73	3.16		2310	90.20		251	9.80		2561	3.06		1802	78.01		508	21.99
Keebra Park	57	4.00		12	0.84		574	40.31		76	5.34		449	31.53		15	1.05		87	6.11		67	4.71		87	6.11		1424	90.70		146	9.30		1570	1.88		796	55.90		628	44.10
Labrador	78	2.51		21	0.68		1244	40.04		157	5.05		1064	34.25		30	0.97		221	7.11		161	5.18		131	4.22		3107	93.70		209	6.30		3316	3.96		1673	53.85		1434	46.15
Main Beach	88	4.15		4	0.19		1408	66.48		124	5.85		290	13.69		16	0.76		63	2.97		56	2.64		69	3.26		2118	95.11		109	4.89		2227	2.66		1681	79.37		437	20.63
Mermaid Waters (Moncrieff)	18	2.53		7	0.98		389	54.63		39	5.48		157	22.05		5	0.70		32	4.49		44	6.18		21	2.95		712	93.56		49	6.44		761	0.91		485	68.12		227	31.88
Merrimac (Moncrieff)	44	2.84		10	0.65		867	55.94		103	6.65		338	21.81		28	1.81		63	4.06		57	3.68		40	2.58		1550	91.61		142	8.39		1692	2.02		1104	71.23		446	28.77
Moana Park (Moncrieff)	47	3.21		4	0.27		896	61.12		104	7.09		259	17.67		11	0.75		66	4.50		43	2.93		36	2.46		1466	94.16		91	5.84		1557	1.86		1120	76.40		346	23.60
Musgrave Hill	92	3.28		15	0.53		1069	38.07		118	4.20		966	34.40		33	1.18		216	7.69		169	6.02		130	4.63		2808	91.38		265	8.62		3073	3.67		1482	52.78		1326	47.22
Nerang	97	5.12		3	0.16		881	46.47		120	6.33		463	24.42		14	0.74		154	8.12		94	4.96		70	3.69		1896	91.33		180	8.67		2076	2.48		1205	63.55		691	36.45			
Nerang South	86	2.34		22	0.60		1622	44.22		244	6.65		1037	28.27		49	1.34		275	7.50		199	5.43		134	3.65		3668	89.73		420	10.27		4088	4.88		2201	60.01		1467	39.99			
Nerang West (Moncrieff)	123	4.20		9	0.31		1346	46.00		189	6.46		771	26.35		12	0.41		165	5.64		149	5.09		162	5.54		2926	93.93		189	6.07		3115	3.72		1829	62.51		1097	37.49			
Parklands	13	2.67		1	0.21		253	51.95		45	9.24		110	22.59		1	0.21		25	5.13		19	3.90		20	4.11		487	90.35		52	9.65		539	0.64		334	68.58		153	31.42			
Southport	75	3.40		13	0.59		1011	45.81		91	4.12		660	29.90		12	0.54		120	5.44		116	5.26		109	4.94		2207	93.16		162	6.84		2369	2.83		1300	58.90		907	41.10			
Southport North	13	2.46		2	0.38		227	42.99		39	7.39		156	29.55		10	1.89		27	5.11		22	4.17		32	6.06		528	94.29		32	5.71		560	0.67		307	58.14		221	41.86			
Southport West	38	2.46		7	0.45		615	39.78		122	7.89		488	31.57		40	2.59		91	5.89		70	4.53		75	4.85		1546	93.02		116	6.98		1662	1.99		883	57.12		663	42.88			
Surfers Paradise	38	2.90		3	0.23		624	47.67		72	5.50		377	28.80		4	0.31		71	5.42		50	3.82		70	5.35		1309	87.79		182	12.21		1491	1.78		784	59.89		525	40.11			
Tallai (Moncrieff)	36	2.72		9	0.68		790	59.76		52	3.93		217	16.41		3	0.23		91	6.88		63	4.77		61	4.61		1322	94.50		77	5.50		1399	1.67		961	72.69		361	27.31			
William Duncan	81	2.68		16	0.53		1520	50.31		169	5.59		829	27.44		15	0.50		159	5.26		110	3.64		122	4.04		3021	92.70		238	7.30		3259	3.89		1908	63.16		1113	36.84			
Worongary	12	1.82		1	0.15		315	47.73		42	6.36		193	29.24		3	0.45		36	5.45		42	6.36		16	2.42		660	94.56		38	5.44		698	0.83		398	60.30		262	39.70			
Special Hospitals	29	3.30		3	0.34		537	61.09		47	5.35		211	24.00		11	1.25		19	2.16		13	1.48		9	1.02		879	85.67		147	14.33		1026	1.23		638	72.58		241	27.42			
Total Ordinary	1898	3.01		281	0.45		32145	50.98		4088	6.48		15504	24.59		461	0.73		3507	5.56		2798	4.44		2370	3.76		63052	92.32		5248	7.68		68300	81.58		41322	65.54		21730	34.46			
ABSENT	141	3.46		40	0.98		1908	46.80		198	4.86		931	22.84		39	0.96		291	7.14		257	6.30		272	6.67		4077	93.94		263	6.06		4340	5.18		2593	63.60		1484	36.40			
POSTAL	37	0.96		12	0.31		2124	55.37		226	5.89		963	25.10		18	0.47		269	7.01		107	2.79		80	2.09		3836	97.14		113	2.86		3949	4.72		2580	67.26		1256	32.74			
PRE_POLL	177	2.90		23	0.38		3087	50.60		366	6.00		1581	25.91		25	0.41		352	5.77		249	4.08		241	3.95		6101	96.09		248	3.91		6349	7.58		3956	64.84		2145	35.16			
PROVISIONAL	33	4.73		4	0.57		322	46.13		36	5.16		179	25.64		6	0.86		39	5.59		28	4.01		51	7.31		698	89.03		86	10.97		784	0.94		425	60.89		273	39.11			
Division Summary	2286	2.94		360	0.46		39586	50.91		4914	6.32		19158	24.64		549	0.71		4458	5.73		3439	4.42		3014	3.88		77764	92.88		5958	7.12		83722	93.56		50876	65.42		26888	34.58			
																																												
																																												
																																												
																																												
																																												
