House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
Isaacs																													
				OAKLEY			BROOK			CORCORAN			STANTON			GROVES			SHEPHERDSON			BUJEYA			FLETCHER				
	FIFTH				Excluded					23	57.50								4	10.00		7	17.50		6	15.00		40	
		TOTAL								870	49.35								639	36.25		123	6.98		131	7.43		1763	
	SIXTH									61	49.59								14	11.38			Excluded		48	39.02		123	
		TOTAL								931	52.81								653	37.04					179	10.15		1763	
	SEVENTH									120	67.04								59	32.96						Excluded		179	
		TOTAL								1051	59.61								712	40.39								1763	
										Elected																			
																													
Carrum Downs                                                   																													
	FIRST			19	1.43		7	0.53		647	48.65		6	0.45		38	2.86		486	36.54		29	2.18		98	7.37		1330	
	SECOND			4	66.67		0	0.00		1	16.67			Excluded		1	16.67		0	0.00		0	0.00		0	0.00		6	
		TOTAL		23	1.73		7	0.53		648	48.72					39	2.93		486	36.54		29	2.18		98	7.37		1330	
	THIRD			5	71.43			Excluded		2	28.57					0	0.00		0	0.00		0	0.00		0	0.00		7	
		TOTAL		28	2.11					650	48.87					39	2.93		486	36.54		29	2.18		98	7.37		1330	
	FOURTH			12	30.77					11	28.21						Excluded		6	15.38		4	10.26		6	15.38		39	
		TOTAL		40	3.01					661	49.70								492	36.99		33	2.48		104	7.82		1330	
	FIFTH				Excluded					20	50.00								8	20.00		7	17.50		5	12.50		40	
		TOTAL								681	51.20								500	37.59		40	3.01		109	8.20		1330	
	SIXTH									16	40.00								4	10.00			Excluded		20	50.00		40	
		TOTAL								697	52.41								504	37.89					129	9.70		1330	
	SEVENTH									80	62.02								49	37.98						Excluded		129	
		TOTAL								777	58.42								553	41.58								1330	
										Elected																			
																													
Chelsea                                                        																													
	FIRST			17	1.32		12	0.93		592	46.00		3	0.23		23	1.79		508	39.47		55	4.27		77	5.98		1287	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		1	33.33		3	
		TOTAL		17	1.32		12	0.93		592	46.00					24	1.86		509	39.55		55	4.27		78	6.06		1287	
	THIRD			7	58.33			Excluded		1	8.33					1	8.33		2	16.67		1	8.33		0	0.00		12	
		TOTAL		24	1.86					593	46.08					25	1.94		511	39.70		56	4.35		78	6.06		1287	
	FOURTH			4	16.00					8	32.00						Excluded		10	40.00		1	4.00		2	8.00		25	
		TOTAL		28	2.18					601	46.70								521	40.48		57	4.43		80	6.22		1287	
	FIFTH				Excluded					16	57.14								2	7.14		6	21.43		4	14.29		28	
		TOTAL								617	47.94								523	40.64		63	4.90		84	6.53		1287	
	SIXTH									29	46.03								12	19.05			Excluded		22	34.92		63	
		TOTAL								646	50.19								535	41.57					106	8.24		1287	
	SEVENTH									68	64.15								38	35.85						Excluded		106	
		TOTAL								714	55.48								573	44.52								1287	
										Elected																			
																													
Chelsea Central                                                																													
	FIRST			39	1.40		15	0.54		1334	47.75		7	0.25		40	1.43		993	35.54		165	5.91		201	7.19		2794	
	SECOND			2	28.57		0	0.00		2	28.57			Excluded		0	0.00		2	28.57		1	14.29		0	0.00		7	
		TOTAL		41	1.47		15	0.54		1336	47.82					40	1.43		995	35.61		166	5.94		201	7.19		2794	
	THIRD			4	26.67			Excluded		1	6.67					1	6.67		3	20.00		1	6.67		5	33.33		15	
		TOTAL		45	1.61					1337	47.85					41	1.47		998	35.72		167	5.98		206	7.37		2794	
	FOURTH			10	24.39					9	21.95						Excluded		11	26.83		8	19.51		3	7.32		41	
		TOTAL		55	1.97					1346	48.17								1009	36.11		175	6.26		209	7.48		2794	
	FIFTH				Excluded					32	58.18								5	9.09		13	23.64		5	9.09		55	
		TOTAL								1378	49.32								1014	36.29		188	6.73		214	7.66		2794	
	SIXTH									103	54.79								17	9.04			Excluded		68	36.17		188	
		TOTAL								1481	53.01								1031	36.90					282	10.09		2794	
	SEVENTH									179	63.48								103	36.52						Excluded		282	
		TOTAL								1660	59.41								1134	40.59								2794	
										Elected																			
																													
Chelsea Heights                                                																													
	FIRST			47	1.24		32	0.84		1773	46.79		9	0.24		62	1.64		1397	36.87		122	3.22		347	9.16		3789	
	SECOND			2	22.22		2	22.22		1	11.11			Excluded		0	0.00		0	0.00		1	11.11		3	33.33		9	
		TOTAL		49	1.29		34	0.90		1774	46.82					62	1.64		1397	36.87		123	3.25		350	9.24		3789	
	THIRD			18	52.94			Excluded		7	20.59					3	8.82		4	11.76		0	0.00		2	5.88		34	
		TOTAL		67	1.77					1781	47.00					65	1.72		1401	36.98		123	3.25		352	9.29		3789	
	FOURTH			22	33.85					12	18.46						Excluded		14	21.54		11	16.92		6	9.23		65	
		TOTAL		89	2.35					1793	47.32								1415	37.34		134	3.54		358	9.45		3789	
	FIFTH				Excluded					46	51.69								16	17.98		14	15.73		13	14.61		89	
		TOTAL								1839	48.54								1431	37.77		148	3.91		371	9.79		3789	
	SIXTH									60	40.54								18	12.16			Excluded		70	47.30		148	
		TOTAL								1899	50.12								1449	38.24					441	11.64		3789	
	SEVENTH									296	67.12								145	32.88						Excluded		441	
		TOTAL								2195	57.93								1594	42.07								3789	
										Elected																			
																													
Cheltenham (Isaacs)                                            																													
	FIRST			13	1.20		6	0.56		401	37.16		5	0.46		10	0.93		503	46.62		54	5.00		87	8.06		1079	
	SECOND			0	0.00		0	0.00		3	60.00			Excluded		0	0.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL		13	1.20		6	0.56		404	37.44					10	0.93		504	46.71		54	5.00		88	8.16		1079	
	THIRD			4	66.67			Excluded		0	0.00					0	0.00		0	0.00		1	16.67		1	16.67		6	
		TOTAL		17	1.58					404	37.44					10	0.93		504	46.71		55	5.10		89	8.25		1079	
	FOURTH			3	30.00					2	20.00						Excluded		2	20.00		3	30.00		0	0.00		10	
		TOTAL		20	1.85					406	37.63								506	46.90		58	5.38		89	8.25		1079	
	FIFTH				Excluded					10	50.00								4	20.00		5	25.00		1	5.00		20	
		TOTAL								416	38.55								510	47.27		63	5.84		90	8.34		1079	
	SIXTH									27	42.86								6	9.52			Excluded		30	47.62		63	
		TOTAL								443	41.06								516	47.82					120	11.12		1079	
	SEVENTH									76	63.33								44	36.67						Excluded		120	
		TOTAL								519	48.10								560	51.90								1079	
										Elected																			
																													
Cheltenham East (Isaacs)                                       																													
	FIRST			4	0.90		4	0.90		200	44.94		4	0.90		3	0.67		200	44.94		9	2.02		21	4.72		445	
	SECOND			2	50.00		0	0.00		1	25.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		6	1.35		4	0.90		201	45.17					4	0.90		200	44.94		9	2.02		21	4.72		445	
	THIRD			2	50.00			Excluded		2	50.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		8	1.80					203	45.62					4	0.90		200	44.94		9	2.02		21	4.72		445	
	FOURTH			2	50.00					1	25.00						Excluded		1	25.00		0	0.00		0	0.00		4	
		TOTAL		10	2.25					204	45.84								201	45.17		9	2.02		21	4.72		445	
	FIFTH				Excluded					6	60.00								3	30.00		1	10.00		0	0.00		10	
		TOTAL								210	47.19								204	45.84		10	2.25		21	4.72		445	
	SIXTH									4	40.00								2	20.00			Excluded		4	40.00		10	
		TOTAL								214	48.09								206	46.29					25	5.62		445	
	SEVENTH									16	64.00								9	36.00						Excluded		25	
		TOTAL								230	51.69								215	48.31								445	
										Elected																			
																													
Cheltenham South                                               																													
	FIRST			14	1.22		14	1.22		423	36.75		3	0.26		10	0.87		537	46.66		62	5.39		88	7.65		1151	
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3	
		TOTAL		14	1.22		14	1.22		425	36.92					11	0.96		537	46.66		62	5.39		88	7.65		1151	
	THIRD			10	71.43			Excluded		2	14.29					0	0.00		1	7.14		0	0.00		1	7.14		14	
		TOTAL		24	2.09					427	37.10					11	0.96		538	46.74		62	5.39		89	7.73		1151	
	FOURTH			3	27.27					4	36.36						Excluded		3	27.27		1	9.09		0	0.00		11	
		TOTAL		27	2.35					431	37.45								541	47.00		63	5.47		89	7.73		1151	
	FIFTH				Excluded					13	48.15								3	11.11		8	29.63		3	11.11		27	
		TOTAL								444	38.58								544	47.26		71	6.17		92	7.99		1151	
	SIXTH									31	43.66								7	9.86			Excluded		33	46.48		71	
		TOTAL								475	41.27								551	47.87					125	10.86		1151	
	SEVENTH									66	52.80								59	47.20						Excluded		125	
		TOTAL								541	47.00								610	53.00								1151	
										Elected																			
																													
Courtney Gardens                                               																													
	FIRST			72	2.37		23	0.76		1418	46.60		10	0.33		54	1.77		1202	39.50		47	1.54		217	7.13		3043	
	SECOND			2	20.00		2	20.00		1	10.00			Excluded		3	30.00		0	0.00		0	0.00		2	20.00		10	
		TOTAL		74	2.43		25	0.82		1419	46.63					57	1.87		1202	39.50		47	1.54		219	7.20		3043	
	THIRD			16	64.00			Excluded		5	20.00					1	4.00		2	8.00		1	4.00		0	0.00		25	
		TOTAL		90	2.96					1424	46.80					58	1.91		1204	39.57		48	1.58		219	7.20		3043	
	FOURTH			14	24.14					18	31.03						Excluded		16	27.59		4	6.90		6	10.34		58	
		TOTAL		104	3.42					1442	47.39								1220	40.09		52	1.71		225	7.39		3043	
	FIFTH				Excluded					57	54.81								17	16.35		16	15.38		14	13.46		104	
		TOTAL								1499	49.26								1237	40.65		68	2.23		239	7.85		3043	
	SIXTH									16	23.53								9	13.24			Excluded		43	63.24		68	
		TOTAL								1515	49.79								1246	40.95					282	9.27		3043	
	SEVENTH									177	62.77								105	37.23						Excluded		282	
		TOTAL								1692	55.60								1351	44.40								3043	
										Elected																			
																													
Cranbourne (Isaacs)                                            																													
	FIRST			93	4.22		21	0.95		963	43.73		12	0.54		61	2.77		874	39.69		42	1.91		136	6.18		2202	
	SECOND			2	16.67		1	8.33		5	41.67			Excluded		3	25.00		1	8.33		0	0.00		0	0.00		12	
		TOTAL		95	4.31		22	1.00		968	43.96					64	2.91		875	39.74		42	1.91		136	6.18		2202	
	THIRD			12	54.55			Excluded		3	13.64					3	13.64		2	9.09		0	0.00		2	9.09		22	
		TOTAL		107	4.86					971	44.10					67	3.04		877	39.83		42	1.91		138	6.27		2202	
	FOURTH			18	26.87					21	31.34						Excluded		16	23.88		3	4.48		9	13.43		67	
		TOTAL		125	5.68					992	45.05								893	40.55		45	2.04		147	6.68		2202	
	FIFTH				Excluded					53	42.40								36	28.80		18	14.40		18	14.40		125	
		TOTAL								1045	47.46								929	42.19		63	2.86		165	7.49		2202	
	SIXTH									19	30.16								7	11.11			Excluded		37	58.73		63	
		TOTAL								1064	48.32								936	42.51					202	9.17		2202	
	SEVENTH									129	63.86								73	36.14						Excluded		202	
		TOTAL								1193	54.18								1009	45.82								2202	
										Elected																			
																													
Cranbourne Park                                                																													
	FIRST			99	3.18		48	1.54		1445	46.43		13	0.42		57	1.83		1205	38.72		72	2.31		173	5.56		3112	
	SECOND			2	15.38		2	15.38		6	46.15			Excluded		0	0.00		1	7.69		2	15.38		0	0.00		13	
		TOTAL		101	3.25		50	1.61		1451	46.63					57	1.83		1206	38.75		74	2.38		173	5.56		3112	
	THIRD			26	52.00			Excluded		9	18.00					3	6.00		5	10.00		4	8.00		3	6.00		50	
		TOTAL		127	4.08					1460	46.92					60	1.93		1211	38.91		78	2.51		176	5.66		3112	
	FOURTH			15	25.00					12	20.00						Excluded		14	23.33		13	21.67		6	10.00		60	
		TOTAL		142	4.56					1472	47.30								1225	39.36		91	2.92		182	5.85		3112	
	FIFTH				Excluded					63	44.37								29	20.42		33	23.24		17	11.97		142	
		TOTAL								1535	49.33								1254	40.30		124	3.98		199	6.39		3112	
	SIXTH									43	34.68								16	12.90			Excluded		65	52.42		124	
		TOTAL								1578	50.71								1270	40.81					264	8.48		3112	
	SEVENTH									153	57.95								111	42.05						Excluded		264	
		TOTAL								1731	55.62								1381	44.38								3112	
										Elected																			
																													
Cranbourne West                                                																													
	FIRST			84	3.14		20	0.75		1271	47.55		12	0.45		75	2.81		943	35.28		56	2.10		212	7.93		2673	
	SECOND			0	0.00		3	25.00		5	41.67			Excluded		1	8.33		0	0.00		1	8.33		2	16.67		12	
		TOTAL		84	3.14		23	0.86		1276	47.74					76	2.84		943	35.28		57	2.13		214	8.01		2673	
	THIRD			13	56.52			Excluded		3	13.04					1	4.35		4	17.39		1	4.35		1	4.35		23	
		TOTAL		97	3.63					1279	47.85					77	2.88		947	35.43		58	2.17		215	8.04		2673	
	FOURTH			24	31.17					15	19.48						Excluded		16	20.78		13	16.88		9	11.69		77	
		TOTAL		121	4.53					1294	48.41								963	36.03		71	2.66		224	8.38		2673	
	FIFTH				Excluded					57	47.11								25	20.66		17	14.05		22	18.18		121	
		TOTAL								1351	50.54								988	36.96		88	3.29		246	9.20		2673	
	SIXTH									23	26.14								15	17.05			Excluded		50	56.82		88	
		TOTAL								1374	51.40								1003	37.52					296	11.07		2673	
	SEVENTH									194	65.54								102	34.46						Excluded		296	
		TOTAL								1568	58.66								1105	41.34								2673	
										Elected																			
																													
Edithvale                                                      																													
	FIRST			38	1.14		28	0.84		1385	41.72		10	0.30		55	1.66		1380	41.57		182	5.48		242	7.29		3320	
	SECOND			3	30.00		1	10.00		2	20.00			Excluded		1	10.00		1	10.00		0	0.00		2	20.00		10	
		TOTAL		41	1.23		29	0.87		1387	41.78					56	1.69		1381	41.60		182	5.48		244	7.35		3320	
	THIRD			17	58.62			Excluded		5	17.24					2	6.90		2	6.90		1	3.45		2	6.90		29	
		TOTAL		58	1.75					1392	41.93					58	1.75		1383	41.66		183	5.51		246	7.41		3320	
	FOURTH			14	24.14					10	17.24						Excluded		16	27.59		14	24.14		4	6.90		58	
		TOTAL		72	2.17					1402	42.23								1399	42.14		197	5.93		250	7.53		3320	
	FIFTH				Excluded					29	40.28								11	15.28		23	31.94		9	12.50		72	
		TOTAL								1431	43.10								1410	42.47		220	6.63		259	7.80		3320	
	SIXTH									110	50.00								26	11.82			Excluded		84	38.18		220	
		TOTAL								1541	46.42								1436	43.25					343	10.33		3320	
	SEVENTH									227	66.18								116	33.82						Excluded		343	
		TOTAL								1768	53.25								1552	46.75								3320	
										Elected																			
																													
Lyndhurst                                                      																													
	FIRST			47	2.11		14	0.63		1052	47.13		5	0.22		33	1.48		851	38.13		42	1.88		188	8.42		2232	
	SECOND			1	20.00		1	20.00		2	40.00			Excluded		1	20.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL		48	2.15		15	0.67		1054	47.22					34	1.52		851	38.13		42	1.88		188	8.42		2232	
	THIRD			6	40.00			Excluded		3	20.00					1	6.67		2	13.33		2	13.33		1	6.67		15	
		TOTAL		54	2.42					1057	47.36					35	1.57		853	38.22		44	1.97		189	8.47		2232	
	FOURTH			12	34.29					10	28.57						Excluded		6	17.14		4	11.43		3	8.57		35	
		TOTAL		66	2.96					1067	47.80								859	38.49		48	2.15		192	8.60		2232	
	FIFTH				Excluded					31	46.97								10	15.15		12	18.18		13	19.70		66	
		TOTAL								1098	49.19								869	38.93		60	2.69		205	9.18		2232	
	SIXTH									17	28.33								7	11.67			Excluded		36	60.00		60	
		TOTAL								1115	49.96								876	39.25					241	10.80		2232	
	SEVENTH									158	65.56								83	34.44						Excluded		241	
		TOTAL								1273	57.03								959	42.97								2232	
										Elected																			
																													
Lyrebird                                                       																													
	FIRST			62	1.99		56	1.80		1517	48.72		9	0.29		69	2.22		1125	36.13		75	2.41		201	6.45		3114	
	SECOND			4	44.44		1	11.11		2	22.22			Excluded		2	22.22		0	0.00		0	0.00		0	0.00		9	
		TOTAL		66	2.12		57	1.83		1519	48.78					71	2.28		1125	36.13		75	2.41		201	6.45		3114	
	THIRD			35	61.40			Excluded		6	10.53					1	1.75		6	10.53		7	12.28		2	3.51		57	
		TOTAL		101	3.24					1525	48.97					72	2.31		1131	36.32		82	2.63		203	6.52		3114	
	FOURTH			13	18.06					18	25.00						Excluded		23	31.94		13	18.06		5	6.94		72	
		TOTAL		114	3.66					1543	49.55								1154	37.06		95	3.05		208	6.68		3114	
	FIFTH				Excluded					52	45.61								18	15.79		27	23.68		17	14.91		114	
		TOTAL								1595	51.22								1172	37.64		122	3.92		225	7.23		3114	
	SIXTH									42	34.43								11	9.02			Excluded		69	56.56		122	
		TOTAL								1637	52.57								1183	37.99					294	9.44		3114	
	SEVENTH									172	58.50								122	41.50						Excluded		294	
		TOTAL								1809	58.09								1305	41.91								3114	
										Elected																			
																													
Melbourne (Isaacs)                                             																													
	FIRST			3	5.88		0	0.00		20	39.22		1	1.96		0	0.00		15	29.41		4	7.84		8	15.69		51	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		3	5.88		0	0.00		20	39.22					0	0.00		16	31.37		4	7.84		8	15.69		51	
	THIRD			0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	5.88					20	39.22					0	0.00		16	31.37		4	7.84		8	15.69		51	
	FOURTH			0	0.00					0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	5.88					20	39.22								16	31.37		4	7.84		8	15.69		51	
	FIFTH				Excluded					1	33.33								0	0.00		1	33.33		1	33.33		3	
		TOTAL								21	41.18								16	31.37		5	9.80		9	17.65		51	
	SIXTH									4	80.00								0	0.00			Excluded		1	20.00		5	
		TOTAL								25	49.02								16	31.37					10	19.61		51	
	SEVENTH									4	40.00								6	60.00						Excluded		10	
		TOTAL								29	56.86								22	43.14								51	
										Elected																			
																													
Mentone                                                        																													
	FIRST			26	1.13		17	0.74		802	34.75		2	0.09		27	1.17		1125	48.74		123	5.33		186	8.06		2308	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		26	1.13		18	0.78		802	34.75					28	1.21		1125	48.74		123	5.33		186	8.06		2308	
	THIRD			10	55.56			Excluded		4	22.22					1	5.56		1	5.56		2	11.11		0	0.00		18	
		TOTAL		36	1.56					806	34.92					29	1.26		1126	48.79		125	5.42		186	8.06		2308	
	FOURTH			4	13.79					6	20.69						Excluded		16	55.17		2	6.90		1	3.45		29	
		TOTAL		40	1.73					812	35.18								1142	49.48		127	5.50		187	8.10		2308	
	FIFTH				Excluded					22	55.00								7	17.50		9	22.50		2	5.00		40	
		TOTAL								834	36.14								1149	49.78		136	5.89		189	8.19		2308	
	SIXTH									67	49.26								15	11.03			Excluded		54	39.71		136	
		TOTAL								901	39.04								1164	50.43					243	10.53		2308	
	SEVENTH									156	64.20								87	35.80						Excluded		243	
		TOTAL								1057	45.80								1251	54.20								2308	
										Elected																			
																													
Mentone North                                                  																													
	FIRST			20	1.45		12	0.87		495	35.92		0	0.00		8	0.58		653	47.39		94	6.82		96	6.97		1378	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		20	1.45		12	0.87		495	35.92					8	0.58		653	47.39		94	6.82		96	6.97		1378	
	THIRD			9	75.00			Excluded		0	0.00					2	16.67		0	0.00		0	0.00		1	8.33		12	
		TOTAL		29	2.10					495	35.92					10	0.73		653	47.39		94	6.82		97	7.04		1378	
	FOURTH			2	20.00					3	30.00						Excluded		2	20.00		3	30.00		0	0.00		10	
		TOTAL		31	2.25					498	36.14								655	47.53		97	7.04		97	7.04		1378	
	FIFTH				Excluded					18	58.06								5	16.13		4	12.90		4	12.90		31	
		TOTAL								516	37.45								660	47.90		101	7.33		101	7.33		1378	
	SIXTH									59	58.42								6	5.94			Excluded		36	35.64		101	
		TOTAL								575	41.73								666	48.33					137	9.94		1378	
	SEVENTH									85	62.04								52	37.96						Excluded		137	
		TOTAL								660	47.90								718	52.10								1378	
										Elected																			
																													
Mordialloc East                                                																													
