Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Jagajaga (88073)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Lower Plenty		31	1.62		27	1.41		27	1.41		4	0.21		0	0.00		0	0.00		17	0.89		1032	53.97		5	0.26		0	0.00		460	24.06		13	0.68		145	7.58		0	0.00		2	0.10		146	7.64		2	0.10		1	0.05		1912	95.12		98	4.88		2010	2.38
Macleod		53	1.71		65	2.09		40	1.29		3	0.10		1	0.03		1	0.03		64	2.06		1144	36.82		5	0.16		3	0.10		1201	38.65		11	0.35		310	9.98		0	0.00		1	0.03		203	6.53		1	0.03		1	0.03		3107	93.44		218	6.56		3325	3.93
Melbourne (Jagajaga)		1	0.94		3	2.83		3	2.83		0	0.00		0	0.00		0	0.00		3	2.83		28	26.42		0	0.00		0	0.00		37	34.91		0	0.00		12	11.32		0	0.00		1	0.94		17	16.04		1	0.94		0	0.00		106	99.07		1	0.93		107	0.13
Montmorency		56	1.54		49	1.35		55	1.52		3	0.08		1	0.03		1	0.03		63	1.74		1441	39.74		10	0.28		1	0.03		1233	34.00		17	0.47		383	10.56		0	0.00		5	0.14		307	8.47		0	0.00		1	0.03		3626	94.72		202	5.28		3828	4.53
Montmorency South		23	1.37		24	1.43		26	1.55		1	0.06		1	0.06		0	0.00		21	1.26		626	37.42		3	0.18		0	0.00		612	36.58		19	1.14		173	10.34		0	0.00		1	0.06		142	8.49		0	0.00		1	0.06		1673	95.98		70	4.02		1743	2.06
Repatriation Hospital		3	1.15		0	0.00		4	1.54		0	0.00		2	0.77		0	0.00		5	1.92		64	24.62		0	0.00		0	0.00		140	53.85		0	0.00		20	7.69		0	0.00		2	0.77		19	7.31		1	0.38		0	0.00		260	92.53		21	7.47		281	0.33
Research (Jagajaga)		22	1.67		1	0.08		16	1.22		2	0.15		13	0.99		0	0.00		24	1.82		650	49.39		2	0.15		0	0.00		336	25.53		4	0.30		111	8.43		0	0.00		0	0.00		129	9.80		3	0.23		3	0.23		1316	95.78		58	4.22		1374	1.63
Rosanna		35	1.72		34	1.67		15	0.74		1	0.05		0	0.00		1	0.05		24	1.18		873	42.84		5	0.25		1	0.05		681	33.42		22	1.08		177	8.68		0	0.00		3	0.15		165	8.10		0	0.00		1	0.05		2038	94.18		126	5.82		2164	2.56
Rosanna East		13	1.42		9	0.98		14	1.53		0	0.00		0	0.00		0	0.00		11	1.20		409	44.65		7	0.76		0	0.00		345	37.66		2	0.22		62	6.77		0	0.00		1	0.11		43	4.69		0	0.00		0	0.00		916	95.22		46	4.78		962	1.14
Telfer Reserve		4	0.74		13	2.41		4	0.74		1	0.19		1	0.19		0	0.00		6	1.11		175	32.41		2	0.37		0	0.00		284	52.59		0	0.00		27	5.00		0	0.00		0	0.00		23	4.26		0	0.00		0	0.00		540	92.78		42	7.22		582	0.69
Viewbank		41	1.89		35	1.62		23	1.06		0	0.00		1	0.05		1	0.05		22	1.02		887	40.99		5	0.23		3	0.14		786	36.32		11	0.51		233	10.77		0	0.00		3	0.14		111	5.13		0	0.00		2	0.09		2164	93.24		157	6.76		2321	2.75
Warringal Parklands		12	1.84		7	1.08		7	1.08		1	0.15		0	0.00		0	0.00		4	0.61		299	45.93		3	0.46		0	0.00		214	32.87		5	0.77		52	7.99		0	0.00		1	0.15		46	7.07		0	0.00		0	0.00		651	95.59		30	4.41		681	0.81
Watsonia		40	1.58		44	1.74		35	1.39		2	0.08		1	0.04		1	0.04		49	1.94		902	35.74		12	0.48		0	0.00		1070	42.39		17	0.67		217	8.60		0	0.00		2	0.08		130	5.15		2	0.08		0	0.00		2524	93.24		183	6.76		2707	3.20
Watsonia Central		16	1.71		27	2.88		12	1.28		1	0.11		0	0.00		1	0.11		18	1.92		307	32.73		3	0.32		1	0.11		423	45.10		7	0.75		69	7.36		0	0.00		2	0.21		50	5.33		1	0.11		0	0.00		938	93.99		60	6.01		998	1.18
Watsonia South		19	1.69		31	2.75		22	1.95		1	0.09		1	0.09		0	0.00		26	2.31		392	34.81		2	0.18		0	0.00		507	45.03		6	0.53		70	6.22		0	0.00		3	0.27		45	4.00		0	0.00		1	0.09		1126	92.83		87	7.17		1213	1.44
Yallambie		44	1.74		42	1.66		24	0.95		3	0.12		2	0.08		0	0.00		43	1.70		1201	47.58		3	0.12		0	0.00		811	32.13		15	0.59		255	10.10		0	0.00		4	0.16		75	2.97		1	0.04		1	0.04		2524	95.64		115	4.36		2639	3.12
Special Hospitals		13	6.60		10	5.08		2	1.02		1	0.51		0	0.00		0	0.00		0	0.00		82	41.62		1	0.51		0	0.00		77	39.09		1	0.51		6	3.05		1	0.51		0	0.00		3	1.52		0	0.00		0	0.00		197	89.95		22	10.05		219	0.26
Total Ordinary		1078	1.60		1164	1.73		803	1.19		58	0.09		47	0.07		13	0.02		949	1.41		26431	39.22		186	0.28		24	0.04		24706	36.66		338	0.50		6232	9.25		5	0.01		67	0.10		5236	7.77		36	0.05		25	0.04		67398	94.59		3855	5.41		71253	84.30
ABSENT		110	2.18		135	2.67		82	1.62		7	0.14		6	0.12		5	0.10		66	1.31		1826	36.14		16	0.32		3	0.06		1701	33.66		31	0.61		544	10.77		0	0.00		6	0.12		509	10.07		4	0.08		2	0.04		5053	97.06		153	2.94		5206	6.16
POSTAL		92	2.28		49	1.22		61	1.51		3	0.07		0	0.00		1	0.02		63	1.56		1621	40.23		13	0.32		2	0.05		1648	40.90		27	0.67		284	7.05		0	0.00		3	0.07		160	3.97		0	0.00		2	0.05		4029	98.08		79	1.92		4108	4.86
PRE_POLL		80	2.30		57	1.64		55	1.58		1	0.03		1	0.03		0	0.00		70	2.01		1456	41.88		19	0.55		7	0.20		1206	34.69		17	0.49		313	9.00		0	0.00		5	0.14		185	5.32		4	0.12		1	0.03		3477	98.16		65	1.84		3542	4.19
PROVISIONAL		12	3.01		12	3.01		5	1.25		1	0.25		0	0.00		0	0.00		6	1.50		136	34.09		1	0.25		1	0.25		169	42.36		1	0.25		35	8.77		0	0.00		0	0.00		19	4.76		0	0.00		1	0.25		399	96.61		14	3.39		413	0.49
Division Summary		1372	1.71		1417	1.76		1006	1.25		70	0.09		54	0.07		19	0.02		1154	1.44		31470	39.16		235	0.29		37	0.05		29430	36.62		414	0.52		7408	9.22		5	0.01		81	0.1		6109	7.6		44	0.05		31	0.04		80356	95.07		4166	4.93		84522	95.97
