House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Mallee																							
				KELLY			ZIGOURAS			RIVENDELL			MACKLEY			FORREST			DOUGLASS				
	FOURTH				Excluded		0	0.00					0	0.00		2	100.00					2	
		TOTAL					6	10.91					10	18.18		39	70.91					55	
	FIFTH						2	20.00						Excluded		8	80.00					10	
		TOTAL					8	14.55								47	85.45					55	
																Elected							
																							
Cabarita                                                       																							
	FIRST			24	4.36		88	16.00		14	2.55		50	9.09		331	60.18		43	7.82		550	
	SECOND			6	42.86		3	21.43			Excluded		2	14.29		1	7.14		2	14.29		14	
		TOTAL		30	5.45		91	16.55					52	9.45		332	60.36		45	8.18		550	
	THIRD			4	8.89		3	6.67					21	46.67		17	37.78			Excluded		45	
		TOTAL		34	6.18		94	17.09					73	13.27		349	63.45					550	
	FOURTH				Excluded		17	50.00					2	5.88		15	44.12					34	
		TOTAL					111	20.18					75	13.64		364	66.18					550	
	FIFTH						39	52.00						Excluded		36	48.00					75	
		TOTAL					150	27.27								400	72.73					550	
																Elected							
																							
Cardross                                                       																							
	FIRST			13	2.67		117	24.02		17	3.49		64	13.14		241	49.49		35	7.19		487	
	SECOND			5	29.41		5	29.41			Excluded		2	11.76		3	17.65		2	11.76		17	
		TOTAL		18	3.70		122	25.05					66	13.55		244	50.10		37	7.60		487	
	THIRD			4	10.81		5	13.51					15	40.54		13	35.14			Excluded		37	
		TOTAL		22	4.52		127	26.08					81	16.63		257	52.77					487	
	FOURTH				Excluded		12	54.55					4	18.18		6	27.27					22	
		TOTAL					139	28.54					85	17.45		263	54.00					487	
	FIFTH						36	42.35						Excluded		49	57.65					85	
		TOTAL					175	35.93								312	64.07					487	
																Elected							
																							
Charlton                                                       																							
	FIRST			52	5.68		131	14.32		24	2.62		69	7.54		617	67.43		22	2.40		915	
	SECOND			9	37.50		8	33.33			Excluded		1	4.17		2	8.33		4	16.67		24	
		TOTAL		61	6.67		139	15.19					70	7.65		619	67.65		26	2.84		915	
	THIRD			5	19.23		4	15.38					8	30.77		9	34.62			Excluded		26	
		TOTAL		66	7.21		143	15.63					78	8.52		628	68.63					915	
	FOURTH				Excluded		34	51.52					14	21.21		18	27.27					66	
		TOTAL					177	19.34					92	10.05		646	70.60					915	
	FIFTH						54	58.70						Excluded		38	41.30					92	
		TOTAL					231	25.25								684	74.75					915	
																Elected							
																							
Culgoa                                                         																							
	FIRST			1	0.96		20	19.23		1	0.96		5	4.81		73	70.19		4	3.85		104	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		1	0.96		20	19.23					6	5.77		73	70.19		4	3.85		104	
	THIRD			1	25.00		0	0.00					1	25.00		2	50.00			Excluded		4	
		TOTAL		2	1.92		20	19.23					7	6.73		75	72.12					104	
	FOURTH				Excluded		2	100.00					0	0.00		0	0.00					2	
		TOTAL					22	21.15					7	6.73		75	72.12					104	
	FIFTH						0	0.00						Excluded		7	100.00					7	
		TOTAL					22	21.15								82	78.85					104	
																Elected							
																							
Cullulleraine                                                  																							
	FIRST			0	0.00		23	21.50		1	0.93		7	6.54		72	67.29		4	3.74		107	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	0.93		23	21.50					7	6.54		72	67.29		4	3.74		107	
	THIRD			1	25.00		1	25.00					0	0.00		2	50.00			Excluded		4	
		TOTAL		2	1.87		24	22.43					7	6.54		74	69.16					107	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					25	23.36					7	6.54		75	70.09					107	
	FIFTH						3	42.86						Excluded		4	57.14					7	
		TOTAL					28	26.17								79	73.83					107	
																Elected							
																							
Dadswells Bridge                                               																							
	FIRST			3	3.23		13	13.98		4	4.30		17	18.28		54	58.06		2	2.15		93	
	SECOND			2	50.00		0	0.00			Excluded		0	0.00		0	0.00		2	50.00		4	
		TOTAL		5	5.38		13	13.98					17	18.28		54	58.06		4	4.30		93	
	THIRD			0	0.00		0	0.00					2	50.00		2	50.00			Excluded		4	
		TOTAL		5	5.38		13	13.98					19	20.43		56	60.22					93	
	FOURTH				Excluded		3	60.00					0	0.00		2	40.00					5	
		TOTAL					16	17.20					19	20.43		58	62.37					93	
	FIFTH						8	42.11						Excluded		11	57.89					19	
		TOTAL					24	25.81								69	74.19					93	
																Elected							
																							
Dimboola                                                       																							
	FIRST			51	4.64		348	31.67		21	1.91		113	10.28		513	46.68		53	4.82		1099	
	SECOND			7	33.33		8	38.10			Excluded		1	4.76		4	19.05		1	4.76		21	
		TOTAL		58	5.28		356	32.39					114	10.37		517	47.04		54	4.91		1099	
	THIRD			16	29.63		11	20.37					9	16.67		18	33.33			Excluded		54	
		TOTAL		74	6.73		367	33.39					123	11.19		535	48.68					1099	
	FOURTH				Excluded		41	55.41					14	18.92		19	25.68					74	
		TOTAL					408	37.12					137	12.47		554	50.41					1099	
	FIFTH						74	54.01						Excluded		63	45.99					137	
		TOTAL					482	43.86								617	56.14					1099	
																Elected							
																							
Donald                                                         																							
	FIRST			28	2.44		207	18.06		19	1.66		80	6.98		746	65.10		66	5.76		1146	
	SECOND			7	36.84		2	10.53			Excluded		1	5.26		1	5.26		8	42.11		19	
		TOTAL		35	3.05		209	18.24					81	7.07		747	65.18		74	6.46		1146	
	THIRD			18	24.32		11	14.86					13	17.57		32	43.24			Excluded		74	
		TOTAL		53	4.62		220	19.20					94	8.20		779	67.98					1146	
	FOURTH				Excluded		24	45.28					6	11.32		23	43.40					53	
		TOTAL					244	21.29					100	8.73		802	69.98					1146	
	FIFTH						44	44.00						Excluded		56	56.00					100	
		TOTAL					288	25.13								858	74.87					1146	
																Elected							
																							
Dooen                                                          																							
	FIRST			6	4.29		10	7.14		3	2.14		18	12.86		97	69.29		6	4.29		140	
	SECOND			2	66.67		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		3	
		TOTAL		8	5.71		10	7.14					18	12.86		98	70.00		6	4.29		140	
	THIRD			0	0.00		2	33.33					2	33.33		2	33.33			Excluded		6	
		TOTAL		8	5.71		12	8.57					20	14.29		100	71.43					140	
	FOURTH				Excluded		5	62.50					1	12.50		2	25.00					8	
		TOTAL					17	12.14					21	15.00		102	72.86					140	
	FIFTH						9	42.86						Excluded		12	57.14					21	
		TOTAL					26	18.57								114	81.43					140	
																Elected							
																							
Edenhope                                                       																							
	FIRST			32	3.92		174	21.30		17	2.08		91	11.14		470	57.53		33	4.04		817	
	SECOND			7	41.18		3	17.65			Excluded		0	0.00		3	17.65		4	23.53		17	
		TOTAL		39	4.77		177	21.66					91	11.14		473	57.89		37	4.53		817	
	THIRD			7	18.92		4	10.81					11	29.73		15	40.54			Excluded		37	
		TOTAL		46	5.63		181	22.15					102	12.48		488	59.73					817	
	FOURTH				Excluded		32	69.57					4	8.70		10	21.74					46	
		TOTAL					213	26.07					106	12.97		498	60.95					817	
	FIFTH						53	50.00						Excluded		53	50.00					106	
		TOTAL					266	32.56								551	67.44					817	
																Elected							
																							
Gerang Gerung                                                  																							
	FIRST			2	2.25		7	7.87		3	3.37		17	19.10		57	64.04		3	3.37		89	
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL		3	3.37		7	7.87					17	19.10		58	65.17		4	4.49		89	
	THIRD			1	25.00		1	25.00					0	0.00		2	50.00			Excluded		4	
		TOTAL		4	4.49		8	8.99					17	19.10		60	67.42					89	
	FOURTH				Excluded		1	25.00					1	25.00		2	50.00					4	
		TOTAL					9	10.11					18	20.22		62	69.66					89	
	FIFTH						3	16.67						Excluded		15	83.33					18	
		TOTAL					12	13.48								77	86.52					89	
																Elected							
																							
Goroke                                                         																							
	FIRST			8	2.38		58	17.26		6	1.79		42	12.50		211	62.80		11	3.27		336	
	SECOND			0	0.00		2	33.33			Excluded		1	16.67		2	33.33		1	16.67		6	
		TOTAL		8	2.38		60	17.86					43	12.80		213	63.39		12	3.57		336	
	THIRD			1	8.33		1	8.33					4	33.33		6	50.00			Excluded		12	
		TOTAL		9	2.68		61	18.15					47	13.99		219	65.18					336	
	FOURTH				Excluded		6	66.67					2	22.22		1	11.11					9	
		TOTAL					67	19.94					49	14.58		220	65.48					336	
	FIFTH						25	51.02						Excluded		24	48.98					49	
		TOTAL					92	27.38								244	72.62					336	
																Elected							
																							
Harrow                                                         																							
	FIRST			8	3.35		34	14.23		13	5.44		18	7.53		160	66.95		6	2.51		239	
	SECOND			5	38.46		4	30.77			Excluded		1	7.69		2	15.38		1	7.69		13	
		TOTAL		13	5.44		38	15.90					19	7.95		162	67.78		7	2.93		239	
	THIRD			1	14.29		0	0.00					2	28.57		4	57.14			Excluded		7	
		TOTAL		14	5.86		38	15.90					21	8.79		166	69.46					239	
	FOURTH				Excluded		7	50.00					1	7.14		6	42.86					14	
		TOTAL					45	18.83					22	9.21		172	71.97					239	
	FIFTH						11	50.00						Excluded		11	50.00					22	
		TOTAL					56	23.43								183	76.57					239	
																Elected							
																							
Haven                                                          																							
	FIRST			24	3.60		89	13.34		17	2.55		97	14.54		419	62.82		21	3.15		667	
	SECOND			6	35.29		5	29.41			Excluded		2	11.76		4	23.53		0	0.00		17	
		TOTAL		30	4.50		94	14.09					99	14.84		423	63.42		21	3.15		667	
	THIRD			2	9.52		3	14.29					3	14.29		13	61.90			Excluded		21	
		TOTAL		32	4.80		97	14.54					102	15.29		436	65.37					667	
	FOURTH				Excluded		15	46.88					3	9.38		14	43.75					32	
		TOTAL					112	16.79					105	15.74		450	67.47					667	
	FIFTH						47	44.76						Excluded		58	55.24					105	
		TOTAL					159	23.84								508	76.16					667	
																Elected							
																							
Hopetoun                                                       																							
	FIRST			13	2.32		71	12.68		6	1.07		28	5.00		405	72.32		37	6.61		560	
	SECOND			2	33.33		3	50.00			Excluded		0	0.00		1	16.67		0	0.00		6	
		TOTAL		15	2.68		74	13.21					28	5.00		406	72.50		37	6.61		560	
	THIRD			3	8.11		6	16.22					9	24.32		19	51.35			Excluded		37	
		TOTAL		18	3.21		80	14.29					37	6.61		425	75.89					560	
	FOURTH				Excluded		13	72.22					0	0.00		5	27.78					18	
		TOTAL					93	16.61					37	6.61		430	76.79					560	
	FIFTH						12	32.43						Excluded		25	67.57					37	
		TOTAL					105	18.75								455	81.25					560	
																Elected							
																							
Horsham                                                        																							
	FIRST			237	6.39		759	20.46		102	2.75		290	7.82		2237	60.31		84	2.26		3709	
	SECOND			36	35.29		32	31.37			Excluded		9	8.82		14	13.73		11	10.78		102	
		TOTAL		273	7.36		791	21.33					299	8.06		2251	60.69		95	2.56		3709	
	THIRD			28	29.47		13	13.68					17	17.89		37	38.95			Excluded		95	
		TOTAL		301	8.12		804	21.68					316	8.52		2288	61.69					3709	
	FOURTH				Excluded		138	45.85					29	9.63		134	44.52					301	
		TOTAL					942	25.40					345	9.30		2422	65.30					3709	
	FIFTH						167	48.41						Excluded		178	51.59					345	
		TOTAL					1109	29.90								2600	70.10					3709	
																Elected							
																							
Horsham North                                                  																							
	FIRST			79	5.18		434	28.46		40	2.62		156	10.23		757	49.64		59	3.87		1525	
	SECOND			11	27.50		11	27.50			Excluded		3	7.50		7	17.50		8	20.00		40	
		TOTAL		90	5.90		445	29.18					159	10.43		764	50.10		67	4.39		1525	
	THIRD			11	16.42		12	17.91					19	28.36		25	37.31			Excluded		67	
		TOTAL		101	6.62		457	29.97					178	11.67		789	51.74					1525	
	FOURTH				Excluded		54	53.47					14	13.86		33	32.67					101	
		TOTAL					511	33.51					192	12.59		822	53.90					1525	
	FIFTH						103	53.65						Excluded		89	46.35					192	
		TOTAL					614	40.26								911	59.74					1525	
																Elected							
																							
Horsham West                                                   																							
	FIRST			70	4.34		338	20.95		32	1.98		102	6.32		1024	63.48		47	2.91		1613	
	SECOND			10	31.25		8	25.00			Excluded		3	9.38		4	12.50		7	21.88		32	
		TOTAL		80	4.96		346	21.45					105	6.51		1028	63.73		54	3.35		1613	
	THIRD			19	35.19		5	9.26					15	27.78		15	27.78			Excluded		54	
		TOTAL		99	6.14		351	21.76					120	7.44		1043	64.66					1613	
	FOURTH				Excluded		54	54.55					10	10.10		35	35.35					99	
		TOTAL					405	25.11					130	8.06		1078	66.83					1613	
	FIFTH						66	50.77						Excluded		64	49.23					130	
		TOTAL					471	29.20								1142	70.80					1613	
																Elected							
																							
Irymple                                                        																							
	FIRST			83	3.76		398	18.01		53	2.40		218	9.86		1282	58.01		176	7.96		2210	
	SECOND			14	26.42		14	26.42			Excluded		2	3.77		15	28.30		8	15.09		53	
		TOTAL		97	4.39		412	18.64					220	9.95		1297	58.69		184	8.33		2210	
	THIRD			34	18.48		25	13.59					61	33.15		64	34.78			Excluded		184	
		TOTAL		131	5.93		437	19.77					281	12.71		1361	61.58					2210	
	FOURTH				Excluded		81	61.83					12	9.16		38	29.01					131	
		TOTAL					518	23.44					293	13.26		1399	63.30					2210	
	FIFTH						137	46.76						Excluded		156	53.24					293	
		TOTAL					655	29.64								1555	70.36					2210	
																Elected							
																							
Jeparit                                                        																							
	FIRST			11	3.35		66	20.12		9	2.74		19	5.79		214	65.24		9	2.74		328	
	SECOND			3	33.33		2	22.22			Excluded		1	11.11		2	22.22		1	11.11		9	
		TOTAL		14	4.27		68	20.73					20	6.10		216	65.85		10	3.05		328	
	THIRD			2	20.00		2	20.00					2	20.00		4	40.00			Excluded		10	
		TOTAL		16	4.88		70	21.34					22	6.71		220	67.07					328	
	FOURTH				Excluded		8	50.00					3	18.75		5	31.25					16	
		TOTAL					78	23.78					25	7.62		225	68.60					328	
	FIFTH						6	24.00						Excluded		19	76.00					25	
		TOTAL					84	25.61								244	74.39					328	
																Elected							
																							
Jung                                                           																							
	FIRST			3	3.80		18	22.78		2	2.53		13	16.46		41	51.90		2	2.53		79	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		4	5.06		18	22.78					14	17.72		41	51.90		2	2.53		79	
	THIRD			1	50.00		0	0.00					1	50.00		0	0.00			Excluded		2	
		TOTAL		5	6.33		18	22.78					15	18.99		41	51.90					79	
	FOURTH				Excluded		3	60.00					0	0.00		2	40.00					5	
		TOTAL					21	26.58					15	18.99		43	54.43					79	
	FIFTH						4	26.67						Excluded		11	73.33					15	
		TOTAL					25	31.65								54	68.35					79	
																Elected							
																							
Kaniva                                                         																							
	FIRST			28	3.64		90	11.70		13	1.69		93	12.09		506	65.80		39	5.07		769	
	SECOND			1	7.69		5	38.46			Excluded		1	7.69		3	23.08		3	23.08		13	
		TOTAL		29	3.77		95	12.35					94	12.22		509	66.19		42	5.46		769	
	THIRD			7	16.67		5	11.90					20	47.62		10	23.81			Excluded		42	
		TOTAL		36	4.68		100	13.00					114	14.82		519	67.49					769	
	FOURTH				Excluded		19	52.78					4	11.11		13	36.11					36	
		TOTAL					119	15.47					118	15.34		532	69.18					769	
	FIFTH						45	38.14						Excluded		73	61.86					118	
		TOTAL					164	21.33								605	78.67					769	
																Elected							
																							
Koorlong                                                       																							
	FIRST			8	2.15		64	17.20		15	4.03		58	15.59		219	58.87		8	2.15		372	
	SECOND			3	20.00		5	33.33			Excluded		1	6.67		2	13.33		4	26.67		15	
		TOTAL		11	2.96		69	18.55					59	15.86		221	59.41		12	3.23		372	
	THIRD			2	16.67		4	33.33					0	0.00		6	50.00			Excluded		12	
		TOTAL		13	3.49		73	19.62					59	15.86		227	61.02					372	
	FOURTH				Excluded		6	46.15					3	23.08		4	30.77					13	
		TOTAL					79	21.24					62	16.67		231	62.10					372	
	FIFTH						33	53.23						Excluded		29	46.77					62	
		TOTAL					112	30.11								260	69.89					372	
																Elected							
																							
Laharum                                                        																							
	FIRST			11	6.40		37	21.51		18	10.47		22	12.79		80	46.51		4	2.33		172	
	SECOND			11	61.11		6	33.33			Excluded		0	0.00		0	0.00		1	5.56		18	
		TOTAL		22	12.79		43	25.00					22	12.79		80	46.51		5	2.91		172	
	THIRD			0	0.00		1	20.00					1	20.00		3	60.00			Excluded		5	
		TOTAL		22	12.79		44	25.58					23	13.37		83	48.26					172	
	FOURTH				Excluded		21	95.45					0	0.00		1	4.55					22	
		TOTAL					65	37.79					23	13.37		84	48.84					172	
	FIFTH						12	52.17						Excluded		11	47.83					23	
		TOTAL					77	44.77								95	55.23					172	
																Elected							
																							
Lake Boga                                                      																							
	FIRST			35	4.90		130	18.18		25	3.50		67	9.37		435	60.84		23	3.22		715	
	SECOND			4	16.00		6	24.00			Excluded		5	20.00		8	32.00		2	8.00		25	
		TOTAL		39	5.45		136	19.02					72	10.07		443	61.96		25	3.50		715	
	THIRD			6	24.00		4	16.00					8	32.00		7	28.00			Excluded		25	
		TOTAL		45	6.29		140	19.58					80	11.19		450	62.94					715	
	FOURTH				Excluded		24	53.33					3	6.67		18	40.00					45	
		TOTAL					164	22.94					83	11.61		468	65.45					715	
	FIFTH						47	56.63						Excluded		36	43.37					83	
		TOTAL					211	29.51								504	70.49					715	
																Elected							
																							
Litchfield                                                     																							
	FIRST			1	1.25		6	7.50		0	0.00		8	10.00		59	73.75		6	7.50		80	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.25		6	7.50					8	10.00		59	73.75		6	7.50		80	
	THIRD			0	0.00		2	33.33					3	50.00		1	16.67			Excluded		6	
		TOTAL		1	1.25		8	10.00					11	13.75		60	75.00					80	
	FOURTH				Excluded		0	0.00					0	0.00		1	100.00					1	
		TOTAL					8	10.00					11	13.75		61	76.25					80	
	FIFTH						1	9.09						Excluded		10	90.91					11	
		TOTAL					9	11.25								71	88.75					80	
																Elected							
																							
Manangatang                                                    																							
	FIRST			11	3.50		30	9.55		2	0.64		23	7.32		236	75.16		12	3.82		314	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		12	3.82		30	9.55					24	7.64		236	75.16		12	3.82		314	
	THIRD			1	8.33		2	16.67					2	16.67		7	58.33			Excluded		12	
		TOTAL		13	4.14		32	10.19					26	8.28		243	77.39					314	
	FOURTH				Excluded		11	84.62					0	0.00		2	15.38					13	
		TOTAL					43	13.69					26	8.28		245	78.03					314	
	FIFTH						11	42.31						Excluded		15	57.69					26	
		TOTAL					54	17.20								260	82.80					314	
																Elected							
																							
Melbourne (Mallee)                                             																							
	FIRST			5	8.06		11	17.74		6	9.68		2	3.23		36	58.06		2	3.23		62	
	SECOND			3	50.00		1	16.67			Excluded		0	0.00		2	33.33		0	0.00		6	
		TOTAL		8	12.90		12	19.35					2	3.23		38	61.29		2	3.23		62	
	THIRD			1	50.00		0	0.00					0	0.00		1	50.00			Excluded		2	
		TOTAL		9	14.52		12	19.35					2	3.23		39	62.90					62	
	FOURTH				Excluded		6	66.67					1	11.11		2	22.22					9	
		TOTAL					18	29.03					3	4.84		41	66.13					62	
	FIFTH						1	33.33						Excluded		2	66.67					3	
		TOTAL					19	30.65								43	69.35					62	
																Elected							
																							
Merbein                                                        																							
	FIRST			64	3.70		453	26.15		37	2.14		181	10.45		854	49.31		143	8.26		1732	
	SECOND			12	32.43		15	40.54			Excluded		2	5.41		5	13.51		3	8.11		37	
		TOTAL		76	4.39		468	27.02					183	10.57		859	49.60		146	8.43		1732	
	THIRD			16	10.96		19	13.01					64	43.84		47	32.19			Excluded		146	
		TOTAL		92	5.31		487	28.12					247	14.26		906	52.31					1732	
	FOURTH				Excluded		49	53.26					12	13.04		31	33.70					92	
		TOTAL					536	30.95					259	14.95		937	54.10					1732	
	FIFTH						114	44.02						Excluded		145	55.98					259	
		TOTAL					650	37.53								1082	62.47					1732	
																Elected							
																							
Merbein South                                                  																							
	FIRST			10	4.08		28	11.43		6	2.45		43	17.55		129	52.65		29	11.84		245	
	SECOND			2	33.33		0	0.00			Excluded		3	50.00		1	16.67		0	0.00		6	
		TOTAL		12	4.90		28	11.43					46	18.78		130	53.06		29	11.84		245	
	THIRD			3	10.34		2	6.90					13	44.83		11	37.93			Excluded		29	
		TOTAL		15	6.12		30	12.24					59	24.08		141	57.55					245	
	FOURTH				Excluded		9	60.00					6	40.00		0	0.00					15	
		TOTAL					39	15.92					65	26.53		141	57.55					245	
	FIFTH						26	40.00						Excluded		39	60.00					65	
		TOTAL					65	26.53								180	73.47					245	
																Elected							
																							
Merbein West                                                   																							
	FIRST			9	2.75		53	16.21		5	1.53		35	10.70		191	58.41		34	10.40		327	
	SECOND			2	40.00		1	20.00			Excluded		1	20.00		1	20.00		0	0.00		5	
		TOTAL		11	3.36		54	16.51					36	11.01		192	58.72		34	10.40		327	
	THIRD			4	11.76		4	11.76					15	44.12		11	32.35			Excluded		34	
		TOTAL		15	4.59		58	17.74					51	15.60		203	62.08					327	
	FOURTH				Excluded		8	53.33					1	6.67		6	40.00					15	
		TOTAL					66	20.18					52	15.90		209	63.91					327	
	FIFTH						25	48.08						Excluded		27	51.92					52	
		TOTAL					91	27.83								236	72.17					327	
																Elected							
																							
Meringur                                                       																							
	FIRST			2	3.70		5	9.26		1	1.85		6	11.11		39	72.22		1	1.85		54	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	5.56		5	9.26					6	11.11		39	72.22		1	1.85		54	
	THIRD			0	0.00		1	100.00					0	0.00		0	0.00			Excluded		1	
		TOTAL		3	5.56		6	11.11					6	11.11		39	72.22					54	
	FOURTH				Excluded		1	33.33					1	33.33		1	33.33					3	
		TOTAL					7	12.96					7	12.96		40	74.07					54	
	FIFTH						2	28.57						Excluded		5	71.43					7	
		TOTAL					9	16.67								45	83.33					54	
																Elected							
																							
Mildura                                                        																							
	FIRST			235	5.22		1325	29.44		114	2.53		441	9.80		2070	46.00		315	7.00		4500	
